http://movie.douban.com/subject/4812751/	成均馆绯闻 성균관스캔들
(4星)	 小悸动 小爱情            
(4星)	 看完了，结尾太草率了吧。            
(5星)	 剩下最后一集。朴有天你要我怎么办啊。被宋钟基萌死了-0-            
(3星)	 磨磨蹭蹭，虎头蛇尾。            
(4星)	 佳郎，女林，我爱你们~~~            
(4星)	 又一次沦陷在韩剧            
(3星)	 过程中的拖沓和不知所云掩盖了剧首的精彩，结尾荒诞。            
(3星)	 弃            
(3星)	 这电视剧挺励志的其实……            
(5星)	 表是对俊男美女很有爱～            
(4星)	 男配啊男配，古装版“是美男啊~”            
(3星)	 只能说，除了男主角其他的人都很出彩            
(NA)	 我只能说，当我看完前八集决定追的时候，觉得男主真是帅，就算他是天然呆也没事。可是真看完了才发觉，天然呆真是要命啊。。。还有皇帝，最后一集才发现，简直是个没长大的小孩嘛            
(2星)	 实在看不下去了。放弃            
(3星)	 前面好看，后面就杯具了            
(4星)	 五分是打给男一男二男三的，美男们各有特色。特别是男二，真是又娘又妖孽= =。其实从个人角度我应该最顶朴有天的么-0- 最后看了第一集我就实在坚持不了了……对棒子国无爱啊            
(4星)	 难得我也看古装            
(4星)	 看了前11，看完的话肯定会颠覆之前较好的观感，果断弃。桀骜是好男人哪~            
(4星)	 女林萌死了！！            
(4星)	 刘亚仁啊刘亚仁直接秒了接档剧很妙            
(5星)	 身份转变的第一部，希望不是最后一部            
(5星)	 100917 开始看 听到好久没听到的三人的歌 突然觉得原来还是那么好听 我家大米演的不错哟。101103 朴先生的演技得到了认证 恩。结尾挺搞笑。。。            
(5星)	 只要看我家具容夏就行了~嗯！            
(4星)	 虽然为青春热血校园剧最后必定沦为爱情剧这狗血纲领觉得可惜，对难以免俗的不止一个英雄来救“世上女人全死光仅剩一个的”女主之类的生硬剧情已经有了免疫力，但朴大米华丽丽的睫毛、低沉磁性的声音和貌似纯粹、单纯、帅气的颜还是让我欲罢不能。另外，台词也想当出彩，虽然苦了我们大米那来自弗吉尼亚            
(4星)	 垂涎四人帮~~~~~            
(3星)	 起初觉得还挺不错的，可怎么越看越没劲呢~            
(5星)	 so far so good            
(5星)	 真的好棒啊！            
(5星)	 宋钟基在里面扮相超赞            
(4星)	 女林大爱 桀骜很帅 佳郎呆的可爱 大物越看越美 3男1女的组合 还是这么美好 要我哪里再找 这般养眼的剧            
(5星)	 非常棒！大爱朴有天！朴敏英中性打扮也很靓！都演得好！很精细的一部古装韩剧！            
(4星)	 pyt的扑克牌脸贯穿了整部电视剧，受不了            
(5星)	 终于完结了啊，好怀念            
(3星)	 韩剧这种东西真的需要一鼓作气的看，停一停就整个没兴趣了            
(2星)	 简直是整容秀啊，后面是大段大段的拉。。            
(5星)	 毫无疑问的五星，因为我爱PYT。咩哈哈。但是演技倒还真是不赖，反正期待第七集啊啊啊啊。每个星期就这个最期待了==            
(4星)	 大爱有天            
(4星)	 有爱~            
(3星)	 女扮男装            
(4星)	 傻傻剧情+养眼正太=无负担观赏            
(4星)	 风之画员+梁山伯与祝英台的喜剧版            
(4星)	 对美男就是没有抵抗力~~            
(4星)	 一开始还蛮好看的 后半部分真是耐着性子看的 结尾也有够潦草的 两个主角纯爱心动蛮勾引人的 宋钟基和刘亚仁搞暧昧绝对是卖点             
(5星)	 剧情紧凑。人物养眼。演出细腻。好看~~~            
(5星)	 宋钟基，大爱啊~~            
(5星)	 期待下一部！            
(3星)	 情节真是拖沓啊~只是宋钟基跟刘亚仁还是不错的~~            
(3星)	 老朴真会挑剧本啊，比恶作剧靠谱多了！！！赞一下...朝鲜的秀才都是妖男...从头腐到脚，期待收视率全胜恶作剧~脱离了SM的打包剧真好，可惜金在囧没有这个眼力见儿，继续在泥轰国堕落吧，还有步姐能看得上= =  后面几集。。。            
(2星)	 越看越不给力  到底还是韩剧            
(5星)	 2010年度最好看的韩剧，NO.1。女主一开始看着不是很漂亮的那种，但是越看越舒服，脸像圆月一样饱满明亮，闪闪发光。第一次看朴有天演戏，动作眼神小细节都恰如其分，完全没有生涩的感觉，演技90分以上。男二、男三、男四（反派）、男n+1都是帅哥，不是一般的养眼。画面也干净美丽。大爱。            
(4星)	 后面拖沓 帅气四人帮完结 看样子是不可能拍第二部了 和小说的结局都不一样........期待双根接档的玛丽外宿中            
(3星)	 宋钟基好出彩啊 以前不喜欢他的长相忽然觉得好有魅力 这个角色的性格比较丰满啊 能得高分大概更多靠的hc大米 单论剧情的话3星 过于老套hc剧 看到10集左右弃了            
(5星)	 一直以严肃之冰山扑克脸形象示人的李先俊同学终于在第四集的时候露出了惊鸿一笑~瞬间被秒杀到！虽然一开始还是很不适应韩国古装造型的，后来也就慢慢适应了。（毕竟做米饭久了……适应能力都不是一般的强）有天TX的演技也确实没的说，演员间的配合也不错。对于腐女来说，YY的空间也是很大滴~~            
(5星)	 幽默风趣的剧情 搞笑 拍的挺好的 不知后面的结局会怎样            
(5星)	 无论是男主女主还是其它演员每个角色演的都很出色，支持！            
(4星)	 这个结局。。            
(4星)	 宋钟基，跟你耗上了哦！~~            
(4星)	 小宋  荡漾哦~~            
(3星)	 目前为止的韩国电视剧来说，还不错，有点看头，虽然是韩国版的梁祝            
(NA)	 宋钟基太给力了！就是爱男二！            
(3星)	 太萌啦~~            
(3星)	 烂尾            
(2星)	 不喜欢男主，女主也没爱            
(4星)	 还是到了后面有些拖沓 不过这个结尾有点意思 难道是反转说其实女林才是gay并且暗恋桀骜很多年？            
(5星)	 朴大米 你果然长了张演员的脸 宋钟基果然没有让我失望啊 意外收获刘亚仁 这么多出彩的男配 不给五星都不行啊             
(NA)	 我曾经的大米……            
(5星)	 虽然烂尾，但最后一分钟我还是相当满意的。佳郎啊~~~~/2010.12.5 重煲结束。 结局仓促但“烂尾”二字言重了，如果能再多两集，算是上乘之作了。            
(5星)	 四星半。姜由美？！女林啊，你怎么连落泪都这么萌啊~~13集太有爆点了，不腐不行啊！朝鲜人的帽子太不适合两个男人有亲密举动了。吼吼~——中间部分很让人欢乐，后面就不给力了，不过还是难得让我愉快异常地剧。发现后面开始渐渐喜欢桀骜了，奇怪啊~            
(4星)	 韩剧的通病啊，越到后面越不好看了，粗糙啊            
(5星)	 = =   我陷入了男三还是男四的漩涡中。。。。宋钟基！！！！嗷嗷嗷~~~~~~= =  朴有天你行。。。你你你你你你！！！！！！流氓！！！！！！            
(4星)	 冲着有天看的……但是最出彩的是钟基~~            
(3星)	 对得起眼球对不起智商            
(NA)	 看了两集，觉得还行            
(4星)	 韩版梁祝  古装版F4更想看原著小说了----------------------第一二集很惊艳，后面就很拖沓。结局匪夷所思~            
(4星)	 本剧亮点：宋钟基。鉴定完毕。            
(NA)	 男二控养成计划、            
(4星)	 结尾的寓意还是不错的~~~            
(4星)	 桀骜跟小腹黑必须有一腿 哈哈            
(4星)	 五颗星给我家男人，加油~~~看了两集还挺不错的，都是养眼的帅哥啊            
(4星)	 看的第一部古装韩剧. 有天的笑容太温暖人心了.             
(3星)	 养眼            
(3星)	 这剧..实在没坚持看下来..实在太乏力了..但还是很喜欢女林的表现~关键他是我喜欢的类型..哎..            
(4星)	 刚看两集，觉得男女主不错，这就是个梁祝改编故事。            
(5星)	 男猪皮相不是超级好，但是就是看着舒服呐~帅气的男二男三已经足够养眼了。。。            
(5星)	 女林是桀骜的，桀骜是女林的！！！！！！！            
(5星)	 平心而论，心肝的这部真的让他的演员生涯有了很成功的开始。希望以后会越来越顺利。            
(4星)	 原本纯粹是为了看米爷···后来一看~咦？女一是“尤美”···然后那一票养眼的男2们···恩···比想象中好很多。——看完之前的感觉。节奏或许稍微有点拖沓。但是从演员的诚意和演技来说，找不出大的诟病，确实是很不错的作品。期待第二部。——看完之后说。            
(4星)	 俊雅书生~~傲娇正直腹黑桀骜风流，要啥有啥的古装青春偶像剧。/前半部很精彩，后半部就很闷了，有点太教条。最讨巧出彩的角色是桀骜。            
(5星)	 算是2010年比较出彩的一部戏了。喜欢朴大米的演出，喜欢里面的歌曲，喜欢整个情节，喜欢掌仪后来那一刻显示出来的男人味。整体情节还是比较紧凑的～            
(4星)	 不要管他的性别，大胆去爱吧少年。            
(4星)	 没事可以看看！            
(3星)	 越看越一般，不够激动            
(4星)	 女林是亮点            
(5星)	 2010.11.3星期三。。。结束了，还是舍不得。。。            
(5星)	 wuli钟基赶快把朴有天扑倒！            
(5星)	 女主说“给我两刻”的一刻震到我了~喜欢爽朗又聪明的女扮男装~目前为止，水准不错，希望后面别变成女主争夺战就好，前面的线索和铺垫都有个合理的解释。--其实呢，我还是希望别围绕小情小爱的，有不言情的底子才衬得出情的深度，不过16集的甜蜜，BJ可以再多一点啊，哎呀，再多拍几集就好了。            
(3星)	 哎哟，天哥很帅嘛，宋钟基小朋友也很有爱嘛！            
(5星)	 男三的取向才是最重要的！！！！！！！！！！！各条loveline都很有爱&gt;&lt;            
(5星)	 朴有钱，我耐你！            
(4星)	 韩版F4 。。。韩版的梁祝。。。我在想是不是韩国人以为梁祝也是韩国的            
(5星)	 前16集真好啊，后面有点无聊            
(3星)	 看大家的评分都是多么的不理智啊=。=            
(5星)	 大米的处女秀···            
(3星)	 虽然有男二还是看不下去。            
(4星)	 补完了~老朴还是很好的嘛!!!            
(4星)	 从头至尾！最爱佳郎！没见过一个韩国的男人将古装能如此偏偏优雅！演技也是有目共睹~咱拿实力说话！            
(4星)	 看了最后一集才顿悟这是大学老师之间的爱情故事~啧            
(3星)	 宋钟基太灵了.英雄救美的乞丐男也有亮点            
(5星)	 借由一部剧 爱上了一批人            
(NA)	 其实就是一个好的结局，追完他的结果是看到了朴先生的胡须效果。            
(NA)	 朴甜甜帅极了~~~~~~~~~~~~~~~~咆哮！！！！！！！！！！！！            
(4星)	 简介像梁祝            
(4星)	 星星全给宋钟基！！！！！！！啊~~~忘了~~~还有刘亚仁~~~~~            
(5星)	 结局是扑倒~            
(4星)	 桀骜和女林才是最有爱的一对啊~~~~~·前半段比后段好看            
(5星)	 宋中基你萌死了！！！            
(5星)	 今年看了不会后悔的古装青春偶像剧。朴有天的演技比很多歌手转演员的男偶像好很多。宋钟基是不可错过的美好亮点！女林女林！至于其他，不要深究了吧~            
(5星)	 佳郎你好美！桀骜和女林好配！！            
(5星)	 结尾很囧啊- -            
(NA)	 一集  ····弃            
(5星)	 男一男二男三都有各自的看点，看到后面越是吸引人！有天表演一集比一集有味道，越来越成熟了，如果继续往演员方面发展一定会大有成就！            
(3星)	 亲哥哥诶，我丢弃你的剧            
(5星)	 佳郎，再见！朴有天，欢迎回来~~~            
(5星)	 剧情有点无聊，不过有了宋钟基和有天就够啦~~~            
(5星)	 最后一幕好活色生香～好舍不得啊～天哥，辛苦了TT TT            
(5星)	 换成绯闻怎么就变情色了，哎呀呀，适合你啊            
(3星)	 第一集弃。三颗星全为甜甜。            
(5星)	 真心的不喜歡看韓劇的人時隔這麼久才讓我看完還不是爲了！樸！有！天！果然韓劇無能··5星全部都是給男主的-   -！哈哈~            
(5星)	 五星不解释            
(5星)	 虽然后面看着有点无聊,但是五星不解释。            
(3星)	 喜欢男二                
(5星)	 所有所有都喜欢(づ￣3￣)づ             
(5星)	 不错的啊~！我曾经的大爱micky呀~！            
(3星)	 大爱女林~~~~~~~~~~~~~~~~！            
(4星)	 想着压倒男二的男三才是好孩子。            
(4星)	 对男主女主完全无感...完全喜欢男二男三的说~~女林和桀骜啊~~~钟基演得太好了！！！            
(4星)	 尽管我真的很喜欢剧中三个帅哥。。。但是女主一天到晚顶着个盘子脸在我眼前晃，我实在受不了了。。。终于弃剧。。。另外，歌也好听，JYJ，forever!!!!!!!!!            
(4星)	 很轻松的片子，喜欢女林和桀骜，他俩比男女一更粉红            
(NA)	 朴有天凭借这部剧横扫各种奖项，演技真的没话说；宋钟基的可爱搞笑真的是骨子里带出来的，一点都不做作；还有刘亚仁同学性感的小胡子呵呵；最终要的是，这是唯一一部我不反感的高丽帽子剧！            
(4星)	 男配好可爱            
(5星)	 But I came from the other side of the world            
(5星)	 我的五颗星全献给女林了！            
(5星)	 有天和宋钟基。。。            
(5星)	 貂蝉好抢镜，所以才成了捧日之月里的皇后么？            
(3星)	 里面每个演员都好赞啊 看起来偶尔会激动人心 因为演员们太可爱了 但是剧情有点平淡 可能不了解韩国历史吧 三个男猪和银银 貂蝉和掌议 都粉稀饭             
(4星)	 到最后剧情拖沓了……朴有天那个脸，总感觉在帽子下面要胀开来一样，怪怪的……朴敏英，一直很喜欢~            
(4星)	 一天一夜看完。各种美男亮眼啊            
(4星)	 被里面主人公的性格给感动了。足以让我无视粗糙的细枝末节。            
(4星)	 其实很好看的，美男养眼，然后剧情，也没那么糟糕了。            
(5星)	 我这个当时的成均馆废人来晚了，居然现在才来评价。绝对力荐，朴有天不帅，也不喜欢朴敏英，但是两人剧中的表现啊，火花啊，风驰电掣，当时连续看了3,4编，不是完整版太贵了我肯定会去买一套来看的，而且还是没有中文字幕的。话说我就喜欢男扮女装，2男或3男一女这调调了，啧啧            
(NA)	 为数不多的好看韩剧 :]             
(5星)	 先是为了大米去看 看着看着发现桀骜好帅啊好帅啊好帅啊啊啊啊啊啊 美男真多啊啊啊啊啊啊~~这是我看过的最棒的韩剧 没有之一 一点不脑残还很励志！看完心里空空的了 唉            
(4星)	 我就爱这样的桥段 特别享受男主在发现女主那一刻的惊艳  然后想爱又不能爱 还要时刻防范女主被其他人发现又不能直说的情节 ~\(≧▽≦)/~我是变态 女林的翩翩公子形象也不错 朴敏英小妞不管是不是整的 真的很美啊 绿鬓红颜 好吧 我承认我后面有好几集都是跳过去的 因为我实在等不及了            
(4星)	 官二代的读书故事+梁祝            
(2星)	 女主无爱，两集弃            
(4星)	 宋钟基古装扮相也太好了吧、            
(4星)	 都是花美男~            
(4星)	 女林桀骜。            
(4星)	 喜欢女林桀骜的义气。            
(NA)	 虎头蛇尾            
(5星)	 女林你敢再萌一点么？！            
(NA)	 除了宋钟基。。。和那个酷男三。喜欢以外。别逗都碍眼。亲，你们在一起吧哈哈~            
(5星)	 完整看完的韩剧，有天偶吧的演技也是可圈可点            
(5星)	 *^_^*            
(4星)	 为宋钟基。            
(5星)	 彻底爱上朴敏英~~            
(3星)	 我就是看看宋钟基~            
(4星)	 介于三星和四星之间            
(4星)	 还不错……虽然是梁祝，咖啡的综合版……            
(2星)	 总算给我快进完了。。。唯一看的顺眼的女林还是个喜欢男人的。。。这年头不基情不拍戏了是伐！！！            
(NA)	 消遣可以看看 帅哥多啊            
(4星)	 感觉剧本改编的比小说更紧凑，4个主要演员选得比较到位。最喜欢里边的喜剧情节。想放松的话可以看看。            
(3星)	 特喵的，完全抄袭中国的历史，好么。            
(3星)	 朴大米太装B，留胡子更装！宋钟基超可爱，男二就长发还好。            
(5星)	 难得让我这个养生的人，看到三更半夜，好看，有笑点，太欢乐了，相当喜欢            
(3星)	 喜欢宋钟基            
(4星)	None
(4星)	 喜欢女林和桀骜            
(5星)	 笑点很多，感人点也很多。总之很好看。而且，它让我想起了《梁山伯与祝英台》。大爱宋钟基，完全看不出他的年龄竟然比另外两个男主角大啊！！真是边看剧边查百度，结果查到老远老远- -伤不起啊！            
(5星)	 青春浪漫的爱情古装剧~全是帅哥。。。            
(5星)	 这个世界真有如此多的如此贤惠的男二备胎么。。。            
(4星)	 和一帮女人们一起分享的剧啊~古装的花样美男~            
(5星)	 这是我看的为数不多的几部韩古剧其中之一，很好看！虽然很多看过的韩剧都忘得差不多了，但是这部戏记忆很深，有笑点值得看····            
(3星)	None
(4星)	 “原谅我这一生不羁放纵爱自由”。女林啊女林。            
(5星)	 很好看的哦            
(5星)	 其实我就是喜欢宋仲基            
(5星)	 非常优秀的韩剧 推荐 推荐            
(4星)	 青春 古装，不错            
(3星)	 完全是为了我们家Jong Ki才看下去的呀，真心不喜欢韩国古装的服装，审美无能=A=            
(3星)	 不知怎么的。。。我觉得闷。            
(4星)	 又见女扮男装，剧情老套而且显拖沓，宋钟基饰演的女林是亮点。            
(4星)	 唯一一部追完的韩剧啊            
(4星)	 美好佳郎，热血青春            
(4星)	 我也不知道怎么着，最后三集是怎么也看不下去了~宋钟基真的演的很好很好~北国有佳人，绝世而独立~            
(5星)	 赞            
(5星)	 你说朴有天一眼看上去也没多帅，演技也没多好，偏偏看下来就是让人觉得顺眼，这角色真是接得瞎猫撞着死耗子，东团里原本最没印象的就是他，这一下子好感大增。但无论如何剧中亮点还是女林和桀骜，前者有目共睹不用这，后者后半演技爆发之后太惹人疼了，把束发的大叔脸缺陷完全弥补了。            
(3星)	 看得下去只因为有宋钟基            
(3星)	 女林~~            
(5星)	 是冲着 宋钟基和刘亚仁去的。 桀骜和女林 十分令人意外。            
(4星)	 很老看，就是剧情发展有些，，慢！            
(3星)	 刨去为了宋钟基基情四射的人们，这片子本不值那么高的评分。            
(4星)	 有天存在，便是五星！            
(4星)	 除主角外的小配们太有爱了。            
(5星)	 还有几集没看            
(NA)	 果断的爱宋钟基            
(4星)	 宋钟基好可爱！            
(NA)	 唤起青年时代对朴有天的无限热爱好吗！！！宇宙超级无敌萌男纸！！！锁骨！！！嗓音！！！舔嘴唇！！！            
(4星)	 女林和桀骜才叫友达以上，恋人未满。给我满个就五星了！            
(NA)	 刚毕业看的吧，呵呵，我一直都挺喜欢秘奇有天的            
(4星)	 都是帅哥~            
(4星)	 女主萌死了~            
(4星)	 如果不是有女扮男装 这就是最佳基友片～            
(3星)	 三颗星都给女林            
(3星)	 喜欢里面的具容夏            
(5星)	 好剧耐看，又看一遍。现在新出的韩剧越来越烂，男的越来越娘，女的整得都一个样，真是什么时候还能有实力派的剧呢，像秘密花园啦，唉唉！！！是我老了吗？？PS:小宋真是美啊！！！            
(4星)	 哈哈，比起城市猎人，朴敏英扮演的金允植更有趣哈。喜欢朴大米各种不动声色的喜感。眼睛差点被女林的美貌闪伤。。            
(4星)	 喜欢有天敏英，喜欢具容夏还有桀骜couple~~            
(5星)	 大爱啊，所有人都很可爱            
(5星)	 用了两天的时间看完，欲罢不能，天啊天            
(4星)	 女林公子您可把人萌得泪流满面            
(5星)	 呐,            
(4星)	 支撑我看下去的理由只有宋钟基~            
(NA)	 胡扯一片，剧情里面好多都有问题，还说是根据小说改编，充其量也就是个言情小说！我主要是看看养养眼，基本都跳过            
(5星)	 正如别人的评价，女主角很聪明。之于朴敏英，完全赞同哦。            
(3星)	 从头到尾看的两三部韩剧之一，居然打破了第一集果断弃剧的常规全是女林的功劳，开始冲着某天天哥去看的剧然后被女林萌的坚持到了最后。。。钟基奇葩不解释            
(4星)	 消遣时看看还是很不错的            
(4星)	 喜欢女林，“我是具龙河”            
(3星)	 完整的看完一整部韩剧对我来说很难。这部坚持了大半就是为了看女林啊。宋钟基啊，万岁~            
(3星)	 中途差点弃剧 不过 宋钟基啊宋钟基啊宋钟基``~            
(4星)	 发现古代韩语都是中字啊，只是发音不同，韩语的很多发音都是中文发音转的。            
(4星)	 星星全给刘亚仁。又让我想起当年和她们一起追剧的日子。            
(5星)	 讨厌啊 这部韩剧戳我萌点 我果然喜欢基情四溢的古装片            
(5星)	 剧情虽然说不上多么严密，但很有趣，看在几个演员都那么好的分上，给个5星            
(5星)	None
(NA)	 好喜欢有天 钟基 帅气            
(4星)	 古装版原来是美男，oh，我爱女林公子！！            
(4星)	 男二和男三真的没有什么真是很难让人相信啊~~~            
(5星)	 这个必须是5星！！！            
(4星)	 挺好看的，黄柑制那段好想笑哦            
(5星)	 大爱。            
(4星)	None
(3星)	 男性角色都很可爱            
(4星)	 小小的清新，虽然不很不喜欢男主的脑袋。。。o(╯□╰)o            
(NA)	 太好看了            
(5星)	 韩国版梁祝。萌得狠。中国现在拍的都是劲爆版的。有天是冷面小生诶。            
(4星)	 宋钟基简直迷死人了嘛~            
(3星)	 一贯韩剧作风 拖沓            
(4星)	 后面太政治了……            
(4星)	 奔着钟基去看的~~还不错~            
(4星)	 妖孽宋钟基            
(5星)	 四星剧+一星男3~~            
(4星)	 为了桀骜和女林多打的一颗星啊 更喜欢他们两个啊！！！！            
(3星)	 什么跟什么嘛。。。。            
(3星)	 因为男主才看。。剧情真的很烂好嘛            
(3星)	 还行吧，看完城市猎人后看的            
(4星)	 不错            
(5星)	 桀骜+女林=秒杀            
(4星)	 朴敏英            
(3星)	 烂尾了            
(3星)	 烂尾            
(4星)	 韩版梁祝······            
(4星)	 HAPPY ENDING的梁祝。男一二三和女一的四人帮好有爱~~满篇古语还自带翻译标注……            
(3星)	 好喜欢男二男三啊，宋钟基演的真好。。男一不喜欢。。            
(4星)	 宋钟基啊。这部电视剧最大的收获。            
(5星)	 朴敏英。。。。。。            
(5星)	 爱屋及乌，而且真的很赞            
(5星)	 特别有爱的电视剧~~송중기  사랑해！！            
(5星)	 刚开始喜欢佳郎，没想到后来最心水桀骜，刘亚仁加油！！！            
(4星)	 小时候就觉得男扮女装很high啊，估计那会儿就老是YY，所以，对男扮女装很待见啊，男二男一都不错啊，宋钟基好轰骚，还是比较稀饭女主穿男装。            
(3星)	 古装加历史外表下的青春爱情剧，特写也太多了吧            
(5星)	 朴少爷~            
(5星)	 怀念高三时追这部剧的那份感动，真心很不错，虽然其实也不值五颗星……            
(3星)	 冲人去的~不是我喜欢的题材= =古人一向很傻~帅哥多多地有~俩女主真心是漂亮的~就是这角色= =            
(3星)	 看这个电视 我更喜欢看 宋钟基 男二号呀········剧情是类似中国的梁山伯与祝英台的翻版············            
(5星)	 惊艳的女林~古代F4~不错的剧~            
(3星)	 蛮好玩的            
(NA)	 轻松娱乐的一部电视剧            
(5星)	 不错的古装剧，喜欢上朴有天啦，哈哈~不只有爱情，亲情，友情还有正义啊，信念啊什么的。。。。            
(3星)	 不怎么样            
(4星)	 一开始为了朴敏英看的。结果好稀饭女林呀。            
(5星)	 很喜欢，一直在反复看            
(5星)	 特别特别大爱的一部剧。从未有过的强烈！            
(4星)	 其实还不错的~            
(5星)	 我的女林啊！！！作为仙后表示听在在俊秀的歌配在大米的剧里面感觉怪怪的，哈哈            
(4星)	 女林超帅的！希望他以后做主角！！李先埈也不错！下部看他的时装片吧！            
(3星)	 钟基骚死了啊骚死了啊骚死了 ！！！///◇///            
(5星)	None
(4星)	 俊男美女，小清新小悬疑，卖腐卖萌，娱乐性很不错，就是结尾实在是太差            
(5星)	 不错哇    看这个喜欢上了宋钟基   真的可爱到爆   四人组都狠爱            
(3星)	 我是来看女林的！钟基实在是太可爱了！            
(NA)	 矮油 当年迷恋得还下了小说呢            
(NA)	 男二同男三~~从头到尾都在朦胧中腐~~            
(4星)	 被女林萌得生活不能自理。            
(5星)	 满满的都是帅哥美女            
(3星)	 女扮男装这种事情不论怎样发生何时何地总有它的萌点在。没看就知道有腐戏可看了。可惜本剧最终最腐的竟然是男二和男三了好吗。果然还竟然是官方CP呢。桀骜女林你们赶紧滚床单吧。攻受属性美好得都不能再美好了。            
(4星)	 忽略掉不太懂的政治斗争，光看最爱的女扮男。女主朴mm整的好精致，剧中恢复女装后艳瞎我的眼～男主内心其实蛮火热的嘛，结局那个扑倒，呵呵。            
(5星)	 原谅我是朴柳川的脑残粉……不给五星我会自己扇死我自己的……            
(5星)	 剧情四星，为把我迷倒的男色们加一星~            
(5星)	 看完了以后对朝鲜古代史与朝鲜性理学更感兴趣了！！这是我看过的最有意思的一部韩剧（虽然看过的不多）...            
(5星)	 好看            
(3星)	 剧情慢呐，不过宋钟基演的真可爱~            
(NA)	 弃之。            
(4星)	 冲着本命            
(3星)	 哦草，果然每个女主都是装13的么？？？我果然是对韩剧的装逼女猪脚无爱。还是乖乖看众配角好了，话说朴有天真的很不耐看，一开始还好，无奈配角们实在比他好太多。    PS：现在我是对主线感情一点兴趣都没有了，墨迹个鸟啊，严重不耐烦，但是为了配角我忍！            
(4星)	 女林，哦呵呵呵呵呵            
(4星)	 难得不狗血的韩剧.....            
(4星)	 女林！你在我眼里即是男猪又是女猪！么么            
(5星)	 还是难逃韩剧的理想主义和女主万人迷规律~~但是为了帅锅们，五星坨坨的！故事情节里大多都是中国儒家文化，看起来熟悉也陌生。中国怎么就拍不出这样有趣也有韵味的剧呢？            
(5星)	 原来是有天            
(3星)	 男主很儒雅            
(4星)	 刘亚仁…我依旧钟爱男二号，嘎嘎、            
(4星)	 人家拍的咋这么萌……            
(5星)	 有天啊。。。大爱啊。。。            
(2星)	 我是被同学架着看的 真心不对我胃口 就钟基大帅哥有诱惑力             
(3星)	 =v=好爱女林桀骜            
(5星)	 主题曲超好听，第一次看到JYJ的剧，不管是李善均还是金允熙，还是成均馆四人组，让人很难忘！            
(3星)	 妖孽正太男是我的菜，四年来看的唯一一部韩剧，太不容易了。。。。但是，美颜也不能灭除韩语嘟嘟囔囔的恶感啊            
(5星)	 我是男一党。我喜欢腹黑男。            
(NA)	 从这部戏喜欢上朴敏英的，但是后来得知她整了容，还跟李民浩在一起，很桑心。。。。            
(4星)	 打嗝打久了会成习惯的......            
(NA)	 不错不错~            
(3星)	 还比较喜欢女林和佳郎~大爱朴敏英的包子脸~这剧反倒是前面比较有爱~后面各自都明了身份后反而不好玩了~快进快进到完结~            
(4星)	 那个妖孽的男三号和耍酷的男二，不能说的秘密            
(NA)	 韩国版的梁山伯与祝英台            
(4星)	 大物...小说的OOXX情节电视剧里面木有啊            
(NA)	 无意看到的，喜欢            
(5星)	 多不错的！            
(3星)	 女主角长得挺漂亮，男配角有一个长得很好看的。            
(5星)	 好有爱啊   最喜欢女林了            
(3星)	 人物很养眼            
(NA)	 我比较喜欢的调调，有天好帅啊~~~            
(5星)	 挺好看的古装剧，喜欢女林~~~            
(5星)	 一直都没有留意过东方神起这个红遍亚洲的组合。但是看完这个，第一次回头去看了看有天和东方神起究竟有什么个人技能魅力。片子里面情节其实大家都烂熟。但是4大主角的角色定位和性格编订都做得很不错，而且越是小细节越动人，所以才能动心。不是一部只有主角的片子。            
(3星)	 除了有仟演技很赞             
(NA)	 韩国古代版花样少男少女            
(2星)	 宋鐘基 鍾情于搞基            
(4星)	 知道了原来还有朴有天这号人，接着迷了好长一段时间，如果当时来打分的话百分百是满满五颗星。            
(5星)	 虽然刚开始是冲着我最喜欢的偶像东方神起里曾经的成员-朴有天演的来看的，但是看过后才发现，他的演技更为吸引我~~  很好的一部韩式古装梁山伯与祝英台的爱情，HE结局哦！            
(5星)	 力挺刘宋两人最佳CP            
(3星)	 想看俊男美女的推荐 剧情也不太无聊            
(5星)	 大爱女林桀骜！！！            
(NA)	 好看！            
(5星)	 太爱了，看了这部剧觉得朴有天挺顺眼的，宋钟基，你什么时候能大红大紫啊啊啊啊            
(4星)	 前面比较好~            
(3星)	 就觉得宋钟基帅爆了。            
(3星)	 剧情实在是...如果不是为了朴有天我是看不完的 = =            
(5星)	 哇哈哈，这个片子真是不错错，一把把的帅哥，各种搅基，各种YY，又很欢乐，不错，看了2遍            
(4星)	 看完之后，，开始粉宋钟基            
(NA)	 喜欢宋钟基~喜欢朴有天~喜欢女主            
(4星)	 追了一天半, 终于追完了. 喜欢打嗝师兄            
(4星)	 演员都挺萌的            
(4星)	 刘亚仁            
(4星)	 为什么韩国男纸头发撩起来就都变得......宋钟基和刘亚仁都是......            
(5星)	 敏英xi 美极了            
(4星)	 很搞笑的韩剧，顶一个~            
(3星)	 原来这个女的就是朴敏英            
(5星)	 华丽丽的基情 女主几乎无视 缺点结局拍的不认真            
(5星)	 超好看！帅气四人组            
(NA)	 。。。。。。还是大师兄比较MAN，朴有天多木头的            
(4星)	 一部除了男主角其他的男配都很可爱的电视剧。。。            
