http://movie.douban.com/subject/4751123/	洪武三十二
(2星)	 硬着头皮看完，实在不喜欢立面的演员，徐子珊倒是越来越有味道了…            
(3星)	 为苗苗看的            
(4星)	 大马演技很霸气啊，老谢的表现没有laughing sir抢眼，造型也一般            
(4星)	 苗苗好可爱=V= 谢天华马德钟大好ww            
(3星)	 起初是冲着谢天华去的，后来发现终于有一个适合徐子珊的角色了，徐子珊适合走御女系啊，白领，律师什么的知性角色真不适合            
(5星)	 好剧啊!!!大赞啊!!!!基情啊～～`            
(2星)	 弃了            
(4星)	 不错            
(4星)	 最近几年最好看的一部 但是我特不待见陈键锋和谢天华              
(3星)	None
(3星)	 不好看…看了前2集就没看下去的欲望了            
(NA)	 还是大爱谢天华。            
(3星)	 徐子珊那张脸&gt;&lt;接受无能..            
(4星)	 马和陈演的都挺不错的~不知道编剧是不是故意的，非要这么基情- -            
(3星)	 好基友 好盆友！            
(4星)	 戏说历史，何必当真，就故事叙述情节来说，已经很不错了            
(3星)	 雷片啊。。。            
(3星)	 无聊中也追            
(5星)	 尊重史实，感情戏纠结了一点，不错            
(5星)	 苗演的竟然是委婉的太监。。。。            
(4星)	 感觉虎头蛇尾，后面剧情显得过于拖泥带水            
(3星)	 马德钟 陈键锋            
(3星)	 马德钟的燕王，装疯的部分不太好，还不如唐国强演的 郑和下西洋 中的更接近真实。            
(3星)	 陈键锋一会胖一会瘦，马德钟一如既往的很有霸气，谢天华老演这种怪怪的人物，还是一如既往的不喜欢徐子珊，不是说他不好，就是不喜欢            
(5星)	 馬神!!!!!!!!!            
(5星)	 陈键锋tvb的最后一部戏了~ 可惜演的是三保太监~             
(4星)	 史上最萌太监。卖萌可耻啊！            
(3星)	 很俗套的TVB古装剧，没有什么亮点。            
(3星)	 虽然一般般，但是我还是看完了，其实还可以吧……            
(3星)	 如果不是爲了看苗苗，肯定半路棄。。。後半劇情各種BUG和硬湊真是慘不忍睹            
(4星)	 一直都不喜欢徐子珊！            
(3星)	 一直看不惯谢天华。觉得他没观众缘。看了这部剧觉得还行吧！            
(4星)	 2011-07-20~2011-07-29            
(4星)	 蛮好看的。港剧的古装戏也比现代豆腐剧情节好的多。            
(3星)	 狗血的剧情，辜负了那么多帅气漂亮的演员。三保最后被叫做郑和，我昏倒啊            
(4星)	 谢天华逃不脱反骨仔的命运，此次是古装版Laughing哥之情义两难全。全剧最可惜的莫过于陈键锋的三保啦，即使人家确实长得细皮嫩肉，也不能给安排个太监的角色啊！！！难道是因为配戏的女主不够，编剧才忍痛下刀的么？苍天啊。            
(4星)	 颠覆史实果然是TVB古装最擅长的。。            
(3星)	 不过不失之剧，陈键锋演郑和，可怜了这张俊脸所能引发的男欢女爱。            
(4星)	 喜欢这类型。            
(4星)	 马三保还可以再萌一点吗。。。            
(4星)	 把江山还我！皇帝必须能文能武，做大事还不能心软，要六亲不认！燕王霸气销魂、敖笑风艳福无边。与史实不完全切合，可能还带有武侠传奇色彩，糅杂的情爱生死，杜撰的郑和生平，却可看性蛮高！              
(4星)	 我竟然不讨厌徐子珊了！~            
(5星)	 一段历史，蛮好看。            
(3星)	 虎头蛇尾            
(3星)	 燕王气场够足，和三保基情嘿嘿            
(4星)	 补历史了            
(3星)	 tvb越来越无爱了，即使有我喜欢的演员            
(3星)	 人物关系搞的太复杂到匪夷所思 公主这个角色真是太败笔了 简直让我想到了晴晴   几个男主演技不错             
(3星)	 我只能说：可怜的苗苗啊。。。所以我给三星不少了            
(3星)	 里面的爱情，真的是相当纠结            
(4星)	 我承认我是来看帅哥陈键锋的哈哈哈哈~史上最帅的太监有木有！~            
(3星)	 laughing哥现在也是一线哥了~~            
(3星)	 前面真心还可以哇            
(NA)	 喜欢朱棣~~            
(4星)	 其实还不错，陈键锋是几个新生代里面演技最有发挥的一个            
(4星)	 公主，你又会咁好生养嘅！            
(3星)	 剧情有些拖沓，感情线是我看过所有古装戏最乱的一部。其实马德钟还是现代装好看，不过喜欢他演的燕王，千三娘就这么死了，我久久不能接受，马三保很讨人喜欢呀，哈哈，萨仁高娃押对宝了。            
(3星)	 继GG之后，洪武三十二真是所有男男女女搞在一起的典范片。你怎么敢这么乱！这么乱！！ 此片创新之处还在于引入双胞胎元素。她爱他，她爱他，她确实不爱他实际上她爱他，她假装不爱他爱他实际上是为了他背叛了她而报仇，其实她心底还是爱着曾经爱她而现在不爱她的他的。             
(4星)	 太喜欢陈键锋了，他所扮演的角色，虽然有身体上的缺憾，但是他的重情重义，他的头脑弥补了，而且马德钟所扮演的朱棣有其特点，包括他所拥有的霸气，但是以及对家庭的爱            
(3星)	 冗长，马德钟laughing哥表演尚可            
(5星)	 看过以后真是超喜欢朱棣啊~~恩恩，很多地方拍的很好。很多人的人性探索的很棒啊.......            
(4星)	 之前看的吧。。忘了，过得去            
(NA)	 刚刚看完 江若琳眼睛好大...            
(3星)	 洪武三十二            
(NA)	 是的。爱TVB            
(NA)	 我的苗苗是太监，MY GOD            
(3星)	 有个一句话点评挺经典的：“是女的都跟敖笑风有暧昧，是男的都跟马三保有基情......”看的我相当凌乱啊~~~            
(4星)	 除去被弯的部分，30集有点拖沓，但至高点还是有的。谢天华一会看的挺帅一会又觉得不灵……江若琳的大眼睛，徐子珊真心适合古装。陈苗苗！！！你才是本剧的重点            
(3星)	 6.5/10，为马德钟赞一个。            
(2星)	 太长了 ~            
(4星)	 剧情挺紧凑，较符合历史            
(4星)	 不知不觉看完了。想看看明朝那些事儿。。            
(5星)	 蛮好看的，虽然结局有点小小的悲催            
(3星)	 一般 我觉得我老了 对港剧 实在不行了            
(4星)	 还行吧，TVB就是演技派，就是有点美化历史了            
(NA)	 那个公主，看的我来气...苗为什么演三宝啊....            
(3星)	 我看到了三宝和燕王的基情。            
(3星)	 后半段剧情好弱！！！！            
(4星)	 香港电视剧可以说好差参半吧！！它的爱情故事永远那么老少皆宜，战争片永远那么假！            
(5星)	 好看好看，燕王好Man ！！！最喜欢的3个角色马德钟演的燕王，徐子珊演的千三娘，陈键锋演的马三保！！！            
(3星)	 没看完，没好看的女演员            
(4星)	 水灵灵的三保太监~~            
(5星)	 只看苗苗撒就觉得苗苗是主角撒            
(3星)	 男人的爱~            
(3星)	 扯了点            
(3星)	 我依然钟情于纠结的爱情故事。            
(3星)	 也还不错呢，特别是大家在八燕王和万能的三保时            
(NA)	 可惜了陈键锋了呀，是个太监            
(4星)	 2011.05-06            
(3星)	 千三娘真悲剧啊，永远一个表情，打酱油的都比她耀眼。            
(2星)	 不好看，特别是徐之珊的古装扮相，实在不敢恭维啊。 不过马德钟倒是演得不错。            
(4星)	 主题曲比较吸引我。            
(4星)	 三天看完，片中美女不少，哈哈            
(5星)	 本来只是磨论文的 看着看着觉得还有点儿好看 片尾又是古装MV 以致我始终认为千三娘or楚楚会和敖笑峰大爱一场 可惜没有 听子珊费力飙那句“其实与你分开”很有趣 网友说三保是带了彩瞳的我真没看出来啊 敖笑峰怎么就喜欢公主了 没意思 公主爱骑士 骑士该不以为意爱另一个 另 尺度有点大            
(3星)	 里面的演员没有一个我喜欢的 但是因为无聊才看的 看完以后也没有什么感觉             
(4星)	 以前不DJ的徐子珊演的千三很有味道。            
(5星)	 无聊看看 美女蛮多            
(4星)	 三保最有爱了~~~            
(4星)	 还可以            
(4星)	 不错，对徐子珊印象大卫改观啊~            
(3星)	 基情四射。。            
(4星)	 苗苗演宦官 心碎            
(3星)	 只为了Laughing哥啊~~~            
(3星)	 马德钟好帅......            
(4星)	 好有味道的朱棣 霸气            
(5星)	 情节紧凑波折            
(2星)	 公主太寒酸了 T            
(3星)	 越看越觉得狗血，特别是公主、楚楚等等，真的让人有点不知所谓。。。            
(NA)	 还好吧            
(5星)	 麦嫂推荐我看的，看完觉得还不错，值得一看。一直不喜欢徐子珊，这部剧里面的千三娘倒还可以，不那么让人讨厌。            
(3星)	 除了马德钟和徐子珊的戏份十分精彩之外，其余皆乏善可陈，可惜了这么一个好的故事框架，细节简直一塌糊涂。            
(3星)	 前面还不错，后面实在····借用同学的一句话，这个电视剧讲的就是敖笑风失忆后的恋爱史            
(5星)	 燕王好灵啊，霸气，嗲。整个故事环环相扣，大案子里面有小案子，很喜欢，三宝演的太监角色很聪明，也喜欢            
(4星)	 帅哦            
(3星)	 江若琳的声音真的让人受不了...苗苗真的超帅的！！！            
(4星)	 大爱我们家苗苗~~~  帅死我了            
(4星)	 诡异的结局和配对            
(3星)	 这纯搞基的说            
(5星)	 ★★★★★全給馬三保 陳鍵鋒你以後可以都演這種 最帥最靚TVB男女星我就投給你 半☆給高娃 我想演高娃 哈哈哈~            
(4星)	 所有女的都和敖啸风有暧昧，所有男的都和马三保有基情。            
(5星)	 难得的剧情，近几年中……一开始不喜欢公主，后来越来越有好感，很难得的女孩了，在现代……三保不是太监的话，该多好，看来我的境界不如高娃姑娘……            
(NA)	 这个好看！            
(3星)	 港剧越来越烂啦            
(5星)	 原来马三保就是郑和。。。            
(NA)	 这几天一直看这个，那个公主真是讨厌。            
(2星)	 可惜了陈键锋，好好的小帅一枚，被安排做了郑和。。。。。。哎。。。。。。。那个演皇帝的能换个演员不？徐子珊的造型。。吐槽啊，一堆假珠假玉假发            
(3星)	 本来兴趣高高，但是结局太狗血了吧。失望。            
(NA)	 这个朱棣是我至今最喜欢的朱棣。左轮啊，就算带了朱允文的假发套你一眯眼还是左轮；左轮啊，就算穿了建文帝的龙袍你一皱眉还是左轮。。。            
(3星)	 终于看完了            
(4星)	 前面和中间不错 后面不耐烦了。。。            
(4星)	 追着看的，觉得还不错啊            
(3星)	 这部戏的突破在于有BL情节。我真的想不通敖笑风怎么和公主了，不和楚楚一起，莫名其妙的            
(4星)	 这个。。。。。开篇还不错，后面狗血了。。。。。马德钟果然演技派，那个公主还是算了吧。。。。。全篇最没感觉的情侣就是敖啸风和公主。。。。话说四火妹好可爱，可是戏份太少，陈苗不错，总的来说三星半吧。。。。。。。            
(3星)	 算是近几年TVB剧中的上乘之作，有种明朝版《鹿鼎记》的感觉。无论是剧本、制作还是风格都有种回归TVB早期古装剧的感觉，很好~~本剧一些镜头的尺度作为历史剧来说真的挺大。结尾很圆满~            
(4星)	 终于明白为什么她会饰演公主的角色了。            
(4星)	 近期唯一值得看的TVB剧了            
(3星)	 竟然暗腐            
(4星)	 怎么说吧   可以用作消遣 提升对明史兴趣的剧作            
(3星)	 烂尾了 人物关系太牵强            
(3星)	 马德钟演的挺好，谢天华终于上位，女的里面最漂亮是那个陈美诗，朱棣老婆的声音好甜好风骚，江若琳的古装真难看，TVB的历史剧真木有场面啊。            
(2星)	 这个剧貌似好多人批，选择看的原因有三：一谢天华，二明朝那些事儿，三马德钟。            
(4星)	 三个男主角之间的爱情故事，与女性角色无关            
(4星)	 跳到结尾  看不下去了            
(3星)	 苗苗~~~~~我就冲着你看的~~~~~            
(5星)	 TVB的古装终于开始复苏了..除了那个公主...其他人都蛮好的.            
(5星)	 谢天华不是帅哥 但是总能演出那种让人喜欢的感觉 痞的感觉吧为虾米三保是宦官？公主怎么能这么随便喜欢别人呢？应该有点分寸吧？还是不理解朱棣从遗嘱到最后谋反的整个心态变化？？？徐子珊怎么也不像风情万种啊？总体来说情节还是很好看的            
(4星)	 结尾又不行了            
(NA)	 子珊剪辑版毕…徐御姐你好！            
(4星)	 好讨厌的 公主            
(3星)	 只为陈键锋mark。。。            
(NA)	 还不错吧，尤其是在案情的设计上还是有点悬疑的！            
(NA)	 因为三保没有跟爱人在一起 所以不看了            
(3星)	 一般般吧...看帥哥來的，哈哈~            
(NA)	 最近TVB烂剧中稍好的一部~~囧            
(3星)	 听过，这剧真的不用眼睛看，听他们讲话就够了            
(3星)	 还好            
(3星)	None
(4星)	 前面20集还不错 后面有点烂尾了哈            
(NA)	 刚看完，结尾有些太仓促了，知道了姚广孝和郑和（马三保）            
(4星)	 大爱陈键锋~!            
(3星)	 傲笑风^ ^            
(4星)	 马德钟近年来难得发光的角色            
(4星)	 悲剧，真是虎头蛇尾，敖笑风这条线安排是败笔啊，永阳神马的都是浮云啊。不过结局蛮有趣，基本还能对得上号。敖将自己儿子换建文帝命还真是玄乎啊，编剧有才。            
(4星)	 谢天华的表情 看来看去还是那几个 囧  三苗又是来打酱油的            
(3星)	 这是除了出更徐子珊走男仔路线之后唯一一次不烦她的戏!            
(2星)	 港剧的格局越来越小了。陈键锋果然是受            
(3星)	 &gt;&gt; 当中漏掉很多 - o -            
(4星)	 坦白说，这个电视剧就是让我腐一下，哇咔咔            
(3星)	 TVB的涉史剧总是轻轻的，及不上ATV的重，剧情尚好，人物造型还算靠谱。片尾MV很清新，只是一听到Laughing哥那柔情万种的歌声，就让我莫名其妙的感到好笑^_^!              
(3星)	 虎头蛇尾 有点四不像            
(4星)	 是不是好片值不值得看先不说  因为几乎都是喜欢的TVB演员 被饱了眼福就不找纰漏了。只是还是觉得部分剧情过于小儿科了点  不过对电视剧向来就不期待能有什么高素质的东西 本来追的只是剧  只是TVB拍的并且有自己喜欢的演员  就足够构成我非看不可的理由了 。期待TVB新剧吧            
(4星)	 基情四射。            
(3星)	 洪武三十二，名字起的好！            
(NA)	 爱死陈键锋和马德钟了            
(4星)	 三苗确实有点惨，戏份被剪了很多哦，马德钟很帅。            
(5星)	 可惜马三保戏份删好多- -整体剧情还行            
(4星)	 继续讨厌徐子珊            
(NA)	 剧情设计还算紧凑，虽然不乏杜撰演绎的成分，好多还是遵照历史的。对比我看过的TVB的电视剧，此剧部分情节口味重了点。            
(4星)	  马德钟霸气！  点解LAUGHING怎么没有同子珊一齐！！            
(3星)	 腐向            
(3星)	 严重缩水的投入下，尚能一看的历史剧。            
(3星)	 室友这几天狂看，so...            
(5星)	 马德钟演技可圈可点。想来时间很快。已是苗在TVB的最后一片。            
(4星)	 马德钟有胡子好看多了啊~苗苗太萌了            
(5星)	 苗在里面很虐，但是演的很出彩            
(4星)	 界么符合历史。。。宁王都几好。。。            
(NA)	 总得来说没有很偏离历史，大概由于本来就对朱棣偏有好感。            
(4星)	 前面几集有点拖拉，但后面都不错，“三保”是偶的菜啊，可惜。。。            
(5星)	 基本符合历史，全家追看的好剧！前期被苗苗的萌和谢天华迷得神魂颠倒，后期爱燕王的霸气爱得晕晕乎乎~            
(5星)	 好多帅哥美女的历史爱情剧！陈键锋谢天华马德钟...女演员方面王君馨陈美诗江若琳陈倩扬徐子珊马赛...小生花旦们令人眼前一亮，前部分永阳公主和刘忠良是亮点...这种半历史剧有意思不沉闷很喜欢~~            
(3星)	 编剧很糟糕阿！马德钟够力，公主的剧情好多都是多余的，哎            
(4星)	 最近不怎么看的进去电影.不过这一部30集的我居然1个星期就看完了...陈键锋的奶油小受形象真是...谢天华的奶油硬汉想象真是...马德钟的大黑脸形象真是...我觉得江若琳还不错哈~            
(3星)	 颠覆我的CP观。。。            
(4星)	 公主是败笔，大败笔，绝对大败笔，马德钟有突破。。。            
(NA)	 片头曲很有气势，公主太傻~目前就这些~            
(1星)	 TVB越来越多的烂片了！            
(4星)	 较为符合历史~但是看的时候经常YYBL……故事紧凑，内容丰富~            
(4星)	 冲着谢天华才看的，故事前面不错，但结尾不太满意。            
(4星)	 我只看男主角！            
(2星)	 尼玛。这部剧很想死！！首先老子不知道这部剧的主旨是神马，主打谋朝篡位？土鳖表示看不懂主旨的片子就等于垃圾。不存在任何意义。反正土鳖没看懂这部片子的主旨。再来，尼玛%……这部剧的女主角个个都特么凤姐派。而且演技看着也折腾。。顶不顺啊。。最后2J实在没看下去。。等哪天有空再说。。            
(NA)	 第一集就笑死人了,明太祖年间居然会爆出狸猫换太子的台词!            
(3星)	 本来以为陈键锋是主角没想到演了个太监……据说是他与tvb的问题……真郁闷……不过个人觉得马德钟演得真好……可是剧情太老套了……关于朱允文朱棣的那些破事已经拍了很多遍了            
(5星)	 后面很艰难的看完了，马德钟气场十足，谢天华你要不要这么纠结，陈键锋扮相很帅。里面基情四射~~有没有~~！！            
(3星)	 刚看完明朝那些事再看这个，觉得真的好胡扯啊，我错了，人家在拍电视剧啊。。。江若琳长得太现代了，不适合拍古装剧啊，虽然还是很好看。剧情不是很好啊，没有高潮，没有重点的。好喜欢燕王妃啊，这个女人太识大体啊~！            
(4星)	 只知道看完了很不舍，爱死谢天华，陈键锋！！！            
(3星)	 一部历史剧题材背景却看得好笑屎了             
(4星)	 马德钟还挺有突破的这一部，感觉有帝王的感觉啊。不过三保说实话｀｀有点夸张，当时也没有这么受重用吧。不过江若琳太太太不适合古装了！！！            
(NA)	 不好看            
(4星)	 明朝那些事儿。            
(3星)	 有意思不。。            
(4星)	 对片头曲完全没有任何抵抗力，只是TVB就没有长相体面点的了人类了么……必须快进呀……            
(3星)	 没什么好看的。。。马德钟演的燕王蛮有王者的气场的             
(4星)	 燕王！！！！气场无敌.....            
(NA)	 看的不是剧，看的是腐。            
(3星)	 我顶不顺公主在里面每天穿一马靴配靴裤……            
(NA)	 看了一半多看不下去了，一想到三苗演的是郑和就纠结，尼玛多好的一个男人啊竟然是宦官！！            
(3星)	 悲剧。陈键锋演太监。。。。。。            
(2星)	 对演员吐槽无力...陈山聪好浮夸，马德钟伪霸气，陈键锋肥得脖子快没了...laughing哥继续面瘫，直接是鱼至嚣穿越...最后，徐子珊PK江若琳，z3完胜！            
(NA)	 我以为是武侠剧，飕飕飞的那种，上当了，不过还是看完了~            
(4星)	 结尾比我想象的要美好~            
(NA)	 今天看了一天，看得精疲力尽。两个男人都蛮优秀。            
(4星)	 谢天华，laughing哥~            
(4星)	 好看！            
(4星)	 开头悬念做的很好，只是到后来基本猜得到结局了            
(4星)	 陈键锋在里边很亮            
(3星)	 败笔的2块地方：1公主那个阿穆棱；2朱棣和楚楚的一段情            
(3星)	 还行吧，没有想像中那么脱离史实，算一比较严肃的娱乐剧。Laughing Gor表现平平，马德钟有所突破，演出了角色的霸气。            
(4星)	 TVB近几年的古装很少对我胃口的了 不过这部可以有 马德钟演朱棣很适合 谢天华从LAUGHING哥之后平步青云 唯一的不足、不喜欢江若琳和皇后             
(NA)	 马德钟献出了人生中最优的一次表演，陈键锋获得了与他最贴近的角色。            
(4星)	 感情纠葛有点复杂, 但是燕王太帅了～～～～            
(3星)	 大家一起失心疯            
(2星)	 江若琳很恶心，冲着陈键锋去看，结果是个太监还搞得那么玉树临风迷死万千少女一刚，tvb的剧真是越看越狗血            
(NA)	 laughing哥还是很帅            
(4星)	 凌乱啊...            
(4星)	 总觉的熬笑风在里面不是锦衣卫，应该是日本武士，哈哈！一看他拿剑得样子我就想笑。好同情朱允炆，他就是这电视剧唯一的，也是最大的悲剧，可怜！可怜~！是到底还不是朱元璋害的。            
(4星)	 女主角普遍丑，其他都还可以接受            
(3星)	 30集感觉太多了              
(4星)	 苗苗跟朱棣，是赤裸裸的JQ啊！！！！！            
(4星)	 tvb总有不同的历史观，虽然阵容一般，但是情节丝丝入扣，马德钟好帅，苗也不错.            
(5星)	 陈键锋好帅啊好帅啊！！            
(4星)	 原来很不喜欢徐子珊，这里改观了！            
(3星)	 特别典型的古装外壳港式侦探剧。场景和特效一般般。            
(4星)	 看完之后，感觉建文帝很二；朱棣很勇猛；马三保那么帅，并且有勇有谋，却可惜是个太监；永阳公主和敖笑风最终有情人成眷属，而其实本剧真正的幕后大老板却是和尚道衍！除此之外，本剧还玩起了“无间道”、“穿越剧”、“侦探柯南系列”、“三角恋”等，够雷够有味！            
(3星)	 马德钟老了，但燕王这个角色演得不错            
(4星)	 再见了，亲爱的苗苗            
(3星)	 全片仅三保一个萌点。第一次见马德钟演如此霸气的角色，还不错。另，配乐也太省了吧？全都是TVB以前古装片里的。。。            
(4星)	 喜翻陈键锋！            
(5星)	 没想到只有三十集就完了，真是意犹未尽。希望能够多拍些大明的电影电视作品，普及大明历史，让人们更好地了解一个曾经让中国走在世界前列的王朝，有着许多让我们值得怀念的故事、有许多值得我们学习效法的地方、有许多值得我们骄傲的东西，改变我们的鄙薄偏见、正确地认识大明的历史、还历史一个公道！            
(3星)	 消耗时间呗            
(3星)	 不喜欢女主……            
(4星)	 马德钟出彩咯 谢天华继续给我惊喜 陈键锋是个好人咯 白面书生 我最意外的是发现演永阳公主的还可以耶 眼睛蛮大的 值得关注咯             
(3星)	 3苗和马生是亮点，女角一个都不喜欢。那个出浴的场景总算没辜负我的期望XDD            
(3星)	 不爱徐子珊。            
(3星)	 很多地方都和历史契合，但是没什么看点！            
(4星)	 除了对宁王朱权有点污蔑外，其他都不错，朱权可没这么坏，而且按照影视传统善恶观，这种坏人最后居然没死，实在不公平，所以编剧完全可以不要拿朱权作为反派，可以换个人嘛，比如朱权手下的某某虚构人物，煽风点火使坏，最后被三保干掉，这样可能会更好。            
(4星)	 公主，你怎么这么好的繁衍力。。。？            
(5星)	 主题歌 苑庭            
(3星)	 脑残的公主            
(NA)	 我的锋锋在里面。。。果断追之。。。真好看。。。可是为什么。。。我的苗苗演的是宦官。。。55555.。。。可是。。还是帅。。。口水从头留到结束。。。哎哟。。。            
(3星)	 越看越烂。。。看不下去了            
(3星)	 基片...            
(5星)	 单纯地觉得马三保那纠结的表情很可爱            
(5星)	   和历史相关的就是各种喜欢~   剧情很好啊            
(1星)	 超假 亏我还等了老半天            
(3星)	 没有任何吸引我的演员居然也看完的一部&#34;历史&#34;港剧，已经不能从【tbb对于历史的把握有多桑感】来评论它了，总之是看完了，不温 不火            
(2星)	 好不容易看完了 冲着人去看的 但剧本真的是不行啊            
(4星)	 N久没看港剧，这部古装剧总体来说不过不失，吸引的是陈键锋和马德钟，键峰同志的演技有进步啊，演得很到位。眼神杀shi人了。            
(3星)	 失忆后的熬笑风，感觉太反复纠结了…            
(4星)	 陈键峰各种卖萌 =。=            
(3星)	 宏观脉络的剧情稍欠火候            
(3星)	 TVB            
(2星)	 BUG超多不说，武术指导还非常的2。            
(4星)	 除了电视剧中有些镜头比较假外，比如说什么打架的替身啊，血啊什么的，此剧令本人受益匪浅啊！向来历史差，看了电视剧都学乐不少啊！！好崇拜郑和哥哥啊！！！！！！            
(4星)	 如今的电视剧没点基情就没意思了哦~~~            
(4星)	 马德钟近来最好的一部电视剧 霸气十足陈键锋 温文尔雅 但是一直扮演这类似的角色 缺乏突破            
(3星)	 總覺得裏面三保有gay情,然後敖笑風很多風流史            
(5星)	 因为有三保，所以五星            
(4星)	 好久没有看港剧了 这个还不错啦~            
(3星)	 所有BG戏份（三宝童鞋暂不在其列）也就片尾那个同人MV带感了            
(4星)	 郑和让我不知所措了            
(3星)	 头重脚轻了···故事里有比较多的角色遗憾···            
(4星)	 郑和先生很萌            
(3星)	 TXB的片子都这样，虎头蛇尾，失望啊            
(4星)	 燕王朱棣是条好汉！            
(5星)	 好好看哦。好喜欢陈键锋，好喜欢公主！            
(3星)	 laughing哥中年发力了~            
(4星)	 看港片就看剧情，其他的，呵呵，都是一个模子．            
(NA)	 我居然把這部爛劇看完了            
(4星)	 完全是冲着Sammul看的，虽然戏分非常之少，但还是全追完了。结局很草，很坑爹。            
(2星)	 编得比较离谱  很烂···            
(4星)	 今天大结局看完了，非常意外，因为实在是结束的太快了，难道TVB没资金了？前面铺垫了那么久，结果居然是这样，不过TVB善于把每个人都理想化，感情化，朱棣应该不是这样重情重义的人吧~            
(4星)	 今天看完了，结局当然是大圆满！各自都可以实现自己的愿望！也希望自己可以做自己想做的事！            
(1星)	 主要是想看看是否与明朝那些事儿里说的历史一样。英雄都多情，而道衍这种人也深刻地影响着历史的发展，这个郑和的前半生居然如此给力，航海原来只是个爱好。            
(3星)	 坑人的结局            
(3星)	 TVB的电视剧近几年来很少经典，这部也不例外，还能追追，但是江若琳实在长得太奇怪，不是很喜欢她            
(3星)	 本王罪孽深重，求你鞭打本王。            
(4星)	 还行吧，在近几年的TVB古装中算不错的了            
(2星)	 要不是为了陈阿苗，我应该撑不过10集            
(4星)	 我愛陳鍵鋒啊啊啊啊啊啊啊！！！！！！其他一切都是浮云！！！            
(3星)	 谢天华还是演比较适合坏人；陈键锋眉目间总有种女人的怨；这么多年，第一次觉得马德钟帅。            
(NA)	 若            
(3星)	 情节乱七八糟，感情稀里糊涂，整部剧就像一团乱麻似的，不过还是每天一集的守着看完了            
(3星)	 终于看完了            
(4星)	 TVB通病，结尾太烂。            
(NA)	 主要是为了看下三保。。。            
(3星)	 两分给马德钟，苗苗和天华各一分，江若琳倒扣一分            
(3星)	 燕王真是集近似bug的武艺，验尸，装傻充愣，滚床单于一身的复合型人才。三苗离开之作            
(3星)	 单纯冲着陈键锋看的。            
(4星)	 我觉得就tvb拍的历史剧来说，还是算比较靠谱的了，最近刚好在看明朝那些事，再加上边看边百度，很多事实也比较符合了，当然要百分之百符合这个不可能做到，加上史料记载的各种偏差，也不可能做到。就个人来说，觉得是tvb拍得最好的历史剧之一了（另一部觉得是楚汉骄雄）            
(4星)	 感情戏有点多，剧情还是比较充实出彩的，演员演技还可以，实力派居多。            
(3星)	 三苗在tvb最後部戲            
(5星)	 我原来觉得自己没那么爱看古代片。            
(4星)	 前面比较好看            
(3星)	 本来以为马三保是以亮角  结果是以TJ 这不是坑爹嘛 坑爹嘛            
(4星)	 本来只想给三颗星的。犹豫了下，还是觉得多半颗给那几个港姐吧。。还有半颗给编剧的重口味。            
(3星)	 港剧的一大缺陷就是战争场面实在是太小太假了，一点排场都没有。还有啊，凭什么这些女的都围着一个敖笑风，剧情发展需要吗？太假了！公主你要不要这么没脑子。最后最后！！！陈三苗你怎么去演了一个太监！！！你让那个蒙古MM情何以堪啊人家都向你表白了你却拿出一套太监服出来！！！            
(3星)	 这过于圆满的大结局真是雷死了。。。            
(NA)	 跳看。            
(4星)	 三保不是宦官就好了~            
(2星)	 你妹的  朱元璋当了31年皇帝就死了，建文帝有这么工于心计么，永乐帝有这么仁慈么，除了道衍比较符合历史外，只能当闹剧看。。。            
(5星)	 是片头，怀念起小学的时候，收玉米的时候，剥着玉米皮，电视放在外面，TVB就这样印满了那些日子。快到麦收时节了，现在最幸福的，莫过于摸仓种，喂那些毛茸茸的小鸭子，小鹅，小鸡。有个传说，如果是双儿日，仓种就会成对出现，真是怀念呢。            
(3星)	 看到8集没兴趣追了，TVB的剧越来越无聊，唯一一部有兴趣的天与地居然改成励志的。            
(NA)	 TVB很精采的一部剧  值得一看  http://www.net890.com/movie/13588.htm            
(4星)	 此剧感情线路及其复杂，但是结局十分圆满。马德钟塑造的燕王有情有义，陈键锋的马三保也很出彩。TVB的历史剧还是不错的，就是敖笑风这个角色太败笔了。            
(4星)	 构思巧妙            
(3星)	 徐子珊我就爱你那分风情，要多骚有多骚！还有，如今这气场，TVB的小花旦里还有谁能与之一争高下？！            
(3星)	 真tm狗血！            
(NA)	 纯粹冲sammul看的。里面有些情节挺弱智的....o(╯□╰)o            
(3星)	 虎头蛇尾。。。开局不错，但剧情过半后导演的叙事能力明显下降。尤其是敖笑风恢复记忆后的转变太快，极为突兀，难以接受。但相比最近的TVB剧集，已经是不错的了。起码还有看头。            
(3星)	 饭时全家看            
(4星)	 基情四射,結局就算了,最煩大團圓了            
(4星)	 为了明朝那些事儿，随便看看先~~~            
(4星)	 在已经知道结局的情况下，剧情仍旧一波三折，由起兵缘由入手，讲述燕王的心路如何由忠君到起兵篡位，可谓自圆其说。            
(4星)	 终于有点九十年代TVB的感觉了。。还有江若琳居然是87的  看上去比徐子珊还要老！            
(3星)	 剧情也太快了            
(NA)	 坑爹坑进祖坟了 。            
(3星)	 虎头蛇尾，最后几集看的真让人心焦恨不得快点结束。这故事本身就平淡无奇，演员也不能化腐朽为神奇。根本看不见历史人物，而是TVB一群演员在自HIGH。            
(5星)	 近来TVB难得的好剧~~~            
