http://movie.douban.com/subject/2300573/	谢谢 / Thank You
(NA)	 感动…不单因为是催泪剧情，演技和故事情节会让人不知不觉的流泪…            
(5星)	 当初看这部韩剧只是因为只有16集，这是我看过的为数不多的精彩韩剧，很温馨，很感人，感谢《谢谢》！            
(5星)	 韩剧里唯一让我感动的一部，其他脑残剧自动忽略            
(5星)	 这个电视剧当年比魔女幼熙的收视率高，我想就很能说明问题了，难的的一部不做作不拖沓的韩剧            
(5星)	 又真实又感人。。。            
(3星)	 换了包装的王子和灰姑娘。算是比较妥帖的桥段了。            
(5星)	 夏天跟妈妈，妹妹一起看得，感动到不行，最喜欢爷爷的巧克力派了呵呵            
(5星)	 温情            
(5星)	 真的很好看  很早以前看到 没想到还能再次遇见，突然就有好多回忆涌出来  我想看了 应该就不会忘记了~~！！            
(4星)	 懂得向生活感恩 学会向身边的人和事说：“谢谢” 这样你会发现这个世界美丽异常            
(5星)	 這絕對不失為一部好劇 既沒有千篇一律的整形美女 也沒有虜獲少女芳心的帥鍋 單靠情節和主角們的真情演出贏得了最後的好評 值得給五星            
(5星)	 太好看了，太给力了            
(5星)	 剧情弱化悲情，善良温情童话化。当年退伍后的复出之作，张赫华丽丽的回归了。            
(5星)	 很好很美很感人的片子            
(5星)	 很平淡但是却很吸引人的一部剧~            
(5星)	 看完之后很迷张赫            
(NA)	 难得的温暖感动，小孩子很可爱            
(4星)	 不夸张，不那么狗血，挺好的一部剧。            
(4星)	 生活中发自真心的感谢少之又少            
(5星)	 好久前看的现在那些原声带音乐还在电脑里~            
(4星)	 退伍回来蓄上胡须的张赫造型很赞。            
(4星)	 感动人            
(NA)	 好喜欢好喜欢这一部···拍得像电影···还有男主角好帅 嘿嘿            
(5星)	 很温馨的片 不落窠臼            
(4星)	 有内涵的一部剧            
(5星)	 大爱！            
(5星)	 我最爱的韩剧！！！            
(4星)	 大叔回归后的第一力作 很不错 还是肉肉的新爱更可爱啊            
(5星)	 虽然是几年前看的，但重点是好看，让人难忘，唯一一部值得重温的韩剧            
(5星)	 春天很可爱            
(5星)	 很感人的一部电视剧！！            
(4星)	 我那个哭 啊   小女孩演的好好啊            
(5星)	 太感人了，没有俊男美女，却能让人一口气看完。            
(5星)	 感人            
(5星)	 女主人公一家人都好让人感动哦，得爱滋病的女儿，患老人痴呆症的爷爷，背负重责大任的妈妈，我觉得他们很可爱，连谎言也很美，这样的人值得大家爱            
(NA)	 小朋友很可爱，看了让人感觉很温暖            
(4星)	 很感人，为数不多看完的韩剧            
(5星)	 看了很多遍，还是很喜欢。            
(5星)	 看过最感人的三部电视剧之一，很棒。            
(4星)	 最近又看了一遍，还是超喜欢，真的是如沐春风~            
(5星)	 很棒很温暖的韩剧，看过几遍都不烦            
(5星)	 感动            
(5星)	 女孩演技真不错            
(5星)	 感人            
(5星)	 灰常喜欢~！            
(3星)	 张赫身材不错啊。            
(5星)	 春天~谢谢春天！            
(2星)	 没看头             
(5星)	    “谢谢”，一个词两个字背后到底有多少故事？需要用多大的生命力去诠释呢？一幅用最基本的伦理情感所维系出来的邻里、友谊、家庭、爱情，甚至是陌生人之间的无限美好画卷……   “是啊，只是不一样而已，就像有左眼睛小的人，有个子高的人，有拇指比中指长的人一样。”            
(5星)	 很喜欢，孩子的纯真，母亲的爱            
(5星)	 有一天，逛累了，希望可以那样睡在田野上            
(5星)	 很好很好的片子            
(5星)	 算我三俗好了。我总觉得这里的女猪脚才真正的很像我。            
(5星)	 我认为是拍的最有人性光辉的韩国电视剧了。            
(5星)	 无意间看到的片子，剧情很舒服，很真诚的电视剧，喜欢            
(4星)	 我喜欢那首小岛风情的手风琴插曲            
(NA)	 我家张赫  我妹妹说 那个女人不是那个大叔的傻瓜姐姐吗？ 我一看还真是            
(NA)	 冲着孔孝真去看的片子，只能说她的表现不过不失，真正令人惊喜的是坏小子张赫。            
(NA)	 难忘的温情片！            
(5星)	 喜欢那个小女孩喜欢孔孝真喜欢那首他们一起唱的歌            
(4星)	 孔孝真是演技不错啦，信爱也OK~~可是这部剧跟我的场不对，最喜欢的人是喜欢吃巧克力派的爷爷~~期望太高了~~~            
(NA)	 张赫很帅 小艾滋女            
(5星)	 田野的风景质朴，故事情节清新中带着感人            
(5星)	 喜欢，很喜欢。            
(5星)	 李庆熙作家的又一部~以艾滋病童切入，不得不说李作家依然是编剧界的翘楚~作品不只是爱情戏~男主角依然是颇为不羁~除了男女主演张赫孔孝真不错的演技，爷爷申九还有最重要的小女孩春天-徐信爱的演技绝对也是亮点~妈妈，艾滋病童女儿和痴呆爷爷之间的爱很感人~            
(4星)	 小和尚的一段话：太阳升了又落，又回到升起的地方。风从南吹到北，吹来吹去又回到南。因为都是徒劳，都是徒劳的。人生就是这样，这是圣经里说的。别难过了。            
(5星)	 哈 这个不是口水的韩剧            
(5星)	 说不出来            
(5星)	 张赫的剧 很不错 小演员也很出彩            
(5星)	 大爱张赫            
(NA)	 半途而废了            
(5星)	 谢谢，平凡的真实            
(5星)	 喜欢这样的韩剧，终于没有可恶使坏的女二号，没有多愁善感的男二号，没有奢华没有跌宕，确是平淡的生活才能给我们最深的感动。            
(5星)	 戳到泪点            
(5星)	 还是不忍看那些个拉扯            
(5星)	 突然想起来这部 难得我觉得好看的近几年的韩剧啊 春天可爱死了            
(4星)	 无论是受到他人的恩惠还是谦让，就算是直面他人的不理解和侮辱，也要说谢谢，宽容地对待世界。            
(5星)	 我最喜欢的一部韩剧            
(4星)	 还算不错 亲情胜过爱情            
(4星)	 喜欢孔孝真。            
(5星)	 本来是在百无聊赖的情况下选择这部剧的，看完第一集就被细腻的情感所打动，被那么狗血的剧情赚去了大把的眼泪。原本以为这仅仅是部韩国标准的悲剧，可是看着看着就发觉，原来悲剧的人生中也是会有阳光的。那阳光是来源于自己的内心。尽管生活困苦，可是人活着就有过好他的义务。            
(5星)	 感人哦            
(5星)	 温暖得让人忍不住落泪的故事。只适合一个人观看，因为我哭的样子会很丑。            
(4星)	 小孩的表演挺出众的            
(4星)	 只记得是部温暖温馨的的剧.            
(5星)	 小女孩好可爱            
(NA)	 张赫我爱你            
(NA)	 普及预防爱滋病的知识,让世界多一点不一样的爱.            
(5星)	 因为这部剧开始很喜欢很喜欢张赫。            
(5星)	 最爱的一部韩剧。            
(5星)	 和以前题材不太一样。有被小小的感动到。最后一颗星是给小萝莉的。            
(5星)	 使心变得温暖 从此喜欢上了张赫            
(5星)	 很温暖的一部剧 每一个角色都很好            
(5星)	 很感人的。            
(NA)	 春天小盆友萌~~            
(5星)	 我超喜欢那个小姑娘            
(4星)	 春天真的很可爱。            
(NA)	 我看过，很感人的一部片子。            
(NA)	 很感人！            
(5星)	 春天            
(5星)	 推荐一下 平淡感人             
(5星)	 很淡，很干净，很缓慢，窥见人性里狭隘自私，也看见干净到让人心疼的情感，心疼的起了褶皱，眼泪流的很慢却一直不断。男子太刚硬强势，可硬碰硬 也会折断；唯有女子天生的近乎逆来顺受的承受与担当，小春的母亲其实是个伟大的奇迹。            
(4星)	 真实的生活中总有饱含着泪水去微笑的部分。插曲也很合拍。            
(NA)	 她们之间的感情很平淡，但不让人觉得印象不深刻，一个堕落的人找到了自己活的意义，一个生活极度困窘的人却改变了一个人，终于做了一次对的决定，那就是放手，放手需要多大的勇气，我不知道，但是她们的选择一定是对的。简简单单的生活，却让人唏嘘不已。很期待她们在一起，可是没有结果。            
(5星)	 是好剧，托到至今都没看完|||||  觉得需要一整块时间一口气看完...演技大赞            
(4星)	 蛮感人的~~蛮喜欢~~            
(5星)	 (转) 善良的人是——天使http://www.douban.com/group/topic/10834690/            
(3星)	 张赫越来越丑了。            
(5星)	 如春天般和煦温暖人的剧情            
(4星)	 很感人的片子，推荐啊推荐。。。徐信爱很可爱。明明有白血病却还如此的坚强。。。张赫也一改明朗商女成功记里面的颓废造型，很帅。。。            
(5星)	 难得一见的精品韩剧，一定要看几遍            
(4星)	 女主是圣女，春天是天使，淡淡的哀愁，暖暖的温情，拯救了男主堕落的灵魂，也感动了我不算柔软的心肠。            
(4星)	 断断续续的看了。喜欢张赫，也喜欢那个小演员。            
(5星)	 我和它的相遇是如此神奇，它让我学习的东西也如此神奇，16集的电视剧，几乎每集都流泪……好喜欢永新妈妈，也好喜欢她们一家人，爷爷好可爱，每一个动作都那么可爱；春天的善良、有爱心、处处都为人着想，也许是像永新妈妈。可是她就是处处为了别人着想，什么事都自己忍耐，这是很不好的。            
(4星)	 很平静，很感动。            
(3星)	 温情牌。            
(NA)	 看过的为数不多的一部韩剧            
(5星)	 缓缓道来··谢谢你！            
(5星)	 谢谢，让我这么感动~            
(NA)	 坚持看了几集，弃之...怎么韩剧里只要是男的失意都是那样的演法。            
(4星)	 感人            
(5星)	 家人之间的感情，会有很多共鸣，谢谢，一个美好的世界！喜欢里面的张赫，喜欢坚强的永新，喜欢懂事的春天~~~            
(4星)	 很感人，小女孩的演技很厉害            
(4星)	 如此可爱的孩子，如此坚强的妈妈。            
(5星)	 因为孔孝真的关系，这部戏滞后了三年才看。看完之后，感慨，幸好只是滞后不是完全掩埋。看之前就有无数人告诉我，这部戏是不可错过的，李庆熙作品中最好的是这部。因为是MISA的死忠，最初听时很是不以为然。看完后，真心为当初我幼稚的不以为然感到惭愧。相比MISA，这部戏所表现出的东西更丰富            
(3星)	 这孩子太惹人怜爱了，乖巧又懂事。            
(4星)	 很舒服的电视剧，没有过多的煽情  很好很好……            
(5星)	 挺感人            
(NA)	 T-T...            
(3星)	 恩，韩国~            
(NA)	 不喜欢            
(5星)	 很感人。。。            
(5星)	 meric // 温情的母式教育，与其埋怨的生活，不如充满感激之情的快乐奔跑！            
(NA)	 都是演技一流的！爱！            
(5星)	 超级感人的片子 和一般的韩剧中的爱情故事不太一样 很有新意 又恨现实的感觉 很干净单纯的感觉 小女孩真的很懂事很可爱~~强烈推荐啊~~孔孝真演的母亲真的很贴切~~张赫还是很男人哦~~嘿嘿            
(5星)	 爱巨大            
(4星)	 第二遍了            
(5星)	 感人至深。            
(5星)	 孩子的故事总是容易牵扯人心            
(NA)	 母女俩很可怜 但却一直生活在感恩之中             
(5星)	 即使是被深深伤害过，也勇敢、真心地对那个人说“谢谢”。一直哭，一直哭，这部片太感人，仿佛触摸到心的最深处的感觉。            
(5星)	 很感人的亲情呀            
(5星)	 爷爷和巧克力派很让人感动            
(5星)	 让我足以感动一辈子的电视剧~            
(5星)	 温馨            
(3星)	 蛮悲的            
(NA)	 真的很感人 还有这样单纯的人么 真的很感人             
(5星)	 善良如此。            
(5星)	 让人泣不成声，讲不出的温情，说不出的感动。总之是那么那么那么的感人            
(4星)	 惟一一次看韩剧哭到要死，平淡又温情。有人性的丑陋也有人性的光亮，喜欢这种色调，朴素真实。            
(5星)	 感动到我            
(5星)	 很久没有看过这样感人的韩剧了！            
(5星)	 小熊，巧克力派，东达，魔法衣...感人~            
(5星)	 暖暖            
(4星)	 moved~            
(5星)	 可爱的而且可怜的小孩            
(5星)	 男女主都蛮喜欢            
(NA)	 我也开始这样觉得了，不是背叛才要放手，而是孩子。            
(5星)	 THANK YOU FOR EVERYTHING.            
(3星)	 有点受不了这种风格。里面的人都不怎么喜欢。特别不喜欢这种小大人似的小孩子。            
(NA)	 相对来说节奏有些慢，可是不乏温暖。喜欢孔孝真，众多韩国女星里面难得平凡而且真实的一个。            
(5星)	 无意中点到的，2009年看过所有连续剧中，感觉最最最温暖，又很感动的一部，里面的每个人……就算是一只狗，或是一个公仔……背景音乐很喜欢，里面的风景，都是喜欢的，那感觉美好得让人发呆！            
(4星)	 超级温馨，感动，喜欢张赫            
(4星)	 我被感动了            
(3星)	 看着总觉着犯困，剧情是不是真的要狗血一点才有人看...            
(4星)	 很感动。            
(5星)	 很温暖            
(4星)	 很好看，非常感动。催泪戏、            
(5星)	 感动            
(4星)	 男主角很象咱们中国人，是象张宇吗？            
(4星)	 奇迹。相信！            
(5星)	 很真实很感人很幸福            
(5星)	 很不错            
(5星)	 很感人的一部片子            
(5星)	 温暖~~            
(3星)	 冲着张赫去看的 和一般的韩国爱情剧不大一样            
(5星)	 纯朴感人，第9集的下集预告看得我嚎啕大哭。看完会反思自己每次说“谢谢”的时候有没有很衷心。            
(3星)	 说像我            
(5星)	 “謝謝”上帝讓我遇到你，有你陪伴的人生才更完整~~            
(5星)	 很喜歡，人物刻畫很細膩，沒有人生下來就是天使也沒有人生來就是惡魔，只是生命的分岔路我們做了不同的選擇，讓人學習體諒、包容和寬恕的溫馨好劇，張赫在裡面真是帥到爆！！他真適合留鬍子            
(4星)	  我是基本上除了日剧 不看其他电视剧的 尤其是韩剧，但这部剔除了其他韩剧的矫情 剩余的亲情让人动容            
(5星)	 当年反正哭死我了            
(4星)	 喜欢这类电视剧            
(5星)	 很感人。            
(5星)	 很喜欢张赫，看了之后非常温暖，催泪。遗憾的时候女主角有的时候表现的比较白痴。            
(4星)	 额。。喜欢温馨吵闹的场景，不喜欢悲情的背景。。比较欣赏张赫            
(5星)	 谢谢你给我温暖            
(5星)	 很喜欢的一部剧，整个下来会发现里面没有一个坏人，深深被每个人内心深处的善良打动...            
(4星)	 最喜欢的一部韩剧，那首谢谢还在P3里不舍得删，每听一次仍为其动容。            
(3星)	 原声很棒。演员也都是我喜欢的。如果剧情可以不要那么悲惨就好了。            
(5星)	 泪流为止            
(NA)	 难能可贵的一部好戏,值得一看再看            
(5星)	 最能打动我的一部韩国催泪电影，想感伤一下的强烈推荐看这部电视剧！            
(5星)	 谢谢你，温暖了我~~            
(NA)	 她真幸福            
(4星)	 不论生活都么的艰辛、别人多么嫌恶的目光，但对生命始终表示感激，这部电视说的不是抱怨，而是感谢。无论如何人是好的，我们要充满感激。            
(5星)	 我真的有被感动..真的很棒            
(5星)	 说它是最喜欢的韩剧 不为过 从此爱上孔孝真这女人太让我感动 她的演技 她的笑容            
(4星)	 一百个巧克力派            
(5星)	 谢谢            
(4星)	 很感人！！            
(4星)	 很感人··            
(5星)	 谢谢你，赠我空欢喜~            
(NA)	 终于觉得张赫帅了~另，韩剧的OST的水准不知国内何时才能达到            
(4星)	 音乐很不错            
(3星)	 张赫不错的~没追完            
(4星)	 Say thank you.            
(5星)	 赚去我无数眼泪            
(5星)	 这是一部不拖沓、不轻浮的韩剧，难得啊！            
(4星)	 小女孩很可爱            
(NA)	 永新 春天就是我的奇迹 很好 和喜欢的片子 春天 爷爷 锡贤 大叔            
(4星)	 非常感人的一部电视剧，虽然刚开始的时候，并不能马上体会，但等你看完时，你会觉得人生原来可以如此感人            
(3星)	 不错            
(5星)	 好喜欢张赫，非常！            
(NA)	 小女孩很可爱~男主角也不错~万恶的，咱咋着麽肤浅腻...            
(5星)	 2008年大概9月到10月，高三的时候，看完这部剧，那段时间从剧中学会了很多，收获了很多。很喜欢很喜欢，对我来说至今影响最大的片子。很感动很温暖。            
(5星)	 那个小女孩真的很可爱~~当大家知道女孩得艾滋后都敬而远之，很残酷，也很现实~~真的很感动！            
(5星)	 很温馨的电视剧，感动我的不仅是爱情，里面的一些细节也很感人~~            
(NA)	 回归作啊            
(5星)	 男主人公非常有魅力，女主人公又非常善良，最后几集非常让我感动！！！！总之，张赫太有魅力了！！！            
(4星)	 喜欢里面的小演员~~            
(4星)	 感动。。。。            
(NA)	       一部挺感人的电视剧。早在几年前看过的，不过随着现在电视剧具多，不过这是一部比较特别的。            
(5星)	 久违的韩剧感动            
(5星)	 你就像个天使            
(5星)	 也许唯一的遗憾就是春天还是有白血病            
(NA)	 我目前为止，最喜欢的一部韩剧            
(4星)	 春天这孩子，懂事得让人心疼。看到她知道自己得艾滋要离开家的时候，我都哭了。她不想自己的家人被她传染，但又舍不得离开他们，临走时想摸妈妈和爷爷的脸又不敢摸。这是个感人的电视剧，不是单纯的爱情剧，它让我体会到了亲情与爱情的可贵之处。            
(5星)	 谢谢，很感人的连续剧            
(3星)	 为了张赫而已~小女孩确实不赖！            
(NA)	 春天巨萌&gt; &lt;            
(4星)	 很温暖            
(3星)	 相信爱，付出爱，感受爱。            
(5星)	 好久没这么踏心的看东西，好久没这么感动……            
(5星)	 漫画里边的生活            
(4星)	 喜欢张赫，这部片子里他显得很有个性。基瑞外表冷莫却充满热情，小春的懂事，永新的坚强，爷爷的天真，交织成了感动人心的故事            
(5星)	 难得的不狭隘的韩剧            
(5星)	 可爱的徐信爱            
(5星)	 努力的爱着一切的妈妈 冰雪聪明的女儿 奇怪的医生 没有帅哥美女 但爱却满满的 喜欢你们            
(3星)	 蛮感人的片子,虽然演员都不是我喜欢的,但绝对耐看.            
(4星)	 喜欢那个小女孩。            
(5星)	 只能说很感动。脾气暴躁的医生，自己辛苦抚养私生女和爷爷的单身妈妈，不敢承认自己爱人的男人。虽然痛苦但却幸福            
(NA)	 非常的感人 我喜欢 超级喜欢男主人公对女主人公的无言但真诚的爱 女主人的勇气  可爱懂事但却患艾滋病的女儿 感动到哭 喜欢 看了好几遍             
(NA)	 我晕 陪妈看            
(5星)	 浪漫的朴实，朴实的可爱，可爱的悲伤，悲伤的美好            
(4星)	 相对来说节奏有些慢，可是不乏温暖。喜欢孔孝真，众多韩国女星里面难得平凡而且真实的一个。            
(5星)	 非常到位的表演，可怜的春天……            
(3星)	 很喜欢孔孝真，难得演技十分自然的一位。不太喜欢张赫，总觉得他有点韩国马景涛的意思。小孩很可爱，可惜估计长大了不会好看。。。            
(4星)	 感動呀感動。            
(5星)	 唯美。。。            
(NA)	 小MM挺可爱的            
(NA)	 只要有人让阿妹推荐好看的韩剧的话。。阿妹首推这部。。。            
(5星)	 这部片子是2007年的啦.一直没来得及看.近日,用了连续几天的时间，总算断断续续地看完了。 不论世界怎么改变，人是美丽的，人心是善良的。我们要表达的不是抱怨，而是感谢，这是这部剧想表达的意思。 故事的主线,是因为车祸而不辛染上爱滋的春天. 她和她坚强漂亮的妈妈永新.还有患老年痴呆症的爷爷MR.LEE住在一座岛上。 医生带着女友的遗愿,来到了这个以他的话来说就是&#34;连家杂货店都没有的破岛&#34;上。 他的女友正是因为误用了污染的血浆导致年幼的小春天染上了艾滋病. 故事            
(NA)	 发生在韩国的乡村。。缓缓道来。。            
(NA)	 可怜的孩子            
(5星)	 他没有给我翅膀，却教会我飞翔            
(NA)	 很不錯~ 小春很可愛~~~            
(5星)	 真的说一声谢谢            
(NA)	 张赫真的成熟了            
(3星)	 爷爷，巧克力派，以后，像个菩萨一样活着吧。            
(5星)	 很感人，55555            
(3星)	 小女孩很可爱～喜欢她胖嘟嘟的小脸蛋～            
(5星)	 最喜欢的韩剧之一。感动。。。            
(5星)	 看了几十部韩剧的我最爱的韩剧~！强烈推荐……！            
(5星)	 眼泪流干,笑或哭有什么关系,N多演员都这可爱            
(5星)	 里面的小女孩让人特别的喜欢。            
(5星)	 很好的电视剧            
(5星)	 家人真的可以不离不弃同风共雨么没有血缘关系的人也可以么            
(5星)	 励志片            
(4星)	 淡淡的，但也很浓~            
(5星)	 从头看到尾,完全没有觉得不好看.不看真的太遗憾了,看完之后,觉得那个女的心地真的很好.整个故事的内容都很好.            
(5星)	 就那样被吸引着一直看下去。            
(5星)	 很好看哭得苦的我 音乐也很棒 微风 麦浪 呼吸            
(5星)	 很有意思,very nice            
(4星)	 喜欢的韩明星不多.但很爱张赫.里面的小女孩很可爱哩            
(5星)	 很少看到这么温情的，不是煽情，虽然里面的主人公也有绝症            
(5星)	 把我哭坏了。。            
(4星)	 很感动……            
(NA)	 超级感人~            
(4星)	 让我觉得人心的美丽，看完之后心里很暖            
(4星)	 被孔孝珍感动了···            
(NA)	 小演员不错有的事情错过了就回不来了            
(4星)	 感人，一直哭~            
(4星)	 不同于以往的韩剧，他将爱情和亲情完美融合在了一起，充满现实又不乏浪漫！            
(5星)	 这是我目前看过最喜欢的韩剧，同时我也信念这个世界没有坏人，孩子的能说会道和早熟让人心疼不已，我希望自己能成为春天的“天使3号”            
(5星)	 很感人的电视剧。            
(NA)	 2008.9.1-2008.12.31            
(5星)	 非常感人  很真挚  张赫很好            
(NA)	 韩剧少有的大团圆结局 很美好 呵呵 而且是我喜欢的女生推荐我看的 看着这个电视剧感觉好幸福 那时我还说里面有个女生很像她呢 看过太久了忘记她在里面的名字了 是男二号的女朋友 HOHO 漂亮吧？            
(5星)	 好感人啊~~~边看边流眼泪了而且看完之后想学韩语了。。。            
(5星)	 谢谢~            
(4星)	 很温情            
(5星)	 这一年非常喜爱的电视剧            
(3星)	 张赫演技有长进,孔孝珍么还是演饼干老师星星糖好看点.            
(5星)	 简简单单，于细微处感人至深。            
(5星)	 我们那颗可怜的心。。。            
(5星)	 感动到无语。。。            
(NA)	 蛮好的 很感动            
(5星)	 温暖            
(5星)	 就是谢谢            
(NA)	 有这样的男人真好            
(NA)	 超级可爱超级懂事的小女孩            
(NA)	 让我落泪的一部韩剧...            
(5星)	 天使。。。            
(5星)	 说不尽的感动~~~            
(NA)	 淡淡的爱            
(5星)	 在这部剧里居然没有一个反面角色， 所有人都如此温暖， 当你走进这部电视剧时， 你的心就好像被春天和煦的风吹过， 柔软又温暖……             
(5星)	 我彻底沉沦了=_=            
(5星)	 無論這個世界怎樣，要表達的都不應該是抱怨，而是感謝。            
(5星)	 传递的是乐观，坚强和保持一颗善良的心。            
(5星)	 感谢所有爱过我的和我爱过的人。            
(5星)	 轻轻的触碰着心灵            
(5星)	 感动，不止一刻            
(5星)	 大胆涉及了艾滋病这个题材，而且处理的很好。小春和爷爷真的很可爱，给这部温情的电视剧添加了不少新的气息。。            
(5星)	 让人觉得那么温暖，第一次看电视剧会哭的这么伤心~            
(5星)	 世上好人很多，但真正善良的人不多封面上的这三个都是善良的人还有最可爱的爷爷            
(5星)	 喜欢张赫            
(5星)	 感人。            
(5星)	 看到凌晨五点的东东...            
(5星)	 感情在平常生活中一点点的展现出来，柔柔的绽放。。。生活要相信有奇迹出现看到爷爷去的时候，眼泪止不住。。。喜欢男主角。。。小女孩很懂事。。。妈妈很善良。。。            
(5星)	 谢谢.我爱.爱我的人            
(NA)	 除了感动还是感动，小女孩好可爱，小狗好可爱！            
(4星)	 做个善良 懂得感恩的人吧            
(4星)	 情节不错。很有意义。            
(5星)	 真的不错            
(3星)	 아기이쁘다^^            
(NA)	 张赫的回归之作，表现依旧满分！            
(NA)	 虽然不是最新的韩剧，但肯定可以给你很多启发．．．            
(5星)	 真情动人            
(5星)	 春天，你就是个天使。            
(NA)	 看了有些许感动哦            
(3星)	 张赫            
(NA)	 太帅了            
(5星)	 很溫情的一部片。            
(5星)	 谢谢。谢谢，如此谦卑，如此感恩，如此善良。            
(4星)	 谢谢            
(5星)	 感人            
(NA)	 令人感伤的温暖,打动人心            
(NA)	 很不錯的片子，可惜沒時間看完            
(5星)	 小女孩的演技真好            
(4星)	 眼神还是没有变。            
(5星)	 是一部非常有感染力的电视剧, 给当今这纷繁嘈杂的环境里注入一股清新的醒剂            
(5星)	 温暖令人感动            
(5星)	 難得的不同韓劇路線..            
(5星)	 爱看 对不起的  应该也爱看            
(5星)	 爱，好温暖，融化一切，包容一切~~            
(3星)	 一个既熟悉，又陌生的词语……            
(NA)	 真心推荐的一部我喜欢的韩剧。            
(4星)	 不错的，演技也不错，孩子让人印象深刻            
(5星)	 好看啦最让人喜欢的是患了老年痴呆症的老爷爷，每次的台词都让人喷饭啊！虽然有不幸的事情发生，却没有呼天抢地的桥段和台词，很朴实，值得一看哦，尤其男主角活和小主角挺养眼的咧。            
(NA)	 偶尔地流泪和感动是必要的            
(5星)	 感受心灵洗礼的好片            
(5星)	 虽然有点晚 自此喜欢上了张赫            
(NA)	 最最最稀饭的一部韩剧温暖~爱死张赫            
(5星)	 感动，不一般的韩剧。            
