http://movie.douban.com/subject/3882715/	武林外传
(5星)	 太欢乐了。。            
(4星)	 稍显做作 气氛尚可            
(5星)	 人在江湖飘～            
(NA)	 呵呵……            
(3星)	 国剧革命            
(5星)	 信手拈来，笑口常开            
(5星)	 拥有很多美好的回忆            
(3星)	 为什么我始终不迷            
(5星)	 经典再经典，会不会出2  啊            
(5星)	 那是相当的爱！            
(5星)	 当年看了又看的电视剧            
(4星)	 嘿嘿嘿，某年夏天抱着电视看了一遍又一遍            
(5星)	 如果没有《成长的烦恼》，没有《老友记》。那只留这一部 武林 的声音，在心中静静流淌，也叫人温暖如昨~            
(4星)	 我一看你就笑（而且是傻笑）~~~很喜欢            
(4星)	 秀才！！！！            
(5星)	 武林外传            
(5星)	 绝对绝对是 情景喜剧里 最最经典的 ~！！我起码看了不下10遍啊~~~难过时随便挑一集看吧，，准保你开心。。            
(5星)	 好看到极致            
(5星)	 《我爱我家》之后的第一部优秀的情景喜剧，最喜欢打破第四面墙的部分            
(5星)	 wow            
(5星)	 反反复复地看，百看不厌！！！            
(5星)	 排山倒海地好笑~~            
(5星)	 深入研究~~~~            
(4星)	 1.哇哈哈哈哈哈哈。2.除了中央台，我家我亲戚家朋友家另外所有的电视台全播过。            
(5星)	 逗            
(5星)	 每次看都有新的开心            
(4星)	 消遣            
(NA)	 瞄过 没喜欢上 貌似评价很高 有空可以重温            
(5星)	 经典            
(5星)	 呵呵，真是有趣，多少年没看过这么有趣的东西了。            
(5星)	 小秀才~            
(5星)	 这辈子就指着这个活着了            
(5星)	 看不下三遍            
(5星)	 哈哈哈            
(5星)	 此片的出现不但空前，也属绝后。            
(NA)	 极其极其极其极其喜欢喜欢            
(5星)	 额滴神那~~            
(4星)	 宾馆中，几男几女的混乱生活            
(NA)	 江湖再见！            
(5星)	 EI1的整个冬天            
(5星)	 很喜欢！            
(5星)	 代表了80后的幽默 我爱宁财神            
(5星)	 wonderful            
(5星)	 p.s.搞笑+哲理 。大陆情景剧的希望。班上的流行语也多了好多            
(5星)	 我的最爱！！！！            
(5星)	 很搞的片。但是最好是一天看一集。以后有机会再回味下，里面的人太有才啦。            
(NA)	 武林外传么。。。这么多年也该给你个名分了            
(5星)	 经典经典!!!            
(5星)	 哇！            
(5星)	 竟然没标注 罪过啊 罪过            
(5星)	 大爱               
(5星)	 现世减压            
(4星)	 服了宁财神了。。            
(5星)	 没见过这么搞笑的，狂笑一个星期，每天追着看，看完黑龙江看东方看完东方看四川，走四方啊             
(NA)	 搞笑片，比较经典            
(NA)	 很好。很有哲理的喜剧。            
(5星)	 看电视只要在播，总要停留的看一会！            
(4星)	 真逗...            
(5星)	 跟..的太多.太多.太多.太多.太多.都在这部戏里面.....他说他每晚都会看.而我不敢再看.            
(5星)	 这是神剧！            
(5星)	 超赞            
(4星)	 唉，我的豆瓣“看过”影视中居然漏掉这部。            
(5星)	 轻松诙谐            
(NA)	 排山倒海来袭            
(5星)	 简直就是古装版的六人行啊…            
(5星)	 没别的说的，好看！            
(5星)	 经典的电视剧很少，但还好不是没有。据《三国演义》改编的电视剧就是耐看，《武林外传》也一样，经得起看好多遍呢~ 多数集的剧情都很有意思，演员的表演，不管是主角还是客串都挥洒自如，拿捏有度，很有看头。            
(4星)	 还得支持            
(NA)	 怎一个&#34;搞&#34;字了得~            
(4星)	 怎么说呢，编剧有水平            
(5星)	 每次看每次都能笑很久            
(5星)	 至今还是要给五星。我的高三和我都感谢你。            
(5星)	 百看不厌。。。            
(3星)	 断断续续应该有看完吧，因为弟弟很喜欢看，所以喜欢            
(4星)	 宁财神的想象力还真是……            
(5星)	 我还是一遍一遍不停看，看不厌            
(NA)	 真的很8错            
(4星)	 耗時3年 終於看完            
(5星)	 温暖&amp;那该死的音乐            
(5星)	 挺好看的            
(5星)	 曾经看过几集，刚开始感觉很古怪，没意思，后来才觉出来点好玩~~2011年3月，全部看完，不温不火之中，有着武林风云，有着温情萌生，有着世事坎坷，有着笑点迸发。绝对是中国喜剧的巅峰！            
(5星)	 哦很看好你哦            
(2星)	   为了搞笑的搞笑，总是显得很没味道。情节的拖沓就更别说了，看这个片完全是浪费生命。            
(5星)	 照顾好我七舅老爷。。            
(4星)	 就一搞笑的 看一乐            
(5星)	 爱死了！            
(4星)	 感谢。            
(5星)	 太经典了！！            
(5星)	 我评价这个电视剧是高调的。            
(5星)	 这是一个高峰~            
(5星)	 不爱不行啊            
(5星)	 很搞笑 很喜欢            
(4星)	 迎合现代人的口味            
(4星)	 观众群的层次分得很明显的说。            
(5星)	 看了100遍啊100遍。            
(4星)	 笑坏了。。。            
(5星)	 我这个爱呀~ 真搞笑~            
(5星)	 经典~~~~~~~~~~            
(3星)	 我看不得這種鬧哄哄            
(4星)	 我确定一定以及肯定要给四颗星            
(NA)	 搞笑无厘头！            
(4星)	 子曾经曰过。            
(5星)	 娱乐无极限啊。。。            
(4星)	 好笑是好笑，经典是经典，就不能太多            
(5星)	 极品            
(5星)	 哈，哈哈，哈哈哈！            
(5星)	 我承认先入为主是不对的，我有错，真的很能搞啊这帮人！！            
(5星)	 “想叫温暖不落幕” 嗯！            
(5星)	 讽刺            
(5星)	 宁财神是中国的Chuck Lorre            
(5星)	 经典            
(5星)	 看了之后总是很高兴，沉浸在其中不想出来            
(5星)	 国产Sitcom绝对经典之作～～            
(5星)	 如果 你只把这个当逗乐片看，说明你错过了一部好片子。            
(5星)	 喷血推荐！！！            
(5星)	 看完了全套，不得不说，经典。            
(5星)	 看的好开心怎么现在才发现这里有这个?            
(5星)	 一部不让人讨厌任何一个角色的剧            
(5星)	 排山蹈海 哈哈            
(5星)	 最喜歡的情景喜劇。            
(5星)	 百看不厌            
(5星)	 好看！            
(5星)	 智慧            
(5星)	 经典 不说了            
(4星)	 6个人是有道理的            
(NA)	 呵呵，喜欢看            
(NA)	 全中国最好笑的            
(5星)	 快乐暑假~            
(4星)	 其实这个篇子没什么特别大的特别。就是搞笑，非常搞笑。偶尔人们需要这样单纯的搞笑            
(5星)	 忒有才了            
(5星)	 难得一部看了又看的国产剧集            
(NA)	 逗就一个字，我只说一次            
(5星)	 太经典了。。            
(5星)	 虽然在电视上看了好多遍，又完完整整的重温了一遍2009.06.02~2009.11.10…………            
(5星)	 补漏            
(NA)	 没有什么好说的``两个字``哈哈哈````            
(5星)	 嘻嘻~~很搞笑~            
(NA)	 感觉是这么多年以来看过的最有意思的一部室内剧            
(NA)	 创制了自己的语言体系，宁财神还蛮灵的。            
(5星)	 从它们开始就喜欢黑色幽默的影片            
(5星)	 我的大爱，看过不下五遍！如果能再往下拍就更好了~            
(5星)	 一个新的度.            
(5星)	 绝对是铿锵有力的一部巨作            
(2星)	 我完全看不出感觉来            
(5星)	 很多台词我还在念叨。            
(5星)	 天，什么都可以不推荐，这个太经典了！            
(5星)	 怎么就那么好笑。。赫赫赫赫            
(NA)	 搞~            
(5星)	 难得佳作，清新啊            
(5星)	 这个是一定要破万的！            
(5星)	 轻松的江湖            
(NA)	 2006.3            
(5星)	 就是喜欢，曾经推荐给室友看，她说我没品味，但是没过多久，她又告诉我，很好看，……哈哈而且是一两集一个故事的，就爱这种，不需要连接            
(5星)	 翻来覆去            
(5星)	 做人 哲学 道理 生活            
(5星)	 我的秀才啊~            
(5星)	 能让人笑得忘却烦恼也是一剂良药.谁说要那么深刻抽象.            
(NA)	 喜欢老板娘            
(3星)	 睡不着看看不错            
(5星)	 颠覆的经典。。。            
(4星)	 有才~好玩            
(5星)	 很喜欢。尤其是郭芙蓉。            
(5星)	 力荐~~            
(5星)	 好看！！！            
(5星)	 天才~            
(5星)	 空间的喜欢            
(5星)	 中国六人行。N年来最赞的本土电视剧。            
(NA)	 经典台词 突破            
(5星)	 每天都在看            
(5星)	 爱啊~            
(4星)	 终于从头到尾看完了            
(5星)	 看了无数遍 笑了无数遍放在那听声音就好笑哈哈哈哈哈哈            
(4星)	 很乌托邦            
(5星)	 照顾好我七舅老爷！！            
(5星)	 挺好的,里面很多台词实在很搞笑..算是还不错~给5星吧            
(NA)	 我痴迷的情景喜剧..谢谢            
(5星)	 我要演佟湘玉。            
(5星)	 看了N遍,不厌倦,是一种瘾,他们追逐自己的梦想,而我却被现实所拌住            
(NA)	 ~            
(5星)	 这比春晚娱乐多了。            
(5星)	 太喜感了            
(5星)	 3年了,为啥到现在看都还在笑呢            
(5星)	 飙泪啊            
(NA)	 不仅仅是搞笑，有很多人生道理。            
(NA)	 排山倒海～            
(5星)	 狂笑，经典~            
(5星)	 看了很多很多遍，虽然它有80集。有段时间呆在家里，一个人，几乎沉浸在那个世界里。小小的一家客栈，五光十色，喜怒哀乐。心情不好的时候会下意识的把它翻出来。听听那些熟悉的台词就很开心。            
(5星)	 啊，不知道看了多少遍了            
(NA)	 高兴得不行            
(5星)	 无敌..            
(5星)	 可以忍受的情景喜剧            
(5星)	 要是有续集就好了            
(NA)	 这个就不说了吧，有段时间比较爱看。但现在不感冒了……            
(5星)	 经 典            
(NA)	 搞笑的一塌糊涂            
(5星)	 &gt;_&lt;            
(5星)	 我的万能开心果            
(5星)	 极品。太棒了。            
(5星)	 大学四年就是这么看武林外传看过来的            
(5星)	 小郭最爱~哈哈            
(NA)	 刚播的时候经常看            
(NA)	 武林外传            
(5星)	 记得初二看这个的时候都是通宵看的。            
(4星)	 喜欢闫妮~            
(NA)	 喜欢喜欢喜欢            
(5星)	 笑晕~            
(NA)	 曾经一度为之疯狂            
(NA)	 太搞逗了！o(∩_∩)o...            
(5星)	 中国喜剧、武侠片的高峰            
(5星)	 搞笑与幽默            
(3星)	 只能看一遍            
(5星)	 一种突破~ 早该这样啦            
(NA)	 轻松愉快            
(4星)	 很有才！            
(5星)	 對於我個人嚟講尼出電視劇喺國內我最中意嘎電視劇,有好多地區嘎人物各自有自己嘎口音同人物特色.難得一見國內電視劇類型.            
(5星)	 太经典啦~~            
(NA)	 添加新元素，毫不逊色于我爱我家。            
(5星)	 无双！无双！            
(5星)	 武林“笑”传            
(NA)	 武林外传 电视剧 搞笑             
(5星)	 台词很经典....            
(5星)	 曾经让我有好一阵都沉浸在背台词的自娱自乐中的国剧……笑倒:D            
(5星)	 很好很强大            
(5星)	 原来大陆的情景喜剧还没有死            
(5星)	 不能错过的经典            
(5星)	 很好，很搞笑。            
(5星)	 哈哈哈哈哈            
(5星)	 饿喜欢。。            
(5星)	 买碟珍藏的剧集            
(5星)	 笑死……            
(5星)	 绝对搞笑，但是看得懂也需要具备因素哈            
(5星)	 我最爱的电视剧啊！            
(5星)	 无敌。            
(4星)	 还是很经典的！中式搞笑，不同于郭德纲的耍贫嘴。            
(NA)	 武林外传            
(5星)	 超爱看            
(5星)	 百看不厌            
(5星)	 不是一点点的搞笑            
(5星)	 经典经典·啊·            
(5星)	 每次放假回家都要看一遍这个,每次都被我妈鄙视一遍,已经鄙视了5&#39;6遍了...            
(5星)	 看了n遍            
(NA)	 武林外传            
(4星)	 就是搞笑            
(NA)	 不说啦，笑翻了            
(5星)	 经典！感觉自己也成了七侠镇的人，一同经历了那么多搞笑，温馨，以及感动？这电视剧好看吗？确定一定以及肯定！            
(NA)	 无聊时候的最爱            
(NA)	 子曾经曰过            
(4星)	 很扯，很好看，台词有意思。            
(5星)	 小郭和秀才            
(5星)	 06年风靡的电视剧，所长居然说我像郭芙蓉，晕~            
(5星)	 玩玩闹闹，开心的笑~            
(5星)	 大爱！！承载了很多美好的记忆。            
(5星)	 中国国产喜剧巅峰啊~            
(NA)	 最喜欢的电视剧之一            
(5星)	 好玩死了            
(4星)	 有意思。            
(NA)	 hahaha            
(4星)	 偶喜欢！哈哈！！            
(NA)	 经典。            
(NA)	 看了好多遍            
(4星)	 前三十集堪称经典             
(5星)	 爱你一万年！            
(5星)	 笑抽            
(4星)	 看不全            
(NA)	 这么经典~            
(4星)	 无厘头。。            
(3星)	 这部轻喜剧很红哦，只是我一直不喜欢这种刻意搞笑的东西。觉得太过聒噪了。            
(NA)	 江湖 一笑            
(5星)	 心中的经典～            
(NA)	 爱不释眼~            
(5星)	 爱 爱 爱 爱 爱            
(4星)	 不错的情景喜剧 只是无法非常喜欢            
(4星)	 很有才            
(NA)	 灰常爱...            
(NA)	 值得看了又看，很喜欢            
(NA)	 不论是白领还是小学生都爱看的            
(5星)	 无法超越的巅峰之作！            
(5星)	 额滴神呀 居然现在才发现没收藏这个。。            
(NA)	 百看不厌百看不厌            
(4星)	 to be or not to be?            
(5星)	 喜欢o(∩_∩)o...            
(5星)	 我的治愈系            
(5星)	 热情的表扬这个片子            
(NA)	 武林外传            
(5星)	 哈哈哈大笑三声            
(5星)	 好看            
(5星)	 完...            
(4星)	 不只是搞笑            
(5星)	 看来看去我也觉得该腻了，可是还不腻。            
(2星)	 看不懂．            
(NA)	 太搞笑了！！            
(4星)	 我看好你呦！            
(5星)	 情景喜剧的精品            
(5星)	 太搞笑了            
(5星)	 江湖不相信眼泪            
(5星)	 2007            
(NA)	 重新勾起对情景喜剧的兴趣。编得好、演得好、制作得好            
(3星)	 看看也无害            
(5星)	 只要传到的台在放就会看下去。。。            
(NA)	 小幽默大智慧            
(4星)	 2007年回国过年，打开电视，发现千台一剧。《我爱我家》之后情景喜剧的又一个路标。            
(5星)	 看了N遍  太好笑了            
(5星)	 看完《武林外传》，真是笑中带泪，相信他们的故事还会继续下去            
(5星)	 很喜欢，我还演过呢            
(5星)	 湘玉老白大嘴秀才芙蓉小贝……            
(5星)	 百看不厌            
(4星)	 我其实很要看，但每次看的时候，都会有大人说，这部是神经病电视            
(5星)	 宁财神真tm有才！ 力推！            
(3星)	 看了一寒假            
(5星)	 太经典了！没的话讲了！最爱每集的客串们！            
(5星)	 偶的神啊            
(3星)	 我原本不喜欢来着，后来觉得还行            
(5星)	 财神很好,很强大!            
(5星)	 我的最爱,呵呵            
(5星)	 太搞笑了，太有才了。            
(5星)	 wonderful            
(NA)	 最喜欢的情景剧            
(4星)	 电视播的。超搞笑啊            
(NA)	 天天在家抱着电视看 百看不厌 ps：我以为宁财神长的应该很摇滚 结果大失所望 赫赫            
(5星)	 额的神呀，子曾经曰过，葵花点穴手，放着我来，嫂子～～～，排山倒海，降龙十八掌～～～，我看好你唷，帮我照顾好我的七舅姥爷！            
(NA)	 呵呵,忆往昔阿~~~            
(NA)	 嘿嘿～～～～～～～～兄弟            
(4星)	 好。            
(5星)	 有一段时间超级瘾看这个。            
(5星)	 妈呀，贼好笑了            
(4星)	 我很爱～不管你说它有多俗。            
(4星)	 印象最深的是&#34;我上头有人...&#34;            
(4星)	 陪伴我假期的搞笑故事~~            
(5星)	 一群疯子~o(∩_∩)o...            
(5星)	 扯吧你呀            
(5星)	 比红楼梦都好看！            
(4星)	 笑中带着智慧的光芒            
(NA)	 SO 呼吸...            
(5星)	 超级搞笑~哈哈~            
(4星)	 都喜欢！            
(NA)	 吃饭时候....            
(5星)	 一群人的一个梦，一个梦牵着一群人            
(4星)	 无厘头的搞笑，很好放松心情            
(4星)	 老少皆宜            
(NA)	 郁闷得自己  靠着武林外传一点点地找回笑容 ～～            
(5星)	 喜欢！            
(5星)	 在2007年的最爱,陪我度过很多个孤独的周末...            
(4星)	 虽然很无聊，但是我很喜欢。。。郭芙蓉！！            
(NA)	 2007年的经典~~~            
(NA)	 !!!!!!            
(4星)	 近年来的创新            
(5星)	 光天化日，朗朗乾坤            
(5星)	 葵花点穴手~            
(5星)	 笑死人了            
(2星)	 白展堂：干什么 绣企鹅呢？？佟掌柜：这是鸳鸯！            
(5星)	 大爱            
(4星)	 话说这个可以算是段子合集中最经典的一款了            
(5星)	 跟着电视上看不下十五遍。。。            
(5星)	 台词都很经典，茶余饭后的调料~            
(NA)	 相当好看            
(5星)	 划时代            
(4星)	 呵呵~陪我度过了一整个寒假（去年的，呵呵）            
(5星)	 太逗了，各地方言加一个一个有意思的故事，这是我最喜欢的中国拍的情景喜剧，每个人都有自己鲜明的个性，我非常喜欢．            
(5星)	 没有伪装的笑，是最开心的笑，是最灿烂的笑！            
(4星)	 偶尔看看啦            
(NA)	 推荐``哈哈            
(5星)	 史上最让人久看不厌的喜剧。每一集，每个人都那么有味。            
(4星)	 可爱的方言，可爱的人            
(NA)	 可喜欢了            
(NA)	 轻松，快乐。。。            
(NA)	 不看也得看            
(5星)	 绝对是国内情景喜剧的一大里程碑，如果说国外有老友记，国内就是它了。            
(5星)	 无聊的时候就看看 蛮好的            
(5星)	 后现代古装经典肥皂剧！            
(4星)	 就电视剧而言，内地喜剧以台词见长，香港喜剧以剧情见长。            
(5星)	 该怎么评价你呢，我亲爱的武林外传？            
(5星)	 谁能预料，武林外传成为经典？            
(5星)	 额滴神啊~            
(NA)	 超喜欢~这么多年以来的一部精典。因为喜欢，还特意刻了一套盘！每天看天天看            
(NA)	 07年最爱的情景剧。            
(4星)	 到现在还喜欢到pps里循环播放...            
(3星)	 肥皂肥皂.            
(4星)	 中国古装版本 老友记            
(NA)	 非常搞笑,但又不是仅仅搞笑而已.            
(5星)	 灵的！            
(5星)	 神作            
(NA)	 不错的国产情景喜剧            
(5星)	 欢喜的不行，哈哈！佟湘玉太有味道了。            
(NA)	 令人捧腹~            
(NA)	 尚敬你每年拍一部武林外传吧            
(NA)	 无数次的喜欢你..            
(5星)	 难得的片子            
(4星)	 经典的台词太多了 最喜欢第四集---老夫复姓轩辕            
(5星)	 该给个10星            
(5星)	 两个字：经典！            
(5星)	 现实主义古装片            
(5星)	 ！！！！！！！！            
(5星)	 2006            
(5星)	 Cool...爱死了            
(4星)	 有人推荐它，也有人鄙视它～仁者见仁的事            
(NA)	 好看!经典!            
(5星)	 通宵画图好伴侣            
(NA)	 搞            
(5星)	 大爱大爱            
(5星)	 嬉笑怒骂皆文章            
(4星)	 好滴恨～            
(4星)	 典型的年轻口味            
(4星)	 看过，笑过，恶俗越来越流行            
(5星)	 世界上还有油菜的这帮人。。。            
(5星)	 力荐,,啥也不说了~            
(5星)	 好玩            
(5星)	 排山倒海放着我来            
(NA)	 PA PA            
(5星)	 怎么都喜欢            
(NA)	 新潮搞笑！            
(5星)	 我真的喜欢，说贫也好，假也好。它帮我打发了一整个暑假。            
(5星)	 生活需要快乐            
(3星)	 只能很随机的看看..            
(5星)	 哈哈哈哈哈哈            
(4星)	 不错～～            
(5星)	 笑死你丫的            
(5星)	 虽是古装，别说还挺有时代感的。 宁财神挺牛滴！            
(4星)	 娱乐娱乐！！！            
(5星)	 很精彩，百看不厌……            
(5星)	 经典搞笑。            
(5星)	 恶搞巅峰啊            
(4星)	 时代感较强，不知道50年以后，还会不会认为好看            
(5星)	 超喜欢            
(5星)	 刚开始看没感觉,后来成了每晚追看            
(4星)	 开始时特鄙视，看着看着居然喜欢上了。            
(5星)	 已经成为一个时代的标记，换个年代，就能成为《渴望》。            
(4星)	 ..            
(NA)	 我很喜欢.无聊 的时候 就看看.            
(5星)	 崩溃了都……            
(4星)	 有些还不错..            
(4星)	 近几年，国内的连续剧我能一集不拉的看完整了的也只有它了            
(NA)	 高三的快乐时光            
(4星)	 有内涵的搞笑。。实力派演员            
(5星)	 小郭            
(5星)	 很特别!很有味的电视剧!值得看几次!            
(5星)	 有才有才~            
(5星)	 这是一个无厘头的武林            
(5星)	 江湖上的各种风险和传奇            
(4星)	 乱七八糟的世界 我们宁愿在戏中            
(5星)	 陪我度过了北京最苦也最美的日子。            
(5星)	 太好看了            
(5星)	 不用多说了，太经典了            
(5星)	 曾经让我喷水的可爱电视            
(4星)	 吵吵闹闹，挺好！            
(5星)	 经典            
(5星)	 我是腐竹            
(5星)	 会成为经典            
(5星)	 N遍。            
(5星)	 近年来看过最好玩的国产电视剧            
(5星)	 我的神啊，太有才了            
(5星)	 看了绝对不后悔!起码大学生都应该能理解其中的幽默吧            
(NA)	 情景喜剧             
(4星)	 我看好你哟~            
(5星)	 我喜欢小郭~~排山倒海支持你！            
(4星)	 搞笑的不得了啊            
(4星)	 这个我可是一集不落全看完的，发展到后期的情侣关系时，那才叫一个贱啊···            
(5星)	 真心覺得好睇            
(5星)	 让自己开心点            
(5星)	 其实并不仅是荒诞            
(5星)	 那简直就是搞笑的不行行了            
(5星)	 最好看的中国情景喜剧，已经看了5遍了，还想看！每次都笑到不行！            
(5星)	 = =饿的神啊            
(5星)	 这个当然看过，经典中的经典啊，            
(4星)	 乐一乐挺好的~            
(5星)	 这个就非常好看拉～            
(5星)	 经典搞笑~            
(5星)	 哈哈哈哈            
(5星)	 这大概是我06年的惊喜吧！            
(4星)	 出人意料  的  现代时尚情景喜剧            
(4星)	 排~~葵~~            
(5星)	 一个人的时光，美丽的我的家。我抱着小黑看得哈哈大乐，最喜欢郭芙蓉，真实可爱率真有趣。喜欢武林外传的台词。好玩。可乐。            
(5星)	 宁财神好牛！！！            
(5星)	 前半部搞笑，后半部爱情。不能一下子都看完，否则会想吐。            
(5星)	 太搞笑了            
(4星)	 老哥推荐的，寓教于乐，不错~            
(NA)	 搞笑。            
(5星)	 特别搞笑            
(5星)	 看过很多遍            
(NA)	 之前觉得很无聊很白痴,可看进去了很有意思.典型的后现代主义!我们老师上课举例的典范!            
(4星)	 搞笑呵呵            
(4星)	 虽然有模仿friends之嫌，但仍然funny~~ 我看好你呦            
(NA)	 我喜欢白展堂,你呢?            
(5星)	 D            
(5星)	 说不好笑的请自抽            
(5星)	 确定、肯定以及一定～第66集～还是不错了，至少让我成长了～            
(NA)	 芙妹啊!!!            
(5星)	 最欢喜小郭            
(NA)	 太好看了！！超喜欢秀才！！他太冷了！！            
(5星)	 情景剧            
(NA)	 我老婆佟掌管哈哈            
(4星)	 茶余饭后            
(NA)	 超喜欢  的那种            
(5星)	 真的希望这样的同福客栈真的存在~            
(3星)	 很多人控，我就没发现什么笑点            
(5星)	 还是最喜欢秀才.都喜欢啦~            
(NA)	 看到吐。            
(5星)	 我是空粉，我是这个团体的忠实观众。            
(NA)	 hello kitty            
(5星)	 经典~！            
(NA)	 hahahahahah            
(5星)	 没有人不爱它。            
(NA)	 想起来就想笑的连续剧            
(5星)	 06年初最夺目的新星            
(5星)	 娶妻当娶郭芙蓉！            
(5星)	 越看越喜欢            
(5星)	 幽默了我们全家整个寒假的情景喜剧            
(4星)	 幽默            
(NA)	 解构的时代            
(5星)	 爱不释手，情景喜剧的又一个高度，就像现在不会忘记我爱我家一样，多年后，我们也不会忘记这部给我们带来欢笑的片子            
(4星)	 搞笑            
(5星)	 额滴神啊～            
(5星)	 搞笑都搞得有点厌烦了.            
(5星)	 偶超爱看.,正在努力学会几个经典名言袄~~~太找乐了.            
(5星)	 搞笑 轻松 幽默             
(5星)	 有时吃饭的时候还会看几集            
(5星)	 很好笑，不过不能看第二遍            
(NA)	 内地版古装武侠六人行。            
(5星)	 替我报仇！！！记得我是看武林外传笑死的！！！！            
(5星)	 太好看了！            
(5星)	 最好的感情，是存在于生活点滴中的            
(5星)	 白驼山壮骨粉            
(5星)	 集东西南北、古今中外之大成的喜剧            
(NA)	 我喜欢秀才！！～～            
(5星)	 我爱武林外传！！！            
(4星)	 一项耗费我半年时间的大工程，想放松时看一武林，无聊时看武林，时间不充裕不能看电影还是看武林...80集啊，我茶余饭后一点一点磨出来的好在没有被时代抛弃，集众多流行元素于一身的武林，我还能看得懂，乐出声            
(5星)	 从零六年初一直看重播看到零七年春节...            
(5星)	 哈            
(5星)	 内地电视剧难得的佳作！也许只有网络作家能写出这样真实而又睿智的台词吧            
(4星)	 50集以前还很不错的。            
(5星)	 爽！！！！！！！！！！！            
(NA)	 面对生活的态度应该是轻松的，面对困难德态度应该是举重若轻的            
(5星)	 很是着迷            
(5星)	 超喜欢            
(5星)	 这年月,就是需要这样的片,开心就好.            
(4星)	 排山~~~~~倒海~~~~~            
(5星)	 啥？还没看过？            
(4星)	 以至于过了好多年还可以拿出来看XD            
(5星)	 作为一种结构，需要能看得懂的人来欣赏。            
(NA)	 茶余饭后            
(5星)	 &#34;喜欢破烂溜丢笑声四溢的同福客栈，喜欢那群吵吵闹闹亲亲密密的平凡小人物，喜欢又小气又义气的寡妇湘玉、喜欢怀揣女侠梦当了杂役的芙蓉，喜欢一听六扇门就脚软的展堂、喜欢一辈子没考出名堂的秀才，喜欢老是用大话弥补暗淡人生的大嘴。&#34;            
(NA)	 2006年看：好久不见，你去哪儿啦。江湖。江湖在什么地方？我指给你看……额滴神呐            
(4星)	 其实是正在看：）            
(4星)	 确实蛮经典的，支持一下            
(5星)	 好好笑，非常滴喜欢n-n            
(5星)	 经典            
(3星)	 还行吧。比其他的室内剧好看多了。本来倒是觉得很好笑的，挺像话剧，就是太说教了。唉。            
(5星)	 饿滴神呀~            
(4星)	 最适合不开心了之后观看。            
(5星)	 我想说这个是我最喜欢的中国情景喜剧。            
(NA)	 世界如此美妙,我却如此暴躁.这样不好,不好.            
(5星)	 老邢！            
(4星)	 不蒸馒头蒸口气            
(5星)	 压力大的时候疯狂搜索搞笑片，低级粗俗管它呢，好笑就行，反正我就是一俗人。。。俄滴神。。。            
(5星)	 应经看到吐。            
(NA)	 多么可爱的一群人阿            
(5星)	 毕业论文期间的慰藉呀            
(4星)	 国产情景喜剧的另类            
(5星)	 很棒的成长故事！            
(4星)	 网络时代的情景喜剧，就该这样            
(4星)	 我想说这个真的很好看            
(4星)	 燕小六的捕快装。嗷嗷。            
(NA)	 暴笑            
(NA)	 搞笑的经典            
(5星)	 翻来覆去的看..            
(4星)	 哎呀，额万能滴神啊~~忒好玩儿了~~~            
(5星)	 相濡以沫，不如相忘于江湖            
(5星)	 每次电视上重播都看            
(5星)	 多少年前看的  真是经典            
(5星)	 当年的爱~~~~我就是个欢乐的人没办法你不能说我没深度啊╮(╯_╰)╭             
(5星)	 再也找不到曾经看武林外传的心情了            
(5星)	 电视剧的突破，捧红了众多人，但我好像从来没有看全过……            
(3星)	 当年真火~~~            
(5星)	 曾几何时，我是这部剧的骨灰级脑残粉            
(5星)	 最喜欢的国产情景喜剧之一            
(5星)	None
(5星)	 不能用言语来形容了 经典中的经典 难以忘掉的回忆啊            
(5星)	 我重看次数最多的一部国产剧，太欢乐了。。。            
(5星)	 生活化，我最喜欢闫妮，实在。            
(2星)	 越看越不行…            
(5星)	 最爱郭芙蓉            
(4星)	 编剧巧妙，笑点固定，古今中外各种neta，四海方言信手拈来，国内轻喜剧不可多得的佳作。P.S.宁财神：“我觉得写得最好的是其中的两段感情戏。一段是年轻人的恋爱，分分合合、吵吵闹闹，除了爱其它都不考虑；一段是成年后的恋爱，瞻前顾后、畏首畏尾，既恐惧、又渴望。”            
(5星)	 绝对是国产情景喜剧无法超越的巅峰之作！其中每个角色都是无法复制的！ .            
(5星)	 哈哈哈哈笑死我了！最喜欢看了！            
(3星)	 哈哈看了好几遍了~~            
(5星)	 巅峰之作 不可超越            
(5星)	 都市男女我就开始喜欢这帮人了            
(NA)	 前边一般，越看越有意思            
(5星)	 长达二十年的学业都会结束，何况八十集的电视呢。常常怀念起那些个朋友遍地，漫天知己，没心没肺，无知无畏，敢做敢当，不卑不亢的年纪。我还没老，只是没有你们在身边，让我看起来总是很沧桑。            
(5星)	 当时翻来覆去看了很多遍的剧　台词都能背出来了　            
(5星)	 大爱啊哈哈哈            
(5星)	 百看不厌，不纯粹的喜剧，我喜欢里面的爱情，友情，亲情！！！            
(5星)	 百看不厌            
(5星)	 反正找到了我的笑点            
(5星)	 哈哈~            
(5星)	 干！最爱武林外传了！            
(4星)	 经典呀            
(5星)	 过年在家，回味回味            
(5星)	 我真觉得我需要找能跟我一起看这么俗电影的男朋友在！！！！！！如杨二一般哈哈哈哈哈 我们俩乐的都抽了。。。为孰木电影院得人都那么木然            
(5星)	 太爱了            
(3星)	 欢喜，题材很好，有很多老友记的桥段            
(5星)	 秀才~~能出第二部不？            
(5星)	 重温一遍。。。            
