http://movie.douban.com/subject/3042142/	半生缘
(5星)	 我靠这么好看分这么低啊            
(3星)	 除了男女主角，其余演的都挺好。。。。            
(4星)	 印象最深的是一句:我们回不去了            
(3星)	 林心如在里面可怜啊  蒋勤勤这部剧还真是大颠覆             
(4星)	 其中一星给演员，都很不错，难得。            
(3星)	 没演出小说中的韵致            
(NA)	 唉~~国产悲情剧啊            
(3星)	 蛮好看的~不知道是因为张爱玲，还是旧上海，还是林心如，还是因为这些我喜欢的元素组合在了一起，反正我很喜欢~~林心如简直是收视率的保证嘛，甜蜜，演技好，不做作，因为有她，我相信美人心计也是好看的~~可惜现在不追电视剧了呀~            
(3星)	 呵呵呵            
(3星)	 曼璐很出彩            
(3星)	 断断续续地看完了，还是感到很痛心            
(4星)	 我们再也回不去了~            
(3星)	 我觉得沈世钧不是长这样的！            
(3星)	 揪心            
(3星)	 太猪了……林心如在这里面不漂亮~            
(4星)	 世均，我们再也回不去了~~喜欢林心如            
(3星)	 蒋勤勤依旧漂亮。很不稀饭谭耀文。从纵横四海开始就觉得此人很BT。            
(3星)	 当时我在成都            
(4星)	 记得那一句：世均，我们回不去了。            
(3星)	 那会就觉得胡可很美~　            
(5星)	 QB            
(4星)	 感情啊  都是纠结的            
(3星)	 太揪心了.......            
(5星)	 曼璐，我真心疼你。            
(3星)	 。            
(3星)	 有镁铝~            
(3星)	 又是苦逼剧情啊......蒋勤勤林心如演技蛮好的~            
(4星)	 蒋勤勤演技真棒            
(3星)	 曼桢说，世钧我们回不去了，回不去了            
(4星)	 世均 我们再也回不去了            
(4星)	 想像中的曼桢就是这样，弱女子，需要世钧的保护，那句：我们再也回不去了,伤了多少人的心？            
(5星)	 本就很喜欢原著~男女主演真的演出顾曼桢和沈世钧来            
(3星)	 林心如很符合原著曼桢的味道。蒋勤勤演得很不错~~            
(4星)	 曼璐也很可怜            
(3星)	 还不错，林心如挺好的。            
(4星)	 就是因为这部电视剧的几个镜头，让我看到了林心如也能把握这类人物～            
(4星)	 我和你只有半生缘分，前半生相守，后半生相忆。            
(5星)	 &#34;世钧，你幸福吗？&#34;  &#34;世钧，我们回不去了。&#34;  顿时泪如雨下~            
(3星)	 忘了还是初中还是小学这部剧看得我内伤..昨天在图书馆看到原著，又一次内伤了...“就这样擦身而过，如果是注定的结果........&#34;            
(NA)	 “我要你知道，这个世界上有一个人会永远等着你。无论是在什么时候，无论你在什么地方，反正你知道总会有这样一个人。”            
(4星)	 那时候还不知道张爱玲是谁，那时候也只是看言情剧一样为里面人物悲惨命运扼腕叹息，那时候。。。觉得很好看。。。            
(4星)	 电影好看点            
(3星)	 蒋勤勤的曼璐可怜可悲又可气            
(NA)	 挺好看的,3演员都很得力            
(3星)	 老上海系列的都喜欢。我们再也回不去了            
(4星)	 林心如谭耀文蒋勤勤都挺喜欢，更喜欢半生缘。            
(3星)	 我总是对悲剧木有什么印象。。- -            
(5星)	 很多年前看过的一部电视，至今还记得的一句话，我们再也回不去了。            
(3星)	 我看这种戏无感的            
(4星)	 什么叫撕心裂肺            
(4星)	 那老头怎么老演坏蛋！            
(NA)	 心情不好，越看越不好            
(4星)	 还记得林心如被。。。了。。            
(NA)	 单看外形的话，林心如和顾曼桢还是很像的：脸似圆似方，温柔如水。但编得太烂，拍得又不好，可惜了这一套演员            
(3星)	 看过小说后，觉得和原著还是有些差距的，尤其是男女主角演的有点假。。。还是原著好看啊！所以说看了原著再看戏的，戏基本都不好！            
(4星)	 不错            
(4星)	 谭耀文远没有电影版黎明的书生气重，但是我无比喜欢浓妆艳抹的蒋勤勤，一皱眉一抬眼，满是那个时代的荒芜。和妈妈一起看，她不相信那是曾经如水的蒋勤勤，可是，我知道，她还是，只是换了一种方式。            
(3星)	 就这样擦身而过~~~不好看            
(4星)	 几多年前旅途中非要死磕在房间看。。。            
(3星)	 “世钧，我们再也回不去了。”            
(4星)	 介个也是看得我心酸啊！            
(3星)	 没见过这样的姐，害了自己的妹妹            
(NA)	 还是喜欢勤勤姐            
(3星)	 不喜欢男主角……            
(3星)	 男主角。。。主要是两个女主都不错            
(4星)	 再也回不去了。            
(3星)	 蒋勤勤版的顾曼璐远不及梅艳芳。            
(3星)	 主角无爱啊...            
(4星)	 因著蔣勤勤和李立群的演技,張愛玲的劇本便值4顆星            
(4星)	 个人认为是林心如的出彩之作，演员整容很整齐的感觉            
(5星)	 &#34;回不去了&#34;            
(4星)	 他们，回不去了……            
(4星)	 谭耀文有点天然呆，其他还好，蒋勤勤蛮颠覆的            
(4星)	 就这样擦身而过……            
(4星)	 对结局印象深刻.虐啊.            
(4星)	 我们再也回不去了            
(3星)	 觉得蒋勤勤演的曼璐很好。            
(4星)	 错过一刹那 就错过了一生            
(3星)	 谭耀文！            
(3星)	 回不去了            
(4星)	 给老蒋鼓掌            
(2星)	 没看全            
(4星)	 从头看到尾，喜欢，就是最后结尾太伤感，童年回忆，经典            
(3星)	 为了蒋勤勤            
(4星)	 因为太爱原著了。            
(4星)	 生 离 死 别            
(4星)	 还是原著好。。。比较可以想象            
(3星)	 倾城之恋啊            
(3星)	 勤姐            
(4星)	 呵呵呵，也没看全。            
(NA)	 “世钧，我们再也回不去了。。。”　　真让人伤感。             
(4星)	 受不了谭耀文的嘴巴。            
(4星)	 小时候看的。世钧演挫了            
(2星)	 名小说啊。            
(3星)	 看的我纠结死了，特别是那个结局啊            
(3星)	 张爱玲看了会郁闷的            
(4星)	 演员选的很不错，所有人感觉都特别棒。张爱玲的故事。大爱啊！            
(3星)	 再也找不到比本剧男主角更傻×的人了。。主题曲不错            
(2星)	 主要是珠玉在前            
(4星)	 年幼的时候不喜欢这种论调， 后来才知道生活的无情无奈不是说说而已。如若和你只有半生缘，惟愿相逢不相识。            
(2星)	 不喜欢林            
(NA)	 很美的主题曲            
(2星)	 还说林心如大胆挑战新角色 不就还是这样装可怜。。装清高。。来电高难度的吧 有本事来演姐姐            
(3星)	 張愛玲的經典之作之一            
(3星)	 为了蒋勤勤            
(4星)	 林心如的演技不要太好。。。。            
(4星)	 祝同学不错            
(4星)	 我要你知道，在这个世界上，总有一个人是会永远等着你的。无论什么时候，无论在什么地方，总会有这么一个人            
(3星)	 蒋勤勤跟李立群演的还是很逼真的            
(4星)	 就是感觉蒋勤勤跟林心如一起的画面真美好啊真美好，回不去了神马的确实很虐            
(4星)	 这个剧明摆着是选角的功劳，张氏故事有好底子，演员合拍就情境都好。像十八春这类故事，还是拍电视剧好，拍成电影反而少了韵致            
(3星)	 别的角色都一般，只有蒋勤勤很出彩            
(NA)	 初中时候狂看            
(4星)	 从这部戏起，非常关注蒋勤勤。            
(5星)	 李立群五分！            
(3星)	 回忆            
(3星)	 memory            
(4星)	 当时看的那叫一个辛酸啊，很值得一看的电视剧。。            
(4星)	 就这样擦身而过~            
(4星)	 半生缘匆匆。            
(4星)	 林心如眼泪涟涟地说，世钧，我们回不去了            
(4星)	 和家人一起看，怎樣都覺得棒            
(NA)	 我们都回不去了，不是吗            
(3星)	 演得不错，真希望结局和原著不一样            
(3星)	 可怜的女人~            
(NA)	 我们家心如太惨了。。。T.T            
(4星)	 这个版本还蛮好看的 虽然看的断断续续的~稀饭林心如            
(4星)	 爱情那么难。            
(3星)	 讨厌男主角，大嘴巴            
(5星)	 最后一集，曼桢说：我们再也回不去了。再也压抑不住了，泪珠一颗颗的往下落。            
(NA)	 凄美的爱情，电视剧和书中的感觉不是特别大致，大概是因为我对书的特殊情感吧，但是心如的表现还是不错的，男主要是换个人就好了            
(4星)	 最后来曼桢对世钧说：我们都会不去了。的时候忽然就觉得世间事，再怎么的，都抵不过时间。            
(4星)	 很悲惨啊！            
(NA)	 还是爱林心如蒋勤勤版的..第一次看到是12岁那一年，再没能忘记            
(2星)	 蒋勤勤的演技在这边有个转折，突破            
(5星)	 叹息曼桢和世钧的这段半生缘。可怜的曼露，凄惨的曼桢，悲剧的世钧。翠芝和书惠，也回不到了过去，就此错过了今生。            
(4星)	 第一次看蒋勤勤，演得真好！            
(3星)	 悲啊悲            
(3星)	 高中时期            
(4星)	 还是小说好看            
(NA)	 擦身而过我一直以为能够这样，看你到一百岁，所谓的完美都比不上在你怀里安睡·················            
(3星)	 还是书好看些。。。            
(4星)	 我们回不去了。那时的我，还不能接受这部片子里的很多美好被撕碎。            
(4星)	 也许是上天注定的缘分，可是也只有短暂的半生...那么下半生呢？用来回忆吧...人世间有很多无奈，遇见的时候请珍惜，错过了就忘记吧...            
(3星)	 根据张爱玲小说改编的吧            
(4星)	 蒋勤勤，赞的！心如也很赞的~就是谭耀文这傻子太傻了，长的傻，演的也傻=。=            
(3星)	 初中时纯粹是为了和班里女生有谈资才看的没看完，高中看了原著觉得除了曼璐外的角色选的都不好。上星期做这部剧才大概跳着看完了，不过尔尔。顾曼桢最后台词我倒是很喜欢：十四年了，日子过得真快，对于中年人来说，即使十年八年也不过是指缝间的事，可对于年轻人来说，三年五年，也许就是一生一世。            
(3星)	 只记得，林心如含泪哽咽着说到那句：“世钧，我们再也回不去了”！            
(3星)	 对于故事情节的记忆远没有最后一集:“xx，我们回不去了”的台词来的清楚。            
(5星)	 最悲伤的事情莫过于用别人的口吻诉说自己的故事            
(3星)	 纠结吧！！！            
(4星)	 大虐            
(3星)	 不太喜欢            
(4星)	 当年还哭的怪惨的~~~            
(4星)	 是因为张先生的小说而喜欢的。            
(3星)	 不喜欢这样的结果            
(5星)	 擦肩而过            
(4星)	 故事就是这样，大半生，浮浮沉沉，千帆过尽。哭闹过，错身过，半生都过了，回头看那交叠着的时间和面容，似是而非了都快。然后从回忆里醒过来，静默地理理衣角，还是继续过明天的生活。            
(2星)	 不喜欢男主            
(3星)	 喜欢蒋勤勤演的。。。            
(NA)	 我们都回不去了            
(4星)	 伤心             
(4星)	 张爱玲。。。。你敢不敢在纠结点。。。。            
(5星)	 本以为两两相爱、心心相印的人不论之间隔着什么，都会在一起的，曼桢和世均从一见钟情开始就有着心有灵犀的爱情，但却敌不过命运的突然一串，当遇到爱的人，好好的去珍惜吧。            
(3星)	 最喜欢蒋勤勤            
(3星)	 反正林心如演的角色我都讨厌。。。居然喜欢曼璐            
(5星)	 青梅竹马那只是一颗包着糖衣的毒药；我要洗得干干净净的，干干净净的，这样就没有人嫌我脏了——我爱上蒋小姐后看的第一部勤剧，对我来说是有特殊意义的吧？还记得那时为了曼璐跟同学争论。。。蒋小姐太想证明自己，在里边演得很卖力。            
(4星)	 其实当年这部电视剧看得我很心痛的，最后那句我们回不去了，好伤心呢！@Home            
(3星)	 好故事 但是没有好演技            
(5星)	 我爱你只是爱的不够那样深，所以擦身而过。            
(4星)	 我们再也回不去了。            
(3星)	 蒋勤勤演技的又一突破~这部剧中~总有一句能萦绕你半生的话~世均~我们再也回不去了~回不去了~            
(3星)	 慢慢抽。            
(4星)	 片尾曲太好听了，蒋勤勤演的曼璐我好喜欢，我一点都不恨她            
(4星)	 那一句“回不去了”惹了好多眼泪            
(5星)	 不知道哭了多少次。半生缘，不如从未遇见。            
(NA)	 我觉得两姐妹都很好看。            
(3星)	 没有书的感觉好~            
(3星)	 vs梅艳芳，葛优，吴倩莲版            
(3星)	 林心如后面演得不错。仅限于后面。            
(4星)	 林心如漂亮~~            
(3星)	 只能记起勤勤小姐的红唇和那HLL的JQ桥段了...            
(4星)	 前面太罗嗦最后一集才好看这么好的结局            
(5星)	 就这样擦身而过，难道是注定的结果            
(5星)	 我们回不去了            
(3星)	 看完书后，不喜欢顾曼桢了            
(4星)	 你像风来了又走，我的心满了又空……            
(2星)	 没有原著的韵味            
(3星)	 有些事错过了就错过了。。不能强求。。            
(4星)	 我很讨厌这个世钧            
(3星)	 蒋勤勤很美，但看的抑郁            
(NA)	 陪家人看            
(5星)	 张爱玲的改编剧中，最好的一部，细节处理的都很到位。            
(5星)	 蒋小姐诶你死的时候我哭了            
(3星)	 主题曲还行  太杯具了……            
(5星)	 我的勤勤是实力派，看一眼就不会忘了那个曼璐。            
(5星)	 没有认真看完，但是依稀记得她改变了我对林心如的看法。            
(3星)	 除了桃花林中一吻 撒都不记得了            
(5星)	 有点扯，不过我还是伤心了～            
(2星)	 这两颗星，我是给蒋勤勤的。原著《十八春》够得上四颗星，电影《半身缘》够得上五颗星。电视剧选错了男女主角，那个时候的林心如还停留在偶像剧阶段，男主角更是......无语，我不知道如何来形容这个苍白到无法再苍白的人。            
(4星)	 曾经对蒋勤勤咬牙切齿过。            
(3星)	 囧            
(2星)	 全片充斥着着暴力，色情，丑男            
(3星)	 女人何苦为难女人~            
(NA)	 我们，回不去了。            
(4星)	 最后那一句“我们回不去了”很催泪。            
(5星)	 可怜半生缘            
(4星)	 张爱玲的代表作，所以多给一颗星。。只可惜还没看过书。            
(3星)	 不喜欢这么阴暗的。。            
(4星)	 2003年            
(NA)	 拍的还蛮好的，可惜没有电影版的好            
(2星)	 不喜男角,像监狱犯= =            
(4星)	 想起我的初恋。。。。            
(3星)	 WITH GRANDMA...            
(5星)	 撕心裂肺            
(4星)	 看得纠结- -            
(4星)	 看得心疼就是华丽丽的心疼            
(4星)	 就这样擦身而过，难道是注定的结果。            
(3星)	 曼桢忒口怜了那~~~            
(NA)	 我们回不去了，回不去了，回不去了呀！！！            
(4星)	 错爱。误会。。伤感            
(NA)	 = =蒋勤勤。            
(3星)	 后来才知道是张爱玲的原著改编的.那时候跟老妈一起看.            
(3星)	 诶~            
(4星)	 我们，回不去了……            
(3星)	 唉。可叹。            
(1星)	 当张爱玲遇见了琼瑶            
(5星)	 这部剧让我肯定了心如的演技.她的眼泪和苍白的神色,都深深打动了我.旧上海的装容太适合她.最后的那一幕重逢,那一句&#34;我们再也回不去了&#34;..让人痛彻心扉....            
(4星)	 我爱林心如~            
(5星)	 只能相遇，不能相守。            
(4星)	 还是觉得蒋勤勤好            
(3星)	 当时就被这故事压抑了蛮久的..&#34;我们再也回不去了&#34;- -            
(3星)	 男生就不能强硬点啊            
(4星)	 换掉林心如!            
(4星)	 有缘半生，足矣……            
(NA)	 不喜欢男主角            
(2星)	 就是无限个巧合后组成的一个巧合的故事  告诉年轻的人们 除了爱情 什么也别相信            
(4星)	 书应该更好看吧            
(3星)	 林心如演得一般 ~~            
(3星)	 满纠结的剧情            
(4星)	 哎，人生是一定要留下遗憾的            
(3星)	 蒋勤勤演出了粉尘味            
(4星)	 就这样擦身而过。。难道我爱你不够多~            
(3星)	 喜欢蒋勤勤            
(NA)	 一直觉得蒋勤勤很漂亮            
(3星)	 就这样擦肩而过。            
(2星)	 林同学太没演技            
(4星)	 演的还不错哈~~            
(NA)	 曼桢的那一句“我们再也回不去了”总让人泪流。            
(3星)	 林囧如。。。            
(2星)	 林心如演得不好            
(4星)	 这个 看的我这个恨啊            
(3星)	 原著还行            
(3星)	 虐恋情深啊            
(4星)	 蒋勤勤演的太好了，其余的人不做评价            
(NA)	 谭耀文怎么看怎么别扭，可能不喜欢他的脸吧！喜欢蒋勤勤！            
(4星)	 就这样擦身而过。            
(4星)	 就这样擦身而过 如果是注定的结果            
(4星)	 看的很心疼的 哎~             
(3星)	 我觉得演得很好啊            
(NA)	 只记得主题曲里淡淡的忧伤            
(4星)	 回不去了，再也回不去了。            
(3星)	 喜欢谭耀文            
(3星)	 香肠嘴            
(NA)	 回首半生匆匆，恍然如梦            
(4星)	 就不喜欢林心如.!            
(4星)	  很久以后，她站在风中对他说，世钧，我们回不去了。            
(NA)	 知道了电视剧里也可以有不完美的结局。人生，现实，存在着太多的错过与悔恨…            
(5星)	 心疼啊            
(3星)	 蒋勤勤最精彩            
(4星)	 没看过小说.擦身而过的不止是结局.            
(2星)	 张爱玲哭了            
(5星)	 我就是觉得好看            
(4星)	 属于老上海的爱情回忆            
(NA)	 日子过的真快~ 对中年以后的人来讲， 十年八年好像是指缝间的事； 可是对年轻人来说， 三年五年就可以是一生一世 。。。            
(5星)	 我们再也回不去了。            
(3星)	 这个剧当年居然也看过，主题曲印象较深            
(5星)	 主题曲插身而过            
(3星)	 高一看的电视剧，大二看的书，看书的时候心中总是想到世均是剧中的男主角，有点丑，虽然现在大四了，再看书的时候看到世均，淑惠，满真，满路，翠之还总是想到的是剧中人物的样子            
(3星)	 很久前看过的了            
(3星)	 那一句 我们回不去了 再也回不去了 被林心如哭喊得让我忍不住要笑            
(3星)	 听心痛无语的一部电视剧。。。            
(4星)	 我怎么忘了我看过这个？感觉是，蒋勤勤演得很不错，她属于演什么就比较像什么的类型，而心如在这部片子里的表现让我有些失望，她老是跳脱不出大小姐的窠臼，演什么都像紫薇或者如萍，不好~            
(4星)	 我们回不去了回不去了~~            
(3星)	 回不去了。            
(2星)	 这是一部披着《半生缘》外衣的琼瑶剧，也就蒋勤勤还可以            
(5星)	 只能看一次。。            
(3星)	 没电影经典            
(4星)	 林心如没演好 蒋勤勤超级漂亮 嘿嘿            
(NA)	 里面几首歌我还是有点喜欢的            
(3星)	 突然觉得还可以 可怜的一对姐妹啊            
(3星)	 回不去啊回不去，还行吧            
(5星)	 林心如好惨……            
(NA)	 只是，回不去了。            
(3星)	 还是纠结了点~我们回不去了……            
(4星)	 小说很喜欢，电视剧也不错，其实心如的演技还是可以的，不知道为什么就是半红不紫            
(NA)	 隐忍的爱情，真是无奈            
(3星)	 就看蒋勤勤~~            
(4星)	 哭过。。。可惜            
(3星)	 结局太...蒋勤勤也太突破了~            
(4星)	 片头片尾曲很好听~感觉整体演得还是很好的            
(NA)	 因它看张爱玲            
(3星)	 曼璐.            
(3星)	 一边看一边生气，曼桢真是让人失望            
(4星)	 就这样擦肩而过，如果是爱你不够多            
(4星)	 蒋勤勤太嗲了            
(NA)	 就觉得配乐都挺好听的。林心如演的女主角的命运很是悲哀~~两个相爱的人就那么擦肩而过，            
(4星)	 我就喜欢看时代的杯具 可恨            
(NA)	 这部电视剧我也是一集不落的守着安徽卫视看完的            
(5星)	 命运，就是件神奇的事情            
(3星)	 林心如永远是乖乖女啊。。蒋勤勤的变化不小。。            
(3星)	 瘆死了！            
(4星)	 这部剧不知骗了我多少眼泪，讨厌结局，为什么这么悲剧？            
(4星)	 半生缘            
(4星)	 唉，看得我那是是一个无奈和心碎啊~~~就这样擦肩而过。。。            
(2星)	 把张爱玲小说演成琼瑶剧了~            
(3星)	 当时冲着林心如去的 唉            
(3星)	 当年为了那句“世钧，我们回不去了”，大雨磅礴啊。可是林心如真的演的不好            
(4星)	 漂亮的蒋勤勤            
(NA)	 很喜欢的一部片。            
(4星)	 拍得不错，就是故事改编得太烂            
(5星)	 我们回不去了。。。            
(NA)	 我喜欢坏女人 不稀罕苦情女            
(3星)	 貌似我还记得最后一集最后的那个镜头……            
(4星)	 蒋勤勤真是打破形象啊 不过还是很喜欢她~~            
(4星)	 可是我们都回不去了。            
(3星)	 原书更好。            
(3星)	 蒋勤勤演的挺赞~            
(3星)	 勤勤很突破            
(4星)	 我觉得还行。            
(2星)	 没有评很差 是有一颗星给蒋勤勤            
(3星)	 她真的是太了解他了，在那小饭馆一隅的生生世世，出了这门他给不了她，不是懦弱，只是牵挂太多，一切都回不去了。街头的擦肩而过，回首，是永不再见，毕竟，这个世界，有的不只是爱情。水灵的曼璐是演到了人心里，心如的曼桢开始总也不太喜欢，直到对比了电影，太发觉，其实也挺好。            
(2星)	 可恶的编剧，把好好的翠芝写成了泼妇。。。            
(2星)	 只看李立群！            
(3星)	 hntv            
(3星)	 一句话 我们再也回不去了            
(3星)	 谭耀文这个大嘴            
(4星)	 为了蒋勤勤的演技MARK            
(NA)	 很早之前看的剧，只记得，林心如说到，我们回不去了。            
(4星)	 更喜欢原版小说。1997-09-12 / 黎明 / 吴倩莲 / 梅艳芳 / 黄磊 / 葛优等演的电影版的没有看过            
(NA)	 有情人卻難成眷屬            
(5星)	 曼璐死的那一集哭了有10多分钟吧。蒋勤勤真的是演得好。            
(4星)	 那时候看得揪心啊            
(4星)	 拍成电视剧总是直白一些了            
(NA)	 为林心如和谭耀文最后相忘于江湖扼腕。。。            
(2星)	 唯一可与电影版抗衡一下的就是蒋勤勤，刻画的姐姐这个角色更饱满，电视剧的片尾曲倒让我追捧了一阵。            
(3星)	 以前看的没想到里面的蒋勤勤演的是这类的人哦！            
(5星)	 林心如又一代表力作，还有那句“我们回不去了”。            
(4星)	 蒋勤勤....还有点儿不够            
(3星)	 到底是有一些影子在。            
(3星)	 就记得林心如生孩子那段            
(5星)	 一个快让勤勤演的精神分裂的角色，一个让勤勤有极大的挑战的角色，一个让勤勤在大陆人气急升的片子。半生缘，值得看。            
(NA)	 我要你知道，在这个世界上总有一个人是等着你的，不管在什么时候，不管在什么地方，反正你知道，总有这么个人。            
(4星)	 就这样擦身而过 如果是注定的结果蒋勤勤~            
(4星)	 结局很悲催呢。。姐姐死了，妹妹被糟蹋了且也遇不上最爱的人            
(3星)	 假了吧。。            
(NA)	 窝色～            
(4星)	 林心如在开头和结尾的一段话还有点儿印象。对于三十岁以后的人来说，十年八年不过是指缝间的事。 而对于年轻人而言，三年五年就可以是一生一世。呵，还是张爱玲。            
(3星)	 奶奶爱看            
(3星)	 这样真实的无奈很少了            
(4星)	 我看着曼桢哭着说：回不去了，我们回不去了。不知觉中，我也泪流满面。久久不能平息。这是我最痛的一句话了。            
(4星)	 很早之前电视上不完整的看了。看蒋勤勤去的，演的很好~            
(4星)	 难得的一部能拍出些许原著感觉的连续剧。            
(3星)	 没看全            
(3星)	 只记得，回不去了回不去了OJZ            
(4星)	 最后曼桢对世钧说“我们回不去了 回不去了 你不明白么”就这么擦身而过，难道我爱你不够多。            
(3星)	 十八年一晃而过，世钧与曼桢又在上海重逢，然而世事沧桑，二人恍若隔世，一句“我们回不去了”，终不能挣脱宿命应有的安排！小说中的每一个人都没有得到自己理想中的生活，包括翠芝，包括豫瑾，也包括淑惠，所有人离自己的幸福都差了那么一点，可能这个距离只是很短，可是却成了一生的无法改变的命运            
(5星)	 蒋勤勤演得很好            
(2星)	 只喜欢林心如唱的插曲。            
(4星)	 有点悲的说            
(2星)	 你侬我侬~            
(3星)	 祝鸿才演得可圈可点。            
(4星)	 泪奔==，水灵演得真好            
(2星)	 世均，我们回不去了。            
(3星)	 不如电影。            
(NA)	 抓住幸福？            
(NA)	 那年某人说某某某和某某某很相像            
(5星)	 看得人心都碎了            
(4星)	 张爱玲~~            
(2星)	 难看难看~~~悲剧！不喜欢~蒋勤勤在戏中坏死了~            
(4星)	 记得我是感动得哭了的，也为此心痛了好久，不过竟然不记得剧情了！            
(5星)	 后来还专门看了小说的            
(5星)	 “我们都回不去了”            
(NA)	 老师说  比起阅读小说  我是失望的              
(NA)	 我们再也回不去了            
(3星)	 蒋勤勤的演技可见一斑，但其他人...            
(1星)	 男主角丑。            
(4星)	 还不错~            
(4星)	 林心如演技很棒，剧情太赞了，张爱玲真有才。            
(3星)	 回首半生匆匆。。你像风来了又走，我心满了又空。。。            
(3星)	 男主角演的不咋地，毁了我心中的形象...            
(4星)	 命运不准我们在一起！~~~            
(NA)	 我想要个美满的结局~前几天借来小说，看了一点就看不下去了!太残忍了~            
(3星)	 主题曲也很好听的说            
(3星)	 是张爱玲的吧，，，            
(NA)	 改编成电视剧就注定要加入各种无谓的情节了。            
(5星)	 世均，我们都回不去了。            
(NA)	 林心如怎么演蔓桢？？            
(3星)	 结尾不够唯美呀，仿佛太匆匆，其他方面，张爱玲的这个故事加分。            
(4星)	 回首半生匆匆，恍如一梦...            
(3星)	 林心如还真是适合演那个时代的文艺片儿。            
(5星)	 也许凄美的爱情才让人刻骨铭心~            
(3星)	 看过一部分，一般，不过喜欢水灵            
(3星)	 蒋勤勤演技是个亮点            
(NA)	 经典凄美~            
(3星)	 结局太悲了            
(NA)	 我无比愤恨这个沈世钧，他哭起来像驴。可我还是忍不住要看，这是张阿姨的力量            
(2星)	 男主角太恶心            
(NA)	 看了大部分，没有完全            
(NA)	 我们再也回不去了~~回不去了~~            
(NA)	 这部戏中，似乎没有人能够得到完完整整的爱情，尤其是女性            
(4星)	 其实蛮好看的            
(4星)	 我们真的回不去了            
