http://movie.douban.com/subject/2286012/	苗翠花
(4星)	 着实经典。在一个不追星的年代看到了全是明星的片子。。。。。。            
(4星)	 多少年才出一个关咏荷啊            
(4星)	 一直很喜欢关咏荷            
(4星)	 关咏荷姐姐的每个银幕造型让人觉得就是她自己～赞            
(3星)	 笑笑算了            
(4星)	 小時候特喜歡!!!            
(4星)	 酸豆角炒豆干....            
(4星)	 那时候我也很年轻啊            
(4星)	 苗翠花和方德，关咏荷的喜剧一如既往的出色和自然，而江华也展现了他的喜剧天分。            
(4星)	 擦，居然有这部            
(NA)	 小时候挺喜欢            
(4星)	 必须看过啊....这就是当年的暑期档电视剧啊....各种TVB古装...            
(NA)	 最爱看了            
(5星)	 我最喜欢这一版~            
(4星)	 酸豆角炒豆干。。            
(4星)	 经典啊            
(3星)	 方世玉爹娘的故事            
(4星)	 主题曲赞一个！哈哈哈            
(5星)	None
(NA)	 素娥你家小生捏~            
(4星)	 童年记忆啊            
(5星)	 小学时看的，好看哦！            
(3星)	 虽然关咏荷不漂亮，但胜在有气场            
(3星)	 非常搞笑，不过笑完就没了            
(5星)	 深入人心~            
(5星)	 看不厌的经典剧啊！            
(4星)	 曾今那么喜欢关咏荷            
(5星)	 只要有关咏荷我就给五星。。。年少无知时理想中老婆的形象。。。            
(4星)	 酸豆角炒豆膏  至今不知道是神马            
(4星)	 很搞笑就是。            
(4星)	 我记得小时候我还是很喜欢看这个的。那个时候国产电视台还是有很多港剧动画片的。生在那个时代真好。            
(4星)	 很经典的一部港剧            
(4星)	 记得以前可喜欢看这片子了。            
(3星)	 哈哈，小时候每天追的剧啊····            
(4星)	 那个时候还很喜欢郑秀文唱的主题曲。那时候江华在我心目中的形象还是不错的。            
(4星)	 从此喜欢关咏荷，够搞笑够王子与灰姑娘，从此对搞笑言情剧产生依赖            
(5星)	 童年的回忆啊！翠花，三姨太和李小环我三个都爱XD！            
(4星)	 小时候非常喜欢            
(3星)	 那时年少各种剧~            
(3星)	 还好~            
(5星)	 当心真心觉得很漂亮            
(4星)	 小时候看的片子，当时真心的觉的江华是真的帅的~            
(3星)	 关咏荷 那时候很喜欢            
(4星)	 江华搞笑起来也挺有强调的。            
(5星)	 这部中我记住了关咏荷            
(4星)	 关咏荷的代表作之一。            
(5星)	 最喜欢这个了            
(4星)	 可爱的苗翠花，关咏荷演过好多经典的港剧啊。。。            
(3星)	 童年……            
(4星)	 我心目中的TVB经典~当时觉得江华扮的这个角色太有魅力了~~            
(4星)	 记得小时候很爱看            
(4星)	 看了好几遍了.            
(4星)	 那年应该是初二吧            
(3星)	 关咏荷当年很火 再次。。            
(5星)	 四姨太啊            
(4星)	 经典            
(NA)	 關詠荷！！！            
(4星)	 看过的吧，好像觉得还不错。            
(4星)	 苗翠花的经典动作后来被人到处抄袭            
(5星)	 超爱这部的，超喜欢关咏荷的，这部还挺搞笑的。            
(4星)	 好看！            
(5星)	 经典            
(3星)	 哈哈哈哈              
(5星)	 曾经的记忆！            
(4星)	 唔知？滚家温习！            
(3星)	 江华！江华！江华！虽然此人后来牵扯绯闻太多，在某事上又不大让我看得起。但他依然是帅哥一枚……在我中学那个年纪……咳嗽……关咏荷也是难得的风头人物。            
(4星)	 当年看这个的时候特别喜欢关咏荷            
(3星)	 小时候看过无数次= =            
(5星)	 经典            
(4星)	 我确定，每集我都看过，哈哈            
(5星)	 搞笑滴。            
(5星)	 我最喜欢的一部剧啊。            
(4星)	 这个也是小时的记忆啊            
(5星)	 其實我更喜歡裏面的江華 古靈精怪的還很帥氣            
(4星)	 温习了某部剧...            
(5星)	 莫名莫名其妙对关咏荷很有好感，江华真心帅            
(5星)	 我那个喜欢 关咏荷啊  我的小学时光啊。。            
(5星)	 很好            
(3星)	 哈哈哈            
(5星)	 我是看着你长大的。            
(5星)	 笑死我了！            
(5星)	 当年看了无数遍            
(5星)	 新鲜又温暖的关咏荷 TVB要多少年才出一个啊            
(4星)	 童年的回忆啊响当当。            
(4星)	 TVB的。。改编总是那么神奇~            
(5星)	 我妈最爱的一版苗翠花~            
(4星)	 江华和关咏荷  还挺般配的嘛            
(3星)	 好怀念每集中间插播的她的那个帅帅的动作...            
(4星)	 很搞笑人气很高的老片子~ 方德苗翠花经典版~            
(NA)	 大爱关咏荷啊~~~            
(5星)	 小时候看的            
(NA)	 补tag            
(4星)	 童年的记忆好木~~~            
(NA)	 忘记了诶            
(3星)	 傻大姐            
(3星)	 童年&amp;TVB            
(NA)	 小时候超爱+1            
(4星)	 荷姐和江华哥            
(4星)	  关咏荷关咏荷            
(4星)	 什么都忘了，就记着小姨子特别烦躁            
(5星)	 关咏荷 和欧阳震华是我当时最喜欢的演员。。。            
(4星)	 每次重播都会看            
(4星)	 很久的电视剧了，就记住关咏荷了，没想到还有江华。            
(3星)	 方世玉他娘。            
(4星)	 那个时候 港剧真好。            
(5星)	 小时候的回忆。            
(3星)	 这个苗翠花好啊            
(5星)	 当时爱得不行啊            
(3星)	 一般            
(4星)	 小时候的梦想就是吃酸豆角炒豆干！            
(4星)	 很简经典哦            
(3星)	 依稀记得。            
(4星)	 配！            
(4星)	 挺有意思的片子~            
(5星)	 只是因为儿时是回忆            
(4星)	 好看的剧 这两人在一起就好玩            
(NA)	 看过 不全 小时候还蛮爱看古装剧的 现在已经完全摒弃了             
(4星)	 哈哈哈哈 好看的            
(4星)	 小时候和外婆妈妈一边做红果桃一边看苗翠花的下午是那么的难忘            
(5星)	 关咏荷 饰演噶 苗翠花 无人能敌啊，经典             
(3星)	 很喜欢这戏里的江华来的            
(4星)	 关咏荷看着太老点了...            
(4星)	 想当年对电视剧是相当沉溺的，最爱边看边写作业，每每看着看着就忘了作业= =然后到了老妈老爸下班的时间，听见楼道的脚步声赶快关电视机，回卧室，假装认真做功课。哈哈，不回头的童年时光。            
(4星)	 关咏荷很受看的。喜欢当年的港剧。            
(3星)	 苗翠花。。。。            
(4星)	 小时候超喜欢            
(4星)	 很搞笑            
(5星)	 顶级的！！！            
(4星)	 一直觉得关咏荷挺漂亮。            
(4星)	 关咏荷姐姐是我心里的大美女。            
(NA)	 。。。            
(5星)	 貌似算看的第一部港剧？=v=            
(4星)	 小学到初中，真的看了蛮多港剧港影......            
(5星)	 长得美又一审好功夫，好棒哦！            
(5星)	 喜欢关咏荷也是从这部剧开始的            
(3星)	 小时候这个看不腻的啊一放假就看            
(5星)	 小时候超爱！            
(4星)	 童年的回忆啊啊啊。苗翠花照顾小孩子啦啦啦。            
(NA)	 喜欢苗苗。            
(5星)	 几乎每年都要看一遍。几个姨太太绝了。苗翠花很搞笑啊。            
(4星)	 小时候的经典！！            
(4星)	 经典            
(5星)	 小时候好喜欢啊~            
(NA)	 =v=~~~~~~~~            
(3星)	 真心不喜欢江华            
(4星)	 好看！！！！！！！！            
(4星)	 就是这部觉得江华很萌~            
(4星)	 小时候很喜欢关咏荷            
(5星)	 荷姐V5！！！！            
(3星)	 还不错            
(4星)	 小时候好喜欢关咏荷的。            
(5星)	 最爱最爱！！！            
(4星)	 词穷            
(4星)	 喜歡劉玉翠，她很可愛~            
(3星)	 喜欢关咏荷的颜~            
(4星)	 小时候喜欢            
(NA)	 方世玉！            
(4星)	 女儿雄            
(4星)	 没看过的看看吧，真的又搞笑又感动！！            
(4星)	 那个时侯简直爱死了            
(5星)	 那个时候没有网络 每天等看  看完最后一集还有点小失落            
(3星)	 翠花上酸菜~            
(5星)	 不大记得了 但是小时候很喜欢            
(4星)	 老爸的偶像~~            
(NA)	 小时候看的，印象很深的港剧            
(4星)	 很喜欢看。            
(4星)	 苗翠花和方德~            
(5星)	 最喜欢这个苗翠花了            
(5星)	 小时候看了很多次            
(NA)	 旧时美好的回忆            
(5星)	 好看。。。            
(5星)	 哈哈哈哈欢乐的童年@。@            
(3星)	 肥皂？猪油糕-0 ~0-            
(4星)	 很搞笑的片子，喜欢            
(5星)	 啊~  江华~好好玩~  喜欢说  3Q~            
(NA)	 小学?            
(4星)	 印象中布满笑料            
(5星)	 看了好久了啊,但依然记忆很深...            
(4星)	 小时候好喜欢关咏荷的。            
(4星)	 当年很喜欢的关咏荷~            
(4星)	 现在还记得剧情呢            
(4星)	 好可爱~            
(4星)	 超爱翠花~！后来叫我妈翠花~！后来我好朋友当中有爹妈结果她们也是德哥和花姐，然后我是世玉。。。            
(5星)	 很好笑！            
(NA)	 矮油。太久远了。            
(3星)	 没印象了。            
(3星)	 小时候的回忆……            
(4星)	 片花更好笑～            
(5星)	 也是小时候的记忆            
(4星)	 挺搞笑的。。。。            
(4星)	 TVB8 真的比不上当年啊            
(5星)	 不知看了多少遍呢！            
(4星)	 小时候啊            
(5星)	 江华帅....儿时梦中情人            
(4星)	 关咏荷还是蛮喜欢的            
(5星)	 看过最好看的苗翠花。            
(4星)	 关咏荷的代表作            
(5星)	 苗翠花的经典动作至今都记得~            
(5星)	 酸豆角炒豆腐干~~~哈哈哈！！！            
(4星)	 方世玉他妈！            
(5星)	 巨经典的四姨太。。。            
(3星)	 即使重播也觉得搞笑            
(4星)	 呀~以前不知道看过几遍了~            
(4星)	 好喜欢关咏荷哟            
(NA)	 喜欢这个率性的女孩。            
(4星)	 哈哈哈哈，那时候好喜欢关咏荷演的苗翠花啊，江华演的方德也是个经典~            
(5星)	 5星都是给关咏荷的。。。            
(4星)	 喜欢关咏荷            
(3星)	 都已经不记得讲什么了            
(4星)	 认识了姜华和关咏荷            
(4星)	 每次重播，依然会吸引我看            
(4星)	 这片子多少欢乐的拉！            
(4星)	 剧情没什么新意。但关咏荷真的演的很赞。当然了，江华也可爱。纯当喜剧，轻松时拿来看的~~            
(4星)	 多么好玩的经典电视剧诶~            
(3星)	 小时候跟我爸看的            
(5星)	   小时候一度迷恋至极， 哈哈， why?   怀念小时候简单的快乐啊。            
(4星)	 我追着看了好几遍啊有木有            
(5星)	 很好看的哦            
(4星)	 单独写苗翠花的！方德也很帅~虽然剧情之类的很一般，但是别太认真，就当喜剧，已经很合格了！            
(NA)	 我的小时候也是个关咏荷迷~            
(3星)	 童年呐~            
(5星)	 最爱！            
(3星)	 大学时代又一部跟着打发时间的港剧            
(NA)	 高二            
(5星)	 好看            
(3星)	 当年觉得织布这行业简直弱爆了            
(5星)	 那叫一个爱啊            
(5星)	 关咏荷的苗翠花一直在我心里            
(NA)	 这个片子让我喜欢上关咏荷            
(5星)	 最爱了……            
(5星)	 当时真的很喜欢看            
(5星)	 关咏荷好可爱            
(4星)	 小时候大爱            
(4星)	 第一次看到关咏荷的时候，真是不觉得她漂亮在哪里......但是越看越耐看啊~~            
(5星)	 罗便臣            
(NA)	 很早了。            
(5星)	 小时候超喜欢            
(4星)	 小时候很爱看            
(4星)	 欢乐的童年啊~            
(4星)	 那时候好喜欢关咏荷啊            
(5星)	 方世玉那一类的题材的电视剧我都好喜欢。            
(4星)	 我总感觉这部戏很搞笑，也是小时候看的，已经不记得情节了，但有些画面还是有印象~            
(4星)	 我和我妈一起看的，当时觉得不错。            
(4星)	 小学初中时的超爱~            
(5星)	 江华演得好啊！            
(4星)	 如此认识关咏荷            
(4星)	 小时候好喜欢这片子，现在还记得片尾曲呢~            
(5星)	 很搞笑的·            
(5星)	 苗翠花也是TVB经典啦            
(5星)	 苗翠花太可爱了，还有那几房姨太太，呵呵，有时间再看看~            
(NA)	  很经典的一部啊，李乐诗那首主题曲也很气势。冲着关咏荷和江华也该看啊，很搞很温馨。            
(4星)	 啊哈哈哈哈哈哈我实在还是很喜欢这本哈哈哈哈哈哈哈            
(5星)	 好久远了啊。。喜欢            
(4星)	 曾经的关咏荷            
(3星)	 小学时候看的电视剧，知道现在有时候还模仿苗翠花的招牌动作，好傻~            
(5星)	 不错的港剧，很久没看过了····            
(NA)	 哈哈，这个好玩，喜欢            
(5星)	 那时候超级喜欢看啊            
(4星)	 关咏荷和江华很配。            
(4星)	 最喜欢的就是江华的这个角色！            
(3星)	 荷姐的鼎盛時期吧            
(4星)	 儿时记忆哇！~            
(4星)	 小时候 经典            
(5星)	 两个都很喜欢！~而且这剧让我记住“衰公”二字~            
(4星)	 江华好搞笑            
(4星)	 小時候迷啊~~~            
(4星)	 江华演那个雍正皇帝的时候是最好的，但是这里面的方德也非常有趣。            
(4星)	 我喜欢关咏荷！            
(4星)	 小时候看过的片子。还是不错的。            
(4星)	 港剧中女性题材类的经典。            
(4星)	 最喜欢关咏荷的这部戏~            
(4星)	 十来岁的时候看的吧那时候很喜欢，剧情忘得差不多了            
(3星)	 ok            
(4星)	 绝对搞笑~            
(5星)	 德哥！花姐！！啊啊啊啊！看了n多遍啊！！            
(3星)	 关咏荷曾经很无敌            
(4星)	 荷姐很可爱~            
(5星)	 搞笑。            
(4星)	 酸豆角炒豆芽            
(4星)	 和我妈看的            
(4星)	 就是喜欢苗翠花这个傲执性格！            
(4星)	 当时看得笑得不行。。。            
(4星)	 喜欢关咏荷            
(4星)	 当年关咏荷还在拍片我也还在看电视的年代，哎，果然这就是岁月。            
(3星)	 很早之前看的            
(4星)	 关咏荷！            
(4星)	 当年的关咏荷真可爱！            
(5星)	 大爱这部剧。喜欢关咏荷就是从这部剧开始，没想到她那么会搞笑，女扮男装太好玩了。她演那么多角色中，最最最爱苗翠花。当年她凭这角色拿了第一届的TVB视后，绝对实至名归。            
(4星)	 小时候夏天放的  每天赶紧洗完澡守在电视机前等候 很有意思的。            
(5星)	 方德和苗翠花都很逗趣很可爱。关咏荷和江华的演技确实都不错。喜欢主题曲——《小小女子半边天》。            
(4星)	 更喜欢江华            
(5星)	 魅力江华 儿时经典            
(5星)	 大陆引进TVB的剧基本都不错！比如这部剧里就有我喜欢的关咏荷哈~            
(4星)	 很开心的好剧            
(NA)	 哈哈哈~~我暗恋过方德噶~            
(5星)	 当年的TVB剧笑点好多            
(4星)	 关咏荷  不错的哦            
(5星)	 看了好多好多遍了 还是很喜欢            
(4星)	 以前很喜欢看的了 喜欢方德            
(3星)	 关咏荷的盛世，故事不是特别好，但是不缓不急的爱情发展是现在看过的很多电视剧都不复见到            
(3星)	 喜欢~喜欢苗翠花~            
(5星)	 从这里开始记住她            
(5星)	 这个也无敌 江华是帅也            
(4星)	 对于关咏荷的印象就是这和陀枪师姐了            
(5星)	 旧就拿来怀和念的----偶想的签名。            
(5星)	 我妈最喜欢的港剧。。。            
(4星)	 哈哈哈 那时的TVB啊！！！            
(4星)	 看了好几遍了...            
(5星)	 江华比较悲剧。。。。。。。。。            
(4星)	 小时候超喜欢看的港剧之一！            
(4星)	 我爱关咏荷。哈哈。            
(4星)	 这也被我找到了，当年全家都爱看            
(3星)	 前两天刚刚回味完~            
(3星)	 港剧的一贯套路            
(4星)	 江华的演技没得说啊 太搞了            
(4星)	 就好这口~            
(3星)	 恩 又是看过的 要记着            
(NA)	 我爱她的经典动作            
(3星)	 当年挺讨厌刘玉翠的 现在回头再看她的片 觉得很有灵气啊            
(NA)	 茹果～            
(3星)	 小时候 湖南经视播的  我的记忆力真是好呀····            
(3星)	 很喜庆的剧啊，关咏荷果然是耐看型的，越看越顺，奶妈好可爱的说。            
(1星)	 看过的            
(4星)	 看过3遍而不厌            
(4星)	 我们都是看这个长大的吧。。爱tvb            
(NA)	 小学时代的回忆            
(4星)	   我喜欢加入了 织布行业的元素~不错不错            
(4星)	 稀罕关咏荷~~~            
(5星)	 小时候看过很多遍，挺逗的            
(4星)	 喜欢关咏荷。            
(4星)	 喜欢关咏荷            
(4星)	 白浪就是江华，在这里边依然风度翩翩！            
(4星)	 小学的时候看的，印象里还不错吧~~            
(4星)	 当时脚的很好看            
(4星)	 苗翠花啊!            
(4星)	 小时看感觉很有意思啊！            
(3星)	 荷姐            
(4星)	 小时候可迷了= =            
(4星)	 看完这个就喜欢上关咏荷了            
(4星)	 当时tvb剧多好看            
(3星)	 小时候觉得好看的片子如果和现在的制作相比，肯定也不过如此。所以高分都是豆友们对于已逝的童年和青春的一种哀悼。            
(4星)	 关咏荷的苗翠花 小时候守在电视前看的津津有味            
(4星)	 那几年关咏荷很火的说            
(4星)	 我对李小环拷着脚铐的样子到现在都记得。。            
(3星)	 以前挺喜欢关咏荷的            
(5星)	 小学时热播的啊！            
(4星)	 、、            
(4星)	 嘻嘻哈哈没神马不好            
(NA)	 好看，当时也觉得挺搞笑的。方德和苗翠花的故事，特别喜欢介绍西洋货的情节，那种别人茫然，我都知道的感觉很好。            
(4星)	 我倒是蛮喜欢这个苗翠花！            
(5星)	 江华个颈真是整日抽筋            
(4星)	 江华真是帅~             
(5星)	 看名字我还愣了一下，突然就想起来了，啊哈哈哈哈哈哈，想想那会天天都要看啊～            
(4星)	 这个超喜欢的~            
(5星)	 哈哈哈~苗大石！實在是太好笑太好笑了~            
(4星)	 荷姐威武～            
(5星)	 擦~早期的TVB真好看!!!!!            
(4星)	 喜欢看娥姐            
(4星)	 会武功的女人好帅气            
(4星)	 经典的港式喜剧，有女子如苗翠花，可爱至极，争强好胜，善良无比~~            
(4星)	 印象中的不错            
(4星)	 搞笑！！            
(5星)	 很多很多年前看的啦，那时候还在读高中。呵呵，剧情现在是不记得了。但是当时看的看开心就是了。喜欢苗翠花。            
(4星)	 关咏荷很可爱~！= =当时居然很萌江华····            
(4星)	 好玩儿            
(NA)	 小时候看的，还行吧~~            
(3星)	 苗翠花……            
(5星)	 曾经看到半夜            
(5星)	 小学的回忆            
(4星)	 好玩兒            
(3星)	 小时候对关咏荷的印象就是不论演啥都很能打。            
(5星)	 小学或者初中时候看的            
(4星)	 御姐。            
(4星)	 小时候超级喜欢            
(4星)	 以前看的欢乐。            
(4星)	 曾经是晚上7点档，每日一集。            
(4星)	 关咏荷的剧都爱看            
(5星)	 关咏荷，应该是我最喜欢的女演员了。不知道为什么，就是觉得特别好            
(3星)	 当时很喜欢            
(5星)	 好好看。            
(3星)	 想当年我是多么喜欢关咏荷啊……             
(4星)	 小学时吧 那时候还没有有线 看了很多集呢             
(3星)	 不喜欢江华!!咋都不喜欢            
(4星)	 童年            
(5星)	 很搞笑的一部。关咏荷“视后”之作。            
(4星)	 小学时，常常头天晚上看，第二天白天和同学讨论剧情。跟编剧似的。            
(NA)	 很早了，还有《醉打金枝》，当时喜欢的人物角色。觉得这样的女人够味，很辣，很美，也很精明（别人评价是小事精明，大事糊涂）            
(5星)	 很喜欢啊。主要是方德，虽是纨绔子弟，却又有侠骨柔肠，太可爱了。。。还有苗翠花扮成男人的时候，真是潇洒帅气啊。两人在元宵灯市上捞金鱼时那默契地眼神对视，爱情就是这么不经意而温暖地诞生了。            
(5星)	 超喜欢关咏荷版的苗翠花~            
(4星)	 方得真帅！            
(4星)	 最适合茶余饭后观看。最为一部古装喜剧，算是相当尽职了！关咏荷很有灵气。现在的TVB真的难见到这样的剧集了！            
(3星)	 我6年级有个同学叫苗翠翠，刚知道她名字的时候我乐懵了            
(5星)	 我也看过            
(4星)	 小时候还录了主题曲~            
(NA)	 经典的经典            
(5星)	 爱关咏荷的表演。            
(5星)	 好老好老            
(4星)	 年少时喜欢的。            
(5星)	 看过好多遍            
(4星)	 童年回忆什么的……            
(4星)	 超搞笑~            
(3星)	 当年还蛮喜欢江华的……            
(4星)	 江华和关咏荷的这版也真的是经典中的经典啊！！@Home            
(5星)	 大爱~            
(5星)	 我心里最经典的tvb剧集！            
(5星)	 回忆回忆。            
(4星)	 小学的时候每天中午都看。            
(4星)	 关咏荷的代表作之一。            
(NA)	 在那TVB嚣张的年代……            
(4星)	 那时候超喜欢关咏荷            
(4星)	 那时候是有多爱关咏荷            
(4星)	 江华的片子            
(4星)	 很搞的一部，吃肥皂那一幕现在还想得起来            
(3星)	 方世玉，苗翠花。            
(4星)	 搞笑            
(4星)	 经典            
(NA)	 真性情的翠花~~            
(4星)	 当时看得很欢乐啊            
(5星)	 我爱苗翠花啊~            
(4星)	 喜感的翠花～            
(NA)	 小学初中很爱的片子，喜欢江华            
(5星)	 一言难尽啊。。            
(5星)	 看的很开心            
(4星)	 当年的TVB多么好。            
(NA)	 依然是多年以前= 。=            
(4星)	 特别喜欢的一部经典的TVB剧，关咏荷的苗翠花，可谓经典中的经典啊            
(4星)	 都被电视台播烂了~因为萧芳芳，所以很喜欢苗翠花这个人物            
(5星)	 江华很找抽。关姐姐很憋屈。            
(5星)	 很欢乐的一部剧            
(4星)	 挺好看的！~            
(NA)	 回忆。            
(4星)	 对主题曲还有些印象呢            
(NA)	 一点点，酸豆角炒肉            
(5星)	 无数遍            
(4星)	 关咏荷神马的最给力了！            
(5星)	 以前 还真的 挺喜欢关咏荷的。。            
(NA)	 小时候很爱看，他们的感情很有意思            
(4星)	 小时候的回忆。            
(NA)	 荷姐，哈哈            
(5星)	 当我没有深谙编剧的手法的时候，我的确被剧情迷惑了并喜爱看            
(5星)	 很好看啊~~~~搞笑 喜欢翠花~~~            
(4星)	 以前地方台都会放港剧，原来我是看港剧长大的啊，港剧看得最多了。            
(3星)	 不喜欢港片            
(5星)	 大爱我江华哥            
(4星)	 荷姐荷姐我爱你，就像老鼠爱大米            
(3星)	 关咏荷当时也是我喜欢的一个演员啊。            
(4星)	 这个方德比较二 苗翠花也很二 那集丝绸从城楼上飘下 她居然在用嘴吹~            
(4星)	 方世玉他娘~~~~            
(5星)	 很搞．．．            
(4星)	 关咏荷超级搞笑。、            
(5星)	 大爱关咏荷            
(5星)	 我高中三年时看过的经典电视剧，永远喜欢！            
(4星)	 关咏荷演得很好            
(5星)	 我靠。当时太喜欢这个了。竟然也是tvb的。真凹凸            
(5星)	 超屌嘛！那个方德也不错哦            
(5星)	 我喜欢关咏荷~~~            
(4星)	 高中，年三十，我和我妈看的大结局  哭的稀里哗啦的            
(3星)	 蛮好玩额            
(5星)	 哈哈 很稀饭的说            
(NA)	 看过N遍的经典欢喜冤家~~            
(4星)	 这个配乐有点好耍。            
(5星)	 很小的时候看的            
(5星)	 臭豆腐！            
(4星)	 儿时的经典回忆啊            
(5星)	 至今仍记忆犹新 和外国人比谁的纱巾从城楼里掉下来的慢            
(5星)	 开创了北京台晚间电视剧档新时间与告别每天一集的局面。某同学看的哇哇哭我很诧异……@@            
(5星)	 跟我妈一起看的，看的无比欢乐            
(4星)	 关咏荷的大时代，很苗翠花~~~            
(5星)	 小时候苗翠花是我的偶像呢！！！！哈哈哈，我觉得这也算是经典之作吧，以后再有拍苗翠花，都不好看鸟~~~            
(5星)	 赞            
(NA)	 好看            
(NA)	 读小学的时候看的。            
(5星)	 小制作，很有喜感的一部戏。            
(NA)	 超喜欢关咏荷            
(5星)	 好喜欢方德。            
(4星)	 辣女人            
(5星)	 小时候追着看            
(3星)	 剧情不行，大概不是欧阳演，我就这样刻薄了。            
(NA)	 经典            
(5星)	 看了好多遍            
(3星)	 经典港剧。。。            
(4星)	 四星全是关咏荷的~            
(NA)	 酸豆角炒豆干~~剧中经典名菜~江华的时代~            
(4星)	 方德超可爱的~~            
(5星)	 关咏荷的经典~~Heroine~~            
(5星)	 童年美好的回忆阿~            
(4星)	 还是很经典的~值得一看            
(5星)	 还是经典            
(5星)	 最喜欢关咏荷！！            
(5星)	 90年代的tvb，那是出经典的时代，而且大爱江华。。            
(4星)	 当年 很喜欢            
(2星)	 说实话不太喜欢这类的风格。            
(5星)	 我曾经很爱看= =            
(4星)	 很喜欢李乐诗的主题曲，尤其歌词！            
(NA)	 看了好多遍，还是很搞笑            
(4星)	 关咏荷            
(4星)	 97年左右应该系关咏荷最红噶时候，当红剧集全部有她            
(4星)	 哈哈。。搞笑。。喜欢关咏荷拍的古装戏嗲。。江华有点嗖。。            
(4星)	 哇  很少有港剧 可以 评论这么好  然后人又多的 关咏荷的魅力啊            
(NA)	 喜欢苗翠花，不喜欢方德！            
(4星)	 满喜欢关咏菏的            
(4星)	 关咏荷的一部经典剧            
(5星)	 看了很多遍，我都会苗翠花的经典招式啦            
(5星)	 关咏荷！！！            
(5星)	 小时候迷死他们了            
(5星)	 儿时的最爱            
(5星)	 看了无数遍            
(5星)	 太有爱了！！！！            
(4星)	 很快乐的片子。            
(3星)	 主要是这演员```````````            
(5星)	 轻松愉悦  看电视的乐趣之一            
(3星)	 很早之前看过...            
(5星)	 就爱关咏荷            
(4星)	 霸气！            
(NA)	 不是上酸菜那个。。。            
(5星)	 最近又回顾了。。            
(5星)	 片头曲赞啊            
(5星)	 很经典的一部电视剧，后来韩剧先结婚再培养感情的套路已经有迹可循！            
(NA)	 最爱            
(4星)	 斯（咬舌头）三客呦..............            
(4星)	 小时候好喜欢看            
(3星)	 像大妈而不是四姨太            
(3星)	 好玩的一对            
(4星)	 好看 关咏荷~~！            
(3星)	 关咏荷。。。            
(3星)	 江华很可爱~            
(4星)	 好可爱的荷姐啊            
(5星)	 很搞笑很搞笑的            
(3星)	 翡翠台的初中回忆。             
(4星)	 当年真是好喜欢关咏荷的            
(5星)	 经典啊经典            
(NA)	 关咏荷演的不错            
(5星)	 荷姐荷姐~            
(4星)	 loli的我就是迷方德……            
(5星)	 好Q耐之前既电视剧，当时睇都好中意。TVB重播都有翻睇。            
(5星)	 永遠知道這世間，愛甚麼！            
(4星)	 看的时候笑死了。江华扯死了...            
(3星)	 翠花上拳头            
(5星)	 小时候很爱看            
(NA)	 超级喜欢关咏荷，还有SB的江华~            
(5星)	 男主角在无数少女幻想过之后，竟然是有老婆的人而且是好几个孩子的爸爸~\(≧▽≦)/~啦啦啦            
(5星)	 我比李小环还爱那个女扮男装的苗翠花！！            
(3星)	 电视里就看放这种古装港剧            
(NA)	 “电视放什么大家就看什么”时期看的            
(5星)	 小时候最爱啊            
(3星)	 小时候很喜欢,再看就没那个味了            
(NA)	 怀念            
(4星)	 哇、、、            
(5星)	 小时候就记得那车轮阵，呵呵，又看了一遍，焦点都在关咏荷，刘玉翠，惠英红的身上。这叫演技。            
(5星)	 印象最深的就是刘玉翠            
(4星)	 还可以             
(4星)	 TVB的经典啊            
(3星)	 关咏荷老气些。            
(3星)	 TVB真是永远那么可爱啊 关咏荷 哈哈～            
(5星)	 可爱的方德~            
(3星)	 嗯哼 方德苗翠花            
(3星)	 关咏荷！！            
(NA)	 关咏荷姐姐演的真不错，现在还记得看的时候我笑得不停，在逗李小环那段。            
(4星)	 很喜欢关咏荷            
(4星)	 關詠荷啊，喜歡吶            
(3星)	 没看完没想象的好笑。苗翠花有点小二            
(4星)	 关咏荷成名！江华演的不错！            
(5星)	 我觉得代表了一个时代            
(4星)	 小时候大爱~            
(NA)	 江华是很有意思的            
(4星)	 以前的老剧了            
(5星)	 好怀念，当年看的时候就很喜欢这部剧，TVB的经典啊            
(4星)	 从小看到大的故事，搞笑又精彩~~            
(4星)	 的确很有爱             
(3星)	 童年            
(NA)	 小时候看过            
(3星)	 印象不深了            
(4星)	 曾经大半夜笑的花痴一样，第一次领略了港式喜剧的魅力~            
(3星)	 关咏荷演的太好了.喜欢喜欢.            
(5星)	 关咏荷和江华的表演不错，喜欢~            
(3星)	 关咏荷陀枪师姐之后几近消失            
(4星)	 娥姐长得真像我同学            
(5星)	 难以用语言表达我对此片的喜欢！            
(4星)	 关咏荷的黄金时代啊~            
(5星)	 从这里认识了江华            
(4星)	 记得当年很喜欢看 喜欢直肠子的苗翠花 喜欢帅帅的方德 江华当年还是挺帅的            
(5星)	 还需要说什么吗            
(3星)	 小时候的片子。。。            
(5星)	 小时候很喜欢看的一部剧，当时觉得很不错很幽默，而且关姐很漂亮！现在也一样！            
(4星)	 江华.....            
(5星)	 当初真的是一集不落，还看过很多次~很搞笑又有趣：）苗翠花算是关咏荷的巅峰吗？最近在看她的《五味人生》，虽然还有郭晋安，不过一般性只能算。            
(4星)	 真系搞笑兼好睇！            
(5星)	 超好看。細個最中意睇咖啦            
(5星)	 到现在都在惦记里面的情节             
(NA)	 这个也爱看，消磨了年轻时候很多无聊的假期            
(4星)	 很老了            
