http://movie.douban.com/subject/1440406/	人人都爱雷蒙德 第一季 Everybody Loves Raymond
(5星)	一狠心买了整套碟，非常值得~~~
(5星)	hilarious
(4星)	不得不说 雷蒙德的生活又搞笑又混乱 充满爱又矛盾一对BH的父母，真是让他的生活充满了辛酸啊
(4星)	吼吼～～～
(4星)	中央八台老在演，还成吧，挺轻松的，不过对我来说口味太轻了...
(5星)	正在看，不错。
(2星)	没意思
(5星)	Everybody Loves Raymond！
(NA)	啊啊啊啊！
(5星)	纯真的家庭
(4星)	极品无聊打法时间的电视剧
(5星)	原来就很喜欢 这学期变态心理学老师又经常在课上放
(4星)	很不错的美剧 一家人也很温情！
(5星)	经典的美剧。
(5星)	太妙了~~~
(5星)	看过零星数集，感觉不错。
(4星)	记得以前在央视看过，但不清楚具体是哪一季。。。就做个记号吧，还挺不错的。
(5星)	坑爹的开心老爹
(5星)	CCTV难得放过的好片，为鉴定是否被剪辑过特地去买过DVD……
(5星)	我的最爱
(5星)	超爱!!!!!
(4星)	央视放的时候看了几集，挺搞笑。
(NA)	共9季 一开始听雷蒙德的声音哈别扭
(4星)	凤凰卫视中文台
(5星)	我TM也不清楚我看过哪一些...但是...everybody loves Raymond,why not?
(3星)	当年初看甚是惊艳，无奈后来才接触到friends，一比较就逊色了
(NA)	超喜欢的家庭轻喜剧
(5星)	刚看完，真的真的很失落~
(5星)	看了半年，几乎每天三四集，傻傻的笑笑。在看大概第三季时，第一次在学期中途回了一次家，因为奶奶的去世，再回到学校，看到marie，竟觉得十分的亲切，在以后看的时候，总是不时想起我的奶奶。这部戏中，不是特别喜欢雷蒙德，倒是Frank,Robert我比较喜欢，Debra和Amy也很不错
(4星)	凤凰卫视……
(5星)	笑到死
(5星)	超喜欢` 看了心情很好`
(2星)	很奇怪这样一个剧集会大热？尤其呆头鹅一样的主角，，真受不了
(5星)	温馨又可爱的家庭喜剧
(2星)	太傻了，没有好友记好看~我不想再继续看下去了
(4星)	给4分是因为我看的是央视的译片，说实话译片我已经很喜欢了，我只怕原版会更有意思，到时候我会没有更高的分数可打，暂且把满分留给原版
(NA)	凤凰台看的···还成吧
(4星)	很好玩的一家
(5星)	哈
(4星)	偶尔会在电视上碰见其中某集..就看了.. 还蛮搞笑的...挺喜欢Raymond和他的家庭...
(5星)	最好看的情景喜剧
(5星)	家长里短，每一集都让你笑不停。每个人的性格都很鲜明。
(5星)	算是爱上的第一部美剧吧 不过frank爷爷去世了
(5星)	所有同类剧集的第一季中，该片的素质是最高的。
(5星)	大爱 大爱！！！！！
(NA)	跟着CCTV看不知道自己看了多少集。囧。
(5星)	老牌喜剧~
(5星)	Frank and Marie ~
(NA)	最爱
(NA)	嗯，也很好玩，但不是大爱~~
(5星)	看完了 结局的某个情节有些感动
(NA)	他的大哥真的是傻乎乎
(5星)	呵呵~轻松`
(NA)	很中国
(NA)	全季都看完了~~~超搞笑！
(4星)	情景喜剧 
(4星)	囍
(5星)	小时候看的凤凰台，翻译还不错。可惜老头子啊
(4星)	他家真是霹雳无敌……
(5星)	挺喜欢这种温馨的
(3星)	他哥比他搞笑多了
(NA)	其实这片儿还不错 以前凤凰卫视就跟着看 央视配音又看一遍
(4星)	挺喜欢的虽然很多人都说没劲吧
(5星)	比Friends好看太多了！
(NA)	看的是CCTV-8的中配，没有期望的好
(5星)	看过一些。揶揄老。
(3星)	情节进展比较缓慢的家庭剧，用来消磨时间的美剧~
(3星)	初中内宿时每天最美好的时光啊，已经离我很远了
(5星)	很温馨
(5星)	生活话的口吻,除了开心之外也是练习口语和听力的不错办法
(NA)	Everybody Loves Raymond
(3星)	除了场景单一外，其他都还是不错的
(NA)	CCTV8
(3星)	很有意思的片子，虽然是肥皂剧
(5星)	第一季到第九季,簡直就是奇蹟
(5星)	最喜歡那個色老頭
(NA)	逗得很 挺有意思 
(5星)	我爱弗兰克爷爷!!!
(NA)	经典！！！
(4星)	最后一集 真的感动
(NA)	冷
(4星)	轻松的氛围是琐碎的生活最美好的调剂品！
(4星)	呵呵
(NA)	很搞笑
(5星)	温馨，轻松，睡觉前最好的放松剂
(5星)	没想到看过的人那么少，的确很搞笑的，比老友记好多了。
(5星)	想要个Debra一样妻子。
(5星)	练听力的好东西
(5星)	家庭喜剧的典范啊，配音版也很不错。
(5星)	超可爱的家庭
(NA)	欢乐/幽默
(NA)	最爱
(4星)	all
(5星)	听到雷蒙德他哥说everyboy loves Raymond我就想笑
(4星)	连载9年，不是盖的
(3星)	好笑。不错。雷很CUTE哈~
(NA)	315
(NA)	超好看
(NA)	非常喜欢.为什么在内地不火呢?
(NA)	嗯 家庭 都一个意思 虽然美国人直称对方父母的名字
(NA)	这个真特逗!
(4星)	不错，但比friends略逊一筹
(5星)	太有趣了，中国的编剧应该好好学学
(4星)	daily marriage life, begin to like it when I am growing older ;)
(3星)	一家人乐呵呵～～
(5星)	除了friends 我就最喜欢它了
(4星)	央视的看过
(4星)	挺逗的！
(5星)	充满机智对白，与生活智慧的轻松喜剧。
(5星)	希望永远都不会剧终
(3星)	学英语
(4星)	很搞笑，还可以练听力
(5星)	太自命不凡的就不要看，里面的人们很庸俗，但是道出普通人生活的真谛，男人在主妇心中许多时候可能就是一个抓虫和拧罐头盖的壮丁。
(5星)	我想看电视，不行，我想看电视，不行，嘿花裙子
(3星)	不错
(5星)	平凡中透着真实
(2星)	传说中打败了欲望主妇的艾美奖得主，但是被棚虫子们译制得乱七八糟，所以说，英文喜剧最好还是看原版为好&gt;-&lt;
(5星)	经典
