http://movie.douban.com/subject/2210241/	贫嘴张大民的幸福生活
(4星)	 普通人的生活            
(2星)	 我看不进去……            
(5星)	 期待有一天能嫁一个张大民这样的人，就像云芳的妈妈讲的“这孩子，除了胖点儿，挣钱少点儿，没挑儿”            
(5星)	 乐观的人是有福的            
(5星)	 很真实，很感人            
(NA)	 没劲            
(5星)	 真实，而又乐观的电视剧，现在很难找了            
(4星)	 很真实很感人            
(5星)	 生活总有那么多不如意的地方...            
(4星)	 贫            
(4星)	 柴米油盐酱醋茶            
(4星)	 豆瓣真是什么都有啊            
(3星)	 都市里很努力生活的一群人            
(4星)	 胡同儿 平民 幸福生活            
(4星)	 喜欢电视剧里平淡又琐碎的生活            
(3星)	 张大民特像我一同学，但是抱歉，我不能这么过日子的。            
(4星)	 大民子！            
(5星)	 太好看了            
(5星)	 这么多年来，一直很喜欢这部片子，因为真实，所以感动……            
(5星)	 最感动的电视剧            
(4星)	 平民            
(4星)	 片头和片尾曲都很棒呢。            
(5星)	 想娶个像云芳一样的老婆            
(5星)	 最亲切的生活剧，没有之一。            
(NA)	 不爱看这种风格的            
(5星)	 我 很 喜 欢！            
(3星)	 不喜欢            
(5星)	 他比好多人都高兴。这很难得。            
(3星)	 纯朴的电视剧            
(3星)	 当时跟着家里人看的 ，说实在真没怎么看懂            
(4星)	 挺生活的            
(4星)	 活着            
(NA)	 咕~~(╯﹏╰)b            
(4星)	 很现实～            
(5星)	 很好看啊！            
(5星)	 爸爸很喜欢，百看不厌            
(5星)	 片尾鸽子在飞的情景历历在目            
(3星)	 妈妈级的喜欢看 记得有棵树长在他们生活的房间里 然后锯掉了            
(4星)	 |570:955|            
(4星)	 多贴近生活啊            
(NA)	 就是靠它的一集学了普通话~儿,            
(5星)	 那之后，开始看了一段时间的电视剧 不容易啊            
(4星)	 朴实啊            
(5星)	 要和电影版“美丽的家”一起看            
(5星)	 特喜欢看里面的话语都充满着生活的智慧            
(4星)	 狄仁杰的时候我真没认出他是张大民来着            
(NA)	 奔着朱媛媛看的 那个贤良啊             
(NA)	 喜欢，这就是生活            
(5星)	 很讽刺很辛酸~            
(4星)	 大民和大国，老大和老五，谁的生活方式更对？没有定论...            
(4星)	 早看古三儿不是一般的主儿 给妈拿块儿冰            
(5星)	 很贫很可爱            
(4星)	 张大民真挺贫的 不过我还挺爱听的= =            
(5星)	 陪北京人看过            
(5星)	 生活就是这样，日复一日，年复一年，生生死死，死死生生。            
(5星)	 很棒的电视剧            
(NA)	 最喜欢的一部电视剧 我就在这里长大            
(5星)	 向.往            
(5星)	 里面有我们每一个老百姓的影子！尽管我们不承认。            
(5星)	 平民生活            
(2星)	 怎么张大民就从天津人变北京人了呢。。。            
(NA)	 认识了梁冠华，记住了大雪            
(4星)	 很贫.            
(5星)	 真够贫的。不过不贫这日子真过不下去。            
(5星)	 结尾曲特别好听            
(5星)	 这样根植于中国普通人生活的好剧，二十年甚至更久才会有一部了。如果一个女人非要嫁个男人的话，最好是张大民。反面教材张大国：1.我是一只鹰，我飞（重音）出去了。2.我是一个崇高的人，可是我现在有点忍不住了（^_^同辉哥这个角色真是又可爱又可气）。            
(NA)	 喜欢喜欢，看了一天，终于看完了。喜欢李云芳那样的人，喜欢贺小同那样的人，喜欢张大民这样的好男人。            
(NA)	 这可是经典北京个故事            
(4星)	 这个主角现实中应该不怎么讨人喜欢，但就作品本身，塑造的人物还是有特点的            
(4星)	 喜欢看贫的片子            
(4星)	 好人好戏，小可小龙。            
(NA)	 很生活，我也住过大杂院。。。好象这些人物就在身边。。。            
(NA)	 真实的感动，平民的生活！这让人常常会想起我儿时的大杂院！            
(5星)	 迄今为止我见过的中国拍出来的最好的电视剧！！！            
(4星)	 -_,-我是真的笑了            
(4星)	 贫得有些不够真实了            
(NA)	 我哎生活            
(2星)	 电视剧被拍扯了            
(NA)	 00            
(NA)	 京味儿十足            
(5星)	 看这部剧，不免让人感觉心酸，但又为这些小人物的苦中作乐感动。            
(4星)	 很搞笑，很幸福！            
(5星)	 小日子过得有滋味啊！            
(NA)	 苦涩的甜蜜和带泪的欢笑            
(5星)	 这种生活态度很难得~            
(5星)	 大国：“黑色幽默，纯黑色的。”大军；“沙沙给买了辆摩托。”            
(NA)	 有点意思            
(NA)	 社会底层人们的幸福生活。真实！！！            
(3星)	 觉得朱媛媛特实在，非常喜欢她            
(1星)	 一般            
