http://movie.douban.com/subject/1475579/	难兄难弟 難兄難弟
(4星)	 很好笑的一部夸张剧             
(5星)	 当年全家一起看笑得可high了~            
(5星)	 经典！            
(4星)	 奇哥因乜要乱咁喱~~~~            
(5星)	 李奇！！！神探李奇！！            
(5星)	 永远记得那个暑假，从头笑到尾            
(4星)	 我当时可是买的盗版碟            
(5星)	 喜欢奇哥！！            
(5星)	 宝珠！            
(4星)	 欢笑中带丁点泪水。            
(5星)	 当年男女老少都在追的电视剧，太好看太好玩太搞笑了！            
(5星)	 主题歌 真的很好听 儿时的记忆            
(NA)	 就记得娘娘腔            
(5星)	 重温！            
(5星)	 香港复古风。现在都还记得卖春卷的场景。            
(5星)	 好几次都笑疯了，果真是经典的剧集啊            
(5星)	 经典            
(5星)	 岁月和友情...李奇辛酸的一生，平凡而有伟大。。。            
(4星)	 怀念啊 小时候和爹地一起看的            
(NA)	 喜欢～～～～～～～            
(5星)	 太搞笑了            
(4星)	 想起罗嘉良说话的腔调就想笑，哈哈            
(5星)	 关于那个年代            
(5星)	 开头那首歌印象很深，李奇憨直白痴加犬儒阿Q的变态性格结合他那独特的二呆式配音十分棒，反倒觉得吴镇宇完全被淹没在罗嘉良的光芒下了。非典时期看的，又是一个悲剧，而且这是我一个窘迫的回忆，那时······            
(5星)	 经典啊，当年最期待就是追看这部。            
(5星)	 经典中的经典~好多遍都不腻哈哈            
(NA)	 我爱奇哥和宝珠妹...            
(4星)	 从前从前如梦去~~~要唏嘘，也请以猥琐的方式。            
(NA)	 点点            
(5星)	 那时候的演员，演技多好、多炉火纯青呀，好片。            
(5星)	 百看不厌            
(5星)	 十多年后重温经典，喜欢上憨憨的珠妹~~            
(NA)	 配音            
(5星)	 李奇            
(5星)	 当年看笑屁了！！！！！！那时候上学父母不让看我就偷听收音机！！！！！！！            
(3星)	 只看过一点 很不错            
(5星)	 这个大爱~            
(3星)	 不怎么记得剧情了            
(4星)	 挺搞笑的            
(4星)	 奇哥~宝珠~四哥~芳芳~            
(NA)	 经典不可复制            
(4星)	 很早之前看的 不记得具体的了 很好笑 罗嘉良演个娘娘腔            
(4星)	 好像没有看完整，只记得很搞笑~            
(5星)	 每次看到谢园头载到痰盂的画面就笑            
(5星)	 几多好玩            
(5星)	 阿源～            
(NA)	 笑            
(4星)	 很经典            
(5星)	 内牛满面            
(3星)	 经典了            
(5星)	 张可颐最美不过宝珠            
(5星)	 只想说一句话：太经典了！            
(4星)	 很搞笑            
(NA)	 哎呀！            
(5星)	 吴镇宇，精神分裂依旧王道！            
(5星)	 回顾了下，哈哈。            
(5星)	 人情人情如做戏，有真心假意地！            
(5星)	 好喜欢宣萱和可颐啊            
(NA)	 太經典了`            
(4星)	 最爱张可颐和罗嘉良，此句中他们最搞笑了。在快乐背后传达出了许多值得我们思考的内容。            
(5星)	 我看过的TVB最深刻的电视剧笑中带泪,甚至笑中全是泪剧中的所有人物都有真实原型,把香港银幕的五十年历史都串了一遍.            
(5星)	   林家栋经典演出呀~            
(5星)	 奇哥~珠妹~  笑中带泪            
(NA)	 小时候中午陪伴我午饭的电视剧            
(5星)	 宝珠~~            
(5星)	 奇哥 你啦啦啦啦啦~~~            
(NA)	 小时候看过D            
(3星)	 很搞笑，要看的哇            
(3星)	 剧情一般额，但台词有特点。            
(5星)	 最早最欢快的记忆==            
(5星)	 不知道为什么,带给我的是无限的触动            
(5星)	 神奇的片，还好看            
(NA)	 好怀念的一部剧 小时候印象最深刻的一部剧！！！！            
(5星)	 小人物的悲喜            
(4星)	 小时候看这片子给自己很多鼓励。            
(5星)	 永远舍不得删的            
(NA)	 好看。。            
(5星)	 不舍得，也终于看完了。            
(5星)	 唯一一部让我通宵看的连续剧....是不是太神奇了点            
(5星)	 好笑咯！            
(4星)	 两个男主角都好正！            
(4星)	 都系D旧片好睇.            
(3星)	 我总是会想起这个电视剧。罗嘉良的配音真是令人印象深刻。我会去再看看。            
(5星)	 巨搞笑。最爱吴镇宇了。            
(5星)	 太经典 了 笑中带泪            
(4星)	 笑中有泪才是喜剧真境界。难忘主题曲，“青春总失去莫名~            
(2星)	 好无聊- -            
(5星)	 经典的黑色幽默，笑中有泪。            
(5星)	 经典中的经典，毋庸置疑            
(5星)	 我拿你当亲兄弟，你拿我当牛鼻涕。可是牛鼻涕最终也相逢一笑泯恩仇，笑中带泪。            
(5星)	 人情人情如做戏，有真心假意地。从前从前如梦去，太多的不堪记。无人无人能做到，这一生都趣味。悲悲喜喜常换转，有一些都优美。青春总失去莫明...            
(5星)	 当年还有吴镇宇呢            
(5星)	 模仿一个时代的巅峰，不觉创造了另一个时代的辉煌            
(5星)	 超爱的啊            
(5星)	 经典了吧~“你卑鄙”，“你无耻”“你是人渣”。。。。。            
(NA)	 现在看起依旧好看            
(5星)	 卧槽太经典了            
(5星)	 宝珠呀~~~~~~~~~~            
(4星)	 每次看到张可颐和罗嘉良我就想吐槽= =            
(5星)	 笑死~            
(5星)	 心酸的搞笑            
(5星)	 又是一把眼泪啊            
(5星)	 人情人情如做戏~大爱大爱经典啊~萱萱镇宇 奇离的李奇和粉嘟嘟的张可颐啊~            
(5星)	 这个更搞笑，无厘头，喜欢罗嘉良讲话的腔调，还有吴镇宇的动作。            
(NA)	 怀念初中看这部剧的时候            
(4星)	 那时候的张可颐好漂亮啊！罗嘉良的故意做作也蛮搞笑啊            
(5星)	 李奇，谢源，程宝珠，肖芳芳            
(5星)	 可爱死了            
(5星)	 笑死我了            
(4星)	 年少的记忆对于这部片是很美好的，再度重温，却没有记忆中的好。但里面的兄弟情很温馨。话说，李奇后面也太惨了点。            
(5星)	 温馨的电视剧，好笑又温暖            
(4星)	 儿时回忆            
(3星)	 其实 我自己觉得他是很没劲的            
(4星)	 小学的回忆            
(5星)	 绝对是可以六星的这部～～四个主角无懈可击，就连配角都很有实力，可以算是tvb最深得我心的戏，太经典了！            
(5星)	 好戏 不用多说 自有公论            
(5星)	 谁叫我和女主角同名呢!            
(5星)	 开始的记忆            
(5星)	 冇地顶            
(5星)	 宝珠很可爱            
(4星)	 宝珠说“奇哥最大的梦想就是当导演。” 　李奇说“珠妹最大的梦想就是嫁给我。”             
(3星)	 没看完，受不了他们讲话的腔调            
(4星)	 另类搞笑。。笑中带泪。。悲欢离合            
(5星)	 哈哈哈！！！            
(4星)	 曾今的故事啊，很好看的，回味一下什么时候            
(5星)	 就是爱宣萱            
(5星)	 原来只有20集？？当年的绝对经典。。            
(5星)	 好看            
(NA)	 小时候觉得好玩儿。还真有那么点儿真情实意。            
(3星)	 真的就是还行，现在看有点傻！~            
(4星)	 给捞家配音的人让我印象深刻            
(5星)	 太TMD的好看以及经典啦 哈哈            
(5星)	 &#34;青春，真可爱青春&#34;  哈哈，真好看！            
(5星)	 搞笑至极了啊哈哈哈            
(5星)	 让我笑到肚子疼脸抽筋的，佩服吴、罗二人的演技            
(4星)	 一？李奇？            
(5星)	 love it!!hehe            
(NA)	 多年前的经典作品            
(4星)	 当年的宝珠，当年的芳芳。。。当年的罗嘉良和吴镇宇。。。当年的TVB的简单布景，可却又这么好的片子            
(5星)	 从头笑到尾，要看完时候才知道原来所谓谢源是以谢霆锋老爸谢贤为原型呢，吴镇宇演的还真好。            
(5星)	 奇哥！            
(5星)	 宝珠姐~~~萌神啊~            
(5星)	 记得看这个电视的时候 外公还在世呢。。            
(5星)	 典藏版            
(5星)	 青春总失去莫名~            
(5星)	 喜和悲结合的很好，淡淡的怀旧情怀也很舒服。宝珠姐呀~~~你也太可耐了~~            
(5星)	 最喜欢的电视剧之一 怀旧            
(4星)	 搞笑            
(3星)	 神探李奇~            
(NA)	 蛮搞笑的。插曲很好听。            
(4星)	 经典··老是重播···            
(5星)	 这电视剧真是太有意思，太好看啦。既好看，又体现了一个时代的特色            
(5星)	 找了一整天,就大時代的評分和他平起平坐            
(5星)	 很经典的回忆啊啊啊啊啊啊，特别是里面那些歌～～～            
(5星)	 经典之作！！！            
(5星)	 很搞笑，每个演员都有点做作，不过据说那个时候的风格就是这样，还有演员们当时都好瘦好瘦！            
(5星)	 邵芳芳啊程宝珠啊这些名字到现在还记的，就是一直觉得罗嘉良样衰了点，否则就完美了~            
(5星)	 经典到爆 小时候超爱            
(5星)	 我最爱的电视剧！！！看了5遍！！！            
(NA)	 嗲~~~            
(3星)	 内牛阿，超级经典。            
(5星)	 最爱··            
(5星)	 经典囖这个            
(4星)	 即使现在我也觉得很好看            
(4星)	 简直就经典到不得了啦            
(5星)	 很久没这么笑过了。            
(5星)	 人情人情如做戏，有真心假意的。。            
(5星)	 就是这部剧让MAGGIE正式脱离花瓶，成为一名特别和优秀的电视剧演员。很喜欢她的声线，浓烈的鼻音相当的悦耳，这才是真正的CANTONESE！            
(3星)	 小时候看过 依稀只记得蛮搞笑 仅此了            
(4星)	 哈哈            
(5星)	 无得弹啊~~~~            
(4星)	 奇哥~宝珠~“哇，好大的浪啊~”            
(5星)	 当年片头曲一响就萌上了 盘里这4个多GB的位置一直舍不得删 以后也不会 看了不知多少遍 烦躁的时候 郁闷的时候 刚看完恐怖片不敢睡的时候 疯赶assignment脑袋当机的时候 看的时候经常是笑着笑着就泪了 泪着泪着又笑了 小人物的喜怒哀乐 淡淡的温馨 又真实的让人心酸            
(4星)	 仲记得当年“奇哥”热潮，《城市追击》去探访吕奇……其实罗嘉良一直都系演奸角，依出剧之后，他先真真正正做到”师奶“杀手，得到翻身噶机会            
(5星)	 好爱张可颐            
(NA)	 有点搞笑！            
(3星)	 哈，罗嘉良太逗了，吴镇宇那会还呆呆的            
(4星)	 很不错，那时超爱看            
(5星)	 笑得我晕了快            
(5星)	 看到第10，被一群tvb死党嘲笑现在才追，主题曲给力，让我持续保持好心情            
(5星)	 經典造型~            
(5星)	 港式幽默            
(4星)	 好怀念，以前看过的啊            
(5星)	 这个真的很经典。            
(3星)	 宝珠太美丽咯。            
(5星)	 笑翻黑白片            
(5星)	 很好笑 不会腻哦            
(5星)	 初中时候的美好回忆~~~            
(5星)	 很经典！！            
(4星)	 罗嘉良的表演很棒，吴镇宇不好，太生硬。            
(5星)	 可爱的程宝珠！有点惨的李奇！            
(5星)	 怎一個經典了得            
(4星)	 电视剧还是过去的好看啊。。某人扮无辜真是天下无敌。。            
(4星)	 爆笑！            
(5星)	 为什么到最后你们都不能在一起            
(4星)	 很有意思的说            
(5星)	 很好笑。            
(5星)	 特喜欢。不解释。            
(5星)	 张可颐 不解释            
(5星)	 追TVB必看，从这开始爱可颐，宝珠太可爱            
(5星)	 这其实是青春片            
(NA)	 回味香港的味道            
(3星)	 恕我没有本地情结            
(4星)	 罗嘉良的配音无敌了。            
(4星)	 当年，我说的是当年，片中的音乐响遍每家每户，听着那首走调的“遥望青山绿水美如画……”笑得肚子疼。            
(4星)	 那叫一个经典..            
(NA)	 太经典拉～～好好睇～睇過一次又一次。只有难兄难弟一就难忘。            
(NA)	 堪称经典啊            
(5星)	 哈哈哈哈哈            
(NA)	 那个时代的痕迹            
(5星)	 实在是经典的不能再经典了。。。而且超级搞笑。。。            
(5星)	 我最爱的TVB剧之一，百看不腻，有笑有泪，当然，还是笑比较多            
(5星)	 超级搞笑,睇过返寻味            
(3星)	 看的时候还很小~            
(5星)	 最爱之一            
(NA)	 又2又难笑~            
(5星)	 大爱啊~！            
(NA)	 好洋气            
(5星)	 张可颐傻姐……            
(5星)	 实在係经典中嘅经典啊~            
(5星)	 谢源：没演技没才华没天分，只有运气的人。李奇：有演技有才华有天分，只是缺了点运气。乔峰：没演技没才华没天分没运气，可是从来没有放弃。 这不仅仅是一部喜剧，它在讲什么？所有怀念老港片的人都知道。            
(5星)	 难忘难忘！经典中的经典！四位主角各有各精彩~现在在TVB已经很难再看到这么好的剧了~如果要看，强烈一定要看原汁原味的粤语版！            
(4星)	 吴镇宇当时还是那副样····            
(5星)	 港产极少有既精品连续剧。            
(3星)	 暴傻 实在不喜欢罗嘉良            
(NA)	 都是江都电视台让我看的            
(4星)	 很轻松的步调~            
(4星)	 当年可以笑到碌地嘅经典            
(5星)	 经典            
(5星)	 很经典啊~            
(5星)	 不得不赞这四个人的演技            
(NA)	 几个主角都很喜欢。            
(5星)	 超赞.            
(5星)	 青葱的岁月呀，没心没肺哈哈大笑时突然发现眼泪流了出来。            
(5星)	 经典.            
(4星)	 依稀还记得初中时和同学一起讨论这部电视剧的情景，学男主角的那句台词            
(5星)	 经典，不需用言语表达            
(5星)	 这是我看过的最搞笑的TVB            
(5星)	 看不腻，尤其是吴镇宇表演很神经质。经典的桥段实在是太多了，例如基哥唱Love me tender，还有谢源唱那句：遥望青山绿水美如画···            
(5星)	 很有爱。。嘿嘿            
(4星)	 好遥远。。。            
(5星)	 爆笑的宝珠和奇哥。            
(5星)	 怎一个 棒 字了得...            
(5星)	 经典的电视剧            
(5星)	 如果叫我推荐一部TVB的电视剧呢，这部就是首选。罗嘉良的表演实在是太棒了。            
(5星)	 最喜欢的港剧剧。            
(5星)	 如果你要我推荐一部港剧，这部绝对是首选。            
(5星)	 喜剧的典范~！            
(5星)	 最爱~            
(5星)	 追忆.............貌似是看的第一部港剧            
(4星)	 非常非常好看~~~            
(3星)	 还行,主要是喜欢看里面的宣宣!~            
(4星)	 虽然演的是旧香港，但是依旧感觉很不错            
(5星)	 很好笑 大爱            
(NA)	 大妈跟乐队！            
(4星)	 很搞笑            
(3星)	 回想起来 难兄难弟的特色还是给了吴镇宇和罗嘉良 而宣萱的那个角色 在那里只是陪衬了 不太喜欢那个年代的故事             
(4星)	 永远不想提前知道老去的模样，才能放心地挥霍青春            
(4星)	 这个年代的戏怎么演都有爱，丫啵~            
(4星)	 姑娘十八似花娇，你猜对了，我说吴叉叉。            
(5星)	 TVB午间剧场都重播好多次了，一直看都不厌啊！            
(4星)	 唯一一次和我姐一样的笑点            
(5星)	 牛逼啊。。小学考初中的前夜都在追。。            
(5星)	 非常经典的一部恶搞风格电视剧~~~            
(4星)	 经典，主题曲可以倒背如流，港剧辉煌时代的作品，人情人情如做戏            
(5星)	 奇哥^^因乜要乱咁li……哈哈            
(5星)	 从徐家立的阴影中走出来            
(5星)	 最爱的港剧之一            
(2星)	 这片子太愚蠢了            
(NA)	 超级经典！            
(5星)	 笑屎我了……            
(5星)	 8颗星的神剧～            
(5星)	 奇哥~            
(5星)	 好睇            
(4星)	 罗嘉良那个腔调实在是太难忘了~都几好看~            
(5星)	 演技编剧完美完美！！~~            
(5星)	 奇哥珠妹太经典了！！！            
(5星)	 哎~~~ 大雷雨真是后现代主义的典范啊，还有Francis的源哥，乖宝宝，“遥望青山绿水美如画~” 萌！可颐姐姐好靓啊，“青春总是去莫名” 这部剧我当年怎么没看过，说起来那个时候我在看什么？！555…我只对一年后的鉴证实录和刑事档案有印象…            
(5星)	 不喜欢李奇的结局啊，唉            
(4星)	  宝珠可爱得冒泡啊！！！看捞家演喜剧  简直有意外惊喜            
(5星)	 感觉很奇怪，演的虽然有些做作，但一点都不讨厌，很轻松搞笑            
(5星)	 四个主角都很喜欢，啥都不说了            
(4星)	 中文的李奇配音很搞笑 喜欢宝珠李奇这对            
(NA)	 港式后现代主义幽默。            
(4星)	 搞笑，经典，奇哥~宝珠~            
(5星)	 太经典了！太热爱了！            
(5星)	 以前看过...很好玩            
(5星)	 是“做人最紧要喺忠直，就算喺乞食，腰骨都要挺直”.....还是“忠忠直直，终须乞食”呢？            
(5星)	 很喜欢的            
(5星)	 萱萱当年真的很漂亮～～这部剧很美好，每当心情不好的时候就会看～～陪我度过了第一个孤独的暑假～            
(5星)	 好喜欢李奇的喜怒哀乐，令人唏嘘，令人发笑，这就是人生！            
(5星)	 宝珠，芳芳，李奇，谢源个个都是经典的让人怀念的人物啊            
(5星)	 经典！！            
(5星)	 绝对经典，无可超越            
(5星)	 经典。邵芳芳就是高秀萍，高秀萍就是邵芳芳            
(3星)	 你个社会人渣败类。某奇哥的经典语。            
(5星)	 青春~真可愛青春~~            
(5星)	 这个真的很搞笑~!特别是阿奇哥~~~~            
(5星)	 这是我心目中最经典的一部TVB剧。我整整看了三遍，99年看的电视台放的第一遍，2003年读大学时重温了一遍，不久前又再度重温了一遍。这是一部披着喜剧皮的现实主义悲剧。所谓能让人“笑着落泪”便是如此了。谢源和李奇是真正的难兄难弟，最终他们都没得到自己真正想要、真正追求的。            
(4星)	 陈宝珠，奇哥！            
(5星)	 太搞笑了，很佩服这些演员的演技！            
(4星)	 反映了当时一代人的生活            
(5星)	 搞笑表面下的有血有泪，我相信这是香港人乃至广东人乐观向上的价值观            
(5星)	 整个剧的台词、人物、风格都相当有特色            
(5星)	 超级kuso一片子.......看的时候爆笑.......            
(5星)	 经典            
(4星)	 点解么粤语版D？太桑心了            
(4星)	 很好。            
(5星)	 好搞笑，好经典~            
(4星)	 看完还是觉得很搞笑的一部戏            
(4星)	 纯朴的时代，美好的感情~4星半            
(4星)	 两个字——经典            
(5星)	 我好中意的一部TVB剧集            
(NA)	 天啊！我的童年！！！！！！            
(5星)	 我爱吴镇宇            
(5星)	 心中的经典。            
(5星)	 很搞笑的，主题曲也很喜欢            
(4星)	 挺搞笑的一部片子。            
(4星)	 高三的最爱            
(5星)	 童年回忆啊..            
(5星)	 经典！            
(5星)	 童年回忆~like            
(3星)	 太过拖拉了            
(5星)	 港味十足的怀旧复古，影射粤语长片的辉煌时代。真正的笑中有泪，从此看港片听原声。奇哥，宝珠，阿源，芳芳，莫负青春！            
(5星)	 笑死我了            
(5星)	 人情人情如做戏，有真心假意的。            
(5星)	 Ah... ... 青春 总失去莫明 Ah... ... 只想 情谊能共永             
(5星)	 绝对经典！经典中的经典！看哭了呢~            
(5星)	 芳芳 谢四哥 搞笑            
(4星)	 好看 呵呵            
(4星)	 笑死。            
(5星)	 太逗了~~~~~~~~~            
(5星)	 读初中时看的这个片，当时好喜欢，因为总感觉怪怪的，却正是因为这股怪。呵呵。            
(4星)	 都OK            
(1星)	 实在看不下去，如此怪异的表情和对话            
(5星)	 超爱            
(5星)	 经典剧~~            
(5星)	 笑中更多的是泪，我觉得是港剧模仿恶搞的颠峰。            
(3星)	 老片了吧。。。以前看觉得蛮搞笑的 特别是罗嘉良             
(4星)	 虽然不记得说什么了，但是挺好看的~            
(5星)	 正重温ing,怀念小时候一家人守在电视机前的爆笑时光。。。            
(5星)	 經典            
(5星)	 很小的时候看的港剧很经典很喜欢            
(NA)	 超超超超经典！永远唔会唔记得罗嘉良果时嘅语调            
(5星)	 奇哥的梦想是娶珠妹，珠妹的梦想是嫁给奇哥。只是10年过去了，怎么TVB 就再没拍过这么好看的片子。            
(5星)	 经典啊.从此开始喜欢罗嘉良..一个好男人            
(3星)	 好搞鬼~但我似乎不懂欣赏            
(5星)	 经典。            
(5星)	 真的很搞笑~            
(NA)	 片头曲很好听啊 我现在还会哼！            
(4星)	 向我们不曾认识的老时光致敬            
(5星)	 青春 總失去莫名            
(5星)	 睇左好多次 點睇都無悶 集集都好睇 真系超掂 好搞笑 ar.. 次次重播我都会追            
(4星)	 当年的无厘头            
(4星)	 搞笑的            
(5星)	 笑中带泪的人生…            
(5星)	 独特的表演手法。            
(5星)	 个人收藏啊~！            
(5星)	 没想到非常好玩儿            
(5星)	 本来看到戏里面那么夸张   看不下去   可是看着看着 觉得很棒没后悔看过  忘不了镇宇的眼睛   那双清澈的眼            
(5星)	 好劇！可我更愛續篇！            
(5星)	 奇哥~珠妹~好登对啊~            
(5星)	 不错的搞笑片，每次看都觉得很有意思，特别是罗嘉良演的李奇，说话的声音很有意思            
(5星)	 黄金时代何日再来            
(3星)	 真的很久了。。。            
(5星)	 还真是我最喜欢的香港肥皂剧…………            
(3星)	 很无厘头            
(5星)	 完全有爱思密达。。人物，情节都是经典的经典。很心痛李奇一生经历            
(5星)	 奇哥~珠妹~            
(5星)	 吴镇宇走路太刮三罗嘉良讲话太刮三            
(NA)	 超级有创意的港剧            
(4星)	 当时看得真欢乐＝艸＝！            
(5星)	 李奇这么惨            
(5星)	 推荐            
(5星)	 那个好时代一去不回了，好演员也是。            
(5星)	 很不错的一部剧            
(3星)	 我看的第一部不配音的港剧！            
(4星)	 吴镇宇 罗嘉良 张可颐 宣萱   羅嘉良的聲音  太有特色了            
(4星)	 很早前看的港剧了记得当时是很喜欢的            
(5星)	 黑玫瑰            
(5星)	 奇哥~！黑玫瑰！！还有粤语残片的影子的经典港片~            
(5星)	 不要不信~这么瓜的戏我两部都看完了            
(3星)	 源哥~奇哥~            
(5星)	 真的很好笑···            
(4星)	 竟然看过            
(5星)	 恶搞、调侃、每个人物不同的却独特的个性，与众不同早就了这部经典。看了很多遍，歌好听、剧好看。            
(5星)	 哈哈哈哈哈哈哈哈哈哈。            
(4星)	 哈哈，笑死我了            
(5星)	 永远经典            
(4星)	 以一部剧集回忆一个HK影艺时代~            
(5星)	 最爱宝珠~            
(5星)	 这种剧情大于制作的电视剧往往看得就是演员的表演，而这四位主演一举手一投足都很够味，值得细细体味            
(4星)	 想起了神探李奇，哈哈。            
(5星)	 難忘            
(4星)	 大哥的经典剧。。            
(5星)	 经典野。            
(5星)	 囧的要死，太囧太囧了~~~~国语配音囧到翻了~~~            
(5星)	 笑到眼泪也溢出，然后低泣，再大笑。            
(5星)	 hahahahahahahahaha            
(5星)	 真正笑中有泪            
(5星)	 捞家的搞笑之作，精彩。            
(NA)	 至今硬盘里还有。。。            
(5星)	 (罗)人情人情如做戏有真心假意地(吴)从前从前如梦去太多的不堪记(宣)无人无人能做到这一生都趣味(张)悲悲喜喜常换转有一些都优美(合)ah......青春总失去莫明ah......只想情谊能共永(吴)情人情人常念记我一心痴醉地(罗)为何为何难共对太伤心皆因你(张)谈情谈情原是美两相偎相靠地(宣)情缘情缘难顺意有一些不应记(合)ah......只想相爱永莫停ah......真心能随年月证            
(1星)	 罗嘉良的配音很崩溃            
(2星)	 没法看            
(5星)	 很搞笑啊。。。怎么这么好笑的            
(4星)	 搞搞震。            
(5星)	 经典            
(4星)	 就是声音~~~            
(5星)	 好复古好可爱的一部剧。            
(5星)	 TVB很经典的电视剧！            
(5星)	 真的经典 除了经典就是感动 人生的境遇真的无常啊 奇哥。。。            
(2星)	 太闹了            
(NA)	 那时候他们还年轻 那时候就留下的经典            
(3星)	 好搞笑的一本片子。            
(4星)	 都喜欢的演员            
(5星)	 儿时回忆……            
(3星)	 看港剧最疯狂的时段            
(5星)	 经典啊，奇哥            
(5星)	 我心中的无可替代            
(5星)	 重温~~搞笑哈！！            
(NA)	 我好喜欢他们的            
(4星)	 珠江台正在演，不过是粤语的，晤中意！主要是罗嘉良的国语配音太经典了。            
(5星)	 搞笑            
(5星)	 最喜欢的港剧之一，经典的四人            
(4星)	 我打这分有主观分!            
(4星)	 太久了，不记得咯            
(3星)	 连续剧            
(5星)	 [大学] 爱在演艺圈            
(4星)	 說真的﹐李奇遭遇太可憐﹐怎可算是一套喜劇。            
