http://movie.douban.com/subject/2229576/	上错花轿嫁对郎
(5星)	 那時候還是喜歡 黃奕的 矮油 世易時移了 親~ 現在討厭了撒            
(5星)	 心情烦的时候特喜欢看，心情不好的时候也特喜欢看~她是我心情的催化剂，一看就开心了，百看不厌啊~~            
(5星)	 很喜欢那个时候的黄奕            
(1星)	 一直很讨厌黄奕            
(NA)	 现在还记得啊。。。            
(4星)	 想当年这部电视剧也很火啊，黄奕的李玉湖十分有灵气。可惜之后她拍的作品越来越烂。。            
(4星)	 当年的人真是年轻又貌美            
(4星)	 想当年啊~~~~是多么的喜欢啊。那时候压根还不知道黄奕是谁。只觉得挺美的。            
(5星)	 那时候的黄小姐和聂先森还如此青涩，那时候的老白还只是一枚偶像派的小兵驸马。            
(5星)	 单为家乡MAKE一记。            
(3星)	 老白还全裸了            
(4星)	 聂远~            
(NA)	 很喜欢的古装剧            
(3星)	 过程还蛮无趣的额。。。。            
(5星)	 当年帅到爆的聂远，当年青涩十分的黄奕。还有一个一定要提，白展堂啊白展堂            
(4星)	 對黃奕的初瞭解哈~            
(4星)	 挺好看的一部剧，突然发现我居然还会唱片头曲~~也许是我看过的唯一一部所有女演员都是美女的古装片了，美得我都要哭了~加一星给美女！            
(4星)	 杜冰雁!李玉湖!!!            
(5星)	 好好看啊~~~~~~~~~~这么棒的电视剧必然全五星~那些乱七八糟的古装和她根本没法比            
(3星)	 当年黄奕挺水灵的            
(3星)	 怎么小时候的电视剧都这么好看啊~            
(5星)	 看了好几遍还是觉得很好看            
(3星)	 小时候的欢乐记忆            
(3星)	 我看過這個！雖然好像沒看完……那個大小姐跟將軍的戲很是雷了我一把。這種橋段還挺喜歡的==            
(3星)	 可喜欢看了~但是觉得黄奕好古灵精怪~            
(4星)	 太喜欢杜冰燕了 黄奕和聂远是我最讨厌的两个演员之一，绝配了！            
(4星)	 好的还是好的，坏的永远好不了……            
(3星)	 第一次见黄奕应按是在这片上吧！            
(4星)	 这剧捧红了黄奕和聂远~            
(5星)	 我是先看電視劇的。那個時候真的覺得黃奕好漂亮聶遠好帥啊。哈哈。            
(5星)	 黄奕那时候真美啊            
(5星)	 这里就不喜欢黄奕，公主和那个文弱点的小姐好美呀            
(5星)	 当年的大爱啊！！！！！！            
(3星)	 当年冲着黄奕去的            
(5星)	 都是以前看的老片子啦。            
(2星)	 超级讨厌            
(5星)	 聂远真心帅啊            
(5星)	 里面的老白很年轻  黄奕很美丽 没演小燕子之前的黄奕我很喜欢 之后不管怎么看都有点囧= =            
(5星)	 小时候看了十几遍地电视剧啊，后来才知道是席绢写的……启蒙啊            
(4星)	 那个时候黄奕还是挺好看的            
(4星)	 那个黄奕好好看 比现在好看多了            
(5星)	 小时候 超级爱看的电视剧             
(5星)	 很好看~~比还珠格格好看~~            
(4星)	 还OK。            
(5星)	 剧情很不错，比原著更有意思            
(4星)	 童年记忆2.当时整天哼哼唱唱的都是这里的歌。            
(3星)	 可以算当时比较精致细腻别有韵味韵味的古装戏 尤其对齐天磊那个园中凉亭记忆深刻啊            
(4星)	 我也萌过里面的聂远..            
(5星)	 哈哈哈            
(3星)	 我妈妈爱看            
(4星)	 小时候            
(4星)	 其实很想知道，女主之一哪里去了            
(3星)	 十年前我还很年轻很幼稚，于是个人审美只能停留在某个不靠谱的水平，好吧当年我真觉得很好看的额。。很欢乐的故事，那个时候的老白那么青葱哇咔咔。。            
(NA)	 片头曲            
(4星)	 黄奕不错            
(NA)	None
(4星)	 挺乐人的            
(5星)	 小时候经常看\(^o^)/~            
(NA)	 当时觉得好好看。            
(3星)	 有時有趣            
(4星)	 小时候最爱偶像剧之一。非常怀念以前的偶像剧，虽然不大气，但是清新可爱，简简单单的剧情，有点诙谐的故事，加点小小的虐和大团圆的结局，都算是美好的小品。哪里现在，太过狗血和夸张，各种雷人和非主流            
(3星)	 小时候看过的电视剧6            
(NA)	 那时觉得黄奕好漂亮。            
(3星)	 那个时候还是很喜欢黄奕的            
(3星)	 很早的电视了            
(3星)	 哇哇 很久啦            
(NA)	 我竟然。。还看过书，瞎了我吧= =            
(3星)	 剧情都记不很清楚了，老白当时多年轻呀            
(2星)	 受不了了啊。。。            
(5星)	 虽然一直没看到结尾，不过，正是残缺的美好呵呵            
(NA)	 又是跟老妈一起看的，聂远啊。。。理想型啊            
(4星)	 我是一个小孩的时候看的            
(4星)	 我还记得是在奶奶家看的~            
(4星)	 啊！为我看过的小言情改编成电视剧打分啊 亮点在沙溢啊！ 以后竟然成了白展堂            
(4星)	 当时的黄奕和聂远很好看。现在都整残了。            
(3星)	 N年后我跟我姥爷阿嬷一起看武林外传的时候我提醒他们老白就是沙平威阿！！！他们都震惊了！！！当年那个偶像派少男！！！现在会葵花点穴手了！            
(4星)	 当年看得很投入。            
(NA)	 哇，都是小时候看过的            
(1星)	 和小说比，电视剧是屎啊！            
(4星)	 小时候可喜欢看了，听说也是小说改编的            
(4星)	 嗯，童年。            
(4星)	 还行            
(4星)	 总觉得以前的电视剧比现在的好看            
(3星)	 好古老的电视剧。但是那是聂远的下颚还是方的，黄奕还没变成锥子脸。            
(5星)	 命中注定            
(4星)	 我发现所有小时候看的剧印象都极好            
(4星)	 这两对很欢乐啊~剧情布置的很新颖。            
(3星)	 黄奕也天真可爱过啊，但是喜欢李琳啊真心的觉得她好美啊…            
(NA)	 小时候看什么都感觉好看            
(4星)	 当年很喜欢的            
(4星)	 小时候追着看！            
(3星)	 一般般吧            
(4星)	 黄奕在这里很漂亮            
(4星)	 那时年少各种剧~            
(3星)	 还好~            
(3星)	 缘于对席绢原作的喜爱            
(2星)	 打发时间看的 和原著差的太远            
(3星)	 越看越无聊。            
(4星)	 最近又看了遍            
(3星)	 好像是席绢的小说改编的，当年还是很爱看的。当年的黄奕还是很清秀美丽的，时光是把杀猪刀啊            
(4星)	 看过的聂远的最早的一部作品！            
(NA)	 曾经特喜欢。李琳那个女演员还上过春晚的。可就是不太红            
(3星)	 当年的黄奕多么清新啊···            
(3星)	 看的时候觉得。。。。            
(3星)	 嘿嘿，彼时的沙溢还年轻的像只猴儿。            
(3星)	 记得放暑假，电视里下午天天放这个            
(4星)	 我小时候的最爱！！这里面好多明星的啊 ！！            
(5星)	 扬州!            
(4星)	 亮点还是挺多的。。。师小红就算了吧，聂远如果削削脸，我也忍了。。。            
(3星)	 居然在主演里看到沙溢的名字...仿佛是演了士兵甲最后娶了公主的？ORZ...当年还挺喜欢聂远的            
(5星)	 虽然制作不是很大，但是真的很成功拍的，最喜欢黄奕和聂远演得一对，很有趣o(∩_∩)o 哈哈            
(NA)	 黄奕最出色的时候。后来不解释            
(3星)	 原著席绢，很早的电视剧，很晚才看~小成本，很欢乐，剪辑很垃圾！            
(NA)	 Long, long ago             
(3星)	 黄奕那个时候还是个多清纯的妹子            
(5星)	 小时候超爱的，现在看的话那些服装可能有点老            
(4星)	 你把我的岳不群还来！！            
(4星)	 有意思 哈哈 聂远 黄奕都演得挺好的            
(4星)	 这是很早以前看的，一切好像都那么美好。误打误撞的爱情            
(5星)	 还是老片好看！            
(3星)	 我妈我姑都爱看。            
(3星)	 化妆丑了点·····            
(3星)	 不太喜欢，但当时还挺火，主角之一和我名字好像，每次看都仿佛在叫我，哈哈。            
(4星)	 当年看到出电视剧的时候震惊了一下，还屁颠地和我妈说这书我看过。没想到电视剧里把神医刘若谦整那么老，我记得席有一本专门写他的吧？杜冰雁这对在剧里整个画面一直挺阴暗其实。别说聂远还真符合齐三公子那病鬼形象，黄奕当年也挺好的。            
(3星)	 怀旧            
(NA)	 缘分妙不可言            
(5星)	 曾经还挺喜欢的……            
(NA)	 无记忆~            
(5星)	 当年怎么这么喜欢啊。不过女主们都很靓            
(3星)	 当时的黄奕没那么讨厌            
(3星)	 我喜欢杜冰雁这样的女人，齐三公子这样的男人            
(NA)	 最近才知道，这部片子也是唐人的            
(4星)	 只有这部觉得黄奕不错，那时给我惊艳了一把，里面也挺可爱的，之后就蛮讨厌她的。            
(5星)	 好日子里出了错            
(5星)	 小时候的偶像剧，居然有人名字和我的一样            
(5星)	 那时候的黄奕聂远是有多登对啊！！！我擦！！！！            
(NA)	 这肯定是小学的时候看的…我记得清楚…还是在过年前后看的…            
(4星)	 看了同名原著来看电视剧。。唉。。那啥，齐天磊你完全变身成一偷窥狂啊。。            
(4星)	 嗯哼 小时候还觉着挺好看的            
(4星)	 那是他们好年轻，我也还是个孩子            
(4星)	 几年级？            
(NA)	 李佳璘美极了            
(4星)	 当年，还是多喜欢聂远的            
(1星)	 这烂俗的名字 这烂俗的服装造型 还有这烂俗的台词            
(5星)	 古装剧如果保持这个水平 也不至于令人倒胃口了            
(3星)	 虽然回想起来觉得好好笑，自己当时看得还是好喜庆的            
(NA)	 小时候还是很爱看的，某天某女忽然放了它的主题曲那个熟悉哦！            
(3星)	 小时候挺喜欢看玉湖的，但是不知道那是黄奕            
(3星)	 小时候老爱看了            
(5星)	 小时候的回忆啊，爱李玉湖那对            
(3星)	 当年黄奕和李琳太惊艳了！！！！！尼玛，驸马竟然是展堂！！！！！！！！            
(3星)	 小时候真是觉得什么都好看，虽然现在想想觉得剧情挺雷的            
(4星)	 席绢呀 当时怎会晓得            
(3星)	 知进退，才能安天命            
(2星)	 里面每一个看的顺眼的，可还是很贱的看着，少年时期的暑假，你懂得            
(2星)	 印象深刻的是聂远的大下巴。。。            
(NA)	 小时候跟着老妈看的。。。            
(4星)	 当年狂爱看，以前觉得黄奕美到不行            
(5星)	 小时候很喜欢的一部戏，看了好多遍呢            
(2星)	 我是看着你长大的。            
(NA)	 喜欢看喜剧，看完自己也很开心。            
(NA)	 当时还是蛮喜欢这个剧的！            
(4星)	 能看看，能看看。            
(NA)	 居然这么久了            
(2星)	 小时候看电视剧就是电视台放什么就看什么，这没得选择，但是选择有评论的权利。即使有评论的权利，这些电视剧也融入了我们，成了我们的一部分。理论诠释一下就会变得合理，所以我们也没有必要去排斥这些东西，将他们在自己身上做一个合理的诠释就行了。            
(4星)	 童年的记忆~            
(4星)	 席绢小说改编而成，很好看~ 还是喜欢那个时候的黄奕和聂远，俊男美女~ 超级配~            
(3星)	 那个婉约派女生很有爱            
(3星)	 真没发现里面有沙溢            
(3星)	 聂远            
(3星)	 小时候看的。            
(4星)	 好像是席绢小说改编的 当时好喜欢看的            
(5星)	 黄奕唯一一部我喜欢看的            
(4星)	 这也算是童年的回忆吧。            
(3星)	 那时的沙溢很稚嫩啊…挺帅的！            
(3星)	 小时候看的，感觉还行吧……挺闹腾的……没看过书，同学说和书里写的不是很一样            
(5星)	 这个呢，就是经典的古装喜剧，没事拿来消遣是很不错的            
(NA)	 好日子里出了错错也不算错            
(4星)	 很喜欢看啊，小时候貌似只要是这种类型的片子都会看。觉得他们都好般配。只是很多年以后再看这部片子，才知道，哦，原来当年这部片子里就是黄奕、聂远还有李琳演的呀！～～            
(4星)	 两个美人儿。            
(3星)	 很久以前看的，一般吧            
(4星)	 當時真覺得黃奕好看。            
(3星)	 经典啊。            
(4星)	 当初很喜欢的片            
(4星)	 四川卫视专利！！            
(3星)	 小时候我好喜欢聂远。            
(NA)	 有的东西还是要mark一下的。。。            
(3星)	 当年的黄奕和她前男友还没整容。。。            
(4星)	 黄奕没整容时的李玉湖 真好啊。            
(NA)	 感觉演技都还可以            
(5星)	 当时觉得黄奕美啊！！！！！！            
(4星)	 黄奕那时候多美呀。            
(4星)	 小学时因为在家看这个还迟到了咧            
(3星)	 展堂！亏得众豆友，我发现了你！            
(3星)	 这上面的黄奕还是可以的            
(NA)	 那时候觉得黄奕很漂亮            
(4星)	 当时特爱看，还因此很喜欢黄奕同学            
(4星)	 少数几个看完的古装喜剧仔细一看这不是白展堂么。。。            
(3星)	 那时的黄奕还行            
(5星)	 对黄奕的美好印象仅仅停留在这部剧            
(4星)	 当时和奶奶一起看的呢。喜欢李玉湖和三少爷那一对。老白那时候好白，好瘦，好年轻啊            
(4星)	 以前很喜欢看哦~            
(5星)	 沙溢好萌            
(4星)	 年轻的沙溢和聂远都很萌            
(3星)	 当年还觉得挺好看...            
(5星)	 当年青涩的黄奕和聂远啊            
(4星)	 不知道当初为什么那么喜欢。            
(3星)	 小时候真tmd闲...            
(5星)	 刘师傅和他老婆是最有爱的一对！！！            
(4星)	 那时候觉得蛮有趣的吗....            
(3星)	 基本忘了            
(3星)	 那时候黄奕还没整容……            
(4星)	 尼玛，原来老白也在！            
(2星)	 这个装扮让我觉得就是从黄梅戏舞台上跨场过来的            
(4星)	 小时候很喜欢            
(4星)	 很喜欢这两对  齐天磊和李玉湖调皮可爱生活充满了情趣   杜冰雁袁不屈英雄淑女   当年看这剧的时候就希望能回到古代遇到如此的良人            
(3星)	 虽然硬伤很多，但是却是我记忆中每重播必看的剧目之一，无因            
(3星)	 这个前一段时间还在放            
(3星)	 两个女孩子还是挺漂亮的            
(4星)	 里面的沙溢- -！！！            
(3星)	 初中。只记得聂远= =            
(3星)	 黄奕就从这里开始红的吧。。。            
(4星)	 那时候黄奕很漂亮很青春!现在不灵不灵。那时候就觉得聂远和沙溢还都是帅锅一枚!            
(3星)	 为了席绢看的~            
(4星)	 聂远。。            
(NA)	 童年~            
(3星)	 当年觉得不错的，也是第一次认识黄奕和聂远的电视剧。貌似当年只是觉得蛮搞笑的，对聂远的表演挺喜欢的            
(NA)	 我爱黄奕            
(4星)	 那时候聂远 沙溢都还是小正太 \(^o^)/~            
(5星)	 初中的时候很是喜欢看呢。。。            
(3星)	 黄奕也就这部还行了            
(4星)	 哈哈 和两个好朋友一起看地。            
(NA)	 我的童年太有趣了            
(4星)	 童年记忆             
(4星)	 原来那个副帅是钟汉良啊～            
(4星)	 豆瓣猜居然出现了这个 好神奇。。 怎么说也是我小时候看了好几遍的古装喜剧爱情片啊            
(3星)	 小说比较有想象的空间            
(5星)	 非常爱李玉壶这一对，黄奕从还3后就完全残了            
(4星)	 当时真觉得好看            
(3星)	 当时这个电视剧可是很抢手啊            
(NA)	 不喜欢黄奕            
(2星)	 最近我才认出里面有沙溢啊。。。            
(3星)	 多年以后你再去看就会发现好神奇啊！老白是驸马诶！            
(4星)	 其实与其说是电视剧不如说是戏剧，虽然是以白话文演绎，但很有氛围。剧中的那些金玉良言很喜欢，是拍的不错的一部古装剧，            
(5星)	 我看这部剧的时候我真的在上小学，那个时候觉得黄奕很可爱很招人待见，那个时候她的男朋友貌似还是男主角聂远。这是言情女大师席绢的作品，那个时候很流行，虽然我不喜欢言情的那些没谱的东西，对于这部剧依旧是情有独钟。像现在的新还珠开播，我们就会开始怀旧，以前的能有多好，只是在记忆中无可取代            
(5星)	 小时候很喜欢 现在看也还是喜欢 喜欢黄奕的那种机灵~            
(4星)	 主题曲好听，黄奕很出挑。            
(4星)	 很多年前看的了，比预期要好。那时候黄奕跟男主角还是一对璧人呢。现在都这样了。比较单纯的电视剧，能让心情好起来的            
(4星)	 这部剧让我认识了黄奕            
(NA)	 斗智斗勇            
(1星)	 不喜欢。讨厌死黄奕了~！！！！！            
(4星)	 就是因为这个喜欢的聂远            
(3星)	 小时候看的            
(NA)	 黄奕··当时觉得她很好··非常好···才看得··            
(5星)	 当年超爱，也因为这戏正式踏入言情小说界            
(4星)	 小时候不清不愿也到看完了            
(3星)	 好土气            
(4星)	 席绢 的小说很精彩。            
(NA)	 小说改成这样不错了，很忠于原著            
(4星)	 剧情不错            
(3星)	 小时候还挺喜欢的吧，第一次看到黄奕，很喜欢她的说            
(4星)	 那是很喜欢黄奕的呢，时间就是把杀猪刀            
(3星)	 小时候就觉得这个剪辑师没水准了。画面切换那叫一个业余啊。。。我都比他好一点。            
(NA)	 看了好多遍了，每次都感觉好看！            
(NA)	None
(5星)	 小时候真的觉得好看！现在想想也觉得不错 就是男主太丑            
(5星)	 老白啊老白，你真的很白······= =            
(NA)	 很喜欢里面那对欢喜冤家！粗鲁善良的姑娘和假装病弱的少爷！            
(4星)	 每个演员都很喜欢 但是他们这部之后演的其他电视剧几乎都是shit 除了沙溢            
(4星)	 黄奕聂远都变丑了…            
(4星)	 蛮好看的。            
(NA)	 其实我那时候对那唯一一幕床戏很纠结。。。觉得那女的老公会介意吧            
(3星)	 觉得黄奕演的好做作啊~~~将军长得·~~抱着席绢的小说掩面痛哭~~            
(4星)	 當年青澀的小演員們，如今卻仿佛無論如何都喜歡不起來了，當年的國產片中這部算是編的比較不狗血的了吧            
(NA)	 表示不太喜欢黄奕。。。            
(5星)	 何不多出些这样的好戏？            
(5星)	 很喜欢这部~~~            
(5星)	 那时候的沙溢就很可爱啊            
(3星)	 噗！这种我看了好多边            
(5星)	 没上小学的时候看的呢。。。            
(4星)	 两位女主当时真是惊为天人！            
(3星)	 之前看过这本书，黄奕应该是这部戏出来的吧            
(3星)	 演员真的不错 老白~~            
(4星)	 就是那剪辑的无数重复镜头很头痛啊            
(3星)	 唯一一部国产让我看了还有点起劲的电视。画面就不要说了~哎~            
(5星)	 额 其实这片子化妆很尴尬  可是我当时觉得片子很好看很好看~  当时都不认识这些人的 黄奕啊 聂远啊 沙溢啊~            
(4星)	 这真是巧了~~            
(4星)	 两个女主都喜欢，哈哈哈~            
(5星)	 看过三遍。。            
(3星)	 我怎么连这个都看过            
(NA)	 我就是来标记一下。。            
(5星)	 我想说，在那个年代，这个片子真的非常棒，现在看还很有趣。不过现在看感觉尺度还挺大的呢······小时候是肿么看的？            
(4星)	 小时赶脚挺好看            
(3星)	 黄奕那时候还很青涩            
(4星)	 在外婆家看的。很俗，很好看。            
(4星)	 我的童年真心糟糕........掩面了            
(3星)	 这个可能没怎么看完，那时候的黄奕啊            
(3星)	 还是挺不错的。            
(4星)	 好登对的三对。好嫩的他们。            
(3星)	 那时候喜欢上黄奕~            
(NA)	 呃，我没看完，还好。            
(4星)	 当时看得时候觉得很好看哪            
(4星)	 那時的黃奕眼神裏還滿是靈氣 那時的老白還是翩翩少年沙平威            
(3星)	 。。。记得那对奸夫淫妇            
(3星)	 一直不喜欢黄奕。            
(NA)	 想當年            
(3星)	 哎，小时候的我花了很多时间在电视剧上，但不管怎样，都是人生的回忆啊~            
(3星)	 小学时候看的津津有味的。。            
(4星)	 虽然是很久以前的剧本了，但还是很好看的，大部分情节都是欢快的，不管背后是怎样的黑暗，记得是和家人一起看的，当时只看热闹了，后来长大又翻出来看了一遍。            
(3星)	 沙溢可是小驸马            
(4星)	 我想说……这是我看电视的分水岭，好像从这个时候开始懂感情了……            
(NA)	 我也看过哈哈哈哈哈哈哈            
(NA)	 错错为对            
(4星)	 沙溢那时就出来了。。。            
(4星)	 很久之后才知道那是老白            
(3星)	 内地古装轻喜剧。小时候的记忆了。            
(4星)	 相当好看的一个说            
(4星)	 纯粹消遣            
(3星)	 第一次认识了黄奕。            
(3星)	 小时候不知道那是沙溢…            
(4星)	 小时候觉得里面的女的长的都挺好看的            
(NA)	 哼哼！当年我那个爱看哟~！            
(5星)	 以前好喜欢这部~~            
(4星)	 八八钱八八货，八八生意八八做……就这样配成一对一对的。            
(5星)	 从小看到大= =            
(1星)	 不喜欢黄奕            
(5星)	 看了那么多遍仍然觉得好看，证明是部好剧~            
(4星)	 小时候的最爱~聂远真的真的很帅！            
(5星)	 很是怀念，这大概是黄奕演得最好的一个角色了            
(3星)	 就那样吧，看过原版小说，呃，很台湾的风格。            
(4星)	 非常有爱~~~            
(5星)	 居然有沙溢。。。            
(4星)	 和外婆一起看的。不管怎么样都爱。爱外婆。            
(4星)	 我觉得还蛮好笑的！聂远演的那个角色很萌~            
(4星)	 上错花轿嫁对郎            
(4星)	 看得的很哈皮            
(4星)	 虽然制作上感觉有点粗糙，不过小时候那个迷啊            
(5星)	 聂远当年帅的哟！！            
(4星)	 小时候的回忆，哈哈哈            
(4星)	 聂远当时多俊俏啊            
(3星)	 当时看ok！现在绝对雷！。。。            
(4星)	 想当年,有多迷那个男主~            
(4星)	 聂远、沙溢，我认识你们有那么早吗？那可是十年前啊喂！            
(4星)	 小时候巨爱看~            
(NA)	 强烈要求豆瓣为这类吐槽片提供负分的选项～～虽然说原著小说也很狗血，但是不至于让人恶心，改编剧中的又一天雷～            
(4星)	 当年的美女啊 ，看看现在的黄奕            
(3星)	 黄奕唯一成功的剧。            
(4星)	 欢欢喜喜            
(2星)	 好想打黄奕。            
(5星)	 给我们带来很多欢乐            
(NA)	 很好玩            
(4星)	 很经典的喜剧。。看得很开心            
(2星)	 不知道为什么就是不喜欢黄奕。。。这片子就跟在一个园林里拍的一样。。。视野太小，总让人觉得压抑。。对席绢的文无感，不觉得有多好。居然有沙溢。。。他是熬了多少年才熬出头呀~            
(4星)	 也是以前看的了，新娘很漂亮，然后那个天磊，原来他是装的，松了一大口气。看完觉得缺什么都不能缺睿智和仁厚，挺喜欢不时有人爆聪明的剧情，觉得热热闹闹的            
(5星)	 当年可爱聂远黄奕这对了 还有沙溢 以前比较帅啊            
(5星)	 那年还是美好的暑假            
(NA)	 这个~~~后来才知道是席绢的~~奥，多拍几部席绢的，好多值得拍的。。。最好全拍了！            
(3星)	 从始至终的不喜欢黄奕。印象深刻，就是有太多不喜欢看的演员。            
(4星)	 剧里聂远和黄奕这一对很有爱。李佳璘很惊艳。还有。。。好青葱的沙溢。。。            
(3星)	 只记得过年那会儿女孩子很迷这个            
(3星)	 蛮好看的，哈哈哈。喜欢看黄奕那段。            
(3星)	 就是從這裡面知道的斷袖之癖            
(4星)	 挺逗乐的            
(5星)	 真早啊            
(2星)	 小说挺好的            
(4星)	 看过小说后，看的电视剧            
(5星)	 小时候很爱的剧~~~好喜欢李玉湖...            
(4星)	 很有黄梅戏的感觉            
(4星)	 小学的美好回忆，奶奶也爱看，祖孙俩一起看            
(4星)	 江南的才子佳人轻喜剧            
(3星)	 小学时候的连续剧了哈哈哈哈哈            
(4星)	 哦哟~这个久远，那个年代的偶像剧哎……            
(4星)	 以前还满喜欢看的。            
(3星)	 这个这个这个……            
(2星)	 黄奕的成名剧吧？            
(3星)	 剧情其实写的蛮不错的啦             
(4星)	 第一次认识黄奕……            
(5星)	 难得的创意，不落俗套            
(5星)	 超级可爱超级可爱。            
(NA)	 又一部电视剧 = =            
(3星)	 第一次认识了黄奕，，里面还有后来武林外传的白展堂，，想不到啊，，当年那个清秀的小生，现在胖了，，。。            
(3星)	 以前还真看过很多遍。。。现在看都想吐。。。            
(5星)	 黄奕最美的时候！            
(5星)	 不看你就折翼了            
(4星)	 就是比较喜欢这种喜剧，不太恶心人，有点小聪明            
(5星)	 仅仅纪念            
(4星)	 那时觉得好看，，，            
(5星)	 超级好笑!!当初大爱!            
(2星)	 小学有段时间每次去我外婆家他们都在看这个            
(3星)	 哈哈            
(5星)	 我就是喜欢看这部。。风吹云动天不动 水推船移岸不移~~~            
(3星)	 我妈的菜            
(NA)	 才知道是根據萬惡的台言改編的 oh no            
(3星)	 其實原著比較好看             
(3星)	 印象比较深的一个是李玉湖拿着小笼包念的歌谣，还有一个是杜冰雁断发以后和将军的。。。激情戏。。。            
(3星)	 能看但不好看。            
(3星)	 这个片子对黄奕感觉还不错~            
(4星)	 喜欢聂远演的假病公子，看起来弱不禁风，玩世不恭，却实实一个有情有义风华绝代的少年儿。            
(NA)	 黄奕。。            
(4星)	 喜感~~黄奕怎么后来就不灵动了            
(5星)	 看了N遍啦。喜欢黄奕那对            
(3星)	 死也想不到老白就是当年的沙平威。。。。            
(4星)	 很喜欢那个时候的黄奕，让人爱的不行，可惜现在，档次真的低了好多            
(4星)	 聂远美人啊啊啊啊。。。。。            
(3星)	 呵呵 看看解闷吧            
(5星)	  = =。我喜欢!            
(4星)	 黄奕啊，当年的黄奕……            
(3星)	 标签            
(3星)	 。            
(NA)	 觉得黄奕演的唯一一部好看的电视剧            
(5星)	 化妆师很厉害，两位女主角的妆都好漂亮~~演员演得都很有灵气~~里面的歌也好听            
(3星)	 小时候不知道各个电视台来来回回播了多少遍了，喜欢聂远从这里开始~            
(4星)	 还是有点新意的，和爸妈一起看的。            
(4星)	 那时候觉得黄奕真漂亮            
(4星)	 虽然雷   但当年看的还是挺不错的             
(5星)	 看了一遍又一遍～            
(5星)	 真正演出了苏州扬州一带的味道~            
(5星)	 童年回忆啊            
(2星)	 看这片子的时候我还在上小学呢，那么多的床戏镜头，我CJ的幼小心灵啊            
(NA)	 当年很爱看，但一直没看全            
(3星)	 受不了            
(4星)	 席绢的经典之作            
(3星)	 冰雪聪明的杜冰雁，调皮伶俐的李玉湖，外柔内外的齐天磊，勇猛威武的袁不屈，很放松的一部轻喜剧            
(4星)	 我们全家都爱看！            
(4星)	 我怎么不记得沙溢演过= =？？？            
(4星)	 那个时候觉得黄奕好漂亮            
(5星)	 还是那会的黄奕看的最顺眼..温故下            
(5星)	 在这里翻出些小时候天天没事在家躺着看电视的记忆也很好~~~当时真是既无聊又美好，懒惰的毫无愧疚感。            
(4星)	 席绢的书            
(3星)	 很多年8后才发现当时画面如此粗略==            
(4星)	 噢 神马叫童年肥忆 ==            
(3星)	 那时的黄奕真美            
(3星)	 跟老爹一起看过的电视剧。            
(3星)	 当时觉得黄奕很不错，后来不知为何越来越不喜欢了~~~            
(4星)	 那時候的聶遠很帥            
(NA)	 久哦            
(NA)	 奶奶喜欢  我去  原来沙平威是沙溢演的啊            
(3星)	 聂远好青葱啊 、            
(3星)	 我喜欢的是公主那对            
(2星)	 现在想想真是很一般哪。。。            
(5星)	 和老爸一起看的片子呢！！很喜欢！！            
(NA)	 主题曲很好听            
(NA)	 我到现在都不知道黄奕和聂远为什么要在床上玩你拍一我拍一= =            
(5星)	 翻来覆去看了很多遍 得到了正义永远可以战胜邪恶的渣观念            
(4星)	 偶梦想中的江南。。可惜就没有字幕            
(4星)	 经典啊。。。。豆瓣什么时候冒出来这些的？            
(3星)	 哇塞塞豆瓣居然有这部电视剧 小时候可喜欢了~            
(4星)	 这个蛮好看的。            
(3星)	 满有意思            
(3星)	 看这个喜欢黄奕的！！            
(4星)	 喜欢那个时候的黄奕。            
(4星)	 缘分这玩意，妙不可言，顺其自然            
(3星)	 情节还算是紧凑、欢乐~            
(NA)	 李琳掀起盖头的一刹那好惊艳            
(3星)	 迷恋了挺长一段时间~            
(4星)	 各种稚嫩时期的黄奕&amp;聂远。那时国产的古装才会不那么闹腾的有古味吧。            
(NA)	 蛮搞人的剧。            
(3星)	 那时候起就开始讨厌黄奕了？并且那时候还没认出聂远。。。直接的当时老妈语重心长地教育我“性格总要互补才能长久”。。。。            
(3星)	 断断续续的看  没感觉···            
(4星)	 经典！小时候最喜欢看嫁错人的电视剧~ 哈哈哈···            
(4星)	 当年全家都挺喜欢看的= =            
(3星)	 啊啊啊， 有沙溢的么？？？ 记得是第一次看到黄奕啊，那时候觉得李琳真好看            
(4星)	 话说我曾经还觉得相当好看来着，虽然将军那段都让我做恶，个演员竟然叫了个师小红这么猥琐的名字！            
(4星)	 想当年。。。            
(3星)	 还是只记得主题曲。才发现竟然有老白！！！            
(5星)	 十几岁的时候看的，貌似看了两遍。            
(2星)	 就没喜欢过黄奕            
(4星)	 小时候，还是小时候特别喜欢的。衣服很漂亮，人很漂亮，特别是李琳。甚至还觉得瘦成那样儿的聂远很帅。            
(4星)	 怀念一下。。那个时候觉得黄奕真好看            
(NA)	 小时候的回忆            
(3星)	 当年的李玉湖多可爱啊            
(2星)	 除了沙溢其他都是浮云            
(5星)	 那时候是多么喜欢啊！            
(4星)	 小时候觉得很好看。。            
(3星)	 皆大欢喜。            
(3星)	 其实印象不深了、            
(4星)	 后来才知道原来是席绢的书改编的            
(3星)	 我居然连这也看过            
(5星)	 好看            
(3星)	 还好吧~无厘头胡扯~公主挺漂亮的~            
(4星)	 众里寻他千百度，蓦然回首，那人却在灯火阑珊处。            
(4星)	 席绢小说 改的吧。            
(5星)	 四年级 暑假 奶奶             
