http://movie.douban.com/subject/1786740/	还珠格格第二部
(5星)	 多说无益。。其实么，多看也没什么益的            
(3星)	 我承认那时候对赵薇仍然很感冒。香妃死得早哇。            
(4星)	 好歹当年也看的欢实！            
(3星)	 这个版本就挺差的了 尤其是矫情版的紫薇            
(NA)	 还珠格格            
(4星)	 台词肉麻的让人生不如死，不过以前好喜欢，为它笑过哭过~            
(NA)	 第二部的台词我都能背不少 小时候不知道看了多少遍诶            
(4星)	 最喜欢萧剑。            
(4星)	 香妃的故事，继续为爱坚持！            
(3星)	 我承认 我看过 非常痛恨这部的小燕子 大傻妞            
(NA)	 一直不想收藏的，总觉得很俗            
(3星)	 2就。。。扯了。。            
(3星)	 好看            
(5星)	 赵薇的妆不及第一好看，可惜了。不怎么喜欢刘丹，但为她的早逝惋惜。            
(3星)	 不错            
(3星)	 我怎么都看过啊            
(2星)	 陪我奶奶看了好多遍啊，真是痛苦            
(NA)	 开始晕了            
(2星)	 把观众当猴耍，，自己也折腾            
(1星)	 恐怖片            
(1星)	 太殘忍了。            
(2星)	 没意思，做作            
(3星)	 看第二部既时候觉得好差,点知看埋第三部先知道原来系还可以啊!            
(3星)	 好长好长。。。            
(2星)	 第2部的故事情节已经完全没有印象了，说明很差囖！不过第三部更差…            
(3星)	 一长就发臭啦·            
(4星)	 略输一            
(3星)	 第二部还是很棒～～ .            
(4星)	 这么好的片怎么分数这么低呢！            
(3星)	 我这人其实挺容易腻的=_,=            
(3星)	 湖南卫视暑期的金牌电视剧啊            
(4星)	 耶！            
(3星)	 6.7            
(4星)	 当时我还小            
(4星)	 那时候好像连台词都背过了            
(4星)	 我们这一代的回忆            
(5星)	 心中永远的经典            
(4星)	None
(3星)	 补遗            
(5星)	 儿时的记忆啊~还攒了很多还珠格格的卡片和周边呢~            
(4星)	 过了十年才知道它的好~            
(5星)	 赵薇他们火了十几年了呢            
(NA)	 组成童年第二部曲            
(4星)	 还行            
(5星)	 六年級跨度初中。我的青春小鳥一去不回來。            
(5星)	 当还珠格格开始的时候，说明暑假又来了。。。。湖南卫视            
(5星)	 童年回忆 .            
(4星)	 自从有了你~~            
(5星)	 这部是巅峰。。。            
(4星)	 我还买了原著小说！！！            
(5星)	 乃们真的觉得第三部里那个面无表情的黄晓明比第二部里的肖剑更像肖剑么？            
(4星)	 经典啊有木有！！！            
(3星)	 这戏，疯了            
(4星)	 即使到现在仍觉得刘丹是大陆最美的女明星 小燕子的性格其实挺受不了的 小时候只觉得好玩            
(3星)	 2就狗血了            
(4星)	 哈哈哈哈            
(NA)	 当年很喜欢            
(2星)	 演过了吧            
(NA)	 童年的回忆            
(3星)	 太乱了。。。恶心的感情戏            
(3星)	 一在电视上看见这部剧，就知道，放假了~~~            
(4星)	 第三部可无视之。            
(5星)	 不如第一部~不过特喜欢那段流浪天涯的时光~            
(4星)	 怀念经典。            
(5星)	 。。。            
(5星)	 无数遍,多少的回忆在里面啊~            
(5星)	 看到网友的一句话            
(4星)	 香妃真是太美了，可惜。            
(2星)	 这一部围绕香妃是个折腾什么劲呢。            
(2星)	 虽然有了现在新还珠的雷人存托，但是不能否认的是，还2真的有点2，只是香妃可惜了            
(3星)	 ..            
(3星)	 越往后越不济。            
(3星)	 没有第一部那么出彩            
(4星)	 比第一部差一点儿            
(5星)	 经典不解释。            
(1星)	 不带这么侮辱观众智商的。            
(3星)	None
(NA)	 哈哈、、            
(5星)	 海可枯石可烂天可崩地可裂我们肩并着肩手牵着手，海可枯石可烂天可崩地可裂我们肩并着肩手牵着手牵着手牵着手手手手手！！！！！！！！！            
(5星)	 因为有了新的某位装者 我他妈觉得以前的真的好看            
(2星)	 亏我小时候还追着看，虽然心里有点疑惑里面的人变得很难形容，如今终于找到了贴切的形容词：脑残            
(3星)	 无所谓琼瑶被称作“穷摇奶奶”，无所谓赵薇被称作“票房毒药”，这电视剧对大多数80后而言是段难忘的记忆，更是不会再回来的青春。            
(NA)	 到这部越发不能忍受胡搅蛮缠的爱情了。。。            
(3星)	 没第一部好看            
(5星)	 其实，我印象比较深的是这一部            
(3星)	 还好吧，已出现续貂之相，不过比3续得好得多~            
(5星)	 当时上海1台首播的时候一天才播一集，后来大概是收视率越来越高，每集不知道要插播多少广告，可还是超级喜欢。一集一集守着电视看的心情再也没有了。            
(5星)	 必須5星，從5歲的98年陪到現在~            
(3星)	 湖南卫视是播完第一部接着播第二部，感觉一、二部是一部电视剧，看着看着都不知道播到第二部了。同样是被逼的。            
(NA)	 明显不如一，但给了个完满的结局            
(5星)	 經典            
(4星)	 好            
(5星)	 托芒果台的福。。。            
(4星)	 真是永恒不变的经典！！！再次看颇有感触！！            
(5星)	 无法磨灭的记忆。            
(4星)	 还是喜欢他们在江湖的时候==            
(3星)	 狗尾续貂            
(4星)	 80末出生的人是这样成长的～            
(4星)	 当时看的稀里哗啦好嘛！！！            
(4星)	 。。。            
(5星)	 看到蒙丹发狂那段就头疼，新旧版的蒙丹一样讨厌。            
(5星)	 其实到了春节期间还是有的台会播的。            
(4星)	 经典            
(5星)	 同治愈            
(5星)	 原来看我过这么多电视剧——经典~            
(4星)	 &#39;&#39;宫中迎来美丽多情的回族公主香妃，张铁林心情大好&#39;&#39;..这句简介看的我特想笑==抱歉            
(NA)	 小時候的記憶啊。。             
(5星)	 你是风儿我是沙╮(╯▽╰)╭            
(3星)	 难看了            
(3星)	 就记得香妃和晴儿好看了……            
(5星)	 最美好的回忆啦            
(5星)	 多好啊 让燕儿翩翩飞和黄奕那第三部都起开..            
(5星)	 香妃！！晴儿！！！            
(4星)	 其实已经不如第一部了。            
(3星)	 有一个姑娘,她叫丁小艳  整天除了调皮捣蛋什么都不会            
(5星)	 觉得这一部的人物最美了。。。            
(3星)	 我印象最深刻的莫过于肖剑劫车的场面了。那时候肖剑还很火~~            
(5星)	 小时候还珠格格可火了，差不多每个人都在看~我喜欢到去买旗袍和旗头，和我表妹一起演哈哈~经典啊！差不多每年都有重播，所以我都不知道看了多少次了~            
(3星)	 这个也看过，主要是全国都在看            
(5星)	 那个时候喜欢林心如，就和同学们力争小燕子和紫薇谁更漂亮。            
(5星)	 我无比热爱箫剑童鞋！！！            
(3星)	 第二部有点胡闹了。            
(NA)	 也不用解释            
(4星)	 相见不如怀念~哈~            
(3星)	 依然..            
(3星)	 ！！！            
(5星)	 很经典啊，那时候的赵薇真嫩            
(4星)	 香妃好漂亮啊···            
(4星)	 啊哈哈哈哈哈            
(4星)	 还有电视剧可以超越还珠格格的经典么？            
(NA)	 必须看过啊...较比当时来说我家有20个电视台 5个都在播这个            
(3星)	 哪个女的敢说当年没追着看呢？            
(4星)	 一部不如一部。            
(5星)	 好看！            
(5星)	 好看。            
(4星)	 刘丹真心漂亮，可惜啊。。。            
(3星)	 借第一部的东风吧。剧情上BUG一堆。但现在想起来都是情分。            
(NA)	 第二部开始居然无比厌恶小燕子和紫薇，还萌发了她们赶快死吧的念头……            
(3星)	 第二部只能勉强了            
(4星)	 哎喲容嬤嬤啊❤~            
(NA)	 好喜欢他们逃亡的那一段 觉得温馨的不得了            
(3星)	 就算古人迷信，也不用编出香妃娘娘变成蝴蝶飞走了这种故事吧            
(3星)	 都忘了说啥的了            
(3星)	 哈哈哈哈哈哈哈哈哈当年我爸死活不要我看这个            
(5星)	 看了新版之后觉得必须给五星            
(3星)	 剧组都一样  所以这个也还算不错              
(4星)	 从精品一步步走向了XX...            
(3星)	 喜欢晴儿和香妃            
(NA)	 恩。。。            
(4星)	 还是那句话，是个人都看过            
(4星)	 奇怪的是，10年了，對還珠的印象還是如昨日版明朗清晰。兩部一起才能創造巔峰，誰都離不開誰。            
(2星)	 当年就觉得没有第一部好看但依然追了好几遍……            
(4星)	 没有1 好            
(3星)	 恶俗，趁着第一部的势头。虽然当初也很殷切地追看。            
(5星)	 嗯，第二部也喜欢            
(3星)	 。。。            
(3星)	 三观不正﹣100分，但是这确实是童年的记忆啊            
(2星)	 小燕子仿佛除了闯祸 就没有别的看点了            
(4星)	 拍续集的电视剧里算是好看的了            
(2星)	 不要啊            
(NA)	 陪我度过了每一个暑假寒假            
(3星)	 扯            
(4星)	 没第一部好看，不过还是很不错            
(3星)	 小时候守着电视要看的            
(5星)	 还是老的好。            
(4星)	 严重脱离逻辑和现实            
(3星)	 小时候的记忆            
(5星)	 真的不在这个电视剧本身，而在于我的那段日记。无忧无虑            
(5星)	 这部里最稀饭的就是晴儿了……哎呀            
(NA)	 第二部也好看，人物更多更饱满。            
(5星)	 看了新版，这个愈加的觉得好～周杰刨除他的鼻子，人家的演技没得说            
(NA)	 哦呵呵哦呵呵            
(5星)	 皇上，您还记得当年大明湖畔的夏雨荷么 ....            
(4星)	 小时候看过的电视剧2            
(4星)	 我一直觉得第二部的紫薇比第一部好看不晓得多少！！！            
(2星)	 没第一部好看            
(3星)	 其实我真心不想标记这两部东西……            
(4星)	 算是好看的了、            
(5星)	 香妃怎么就死了呢···            
(4星)	 没有第一部好看了。            
(4星)	 太经典。            
(3星)	 你是疯儿我是傻            
(5星)	 第二部才是我的大爱            
(5星)	 我只能说：看剧的时候我很嗨森！！            
(4星)	 倒叙哦~~~很有搞头哦。            
(4星)	 个人觉得第二部最好看啊，逃亡的日子很精彩。            
(4星)	 第二部妆没第一部浓            
(5星)	 陪外婆看啊！NC粉啊~            
(5星)	 千万别有新版了  就让以后的孩纸们看这最经典的就行啦            
(5星)	 好看的一群O(∩_∩)O哈！            
(4星)	 当初就是爱一天守两集，雷打不动            
(4星)	 这部太扯了，但还是看的一包劲啊一包劲。。。            
(4星)	 当年真是天天守电视机前等着看啊，香妃美呆了啊可惜了…            
(3星)	 比第一部精彩多了。            
(3星)	 没第一部好看，假            
(5星)	 经典            
(3星)	 歌曲很好听，打发时间不错啊，看了就忘的那种            
(5星)	 还珠二部曲。五星给过去的自己和新还珠对比下无比耀眼的老还珠。还珠三直接屏蔽，不待见古巨基。            
(3星)	 开始注入免疫力            
(NA)	 那时年少各种剧~            
(5星)	 经典！好看！看了50遍了都            
(4星)	 和第一部相比制作粗糙了点~ 不过还是很好看~ 回忆啊经典啊~            
(4星)	 3.5 當年是喜歡的             
(2星)	 看了一点点就弃了，果然人来疯只能来一次。            
(5星)	 还是原班人马好看啊！！！            
(3星)	 香妃来了。            
(4星)	 最好看的一部啊            
(5星)	 这些都是经典啦。。已经十三年了 。时间好快呀。。            
(3星)	 不知道为什么小时候那么爱看            
(4星)	 香妃挺漂亮的！            
(3星)	 小时候的美好回忆            
(NA)	 经典不可超越            
(4星)	 最好看的是这部吧            
(3星)	 额···            
(4星)	 但是第二部就一般了。            
(NA)	 第二部最好看~~~            
(4星)	 不管怎么说 我们同年的回忆            
(5星)	 最爱，这是我看过的唯一的续集比原作品更精彩的电视剧了。挚爱            
(5星)	 有些东西不可复制            
(3星)	 那时候天天不能错过的片子            
(3星)	 已经很鸡肋了，情节展开与第一部比差远了。。。            
(5星)	 又疯了            
(5星)	 第二部也还凑合啊=。=            
(NA)	 “当”，有几句词还是不错的            
(4星)	 当时经典的很            
(5星)	 喜欢赵薇            
(4星)	 好遥远了~            
(5星)	 纪念纪念            
(4星)	 暑假里播了又播的电视剧            
(5星)	 经典            
(3星)	 挺崩溃的、。。            
(4星)	 我更喜欢这部 因为人都变的比较好看了            
(5星)	 想起那年一大家子人守着一部电视剧看的难忘回忆~可是现如今物是人非~            
(5星)	None
(3星)	 如果说小燕子在还珠1是纯真的表现，很可爱的话，那么在2中就只剩下闹腾，装疯卖傻，想抽她+1。最喜欢看赵薇被虐待那段了。            
(NA)	 最爱还是容嬷嬷            
(4星)	 第二部不如第一部            
(3星)	 终于结婚了，该圆满了吧            
(5星)	 美好的记忆。            
(NA)	 哎呀呀……            
(3星)	 小时候大家必追的小燕子            
(4星)	 那时的传说            
(4星)	 你们他妈的结局还是没走成是么！            
(5星)	 喜欢啊！！！            
(3星)	 木有第一部好看            
(NA)	 童都是有这得。            
(1星)	 还拍48集，搞什么飞机，和第一部比起来~~呵呵~~            
(4星)	 第二部没第一部好看了            
(3星)	 回忆呀！            
(3星)	 我小學時還玩過還珠格格的遊戲            
(NA)	 好            
(3星)	 算那个年代的经典之作吧。            
(3星)	 香妃很美！那时的赵薇和林心如也很漂亮，王艳的角色特别讨人喜欢。            
(3星)	 还行  就内个时代来说            
(3星)	 我可以说是看着这个长大的。。。            
(4星)	 还可不是天蓝，手牵着手我们一起手牵着手牵着手牵着手？是这样吗==            
(4星)	 经典啊~            
(3星)	 没办法超越第一部。。。            
(4星)	 我是看着你长大的。            
(NA)	 箫剑情怀~            
(4星)	 和现在的新还珠比起来，这就是经典了。            
(4星)	None
(NA)	 童年记忆。。。。。            
(4星)	 不如第一部惊艳，但是是上乘之作            
(5星)	 无可替代            
(2星)	 果然对古装剧不怎么感冒。。。            
(NA)	 还是很红            
(3星)	 现在看怎么觉得这么傻呢 呵呵            
(5星)	 。。            
(5星)	 个人觉得比第一部精彩。            
(5星)	 嗲            
(3星)	None
(4星)	 第一部大红，当然有第二部啦，不过这第二部的剧情有些记不太得了，只记得还蛮搞笑的，最后的结局也算是来了个终结吧。            
(3星)	 我还记得等到还珠2开播那天的心情            
(NA)	None
(4星)	 这就是人会变老            
(3星)	 看了新还珠的评价，顿时觉得还是老的好            
(2星)	 没有第一部好看。            
(5星)	 不多说            
(2星)	 余热剧，情节很一般，说什么来的？            
(4星)	 啥也不说了            
(5星)	 第二部依然很喜欢，很搞笑，小燕子就这么红了大江南北。...            
(4星)	 陪伴的一段时光            
(5星)	 依旧是经典            
(NA)	 看完扯淡的新还猪突然很还念            
(4星)	 皇桑、您真的不记得当年在大明湖畔撑船的容嬷嬷了么~            
(4星)	 小时候老羡慕香妃了            
(4星)	 哥奔放的童年呀。。。以前爸妈。姐姐好爱看的。还记得以前小时候家里那一大堆人。。。            
(3星)	 所以，我为何会看这个。。。。。。。            
(4星)	 童年 不解释            
(3星)	 香妃            
(4星)	 一部不如一部是真理。            
(NA)	 有的东西还是要mark一下的。。。            
(NA)	 同第一部理由。            
(3星)	 闹剧            
(3星)	 多经典！            
(4星)	 当时觉得吵得慌 现在看 是经典。            
(4星)	None
(5星)	 现在也许说他恶俗什么的 对比新还珠都绝对还是...            
(5星)	 是剧本的问题，演员还是很给力的！            
(4星)	 这个也是必须的啊            
(5星)	 经典电视剧~~            
(2星)	 我还是喜欢第一部。。。            
(NA)	 当时 觉得隔着电视机都能闻到香妃的香            
(3星)	 狗尾续貂，小燕子疯疯癫癫越发离谱了。            
(5星)	 这是可以全家一起看的百味剧！！            
(NA)	 那时候多疯狂的追着看啊。每个剧情，每一集，都舍不得错过。            
(4星)	 这段回忆永远忘不了……我记得当时看的时候笑得半死……            
(3星)	 小时有趣，长大脑残            
(4星)	 小学看得比较多嘛 还是有乐子            
(5星)	 幼儿园一直看啊、、、、尼玛的新还珠吓死人。            
(5星)	 经典啊            
(5星)	 回忆            
(5星)	 小时候的爱物            
(5星)	 最爱！！！            
(3星)	 老觉得没第一部好看。            
(2星)	 一群疯癫的人！            
(4星)	 青春什么的            
(5星)	 只因为童年.            
(NA)	 香妃像蝴蝶一样飞走了。。最终饰演香妃的刘丹。。也像蝴蝶一样飞走了            
(4星)	 虽然也很经典，也是一集一集追的，还是首播重播看两遍头的，但是珠玉在前（第一部），怎么看都没有那短短的24集来得精彩            
(5星)	 当时是追疯了的电视剧 太喜欢了 现在都平淡了            
(4星)	 依然很经典，奶奶的最爱。            
(3星)	 小燕子开始胡搅蛮缠了，紫薇开始争风吃醋了。失望。            
(5星)	 箫剑是我的偶像            
(NA)	 看到二就到此为止实在是此生最明智的选择            
(4星)	 岁月赢            
(5星)	 妈逼新还珠真是折磨我的眼睛珠子            
(3星)	 小燕子就开始疯了......            
(4星)	 不如第一部...            
(4星)	 比年少岁月稍微老了些...            
(4星)	 香妃蒙丹的出现就奇葩了变            
(3星)	 哎            
(5星)	 同理!            
(2星)	 看过吗?好像吧.第二部里小燕子太吵了。            
(5星)	 小时候国产电视剧最经典的记忆了            
(4星)	 好看！            
(3星)	 芒果台是最可恶的，经典这么下去能被它播烂。            
(2星)	 这一部里的小燕子超级讨厌！！！！！            
(5星)	 但是有时候看着小燕子嚼着她还有点犯xian的啊            
(5星)	 当年内地能拍出这样，已经很好啦！！！！            
(5星)	 看一次感动一次 哈哈··有欢笑 有泪水敢爱敢恨 很真实啊···没想到豆瓣上也有这么多马甲···可恨            
(5星)	 新版的媒婆燕和老鼠薇为老还珠第二部加到了五星            
(4星)	 其实挺好看哒.我觉得.            
(4星)	 o(╯□╰)o如今翻出来看！~甚好甚好！~            
(3星)	 看的耐心还在，但已经没有当初的热情了            
(5星)	 回忆！！回忆！！回忆的力量是伟大的~~~            
(5星)	 绝对的经典            
(2星)	 虽然好好看了，不过是烂片            
(5星)	 我竟然花了一天的时间来看这个哦！尼玛都是新版不好，看了十几分钟的新版，果断想要回味一点旧版来找回下童年的美好！nima没想到一快进就看了48集╮(╯▽╰)╭            
(4星)	 都快忘光了。            
(4星)	 永远的还珠            
(3星)	 除了蒙丹有点呆 其他都挺好==            
(5星)	 这部里面的王艳也是很经典的不可超越的。。那个声音一出来，整个温婉的形象就出来了。。！！            
(3星)	 狗尾续貂 不过 因为貂实在是太红了 所以这狗尾 也就变高贵了            
(5星)	 理由同第一部            
(4星)	 其实也还行啦，暑假必定重播的            
(4星)	 青年时代的经典偶像剧。虽然第二部有些闹腾            
(3星)	 小学最美好的怀念. 虽没第一部好看. 好在演员没变也看得有意思了.            
(1星)	 噢！！我以前居然那么那么痴迷            
(5星)	 含香，那叫仙女啊，真美            
(5星)	 还是回忆            
(NA)	 我是在我老娘的胁迫下看完这部续集的，被咋咋呼呼的小燕子烦到了            
(5星)	 经典就是无可取代            
(4星)	 还是1好看            
(5星)	 直到现在都觉得，晴儿是当老婆的最佳人选。我还记得那年夏天在新坛狂热追剧，迷上剧中的人物，更是一遍遍地听瑶姐的《小燕子赵薇》卡带，那些歌在剧中大都出现过。其实我更怀念的是小时候每年过暑假到耿琪家过夜的时光，只是我知道，那些难忘的童年片段，再也回不去了。也正是因此，才弥足珍贵。            
(NA)	 一暑假一见            
(3星)	 泥马啊芒果台，从我小学就开始放了，大学都快毕业了，终于拍了个新版……            
(4星)	 小时候还真是喜欢看· ··对于现在的芒果台恶搞版  无力吐槽··            
(4星)	 无法超越的大明湖畔            
(3星)	 为了新还珠我给高了.            
(4星)	 经典！            
(4星)	 还是蛮喜欢的            
(4星)	 经典            
(3星)	 = =            
(5星)	 都是新还珠闹的~~~            
(4星)	 萧剑和晴儿的蓦然回首...            
(4星)	 还是第一部好看            
(4星)	 小时候不要太喜欢看这个，那时候觉得赵薇没有林心如好看，现在觉得还是赵薇美，这是为什么呢            
(NA)	 这部还勉强能看。。。            
(4星)	 的确好笑 晴儿 亮点......            
(5星)	None
(3星)	 美好的记忆            
(4星)	 那是怎样的似水年华            
(5星)	 本来都不想承认我看过你的。。但是在新版出来之后你的地位曾的一下上升了 不错不错 五星级 像琼瑶阿姨致敬            
(NA)	 太好看了！            
(2星)	 那会我姐姐挺爱看的            
(5星)	 第二部也很好看，结局完美了！            
(3星)	 一部不如一部啊。。。            
(4星)	 林心如的紫薇說話時總是點頭頭不暈嗎 趙薇的小燕子果真霸氣外漏不可取代            
(5星)	 如果要相信爱情 就要看琼瑶 如果看琼瑶 就不能不看还珠 。那种遇到了心动了就认定了天崩地裂不害怕了的感情。            
(3星)	 首播每十分钟电视剧插二十分钟广告。你可不可以不要这么火。            
(4星)	 比新版好太多。            
(5星)	 绝对的好看`~~越看越有味道            
(3星)	 没第一部好看            
(4星)	 和第一部比差点，但是和其他的比那就没的说了~            
(4星)	 最喜欢的就是这一部！            
(5星)	 我当年是有多喜欢这个剧=。=            
(4星)	 放太多遍了            
(2星)	 香妃英年早逝啊            
(3星)	 记得那时候还是会很期待，记得那时候每天和她一起看。            
(3星)	 第一部24集多精炼啊，这部完全为了凑集数，太拖拖拉拉了……            
(4星)	 刘丹多美啊。            
(4星)	 童年的回忆            
(3星)	 唉            
(3星)	 比第一部逊色。这种东西总是越拍越差            
(4星)	 冲着新还猪格格给四星。。。            
(3星)	 我的童年回忆！！            
(4星)	 香妃真的太可惜了！            
(NA)	 义薄云天，江湖情义，虽说好几年后被电视台播烂，长大后再看也不会在以为它有多么的完美。但是，那种友情，亲情的感动和澎湃是现在所谓的新版不可能体现的。            
(3星)	 囧            
(5星)	 紫薇太完美了            
(4星)	 经典啊！！！            
(3星)	 早年的电视剧背景音乐用的太多，太泛滥，听的耳朵都起茧子了。            
(4星)	 算是一部不错的续集了。            
(4星)	 和第一部风格几乎一样，一部神奇的电视剧。            
(3星)	 怀念小时候。            
(3星)	 最烦小燕子这部里跟个疯子一样            
(4星)	 怎么没有收藏。            
(4星)	 更喜欢一部            
(5星)	 看过新版的之后，才知道 老板的是有多经典，赵薇演的真好，，果然，什么都要有个对比的            
(3星)	 剧情有点乱来            
(5星)	 都过去十多年了~T   T            
(3星)	 今天看新还珠才想起忘记加看过            
(5星)	 既然有了对比，就把以前的分评上吧            
(3星)	 哎。尔康的喜感已初现端倪。            
(4星)	 经典            
(3星)	 完全不记得情节了已经            
(NA)	 很无聊但当年还是看完了。            
(4星)	 初中那时就是为了看芒果台的连续剧家里才装的有线电视！            
(4星)	 曾经影响我的爱情观的电视剧，爱情如果放在这个时代早就不值钱了，看了新版之后更喜欢老版的演员了。            
(4星)	 童年的回忆。            
(4星)	 怀念一下！            
(5星)	 小时候喜欢的，没办法啊            
(4星)	 每年都播 觉得好烦 新还珠出来之后 才知道它的美好 对比出效果             
(3星)	 第二部明显就差很多了.            
(4星)	 照比第一部差了点……            
(3星)	 小时候看的            
(4星)	 如花美眷，似水流年。            
(4星)	 明显变闹心了 例如紫薇!            
(3星)	 不怎么好了            
(4星)	 回忆啊回忆            
(1星)	 小时候不懂事，看完了            
(NA)	 = =            
(4星)	 蛮喜欢第二部            
(3星)	 少年明珠            
(NA)	 一和二都完整看了，三甚至四什么的……就让他们连同一和二随风飘散吧……            
(3星)	 莫第一部好看            
(5星)	 不错的续集，我喜欢看他们周游古代的中国            
(3星)	 续的总是失色            
(4星)	 小时候关于电视的记忆之一。            
(4星)	 不如第一部呀            
(3星)	 有一个姑娘            
(4星)	 必须支持            
(NA)	 我还是最喜欢这一部。            
(3星)	 没第一部经典啊，什么风儿什么沙的。苦了香妃刚红就没了            
(NA)	 。。。            
(NA)	 尼玛！好片子！            
(3星)	 一份童年回忆。            
(3星)	 吵吵闹闹嘻嘻哈哈的            
(2星)	 totally shit            
(4星)	 从小到现在一直都看不腻            
(3星)	 含香真漂亮            
(4星)	 各种刷条目            
(4星)	 续集明显没第一部好了            
(5星)	 芒果台每个暑假要放一遍            
(3星)	 香妃你死得好惨啊！！            
(4星)	 不至于这么差把。。。和第一部应该差不多            
(4星)	 虽然觉得确实老了点，俗了点，可是有时候还想翻出来看一看。            
(4星)	 退步了，幸好演员还是这几个。            
(3星)	 (*^__^*) 嘻嘻……            
(3星)	 童年呀~！！            
(3星)	 这部就更雷了            
(5星)	 我那时候好喜欢赵薇啊    拿着她的签名书到处炫耀    哈哈哈   满屋满书房都贴着小燕子              
(1星)	 怎麼都不膩啊那些人。 湖南衛視都不知道重播多少年了。沒點營養            
(NA)	 哎哟            
(5星)	 小时候有它来打发也不错            
(4星)	 这个续集还不错~~都不知道看了多少遍了            
(4星)	 第一部的拓展，满足了很多人的好奇，也包括我            
(4星)	 没什么好说的            
(4星)	 词穷            
(5星)	 小燕子，真的让人喜爱啊！！！            
(5星)	 陪着走过的童年，一晃十余年。新版都要出了，可它依旧是心中的最经典。            
(5星)	 还珠就是最红的神作，没有之一！            
(3星)	 第二部的时候我特烦赵薇。。。。。演的小燕子            
(5星)	 童年的回忆啊啊啊。。百看不厌！！！            
(4星)	 人员没换。所以勉强还行            
(3星)	 香妃、箫剑与晴儿。            
(2星)	 小燕子在这一部中完全沦为弱智和麻烦制造者……            
(4星)	 谁没看过？！！            
(NA)	 童年的回忆            
(4星)	 萌晴格格和箫剑            
(2星)	 第二部把全部毁了。再后面就直接是有病。            
(4星)	 續集什麼的反正永遠都比第一部差一些。。            
(3星)	 国产韩剧            
(NA)	 劫法場的當年            
(4星)	 有了对比才知道旧版有多好，放再多遍也不怕了！            
(4星)	 吐槽必备            
(3星)	 容么么             
(4星)	 哈哈。。            
(4星)	 不论如何，第一部第二部，小时候我有完整看下来的说~~~            
(4星)	 喜欢第二部 尤其是翰轩棋社那段儿~            
(4星)	 没有第一部经典~            
(5星)	 儿时的经典，现在的经典喜剧片……            
(4星)	 哈哈            
(3星)	 曾经看的挺开心的。恩！反正比新版好！            
(4星)	 以当时的心情打分            
(NA)	 相見不如懷念阿，所以別再重播了            
(3星)	 你是疯子，有点傻～～～            
(NA)	 曾经逃课也要看的电视剧啊！！！http://shop58153259.taobao.com/            
(3星)	 琼瑶阿姨……            
(3星)	 惯性看，还凑合            
(5星)	 芒果台，放了都快十年了，别再重播了，一年一遍的，搞得我一看到就换台。没听过“相见不如怀念”么？            
(4星)	 越拍越不好看看            
(4星)	 有些东西还是不要拍续集的好            
(3星)	 香妃香消玉殒了 跟俺同天生日呐            
(3星)	 编导等应该庆幸当年还没有蛋疼这个词。。。            
(4星)	 湖南台的光荣。            
(3星)	 真的没必要拍第二部。。            
(5星)	 哇，永恒的回忆，虽然现在看起来特别傻，但当年就是超级喜欢，箫剑，晴儿，还有香妃，红颜薄命，哀悼一下            
(3星)	 当年很喜欢，现在很狗血~            
(3星)	 听完的，有时候看看。感觉画面黄沙漫天，色彩远不如第一部鲜艳，庆典等部分拖沓累赘，对话更显夸张，尖叫声令人厌烦，硬生生把活泼可爱的小燕子演成了一个小疯婆。但可取之处还是有，所以说不过不失。            
(3星)	 第二部就比较纠结了            
(5星)	 人比人，比死人啊 = =            
(5星)	 到北京旅游，为了这个放弃游玩机会，宅在宾馆不肯出去            
(3星)	 还算成功的续集，年轻的我们依然追逐着，快乐着，爱情、友情、亲情揉合到一起。。。            
(2星)	 越来越离谱……            
(3星)	 每当电视上开始播放的时候，我就知道，暑假又来了。             
(5星)	None
(4星)	 那时 尔康的鼻孔 还没有成为标签。。。            
(4星)	 做梦也没想到，这部电视剧是湖南卫视拍的            
(3星)	 这个东西我居然坚持看了两部，现在想想真佩服自己            
(3星)	 一群人的逃亡。            
(2星)	 两星代表二嘛。            
(3星)	 那个时候喜欢老房有喜比第二部多。。。            
(5星)	 容嬤嬤！            
(5星)	 小学时候的最爱啊， 迟到了也要把片尾曲听完            
(4星)	 哦！            
(4星)	 2的小燕子很欠抽，但是木有办法，一定都要看的            
(4星)	 2            
(3星)	 二上映时，我腿骨折了            
(4星)	 其实截至到这里不刚刚好么 香妃刚红就出意外了 唉。。。            
(3星)	  完全没有第一部好。            
(4星)	 当年很红，自己也很喜欢，芒果台寒暑假必放剧集之一            
(5星)	 哈哈 家庭剧            
(3星)	 当时过年都不出门的看            
(3星)	 闹得过了            
(3星)	 太苦情了，但紫薇大婚那一块很浪漫            
(4星)	 小时候啊            
(5星)	 冲着那么美好的童年记忆给满星。虽然现在看着觉得挺雷得。            
(4星)	 o(∩_∩)o ~            
(4星)	 除了有点扯，其他都还好            
(5星)	 香妃……蝴蝶飞走……            
(3星)	 比第一部差好多啊！            
(4星)	 恶心            
(5星)	 还记得我们曾经的童真岁月吗？我们都曾是天真无邪的小燕子，只是不知道我们是否找到了各自的五阿哥，那位愿意为你浪迹天涯的人？            
(5星)	 感觉和第一部承接很顺诶 不知道怎么三就那么恶心。。            
(3星)	 谁敢说自己没看过这个？！！！            
(NA)	 童年的回忆            
(4星)	 小时候的最爱            
(2星)	 二看见那几个人都不爽，弃~~~            
