http://movie.douban.com/subject/2073623/	突围行动
(NA)	 斷斷續續的總算是看完了……於是我想喊怎麼日進就死了啊喂！=皿=+            
(3星)	 在看结局之前，是很好看的。。。            
(4星)	 看到马明死了 拉大结局看到肉肉死了 于是我看这剧的热情也就被浇灭了……            
(4星)	 吴卓羲很帅！很帅很帅很帅很帅很帅很帅很帅！！！我爱他！！！            
(4星)	 我的Ron！！！！！~~~~~这次还有马明....最后都‘牺牲’了.....            
(4星)	 剧情确实不错，值得一看，TVB终于让不该死的人死了，是为了突破老套的剧情吗？我还是比较喜欢老套一点的。遗憾不太适合我。            
(4星)	 我就是喜欢廖碧儿·~~            
(3星)	 很喜欢老演员，对新一代还真是没有爱啊！╮(╯▽╰)╭            
(4星)	 豪门深深            
(5星)	 我居然很爱廖碧儿            
(3星)	 结局太无语            
(3星)	 这剧总觉得缺点什么            
(3星)	 弃剧            
(2星)	 只是想让人知道近几年的港姐有多丑~~~            
(5星)	 因为吴卓羲才看的。米雪演技太好了，演坏人演好人都那么出彩。             
(4星)	 没想到这部剧这么精彩            
(4星)	 害人之心不可有，防人之心不可无!            
(4星)	 又喺台庆            
(NA)	 挺喜欢的            
(3星)	 廖碧儿太丑。。。。            
(4星)	 难得廖碧儿演坏人哦~！还是喜欢她甜甜的笑容，那样蛮可爱的！            
(5星)	 冲着米雪            
(5星)	 我觉得很好看啊            
(3星)	 第一次看到的很少在TVB剧中出现的悲剧。。。            
(3星)	 结局全灭太突然了TAT            
(5星)	 高中某个五一看的，看完之后纠结的一个月，哎……            
(3星)	 小手笔的家族戏，性价比还不错。            
(4星)	 不喜欢杨思琦徐子珊，长得怪怪滴...尤其恶心廖碧儿，据说她倒贴我们家林峰...马浚伟没有年轻时那么帅了            
(4星)	 造型OK            
(3星)	 现实生活中的向晴会把孩子生下来嘛……            
(5星)	 剧情很精彩很喜欢里面吴卓羲和徐子珊这对            
(3星)	 这部完全是看在吴卓羲的份上！！            
(5星)	 哈哈，对于我这个眼睛控来说，吴卓羲在这部片子里的造型真是吸引眼球，他的内心戏也比以前多了，进步实实在在滴。廖碧儿的造型也无疑比之前的律政新人王什么的好的多了。。毕竟是要以美色去勾引老板的=) 徐子珊。。。我就不提了，无语ing。。。。杨思琦就更恶了。。。实在接受8了这个洞洞妹。            
(5星)	 8错，喜欢马浚伟            
(4星)	 比较喜欢，可惜 卓羲 演的角色最后死了……            
(5星)	 这么多年来看tvb剧情算不错的一部            
(5星)	 很不错             
(3星)	 廖碧儿怎么能算是美女？！            
(4星)	 男的很帅气·吴卓羲死的时候我很不爽···            
(4星)	 吴卓羲             
(4星)	 几好看~演员五花八门~            
(4星)	 正义必胜            
(NA)	 好看~            
(4星)	 廖碧儿，ok!            
(4星)	 死太多了~！            
(NA)	 还是一半一半            
(4星)	 黄嘉乐挺帅的，就是没多红，可惜啊！            
(3星)	 三星給的是演員陣容。可是這個劇情。哎。不好看            
(4星)	 这类戏一般不会失水准，很紧凑，也都精彩。马仔很赞啊，徐子珊也不错。            
(3星)	 始终觉得杨思琦就是天生一张坏人脸。。。Bernice看久了蛮漂亮的！            
(3星)	 只看米雪姨和47姐            
(3星)	 tvb的老毛病，但是我家吴卓羲还是帅的。            
(3星)	 情节有点离谱了            
(5星)	 金枝》~            
(4星)	 连带片尾曲都喜欢            
(NA)	 当时很迷吴卓羲啊，他戴眼睛也有另外一种味道            
(4星)	 结尾有点草!            
(NA)	 我喜欢马国明的角色，不正经带有不正经，可爱。            
(4星)	 这部港剧可以看看            
(NA)	 小朗朗，你怎么就自杀了呢。。。小进进，你怎么就那么冲动呀。。。徐子珊丑到爆了            
(4星)	 討厭徐子珊  米雪演到好            
(4星)	 哎哟., 这部剧太纠结了            
(4星)	 米雪的反面角色演得不错            
(2星)	 烂片一个，内地还这么热播            
(4星)	 还不错，结局挺意外的。            
(4星)	 剧情不错            
(5星)	 吴卓羲！            
(4星)	 结局太惨了            
(4星)	 不错啊            
(5星)	 这部里额吴卓羲最帅了            
(4星)	 喜歡~思琦妹妹有突破呀~            
(5星)	 出乎意外的结尾！            
(3星)	 还行~肥皂剧~~不怎么喜欢廖碧儿~演技也不行            
(4星)	 不错~            
(4星)	 一直都很喜欢，TVB的商战警匪片。这是那段疯狂买碟的日子里，买的其中一碟。那段中午不回家，躲在办公室里看的日子。。。其实还是挺怀念的。。。            
(3星)	 结局之纠结的电视剧。            
(4星)	 大轉彎            
(3星)	 大结局那集在家看睡着，，还是过来日本，前几天才看完的。            
(4星)	 剧情很出乎意料！            
(4星)	 结局伐大好。。我还是喜欢大团圆。。            
(4星)	 马仔~~~~~~            
(4星)	 剧情不错            
(3星)	 斷斷續續睇            
(NA)	 马国明！！！            
(5星)	 好看了 真的很好看 因为我喜欢吴卓羲  所以  ^_^  好看            
(NA)	 真牛~            
(NA)	 可能是因为东方卫视截的七零八落的关系，又有可能是因为看国语配音的关系。。也许是因为没有自己十分喜欢的明星的缘故，总之不好看。            
(4星)	 还可以            
(3星)	 吴卓义在冲上云霄中我挺喜欢的，但似乎TVB不打算力捧他，同期出道的几个人都接到很不错的角色，只有他没有接着演让人喜欢的角色。马浚伟我也不喜欢。很可惜，这里的演员没有一个我喜欢的。            
(4星)	 心機片 我喜歡            
(3星)	 我又猜到了结尾~            
(1星)	 凸T T            
(3星)	 米雪果然老了。。。            
(5星)	 不喜欢徐子珊，演戏不太自然，还是杨思琦好一些，米雪也不错。            
(NA)	 这个电视剧看完我很莫明的笑了该死的不该死的  都死了            
(3星)	 佩服米雪的演技，但是我更喜欢看吴卓羲学警系列的，这一部，有些压抑。。。。            
(NA)	 tvb，一般            
(NA)	 干嘛好人都死了嘛！！！！！！！！！            
(5星)	 不错            
(5星)	 很喜欢看，剧情不错，只可惜日进就这么死了，没能看到自己的宝宝            
(4星)	 岳华在里面很有味道            
(NA)	 吴卓羲转型啦。。。            
(5星)	 看了N遍！喜欢这种有剧情的TVB            
(3星)	 算陪老妈看得            
(4星)	 很好看却总是没有完整的看一次，喜欢Steven            
(3星)	 大学。            
(4星)	 前面天国那个男的比较有味道；那只狗狗狗也不错            
(3星)	 冲着小马哥看的            
(NA)	 小马很帅，羲羲更帅            
(NA)	  居然看哭了.            
(3星)	 在家闲的……马浚伟还是那么可爱呀……            
(NA)	 可以，喜欢米雪和马俊伟            
(3星)	 做事要负责            
(4星)	 吴卓羲貌似有点演技了。悬疑片。            
(4星)	 精彩哦～            
(3星)	 仅仅因为我喜欢马同学            
(4星)	 开始很神……结尾有点过了……            
(NA)	 看上马浚伟了            
(3星)	 一般般的片子            
(NA)	 马浚伟帅头斯~~            
(NA)	 邪不胜正            
(NA)	 越到后面越精彩            
(3星)	 结尾太。。。。。无语了            
(3星)	 当两个大饼脸女人聚集在一起时~~怎么让我感兴趣？？？            
(4星)	 不喜欢徐子珊,喜欢roy_lulu.            
(NA)	 只能说一般。很一般。            
(NA)	 妈呀女主角好难看            
(4星)	 很“内地”的片名，无聊暑假的不错选择，其实还不错啦~~~女主角不行咯            
(4星)	 结局很无奈．．．            
(4星)	 越来越喜欢吴卓義            
(4星)	 喜欢吴卓羲吖~不错不错呐~            
(5星)	 就是喜欢看香港的！！很喜欢！！            
(3星)	 乱七八糟的片子。不是为了小玄子，我死都不会看。            
(NA)	 徐子珊~~~            
(3星)	 近期还好的电视剧之一            
(4星)	 假期剧，很久没看港剧了。女主都不够漂亮啊            
(5星)	 是不是說不出那叁個字，你就只能是我心里永遠的秘密？            
(NA)	 看过 结局感觉特快速            
(NA)	 还可以吧。人心呀，            
(3星)	  TVB             
(NA)	 还是 啊~            
(3星)	 背后的真相总让人 不知所措到疯狂            
(3星)	 最近在东方卫视有看~所以把它当做餐伴~            
(4星)	 和舍友们看的惊心动魄。            
(4星)	 结局。蛮悲的。            
(4星)	 死的人也太多了吧            
(3星)	 冲着马俊伟去的，但是，还是剧本！TVB，你难道都只拍一半的？为什么每次都是虎头蛇尾。。。            
(4星)	 吴卓羲这里终于变的内敛点了！            
(NA)	 虽然一堆的新人，但是很好看。米雪不到最后都不知道是坏的            
(4星)	 一直喜欢TVB的剧……            
(4星)	 虐心啊虐心......看得我虐死了......            
(1星)	 莫名其妙的结局            
(4星)	 超喜欢吴卓羲在这部剧里的角色，片子整体也不错            
(4星)	 渐入佳境的剧集,不错            
(5星)	 跟牛牛一起看的最喜欢的电视剧            
(NA)	 TVB一贯的作风，勾心斗角，最后的结局出人意料，男主角居然死了～            
(4星)	 男主角都是偶喜欢的，但是女的。。唉。。。            
(NA)	 米雪太年轻了。            
(NA)	 落了不少集，一直想找机会补上            
(4星)	 没的说，好看            
(3星)	 港片还是着样肤浅我想过几年就会出局            
