http://movie.douban.com/subject/1876781/	越狱  第二季 Prison Break Season 2
(4星)	 越来越牵强。。。            
(4星)	 死亡一直在身后不停地追赶 谁能逃脱成功            
(5星)	 就是喜欢越狱。            
(4星)	 NBA开场音乐用的是越狱的插花曲子~呵呵~搁置很久了，重新来看~（逃的那么精彩，居然又被抓回去了，囧）            
(NA)	 不错!            
(3星)	 渐弱            
(3星)	 比第一季差一个档次            
(4星)	 20090404            
(4星)	 没第一季好看            
(4星)	 没有第一部精彩了呢            
(3星)	 比I差 比III好些 总之 越拍越差            
(NA)	 T-bag很出彩            
(3星)	 有点偏离主题了，虽然最后又回到了监狱里            
(3星)	 差好多，差好多。。。唯一出菜的唯t-bag            
(5星)	 Stay Out. Stay Free. Stay Alive.            
(NA)	 精彩 !!            
(NA)	  ....            
(NA)	 越狱            
(5星)	 sara也很聪明            
(3星)	 凑合着看吧。            
(NA)	 不错            
(NA)	 拖沓了　往下不看了            
(4星)	 什么时候到头呀！这个肖申克的救赎的没边加长版            
(4星)	 不如第一季            
(5星)	 总算看全了……            
(NA)	 恩            
(3星)	 第一季很好，第二季马马虎虎，第三季……传说已经被腰斩了。            
(NA)	 超赞            
(4星)	 第二季居然喜欢上了几个反面角色，人性总是很丰富的.....            
(3星)	 开始下滑            
(NA)	 071021            
(3星)	 我快睡着了            
(4星)	 逃避总不如挑战            
(4星)	 有人说没１好看！　我认为见仁见智吧！一个在外面！一个在里面．．．            
(4星)	 第二季开始墨迹了……            
(5星)	 第一季 只有第一季             
(2星)	 第一季我给4星，缘由剧情设计颇为巧妙。第二季，迈克是一个自我为中心狂妄者吗？他身上留下给警探线索的刺青，不像一个高智商人士所为？明明可以来些谜中谜的，狗尾续貂的第三季没兴趣，更别说第四集，推荐绝望的主妇，反正咱有大收获。            
(4星)	 逃亡生涯。            
(4星)	 喜欢聪明坚强的人            
(NA)	 嗲            
(NA)	 很精彩啊，悬念重重，看完可以学学，以后没准就用在生活中了~~            
(5星)	 精彩！            
(NA)	 从逃出来到最后又进去！            
(NA)	 再一个通宵            
(4星)	 不如第一部好看            
(NA)	 越来越不好看            
(4星)	 唉，没第一季好看了            
(5星)	 经典            
(5星)	 没耐性看完，就看到这一季了．            
(4星)	 不如第一季精彩,可是依旧有追他的欲望            
(4星)	 。。。            
(3星)	 第二季没有第一季好看，个人观点            
(5星)	 比第一季好看N倍!!!            
(4星)	 Buck Mahone抢尽了Michael 的风头我觉着这真棒            
(5星)	 喜欢阿            
(4星)	 比前座稍有下降            
(NA)	 后面比较好看了            
(4星)	 虽然没有第一季好看，但还不错            
(3星)	 和第一季还是差了很多的。            
(3星)	 该死的第二部兄弟打劫实录            
(3星)	 不练英语听力的话,看一遍就够了            
(3星)	 提不起SEASON1的劲头来            
(4星)	 　很紧凑．等待第三季．            
(4星)	 借来DVD。可惜越看越觉得剧情冗长。            
(5星)	 喏的michael！            
(4星)	 有完没完?~            
(4星)	 其实T-bag很不错啊!演得太赞了!内心越复杂的人越有魅力.            
(3星)	 比第一部逊色很多，讨厌逃亡。而且我喜欢的人物上来就死了两个。            
(2星)	 变得没劲了            
(5星)	 越狱            
(NA)	 那种想一口气看完的冲动少了许多～            
(4星)	 看了第一季，有谁会不想看第二季呢？            
(NA)	 对wentwotrh miller上瘾……            
(3星)	 我够了            
(4星)	 我觉得前半部分好看            
(4星)	 依旧是还不错~~~            
(NA)	 run            
(4星)	 比第一部刺激点儿            
(5星)	 2007.06.08.            
(5星)	 虽然没有第一季好，但也不错            
(4星)	 不错            
(4星)	 接下来成了巴拿马越狱            
(5星)	 跌宕结局，第二季又以入狱而终……            
(5星)	 好緊張            
(NA)	 感觉不如第一季精彩            
(3星)	 还可            
(5星)	 第三季            
(5星)	 有智慧还得有胆量,敢于奉献,敢于牺牲自己,方能成正果!            
(4星)	 又名: Prison Break: Proof of Innocence导演: Brett Ratner主演: Wentworth Miller / Dominic Purcell / Sarah Wayne Callies / William Fichtner / Amaury Nolasco / Robert Knepper / Paul Adelstein上映年度: 2006语言: 英语官方网站: http://www.fox.com/prisonbreak/imdb            
(NA)	 michael入了个sona狱..又是圈套,一个像Linderman一样的背后操纵者要他进的套. Sucre不知死活,但是他为Maricruz.....唉~~ T-Bag好厉害可是又伤了一个手~ Mahone先生、Bellick先生进监狱,Kellerman死啦,Haywire死啦,Mr.Kim死啦,Tweener早死啦.abbruzzi也早死啦.反正好多人没啦.C-note一家团聚.Burrow和Sara在外面瞎跑            
(5星)	 虽然没有第一季好看,但总比其它中国的拖沓片好上一百倍.            
(NA)	 剧情太拖长了，再这样等下去我要神经了：）            
(NA)	 喜欢t-bag            
(4星)	 xihuan qidai            
(4星)	 喜欢 M .S!            
(4星)	 重装完机器，开始追 ---20070507终于追完了，等第三季 ---20070519;DVDRW&lt;200703300000&gt;+&lt;200705190000&gt;; -End-            
(NA)	 还得接着往下跑吗？            
(5星)	 cool            
(5星)	 很不错的电视剧            
(4星)	 比第一季稍逊一筹            
(5星)	 期待!            
(NA)	 第2部进行中            
(NA)	 还有第三季。。。poor kellerman。。。            
(4星)	 終於看完了，最後我有點快崩潰的感覺…想到了萬劫不復            
(NA)	 已经满足我。。            
(NA)	 还不错            
(5星)	 虽然磨几，但还真放不下            
(4星)	 第二季拍的还是不错，但结尾的两集，有点乱，不合情理的事情也出来了。            
(NA)	 绝对经典，每一步都是一个巨大的悬念，个人认为很少再会有一部作品能超越此部了！            
(NA)	 人性向善            
(4星)	 男人需要智慧和勇气            
(4星)	 不是我说什么，第2季明显开始拖了。            
(5星)	 鼎力支持，一定要看！！            
(5星)	 完了...迷死人了..            
(2星)	 失望            
(NA)	 cool            
(NA)	 好看            
(4星)	 追得我呕心沥血肝肠寸断啊啊啊            
(3星)	 逃出来之后才发现，原来世界才是个大监狱。            
(3星)	 正在看。。。            
(4星)	 逃亡，还有牵挂            
(3星)	 全            
(4星)	 Wentworth Miller，你真的很胖。T-bag真的很型。哦也            
(4星)	 比第一集退步不少，故弄玄虚经常            
(4星)	 看看人家的连续剧是怎么拍的。            
(4星)	 期望不高 失望不多            
(NA)	 一般．没时间看完            
(4星)	 时刻紧跟            
(NA)	 还是爽            
(5星)	 真期待啊..            
(NA)	 http://blog.ie88.cn/article.asp?id=72            
(3星)	 从此以后不追越狱            
(5星)	 元旦假期刚看完，好就是好，我简直入迷了            
(5星)	 每个星期等一集，快发疯了            
(NA)	 Brett Ratner            
(NA)	 Prison Break: Proof of Innocence            
(3星)	 感觉不如第一季拍的好了            
(NA)	 不用我说了吧            
(5星)	 继续关注接下来发生的故事……            
(NA)	 聪明冷静的帅哥            
(5星)	 真的太好看了            
(5星)	 希望不要变成LOST！            
(NA)	 非常好啊            
(NA)	 s02 追 只是期望太高了            
(5星)	 麻油，还有第三季。有罢看的念头了。            
(NA)	 第3季我已经没那个耐心看下去了,也许等寒假的时候在一次性全部温习一遍!!            
(NA)	 正在看，剧情不错！也许是因为国产电视连续剧太差，才让我的眼前一亮！            
(3星)	 没1好。            
(NA)	 经典            
(NA)	 06.10            
(5星)	 MS太迷人了！这是一部难得的非常吸引人的剧集！这次豆瓣的推荐太准了！            
(5星)	 这一季增加了很多血腥的成分，而且觉得没有第一季那样有智慧了。            
(NA)	 正在看第二季            
(4星)	 大二，未完成。            
(NA)	 谁人不看PB            
(5星)	 What can I say?I&#39;m a crazier MiSa shipper now.            
(3星)	 鸡肋            
(NA)	 Scofield出了监狱就不帅了～            
(3星)	 很久的事儿了，没再看下去。            
(4星)	 看了一半，下一集要等到一月22号。漫长啊~~这部电视剧情节跌宕起伏。好看！            
(NA)	 很不错的电视剧            
(5星)	 非常好看。            
(NA)	 下一集快出来~~~            
(5星)	 perfect!            
(NA)	 没看完            
(NA)	 我们还要逃多久？？            
(3星)	 叹编剧，赞演员~~            
(5星)	 没天理啊。第二季怎么可以依然这么好看，michael怎么可以还是那么滴帅。啊，啊，啊，昨晚看到第十集，sara被枪指着，下一集要等够一周，吐血啊。老娘是等不及出碟子了，明天去网吧拷最后三集。nnd。居然还要冬休，用13集就把我们打发了。愤！！！！            
(NA)	 紧凑            
(5星)	 十分惊险`剧情吸引人`            
(NA)	 常常出乎意料之外  意料之外的剧情 意料之外的好看            
(NA)	 美剧            
(NA)	 Super men!!!            
(5星)	 又进去了。。。            
(4星)	 没第一季好了            
(5星)	 天才的罪犯有了对手，编剧依然是天才            
(5星)	 每个星期一集，还动不动停播几周，看起来太慢鸟～～            
(4星)	 第一季很沉迷的看完了，第二季就少了一些兴趣，不过还是很好，看到了第7集，剩下的还没来得及看。            
(3星)	 重复感更强了。            
(NA)	 等待下一集是痛苦的            
(5星)	 关于道德、法律、政府权力和个人自由的界限            
(5星)	 经典            
(5星)	 20061108            
(5星)	 太聰明的男人。            
(3星)	 延续了第一季的风格，越狱第二季仍旧是极力的塑造着惊心动魄的氛围，但是全剧过多的高潮反倒使得没有一个高潮比较突出，相比第一季略显不行            
(3星)	 比第一季差远了，编剧以及MS智商已经用尽……            
(NA)	 haokan             
(NA)	 还以为不会死人呢            
(NA)	 Dominic Purcell有些像卡那瓦罗            
(5星)	 聪明人无数。也想挤身。            
(NA)	 Michael Scofield是一头陷于绝境欲拼死一搏的怒狮，他的兄弟Lincoln Burrows几个月就将被以谋杀罪处以死刑，但Michael坚信他是被冤枉的。为了拯救了自己的手足，Michael抢劫了一家银行，因此而被与 Lincoln关进同一所监狱-- 福克斯河州立监狱。作为一名建筑工程师，他对监狱的建设蓝图了如指掌，带着Lincoln逃出生天也成为Michael入狱的唯一目的。            
(5星)	 很刺激            
(NA)	 已经成为习惯，bt下载然后和朋友一块看看，虽然确实没有第一季好看了            
(5星)	 帅哥@#￥%……            
(NA)	 越来越迷茫            
(NA)	 烂就一个字            
(4星)	 果然流浪天涯，却没有亡命的味道，到处都还会看到和蔼可亲的面孔，通缉犯呀！！！            
(4星)	 看到第七集，看到Michael说犯罪就是犯罪、犯罪已经成为了事实的时候。忍不住还是觉得很感慨。洗雪沉冤与新的犯罪。。。            
(NA)	 一群疯子在做疯事            
(5星)	 我的小温帅得一塌糊涂。。。            
(2星)	 期望太高            
(3星)	 同前            
(5星)	 比第一部精彩。            
(5星)	 有个计划可以导正一切            
(5星)	 终于看到了T-bag人性的一面，顿时对他的憎恨少了80%。看到sara跟麦克重聚，心里别提多开心。            
(4星)	 第二季讲逃亡我感觉一般般            
(5星)	 这个雪球滚到后面让我有一种很不爽的感觉。            
(4星)	 有点烦，情节一直没玩没了。但是，真的很有味道，值得一看。            
(4星)	 四星为了马宏~            
(5星)	 一直觉得2季是系列中最好的            
(4星)	 at least it did make me cry.            
(4星)	 7.9分            
(4星)	 2011年5月到7月陆续看完越狱第一季到第四季以及最后一越，我还是最喜欢第二季。            
(3星)	 再不追这种东西了。。。。            
(4星)	 相較第一季，本季稍有退步，但劇情還是相當值得一看！            
(4星)	 跟第一季比差很多 但肯定比后面几季有看点            
(5星)	 虽然没有第一部精彩 但同样好看            
(5星)	 高潮多了就疲了、但是一定要看完            
(3星)	 第二季明显有点敷衍了事了            
(2星)	 我已经没兴趣了。。。。            
(5星)	 Paul Kelleman，我爱你的双下巴！！！            
(5星)	 不死的T-bag            
(3星)	 不好玩了            
(4星)	 观众疲劳了，编剧跑题了。到此为止再也没关注过第三季。            
(4星)	 展开逃亡的生涯。            
(3星)	 情节不够紧凑 开始胡编乱造了            
(4星)	 笑容美，手指美，牙齿美，声音美，完美小基友啊！！~~~              
(4星)	 跟第一季相比细节弱了点，但是依然精彩！            
(5星)	 在不断的大逆转下，体验人性的转变，我觉得不比第一季差。            
(4星)	 没第一季精彩，但还是不错的，文特沃斯·米勒 真是太帅了···也许全靠他撑场面了            
(4星)	 比第一季差一点，比第三季好一点，哈哈            
(3星)	 越狱，抹不去的经典。爽到爆，不过越来越走向韩剧了。            
(5星)	 感觉和第一季一样哟。很不错            
(4星)	 看三天都看晕了~~            
(3星)	 不如第一季了 审美疲劳            
(4星)	 逃亡之路            
(4星)	 有点审美疲劳 追了一半，没追下去            
(5星)	 几爷子心理素质都超强，迈克实在太迷人，Kellerman没挂吧T_T，每次看到T-bag舌头舔嘴唇的镜头我汗毛都竖起了，真心变态，特别是那只手。            
(4星)	 潜逃            
(5星)	 8.3            
(3星)	 这部开始就不好看了            
(5星)	 我觉得第二季不比第一季差，逃亡过程非常残酷。。。。            
(5星)	 从这里开始看的，从此便爱上了越狱            
(5星)	 Wonderful!            
(4星)	 如果是追着看的，肯定给憋死，根本停不下来，好看。            
(5星)	 经典            
(4星)	 越狱看完两季我就满足了。            
(5星)	 第二季也挺好，越来越吸引我，不过第二季的尾巴不太令我满意，哈哈，仅个人之见，同样大爱！！~~            
(5星)	 对比第一季始终围绕逃出去这件事而言,第二季的主线有些散,甚至可以说完全是条没有灵魂的主线,有时候大变小变,整个环境瞬息万变,但看穿了总会有一股力量在平衡,在维持一些准则,比如主角不能死什么的            
(4星)	 大学时的最爱            
(5星)	 悲伤的一集…T-bag的身世…以及悲伤的爱情。阿布兹被背叛…这一季是一阵逃亡路同时在掘金啊            
(3星)	 第一季看了半个月，第二季看了半个晚上，这就是差别。            
(4星)	 开始凑了            
(3星)	 2011.8.2-11.2 第二季来了，还以为出来了会很好看，结果，一开始暑假时一天一集，后来上课了，觉得也没那么好看了，就一星期一集，一定要把它看完，最后无聊到一个星期一集都不愿意看了，后面更不可能看了，真是无聊，人越来越少，写来写去还是那么点破事，真是受够了            
(5星)	 逃亡之旅            
(4星)	 还是比较喜欢外面的风光啊。。可惜又进去了= =            
(5星)	 必须五星啊，因为是唯一一部看全的美剧。。。。。那个追啊，找个假期再看一遍！            
(4星)	 第二部开始扯淡。            
(5星)	 编剧也太虐了吧....            
(4星)	 到后来，就开始担心为什么一直不完结。。。            
(4星)	 没有第一季那种环环相扣的感觉了，剧情开始缓慢化，激情也消退了，后面2季也没多大兴趣看了。            
(5星)	 兄弟们这季还是很帅~            
(4星)	 接着第一季的势头，还勉强吧            
(5星)	 必须五星 第二季在家里几口气就看完了 SONA的日子一直让人提心吊胆            
(3星)	 已经开始阑尾了...            
(3星)	 乱得一塌糊涂，每集都是几条线的............            
(3星)	 首先这不是越狱了，然后那个谁谁谁眼的EBI不错，蛮有张力的。。。            
(4星)	 看到这部的时候，大概猜到了电视剧的方向，或者说模式。            
(NA)	 只能说，太赞了！剧情十分紧凑，跌宕起伏            
(5星)	None
(3星)	 唉，不行了            
(NA)	 男人还是聪明的好            
(5星)	None
(4星)	 还是不错不错不错哒哒哒            
(4星)	 没有第一季好看了，但是还是很好看，不过我追不下去了。            
(3星)	 印象不深了。。            
(5星)	 Happy time is too short.            
(4星)	 真是纠结，意外就像大姨妈，知道会有，却总是跟预想的有那么一点不一样            
(5星)	 依然很好看~Mahone是亮点的~高智商对高智商~            
(3星)	 第二季太扯淡了，基本到了编剧想要剧情怎么发展就怎么发展的境界            
(4星)	 第二季开始就是本剧向一坨屎高速迈进的开始            
(4星)	 凑合。。。            
(4星)	 没有第一季出彩 这一季注意走感情路线 。有时略感 冗长。剧情有些拖沓 。            
(5星)	 第二季和第一季比就渣了很多            
(4星)	 論精巧, 不如S1, 很多綴余和突兀, 有些捉襟見肘. 開放空間和更加明確的多線敘事讓Michael的leader形象大打折扣, 暴躁, 陰鬱, 軟弱, 常常驚慌迷亂氣喘吁吁, 鼻音沉重語調冷酷(其實很變態的享受這種sexy). 但引入不可知因素也是不得已, 驚險刺激是够了.             
(4星)	 虽然情节老套，但还是很精彩，喜欢！！            
(NA)	 对口味！            
(5星)	 - - 原来生活大爆炸里面的佩妮在越狱第二季中跑过龙套，难怪那么眼熟，终于追到好几年前看的第二季了，还有两季就结束了。            
(5星)	 我很喜欢kellarman。另外 第二季就是各种大反转 有点hold不住&gt;&lt;。            
(4星)	 编剧想奏满22集，鉴定完毕。            
(4星)	 第二季最好看，个人觉得            
(5星)	 今天听到Orange Sky，想到越狱了，小偷David 对小美女的告白，像是刻在脑子里的画面，挺感动的            
(NA)	 可怜的迈克啊            
(4星)	 虽然越狱注定成为不了经典，但至少他曾经让我那么深爱过。我的美剧启蒙~            
(4星)	 当时第二季看的很明显没有第一季认真投入~            
(NA)	 第二季马宏和迈克的对决是看点~！            
(3星)	 美剧的老套路，看到一半就不想看了……            
(3星)	 果然所有的美剧还是第一部好看哎            
(5星)	 挚爱~            
(5星)	 太狗血了！！！好好过日子成不！！！！第二季比第一季好看，就算你智商再高，还是有很多方面难以控制~            
(3星)	 爱小偷和疯子。。。。。            
(4星)	 比第一季好。。。            
(5星)	 超精彩            
(4星)	 这一季重在写情感啊，都是弗洛伊德那一套来解释罪犯是如何养成的……            
(5星)	 为什么越狱的一整套里我最喜欢的是第二季，喜欢在城市里逃亡的那种感觉。            
(5星)	 我是来围观温土豆的            
(5星)	 两天是两季，唉，最不喜欢看悲剧了。不得不说人性的挖掘都很不错。            
(4星)	 有点儿冗长了            
(4星)	 越狱系列直接看的第四季，2011上半年的时候无聊拿出了第二季看了一遍。            
(4星)	 追追追，跑跑跑，逮逮逮，死死死。。。            
(3星)	 无法超越第一部，而且个人认为这部是最糟糕的一部，但是出现了一个很吸引人的人物：马宏。            
(NA)	 just soso             
(NA)	 霸气！            
(5星)	 到底要哪般嘛~            
(4星)	 比第一季差了一些，不过爱情是个亮点，好            
(5星)	 最好看的            
(4星)	 看美剧就是消磨时间非常好，可tmd也太墨迹了，有点受不了了            
(NA)	 第二季就有点开始渣了。            
(5星)	 看完我现在都怕警察            
(5星)	 ！            
(5星)	 还是觉得很棒            
(5星)	 最喜欢这季：因为把人性刻画得很丰满。            
(4星)	 没第一季好看            
(5星)	 越狱             
(4星)	 好像看到这季开始或者第三季 很喜欢哥哥 哈哈 后来又木有感觉了            
(4星)	 逃出去只是换了个更大的监狱。            
(3星)	 前几集还行。。。            
(4星)	 又一次软实力的冲击！真是经典的美剧             
(3星)	 拖戏            
(3星)	 这季开始就水了            
(NA)	 最近看得有点多有点晕            
(4星)	 看到这一季就可以了！            
(5星)	 high！            
(5星)	 相较之下我更加喜欢监狱里面尔虞我诈的你们~            
(4星)	 第二季就看不进去了            
(5星)	 亮点是引入了马猴            
(5星)	 mahone，大爱mahone            
(5星)	 看越狱 过四级            
(4星)	 美剧启蒙            
(4星)	 质量与第一季相比有所下降，但还算精彩。            
(4星)	 监狱在哪？            
(5星)	 真好看啊真好看            
(4星)	 通宵看完～            
(4星)	 没完了。。。            
(5星)	 Be the change you want to see in the world            
(4星)	 公认的只有第一季最经典。。。不过我倒认为整个水准都差不多，后面并没退步太大，第一季也不至于非常经典。。。我更赞同第一季只是因为进入中国的时机刚刚好的观点            
(4星)	 其实在这一季结束蛮好~~ micheal 和 sara 在一起  linc恢复自由~~ 总统倒台 恶人入狱~~            
(3星)	 第二部有点微扯……            
(4星)	 C-note一家让她流泪，忘记的如此夸张让我崩溃。。。            
(4星)	 C-note一家让我掉眼泪            
(5星)	 每次剧情不需要的人都会死掉，编剧能不能放掉一些无辜的人啊。。。。            
(4星)	 逃亡的过程有点伸长            
(4星)	 几处不通情理  T-Bag是个bug            
(4星)	 这是寻宝记            
(5星)	 Alex的主打秀            
(3星)	 大哥真是个二B。越看越没功。            
(5星)	 还可以 不如第一季            
(4星)	 我晕，麦克又入狱了，巴拿马的监狱相比美国的就差太多了，还有冤家马宏一起，看3里麦克怎么再继续越狱了，结尾的时候如果拿着钱和医生林肯一起走了多好。第二季真的没有第一季好看节奏就算一直很紧凑也由看腻的时候，阿布和偷东西的小子死的很可惜，同性恋帝派格角色即让人同情也招恨，就他杀的人最多            
(3星)	 不如第一季。            
(3星)	 编不下去了            
(4星)	 脱狱不如越狱            
(5星)	 最爱第二季            
(5星)	 好看            
(4星)	 第二季用尚可来形容吧            
(NA)	 没有看完，如果没有那个精神病人，我早就放弃它了。            
(5星)	 有些鬼扯了，但还是不错的。            
(5星)	None
(4星)	 在整个系列中，这一季还是算好看的，虽然不如第一部。            
(5星)	 经典            
(5星)	 也还不错。。            
(4星)	 比第一季逊色好多。。            
(3星)	 看的第一部美剧。终于强忍着看完了。            
(5星)	 第二季已经不如第一季紧凑好看了            
(NA)	 对结局不满意            
(4星)	 在更加广阔的天地越狱            
(4星)	 下坡路的开始- -            
(4星)	 初中看的，第一部美剧            
(4星)	 喜欢第二部超过第一部。结局定在这一季多好。            
(3星)	 去年全部看完 ，我还得接着回顾 。            
(4星)	 情节性的美剧总是越播越苟延残喘            
(NA)	 越狱2.            
(5星)	 呵呵，花一个周末看这个电影啊！很牛很牛，学习不少！正在下载第三季！！！            
(NA)	 ★★★★★★★★            
(4星)	 那时候还是很迷的。            
(5星)	 茶包。。            
(5星)	 唯一看过的美剧            
(3星)	 只是感觉最好那家伙出现的太扯淡了！！            
(4星)	 最精典的依然是第一部            
(4星)	 我滴个小心脏..            
(5星)	 这一季太多感人的细节，每个人物身上都有跟家庭、童年、责任相关联的悲剧性。我们往往不能完全定义一个人的好坏，无论是Michael，Lincoln，还是T-bag和Kellerman，还有Mahone。唯一能确定的是Kim和那个Belick真的挺讨厌的。            
(NA)	 精彩！            
(4星)	 有马洪也值4颗星呀            
(4星)	 已经不管喜欢与否，只要平安活着就行            
(4星)	 当年这个气氛对我来说紧张了。。那时我也狂做噩梦            
(4星)	 马宏蛮帅的！第二季也还不错~            
(3星)	 美剧就是不会见好就收。。。唉。。            
(4星)	 越狱才刚刚开始            
(5星)	 其实，这个电视剧就是拍给外国人看的。当然我觉得第二季最好看。            
(4星)	 有点罗嗦            
(4星)	 还行            
(4星)	 接着第一季，也好看            
(5星)	 五分            
(4星)	 不如第一季。            
(4星)	 本季开始掉色......            
(4星)	 主要讲的是第一季那些人背后的故事，还是值得一看的，不幸的人真的各有各的不幸...            
(4星)	 一季不如一季            
(5星)	 稍逊第一季。            
(4星)	 有越无狱            
(NA)	 谁会再跟我一起天天捧着爆米花在教室偷摸的看            
(4星)	 米帅你真帅！            
(4星)	 最近又在复习。            
(NA)	 自由的奔跑            
(4星)	 第一季是经典（五星），第二季是画蛇添足（四星），第三季以后就是狗尾续貂了（三星）。            
(5星)	 一环扣一环，欲罢不能。经典            
(NA)	 好看            
(3星)	 不如一精彩 麦宏比较有看头            
(NA)	 功夫茶具            
(5星)	 这一季的感情戏看得我十分纠结❤            
(5星)	 1 2季非常好看            
(3星)	 很一般            
(3星)	 紧都没翻出去我有点焦虑了            
(5星)	 遇到对手，才算是真的挑战！            
(5星)	 第二季接着第一季的故事，感觉还不错。每个人的故事和性格都很到位            
(5星)	 喵~我竟然看到ｐｅｎｎｙ的友情出演@生活大爆炸            
(5星)	 这里没有傻子  工于心计  精于算计 处世            
(4星)	 明显木有第一季给力啊～～            
(3星)	 好吧，我坚持看完了第二季，一集不漏，高三时期我容易嘛我            
(5星)	 这场自救，牺牲了太多太多，不免要怀疑是否值得。            
(5星)	 有人说第二季开始PB走下坡 不过我觉得第二季反而更加刺激些            
(2星)	None
(4星)	 紧接第一季还不错。            
(5星)	 第二季最好看，第三季又要变得提心吊胆了╭(╯^╰)╮            
(NA)	 高中。怎么能忘记Haywire:P            
(4星)	 那时候追“越狱”时已经出到第二季了，所以两季差不多一气呵成看完的。第二季他们已经逃出来了，虽然剧情上没有第一季精彩，但仍不失为一部优秀的美剧，还是挺不错的。            
(4星)	 算是一个结局吧，后面就不咋地了。            
(4星)	 越狱第二季，水准略有下降            
(5星)	 个人感觉第二季整体上最精彩            
(4星)	 记得第一次通宵一口气看了7到15集。            
(5星)	 要怎样表达我对你的爱！！！！！！！！！！！            
(NA)	 好不容易出来了，最后又进去了            
(4星)	 补            
(5星)	 简直是深爱sara            
(4星)	 第二部有那么一点点弱 但是趁着第一部的兴头 还是一夜看完了            
(4星)	 Paul就这么死了，为毛线我这么惋惜。我一直以为他最好的结局应该是协助Micheal他们一起扳倒Company，其实他是蛮有能力的。好吧，拖拖拉拉了一个多学期，终于看完这一季。不纠结，继续第三季。            
(3星)	 还行            
(4星)	 season2 22episodes(2006)。第二季比较散乱，Kellerman这个人物不错            
(5星)	 真是喜欢t-bag，Robert 演的非常非常好，            
(4星)	 看马洪的            
(4星)	 Mahone,这季出来的小惊喜.            
(4星)	 第二部还可以            
(5星)	 喜欢、            
(NA)	 每个人离开时都如此动容，尤其是haywire。熟面孔啊，demi &amp; penny            
(5星)	None
(5星)	 啊哦，怎么最后一级麦克又被抓进去了啊！！！唯一不同的是这次是在巴拿马！            
(5星)	 其实最爱的还是第二部            
(5星)	 如果說上一季是看邁克如何越獄，那這一季的看點就在于T-Bag和馬洪兩位。。            
(5星)	 迈克尔发福了、            
(4星)	 看了头几集就看不下去了。            
(NA)	 逃亡的日子            
(5星)	 T-bag真是坏到极致了，好演员！            
(NA)	 林肯和LJ就TMD拖後腿的            
(3星)	 马洪探员越发鬼畜和神经质，但剧情越来越残。第二季果断弃之。            
(4星)	 当时看了第一季就把第二季也看了，不过后面就没劲就停了 。            
(4星)	 Utah！！！            
(5星)	 这应该是我第一次看的美剧。            
(4星)	 绝地大逃亡啊！帅的不像话的michael!绝对是最优雅，最温柔，最有头脑的犯人！            
(5星)	 萌神死了QAQ希望下辈子能去荷兰。T爸让我心疼……哎……            
(5星)	 只要跟纹身地图有关的其实都还不错。            
(5星)	 其实这是我最喜欢的一季越狱 每个人物刻画地也很仔细真实 能让人爱上里面每一个角色 也能学到很多东西            
(5星)	 第十五集惊现Penny~~            
(4星)	 逃亡季。            
(4星)	 不得不说越狱的编剧很有才，情节很紧凑，故事发展往往都在人们的意料之外，看得很过瘾，里面人物都在不断变化中，很有新鲜感。            
(4星)	 与第一季一样，剧情扣人心弦。导演在为延续这部电视剧长度上可谓煞费苦心、屡次采用追加镜头把剧情发展趋势扭转了，相似镜头过渡的转场方式在片中可谓屡试不爽，让人多少有点腻歪。            
(4星)	 持续不错的势头，高智商的对决我最欣赏了            
(4星)	 感觉没有第一部好看。。但是这一部也不赖。。安排了个厉害的警探。故事十分有看头！！还是值得一看的。。。            
(3星)	 没看完实在不想再看了。。没第一季好看了。。知道结果以后反而失去兴趣咯            
(5星)	 节奏还行，挖钱和最后有一段有点无聊~总体说来还是挺好看的~            
(3星)	 没以前好了。            
(5星)	 逃亡期间各种惊险。            
(5星)	 那个眼神真那个深邃呀            
(5星)	 意料之外，情理之中，惊心动魄！            
(4星)	 没有第一季那么有激情，但是比起其他的来说还是非常好看的            
(5星)	 我喜欢第二季不亚于第一季，各种情。            
(3星)	 神经衰弱了我要。。            
(4星)	 第二季值得一看            
(5星)	 竟然没标记！！            
(5星)	 这一季依然值五星。            
(4星)	 第一二季好像是连续拍的，一点没有断。所以，还是支持！            
(5星)	 唉  一群好人             
(5星)	 15集出现penny。。。18集出现草泥马。。。==！            
(4星)	 比较喜欢看Lincon            
(3星)	 应该拍完第一季就别拍了。。。            
(4星)	 追了4年的美剧...也是第一部看的美剧            
(4星)	 第二季末尾，又进了监狱，我崩溃了，果断放弃！            
(3星)	 剧情拖沓没劲了            
(4星)	 茶包实力诠释了他自身的悲情。            
(2星)	 第二季太散了            
(3星)	 第一季的压力太大了。。。第二季跑啊跑的看着累啊            
(4星)	 博弈。            
(5星)	 Michael有能，但是太善良，甚至软弱。            
(5星)	 其实我觉得这一部蛮好的，大爱Kellerman！            
(2星)	 第二季真心无聊。。            
(5星)	     第一第二季都是完美的。            
(5星)	 第一第二季最好看            
(5星)	 为啥我觉得第二季比第一季好……            
(NA)	 那个神经病那么萌点干嘛写死啊！            
(5星)	 说实话，我喜欢第二季多过第一季，因为第一季就是在牢里面，设法出去，出不去，再设法出去，又出不去的循环，在看到要从水管那出去因为被换掉了而出不去的时候，我彻底对越狱丧失兴趣，隔了好久好久，才又因为没剧看而看起的。第二季就好多了，内容很充实，也刺激多了。            
