http://movie.douban.com/subject/1304397/	欲望都市  第一季 Sex and the City Season 1
(5星)	 经典，都是偶像啊。            
(5星)	 For girls             
(NA)	 这么忙的时候本来不该看电视剧或者电影的，可我总觉得连续工作一天再加上一晚上，不是我要的生活。所以就堕落地看几集。前几年不怎么喜欢这个电视剧，可现在年龄大了，谈恋爱、结婚了，突然觉得很温馨。            
(4星)	 Well, sometimes what they have said and done is fucking right~Got it~            
(5星)	 草，还差两集，不过确实好看得紧啊            
(3星)	 看了一点点，还是喜欢好想好想谈恋爱            
(NA)	 2010的春节假期，又看了一遍。            
(4星)	 abso-fucking-lutely good.            
(4星)	 看美剧从此开始            
(NA)	 hate            
(4星)	 6            
(5星)	 我想要的生活            
(5星)	 大爱~            
(5星)	 不多说了，经典            
(3星)	 不喜欢这样的女人跟男人 但美剧的快节奏还是有魅力            
(4星)	 其实这片我还算是很喜欢的，carrie的声音很好听，但是对big先生完全不感冒。看到最后（包括电影），竟然谁都不喜欢了。            
(5星)	 和女友们必看的一部电视剧~真的教人成长很多            
(5星)	 可以说 这是经典中的经典。女人都能从中找到些许自己的样子或者完全对号入座。            
(5星)	 经典中的经典，不只是性，还有爱情            
(3星)	 演员不行            
(5星)	 amazing&amp;interesting            
(5星)	 记得我们在中国她们在美国            
(5星)	 都市女性爱情励志片。            
(5星)	 大爱啊...            
(4星)	 依然好看            
(5星)	 我以为你是big，居然证明出来你不是。呵呵只有carrie能拥有他。            
(4星)	 s01~S06 最喜欢那个律师姐姐            
(5星)	 谁没看过呀            
(4星)	 道理是说得不错。但咱还是爱情节性强的。            
(5星)	 全六季地址  http://www.verycd.com/topics/435712/ 很是感动~~            
(5星)	 别惹我点你。            
(5星)	 念其影响深远            
(NA)	 可以学会很多限制级名词。            
(4星)	 那個女豬腳真是越看越恐怖~            
(NA)	 不适合我看            
(5星)	 原来最喜欢凯莉  后来最最最喜欢的确实真性情的萨曼莎            
(3星)	 没什么兴致看下去。。。            
(3星)	 无视sex，city很棒            
(4星)	 女人，女人电影，不柔情不女权，就是单纯的女人电影，喜欢            
(5星)	 还好 爱情的小缩影 40岁亦不断追寻            
(4星)	 拖拖拉拉好几年，终于把六季全看完了。个人觉得第五季极滥，但作为结束季，第六季还是不错的，最后两集甚至几度眼眶发热。            
(4星)	 陪伴我的CPA时光……            
(3星)	 广告大餐            
(5星)	 正式上升为本人最爱看的电视剧。            
(4星)	 想看二~            
(3星)	 满耳的fuck&amp;sex，不是我的type            
(4星)	 促使我重新开始美剧的片子            
(5星)	 昨天终于把全六季全看完了。。。是我除了老友记以外唯一一部能坚持看完的美剧了-0-Carrie最后果然还是和MR Big在一起的啊~~。。。所以我相信，有些人兜兜转转一个圈还是会走到一起的，嗯……            
(4星)	 第六季童话式的匆忙结尾 实在让人有被骗的感觉            
(5星)	 it&#39;s fabulous            
(3星)	 只是不斷感嘆演員尺度大……            
(5星)	 icon级别            
(4星)	 看了才了解美国人生活的态度是怎样的            
(5星)	 Carrie是所有傲娇女人的浓缩            
(4星)	 open的生活其实是好的~            
(NA)	 最感动我的不是别的，就是她们的友谊            
(5星)	 唯一全部看完的一个美剧，很经典，很现实            
(5星)	 i&#39;m totally proud of myslf having 4 friends like carrie did.the last episode is very moving and i coundn&#39;t help crying             
(4星)	 太多朋友推荐，但一直没看。最近闲在家，于是一气呵成。很纽约，很真实的剧情。Falling in love with Mr.Big,abso-fucking-lutely……            
(5星)	 喜欢这个剧集~~~            
(3星)	 不是我的菜            
(5星)	 时尚城池中的浮华梦和真实生活里的赤裸裸。女人，是多变的时尚体。            
(NA)	 不错            
(4星)	 Happy Ending~~            
(5星)	 做牛B女人的宝典呐FRIENDSHIP, LABEL,RELATIONSHIP AND SEX.            
(5星)	 曾经的最爱，将来不知道，还            
(4星)	 我很很很不喜欢不喜欢不喜欢 carrie            
(4星)	 挺不错的一部片子，题材量多且富有特色，只是东西方文化及其观念都有诸多不同，如果因而引起模仿是件挺恐怖的事；只看了第一季，还不能有过多的评价，只是觉得剧情是否太过了或者是有点不合理，有些我这个23岁小女孩都知道的道理，里面的漂亮女人们却蠢的可爱；有些我早早就知道的男女定律，女主角们却一错再错。            
(5星)	 无话可说! 女性经典教材!!            
(5星)	 love it~            
(5星)	 生平完整看过第一部美剧就如此洋气，让土鳖的我大开眼界。            
(4星)	 轻喜剧            
(4星)	 人生观么？            
(5星)	 i love you, but i cant.            
(4星)	 经典但从未看全             
(4星)	 这个暑假就是TA了            
(5星)	 女人的幻想~            
(5星)	 最爱carrie            
(5星)	 第六季的最后两集我特意留在今天早饭时间看。。。因为吃切片面包陪丘比香甜味沙拉酱这种简单早餐的时候看这个可以增添味道。。。没想到真的是完结篇。。。貌似没续集地感动结尾。。。让人流泪的情节那叫个此起彼伏啊。。。。。。之前所有的玩世不恭 愤世嫉俗 犹如过眼云烟沉淀下来的是淳朴的感情真挚的爱。。。。。。泪奔。。。             
(5星)	 好友最初推荐的时候，是让我学习如何sex，但是看到最后，我还是找到了love~女人的sex，应该都是为了love~            
(5星)	 一共六季，已出完。            
(4星)	 那天在看这个  看到某香艳画面 就很严肃的问某姑娘  咱在宿舍看这个算不算是再看A片呐。。。 她想了想  很和蔼可亲的告诉我  这个更像是性教育片。。。 我释然了一下  继续纠结            
(4星)	 有意思            
(5星)	 非常虚荣非常强大。女人中的女人。            
(2星)	 我真是不知道这剧有什么好看的 - -            
(5星)	 重看N次            
(5星)	 永远的SATC!!            
(NA)	 第一季都没看完            
(5星)	 某些人在爱里真自私。            
(4星)	 小朋友绕路            
(4星)	 老了是真的            
(5星)	 挺喜欢的~呵呵~            
(4星)	 过去的时尚            
(5星)	 度過了多少午餐時間..            
(5星)	 心水大爱            
(3星)	 可能这部看得比Friends还早~SJP实在是丑得不可恭维~~~            
(5星)	 其实 我想要            
(NA)	 最后变成看samatha了            
(4星)	 看过一些，不是很哈。            
(NA)	 个人不是很喜欢这种剧情和风格....            
(5星)	 真的很不错, very witty。有内容，有内涵，有fashion，有sense，有幽默...个人最喜欢Samantha,戏里和戏外不同的演员才是真正的好演员！唯一觉得有点那个的是好像不怎么跟电影接得上。是因为我先看的电影所以有了更高的期望？！ -- 2009-4-17            
(5星)	 四个事儿逼女人 一群傻逼男人            
(5星)	 最爱的美剧.绝对永远无法超越的经典.            
(5星)	 。。。            
(NA)	 3 16            
(4星)	 看了整整一年半，越看越好看            
(3星)	 看在Labels的情分上            
(5星)	 我的美剧入门,1~6季,看过N遍since2004            
(5星)	 啥也不说，经典~            
(5星)	 不做作，喜欢她们，喜欢她们的友谊。            
(5星)	 经典            
(5星)	 正点的发音有的剧情很有启发            
(NA)	 好羡慕这样的友谊。            
(5星)	 经典            
(5星)	 欲望 绝望            
(4星)	 老姑娘们的喜怒哀乐：） 够开放            
(NA)	 这是第一部看完的美剧把。            
(5星)	 love &amp; fabulous!            
(4星)	 意图单身的N多TIP            
(4星)	 看了俩季学校BT端口封了就没看了~确实很有启示意义，女生应该早点看才对            
(3星)	 以前觉得他们的生活他们的想法离我很远很远            
(5星)	 我为什么到现在才想到要去看这个剧。            
(4星)	 完满的结局还是让人看到了生活的希望的 好好活努力寻找自己想要的东西 come on~!            
(3星)	 15，6岁的时候一口气把6季看完 现在真的有点记不住            
(5星)	 我在发动众多单身姐妹看这个            
(5星)	 我的美剧入门篇啊 曾经反反复复看听还傻了吧唧背过台词的美剧 （囧）ＬＯＬ            
(4星)	 老姐妹们的友情            
(5星)	 友情就应该是这样！给人深深感触的片子LOVE IT            
(5星)	 太经典了无数遍            
(5星)	 最喜欢的是夏洛特···            
(5星)	 一开始有点不能接受。。。太。。。            
(5星)	 喜欢凯莉的理论            
(NA)	 觉得这是个比较准确的纽约上层生活的写照，而且每集都有巧妙的编排，角度新颖吸引人 绝对经典的美剧代表            
(5星)	 做梦都想看第七季            
(2星)	 我觉得我暴躁了            
(4星)	 有遗憾和后悔，有期盼和向往            
(5星)	 不记得看到第三季还是第四季了，在家看碟时还是挺担心出现看着看着爸妈推门而入凑巧看到露点而百口莫辩的状况。。。            
(5星)	 第二遍            
(5星)	 姐姐当时推荐的 看了 感觉不错，四个女人的感情生活......还有哲理 呵呵            
(5星)	 我爱这四个女人的生活            
(5星)	 百看不厌 carrie&amp;big NYC            
(NA)	 没都看全            
(5星)	 只是女人，容易一往情深。            
(5星)	 我们金花儿四人也是么= =            
(NA)	 鞋            
(4星)	 这是随着时间日渐成长起来的现实童话。            
(5星)	 简直是很好看啊，哈哈            
(5星)	 Friends and relationships...第一季里最讨厌Samantha，最喜欢Miranda.不过从第三季开始毅然控了Samantha，至于Miranda，自打跟了Steve之后就残了，真令人辛酸。            
(5星)	 无聊了点。。。CSI比较好看            
(4星)	 我只留下了喜欢的几集            
(5星)	 女生必看 Girls&#39; friendship            
(3星)	 看多会想吐            
(4星)	 女人是很复杂的动物 张无忌的妈怎么说来着 越漂亮的女人越会撒谎            
(5星)	 莎拉杰西卡.帕克            
(5星)	 不说什么了，经典啊。。。            
(3星)	 更喜欢早早夭折的Cashmere            
(5星)	 四个女人一台戏            
(5星)	 友情无限大            
(4星)	 泪流满面            
(5星)	 女人必看视频教材--&lt;怎样做女人之女人和性&gt;.            
(4星)	 超稀饭            
(4星)	 第一季算是看过了吧，^^            
(3星)	 铁男跟我说这是英文发音最醇正的美剧，就看了            
(5星)	 我们靠它启蒙加再教育，哈哈，我指的是宿舍姐妹儿            
(3星)	 http://www.imdb.com/title/tt0159206/            
(5星)	 这部剧已经成为情结了....            
(4星)	 看了一个学期，终于看完了。第六季的最后一集竟然发现始终眼眶湿润。也许这四个女子真的是不简单。            
(5星)	 无论身边的人来来去去 我知道你们总在这里 不变的感情 四人一起往前走            
(5星)	 嘿嘿，一部经典的城市连续剧，我很喜欢过，追逐真爱需要勇气，建议收看欲望都市            
(4星)	 是一个姐姐介绍的。。开始不觉得好看。。后来。。很喜欢            
(4星)	 看过中国版的《好想谈恋爱》之后看的，觉得还是原汁原味的好            
(NA)	 很显然,没有后几季好看,不过,也可以理解为&#34;渐入佳境&#34;            
(NA)	 finished all the episode            
(5星)	 终于看完了整整六季，总觉得她们的故事还在继续，她们就在我们的身边，虽然性格各异，却目标一致－－那便是寻找真爱。也许，她们就是我们。            
(5星)	 早上起来，发现电影版《Sex and the City》下载完成了。我想我是《欲望都市》的忠实fans，电视剧版我已经看过三遍了，我想我还会再看，就像在每个随兴而走的时刻重温我所钟爱的经典电影，或许就是某个阴雨连绵的季节，在家里，打扮随意，心情惬意，斟一杯茶，准备一盒抽取纸，跟着剧中人去感受人生。人生如戏，戏如人生。经典永远值得回味，如同千年之后我们依然吟着“君住长江头，我住长江尾，日日思君不见君，共饮长江水”；经典永远值得珍藏，就如每个女生的衣柜里都有一件奥黛丽赫本式的小黑裙；经典永远值得分享，因为通过            
(5星)	 失恋了么？恋爱了么？暧昧了么？该结婚么？看看吧，至少看看她们问什么问题做怎样选择。            
(5星)	 娘的，就是它，把我带坏了！哈哈！            
(5星)	 影响人生的经典啊            
(5星)	 被毒害了……            
(4星)	 男人和女人的关系被写得很精辟。            
(4星)	 渴望的生活            
(2星)	 女的都劲儿劲儿的。。            
(NA)	 经典啊，很好的教育片            
(4星)	 毕竟年龄大了，比前几年看时多了不少感触。            
(5星)	 这是一段历史，关于女人和时尚的历史            
(4星)	 不承诺、不主动、不拒绝、不负责，被称为“四不男人”。            
(5星)	 最爱            
(5星)	 经典，我的最爱            
(4星)	 很多年前的ny还是比现在中国的小资活的开放自然些。呵呵。            
(4星)	 最近才看得            
(5星)	 fabulous~            
(5星)	 vogue             
(4星)	 最早毒害我的一部美剧，2002年用2个星期不到的时间看完全集，很好很强大……            
(5星)	 每个人的生活都有遗憾,我从剧中学会了从容和勇敢,坚持自我,没有什么能阻挡钻石的光芒.            
(NA)	 季季很经典。            
(4星)	 PP衣服PP鞋子PP宝宝PP美眉            
(NA)	 亏了我  六季 几十集 跟韩剧差不多的长度  4:15am 终于！看完了            
(5星)	 俨然电视剧版比电影版给力！（全6季完结）            
(5星)	 没有用腐女的眼光看，它却依然敲打着我的心灵            
(5星)	 看到结尾依然感动，为这样友情            
(5星)	 effortless            
(4星)	 好故事~不怎么样的女人            
(5星)	 女人啊女人            
(4星)	 我是SATC 饭            
(5星)	 美国的SEX是OPEN~            
(5星)	 经典之作~~~~里面的话也经典还有那个美语发音~~哇            
(5星)	 劲爱samantha            
(5星)	 好看！            
(5星)	 还是第一季更好。            
(3星)	 只看了几集,就那样儿            
(3星)	 第一季            
(NA)	 不错，对我的lifestyle影响很大，尤其是里面的沙曼萨            
(NA)	 一集一个道理..            
(5星)	 经典            
(3星)	 和电视剧没啥区别，感觉主角都苍老了不少。            
(4星)	 好看            
(4星)	 最常有的情况是：第一季总是内容最翔实。            
(5星)	 超爱            
(5星)	 在我26岁颠覆我很多挂念的一部美剧，人生太短，及时行乐。            
(5星)	 永远希望自己有可以相伴一生的朋友            
(5星)	 有趣！喜欢            
(5星)	 截至目前，我人生中最最爱的一部电视剧～～～不是讲sex，而是讲爱，讲女人们的生活、友情            
(5星)	 啊啊啊，我心爱的姑娘们。            
(5星)	 当初真是接受不了看到现在真是好剧集            
(5星)	 Carrie如果再好看点就更好了，Mr.Big成熟，超有魅力。后来越看越觉得没多大意思！            
(5星)	 最喜欢的肥皂剧            
(4星)	 三人女人一台戏，可能外国要四个。大爱Samatha和Mr Big！            
(5星)	 我爱sex~            
(4星)	 第1、2季挺有意思，中间开始无聊，最后两季假煽情了些            
(NA)	 一起长大            
(5星)	 非常有味道            
(NA)	 Mr.Big~~&#34;Your girl is lovely ,Hubble.&#34;            
(NA)	 喜欢里面的女人们            
(5星)	 大爱            
(NA)	 宝典，圣经。            
(5星)	 喜欢~            
(NA)	 看齐了            
(4星)	 剧集本身不错，只是不符合自己的心境，共鸣不太大            
(5星)	 不现实的生活啊            
(5星)	 看多少遍都不腻~            
(5星)	 让女人了解女人            
(5星)	 三遍了~            
(5星)	 Carrie Bradshow呢...啥也不说了！！！            
(5星)	 我也是比较喜欢米兰达            
(5星)	 懂得爱            
(5星)	 I fucking love this drama！            
(5星)	 仅当窥探            
(5星)	 最喜欢的剧。不是之一            
(4星)	 希望明年能看完            
(5星)	 好看的            
(4星)	 终于追完了～真是不容易哈            
(4星)	 現在才開始看會不會太遲？——Late better than never, haha~            
(5星)	 大二时候全宿舍人一起围着电视看的，那样的时光呀。。            
(3星)	 矫情……            
(5星)	 看到最后的时候觉得它和FRIENDS一样棒。            
(5星)	 my love!            
(NA)	 欲望都市里的欲望和爱情            
(NA)	 从season1看到season6            
(NA)	 收了套一区的来收藏            
(5星)	 好看到不行~~~~电影版的电视版的 都好看撒花！！！            
(5星)	 我看过的连续剧史上，最哈的一部。            
(NA)	 露骨的美国都市生活            
(5星)	 有从女性角度细腻描写了曼哈顿的感情生活            
(NA)	 真的想不到还有什么会发生在美国的感情状态没写到了            
(NA)	 四人女权社会            
(4星)	 一个不一样的世界            
(5星)	 都市喧哗,人心却很寂寞.人们追求幸福,却又迷茫.我们心中的MR big最终会不会降临,男女之间的情爱最终能不能沉淀.每个人有自己独特的生活方式,我们用自己的方法去爱人            
(5星)	 现实男女            
(NA)	 盛名之下，其实不符            
(3星)	 怎么说呢，我还真的不喜欢这个女主角。。。看了有段时间了好像叫凯特，可能因为不是我喜欢的type吧，比较喜欢夏洛特，相信真爱的存在，最终真的得到幸福了，希望和她一样，喜欢这个因为觉得的确让我们知道了女人的很多难处，这些难处我们自己是可以克服的            
(5星)	 女人都该看            
(NA)	 very into it！            
(5星)	 天~            
(5星)	 谁都必须看*            
(NA)	 女人的爱情追求路程，夹杂着性            
(5星)	 看完了  就是这样   我爱Miranda             
(NA)	 喜欢这四个好朋友            
(NA)	 看了一点点，看不下去了            
(3星)	 尚可没什么爱。            
(3星)	 一晚上一口气看完第一季，晕！            
(NA)	 看过近两季            
(4星)	 电脑里面有前面五季的，这次暑假可以好好享受了~            
(5星)	 经典            
(3星)	 友谊 爱情 sex 城市            
(5星)	 ~喜欢萨曼莎和Mr.Big            
(5星)	 穿着香水 住在衣服里            
(NA)	 雷到我的电视剧            
(NA)	 这么经典的,我还没看完~            
(5星)	 oh my favorate            
(NA)	 最近突然觉得很不错~            
(4星)	 学英语不错            
(3星)	 反正我不喜欢这里面的四个神经质女人~            
(5星)	 大二看的，看时收获很多，现在差不多都忘了……            
(NA)	 喜欢这种生活和里面的服饰            
(5星)	 超爱            
(3星)	 研究下～            
(5星)	 我的美剧启蒙老师。中学看这个会不会太……            
(3星)	 看到最后我最喜欢的是SAMANTHA            
(3星)	 期待电影!            
(NA)	 其实中国也有几部类似的连续剧 如&lt;好想谈恋爱&gt; &lt;律政佳人&gt; 不过相比之下含蓄多了 喜欢自立自强自主的新时代知性女性形象            
(4星)	 Really nice American TV show, love the characters and situations, you can feel it.            
(NA)	 体现父权制下解放又未完全解放的新生代女性主义女人的思想与生活            
(5星)	 经典!!            
(5星)	 六季全看完，个人经典，人生指向标            
(5星)	 好看~~~！！！很有教育意义，想看电影版~~！！看过这个之后都不想看别的了~            
(NA)	 很直白 我中意            
(NA)	 心情低落的时候看一下这片子，马上会HIGH起来            
(NA)	 寻找真爱            
(2星)	 不怎么好看            
(5星)	 Fa&#39;bu&#39;lou&#39;s！            
(5星)	 不知道为什么，每次都是看到最后一集时，泪湿满面。到底对我而言，还是友情回归的场面更令我情动。不过，那些性爱新语还是百看不厌的。            
(NA)	 看完的第一部美剧 淋漓尽致的呈现了纽约生活             
(3星)	 喜欢衣服            
(NA)	 这群女人没说的            
(NA)	 寒假在家太闲了~            
(4星)	 改变人生的看法            
(NA)	 bible            
(5星)	 真实            
(5星)	 经典            
(3星)	 看不下去了            
(5星)	 love it!            
(5星)	 the women that inspire me            
(4星)	 完了，似乎现在在出电影了，apple网站上有trailer可以看：童话式的结局是不存在的            
(5星)	 这是一个满是欲望的城市 毫不掩饰的欲望            
(5星)	 很喜欢。应该有自己的想法。生活才会精彩。            
(5星)	 这是部不错的片子，关于爱情、友谊和性的观点都很有一些独到的看法。            
(5星)	 电影版快上映了，不过四位女主都老了不少，毕竟过去了这么多年，但电视剧还是非常之好看的，虽然有些观点及做法距离我们很远，但不妨碍我们站在远处欣赏和关注~            
(NA)	 经典的关于女人，男人，爱情，性的美剧，喜欢四个女人一台戏的感觉。            
(5星)	 很不错～            
(5星)	 妈妈说我最近语出惊人= =            
(5星)	 女人更应该从心灵上独立起来，女人爱鞋的“罪恶”引导            
(4星)	 终于把6季完整看完了,结尾很不错,被那些友情和爱感动:)            
(5星)	 哲理            
(NA)	 想给六七八颗星！            
(5星)	 爱情，性，友谊……            
(3星)	 不爱，纯粹是跟风看下来            
(4星)	 Normal is between what you want and what you need.            
(4星)	 看到最后还是唏嘘不已，变得这么感性，甚至生活。再也不是sex and the city了，难道这将成为每个人的归属？            
(5星)	 美剧的神作啊。嗯嗯。            
(NA)	 写给女人的情书            
(5星)	 永恒的经典            
(5星)	 最爱            
(5星)	 陪伴成长的美剧，在她们身上看到不同的年纪不同的自己。            
(5星)	 waiting for the movie            
(NA)	 不错，前几季很精彩，但中间就不怎么样了。。。也许生活总有那么段时间要无聊            
(3星)	 这该算是美剧里的经典之作了，我看了2季，觉得没什么意思，主要是4位主演岁数挺大的了，还整天sex阿sex的，实在是没什么吸引力。况且节奏实在太慢，忍不了呀。            
(NA)	 里面有很多有哲理的台词            
(3星)	 终于全部看完了，看一个女人纠结了六年和最开始的那个男人在一起了，其他三个女人都比主角有创意一点            
(5星)	 非常不错            
(NA)	 好教材......            
(5星)	 怎么说那 ， 很喜欢这部连续剧。嗯，只可意会不可言传。^_^            
(5星)	 其实都还是在找寻那份属于自己的爱            
(5星)	 我的最爱!            
(3星)	 原本很不能接受，昨天和爆米花看了两集，说不上哪里好，但是发现还挺能消磨时间的~感觉比韩剧好。人看多了韩剧会被男权制度冲昏头脑，变得白痴一样以奉贤为美，而忘记本我。我喜欢美式爱情观。尊重，无论男女都以人为基础，而非性别。            
(5星)	 无法形容对这部电视剧的爱，甚至数不清自己到底看了多少遍，为里面每个女人流了多少泪```超级喜欢carey，sensetive的女人，她的文字总是能引发我的思考。            
(3星)	 ...不是很喜欢~~~            
(4星)	 HBO            
(NA)	 至少。。女性要在感情上独立            
(5星)	 perfect            
(5星)	 没啥好评论的把。            
(4星)	 还8错....好长 耐心看吧            
(5星)	 很经典            
(5星)	 It is my favorate forever...            
(NA)	 多想凯利和大人物能在一起，当如果真在一起了，我肯定不会看这个电视！！            
(3星)	 just so so            
(NA)	 I like it~            
(5星)	 看了5遍了            
(5星)	 Damn single women...- -            
(5星)	 超爱啊            
(3星)	 crazy            
(5星)	 台词很好啊特别是念白            
(NA)	 经典！            
(NA)	 终于在新年前夕啃完了这个大部头~不错~            
(4星)	 Give me a man like Aiden.            
(5星)	 love and friendship            
(NA)	 世界的那一边是如此精彩            
(2星)	 一般般，没有看下去的欲望了……            
(5星)	 我喜欢他们            
(5星)	 收藏~            
(4星)	 越到后面越无聊...还是前两季好            
(5星)	 经典之作 看了又看 MR BIG很绅士不过真的很欠揍            
(5星)	 男女关系，多么一目了然。            
(5星)	 很有收获            
(5星)	 喜欢喜欢~~            
(NA)	 s01 据说喜欢的大都是woman            
(5星)	 又是女人            
(NA)	 只能说谢谢~            
(5星)	 看了3遍，超级期待电影版。            
(NA)	 喜欢carrie和big的爱情故事            
(NA)	 一个城市里面发生的各种混乱故事.            
(5星)	 WOW            
(NA)	 超喜欢~友谊是伟大的，寻求真爱的人是强大的            
(NA)	 美剧            
(5星)	 学习宝典哈            
(NA)	 欲罢不能            
(5星)	 爱死 爱死 唯一觉得越来越好看的美剧            
(NA)	 有时间慢慢看            
(4星)	 女人红宝。            
(5星)	 女人必看            
(4星)	 挺好            
(5星)	 梦幻四人组            
(NA)	 有钱的曼哈顿女人令人艳羡的生活~精彩的对白和时装戏 其中男女不是在谈情说爱，就是在挑逗做爱            
(5星)	 超级好看...反复看...            
(5星)	 在家看碟。Will we all end up good?  Like Carrie and Mr. Big?            
(NA)	 THAMANTHA我的偶像            
(5星)	 喜欢到爆            
(4星)	 女人找到了好男人，so it&#39;s a happy ending?            
(NA)	 高智慧女性??            
(NA)	 很有教育意义。一定要看。            
(NA)	 开始还行，后门大同小异            
(4星)	 SJP很有魅力的样子好想好想谈恋爱的原版            
(3星)	 sexy hot girl            
(4星)	 喜欢朋友之间的相处模式            
(5星)	 买的碟中间漏了几集，有机会补回来……            
(4星)	 可能太理想化了            
(5星)	 女人必看!! 超级经典的!            
(NA)	 足足用了2个月，从1季到6季的恶补……不仅有性，更多的是一种欲望的生活            
(5星)	 女人应该看            
(5星)	 en 2004            
(NA)	 20070208--20080131            
(4星)	 还是值得都市里的我们看的一部电视剧。            
(5星)	 为什么是跟Mr. Big在一起啊？            
(NA)	 六季全部看完,结局确实意想不到地浪漫            
(5星)	 没有羁绊的职业女性。如果放在中国的话，4个女人应该是在麻将桌上讨论男人以及其他吧。            
(5星)	 best ever            
(5星)	 美国            
(5星)	 我的最爱            
(5星)	 每集都精彩            
(5星)	 不容易，从头看到尾！真的是很经典的一部！期待ing电影！            
(4星)	 我们所有的憧憬和担忧            
(4星)	 衣服 鞋子 包 内衣！！！            
(5星)	 全集齐了            
(5星)	 my FAV if u can stay and watch until second season starts, then u know its not about sex at all!!!            
(5星)	 工作后的最爱            
(NA)	 原来我是如此保守滴            
(3星)	 我都快忘了我看过这剧的……当年还是初中生的时候看的，吓了一大跳呢~            
(NA)	 看过            
(5星)	 女性必看            
(NA)	 要是我们结婚了还能有这样一群可以无话不说的闺密，那该多好...            
(3星)	 四个女人和n多男人的生活            
(4星)	 好看,喜欢夏洛特!            
(NA)	 GOOD            
(NA)	 不错。尤其赞 Mr. Big....            
(5星)	 每一个女子都该看的教科书！            
(NA)	 还没喜欢上这种风格            
(5星)	 这几个老女人,要笑四我啦!            
(3星)	 单身女人一台戏            
(4星)	 总算第二遍看的时候觉得carrie不讨厌了            
(NA)	 xihuan            
(5星)	 smith=JasonLewis            
(5星)	 似乎长大了一点才喜欢            
(5星)	 第一遍看笑点，第二遍看情节，第三遍跟女人们学着穿衣服            
(NA)	 很喜欢看            
(3星)	 看了一些，总是相遇，搭讪，上床，结束，看多了，有些腻歪            
(4星)	 原来并不喜欢的，看到最后倒是还喜欢起来了...所谓的豪放也是很真性情的。            
(NA)	 看过N遍(N大于5）            
(5星)	 很好看..那不是色情..仅仅是最真是的人性..            
(5星)	 以时尚的名义——看吧~            
(5星)	 如题            
(NA)	 没有动力追下去-_-            
(4星)	 睿智            
(5星)	 台词好创意好            
(5星)	 太赞勒！百看不厌！            
(NA)	 唯一一部看了三次的超过50集的电视剧            
(NA)	 四个女人就遭遇了几乎所有现代女人会遭遇的一切，汗！            
(NA)	 整整六季 啊！            
(5星)	 我想要的生活            
(5星)	 每个女人都在不断追求真正的幸福            
(4星)	 有趣。到后来才觉得。再后来就不觉得。            
(5星)	 sex and city            
(4星)	 当年能给5星。最近再看就是3星了。过了SJP时期了。剧子本身挺正，胃口变了。            
(NA)	 可得看一下..            
(5星)	 喜欢莎拉洁西卡            
(5星)	 love is actually around             
(5星)	 专栏作家！            
(4星)	 喜欢的剧集            
(4星)	 挺深刻的，导演别具匠心            
(5星)	 在看不见星星的城市里生活            
(5星)	 大学时代的功课，值得重温再重温～            
(4星)	 美剧            
(NA)	 地球真的是圆的,正如KARY蹲在地下忙乱的找钻石的时候,BIGGER终于又找到了她,有时候,这个世界上,相遇和相爱是注定的,只是时间把缘分推进            
(3星)	 第一季看完了            
(4星)	 i fancy the number four.ps:i dont like Kerry.            
(NA)	 科教片……            
(4星)	 很喜歡~            
(NA)	 我最爱的美剧，每个人物我都喜欢            
(4星)	 还是最喜欢Carrie            
(5星)	 我喜欢看，男生喜欢看，可男生不喜欢我看            
(3星)	 看着的时候惊觉其实我还很年轻。            
(3星)	 sluts and the city            
(3星)	 关于两性，就那么回事，说多了，做多了，看多了都难免有些疲倦            
(4星)	 satc 女人的经典啊...            
(NA)	 没看完。            
(5星)	 Big is big            
(4星)	 全部看完了　　里面一些观点我虽不赞同　但能引起思考！也算不错！            
(5星)	 我对着哈泥大叫说总有一天我会踩着Blahnik跨着Hermes。。。去菜市场。            
(4星)	 Love it or hate it, it&#39;s all about your feeling            
(5星)	 爱情治愈系～～            
(5星)	 没看完……            
(5星)	 里面标准的NYEnglish真是太好听了~~~~~            
(4星)	 i like the people living in the show            
(5星)	 中国的《好想好想谈恋爱》，就是以sex&amp;city为蓝本改变的。总共6季，都市女性的感情生活为主，相信很多女生都会喜欢！！让我们看见在太平洋的另一个世界里的生活，喜欢她们智慧而又狡繲的对话，喜欢她们在爱情里的潇洒从容，喜欢她们的漂亮服饰，喜欢纽约人说话的调调，喜欢sex and the city......            
(NA)	 要考试了，花了三天看完了一到七季，那样的人生会遗憾么？            
(4星)	 走向色女的指导书            
(5星)	 经典New York 生活！友情，爱情 完全呈现！            
(5星)	 大爱 每集都看得很认真            
(4星)	 女人八股的天赋似乎与生俱来。            
(5星)	 她说：这是女人的哲学            
(5星)	 断断续续的一直在看 每次好像都会有些新的体会 终于看完了没想到美剧也喜欢大团圆 最后的大赢家还是Mr Big            
(5星)	 finish season 1-6, fabulous            
(5星)	 我喜欢~~~            
(NA)	 蛮有意义的 某种意义上说来            
(4星)	 了解多一点            
(NA)	 无与伦比的喜爱。            
(3星)	 看了两季            
(NA)	 无需再说的绝对经典剧集，也是时常复习的剧目。最近还在看原版的小说            
(3星)	 感觉剧情有点儿简单，围绕sex            
(5星)	 百看不厌。。。            
(4星)	 不美好 不希望            
(4星)	 时尚界            
(5星)	 我的最爱，生活的指导～以及时尚的参考～            
(4星)	 练口语中==台词观点其实很有意思            
