http://movie.douban.com/subject/2983389/	寻秦记
(3星)	 我觉得公主很好的，项少龙为什么不喜欢她啦？            
(4星)	 尽管漏洞不少但不碍第一穿越剧之名，喜欢萱萱、滕丽名            
(NA)	 当年好多电视台都在放，我不喜欢看，可是又没得看= =            
(5星)	 属于必看的TVB剧，就是现在看，古天乐的现代造型有点过时啊哈哈            
(5星)	 算是穿越的鼻主吧,哈哈            
(3星)	 古天樂真黑            
(3星)	 比较早的穿越吧            
(3星)	 每次看都没看完。            
(3星)	 那时看得好狂 穿越鼻祖了吧            
(4星)	 古天乐帅毙了，宣萱是我大爱            
(5星)	 优秀的穿越了 当初看的都不想出门去上课了 去年暑假才完完整整的看了一遍            
(3星)	 那个时期的古天乐真的很帅            
(5星)	 同学推荐看的，然后我们一起爱上古天乐，然后一起发现林峰脸比较方，然后我们成了好朋友            
(5星)	 穿越第一剧啊！            
(4星)	 可能不是黄易最好看的小说，但绝对是最好看的电视剧            
(5星)	 古天乐            
(5星)	 古天乐那时候真帅！            
(5星)	 印象中早期的穿越剧，经典啊，书看过两遍，电视剧改编得还算不错。            
(5星)	 经典            
(NA)	 小学五年级还是六年级看的，后来又看了好多次。            
(NA)	 这个很好看啊            
(5星)	 至今依然大爱            
(4星)	 经典啊！            
(5星)	 想当年每集都追啊~~~~            
(5星)	 以前超喜欢的。            
(5星)	 峯哥哥真的很黑喲。。            
(4星)	 这个片不错的呀= =            
(2星)	 节奏好慢~            
(5星)	 看的是国语啊亲！！            
(4星)	 现在看还是很有笑点啊，哈哈哈。            
(3星)	 经不住时代的冲刷。。。            
(4星)	 这时古天乐就变黑脸啦            
(5星)	 喜欢 廷芳 善柔 。            
(4星)	 觉得是穿越剧中不可替代的。            
(4星)	 当年帅的帅美的美啊            
(5星)	 经典中的经典            
(3星)	 是第一部穿越么？            
(4星)	 没有完整的看，不过还是不错的            
(4星)	 演员喜欢，貌似当年有回味过两次            
(4星)	 让我如何不爱你，我的第一部穿越剧            
(3星)	 穿越先祖            
(NA)	 古天乐在里面太帅了（¯﹃¯）            
(5星)	 喜欢古天乐在这部剧的颜，巅峰时期的啊            
(5星)	 穿越的鼻祖~~            
(5星)	 还是古天乐帅            
(3星)	 看的第一部穿越剧，那时候的林峰好青涩啊！            
(3星)	 到了后面就不好看了，女主和女2都不喜欢，楠主和女杀手应该在一起啊。。。            
(5星)	 穿越剧的鼻祖啊，经典推荐，不能错过的一部            
(3星)	 学粤语            
(5星)	None
(5星)	 古天乐啊            
(4星)	 嗷 穿越剧 美女帅哥一大把            
(5星)	 小说改编过来，还是很不错滴，关键是认识了林峰这帅小子。            
(4星)	 古仔还好的样子            
(4星)	 不记得这部和穿越时空的爱恋哪个先哪个后了。。。反正这部也算是穿越剧的鼻祖了。。。虽然原著里面很多情节没有表现，但是古天乐的颜和身材真的和项少龙很符合很符合~~~！！！【其实我还是蛮希望最后善柔和他也在一起的。。。三女一夫ORZ。。最后项羽。。真扯。。。【不过这是做的比较有诚意的穿越剧了            
(NA)	 坐月子            
(5星)	 怎么分数这么低            
(4星)	 细细追究就特别特别扯               
(5星)	 穿越经典之作，在古代闹腾的好激情~            
(5星)	 那个时候的古天乐好帅哦。。错现在还是很帅！            
(5星)	 百看不厌有木有！            
(4星)	 每个人都有一段悲伤，想隐藏却欲盖弥彰            
(4星)	 重播率很高。            
(4星)	 好的穿越据，就该是这样            
(5星)	 哈哈，古天乐好小生好英俊啊。。。-0-开篇的里面就骂湖南人了啊，哈哈~            
(3星)	 小时候觉得古天乐叔叔帅爆了。。            
(5星)	 最爱的TVB剧，哇咔咔~~  古仔帅气又搞笑~            
(NA)	 腹黑男            
(NA)	 很喜欢的一部电视剧  真的是很经典的  看了很多年  才给看完 很是开心的  对于故事很好的  很多的感动的  在想现在好的电视剧真的是越来越少了 而好的穿越剧就更少了   比起现在的一些穿越剧不知道要好多少   真的是经典            
(5星)	 记得高中时特意找出来看的，可以说是我所看的最好看的古装连续剧，如果我没猜错的话，应该是近年来流行的穿越剧的始祖。            
(4星)	 我是古天乐的脑残粉丝~~~            
(5星)	 神剧啊，编剧实在太厉害了，剧情紧凑而且有条有理，大爱之。古天乐帅到家了，欣赏琴清这个人物散发出来的气质，赵国公主有点失败。            
(4星)	 我记得在还没有电脑的时候 每天盯着电视追剧            
(5星)	 很早很早的穿越剧            
(5星)	 表示第一部穿越剧啊！            
(5星)	 原来看我过这么多电视剧——特别喜欢这部！！每天在电视机前守着有木有！！            
(4星)	 穿越剧的鼻祖            
(5星)	 改编了原著之后很适合大众，剧情不错，很喜欢~            
(5星)	 我人生中的第一部穿越连续剧            
(5星)	 最经典的穿越            
(5星)	 巅峰之作            
(4星)	 古天乐各种帅&amp;回到古代还能娶俩……            
(4星)	 穿越剧啊啧啧            
(4星)	 实在是删减了原著的很多情节 不过总体来说还是不错的            
(3星)	 当时看的时候还嫌弃过项少龙的女银太多。            
(4星)	 比较早的穿越剧了哈，七七八八的也看了，其实也算经典了。            
(4星)	 大学的时候睇觉得好好噶，要唔要睇一次呢。            
(4星)	 善柔的造型我喜欢            
(4星)	 跟我爹一起看了N遍····            
(4星)	 当初就是冲着古天乐去的。。。始终不喜欢里面的林峰            
(4星)	 哎 我的古宣又一个遗憾 妈的            
(5星)	 看了又看，百看不厌            
(5星)	 古天乐真帅！            
(5星)	 第一部看的穿越剧吧，为什么没火呢，一直很纳闷            
(5星)	 别拿他跟原著比，有意义吗？            
(5星)	 经典啊~~还记得古天乐去跟老夫妇借厕所的那段~~太搞笑啦~~            
(5星)	 穿越剧的鼻祖            
(5星)	 看了这个就像痛骂大陆那些穿越            
(NA)	 古仔在剧中太帅气了，宣萱的角色没了以前的独立，还是善柔让人喜欢            
(4星)	 应该是第一部穿越剧吧.            
(5星)	 经典            
(5星)	 啥也不说了，古天乐哇~那时的林峰我真的是没注意到，估计是被古天乐的锋芒盖住了。。。            
(NA)	 滕丽名演的角色基本没喜欢的，善柔这样的我是男人我也不喜欢            
(4星)	 纯马克            
(5星)	 看过好多遍            
(4星)	 后来看了原著小说，各种黄            
(3星)	 我玩穿越~            
(4星)	 古天乐算是演技派了            
(4星)	 很长，情节丰富，但小说年少时读不进去，h文样，真是青涩啊。            
(5星)	 芒果台放一次我看一次！            
(5星)	 是不是穿越剧滴鼻祖呢？反正觉得这部最经典啦~项少龙 you&#39;re perfect man.            
(5星)	 古仔颜的巅峰。TVB继刑4之后再用古萱配捧港姐，但事实又一次证明了用官配捧新人是要不得的，太没存在感。            
(3星)	 嗯。。。這個原著估計是我看過的第一部黃書了吧。。。            
(4星)	 项少龙简直就是为古天乐量身打造的。            
(4星)	 介是穿越剧的鼻祖吧啊啊啊啊啊啊            
(4星)	 一直觉得挺好看的^o^            
(5星)	 小学六年级的时候，还记得每个人的同学录上写我最喜爱的电视剧都是这个            
(NA)	 项少龙是项羽他老爹  我就内牛满面啊！！~            
(3星)	None
(4星)	 除了女演员比较抽之外基本满意            
(5星)	 我最喜欢的电视剧            
(5星)	 看过黄易的原版小说，好羞涩。。。哈哈哈，太H了。不过古仔演的项少龙真的是嗲死了！！！            
(4星)	 刚开始的几集还是蛮搞的，怎么是韦小宝嚒，求穿越啊            
(5星)	 古天乐真真帅，林峰刚出道真真丑。            
(5星)	 穿越鼻祖！            
(5星)	 穿越戏鼻祖！算么！古天乐帅呆了！林峰帅呆了！！            
(4星)	 很帅啊古天乐            
(5星)	 虽然很老了，但是照样非常喜欢，古天乐很帅啊...            
(4星)	 属于少数我能看了又看的剧之一  郭羡妮只要不扯着那带鼻音的配音聒噪就还好            
(5星)	 小时候不可磨灭的回忆。            
(3星)	 从来没看完过。那个时候古天乐还不是面瘫哥。            
(5星)	 古天乐永远是偶的最爱            
(5星)	 经典，百看不厌。想要高清版收藏呀            
(5星)	 我喜欢这样的穿越剧            
(4星)	 本姑娘又开始怀旧了....            
(4星)	 各种改瞎了的地方和郭羡妮 减一星            
(4星)	 当年的林峰还是个圆脸黑鬼【摊手            
(4星)	 开始几集十分的搞笑，到后面开始有些悲伤。喜欢帅气的善柔，可惜了，喜欢一个人却没能说出来。嫪毐的一生太跌宕起伏了，可悲啊。            
(5星)	 无法超越~~~~！！！！            
(4星)	 项少龙~~  一直觉得林峰长的好丑...            
(NA)	 喜欢            
(3星)	 比原著差太多了。            
(5星)	 最为经典之作。古天乐2000年回归TVB，从电影到电视剧拿捏角色已经是轻而易举了。            
(NA)	 某人颜的顶峰啊~&gt;&lt;            
(5星)	 好看好看，没残的古天乐真是帅            
(NA)	 2001年上高复的时候看过            
(5星)	 古天乐！这个才是穿越的鼻祖呢~            
(4星)	 当娱乐片看，古天乐太帅了            
(2星)	 漫画和小说里那让人欲罢不能的宫廷争斗在这部戏里荡然无存..            
(3星)	 我觉得是林峰吓到我了。。            
(5星)	 这是我唯一喜欢的穿越剧，比较有意思，也比较逗，也很好，秦汉是我最喜欢的年代，不过穿越回那个时候，做女人是不行的。            
(5星)	 我剧荒了，所以重新看一遍寻秦记~~~古天乐好帅！！！！            
(5星)	 那时的林峰多好呀            
(4星)	 扯咧。            
(5星)	 林峰那时候贼年轻啊            
(4星)	 个人...不是很买账...不过也算当年的大制作了            
(4星)	None
(4星)	 经典之作，无需多言            
(NA)	 穿越剧中的经典。没有发胖的古天乐，人生中最美的宣萱，青涩可爱的郭羡妮，还有“梁哲操”扮演的乌堡主，琴清姑娘和乌家大小姐，美。江华将剑手的冷酷扮演的恰如其分。            
(4星)	 古仔最后一部电视剧            
(5星)	None
(5星)	 非常不错 环环相扣 就是不知道也不太能接受 为什么乌廷芳要和项少龙在一起 感觉少龙不爱她 顶多就是责任 ╮(╯▽╰)╭            
(3星)	 十年了……            
(4星)	 好搞笑的            
(4星)	 我觉得滕丽名挺好看的。            
(4星)	 那个时候的经典,青涩的林峰,帅帅的古天乐,美丽的女主们,剧情也好            
(4星)	 哈哈哈哈，还是老片有味道啊。            
(2星)	 好像暑假还看了，所以给2星。            
(NA)	None
(5星)	 &#34;烤鸡翅膀~我爱吃烤鸡翅膀~~            
(NA)	 第一部穿越            
(4星)	 善柔是项少龙回来见到的第一个人 凭什么不能多一个人             
(4星)	 当年的小古时多么帅来的            
(4星)	 经典啊            
(4星)	None
(5星)	 经典穿越剧            
(4星)	 广被芒果台那个放啊。。我去            
(NA)	 实在无聊的时候看的。。            
(5星)	None
(5星)	 穿越还是老的好            
(5星)	 Louis！林峰！            
(3星)	None
(4星)	 电视里存的，真有意思，一直看到深夜。            
(4星)	 没有想象中那么好看啦            
(3星)	 还过得去了            
(5星)	 变成记忆的东西总是能多加一星。            
(3星)	 可能是看腻了的关系，只想打三颗星了            
(5星)	 那是在04年左右，每次上网吧不干别的，就看此片，断断续续的，终于到大学了才完整的看完了！看过原作，很好！            
(NA)	 好吧，古天乐。。。            
(NA)	 黄易的小说哦~~呵呵。。挺不错的，里面的古人的思想            
(4星)	 古天乐的独人秀            
(5星)	 最好看的穿越戏啦~~~古天乐超帅的~~            
(4星)	 如今的穿越剧跟这部比，还是弱爆了吧。当年最惊讶的是，阿峰竟然可以比古仔还黑，程度可以去演包拯……            
(5星)	 看十遍也不烦            
(NA)	 很搞笑            
(4星)	 初二不学习就知道租碟看电视，呃            
(5星)	 童年的记忆            
(4星)	 现在看都好看。            
(5星)	 最早的穿越剧了吧？            
(4星)	 真的是为古天乐量身打造的娱乐剧。            
(4星)	 我看的最早的穿越剧            
(NA)	 貌似是穿越的经典。不过貌似不是2001年就播出了吧。            
(4星)	 据说小说很黄，小说没看过，电视剧改编后还好。            
(3星)	 印象中的第一部穿越剧吧            
(5星)	 芒果台放了那么多次，我都没看齐，终于还是上网找了原版的看，才发现实在是太搞笑了~~~我看的第一部穿越剧，也是唯一一部穿越剧，美好回忆就留给他了。。。            
(5星)	 很奇怪！看过这个之后看原著居然看不下去……因为原著的色情描写以及众多女人的名字把我弄得头晕……不过仍旧得看……比大唐双龙传好看是因为主线的目的比较明确……            
(5星)	 今晚搜TVB剧，看到它，这才是穿越剧的奇葩啊            
(5星)	 无可置疑是经典。。。只不过感情线真的有些多            
(5星)	 这个经典到爆啊，各种可爱加搞笑啊，穿越剧的鼻祖啊。。。            
(4星)	 穿越时空            
(5星)	 很喜欢的一部            
(4星)	 就2~5集搞笑点            
(5星)	 百看不厌            
(5星)	None
(5星)	 帅啊～～            
(5星)	 俊            
(3星)	 那时候就流行穿越            
(NA)	 穿越的鼻祖，我是在看了宫和步步惊心等一系列穿越剧后看的，还是很好看的，也算靠谱            
(4星)	 好久之前的穿越剧~            
(5星)	 = =这是接触最早的穿越么            
(4星)	 每年必播剧啊 当时的林峰各种羞涩            
(5星)	 穿越的经典            
(5星)	 是我看过的穿越剧中最好看，最尊重历史的一部，除了最后出来的项羽蛮雷人的            
(3星)	 看完了，看完了，项少龙的孩子叫项羽。            
(4星)	 我看的第一步穿越剧            
(3星)	 堪称经典穿越了            
(4星)	 喜欢古天乐，但是林峰在里面的角色实在是不太喜欢            
(5星)	 果然不愧是穿越剧的鼻祖            
(3星)	 反正我不喜欢。            
(5星)	 初一。。六年级。。所有被我喜欢过男主角的电视剧都是————————五星。。嘻            
(5星)	 经典啊！！第一部穿越剧吧应该是，怎么这么好看捏~~~林峰在这时候就开始显露头角了嘛。。            
(4星)	 年轻的夫君啊            
(NA)	 穿越            
(4星)	 项少龙~            
(5星)	 第一部穿越剧            
(3星)	 始终没看完，虽然很爱古天乐。            
(5星)	 最近很迷恋穿越，于是把电视剧穿越的鼻祖《寻秦记》翻出来看。            
(3星)	 感觉宣萱像个配角。。。。TVB是为了留住古天乐吗？把他的角色刻画的好像个神人一样。。。。完美的不现实。            
(5星)	 不喜欢林峰，喜欢古天乐！            
(4星)	 很赞的穿越~曾经的记忆            
(5星)	 和穿越时空的爱恋一起把其他的鄙视了，宣萱，古天乐那时的TVB不复存在            
(5星)	 很欢乐的穿越剧，经典！            
(5星)	 穿越剧的No.1。            
(5星)	 上大学了才看            
(5星)	 经典经典经典经典经典经典经典经典            
(3星)	 后面长得像裹脚布。。。看完无能中。。。            
(NA)	 我多么强大，用了一天的时间把40集都看掉了~            
(4星)	 经典 现在还有得播            
(5星)	 看惯了日剧和英剧，这么一部40剧的简直不能忍啊TT。还好剧情还不错，就是觉得后面比前面部分稍稍逊色。            
(NA)	 林夆！！！            
(4星)	 还是喜欢善柔            
(NA)	 40集啊。。。我终于看完了。。。伤不起啊。。。            
(4星)	 古天乐太帅了= =啊我是花痴            
(4星)	 重播又重播从不厌倦 隔多年再看还是觉得很有笑料            
(5星)	 嗯..嗯..都挺好看的..只是最后项羽那个让我菊紧.            
(5星)	 这个是不是穿越剧的鼻祖？            
(4星)	 记得高中通宵看了9集。。然后后面的一直没看。。呵呵。 我爱宣萱            
(NA)	 穿越剧，也就这部出彩了额！            
(5星)	 经典!!!            
(NA)	 TVB的B啊，BBC的C啊            
(4星)	 很好看。但老实说，那堆女演员我永远分不清            
(5星)	 黄易的寻秦记真是穿越小说的鼻祖啊，拍成电视剧依然很好看            
(4星)	 高中时电视上看的，还蛮好看的，其实那时已经有穿越了。            
(5星)	 古仔就够了……            
(5星)	 穿越+搞笑，TVB佳作呀            
(NA)	 2011国庆又在看了……            
(5星)	 经典值得多回首啊            
(4星)	 我的粤语听力已经可以听出来字幕的错了~~~            
(5星)	 我喜欢            
(4星)	 为什么现在都没有好看的电视呢，是因为以前的太好看了            
(5星)	 最爱的主角和最好的剧情，就是经典！            
(4星)	 古天乐最英俊造型2部，一部神雕侠侣，一部寻秦记。            
(5星)	 好看啊  搞笑啊            
(3星)	 果然是穿越剧的鼻祖。            
(3星)	 对古天乐来说，是有纪念意义的。林峰亦是此部出道。更别提漂亮姑娘多。更别提当年寻秦有多火。但，我实在难以欣赏黄易的小说，这部戏也实在不爱……再经典也……            
(4星)	 当年结尾时好顿纠结            
(4星)	 最喜欢看的就是项少龙刚刚到秦朝那会儿            
(5星)	 前面几集真的好好笑。            
(4星)	 穿越的很好啊 看完以后倒是补了历史知识 古天乐真帅            
(4星)	 母上大人看了好几遍哦            
(5星)	 只有古仔能演项少龙啊！            
(5星)	 穿越剧之经典巨作，小说漫画电视剧都好看！            
(4星)	 神马！！ 西楚霸王项羽居然是我儿！！            
(3星)	 看完刑事四为了古天乐再来看寻秦记，末了他就是穿个越到古代就为了左拥右抱坐享齐人之福咯。坐收两个真是挺莫名其妙的。            
(2星)	 我觉得不太好看啊            
(3星)	 最初的穿越片~！            
(3星)	 这才叫穿越啊            
(5星)	 为了你,我回到兵荒马乱的两千多年前,可是,我却为了别的女子,再也回不来了.            
(5星)	 剧情很精彩            
(4星)	 这是不错的            
(5星)	 只因为古天乐，只因为是我接触的第一部穿越片，只因为他没有磨灭我对穿越的期待，所以它就是五星。            
(NA)	 不喜欢看            
(5星)	 穿越剧之神            
(5星)	 今年暑假又看了，看看琴清再看看宫里的神马妃子，就脚的很心酸啊            
(4星)	 项少龙同古代人结婚生仔系一个bug            
(4星)	 第一步国内的华丽丽的穿越局，我还是顶着期末考试的压力从南邮紫金飞鸿FTP上DOWN下两天看完的呢            
(4星)	 穿越中的极品            
(4星)	 已经忘了剧情 只是记得很经典            
(4星)	 的确挺精彩的。            
(2星)	 喜欢善柔            
(4星)	 雪梨在里面真好看            
(5星)	 穿越里面最好的            
(5星)	 最近芒果台的雷人穿越剧让我记起了这部戏最经典的台词：“原来秦始皇焚书坑儒是为了我”            
(4星)	 其实和小说比差远了。不过因为好看才去看的小说            
(5星)	 绝对经典！不解释！            
(5星)	 每个人都看过~~嗯~            
(5星)	 喜欢萱萱没有道理            
(4星)	 初一吧 好像            
(4星)	 oh！shit！你怎么能叫项羽！            
(5星)	 暑假电视台放，天天追着看的剧。            
(4星)	 算是穿越鼻祖么？            
(5星)	 穿越经典~当年古天乐还没有残。。。            
(3星)	 大四那年我们宿舍因为电脑上只有这一部电视剧，所以无聊的时候就全体一起看这部剧……            
(NA)	 好像不错，但重播的时候却没有看的欲望了。。            
(4星)	 完全不记得剧情了。            
(5星)	 还是不错的  算是我看的最早的穿越剧吧            
(4星)	 这部剧我还真的没看过，只知道是古天乐演的，都是因为最近雷人的步步惊心，想翻翻经典看看。情节很搞笑，也挺有创意的，十年再看也不觉得无聊，果然足够经典，古天乐当时很帅很年轻，他在戏中的表演跟单身男女的差不多，这是他的本色演出吗？            
(5星)	 穿越剧的鼻祖。这不是现在的什么宫、神话、步步惊心所能与之比较。每播一次，沉迷一次。            
(4星)	 穿回去的是古天乐不是项少龙。宣萱演戏很投入但演谁都是她自己。江华奸角毛骨悚然到假。林峰多年来走的真是条下坡路。            
(5星)	 最爱没有之一的穿越剧，也是唯一看得下去的穿越剧。            
(3星)	 那时还没很流行穿越            
(5星)	 超级无敌好看我什么时候要在看一遍!!!!!!!!!!            
(4星)	 穿越剧的鼻祖            
(5星)	 最好的穿越剧            
(5星)	 古天乐帅爆了            
(5星)	 论证、百花齐放的时代，探索的时代            
(5星)	 情节紧凑却不失张力，逻辑严密而环环相扣，故事构思天衣无缝且能自圆其说，编剧的想象力令人赞叹，功力深厚可见一斑！穿越剧题材中难以超越的巅峰之作，没有之一！            
(5星)	 最喜欢的一部穿越电视剧。且不论里面的BUG，和那个我讨厌的公主= =故事内容还有演员的选择都很让我心水啊……            
(5星)	 唯一看过的穿越剧            
(5星)	 寻秦记就是好看，比其他的穿越剧好看多了... ...2011-9-18            
(5星)	 经典。莫话。            
(4星)	 天命最高(～ o ～)~zZ            
(4星)	 最早的穿越剧啊.            
(4星)	 “我要改名叫项羽”233            
(5星)	 这个电视剧很长，但是古天乐无敌帅加搞笑啊，很好看。。            
(4星)	 穿越剧，看了很多次了            
(4星)	 穿越的开山鼻祖，古天乐事业的另一个高峰            
(5星)	 這個才是成功的穿越劇吧TT            
(5星)	 必须五星！！还需要什么语言吗，穿越剧的始祖！刚刚展露头角的林峰就那么霸气！！            
(3星)	 项少龙是项羽他爸！            
(5星)	 哈哈，虽然据说跟原著出入较大，古仔的戏我是一看一个喜欢。            
(4星)	None
(5星)	 最经典的穿越剧            
(5星)	 这样的穿越我也想来一把啊！            
(4星)	 这是一部很经典的电视剧了，因为暑假看了几集觉得不错，干脆下了直接看完。它让我想起初中有位同学，喜欢看黄易的小说，其中就有寻秦记，每晚睡不着时他就念些里面的故事，拉上大家一起失眠。本片应该是穿越剧的源头，看电视还能回顾历史，蛮有趣的。最近老看电视，论文反而看的不多，要改正            
(4星)	 花了两天时间宅在家头看完。最爱的是那位杀手~~我觉得自己比她还冷但是没她酷。。可惜还是回不到现在的故事。            
(3星)	 错误多了点，瑕不掩瑜。 1.战国居然有地瓜  2.每匹马居然都有马鞍马镫 3.秦国哪来的海 4.做苦役的吃的都是白米饭，猪脚却只能吃馒头 5.最后几集古天乐穿的衣服，跟神雕侠侣里面金轮法王穿的一个样，剧组，你也太会省钱了吧            
(5星)	 我觉得目前来说还是中国最好的一部穿越剧            
(4星)	 不错，古天乐很到位哦~            
(4星)	 總之、電視劇拍得比小說要好、私以為            
(2星)	 囧片            
(4星)	 古天乐再好，也不用剧中每个女人都为他神魂颠倒吧            
(4星)	 最早的穿越版，很值得一看。            
(4星)	 这部片子应该看了两次以上，感觉是穿越戏的经典以及难以超越之作。            
(5星)	 赞啊，很久没看到这么舒服的电视剧了            
(4星)	 很好看            
(3星)	 穿越时空应该是历史的一部分真做到了从小有点香港的武打片情结            
(4星)	 好吧，古仔帅得惨绝人寰啊……            
(5星)	 精彩~            
(4星)	 古仔哟~~            
(4星)	 最开始看的穿越剧            
(4星)	 重温中            
(NA)	 人生中 第一次 的穿越、            
(NA)	 今日吾躯归故土，他朝君体也相同。            
(4星)	 最爱善柔……            
(5星)	 穿越剧的鼻祖好么！！！不经典吾宁死！            
(4星)	 穿越剧的始祖嘛……            
(4星)	 你还有脸回来，带了几个妹子，跪搓衣板去！            
(3星)	 编剧开创了穿越时代！            
(NA)	 黑了之后帅很多有木有            
(5星)	 古天乐，和小说里的项少龙一模一样啊！！！            
(3星)	 看到结局震惊了啊喂！            
(2星)	 重放再重放，已经放到滥了。小时候第一次看觉得很有意思，现在看觉得无聊之极。            
(5星)	 爱            
(4星)	 初中时候看的，到现在都在回味            
(NA)	 喜欢古天乐、宣萱，当年没看，多年后看这部连续剧，仍然很吸引人，尤其是前面一二十集，港剧就是港剧，喜欢设置悬念。            
(4星)	 应该是第一部穿越剧吧            
(NA)	 童年            
(4星)	 古萱啊古萱~            
(5星)	 多年前看过，只记得结局，多年后再看依旧还是那么吸引人。            
(3星)	 呵呵，囧            
(5星)	 项少龙这样的男人真是。。。极品撒            
(3星)	 看了很多遍 不过结局不喜欢            
(4星)	 和原著真不一样。。            
(4星)	 挺早的穿越剧了，现在仍然在放            
(5星)	 又看了一遍，古天乐那个时候还真是帅            
(NA)	 那时的他，真是帅到人神共愤。            
(4星)	 和老公重温了一下经典穿越剧，回头看看好多都忘记了，但还是挺好看的...            
(3星)	 帅哥美女 断断续续看着            
(3星)	 没事看的下去，不过好像和历史不是很一样            
(3星)	 以前的林峰长这样滴..............            
(4星)	 古仔黑的初期，其实也是帅的。            
(5星)	 几年前看的，周末去金湖一个人在宾馆又重新看的，还是很喜欢的            
(5星)	 曾经的大爱...            
(NA)	 那时候古天乐真有型啊……            
(4星)	 十年前的TVB经典，最近迷年轻的古仔迷得凶。。。            
(5星)	 暑假重温。爱死。记得911事件播新闻前还在播这剧。            
(5星)	 港剧武侠片里最后的一颗明珠。            
(4星)	 结尾收的有点快。不过考虑到那么厚的一本书，就拍40集，就可以理解了。这次看，项少龙依然抢眼，但是嫪毐也让人同情，朱姬就是个杯具啊。            
(4星)	 一个巅峰            
(5星)	 经典剧集吧            
(5星)	 还挺搞笑的，那时的古天乐好帅；很少一部戏看完跟大众意见这么相左，我果然是原配控～            
(5星)	 我是来找真相的——“不管你信不信，反正我是信了”            
(NA)	 和未右终于才把他看个差不多            
(4星)	 还可以吧            
(3星)	 滕丽名霸气外露            
(NA)	 - -  MY GOD  开暴风影音边玩汉之云边看 加早上芒果台竟然又看了遍                  
(4星)	 高中的时候在电视上断断续续地看过前面的几集，现在花了三天时间总算看完。在某些表演上，古天乐让我觉得有星爷的潜质！比郑中基什么的靠谱多了！宣萱饰演的乌廷芳前面很赞！我原以为她是绝对的女一号。琴清这个角色实在是毫无特色：1.即使删掉也不会觉得可惜2.删掉之后，对剧情没多大影响……            
(5星)	 那个时候高一，那个时候开始要考试放假了~            
(4星)	 有腐            
(4星)	 很早前看的，算是第一个穿越了吧。            
(5星)	 小时候看过N遍的穿越剧啊，也是我看过的第一部穿越剧 中国穿越剧鼻祖！！！             
(NA)	 伴我度过四分之一暑假            
(3星)	 是我看过的第一部穿越么。。。？            
(4星)	 好搞笑            
(4星)	 当年名不见经传的演员如今都已成了腕儿            
(4星)	 坟蛋啊嬴政！！！！为什么要弄死嫪嗳！！！！            
(4星)	 从小学看到现在的片子，也不过时。寻秦以后再无穿越剧。            
(4星)	 焚书坑儒原来是因为项少龙这个妖孽！            
(5星)	 又在芒果台看了遍《寻秦记》。。真的很不错。。爱古仔，，太帅啦！！            
(4星)	 喜欢善柔            
(4星)	 离职后，呆在家里死命看死命看，终于看完了。            
(4星)	 为结局纠结            
(5星)	 穿越剧的开山鼻祖！老早就看过了，现在趁着湖南台重新播再温习一遍，我觉得剧情还是可以的，挺搞笑的，古天乐秒杀任何同时期的男演员            
(5星)	 可以说是穿越剧的祖先跟经典了！小学时候机缘巧合看过几集，中学时才在电视上看到。每次都因为作业原因看不完。后来也没了什么念想，断断续续看完了。前几天又见之于芒果台，心血来潮想听听真声，于是花了3天时间看完粤语版。古天乐当年真是一派英雄气概！            
(5星)	 这是我最喜欢的穿越剧，没有之一            
(4星)	 喜欢古天乐与宣萱的组合            
(4星)	 穿越剧中的经典。            
(4星)	 古天乐是一看点。            
(4星)	 穿越剧起始啊！            
(4星)	 最近偶然又看到电视播放，于是一发不可收拾，将整部电视剧重新怀旧了一遍。            
(3星)	 暑假蛋疼无聊打发时间之首选。林峰超有爱啊霸气嬴政。            
(4星)	 额，还是喜欢宣萱和古同学在一起，相对而言，古同学还是年轻的时候更帅啊。。。            
(4星)	 再看一次  发现了之前没在意角色 哈哈哈  善柔还是我最喜欢的角色！            
(5星)	 虽然情节和原书不是很一样，但是古天乐还是相当帅气的～觉得原书更符合男人的审美观，而电视剧更综合了男人女人的审美观～            
(4星)	 穿越里面算是还好的，黄易大仙。原著美女更多。            
(4星)	 居然有电视台在放....想当年都是中午趴在茶几上一边写作业一边看掉的..            
(5星)	 善柔，雅夫人，连晋。            
(3星)	 没想到啊。。。项少龙是项羽他爸。。。真是大开眼界了。。。项少龙真是艳福不浅。。。有点韦小宝的迷倒。。。            
(4星)	 我觉得是构思还不错的穿越剧            
(4星)	 小时候大爱，因为那个时候还是很帅的古仔。            
(5星)	 拍的相当的好，无论是剧本还是演员都无人超越            
(3星)	 这个应该算是穿越剧的鼻祖了吧。            
(5星)	 TVB最经典之作            
(4星)	 又见穿越。            
(5星)	 经典！！            
(5星)	 经典中的经典，又重温了一遍！！！            
(5星)	 善柔最后那一靠。。。            
(5星)	 TVB最后的经典之一            
(4星)	 看到十几集之后突然惊觉：咦 这是穿越剧耶！              
(5星)	 这么多年了，最近中午看重播，依然这么好看。            
(NA)	 重温了一遍，仍然经典            
(4星)	None
(5星)	 湖南卫视在重播，记得是初中那会看县电视台播，每次都要上学了还没放完，就看得支离破碎的。            
(5星)	 最爱善柔 也爱滕丽名            
(5星)	 百看不厌            
(4星)	 感人！            
(5星)	 项少龙很牛 但没和善柔在一起可惜了            
(5星)	 当初升高三，抓紧一切时间看，简直要了亲命            
(NA)	 好看！！十年之后才正儿八经的开始看是不是有点晚（抠鼻屎）            
