http://movie.douban.com/subject/2157131/	少年包青天
(4星)	 特别好看,非常喜欢            
(5星)	 这一部真的很经典。            
(4星)	 其實周傑這版包青天比其他版要好很多。            
(2星)	 抄袭无耻！！            
(NA)	 那个时候，周杰还不是咆哮帝，释小龙也没有变胖，李冰冰还顶着张婴儿肥的脸，一切都那么美好~            
(5星)	 经典！            
(4星)	 第一部还是能看的            
(4星)	 都是曾经啊            
(5星)	 小时候跟妹儿一起看，吓惨了。(-┏)            
(4星)	 尔康演的还是可以的！            
(4星)	 算是比较有趣的国产片了            
(4星)	 主题曲很好听            
(4星)	 我多年以来都很爱的电视剧之一，虽然有很多的抄袭，却是我每次都会看重播的片子。            
(3星)	 补遗            
(3星)	 我到底都看过什么！            
(NA)	None
(NA)	 存档。            
(3星)	 瓦擦!!!!!!!!!!記得小時候都不敢一個人在家看好嗎!!!!!!!!!!!!!一個破案片搞得那麼瘆人幹嘛啦!!!!!!=v=不過小時候看的還挺歡樂的~            
(4星)	 看了好几遍            
(NA)	 最爱1,2两部了。。。当年天天看呐都不记得看了多少边了。。            
(3星)	 讨厌尔康            
(4星)	 第一部最好看            
(4星)	 宿舍的孩子翻出来在看            
(3星)	 大学时在寝室里看过部分            
(4星)	 小时候看这部剧好怕好怕好怕好怕。            
(4星)	 恐怖连续剧。。。。            
(4星)	 很好看啊，周杰的包青天，释小龙的展昭，任泉的公孙策~搭配得挺好            
(4星)	 这个版本真的是经典啊 无法复制的经典            
(5星)	 小时候不敢一个人看。。。            
(4星)	 我最喜欢看的电视剧之一            
(5星)	 鼻孔还是有演技的！            
(3星)	 嗯..我小时候当恐怖片来看的            
(4星)	 剧情挺好            
(5星)	 还是觉得1好看。。。循环看。。。            
(4星)	 说句实话，周杰的少年包青天还是不错的            
(3星)	 对周杰唯一的好印象。            
(4星)	 还是喜欢任泉的公孙策            
(5星)	 主题曲依然记得~            
(4星)	 喜欢八贤王            
(4星)	 小时候粑粑陪我看的啊！！！看那个分尸案看的好害怕啊 老觉得躺着的时候有个剪刀从天花板上吊下来把我的脑袋剪掉 每天都把娃娃摆满床边 做成保护自己的样子！！！！！哈哈哈哈            
(3星)	 好几个案子都是模仿金田一的            
(3星)	 尔康！你头上什么时候有月亮了！            
(4星)	 小时候看得吓死了，但是看得好High。。            
(5星)	 最好的一版            
(5星)	 周杰当年还很帅            
(4星)	 小学的时候看的，当时好喜欢看。            
(NA)	 一直都是为了看八贤王            
(4星)	 惊悚！            
(4星)	 周杰童鞋的少年包青天真心是不可超越的。            
(NA)	 也是电视有就看啊、            
(4星)	 好恐怖啊！！！            
(NA)	 尔康\(^o^)/            
(NA)	 小学的时候因为一个无头尸体吓得不敢睡觉还闹腾把全家都折腾坏了╮(￣▽￣&#34;)╭             
(5星)	 爱死鼻孔哥演的包青天了 后面的陆毅和邓超是浮云            
(4星)	 讨厌周杰的鼻孔，不过剧情还是很好的。看看李冰冰的脸，大家就明白了            
(5星)	 很喜欢，尽管里面很多有抄袭金田一的嫌疑，第一部，第四部都不错，其余不评论            
(4星)	 探案呀            
(4星)	 我的青春。            
(5星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(3星)	 尔康..            
(5星)	 第一部，，你是这样得经典啊，而干尸和狸猫换太子又是经典中的经典。            
(5星)	 小时候吓死了，成天尸体神马的=。=不过不得不承认，此片真的蛮好的，现在重播我还看呐~            
(4星)	 陈道明 陈道明 陈道明            
(4星)	 哎呦 小时候超爱看的咧！            
(4星)	 还是这个最对味、            
(4星)	 各种西皮阿            
(4星)	 剧情挺好看，就是有点恐怖，有的地方像尼玛看鬼片一样恐怖。            
(4星)	 老实说，少年包青天系列我个人认为鼻孔哥演的是最好的，那感觉很犀利            
(4星)	 恐怖死了 童年阴影 到初中还不敢自己去我家阳台            
(4星)	 一直都觉得好恐怖啊~~~第一部最经典最好看            
(4星)	 那时候很喜欢~            
(3星)	 你妹哦 抄金田一抄的很爽是不是            
(4星)	 这个版本的最好看了！！！            
(3星)	 做作摆谱            
(4星)	 包黑炭            
(4星)	 这部其实挺好看的...            
(4星)	 只有一看着比较好看，那时候周杰还不是现在这样穿梭于二次元和三次元，那时候冰冰也还没变成莲花            
(4星)	 挺好看的。            
(5星)	 好看 歌也好听 哈哈            
(5星)	 不能少的童年（阴影）记忆！  连中间插播的广告都背下来了= =！            
(4星)	 那个时候的周杰啊            
(4星)	 其实很经典啊 公孙策啊            
(4星)	 超喜欢第一部啊            
(NA)	 小时候看这个还会怕的不敢自己一个人上厕所。            
(3星)	 记得最后的狸猫换太子看了N遍。。真心觉得最后包拯的慷慨陈词很经典。。。现在都忘了。。。12年了啊。。。            
(4星)	 后来才知道 每个案子都是抄的金田一            
(3星)	 周杰在这部戏里没那么雷            
(NA)	 小时候的必追剧场XD            
(5星)	 挺不错的~            
(4星)	 当时还害怕            
(4星)	 当年火爆荧屏            
(NA)	 T,,T俺看過呢~            
(5星)	 很喜欢，里面的案情都恨惊心动魄！            
(4星)	 当年还脚得挺恐怖来着。。            
(5星)	 显然1最好看了！！！            
(5星)	 周杰这版演员选的很对我的口味，之后几部就没什么兴趣了            
(4星)	 每个觉得演得都很好啊！！！            
(4星)	 哈哈哈哈哈哈大鼻孔！！！！            
(4星)	 我从这里开始喜欢陈道明和李冰冰，以及周杰你真的是实力派以及任泉曾经是偶像派            
(3星)	 尔康~            
(4星)	 虽然抄袭金田一抄袭柯南，但仍是好剧。小学时全班一起追一起推理剧情实在太有意思，有一次我在包拯给出真相前自己推理了出来，好开心❤            
(5星)	 当年挺待见周杰的。。。            
(5星)	 还是最爱周杰的版本！！还有庞秋燕！！~  记得她还是大汉天子里跟霍去病一起的那啥已经忘记名字了 可是好像没看见她别的作品了 挺可爱的挺喜欢~             
(4星)	 无数回忆。。            
(4星)	 不错啊            
(3星)	 很喜欢看            
(4星)	 那是个陈道明还演电视剧的时代！            
(4星)	 任泉葛格好帅的喏┭┮﹏┭┮            
(4星)	 认真演戏的鼻孔君==！！            
(5星)	 第一部还真是很不错 人物 故事 情节 气氛 经典难再得            
(4星)	 当年还喜欢破案片 哈哈            
(4星)	 三部里就算这部最好了。            
(NA)	 被有些集吓死了            
(5星)	 小时候相当喜欢这部剧。喜欢主题曲和片尾曲，喜欢每一个角色，尤其喜欢凌楚楚~             
(4星)	 什么都好，一切趁早            
(4星)	 公孫策比包拯帥多了……八賢王也好看。            
(4星)	 对我来说 是最好的一部少年包青天 对周杰的赞赏 也仅止于此            
(3星)	 真他娘的吓人            
(3星)	 原来看我过这么多电视剧——那时候还很喜欢释小龙~~~            
(4星)	 很阴森阿 刺激了我幼小的心灵            
(4星)	 真的很不错~~八贤王是个优质大叔啊 公孙策是个翩翩公子啊 包拯是嫉恶如仇好少年啊~~~羞            
(4星)	 呵呵            
(5星)	 最喜欢第一部了，虽然仔细想想还是有很多漏洞，但还是很稀罕，稀罕包黑子、公孙策、楚楚、飞燕、小侠展昭、包大娘，当然还有八贤王啦，其实每一小部的凶手都很优质啊，像耶律良材、卓云、蒙放、崔尚书。我是不是太花痴了。O(∩_∩)O~            
(4星)	 那会每天去学校都要和同学讨论剧情的            
(4星)	 其实很不错            
(4星)	 我喜欢破案的.算是经典电视剧            
(4星)	 啊啊啊尔康！            
(2星)	 对推理剧兴趣不大，演员也一般，除了陈道明            
(5星)	 自从陆毅拍了以后就不好看了            
(4星)	 多好看啊！！！！到现在看到干尸那部分还是觉得好吓人啊。。            
(4星)	 其实鼻孔演的真的很好。。。还有陈道明。。那时候是最初喜欢陈道明的时候            
(4星)	 吓得年少的我哟  公孙策最高！            
(4星)	 虽然确实抄袭日本漫画情节了，但是鼻孔周还是很有演技的 台词也不错，任泉演技不够外形不错，那时候我还是多么青春            
(4星)	 十五六岁能算是儿时的片子吗。不过确实也就周杰版的看了            
(4星)	 全为周杰= =            
(4星)	 这部拍的挺好的啊            
(5星)	 悬念什么的都很好啊，虽然有人说是模仿，但总不可能是完全模仿吧，那个国家有宋朝啊，再说模仿成这样也蛮好了，周杰的喜感也是值得肯定的            
(5星)	 其实挺喜欢这个包青天的...李冰冰很丑....            
(2星)	 周杰。。是一个有爱的人儿            
(NA)	 少年包青天几部里面就觉得这部是最好的，当时周杰也还是趁热打铁，但是不知道为什么这些年里一直就这么不温不火的。            
(5星)	 這就是我的童年            
(4星)	 经典！！！            
(4星)	 八贤王。。。你很帅气。。。            
(4星)	 这个是真的挺好看的            
(4星)	 尼玛还是小时候胆子大啊！！现在再让我看绝壁不敢啊！！！！！            
(4星)	 但是觉得又紧张又吓人的 现在一想到周杰 就郁闷            
(4星)	 当年看看蛮好看的，后来知道案子都是抄袭的。。晚上看很恐怖的！            
(5星)	 当时觉得好精彩啊，后来看了金田一就囧了            
(3星)	 当年也很喜欢释小龙~            
(5星)	 小时候看干尸那部分的案件，被吓得半死            
(4星)	 当时看的时候可是觉得包青天很帅气的！虽然现在周逃逃的口碑是越来越差了。。            
(2星)	 抄金田一到底抄 多少            
(5星)	 卧槽 尔康            
(5星)	 多喜欢当时包黑子啊            
(5星)	 还是第一部最好看呐            
(5星)	 绝对滴经典哇            
(3星)	 三部中最爱这部了            
(5星)	 这部片子导致我小学很长一段时间晚上不敢一个人睡~            
(NA)	 看了八百遍！            
(5星)	 童年的记忆，最喜欢的电视剧之一。            
(2星)	 全是曾经的回忆            
(4星)	 暴雨梨花针让人太难忘了!!!            
(4星)	 还是鼻孔哥演的好。            
(NA)	 这些命案都弱爆了            
(3星)	 当年没看过罪案剧的我一度觉得这个很专业 喜欢李冰冰            
(4星)	 释小龙那时候还没长残            
(4星)	 其实周杰演得蛮好啊！            
(5星)	 当时看的时候又怕又喜欢            
(NA)	 看得不敢睡觉的啊。            
(4星)	 这个好经典，一直都很喜欢。            
(4星)	 这一部还算不错。            
(4星)	 看得最多的就是这个版本            
(4星)	 。。。。。。- -那个黑炭脸。。。。            
(4星)	 当年那个什么干尸案真是要吓shi爹了好么。            
(4星)	 李冰冰家里干尸那件案记忆深刻！            
(5星)	 哎哟喂 当初的我是超级喜欢看断案题材的剧啊= =哪天有空在回顾一下吧！             
(3星)	 我一眼就发现了这是在抄袭名侦探柯南！！！            
(3星)	 第一观感很好！！演技过关，剧情紧凑，有疑云有笑点，四星！抄袭减一星。            
(3星)	 外婆很喜欢包青天电视剧系列，只要一直有放，不管什么版本她都会看。            
(4星)	 小时候喜欢。有点吓人。            
(4星)	 八贤王！！            
(3星)	 那时候的释小龙已渐渐残去            
(3星)	 那时候还真不觉得周杰鼻孔大这滑稽相貌 只是觉得太黑了 到底是抹了多少黑炭            
(3星)	 那个时候周杰在我最讨厌的男演员里排TOP            
(2星)	 这个时候已经觉得国产剧好傻了。            
(3星)	 妹妹喜欢看            
(4星)	 小学时候看的吓死个人了            
(2星)	 小时候看会害怕好不好。。。            
(4星)	 又一部童年的回忆            
(4星)	 不错，当年不错            
(5星)	 那时周杰借着《还珠格格》可真是火了一把，但要说的是，这部电视剧拍得很赞，节奏掌握不输给tvb~            
(NA)	 周杰发迹的作品 当时怎么没觉得他那么喜感            
(5星)	 当年真是一看再看啊            
(4星)	 哇.回忆哟            
(5星)	 小时候看的，美好的记忆啊            
(4星)	 当年看的时候吓死我了，周杰比陆毅版的好多了！            
(4星)	 上小学时看的吧，其实蛮有意思的...            
(5星)	 在家长管得很严的小学，一般不准看电视，可每到晚上播出这部的时候，妈妈却会叫我来看。。。            
(3星)	 大爱八贤王   还有庞飞燕            
(4星)	 當時真的很喜歡。晚上看的時候一定要拉上外公的呢哈哈。            
(4星)	 哎呀，年轻帅气的包青天～            
(3星)	 最近看推理，想起这部剧，在大陆的连续剧里算顶尖的呢            
(1星)	 据说是抄袭            
(4星)	 其实还是最喜欢周杰演的这版。            
(4星)	 嗯哼            
(4星)	 尔康！你怎么黑了？            
(2星)	 弱智的案情，男主角一看就不顺眼            
(4星)	 周杰还不是鼻孔周的时候。。。            
(NA)	 小时候很爱的悬疑剧            
(2星)	 抄袭还不注明出处..二星半。            
(4星)	 再看一遍发现了很多十年前没看懂的东西。。。还有不想吐槽抄袭的部分了。。。            
(2星)	 经典的抄袭，抄袭的经典            
(NA)	 剧情有些拖延，但有闪光点。            
(5星)	 主题曲和片尾曲都会唱 公孙策很萌啊            
(4星)	 相信这部电视剧在我们这代人算是无人不知的吧! 问过好多人都很喜欢~ 小时候每集都追着看，虽然有时候晚上会怕的睡不着！当时好喜欢公孙策&amp;小展昭啊~            
(5星)	 叫我NC粉吧!因为陈道明演的八贤王,我恨不得给10星!!没有长残的释小龙,没有整容的李冰冰,还有我的“小仙女”飞燕，“一吻之盟”的阿策，你们有没有在一起？            
(4星)	 虽然各种嫖柯南，但是还是好喜欢你，公孙策、赵德芳。            
(4星)	 还挺好看的，小时候看了还怕的不敢睡觉，现在想想觉得搞笑。。。            
(4星)	 明叔！！！！            
(4星)	 八贤王！道明叔帅得没边儿了！            
(3星)	 当年还是很好看看的……            
(4星)	 公孙策啊流口水啊~            
(5星)	 喜欢上李冰冰~~~不错的片  什么乱码起早的包青天里最喜欢的~~虽然不喜欢周杰~            
(3星)	 神马 居然有陈道明 开神马玩笑我怎吗不知道！！            
(5星)	 看过不下两遍，电视台一放我就要看            
(NA)	 这部很好看 情节饱满 故事也精彩            
(5星)	 小时候看的最恐怖的电视剧。庞飞燕真可爱            
(5星)	 超爱~~~~~~            
(3星)	 我那时候还挺小，凶杀案搞的那么吓人我都被吓得一愣一愣的！片尾曲很好听。            
(3星)	 有几个段子还成，不过还是做作了点            
(3星)	 不错啊。虽然不会再看了。            
(5星)	 小时候的阴影啊            
(5星)	 当时觉得周杰简直帅呆了。            
(NA)	 八王爷嗷嗷嗷~~~            
(3星)	 柯南            
(4星)	 陪我度过小学时光。。            
(5星)	 少年版里最好的            
(5星)	 那时候的迷啊，还有片尾曲。。            
(4星)	 小学的回忆            
(5星)	 虽然后来知道很多案情是借鉴来的。。            
(4星)	 小时候挺爱看的。            
(5星)	 一切都挺好，就是这个展昭的年龄……            
(NA)	 第一部不错，超级好看。            
(4星)	 怀念 - -            
(4星)	 爾康 你腫麼這麼黑            
(5星)	 10年前就看过的片子，这几天重新回顾了一下，发现一切还都是那么的清晰，即使是一些寻常的场景和对话依稀都还有印象，剧情设计还是那么精彩，只是一些历史和地理的问题上有些漏洞；那时候李冰冰还只是个电视剧女配角，如今已经进军好莱坞了，周杰却已经基本销声匿迹了            
(3星)	 中学时的最爱啊 看过好几遍呢             
(4星)	 小时候超喜欢的呀，导致现在对破案剧欲罢不能            
(5星)	 尔康演技真还不错            
(4星)	 那时还很喜欢周杰            
(5星)	 当初的经典啊            
(5星)	 暑假的乐趣。            
(4星)	 小时候看过的电视剧12            
(4星)	 相比其他几部，这部简直就是经典了啊。特么什么干尸、暴雨梨花针就是我的童年阴影啊            
(4星)	 八贤王太惊艳了~~            
(5星)	 电视台每次重播都喜欢看。喜欢。。。            
(4星)	 小时候我喜欢看。            
(NA)	 我是奔着展昭去的            
(4星)	 喜欢破案的包子            
(5星)	 也是每播一次就看一次的片儿            
(3星)	 哈哈哈 好年轻啊            
(4星)	 现在每次电视上演我还是全情投入的看诶···噗···血祭坛那个案子···着实当时把年幼的我吓的几夜不敢自己睡诶···            
(NA)	 经典            
(5星)	 绝逼是小时候的阴影啊            
(5星)	 有了后两版的比照 这版还是我的最爱 剧情和角色都很好             
(3星)	 那个时候，李冰冰还是相当清纯呀            
(NA)	 呃，我看了的····那时候两个冰冰都还没有红得发紫。            
(NA)	 没电视看的时候就看这个            
(4星)	 还是很好看的。虽然好多故事抄袭。            
(NA)	 盗版金田一哟~~            
(5星)	 经典啊            
(5星)	 嗷嗷~ 那时候躲在青梅竹马家里一起看然后一起被吓得不轻            
(5星)	 最喜欢的就是第一部            
(NA)	 第一部还不错啦。。            
(5星)	 一种莫名奇妙的冲动            
(4星)	 很有把我吓到。            
(4星)	 以前不知道 编剧原来这么能抄啊            
(3星)	 很难得那个时候有这样的电视剧             
(3星)	 暑假各种被看。。。            
(3星)	 惊鸿一瞥八贤王，抬眼尽是桃花现。。。            
(4星)	 尔康！            
(4星)	 看到台词都会背啊有木有····            
(3星)	 虽说后来知道原来老包破的案子全是抄袭人家的，但看的事后咱年纪小不知道啊！            
(3星)	 释小龙            
(4星)	 展昭最阔爱，哈哈哈，剧情有点吓人            
(3星)	 童年回忆啊            
(3星)	 不知道剧本抄袭金田一的时候，真觉得编剧很NB            
(4星)	 曾经很痴迷哪~            
(4星)	None
(5星)	 这个时期的鼻孔周还好啦。还挺爱看这个的。“敢说我是色鬼？我就色给你看看～”            
(5星)	 -,-我是脑残粉             
(2星)	 少时记忆。叹金田一。            
(4星)	 虽然不喜欢周杰，但是这部是所有里面最好的一部            
(3星)	 侦探剧一直不是我的最爱            
(4星)	 当年真的觉得很好看。还是在TVB看的            
(NA)	 当我也还是少年。。。            
(4星)	 第一部好像很熟悉了            
(4星)	 那时年少各种剧~            
(4星)	 小仙女和公孙策            
(5星)	 真的好怀念！            
(5星)	 很经典感觉，第二部也不错，很小的时候被吓的不轻            
(4星)	 当年看觉得不错。            
(4星)	 矮油            
(5星)	 经典！好看！那时候周鼻孔还不那么讨厌！            
(5星)	 难忘的回忆 大陆剧经典中的经典            
(NA)	 有几集挺恐怖的。。真心还是喜欢鼻孔哥的版本            
(4星)	 小时候看的，觉得案子都蛮不错的~            
(4星)	 小学有一年春游时正值少年包青天热播，全班一起在车上大声唱主题曲，oh，yesterday once more            
(4星)	 当年迷着呐。。。            
(4星)	 还是第一部比较好。            
(4星)	 第一部的感覺真是相當不錯，第二部也還好。再拍就不想看了－＿－！            
(4星)	 各种阴影。。。包括我小时候分不清陆毅和尔康的阴影。。。            
(5星)	 经典就是经典！            
(4星)	 还是第一部好看。            
(4星)	 以前觉得赵飞燕好漂亮的            
(4星)	 经典推理啊！！！！            
(4星)	 最好看的一部，超爱公孙策和庞飞燕，还有道明大叔的八贤王            
(5星)	 看了好多遍！            
(5星)	 最近看金田汪汪才发现 这里的手法剧情什么的有抄袭那个，不过还是很喜欢            
(4星)	 其实还不错啦 哈哈            
(3星)	 只觉得好慢···凶手总不出来！            
(5星)	 对人品没啥说的 但即使现在拿出来 也都还挺好看的....            
(3星)	 好像是这个版本我最喜欢吧。。小时候还不太敢看，后来自己坐那一看就一下午。。            
(4星)	 这可能算得上是我看的第一部悬疑类的电视剧了吧。周杰演的多好。为毛大家只是注意到他的鼻孔，真不好！！！            
(3星)	 不是很喜欢周杰，但演得包青天还是可以的~~            
(5星)	 最近跟宿舍里的人重温了又一童年经典！            
(4星)	 小時候好喜歡的恐怖片O(∩_∩)O哈！            
(4星)	 算是新版包青天里面比较靠谱的了~            
(4星)	 虽然抄袭很多，但是周杰还是适合演这种角色，眼光空洞，看什么都和看白菜一样            
(4星)	 周杰比什么陆毅邓超演得好太多太多了            
(NA)	 小时候每天在电视机前追啊！！！这是童年回忆啊！！不过现在看见了还是会看的~            
(5星)	 客观的说是三部中最好的一部            
(4星)	 现在看来当时能做原创的侦探剧还是很难得的。            
(NA)	 最喜欢的一部少年包青天。。。释小龙很可爱的当时，感情戏也没有第三部多得恐怖            
(5星)	 观影十几载 最好看的电视剧  上初一看的 印象很深 前前后后看了不下3遍            
(4星)	 一个内地经典古装刑侦剧的开篇之作。            
(NA)	 我真的很喜欢看哎，而且我觉得周杰演的不错的电影。当时好喜欢任泉，觉得以后就要找这样的男生。            
(4星)	 小学看的还是很怀念的            
(5星)	 大鼻孔2的很讨喜            
(5星)	 看来好多好多好多遍            
(4星)	 我真心觉着挺好看的。            
(3星)	 只记得那个死4个人5条尸的那part..抄金田一的.            
(5星)	 童年的记忆。            
(4星)	 剧情好            
(1星)	None
(4星)	 周青天还是不错滴，最中意的还是任泉的公孙策啊~~~            
(4星)	 第一部应该算是这一系列中最好看的~ 至少我愿意看下去            
(5星)	 好喜欢里面刘怡君演的庞飞燕和公孙策这一对            
(4星)	 尔康表情帝不解释。= =            
(5星)	 必须满分            
(5星)	 其实我也是后来才知道这剧的剧情有些细节是抄袭自金田一的。但说实话，抄得蛮有水平，剧情和时代背景、原著情节都结合得很好，关键它现在来看还不觉得过时。这剧的演员选得真不错，陈道明、周杰都是演技派。最喜欢的故事是侉依族之迷、隐逸村之迷和翻龙劫。这剧很多打酱油的女演员很漂亮。            
(NA)	 这也绝对经典啊！            
(3星)	 当时还是喜欢的            
(3星)	 当我后来读了《占星术杀人魔法》后，才明白中国的推理还没出生呢            
(5星)	 好看啊。惊悚啊。            
(4星)	 三部里面还是这部好            
(4星)	 最早爱看的侦探剧            
(4星)	 小时候为数不多喜欢的电视剧了。            
(4星)	 小时候看的了，很好看的啊            
(NA)	 周杰演技没的说            
(3星)	 案件抄袭痕迹太重了，三星给公孙策了            
(4星)	 记得那个干尸案，又怕又想看，还是很好看的            
(4星)	 ha             
(3星)	 很早以前在电视上看的，释小龙给我留下深刻的印象。            
(4星)	 这部还蛮好看的。            
(5星)	 尔康你也演过如此好看的剧，没白来世间走一遭啊。            
(4星)	 孙楠唱的好听            
(5星)	 。。。            
(3星)	 第一部第二部都好看啊            
(5星)	 好看            
(5星)	 童年练胆用！            
(5星)	 有些场景现在想起来还很怕。。。            
(4星)	 哈哈，喜欢的~ 可以多给半星~            
(4星)	 每次电视里头重播都会守着看。虽然已经无数遍了。公孙策呀，展昭啊，包青天呐。反正看不厌            
(3星)	 别抄了            
(5星)	 就是喜欢啊，唯一缺点——周杰太死板            
(4星)	 小时候是躲被子里看完的。。。现在的柯南也是。。。            
(NA)	 那时候觉得好多情节 跟柯南有几集好像 因为公孙策 所以看了            
(4星)	 八贤王帅帅，推理感兴趣，几位谈谈情也不错            
(4星)	 剧情真不错，男猪脚太讨厌。。            
(5星)	 这个时候的李冰冰和秋燕 真可爱            
(2星)	 开始挺新鲜            
(4星)	 大陆拍得最好的古代案情剧 周杰挺好的            
(4星)	 有些很恐怖(在我还小时看来)            
(4星)	 真的很好看 就喜欢看            
(4星)	 鼻孔帝才是少年包拯啊            
(5星)	 尽管是抄袭。。尽管是周杰。。可是剧情确实精彩= =            
(3星)	 看过一部分            
(4星)	 八贤王我爱你啊~ 你是我年少时的偶像 那个气场啊~想你一个大叔当小萝莉的偶像 真是道行深啊            
(4星)	 那时稀饭庞飞燕和公孙策            
(4星)	 虽然尔康长的真的太寒碜了，但是依然不影响这部剧在我高中年代的地位！            
(4星)	 小时候超爱！公孙策和包拯JQ满点！李冰冰美！            
(4星)	 这个好 经典            
(4星)	 其实八贤王是我最爱的角色。。            
(5星)	 周包拯阿一上身，陈贤王风华绝代。            
(5星)	 经典，不管别人怎么看，对于我，它都是启蒙，很多方面            
(NA)	 唯一把我吓到晚上不敢上厕所的电视剧·····编剧和配乐各种强大            
(5星)	 周杰后来变成这个样纸是个意外，其实这个剧还蛮好看的            
(NA)	 小时候觉得挺吓人的- -            
(4星)	 当时李冰冰丑得嘞            
(4星)	 我喜欢展昭，我喜欢公孙策，我还喜欢那个姑凉            
(5星)	 可以还你公道，我又何乐不为。            
(4星)	 以前每年电视台都会反复播的电视剧，它播几次我就看几次~~~当年的我真是毅力可嘉啊！            
(3星)	 和名侦探柯南一个档期。。。            
(4星)	 公孙策真的是很萌            
(5星)	 那时候还挺喜欢周杰的，觉得第一部是最经典的            
(5星)	 特别好看啊有木有！傲娇的公孙策卖萌的包拯！！！            
(4星)	 到哪儿哪儿死人的包大人            
(5星)	 看了一遍又一遍，其实大鼻孔演的挺好            
(5星)	 我当年可是看得津津有味的啊，李冰冰的角色还算讨人喜欢            
(5星)	 这部堪称经典啊，虽然剧情有金田一……那个暴雨梨花针真是每次看每次都不敢睡，现在不会了XD            
(3星)	 李冰冰那时候可真丑            
(4星)	 小学时代的阴影!!            
(4星)	 鼻孔哥~~~            
(NA)	 。。。不喜欢            
(4星)	 这个不用多说，很经典~ 不过个人更喜欢第二部~            
(3星)	 很棒的悬疑推理剧阿！            
(4星)	 好看~~小时候晚上喜欢看            
(4星)	 记忆加分            
(4星)	 当时觉得很恐怖 天天做噩梦            
(4星)	 我爱公孙策和飞燕~            
(4星)	 第一部开了个好头            
(4星)	 尼玛当时不要太喜欢看啊！！！！！！！！！！！            
(5星)	 第一部真心好看啊。。。            
(4星)	 虽然有抄袭，但是看得过瘾~            
(4星)	 我最喜欢看的电视剧之一            
(5星)	 很好看。不过案件抄了日本漫画的。哈哈。            
(3星)	 ~~conan金田一的FANS别喷我~我还是很喜欢少包系列的·~~~公孙策啊！！展昭啊            
(3星)	 每个寒暑假都放。。            
(3星)	 这种片子是陪老妈一起看的            
(4星)	 明星阵容，而且走向多迷的破案，挺刺激。            
(3星)	 尔康君！            
(3星)	 其实还好啦，不过编剧好像也喜欢看柯南。李冰冰那个壶把儿头很强大，每次都有想往杯子里对水的感觉            
(5星)	 经典怀旧系列呀~只是...听说释小龙和何洁在一起了...原来孩子都上街打酱油了            
(4星)	 这部还是挺成功的。。尔康演包黑炭好多了。            
(5星)	 虽然是鼻孔周，但是不得不说，这部里表现了他的演技！            
(1星)	 本来觉得还不错 后来发现全是抄抄抄 这个编剧抄的太离谱了 简直就是原样搬过来            
(1星)	 就冲你抄了金田一…一星不解释            
(5星)	 小时候喜欢的不行            
(4星)	 我很爱看啊。无论什么时候电视上有在放，我都爱看。很喜欢周杰和任泉在这戏里的表演啊。第一部很爱这两个男的。可惜那个年代，大家没有这么流行基情。第二部，只有任泉能看了。第三部，完全不能看啊。然后，这部戏，见证了释小龙一步一步的长残啊。            
(4星)	 其实挺好的，只是最近尔康比较红.... (+﹏+)~            
(5星)	 剧情还是挺不错滴            
(5星)	 算是国产经典了，在古装悬疑剧这个方面            
(5星)	 除了最老版，最喜欢周杰演的包青天啊····还有庞飞燕很特别啊！很赞啊！            
(NA)	 当时的江西台，每天两集，好快乐啊            
(4星)	 记忆呀，当时看的时候经常吓得睡不着觉            
(4星)	 八贤王~~~            
(NA)	 剧情好吓人！任泉好美丽。            
(4星)	 “小时候”觉得挺好看。            
(4星)	 三个里最喜欢的一部            
(3星)	 完全没印象了。但是每年暑假还有播呢。            
(NA)	 有的东西还是要mark一下的。。。            
(3星)	 饿 三部都看过。。。中国金田一啊。。。            
(4星)	 李冰冰还是没整容的时候自然~有的案情就不了了之的感觉，好多疑点还没解开呢~            
(NA)	 柯南金田一宋朝相遇大薈萃。            
(5星)	 当年还是很喜欢看的，周杰除了还珠，就只有这个拿的出手了。演的还是不错的，后面的几部都比不上这个。这个是最好看的。            
(3星)	 公孙策好帅哦~~~那是李冰冰还很青涩。。。            
(4星)	 我胆小啊胆小            
(5星)	 真经典啊 现在在重温第N遍了            
(5星)	 福尔摩斯的推断。            
(3星)	 当年被情节迷得气晕八素，但是一直都认为里面各种做作。也是一个和柯南一样走到哪里哪里有凶案的啊            
(3星)	 年轻时候的了- -             
(5星)	None
(3星)	 江山是用白骨堆成的，历史是用血写出来的            
(4星)	 就算有剽窃也比二、三好。            
(4星)	 最近重温小时常玩的电视剧考级游戏，主考经典电视剧各类狗血冷门剧情。该剧是热门考点。            
(4星)	 小时候还觉得故事挺吸引人的，周杰的演技也不错            
(2星)	 看的时候感觉还可以，是在我没看过金田一之前，看过金田一后...擦！真佩服国人抄力！            
(4星)	 那个时候的周杰还没现在这么烦            
(5星)	 虽然诡计是隔壁国家的产物，但还是津津有味。            
(NA)	 电视剧也陪了我很久。            
(NA)	 小时候的回忆啊……            
(5星)	 传说中的烧包            
(5星)	 遥远的儿时的回忆，统统满分。            
(3星)	 还行            
(5星)	 这太经典了            
