http://movie.douban.com/subject/2155265/	白眉大侠
(2星)	 我只记得主题曲。。。剧情什么的都是浮云~~            
(4星)	 小时候还是很喜欢的            
(3星)	 小时候看的在豆瓣找到了            
(NA)	 单田芳的编剧啊。。我擦            
(3星)	 那个主题曲！！！刀，是神马样的刀。金丝大环刀。哇哦，记忆犹新啊。            
(5星)	 小小小小时候看过的了，喜欢            
(3星)	 主题曲深入人心啊            
(3星)	 童年            
(5星)	 我印象我非常喜欢            
(4星)	 刀是什么样的刀~~~~~            
(4星)	 小时候的回忆，我爱主题歌~~            
(3星)	 什么什么 功的 是吗？            
(5星)	 囧片王            
(3星)	 不記得劇情了捏            
(3星)	 情节通通不记得。只记得刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！             
(5星)	 刀是什么样的刀，金丝大环刀！            
(NA)	 白云瑞！！            
(3星)	 记得是初中还是小学看的。            
(3星)	 但那个时候觉得真是太神了            
(4星)	 遥远的回忆            
(3星)	 刀是什么样的刀来着……            
(5星)	 喜欢房书安~            
(4星)	 刀是什么样的刀            
(NA)	 看过，完全不记得，从小就听单田芳的评书            
(5星)	 当年的白云瑞太帅了，当年的路小英也很漂亮，可惜……            
(4星)	 除了主题曲，其他的什么都记不得了。            
(NA)	 照例 不爱男一号。……才发现编剧单田芳？亮了。～～还有男二不是游龙惊凤里的那个李靖吗？为毛在白眉大侠里还蛮帅的？            
(3星)	 90年代中期 那个时代广播电视还不发达 能看的电视剧不多 这部是比较少的文化不多的人也可以看懂的电视剧            
(5星)	 我妈同事在里面演和尚            
(3星)	 记得在我姥姥家每天2集，结果最后一天家属区停电了，大四突然又想起来，补完了 可是感觉完全不一样了            
(NA)	 情节早忘了            
(4星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！......哇哈哈~~            
(4星)	 刀是神马样的刀 金丝大环刀            
(5星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！............................             
(4星)	 记事以来看的第一部电视剧            
(5星)	 人 是什么样的人  飞檐走壁的人 哈哈哈            
(4星)	 哈哈哈，主题曲的歌词我现在都还记得尤其是那句：美女爱英雄            
(3星)	 播最后一集的时候雷把天线打坏了，郁闷了一下午            
(3星)	 读初二，夏天有个午睡时间，在去学校 的路边店上也要凑着看两眼            
(4星)	 白云瑞哦            
(4星)	 金丝大环刀            
(4星)	 小时候的偶像            
(4星)	 哈哈，那歌词超搞，不过够赞！            
(4星)	 我还记得当初为了看这个，结果被我妈罚站~！！            
(3星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！哈哈哈~~~内时候~广播剧里也播这个~            
(NA)	 到现在还记得结尾那集…            
(4星)	 依稀还记得片头，太清晰了            
(5星)	 当年好喜欢的啊            
(3星)	 小时候好喜欢看啊，哈哈！            
(NA)	 ！！！！！            
(4星)	 那时候的邢岷山很帅，气质相当的冷艳。第一结尾曲非常好听：年年失望年年望，人见不平人人平。热血满腔宝刀难放，壮志未酬剑锋不藏。            
(4星)	 刀是什么样的刀 情是什么样的情？ 金丝大环刀  美女爱英雄            
(4星)	 飞檐走壁的童年记忆            
(NA)	 回忆。            
(NA)	 我早该明白，管你大侠还是小侠，男人喜欢的都是清汤寡水，那位紫衣妖女，唉            
(3星)	 都不记得剧情了。            
(4星)	 那首歌。            
(4星)	 儿时的记忆            
(3星)	 像某个人……            
(NA)	 哎。我还有歌词儿呢。            
(5星)	 刀是什么样的刀            
(4星)	 我觉得挺好啊，小时候最喜欢看了，白眉大侠徐良，还有那个小白脸很帅啊~~当时最喜欢的是陆小英啦~哈哈              
(4星)	 刀是什么样的刀            
(NA)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人……            
(4星)	 依稀记得最后那样一个背影            
(4星)	 一直在等着，，刀是什么刀？哈哈            
(NA)	 剧情忘了，只记得“刀是神马样的刀！！！”            
(3星)	 一点点的记忆··            
(4星)	 那个时候很喜欢的，歌曲都很熟名字也很熟，就是剧情不记得了。现在没有再看的欲望了。            
(NA)	 “传说中，他有着………………”            
(4星)	 小时候觉得很好看            
(4星)	 刀，是什么样的刀？金丝大环刀！            
(NA)	 有次周末拉我爸爸 陪我出去逛街。我爸说：等我看完白眉大侠杀掉坏人！            
(5星)	 当我小时候什么都不懂的时候，姐一直萌的是男2……原来我天生就是花痴……            
(4星)	 我就说有吧 哼            
(3星)	 龙云凤~            
(NA)	 小时候挺喜欢的            
(5星)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人……            
(4星)	 我看的第一个无线片            
(NA)	 我真的看过，哈哈            
(5星)	
(4星)	 刀是神马样的刀            
(4星)	 哈哈！豆瓣真强啊！左手拿刀..........            
(5星)	 我看过吗？不记得了            
(3星)	 虎康伟家看的一般            
(4星)	 白云瑞那小白脸啊，真好看            
(3星)	 河里有水蛤蟆叫，叫得大爷心里闹……            
(NA)	 对其的记忆只剩两条白眉。            
(5星)	 只是想姥爷了            
(4星)	 那时候经常琢磨怎么把自己的眉毛弄白了            
(3星)	 就记得白展堂了~~~            
(4星)	 后来这位白眉大侠演了一个大反派的角色，我实在不能接受啊            
(2星)	 确实只看了几集。            
(3星)	 小时候看得我上蹿下跳……            
(4星)	 童年时留下了很深的印象            
(4星)	 今天偶然在酷我里面听到白眉大侠的小说，记忆就忽然联想到了小时候看的仅有的几部完整的电视剧——白眉大侠。当时看的那叫个痴迷啊，天天中午放学跟踪播放，饭都不顾的吃。不过情节基本都忘了，现在只记得最后的结果太让当时的我伤心了。。。。            
(4星)	 哇。。。。好风靡啊。。当时。            
(NA)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！             
(NA)	 记得片尾曲的时候会播放花絮。，就是搞根绳子在飞来飞去，，破灭我以为他们会飞的假想            
(4星)	 小时候觉得很好看            
(NA)	 那歌好像是“刀是什么样的刀，剑是什么样的剑”            
(NA)	 我哒小时候~            
(3星)	 这部真是遥远的回忆了            
(NA)	 刀，是什么样的刀？金丝大环刀！........            
(4星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！............................             
(4星)	 当时看到最后还以为世界上就剩他们三个人了。            
(NA)	 小时候都看过吧。            
(3星)	 用的是什么刀啊，金丝大环刀用的是什么剑啊，……            
(5星)	 当时还真喜欢            
(NA)	 刀是什么样的刀            
(NA)	 十几年了，到现在还记得里面的一段对白：刀是什么样的刀.................情是什么样的情，美女爱英雄。呵呵            
(3星)	 　　刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！             
(3星)	 不记得剧情了，就是白眉大侠很耳熟            
(4星)	 哈哈~刀是什么样的刀，金词大环刀，剑是什么样的剑            
(3星)	 白眉大侠的造型真雷啊，当年为虾米那么火呢。。。            
(3星)	 刀是什么样的刀.剑是什么样的剑....好吧剧情我完全不记得了..            
(4星)	  小时候很爱看。。。            
(NA)	 这男主角怎么长这样。。。            
(NA)	 就记得那首歌很欢乐            
(3星)	 结局怎样，我给忘了            
(4星)	 很老的影片了            
(3星)	 哈哈，看过看过，大本的时候我们还一起回忆过那个主题曲。            
(4星)	 当时都能和新白娘子传奇和西游记并列了，可见看的次数之多~直到现在看电视剧里面人家拆信封我都有阴影，怕安个炸弹啥的……            
(3星)	 刀是什么样的刀……剑是什么样的剑……，当年是大陆第一部拍出来跟港台武侠片叫号的。            
(5星)	 剑是什么样的剑            
(4星)	 邢岷山啊~~当初好喜欢~&gt;&lt;            
(4星)	 还是小学前看的，大概五岁吧。然而我现在还记得那片头：&#34;刀是什么样的刀？金丝大环刀……人是什么样的人？飞檐走壁的人；情是什么样的情？美女爱英雄。哈哈哈哈。&#34;            
(3星)	 记忆中有这么个剧。            
(3星)	 我前两天还在电视上看见了！            
(4星)	 赖皮大头鬼——任伯安~~~            
(5星)	 我喜欢            
(NA)	 初一的回忆            
(5星)	 啊哈哈。            
(2星)	 完全没有评书的精彩            
(4星)	 ！！！            
(NA)	 !!!得重看...            
(5星)	 呵呵，他是横空出世的英雄，他有海阔天空的心胸。。。。。            
(3星)	 都忘记了 只记得歌            
(NA)	 刀是什么样的刀   哈哈哈  怀念            
(5星)	 印象里很深刻很深刻            
(4星)	 最酷的是那首主题曲            
(5星)	 明明是电视剧 怎么归到电影里了            
(4星)	 就当儿时回忆            
(4星)	 我记得我是看过的，虽然已经很久远很久远了，远到我只记得这部剧的名字，只记得那首歌了            
(4星)	 小时候美好的回忆，准备重温            
(4星)	 小时候            
(NA)	 这里面的男演员不好看            
(3星)	 当年的学前班一众男生的偶像，囧            
(4星)	 金丝大环刀！闭月羞光剑!美女配英雄！谢谢            
(3星)	 只是记忆的影视剧了。            
(4星)	 想当年在幼儿园，一个班的孩子在一起声嘶力竭地喊着片头曲，尤其那大笑。这让人不能忍的回忆啊~            
(3星)	 童年，童年……            
(4星)	 只记得看过            
(5星)	 英雄爱美女 依稀记得片子刚开始时 那个 歌词  人是什么样的人 刀是什么样的刀 .........            
(NA)	 是什么刀            
(4星)	 小时候的梦，尽管记不住了剧情了            
(NA)	 一直记得那个可爱的主题曲            
(NA)	 哇！童年的英雄^^哈哈^^怀念            
(3星)	 这个白眉，虽然不帅，却印象深刻            
(4星)	 主题曲很可爱，那时很爱白云瑞啊～            
(NA)	 刀是什么样的刀……剑是什么样的剑……情是什么样的情……            
(NA)	 白眉，呵呵            
(3星)	 哈哈，白眉大侠~~~            
(NA)	 哈哈，主题曲我我可会唱啦，曲子里那一段独白印象深刻~            
(5星)	 追忆            
(4星)	 可喜欢白云瑞了，那就是小时候的。。            
(5星)	 小时候超喜欢            
(4星)	 忘了，只记得陪我度过了小时候。            
(2星)	 只记得主题曲 人是什么样的人 飞檐走壁的人            
(3星)	 我只记得大侠好像很喜欢吃鸡屁股~            
(NA)	 哇，这个很有趣            
(5星)	 我小时候最爱看的电视剧啊！            
(4星)	 刀是什么样的刀？剑……            
(NA)	 哈，这个讲的什么忘光了，但是对那个主题曲很有印象。。。。orz白：传说中，他有着绝对精彩和浪漫的身手 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！            
(NA)	 内容不记得 但记得歌 什么金丝大环刀之类            
(NA)	 刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！             
(NA)	 天啊            
(5星)	 爽，简直是太爽了！！！无奈之下将房书安改编为“赖皮大头鬼”，倘若如今再拍“细脖大头鬼”一定能做到，没鼻子也没问题！力推！！！            
(3星)	 我K，怎么可能忘了这部电视剧？那个时候学校里几乎每个人都着了魔似的念叨“刀是什么样的刀……情是什么样的情？，美女爱英雄”哈哈哈            
(3星)	 邢岷山真帅            
(3星)	 都快记不得了……只记得练功的时候烟从头顶冒出来，当时笑啊！好假！            
(NA)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人            
(NA)	 大陆武侠剧的黄金时期，可能是90年代中期吧，拍得很自然、很好看。            
(2星)	 电视剧而已。            
(5星)	 挖哈哈哈 心中激荡啊            
(4星)	 刀是什么样的刀，金丝大环刀！            
(5星)	 喜欢白云瑞，房书安甚于喜欢徐良            
(NA)	 d            
(4星)	 记得那时候特痴迷。            
