http://movie.douban.com/subject/2142656/	又见一帘幽梦
(3星)	 太琼瑶了。不过很喜欢女主角和男主角去巴黎的那段日子，太美了！从而爱上了法国！初看的时候觉得张嘉倪更可爱，后来发现秦岚更耐看更漂亮。            
(3星)	 一般            
(3星)	 为了方中信，叔控瘾发作            
(4星)	 我有一帘幽梦~~不知与谁能共~~~            
(3星)	 我只喜欢看风景，别的无视，            
(2星)	 纯是为了费云帆~~            
(NA)	 情节有点忘了            
(2星)	 雷            
(4星)	 4星给法国的外景 很美            
(3星)	 怎么说也是一天一天追下来的            
(1星)	 那个紫菱，那个费云帆，那个613，脑残。。。            
(3星)	 琼瑶阿姨……            
(2星)	 湖南卫视老搞笑，没喜欢的演员，又没老版的好，算了吧，两星是鉴于没雷阵雨雷人            
(3星)	 秦岚的演技还是不错的            
(4星)	 很美也很虚幻            
(5星)	 好喜欢紫菱啊            
(1星)	 ......................我讨厌所有演员= =！恶心死了            
(1星)	 秦岚像邻家大姐姐的脸本不适合绿萍的高贵优雅，却意外让人心生怜惜，楚濂生活化的表演，给你大哥哥般的依靠~可是张嘉倪却完全没有紫菱的轻灵……方中信更是毁了我的费大叔啊            
(3星)	 我觉得琼遥阿姨还是很有爱的。其实我还在看还珠格格和情深深雨濛濛……            
(1星)	 看了一集,吐个半死            
(4星)	 剧情什么的都不说了，之所以打四颗星全是优质的画面，还有就是方中信。。。。完全是我的菜啊。。。。当时迷死了            
(1星)	 此剧让我了解到秦岚还是不错的娃，这1分给她了            
(3星)	 里面的场景很漂亮……人物嘛，还是老版比较经典！            
(3星)	 法国很美，绿萍演得很好~            
(3星)	 景色真的很美！可是男女主角看上去没有老版的搭。            
(2星)	 -___-            
(3星)	 讨厌紫菱            
(3星)	 普罗旺斯yeah            
(3星)	 为秦岚加一星……咳咳            
(4星)	 只是觉得风景还不错= =            
(NA)	 迷上了这样的方中信            
(4星)	 费云帆，多少女孩的梦。            
(3星)	 其实质量上还可以。但是张嘉倪越看越恶心了。还是我喜欢邪恶的？            
(1星)	 故事與演技，拍攝手法，剪輯還有配音都不太行。這種電視劇還是別再出品了，浪費人生。            
(4星)	 噗 我也要方叔叔            
(3星)	 ╮(╯▽╰)╭对这种片子完全没有抵抗力            
(2星)	 绿萍，大家闺秀；紫菱，小家碧玉。楚廉和紫菱这两位实在让人难以恭维。费云帆对紫菱纵容，溺爱之外哪里是什么真爱。不明白像紫菱那样自私骄纵的女孩也会有人喜欢，而且像幼稚园儿童，做费的女儿还差不多。最讨厌看这两个人的戏，太肉麻和弱智了。最讨厌紫菱。只为绿萍惋惜，何苦与他们这些人计较呢？            
(NA)	 恶心的片，芒果台打得太凶了，想不看都难            
(3星)	 我还是喜欢老版的。            
(5星)	 我幻想我未来的老公也姓费            
(3星)	 就因为方中信 我才看的            
(3星)	 冲着美女，给三星            
(3星)	 方中信你是有什么想不开的            
(3星)	 没有想象中的难看，是另一种的爱情故事，现实当中是不会存在那么单纯的爱情，那么单纯的人，那么美好的爱情！！            
(2星)	 只有秦岚演得好，其他...            
(2星)	 風景真美   不愧是飛到歐洲                
(3星)	 三颗星全是给秦岚的……她好漂亮……            
(1星)	 给方中信一颗星            
(NA)	 费云帆啊费云帆            
(2星)	 秦岚=大美女            
(NA)	 如今我也在法国了，可我没遇见费云帆，呜呜            
(2星)	 真的很烂！            
(3星)	 只为我从小就爱的费云帆 原来我有老男人情节 乱世佳人中的白瑞德也是我的大爱啊 苍天啊 赐我一个吧            
(3星)	 其实我觉得还挺好看的…琼瑶剧能这样已经很不恶心了～我爱方中信！            
(NA)	 秦岚一滴泪，天上一颗星            
(2星)	 要不是方中信啊...            
(3星)	 实在不喜欢张嘉倪            
(3星)	 只有绿萍还可以            
(2星)	 雷            
(3星)	 法国的美景是我坚持的动力~~            
(3星)	 秦岚不错 大爱方中信~~ PS 我学那个紫菱的声音可以学的很像 哈哈哈            
(4星)	 最后那谁bt了。。            
(3星)	 长大了才瞅出琼瑶阿姨身为纯情才女夺人幸福阴谋心机的端倪来。            
(2星)	 为了曾之乔..其他的忽视!            
(2星)	 还是旧版比较经典，实在看不顺眼2个男主角。            
(2星)	 又是一部芒果台的烂片            
(2星)	 这么烂的片，我居然都看完了            
(3星)	 完全是看秦岚去的 演技真不是盖的 真是喜欢她            
(3星)	 方中信好帅好帅！！            
(1星)	 跟原版差远啦！            
(2星)	 我喜欢绿萍 纠结女            
(2星)	 断断续续看的。不觉得怎么样。一颗星给方中信，一颗星给秦岚，大赞两人的演技。倒是张嘉倪比较做作。不过毕竟是第一次，能这样我也不再说什么了。            
(3星)	 看得我想打人！！            
(1星)	 ······无语            
(1星)	 。。。苍天呐            
(NA)	 我妈妈喜欢看            
(2星)	 我有的时候挺喜欢看雷剧的            
(3星)	 很一般。。。            
(2星)	 方中信　以后不要演这种戏            
(2星)	 三观不正            
(1星)	 呵呵，烂片一大堆            
(1星)	 orz.....            
(NA)	 纯属跟风。            
(2星)	 矫情！            
(3星)	 方中信方中信。            
(5星)	 无可救药的爱上了费云帆            
(4星)	 琼瑶的经典重拍            
(2星)	 hntv            
(2星)	 完全是被女猪破坏的            
(2星)	 原版的好看            
(3星)	 受不了琼瑶的肉麻兮兮的对话，不过因为场景，服装还不错，多给一分            
(5星)	 普罗旺斯情结。            
(4星)	 还可以 画面处理的很有质感            
(3星)	 喜欢方中信，保剑锋演的太老            
(4星)	 很无聊，看了此剧，秦兰很漂亮嘛            
(3星)	 张晨光不错，戏精，与时俱进的琼瑶剧            
(3星)	 我超级喜欢刘雨珊和楚沛  这不剧中其他人无视中            
(3星)	 结局看得我竟然哭了。            
(4星)	 很美丽的爱情，会长久吗？ 我爱普罗旺斯。            
(5星)	 不是每一个紫菱都能找到一个全心全意的云帆。。。            
(4星)	 紫菱 绿萍都很好看            
(4星)	 就凭法国的那几场戏也应该看看            
(3星)	 傻了吧唧的就看完了。。。            
(1星)	 芒果卫视出品，绝对垃圾保证！            
(3星)	 关于人物性格，不喜欢也不做太多评价。只是有些景有些镜头是真的很不错的            
(3星)	 其实真的还行            
(3星)	 普罗旺斯的景色拍的真的不错~            
(2星)	 是绿萍的疯狂挽救了整个剧！            
(4星)	 矫情的台词            
(3星)	 我今天nc了。            
(3星)	 3.5星。            
(3星)	 因为方中信~            
(3星)	 取景比以前的好  内容情节演绎还是喜欢老版的            
(3星)	 秦岚演的不错            
(2星)	 张嘉倪的紫菱太假了              
(1星)	 真可怕 一颗星是给方中信的            
(3星)	 聽到“費雲帆”說話，總覺“何書桓”附體。甚愛老版“費雲帆”。秦嵐與保劍鋒，看著更像姐弟，演夫妻有些糟蹋了。閃光點是秦嵐演技和普羅旺斯的美景。            
(5星)	 挺喜欢的            
(NA)	 前段时间炒得很热的，琼瑶阿姨的大作品的新版，两个女孩很漂亮，也是从这个电视剧里面普罗旺斯是那么美丽，真是恋爱圣地啊，你会爱你的初恋情人爱那么久吗？            
(2星)	 吓人的            
(4星)	 知道吗？我能理解紫菱，更心疼绿萍            
(1星)	 感谢穷摇奶奶给了我一个清凉的暑假            
(1星)	 全部去屎吧!            
(3星)	 呃~为了保保和嘉倪看的~方中信不适合这种剧~不过费云帆的确有魅力！            
(NA)	 以后再说起山寨怎么翻译，就可以讲“made in mangoTV”。            
(1星)	 雷到了            
(5星)	 被熏陶            
(2星)	 秦岚啊秦岚，唯一的看头            
(3星)	 我缺乏浪漫细菌            
(3星)	 虽然狗血俗套，但是我还是连着看了，什么魔力？            
(3星)	 我爱秦岚~            
(4星)	 2010            
(3星)	 法国的部分是在拍得太唯美了~方中信演的费云帆绝对是所有女人的梦中情人~            
(3星)	 讨厌紫菱~            
(1星)	 芒果台。。。            
(4星)	 不错哈。只是绿萍残废后那几集真吓人            
(3星)	 喜欢普罗旺斯，哪里好漂亮啊，演的不咋的            
(2星)	 雷啊雷            
(1星)	 原来我看过这么多雷剧            
(3星)	 我爸竟然还兴致勃勃地陪我看.......            
(2星)	 呃.....保剑锋            
(2星)	 我老妈看，所以我才看的T-T            
(3星)	 ╮(╯▽╰)╭            
(2星)	 我就是不喜欢我就是看不进去怎样            
(3星)	 情牵巴黎和普罗旺斯.            
(2星)	 又俗又烂            
(NA)	 哈哈哈 我是为了方中信！            
(5星)	 保剑锋，我也小迷过一阵，多有知性气质啊            
(3星)	 秦岚不错，张嘉倪让我足足降了颗星。            
(NA)	 爱上了普罗旺斯            
(2星)	 台词麻的可以            
(NA)	 喜欢方中信            
(4星)	 有钱才是浪漫的基础            
(NA)	 只能抱着大靠枕看，一到琼式煽情处，立马躲到枕头后头去……不过无聊时煽煽情也不错嘛( ^_^ )            
(1星)	 俗套。            
(4星)	 很喜欢方中信            
(4星)	 琼瑶小说里比较喜欢的一部了。方中信很有味道。            
(2星)	 琼瑶老矣！            
(5星)	 看了这个之后去了法国，也去了普罗旺斯            
(5星)	 拍的很好噢. 爱法国.  喜欢方中信   喜欢张嘉倪.            
(4星)	 浪漫的费云帆...            
(1星)	 这个星只给秦岚。            
(5星)	 太过梦幻  费云帆  一个梦幻中的男人             
(2星)	 外景漂亮，其他一概都又雷又做作            
(3星)	 因为某个姑娘喜欢看……            
(5星)	 虽然长。还是看完了。虽然看的很纠结。但还是看完了。最后才知道。其实不知不觉。我已经从这部剧里学到很多东西。关于爱关于恨。关于爱情关于亲情。关于割舍关于伟大。总是。这部剧最终还是震撼了我。09.8.8            
(2星)	 雷~            
(NA)	 太过浪漫的爱情 让人觉得 可遇而不可求             
(3星)	 又是芒果台拍的            
(3星)	 风景纪录片            
(3星)	 断断续续的看了，我还是觉得不错的，            
(1星)	 费云帆：现在你做好准备做真正的费太太了吗？哈哈，超搞笑的台词！            
(3星)	 3星都是给了费云帆这个幻想啊            
(3星)	 秦岚演得真好            
(1星)	 。。。蕭薔跟陳德容都敢挑戰。。那張什麽的看。。嘔。。            
(NA)	 很一般            
(2星)	 我就是好奇能烂成什么样。想起网吧里胖胖的老板娘哼唱主题曲我那个寒呀，但方中信的确挺帅。            
(1星)	 腻味恶心            
(4星)	 很喜欢秦岚……不过还是喜欢原来版本            
(5星)	 爱做梦的我也爱普罗旺斯~！费云帆真是个好男人啊~！            
(4星)	 很喜欢方中信 里面的风景很美            
(3星)	 给秦岚两颗星~            
(3星)	 法国很美~一部养眼但别无他长的戏            
(5星)	 方中信扮演的费云帆是我心中最完美的男人。            
(NA)	 培养老公的经典啊。。。可惜据说琼瑶写的男人这个世界上没有。            
(4星)	 普罗旺斯好美啊。。            
(3星)	 看了一点。。反正就是不喜欢悲剧~            
(4星)	 费云帆，完美的梦中情人~            
(4星)	 薰衣草美的不行~            
(4星)	 很同情绿萍~            
(3星)	 我真是无聊啊。。            
(NA)	 ......            
(5星)	 天！我居然又看这种戏了？|2008年7月2日1:22:25|看完了，忽略琼瑶阿姨式的说话有多么多么多么多么的肉麻，也无视它的梦幻虚假理想性，感觉戏没有大家说的那么糟糕，把评价的3颗星改为5颗……            
(NA)	 看了大部分            
(3星)	 总比台剧好            
(1星)	 雷死人了            
(NA)	 琼瑶的小说拍成的电影，挺好看的            
(4星)	 爱做梦的我也爱普罗旺斯~！费云帆真是个好男人啊~！            
(4星)	 为了秦岚的演出而推荐一个！            
(1星)	 景色宜人            
(NA)	 又见一帘幽梦            
(4星)	 又见一帘子噩梦            
(NA)	 喜欢追梦的紫菱，讨厌紫菱的洛克克的词藻！            
(NA)	 差劲,一点都不好看            
(NA)	 呵呵~惊悚的爱情故事！            
(4星)	 不错            
(NA)	 ==            
(4星)	 普罗旺斯的梦,可以不醒吗            
(2星)	 没劲            
(NA)	 我看过了的            
(NA)	 一帘幽梦            
(5星)	 其实除去“琼瑶”这个标签看本质，这部电视剧真的非常细腻，不生硬。不应该因为她是言情小说正人君子们就否决她            
(5星)	 看完后爱上了法国．            
(3星)	 假期无聊空虚的时候看的，严重琼瑶风味            
(NA)	 费云帆            
(3星)	 老版我也看过，觉得云帆这个人物简直就是完美，应该是许多女人的梦中情人吧！            
(NA)	 我喜欢萧蔷,也喜欢方中信.            
(5星)	 爱做梦的女孩爱看的            
