http://movie.douban.com/subject/2348524/	律政新人王
(NA)	 现在很少有像乐斌这么节俭的男生了            
(4星)	 还伐错，现在来看当时造型比较土。            
(5星)	 撇开人物造型，剧情可以拿满分            
(4星)	 簡單好看            
(4星)	 喜欢乐斌～            
(5星)	 四个主角都还不错，觉得陈键锋没做错。。。廖碧儿傻大姐一个挺可爱            
(4星)	 哎呀又是亲切的锋锋            
(4星)	 好笑，好看！            
(3星)	 第二部比第一部好咯            
(5星)	 好可爱的戏，，，廖碧儿的傻憨演得很不错，，只是没有想到陈键锋演了这么个角色。。。。有些挑战，很不错            
(5星)	 林峰的形象好搞笑~            
(5星)	 尽管同样都是新人的戏，就是很喜欢这本。            
(NA)	 大佬BEN。。。不过林峰配胡杏儿。。算了。。            
(5星)	 一直想看，但是没看完整的那种,终于结项了            
(NA)	 还不错            
(3星)	 为什么让我们vienct变坏            
(NA)	 古惑律师的爆笑行径            
(2星)	 开始还好看 后来就很假 两个女主角都不太pp            
(3星)	 看过就忘的片子            
(4星)	 我不大喜欢杏仁当时的发型。= =            
(4星)	 温柔的24孝男友TWO            
(5星)	 林峰 胡杏儿             
(3星)	 其实是很喜欢林峰的~~这片子就算了            
(5星)	 很好啊最爱的tvb电视剧啊            
(4星)	 一比二好看。还是喜欢林峰多一点~            
(3星)	 为什么胡杏儿那么丑还能拍戏            
(5星)	 好看好看,喜欢林峰            
(3星)	 陈建锋真不幸            
(5星)	 记得是陪以前女朋友在病床上一起看完的            
(3星)	 可爱的Jessica            
(NA)	 做梦都是粤语            
(NA)	 因为他，义无反顾地走上了这条路            
(4星)	 林峰灵            
(4星)	 当年很喜欢            
