http://movie.douban.com/subject/1761707/	天桥风云 모델
(5星)	最早看的韩剧 人物关系复杂 很喜欢 惊心动魄 结局还好。。。
(NA)	最早认识到我的张东健
(4星)	人生中第一部韩剧 彻骨的爱恨，纠缠的情感，令人唏嘘的变迁 为了东健，五颗星
(5星)	经典~
(5星)	对韩剧改观的开始，非常精彩的场景跟剧情。
(5星)	最喜欢也是最早看的韩剧应该看了不下20遍了
(5星)	可是  小政哥亲手把庆琳给嫁掉了。。。
(4星)	老早以前就看的了..确实很不错..当时的我..才几多少岁啊..忘了..
(NA)	经典
(4星)	依旧是完美啊完美的脸
(NA)	第一本看的韩剧...喜欢
(3星)	赵远均
(4星)	喜欢远钧！
(NA)	经典··
(5星)	这部剧中的天色很美，我总是想起来
(NA)	天桥风云
(5星)	我的第一部韩剧
(5星)	远钧，远钧，永远的远钧。
(5星)	我看的第一部韩剧~
(5星)	十年前的眷恋
(4星)	有点年代了。。。
(4星)	早期韩剧里面比较推崇的。。。现在里面的演员都老了哎。。
(NA)	  也是很久之前看的了
(4星)	韩剧中的经典，不过剧情实在是太曲折，结局实在是太悲惨。
(4星)	印象中的第一部韩剧
(4星)	当时很多人喜欢。不过不喜欢谁都死了。
(NA)	那么黯淡的故事和人生。即使爱那样真。
(4星)	第一部韩剧，张东健、金南珠，熟悉的名字！
(4星)	我爱金南珠
(4星)	印象中是初中的时候看过的。满不错的当时。现在也是。有两部。
(5星)	http://www.imdb.com/title/tt0313103/
(NA)	那个入门的时候儿~~~
(5星)	第一次知道张东健~~~~
(NA)	看过最多遍
(NA)	很阴暗
(5星)	小学看的~当时觉得李政太帅了。。。哈
(5星)	韩剧启蒙
(3星)	应该是我看的第一部韩剧。。凤凰卫视中文台播放，画面很好。。嗯嗯
(5星)	http://www.imdb.com/title/tt0313103天桥风云 모델 
(4星)	我的韩剧生涯好像是从这部开始的。一直没觉得张帅，不喜欢眼白太多的男人……
(3星)	最早看的韩剧
(4星)	经典的一部韩剧。
(2星)	风格不喜欢
(3星)	较早的一批
(4星)	看得第一部韩剧~~初一，凤凰卫视
(4星)	我妈喜欢。我也觉得不错。
(4星)	被最后的远均打动 伤
(4星)	初中反复看的经典电视剧
(4星)	高中的时候看的吧，里面的张东健好坏哦，比较韩在锡
(NA)	大爱。许多场景依然深植于脑海。
(4星)	情节有点冗长，但是由此爱上张东键。
(NA)	那时很喜欢张东健
(5星)	经典
(4星)	好老的了
(5星)	韩剧经典
(4星)	经典不用更多说
(4星)	同老妈一起看了两边，第一次接触韩剧就饭上了，糟糕！
(NA)	我小时候看得，老片儿了
(5星)	最好看的韩剧
(5星)	看的第一部韩剧，真的很好看
(5星)	世上再无第二个赵远钧
(NA)	突然想起，又翻出来看了，果然是老了……，喜欢看旧东西。
(NA)	经典韩剧。
(4星)	韩剧的开始
(5星)	心中永远的经典
(4星)	天桥风云张东健
(5星)	最爱的韩剧
(NA)	爱上看韩剧就是从这部电视剧开始的
(5星)	天桥风云
(4星)	最早看的韩剧。
(3星)	当时看的时候还是满喜欢的
(NA)	本人看的第一部韩剧 从此爱上了...
(5星)	不仅仅是爱情
(5星)	我的启蒙鼻祖
(5星)	最早看的韩剧
(4星)	纠结。。。
(5星)	看过的第一步韩剧。也是追到现在仍然没有完整看过的一部。
(5星)	太经典了，没看过的一定要看一看
(4星)	最早接触的韩剧
(NA)	我看的第一部韩剧
(NA)	不错
(NA)	很爱喔～
(4星)	美好的小学时光啊
(5星)	爱与恨，描写的很到位，也让我了解了模特这个职业的一点点。。赵远钧！
(4星)	en 1999
(3星)	好象没完整地看过，忘的差不多了
(4星)	看着很累啊……
(4星)	记忆里最好的故事
(2星)	我的第二部韓劇..
(5星)	很爱，太经典了
(4星)	都是帅哥
(4星)	永远怀念赵远钧。
(NA)	老韩剧，没有看完过，但是中学那个时候觉得非常好看。喜欢金南珠，也喜欢韩宰硕，部知道我为什么部像别人那样喜欢张东健呢？这部片子成就了很多演员，也是我看韩剧的最早启蒙。后来发现，很多演员都宰这部剧里出现过，连那个苏志燮都在跑龙套。
(4星)	看过的第一部韩剧
(4星)	老老剧
(4星)	第一部！
(4星)	最喜欢的韩剧拉
(4星)	这是我看的第一部韩剧
(5星)	我的启蒙片～
(5星)	帅呀
(5星)	在肖嵩家看的第一部韩剧，惊叹于里面海量的俊男美女，当时给我幼小的心灵带来了强烈的冲击，所以五星
(5星)	远钧的爱，唉……
(NA)	时装界的故事
(NA)	张东健，还是为了他！！
(5星)	最...
(NA)	看的第一部韩剧。超级好看的说。经典。
(NA)	看过几遍了吧，早期的韩剧，也很精彩
(5星)	唯一一部看全了的韩剧。
(4星)	卫视中文台 经典剧目！
(NA)	大爱
(5星)	我最早看的一部韩剧
(5星)	一部教科书式的韩国电视剧。是不是偶像剧倒不确定，总之很深刻....
(5星)	这是我看过的第一部韩剧，就被其深深的吸引了。对由韩宰硕饰演的远均哥的爱情羡慕不已。当远均哥悄然离去的时候，我的泪水再也抑制不住了！这也是我付出泪水最多的一部韩剧了！
(5星)	经典韩剧，我的启蒙。
(5星)	哎。。。关于这部电视剧我感叹得还少吗。。。。
(4星)	看过的屈指可数的韩剧里的第一部，不过当时可爱看了
(3星)	基本上属于第一批整容的出来了。。
(4星)	第一部韩剧
(3星)	这是我看过的第一部韩剧。 很久很久了啊。。。  
(5星)	赵远钧很不错
(2星)	因为这里有张东健所以看了，但没看全，接受不了化妆技巧
(5星)	非常经典，相当经典，必须经典
(5星)	第一部喜欢的韩剧~~
(5星)	这是我看的第一部韩剧 经典
(NA)	最喜欢的韩剧
(4星)	最有历史的．还可以的．
(NA)	放学回家的时候瞟了一段时间。
(NA)	这个更早，不过这个看得有点晕
(5星)	好看！我亲爱的远钧！TAT
(NA)	还是经典`
(5星)	绝对经典的
(NA)	最喜欢的韩剧。。。喜欢张东健
(5星)	韩剧中的经典
(3星)	小时候看的韩剧了!讲一群模特的生活
(4星)	我看既第一部韩剧,个人认为几经典
(5星)	曾经的经典
(5星)	爱上模特儿
(5星)	经典中的经典
(4星)	没有完整看完，但是结果喜欢……
(5星)	三个人都爱
(4星)	很早很早看过的一部关于梦想，关于追寻，关于服饰设计的电视
(NA)	无可挑剔的爱恋
(NA)	呵，那一阵子，唯一的梦想居然是去韩国买一张韩宰硕的海报。一丁点也没有喜欢张东健。
(4星)	那时的我，怎么也无法理解，为什么他们总说，没有永远的朋友，也没有永远的敌人。也因为喜欢着韩载锡，而深深讨厌宋庆琳。可是，朴秀儿，却是另一回事了。
(3星)	小時候看這個片子覺得張東建太帥了，壞壞的樣子好可愛。
(3星)	不喜欢阴谋，但女主角不错，很聪明．
(3星)	从这部剧开始接触韩剧。。
(5星)	最初的韩剧 记忆犹新
(NA)	我最爱的小政哥
(5星)	小学
(5星)	是那种会让我想到人生和命运的电视剧，非常吸引人~
(5星)	我的cici
(4星)	一帮时尚的家伙，也有真实的情感……
(5星)	很经典的一部
(5星)	至今认为最好看的韩剧
(4星)	从这里开始知道韩剧、整容明星...
(5星)	韩剧的最初记忆
(NA)	很久以前看的电视剧，当时觉得非常好，有机会再看。
(5星)	看的第一个韩剧
(3星)	东健
(5星)	最爱金南珠
(4星)	最初看的韩国片，挺喜欢的
(NA)	才想起来，这可是我最喜欢的韩剧。喜欢远均，因为他傻
(4星)	眼花缭乱的盛会
(5星)	最最喜欢的电视剧。曾经疯狂迷恋过。（不过也是N年前的事情了）
(5星)	 初中的记忆 最好看的韩剧
(3星)	很没耐心地跟着看了一个暑假。没想到看进去了。
(5星)	哭死俺了
(5星)	最早看的韩剧。
(5星)	这是我看的第一部韩剧...
(4星)	初中时哭着看完的韩剧～李政 赵远钧 宋庆龄 不忘的人物...当时居然还有人说我像金玉珠－－晕了
(NA)	介都尼玛什么和什么....简直不敢相信我看完了....
(5星)	看的第一部韩剧 经典啊 张东健 金南珠 韩载硕 廉晶雅 苏志燮…………剧情跌宕起伏，人物命途多舛，配乐印象深刻，好剧
(5星)	哎哟。。。不说了。。太经典了。。。。
(3星)	说真的，比起只有10集左右的日剧，动辄几十集的韩剧一直不是我的最爱
(4星)	李政，赵远均，宋庆琳，朴秀儿。
(NA)	模特生活，很炫也很浮躁，亮丽背后是悲伤，结局那场走秀很震撼。
(4星)	启蒙韩剧
(4星)	看过的第一部韩剧。
(3星)	虽然女猪脚有个大红唇，可还是没什么存在感。基本就是看张东健跟韩宰硕。
(5星)	看看那些后来大牌的稚嫩摸样，也很值得回票价了，韩剧启蒙啊
(NA)	如果蓝色生死恋是第一部这个就是第二部
(5星)	最爱的韩剧。
(4星)	估计是最早看的韩剧了，经典。
(NA)	某兔子 就是这个
(5星)	哈哈，第一部
(NA)	秀儿woaini
(4星)	以前觉得赵远均真是太帅了，后来看韩载硕演别的片却觉得一般般啊。
(4星)	最早看的棒子剧
(5星)	当年的最爱
(4星)	小时候觉得里面的人都好帅呀
(4星)	韩剧经典咩。应该素我看的第一部韩剧
(5星)	至今为止，我最爱的韩国电视剧。大家在这天桥上迷失了自己，有人找到自己。每个人的奋斗和爱情都被放大。
(4星)	唯一能看一集以上的韩剧。。。
(5星)	目前为止唯一不快进看的电视剧
(5星)	看过的第一部韩剧，注定无法取代的记忆。
(5星)	最早把我拉进韩娱的片子，更爱男二，剧情很棒
(5星)	小学的时候看的韩剧，印象到现在还是很深刻，很多如今出名的明星当时还只是配角而已，但是这部经典的片子集合了人生的酸甜苦辣，展现了模特世界以及社会的复杂
(4星)	貌似是小时看的第一部韩剧
(4星)	比后来的韩剧好看多了！
(4星)	当时看的如痴如醉的一部，我就是喜欢韩宰硕扮演的宋远钧，痴情的可以。好讨厌张东健的李政，典型小白脸啊。
(5星)	当年的最爱，心中无法超越的经典。庆琳的性格喜欢到了极点！
(5星)	唯一喜欢的棒子国电视剧！
(5星)	电视台放的，好看啊，里面有好多现在的大腕~~
(5星)	想起远钧还是心酸的很 
(4星)	一度想不起名字的韩剧，也是小时候看的。记忆里一直觉得不错，觉得金南珠超美，还有看任何剧我几乎都喜欢男二= =那时对张东健没太大印象。
(5星)	最喜欢的韩剧，没有之一
(4星)	十来年前特意租碟，看得很认真。金南珠张东健等人就是最早韩星印象。
(5星)	欧~~~~大概是看的第一部韩剧吧...哦我真心是很小就开始看韩剧了也!!~大了道没怎么看了~
(4星)	屈指可数看过的棒子片.最后一集始终没看.因为..我喜欢的那个角色史掉了= =...
(5星)	这个满分啊 和主播故事有一拼啊 经典啊
(5星)	最喜欢的韩剧，没有之一。永远的小政哥，远钧哥还有庆琳，朴秀儿
(5星)	曾经爱的太疯狂
(5星)	看到韩宰锡就好想再重温一遍《天桥风云》最爱的韩剧 没有之一 top2金三顺 往下没了
(4星)	张东健啊！~
(4星)	曾经风靡一时啊。
(5星)	又是童年的回忆
(5星)	永远的东健哥
(NA)	曾经看哭过
(5星)	大爱~~
(5星)	不知道算不算我看的第一部韩剧
(5星)	嗯哼 经典
(4星)	很早很早以前看的韩剧，虽然不讨厌张东健，但是更心疼韩载硕啊，不喜欢这个编排
(5星)	Classic.
(4星)	高中时看的华丽丽韩剧，记住了张东健金南珠，也深刻领教了韩国的整容成风，里边张张模特脸都那么像，有些傻傻分不清楚~~
(4星)	初中，和小凤积极讨论的话题，那时候就是这么变成无话不谈的
(NA)	那个时候在上幼儿园啊我去
(NA)	小学时 魂牵梦绕的记忆啊！从未被超越！
(5星)	和《纯情》一样都是经典
(5星)	我最爱的赵远钧~ 爱死了 爱死了~ 男人就应该这样，中学之后迷的一塌糊涂。
(3星)	我妈所喜欢的。。张东健，那时候我喜欢柏原崇
(5星)	与其说爱这部韩剧的经典，不如说是唏嘘自己逝去的那段时光。
(3星)	我只记得韩载锡了。。。
(5星)	还是原来的韩剧经典
(NA)	还是早期韩剧好看。
(NA)	看了这个觉得韩宰锡好帅
(4星)	张东健一如既往的帅～韩宰硕依旧命运多舛～～～
(5星)	金南珠
(5星)	小政哥XD。XXD。
(4星)	看到极速天使的海报里有韩在石突然很想再看一遍这一部，当时的金南珠很漂亮，韩在石也很帅，张东健我反而不喜欢。
(4星)	第二部韩剧
(5星)	我看过最棒的韩剧，结局哭死了。
(5星)	貌似是我看的第一部韩剧，真的很好看呀，那么久以前看的还印象深刻！
(3星)	不错，很现实的片子，就是感情这种东东，还真是控制不了的。
(5星)	韩剧鼻祖 绝不俗套 有内容 有感情！
(3星)	都是模特身材~
(4星)	那时候看完爱上女主播后接着熬夜看了这个。。。
(4星)	看过的前三部韩剧之一
(5星)	最不像韩剧的一部经典韩剧。
(5星)	谢谢远钧哥，让我明白，最好的爱人，可以让另一半感到温暖
(5星)	小时候还是跟妈妈一起看的 只记得好长好长 好多模特 金南珠 张东健 
(5星)	有一个演员叫韩载硕，他总是在戏里充当张东健的炮灰。
(NA)	太赞了好吗， 无数遍好吗， 永恒经典好吗
(5星)	我怎么就喜欢载锡呢
(5星)	我的启蒙韩剧，李政好帅。
(5星)	赵远钧!!!!!!!!!!!!!!!
(5星)	小学那会儿了 当时觉得金南珠太美张东健帅爆 还有很多感情纠葛看得心碎 也不知道现在再看会是什么感觉了。。
(5星)	越来越喜欢复杂的男人
(5星)	第一部~~
(4星)	我的青春时光呀。。。
(5星)	断断续续看了将近一年 终于把它看完了 经典啊！！！无法超越的韩剧 
(4星)	小时候印象最深的棒子剧了
(5星)	不知道为什么想起这部剧 当时太小看不懂 值得回味
(5星)	我看过的最经典的韩剧。
(4星)	我看的第一部韩剧= =
(5星)	看一次哭一次……永远爱远钧……
(5星)	我小时候最喜欢的一部韩剧啊！！！
(4星)	这是我看的第一部韩剧耶··
(4星)	韩剧教科书级别作品。张赫苏志燮龙套。
(NA)	唯一还惦记着的美好韩剧
(NA)	第一次看的韩国片儿
(NA)	我记得我是看过的
(NA)	爱张东健，还喜欢呢个妈妈模特~ 忘了叫什么了·
(NA)	十年前看不懂的情绪，今朝重温到底，眼泪却比从前多了。从前讨厌的角色，开始欣赏；从前喜欢的角色，开始厌恶。是我的成长么？或许还是许多不懂，值得再来一次。
(4星)	金南珠演的好不好！！！我看的第一部韩剧！
(5星)	实在是太经典了！经典到历历在目！
(5星)	儿时的记忆 最好看的韩剧
(5星)	那个时候还年轻，现在只有回忆了
(5星)	看到现在最牛逼的韩剧
(4星)	前面都很好看...就是太虐...结局没有牙齿……
(5星)	从小最喜欢的剧。没有之一  很多很多都还记得，大概所有的记忆都放在那里以至于现在.. 这么健忘、 昨天跟蛋蛋推荐 然后一起看第一集 吐槽当时的穿着跟演技 但是心底的喜欢现在这些塑造剧也是不能比的吧
(4星)	小時候
(5星)	那么喜欢看呢，依旧那么汹涌澎湃
(5星)	我的最爱呀！！
(NA)	那时候多觉得震撼呀。。。那个青春偶像剧贫乏的年代。。除了台湾的那个奶奶，看看《将爱情进行到底》就知道了。
(NA)	看过的第二部韩剧吧，实在是经典，那时候一个小学，对于还没有走红时候的三个人的不谙世事，到后来的结果还是很唏嘘的，到现在最后一集都没有看过，那个时候是不敢看，那么小就受这种打击啊
(5星)	看过的第一部韩剧，也是看过的最好的一部韩剧（虽然本来就没看过多少部）~
(5星)	小学第一次下午迟到就是为了它。
(5星)	这片子里的每个人我都很爱！
(5星)	唯一节奏飞快的韩剧。。。
(4星)	小时候跟着姐姐一起看的 那时候只是觉得好看 看个热闹而已 而现在 才能真正设身处地的了解那天桥上的风风雨雨..
(4星)	张东健帅啊。  这大概是我看的最早的韩剧了。
(5星)	小学时看的，李政让我爱极也恨极，以至于最终我爱上了韩载锡演的男二号！
(5星)	完美。
(5星)	算是最早接触的韩剧吧。怀念一下懵懂的小小少女吧。 啊哈
(5星)	好看啊好看~准备重看
(5星)	启蒙韩剧之一！
(5星)	李正是我最喜欢的张东健的角色！他的气质很适合这种亦正亦邪的野心男呐，帅得张扬，帅得炫目，帅得人心动心痛！最喜欢李政和韩彩英！
(4星)	大眼當年帥的一塌糊塗……
(5星)	小学时代第一部韩剧！
(4星)	初中时看的，对于那时的我来说这部的题材稍显成熟，不过金南珠真得超级漂亮呀～
(5星)	小学一年级看的。。
(NA)	当年的韩剧挺不错的，我爱她们的大浓妆。
(5星)	看的第一部韩剧 剧情无比强大 少有可比
(4星)	看的时候很喜欢金南珠！
(4星)	张东健真的很帅，美男子
(5星)	追溯到小学四年级看的韩剧呢，当时还不懂什么是爱情吧，就记得喜欢赵远均，讨厌李政，但他俩的爱都是不容置疑的吧~还有张赫和苏志燮，当时好青涩呀！经典之作，经典之作。。。
(5星)	超爱啊！！！！
(4星)	一代人的记忆
(4星)	小学看的突然决定再看一遍 剧情居然每个细节都还记得 我还真是早熟啊 
(5星)	从没有哪部剧像天桥一样立体丰满，从来没有哪部剧像天桥一样荡气回肠，从来没有哪部剧像天桥一样峰回路转，从来，没有哪部剧像天桥一样，和我们的人生一样，无甚出奇。。。
(NA)	好早好早看的片子呀。。。
(5星)	啊！！开启我看肥皂剧的鼻祖啊！！！！小政哥，第一个偶像啊！！！
(5星)	勾心斗角
(5星)	年少的时候觉得这个灰常好看呢~
(3星)	记忆中的剧呐...应该很多人都看过了 福建台播了好多次呢..
(5星)	结局~~~~（&gt;_&lt;)~~~~ 的稀里哗啦
(NA)	小学看的第一部韩剧好嘛！
(4星)	第一部韩剧，很喜欢宋庆琳和赵远钧
(5星)	山东影视台。我凑我看了好几遍好几遍吧。
(NA)	结局真悲，远钧真可怜，守候女主那么多年，却那样不值得的死去。想起来就难受，这比什么蓝色生死恋，天国的阶梯更赚眼泪啊
(4星)	不错，全是模特，以及后来的偶像男星
(5星)	庆林 李政，哦~
(5星)	当年看的我如痴如醉啊~~
(5星)	记忆中，看的第一部韩剧
(NA)	除了爱情是什么的第二部韩剧，韩剧序幕作
(5星)	最爱的韩剧。
(5星)	第一部
(4星)	这应该是我看的第一部韩剧，大爱~
(5星)	这部真的很经典。。。看过很多很多遍了。。。
(4星)	从此知道了什么是韩剧什么叫整容
(4星)	小时候看过
(5星)	当年凤凰中文台播放的，记得好像很晚才播，但还是坚持追下去！
(4星)	嗯，和《蓝色生死恋》一样，都是早期接触的韩剧
(4星)	剧情还有插曲到现在都记得一清二楚。。。
(4星)	最早看的一部，记忆犹新
(5星)	永远忘不了金南珠在T台上拿扇子挡脸的那一幕。。。
(3星)	为什么男二号总该死？
(4星)	过了这么多年再看这剧，依然坚持认为庆琳爱的是李政，他们才是最适合最相爱的，始终都不喜欢最终的一死，没灭了赵远钧这一路的炮灰，也因此他一路的深情最终淹没了李政的悲情，非常的可憎又无可奈何~~~
(3星)	很小的时候看过的了···
(5星)	人生看的第一部韩剧
(5星)	初中三年级的平平出现~金南珠很漂亮~但是不喜欢那里的张东健~只是过于遗憾了韩载硕~也许现在才能明白狗血实际上是从韩剧开始的新定义
(4星)	经典。人物众多性格鲜明，感情线复杂，剧情跌撞起伏，镜头用心.....这些优点现在韩剧都没继承到，反倒是狗血情节全继承了并且发扬光大了...
(5星)	从我最后一次在电视上看这部电视剧到现在已经超过10年了，虽然我现在随时可以上网看，上网下载，但我没有这么做。我的回忆中永远留着对它的记忆，两个字------惊艳。虽然已记不得里面的很多情节，却依然记得当年多么多么喜欢剧中的宋庆琳。
(4星)	这片子也有印象。
(5星)	韩剧的鼻祖
(5星)	最喜欢的韩剧
(5星)	无敌的编剧，强悍的剧情，性格的cast，巨爱！
(5星)	看的第一部韩剧！
(4星)	这是我看的第一部韩剧
(NA)	最喜欢的一部韩剧，永远不变
(4星)	对韩载锡的初体验~
(4星)	很小的时候断断续续看的，只记得那时侯金南珠被称作韩国第二美女（当然是在整过无数次容之后），然后剧情好像是一群麻豆的爱恨情仇，貌似张东健饰演的那个角色shi了？anyway，这部算韩剧经典了
(3星)	第一部韩剧吧，看的断断续续。。。
(5星)	第一部震慑我心的韩剧，还咬牙买了正版的DVD~ 剧情不似后来的韩剧那么NC~ 两个男猪真是帅到没边了~ 只可惜两男一女必有死伤。PS遥想当年我身为双担的岁月啊~
(4星)	当时好迷恋
(5星)	没有任何部韩剧让我那么喜欢。。。除了天桥
(5星)	现在听到电视剧的音乐还是很激动！！！当时觉得走T台是多么帅呀~~
(NA)	算得上第一步万人空巷的韩剧
(NA)	最近重看经典韩剧「天桥风云」，如十年前一样欲罢不能~
(5星)	这大概是我看的最早的一部韩剧了！
(4星)	那時候看還不錯.比較有內容.比現在很多韓劇都好.
(5星)	宋庆琳。。小政哥
(3星)	已经全部忘记了
(NA)	给我无限勇气
(2星)	冗长，看得没耐心。尽管确实到后面，有种荡气回肠的感觉。把所有韩剧表现手法用尽了。
(5星)	少时的最爱啊！
(5星)	剧中的人物吧，我觉得一部剧会火，一个演员想出名，角色一定要有个性
(5星)	我还记得为了当第一出场模特的不择手段。还有那个美背
(4星)	仍有再看一遍的冲动
(5星)	那时天桥
(4星)	当年很爱看的哦
(5星)	太经典的韩剧，时尚感放到现在来看也不算落伍。模特班的许多小学员现在已经是韩流砥柱了，苏志燮、张赫当年都是愣头青。忘不了赵远均这样的好男人。
(5星)	很经典的韩剧 不错！！
(5星)	必须顶
(5星)	人生的第二部韩剧！！！
(NA)	记得小时候看的老纠结了。剧中女演员们中毒般的浓唇，给我留下的阴影可不小啊
(5星)	由满心憎恶到渐渐欣赏这个李政。那些伤透你的，得不到的东西，毁掉它，狠狠报复。
(4星)	卧槽 张东健你个长腿
(4星)	这个好  ~~   小时候接触的韩剧中喜欢的··东健  ·· 为毛就想 加个 阿胶、、 = =
(5星)	这个才是最喜欢的韩剧，不像现在的韩剧那么做作…那会大家都喜欢李政，我却偏好赵远钧，一直对他的死耿耿于怀。
(NA)	木有看完
(3星)	初中记忆
(NA)	很早很早很早的韩剧了。
(5星)	韩剧的一个里程碑
(3星)	那个时候迷张东健迷的不行了
(5星)	主角们的故事就是我们小时候的八卦
(3星)	最早接触的一批韩剧
(4星)	貌似是我看过的最早的韩剧之一了啊~~~~~当年为了“小政哥和赵远钧谁比较好”的问题半夜在宿舍跟室友争得如火如荼，结果第二天被值班老师揪出去了~~~那还是初中啊~~~
(4星)	童年的美好记忆啊~~~
(4星)	看这个的时候。。才爱上韩载锡~~
(5星)	当年看的欲罢不能啊...
(3星)	接触的第一批韩剧，那个黑色的嘴唇啊……
(5星)	对，这太经典了！
(4星)	当年真迷
(4星)	这是最初对韩剧的印象，那时候在想为什么她们要把嘴巴涂成黑色。。。哈哈哈
(3星)	韩剧启蒙
(4星)	伤感的经典
(5星)	经典
(5星)	对我来说，这是最好。
(5星)	我心中永远的经典,现如今的韩剧都比不上它
(5星)	这才是我对韩剧最经典的印象。
(4星)	远均哥啊 。
(5星)	接触的第一部韩剧，剧情紧凑现实经典，大爱！
(NA)	小时候巨爱看的一部偶像剧。
(5星)	记得当时那个入迷啊，觉得张东健那么帅，男友天天因为这个跟我吃醋。。。
(NA)	小郑哥~花痴下，太帅了！！！怎么能一直这么帅呢！！！呵呵
(4星)	算是韩剧的启蒙剧了。那时候是很爱韩载锡的。故事的话。那时候算是很新颖的。
(5星)	宋庆琳是金南珠演过的最优秀的角色，那个年代的妆容、服饰我觉得都比现在要更加适合她，当然还有其中的廉晶雅。两位现在的样子我觉得都没有当年那样好看。印象深刻当然还有永远的小政哥，不得不说，宋庆琳和李政彼此契合无法替代的爱情，让我真的很羡慕。
(4星)	看的第一部韩剧 一直难以忘怀
(5星)	就是看这个喜欢东健哥哥的！
(5星)	...
(4星)	第一次看到张东健
(3星)	看这个时候上初一了吧，要不就是六年级，跟着她一起看，第一次接触韩剧。到现在，早忘了剧情，就记得张东健那张脸。
(3星)	挖晒！我不得不承认我很早就受韩流的荼毒了。。
(5星)	2000年小学的时候看的片子，片头那个嗓音沙哑的男子哼唱的歌至今还觉得很有味道。是第一部让我心疼男二的片子让我知道对自己爱的人是可以这样隐忍；让我憧憬这个时尚行业，让我整天叫嚷着要设计师，让我了解光鲜背后承载的痛苦是无法度量的……
(5星)	最爱的小政哥啊···初中高中各看了一遍···要不要再看一遍呢···
(5星)	这部剧是不是能算作是韩剧在国内的开山之作呢？（虽然之前还是有青出于蓝之类的片子）均歌、庆琳、小政哥 爱恨情仇当年这部剧里的龙套，现在也能算作是一线了吧！哈哈！均哥！！！
(4星)	经典。
(4星)	完全是经典……少年时代的回忆啊
(5星)	远均，谢谢你…谢什么？…谢谢你关心我。我们为什么每次都这样，心里面也不是这么想的，可是为什么一见面就要吵架。怎么，是不是我又做错什么了，到底怎么了嘛？！…我想亲你啊…讨厌啦，那我们和好啊
(4星)	韩载硕那个时候就是坑爹的必死无疑男二号。。。
(5星)	编剧和演员都是一时之最
(4星)	掀起韩剧热潮有没有。。你们90后懂个屁！
(5星)	为韩载锡感到可惜，一个男人最大的悲哀莫过于被另一个男人始终压制着，从一部剧到另一部剧，始终只能是同一个人的男二号...
(5星)	可能看的第一部挺长的韩剧，不错，金南珠演技真的值得可定。
(3星)	小时候看的，除了记得东健GG，其他都没印象了。
(5星)	我最喜欢的韩剧，曾经很严重的得了李政控
(4星)	值得重温的旧时光里永不褪色的经典。韩剧也有过这样自然真挚得让人亲切，紧凑炽烈得让人震撼，睿智深刻得让人沉思的时代，可惜一去不复返。PS唯一能成就李政的演员，当年的张东健...我的语言真是无法形容=  =+如今充斥着主流审美的一众姿容好似扶风弱柳气质好似纯真小受的花样美男你们汗颜吗
(4星)	哀叹下又是一起车祸。。。
(3星)	很棒
(NA)	唉哟 各位现在都老了啊。。
(5星)	超完整看过的韩剧。那两个男的都太帅了，给我哪个都OK啊。
(5星)	经典！那时候看简直震惊了- -
(4星)	嗯。。赵远均。。。
(NA)	早期看过的韩片，，那时候真是迷恋金南珠呢，，
(5星)	最可怜的是李政，小时候眼看爸爸淹死，不被爷爷接纳，和母亲远走他乡，经历太多太多，注意一生不平凡。爱情对他来说是奢侈品，但又偏偏爱上庆琳，最后远均的死让他无法面对庆琳。远均付出最多得到也最多，最后得到庆琳的爱，而且是带走了庆琳的爱一去不复返，留下庆琳很残忍。死确实比活着容易。
(4星)	在夏娃的诱惑播出不久后因为同样的两个男主角被重播的电视剧。也蛮好看的。
(4星)	难忘啊!!!
(5星)	看过的最经典的一部韩剧了，现在都已经记不起细节了。。不过里面真是帅哥美女云集的一部片子。。。
(4星)	确实经典...从剧情到演员到配乐...都是高层次啊..
(5星)	结局太变态！互虐！
(NA)	经典的韩剧。
(3星)	男主不错，不过女主是瞎了才看上他吗？
(5星)	啊！！！！李政这么帅！！
(NA)	我的第一部韩剧~~
(5星)	本来想写长评的，不过初中时候自己的私人日记里已经写了太多太多，在现在自己这个躁动的心情下，还是放弃静下心来重新回味这部经典。它所有的东西，演员，剧情，编剧，情节设计，都不是三言两语足以表达我的感受的。。。现在唯一想说的是，不想这部剧被拿出来和别的什么“经典”相提并论。。。
(NA)	最早看的一部韩剧，至今还是很喜欢。看了还是会流泪淅沥哗啦的
(5星)	经典里的经典
(3星)	小學上晚自修之前天天看= =
(5星)	唯一一部看了两遍的韩国剧~
(NA)	没看懂，只记得有个女模特最后疯了
(5星)	哇哦 第一部着迷的韩剧
(4星)	很久之前断断续续地看过。
(4星)	金南珠/韩宰锡/张东健 只是我最早认识的韩国人！
(5星)	这个也是小学的时候的事情啦
(5星)	泪推啊
(4星)	除了经典，别无它词
(5星)	  這個愛情可折騰了，折騰得死去活來~，幫當年得我折騰得淚流滿面啊~  張東健依然是最帥的！
(NA)	最早的经典，喜欢爆~
(3星)	看的第一部韩剧
(5星)	和《金枝欲孽》并列我心目中最好的电视剧
(5星)	小时候在电视上看的 当年觉得超好看的
(3星)	很早的片子
(5星)	第一部迷上的韩剧
(3星)	金南珠太美了。。。。
(5星)	初中的时候在教室里开电视大家一起看（那时候全省市搞什么政治教育 反正做完课间操要看新闻还要做笔记所以配电视） 蛮前卫的 表现模特的一些造型啥 鉴于庆琳是跟小政在先 我还是比较满意本剧的安排 
