http://movie.douban.com/subject/1786743/	老房有喜
(4星)	 多么清纯的爱情            
(4星)	 我的处女偶像剧。            
(3星)	 当年觉得这片逗得不像个样~~现在就很客观 哈哈~~            
(5星)	 我真的觉得这是他们最好的一部电视剧            
(5星)	 童年的记忆，摸不掉的。            
(5星)	 当时觉得他们两简直是天生一对。            
(5星)	 很美好的一部剧，只是这两人应该不会再拍这样的剧了            
(5星)	 三分半给记忆，一分给主演，半分给记忆中的上海。            
(3星)	 这个好像很上海。。。从小就认为上海人就那样怪怪的。。。            
(4星)	 喜欢苏有朋            
(4星)	 那時候的蘇有朋超級帥！！！！！！！！！！！            
(5星)	 最爱里面的苏有朋            
(4星)	 初中时还斥巨资买了VCD来回看来着，大家都好青春T______T            
(5星)	 当年觉得苏小鹏太帅了，他俩太般配了！            
(5星)	 当年的赵薇和苏有朋啊 。。。            
(4星)	 当年很有爱的说……            
(NA)	 好多年前看的电视剧，电视台放的，也不知道零零散散的看了多少遍。但是每次到最后一集，他们重逢的时候我都会很感动很感动~            
(3星)	 大一的时候宿舍还重温了一遍，苏小鹏中秋从计程车上下来那段依然令我等欲罢不能=V=。            
(5星)	 虽然当年的赵和苏还是很稚嫩的。。但这爱情我喜欢            
(4星)	 记不清了  但当时觉得挺好看的  比较简单温馨吧            
(4星)	 苏有朋那个时候好帅啊好帅啊，这部剧也是初中时候的，算比较温馨            
(3星)	 邰智源是亮点            
(5星)	 我就是从这个时候开始爱上夏天和上海的，这样的爱情太美好了。            
(4星)	 还是表妹吉祥好听些么，折折腾腾的看完，李眉，这个女子最心动。            
(4星)	 当时觉得苏有朋忒帅了            
(5星)	 小时候很喜欢他们俩。            
(4星)	 很喜欢他们两个哎~            
(5星)	 那会儿谁不想赵薇苏有朋是一对啊。。。            
(5星)	 还加上这部。。我是有多无聊~            
(4星)	 吴有利很逗。。当年的赵薇好喜欢            
(4星)	 当时很迷恋的一部剧。。。。            
(4星)	 苏有朋最帅的一部            
(5星)	 没办法 赵薇            
(5星)	 想起了好多年前的那种感觉 所以五星吧            
(3星)	 这真是回忆了。            
(3星)	 童年的记忆            
(5星)	 吴有利 你太可爱了～～～～～当年老子日思夜想的电视剧哦～～～            
(5星)	 苏有朋好年轻            
(4星)	 倍儿好看！！哈哈哈 特别喜欢看~            
(NA)	 依稀记得当年的样子            
(5星)	 那些简单的小幸福 那些青春的记忆  喜欢他们的那些时光 简单而快乐            
(3星)	 那时候觉得苏有朋蛮好看的。。            
(4星)	 你们好年轻！还是很喜欢赵薇！            
(NA)	 哈哈            
(5星)	 曾经让我爱死了 - -            
(4星)	 当年觉得苏有朋各种帅。            
(4星)	 怀念TT            
(5星)	 很美好呀。            
(4星)	 我爱苏有朋！！！！！            
(5星)	 我曾经多么迷恋啊……            
(5星)	 很经典的电视剧。邻里关系，海峡两岸，上海Rbt，通讯不便的年代，都是怀旧的亮点。            
(4星)	 月亮代表我的心 我是从这里听到的。            
(4星)	 曾经超级喜欢            
(4星)	 我永远记得新源里4门404的春夏秋冬            
(3星)	 那时候萌苏有朋吧            
(4星)	 看在动力火车，老房子以及少年回忆的份上            
(4星)	 喜欢苏有朋演戏            
(4星)	 赵薇和苏有朋就该在一起的             
(5星)	 你们就应该在一起啊···为什么不在一起啊？？？            
(4星)	 曾經暗戀過的蘇小鵬            
(3星)	 苏有朋年轻的时候是正太的典范。            
(5星)	 这个……算是我的电视剧情感启蒙么～同是某一个美丽的初中暑假啊！有冰箱里的冰棒和冰淇淋的！有晚风的！有凉席的！有写字桌的！有书的！有可以天天讲话写日记的四人帮朋友的！有着不必担心的作业与成绩的！有老师表扬与宠爱，有轻柔与独立，有在奶奶家的夜晚，有幽秘阳光小心事但有着大把空闲时间的！            
(4星)	 当时觉得老好看了。。。            
(5星)	 怀念啊~            
(5星)	 当年很爱苏有朋的呀            
(4星)	 一看上映日期，都11年了……想当年，最喜欢这部剧配上《月亮代表我的心》的感觉，最喜欢看小鹏和吉祥小情感……还有，是这部剧让我向往上海的弄堂            
(5星)	 好怀念啊！怎么感觉童年时光就是他们陪着度过的。暑假每天下午准时守在电视机前一集不拉的看完。当年真是好想他们是一对啊。            
(5星)	 那时觉得赵薇苏有朋好有感。            
(5星)	 隐约记得歌好像挺好听的。            
(3星)	 there was one time when I was fond of her so much...            
(5星)	 小时候的回忆，那时候的赵薇多纯啊，那时候的小鹏多帅啊            
(4星)	 我真的以为他们会在一起的            
(4星)	 那个时候赵薇和朋朋多青涩啊，喜欢这部片子超过了情深深、雨蒙蒙。            
(5星)	 吉祥            
(5星)	 好            
(4星)	 我那时不知有多萌赵薇噢~纵然现在还是很喜欢的。            
(4星)	 那个时候好想要赵薇的发型            
(5星)	 大爱啊，n多年过去了看，依然很喜欢。            
(4星)	 还是喜欢这对搭档。。。这片看过很多遍            
(4星)	 打的都是感情分~            
(4星)	 那个时候的苏有朋和赵薇真好。            
(5星)	 当时超想让苏有朋和赵薇在一起            
(5星)	 很喜欢看老房有喜的时候，记得那时候是在东海台看的，当时那个台不清晰，很伤眼睛啊，不过很值，很好看，好怀念那时的时光啊            
(5星)	 这个还是相当喜欢            
(5星)	 啧啧有空要温习一遍            
(5星)	 很久之前看到了，当时还在迷小燕子，接着看过这个觉得赵薇和苏有朋好配            
(5星)	 趁着《还珠格格》的大热推出的电视剧，苏有朋赵薇配到要命            
(4星)	 喜欢啊~梧桐树            
(5星)	 印象里每个人都很可爱            
(3星)	 这应该算是当年的偶像剧吧。            
(NA)	 以前的街坊喜剧多好呀            
(4星)	 不知道为什么身边很多人都没看过，我喜欢苏有朋和赵薇这对            
(5星)	 我就不信那个年代的孩子里有对“赵微”这两个字不感冒的……            
(4星)	 初中时看过的。苏小鹏 吉祥            
(4星)	 青春啊~~~            
(NA)	 青涩的赵薇与苏有朋，留给我别样的回忆。            
(NA)	 青春啊青春            
(NA)	 小pong~            
(3星)	 好喜欢赵薇的小时候            
(3星)	 小学  诶  真是几久以前了啊            
(5星)	 超级爱的一部            
(4星)	 当时超迷的~ 苏小鹏和吉祥  里面的每个人物都经典            
(3星)	 差点忘了……            
(4星)	 完全不记得剧情了.......            
(5星)	 好好看~            
(3星)	 虽然带有着上海人独有的一些小市民特点,会八卦会贪财会吝啬会自命不凡,但是却每一个都那么善良那么纯朴。没有韩剧里的勾心斗角,没有日剧里的辗转纠结,没有港台剧里的你争我夺,只有人与人之间的关心和温暖幸福的结局。淡淡的,却渗透人心。            
(5星)	 珍藏着的            
(4星)	 表妹吉祥 三弦叔 很上海小民的片子 还有张爱玲            
(5星)	 现在的偶像剧没法比，心里永远美好的经典            
(4星)	 我坦白说，我那个时候真的很喜欢赵薇的。            
(4星)	 当时感觉苏有朋和赵薇好配。。            
(4星)	 当年很萌            
(NA)	 小时候觉得苏有朋帅死了            
(NA)	 两人是一对            
(4星)	 嗯，很有特点的一部电视剧，清新无比~            
(4星)	 那时候多么纯真，多么美好啊            
(5星)	 童年的美好回忆，表妹吉祥。            
(4星)	 那个时候我记得还挺喜欢看的            
(3星)	 真的是小时候看过的片子            
(5星)	 年少的夏天的回忆呵，恍惚记得那时候蠢动的情感和忐忑。上海的味道，完满的幸福，青涩的气味。吉祥和小朋，不管怎样，你们都要幸福。            
(NA)	 还是很可爱的            
(4星)	 很生活，很感动！            
(5星)	 真好看呀么真好看！            
(3星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(5星)	 还珠后2人再度联袂，老上海，旧情人。里面的配角很欢乐，吴有利，哈哈            
(4星)	 童年回忆，前流星花园时代的偶像剧，苏有朋符合了花样美男的定义            
(4星)	 我觉得挺好的            
(4星)	 赵薇和苏有朋那时候都纯得要死啊            
(NA)	 HC逼我看的            
(NA)	 晚上做梦都看介个，木哈哈哈，            
(4星)	 很有感觉的一部偶像剧，现在看来也还不错，多年轻啊            
(NA)	 多久的老片了。            
(NA)	 ...当年..            
(4星)	 吉祥~ 记得很好看            
(2星)	 苏三和李眉那一段真的太销魂了。            
(4星)	 童年回忆。            
(NA)	 月亮代表我的心             
(4星)	 怀念我的童年            
(4星)	 那是一年的夏天            
(5星)	 青春无敌的赵薇和苏有朋啊，我最喜欢的情侣啊，没有之一。。。怀念当时的疯狂，而现在再也找不回来了。。。            
(5星)	 苏有朋帅气~~~            
(3星)	 童年剧。还珠太红了。赵薇太红了，苏有朋太红了。他俩再趁火合演一次，能没有观众么，我那个追啊追...            
(4星)	 看過看過            
(3星)	 貌似··小时候喜欢赵薇？            
(4星)	 这部剧以前好像是暑期档必播，但我又总是看不全……            
(4星)	 时代的记忆            
(5星)	 只要是他们的，都喜欢            
(4星)	 那时候真的希望你们是一对的么            
(3星)	 哈哈。现在想想，我觉得好二阿。内会儿觉得还挺好看的呢            
(5星)	 喜欢吉祥            
(4星)	 久远的回忆            
(NA)	 最近总是很想重温            
(4星)	 小时候特爱看。            
(3星)	 好小的时候在奶奶家看的啊            
(3星)	 好想再看一遍啊= =            
(NA)	 青春戲。            
(3星)	 赵薇当年长得多好，现在怎么越长越不行。            
(4星)	 我竟然看过！            
(3星)	 尤忆小萝莉            
(NA)	 补：不会评分+1            
(3星)	 那个时候。。。            
(4星)	 表妹吉祥。            
(4星)	 沪味十足。            
(4星)	 上海人内点儿事儿            
(NA)	 回忆。。            
(3星)	 四年级还是五年级？            
(3星)	 虽然给了三星 但其实我很怀念            
(NA)	 好治愈好夏天的其实 电视台再播吧            
(NA)	 吉祥猪猪吉祥            
(NA)	 只记得色调很昏暗            
(NA)	 回忆            
(NA)	 懷舊啊~~            
(3星)	 小学的时候贵州台老放            
(4星)	 居然翻出这个来了。。。俺居然当时也是老希望赵薇和苏有朋好。。。然后导致就希望杜飞那个杜飞也看上依萍那个依萍就好了。。。            
(3星)	 大概是我看过的最早的一部电视剧了。            
(2星)	 表妹吉祥            
(3星)	 年轻的时候我看这个            
(5星)	 唉呀妈呀，回忆向屎一般地出来。            
(3星)	 小时候还是很爱的……            
(4星)	 因为怀念，多给一星~            
(2星)	 那时候觉得还行，现在想想什么烂玩意            
(3星)	 我的妈呀 这个海报....            
(4星)	 个人觉得很搞笑。。。可惜结局太假了            
(5星)	 当年暑假我天天守在电视机前啊。。            
(4星)	 哎呦呦，怎么看都是还珠那时期的记忆啊……            
(4星)	 我当年好喜欢，但是不知道为毛一直没完整看完0 0            
(4星)	 当时百看不厌的片子，还记得某一次重播的时候，最后大结局被CCTV的反某某功宣传给挤掉了……            
(4星)	 小时候很喜欢啊            
(3星)	 姐喜欢赵微还有5阿哥！            
(5星)	 为了每年暑假看一遍也要打高分。            
(4星)	 苏有朋是帅哥            
(4星)	 哈哈哈 我初中时候的最爱            
(1星)	 田思很喜欢，她喜欢的金童玉女！不怎么喜欢            
(5星)	 青涩的赵薇和苏有朋 以及很好听的主题曲            
(5星)	 啊！苏小鹏，牛仔裤，白衬衫，第一眼就把我迷住了！对我来说有历史性意义的电视剧，让我喜欢苏有朋那么多年的电视剧。            
(5星)	 纪念我的青春年少~那些单纯而美好的笑容~~~~~~            
(4星)	 看到结尾的时候，我失眠了            
(3星)	 冲小燕子五阿哥去的～            
(3星)	 多么经典的赵薇和苏有朋啊，那会我是多么的痴迷苏同学啊~            
(5星)	 那时觉得赵薇和苏有朋很有爱            
(3星)	 赵薇当时拍戏穿的服装都是自己的衣服，囧……            
(5星)	 粉嫩的回忆~            
(NA)	 苏有朋那时候好帅！！老张的 我是真的爱你 配的真好~很好奇导演是不是当时中意张信哲同学啊            
(4星)	 小三問題有沒有!?拆遷問題有沒有!?床弟之事有沒有!?私生女問題有沒有!?不給四星都不行有沒有!?            
(5星)	 小鹏！            
(2星)	 百转千回啊。。。            
(4星)	 老上海的味道。            
(4星)	 春节假期里，用半天半夜重看了老房。预料之内的想起那时候的人和事。意料之外是居然看感动了，却不是为了谁，只是被经不起推敲的剧情带进去了。。。            
(4星)	 想起历史上看过这个。            
(4星)	 当年看了一遍又一遍，恨不得季芹去死……            
(4星)	 友情价，这个看过那么多那么多遍，我也是因为这部剧再也不吃胡萝卜的            
(4星)	 那会我才九岁！            
(5星)	 那时候觉得赵薇跟苏有朋多配啊~~            
(4星)	 用真情感动人            
(3星)	 看了很多遍，终于想起来没看过结局，补上了，完整了。“我要你知道,在这个世界上总有一个人是等着你的,不管在什么时候,不管在什么地方,反正你知道,总有这么个人。”            
(5星)	 经典的鹏薇            
(5星)	 当时很喜欢，老上海的感觉。特别是这样的楼梯走上去吱吱地响。            
(5星)	 我极度怀念...            
(NA)	 我的青春年华啊            
(5星)	 要根据那个年代和背景来评判            
(4星)	 苏有朋那里面很帅            
(4星)	 挺有感觉的~            
(3星)	 还珠格格的余热之下推出当然热播~            
(3星)	 还珠格格后马上就拍的好像            
(NA)	 我是正常的80后            
(3星)	 为什么。。。            
(NA)	 最近总是想起里面的一些细小的情节。奇怪。            
(3星)	 害我有事没事就唱，“最近比较烦！”            
(5星)	 比现在的偶像剧强一百倍            
(4星)	 当年的苏有朋和赵薇是绝配            
(4星)	 还是最喜欢这里的赵薇和苏有朋。。青春的感觉            
(4星)	 总觉得这里的苏有朋是最帅的~~            
(NA)	 主要场景就两个，可是演员挺出彩的，特别是配角            
(4星)	 其实挺好看的啊            
(4星)	 闹剧            
(3星)	 最近比较烦～            
(4星)	 那会儿多迷赵薇和苏有朋这对couple啊            
(NA)	 老房子的故事            
(3星)	 那会啊~~            
(4星)	 因为这部戏爱上上海            
(5星)	 一阵迷旗袍。            
(NA)	 因为还珠格格后，就看他们俩的这部了，那时还觉得他们真的蛮配的类·！            
(5星)	 小时候看过的最喜欢的偶像剧，喜欢那个时候的他们，年轻美好。            
(5星)	 小时候最希望苏有朋跟赵薇在一起。嘿嘿。            
(NA)	     赵薇后遗症之二。            
(3星)	 典型的暑假片让我第一次对上海有了某种情结            
(4星)	 当年好喜欢看的~~哈哈            
(NA)	 表妹吉祥            
(5星)	 小时候很爱的一部连续剧，那时候就觉得赵薇和苏有朋很配。你知道那种感觉吗？就好像五阿哥就该和小燕子在一起一样。            
(NA)	 当年觉得苏有朋多啊乖的的满            
(4星)	 小时候特喜欢            
(4星)	 那时候我好喜欢赵薇跟苏有朋这一对哦~            
(4星)	 这个片子我以前看过 喜欢赵薇在病床上那段 很好笑 真的哎            
(4星)	 严重怀念那个时候的我们~            
(4星)	 当年是有多爱这剧！            
(3星)	 小海燕都长大了。            
(4星)	 其实蛮好看的            
(3星)	 当时是多么迷恋赵薇            
(NA)	 谁年轻的时候还没爱过小白脸呢。邰哥吓我一跳。            
(2星)	 记不得了            
(3星)	 不错啊~当时年轻啊~            
(4星)	 那時候看得入迷且神經            
(4星)	 记得有一次重播被。。。打断了             
(5星)	 赵薇最美丽的时候。            
(3星)	 那时觉得他们好搭调啊            
(4星)	 小时候特迷赵薇苏有朋.            
(NA)	 好            
(5星)	 好看……我那曾经迷恋赵薇到魔怔的小学时代            
(4星)	 老房子的生活。            
(4星)	 哈哈~            
(5星)	 这简直太好看了么....其实我还挺想重温的= =            
(4星)	 给它四颗星，并不是因为剧情本身，而是因为看到在它后面的、我自己的青春。            
(5星)	 当年真的很迷赵薇            
(NA)	 上海~            
(3星)	 我想起我小学的时候超爱看老房有喜。。            
(5星)	 那个时候每天晚上都蹲点 到这个播放时间 谁跟我抢遥控器我跟谁急            
(4星)	 小时候觉得很好看...            
(NA)	 那时候            
(4星)	 代表一个时段            
(NA)	 这个很傻            
(4星)	 看过大部分还不错 上海么~            
(3星)	    觉得这部戏里的赵薇最美，苏有朋也很帅。            
(5星)	 小鹏 都算是我的初恋了吧……            
(NA)	 对上海的第一映像，觉得真浪漫。            
(4星)	 好看，好老的啦            
(4星)	 苏有朋在这里真的好帅呀。            
(5星)	 仍然是小时候看的,初中?高中?回忆啊,,,再次感叹以前的国产电视剧还是有好剧的            
(2星)	 《还珠格格》后遗症很严重，当时居然觉得超级好看。            
(NA)	 毕借俺的碟，她爱小虎队的            
(3星)	 呵呵（冷笑~~）            
(4星)	 那个时侯的赵薇和有朋啊~~            
(4星)	 天啊，还有这个！神气的豆瓣！哈哈。那会我还蛮喜欢清纯的赵薇和苏有朋的，还有上海老屋的那种温情调调。            
(4星)	 还是蛮怀念的            
(3星)	 现代版的小燕子，呵呵~那时的赵薇真纯啊。            
(3星)	 当年看了几遍吧好像。            
(4星)	 这四颗星全都打给里面的某没出现过人却出现过数次歌与专辑的老张。            
(3星)	 被剧情困扰了很多年，没有血缘的关系的人都可以长的这么像，证明了模仿秀存在的合理性。            
(4星)	 还想看。。            
(4星)	 其实很喜欢这一对            
(NA)	 差点忘了我看过- -忘了讲啥了。            
(5星)	 演员表演出色            
(4星)	 当初那个手链兴盛的……            
(NA)	 我只记得三弦叔的大闸蟹            
(4星)	 哈哈 朋薇 哈哈            
(4星)	 不错...            
(3星)	 想当年啊想当年。。            
(3星)	 其实我已经一点儿不记得了点点点            
(4星)	 非常喜欢，欢乐的味道。            
(5星)	 直到现在还想再看            
(NA)	 这一对儿            
(4星)	 那时迷到用录音机去录电视剧的声音。            
(2星)	 我杂那么讨厌苏有朋            
(4星)	 那时候真喜欢苏有朋            
(4星)	 看完还珠格格后看的！~            
(4星)	 内爱吃大闸蟹的吴秘书真够猥琐~~多年后的今天我还记得他~~            
(4星)	 吉祥.真是好名字.            
(3星)	 。大爱他俩的小学初中时代。。~            
(5星)	 我就爱这种小市井            
(4星)	 我那些厮磨在床第电视间消耗掉的假期啊，那时候赵薇真好看~            
(4星)	 记得以前至少看过十遍。。呃。。当时赵薇有多火啊~~            
(5星)	 超级喜欢 很夏天 很有喜            
(3星)	 据说那个海燕。。现在挺美            
(4星)	 关于一段回忆……            
(3星)	 呵呵……            
(4星)	 还不错。            
(3星)	 在上海拍的~那时候苏有朋的样子很灵的~            
(3星)	 现在想想剧情很烂            
(4星)	 男才女才，男貌女貌            
(4星)	 吉祥比你塑造过的任何一个形象都要好些            
(NA)	 看到这部连续剧，就想起在众兄弟一起在齐哥家那些开心无比的暑假，哈哈，友谊万岁！            
(4星)	 演員挺可愛，劇情挺靠譜。喜歡三弦那一對。            
(NA)	 我为什么看过这个。。。            
(3星)	 混乱...            
(NA)	 什么兄妹的弄来弄去.记不得咯~~~~            
(3星)	 一般吧 绝对是趁着还珠的热和气            
(NA)	 哈哈。很喜欢的。            
(3星)	 片子不咋的,纯粹凭着对还珠的余热坚持下来的            
(5星)	 以前就盼着这个了。。            
(5星)	 记忆果然很美好            
(3星)	 记得当时完全是借着还珠格格的风头。            
(4星)	 我记得情节挺好的            
(NA)	 想起老威和张朝波            
(4星)	 當時我真的很喜歡這部戲，非常非常喜歡。。            
(3星)	 这个可是我每年暑假的保留节目啊~！            
(4星)	 暑假的回忆。。。            
(3星)	 喜歡這里的趙薇多一點            
(5星)	 超低成本赢得巨大收视率！            
(3星)	 还珠外传            
(1星)	 我那时候都在干嘛？看这样的电视剧啊？唉！合拍台客山寨电视剧！            
(NA)	 大概初中样子            
(3星)	 苏友朋还是可以的            
(4星)	 十五岁的时候 我超喜欢            
(4星)	 还挺好看的            
(4星)	 很喜欢赵薇和苏有朋在里面的扮相！故事也很好。超喜欢那对市井夫妻！            
(4星)	 以前咋那么喜欢呢            
(4星)	 第四颗星给邰哥            
(3星)	 - -             
(4星)	 很早以前看的了~~还不错            
(5星)	 那时力挺苏赵成为一对~            
(4星)	 氛围挺好 无忧无虑的年代            
(4星)	 很喜欢这种上海弄堂里的故事            
(4星)	 给这样的评价纯粹是因为它真的让我像回到了小时候的那感觉            
(4星)	 赵薇的时代。            
(4星)	 有回味！两只真是配啊～            
(5星)	 无比绚烂，相信当时的苏有朋是真喜欢赵薇的，高中的日子，高一的日子            
(4星)	 好久。            
(5星)	 喜欢“老房”            
(4星)	 原来赵薇也漂亮过的            
(3星)	 当时还很追来着,但毕竟是趁火打出来的铁啊,粗糙了点            
(4星)	 其实那时候蛮喜欢的~            
(NA)	 童年            
(4星)	 总是会忆起小燕子和五阿哥的这次合作，很简单，另一种风情。            
(NA)	 那时候还迷他俩迷这剧迷的屁颠屁颠的。            
(4星)	 乘热打铁剧,卖的就是苏赵的搭配,但是就现在来看还是有那个时候的味道的!            
(4星)	 当时觉得.还蛮好看的.            
(5星)	 适合全家老小围坐一团一起看，每个配角都很出彩~            
(3星)	 我觉得自己还真是善变~ 那么喜欢他们 当时~            
(NA)	 有邰智源和季芹哎            
(4星)	 记忆里的电视剧。            
(3星)	 不能忍了，大眼妹你....            
(3星)	 童年往事            
(5星)	 特别好看            
(3星)	 最近比较烦...            
(4星)	 很帅的苏有朋 很靓的赵薇            
(3星)	 喜欢苏有朋            
(3星)	 无比怀念啊。            
(5星)	 初中时的回忆。            
(3星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 虽然剧情俗，但是当时还挺喜欢            
(3星)	 那时候小苏还是很嫩的。            
(3星)	 一般般啦。            
(4星)	 当年借着同学的碟看的,也是很喜欢天天听着歌            
(4星)	 传说那小海燕考进北影了。。            
(4星)	 http://baike.baidu.com/view/188193.html?wtp=tt            
(3星)	 还不是因为喜欢小燕子。            
(4星)	 我觉得这部比小燕子好看多了，差不多同一时期吧            
(3星)	 我好像当时看这个的时候还觉得苏有朋挺帅的。。真是此一时彼一时，少年儿童的喜好不算数啊~            
(4星)	 美好的回忆            
(5星)	 很早的青春剧 很早的感动             
(4星)	 就是喜欢            
(5星)	 当初看一次笑一次。。好多人都不记得了吧？            
(4星)	 美好幼时回忆            
(NA)	 咱们那时候的偶像剧。我记得有一条好看的背带裤。            
(2星)	 为什么那个时候喜欢看            
(4星)	 那时候的赵薇真年轻真可爱            
(4星)	 我超爱季芹            
(5星)	 小时候的故事            
(4星)	 小学3年级时着迷  偶像剧入门吧那时觉得苏有朋好帅 不过今日怎样看都看不出他哪里帅了 或者这个男色时代已经让人产生审美疲劳了 或者只是“帅锅”看多了 也真就没什么了~            
(3星)	 剧情有很多漏洞倒是……            
(3星)	 当时觉得挺好看的还            
(NA)	 只是一部趁热打铁的片子……            
(2星)	 那大眼怪热            
(NA)	 那个时候，那两个人都年轻清澈~怀念啊            
(3星)	 那时候觉得还行            
(4星)	 当时真的真的喜欢的紧。。。觉得相比还珠，两人都成熟些演技上            
(3星)	 小学毕业的那个暑假。            
(3星)	 三星半            
(3星)	 儿时的回忆啊...            
(4星)	 现在想象，那时候算是当成HC剧看的            
(NA)	 还珠的后遗症，看见是赵薇和苏有朋的就会积极地看。            
(3星)	 赵薇、苏有朋、老上海，只是结局太过牵强，明明长得那么像，硬说苏有朋是收养的，不懂得悲剧更让人记得住的道理吗？            
(NA)	 很早的，喜欢            
(5星)	 他们相爱。            
(3星)	 老片 那时觉得还不错            
(3星)	 呃            
(NA)	 喜欢。是初三看的            
(4星)	 当年超爱。            
(NA)	 对上海的最初印象大概是因为这个电视剧……            
(3星)	 我当然喜欢赵薇了 勇敢坦诚的女子            
(NA)	 当年真的觉得很好            
(5星)	 小心眼的女孩子。            
(NA)	 青葱            
(4星)	 同样是那个年代的大陆偶像剧啊。            
(3星)	 小时候看的只杂劲~~            
(NA)	 这个就更无语了。那时候还看得津津乐道啊。。。            
(3星)	 当年赵薇还真红            
(3星)	 小时候爱看的啊            
(3星)	 那会儿很想赵薇和苏有朋一起...发昏            
(2星)	 苏有朋没有演艺天分，早该回家养老            
(NA)	 我承认我很傻很天真            
(NA)	 老早以前的，那时还是很喜欢。            
(NA)	 那时的赵薇。。。            
(5星)	 当年的小苏子很萌            
(4星)	 我那时挺爱看的            
(NA)	 那时,满大街找五彩手链呢~            
(5星)	 献给我的回忆            
(NA)	 那么多年过去了            
(2星)	 还珠格格后遗症。。。            
(NA)	 哈哈 当时是蛮迷小燕子的时代呢            
(4星)	 那两年电视上整天播。很好看呀！纯洁.            
(3星)	 老房有喜             
(4星)	 吉祥            
(3星)	 感冒开始好转了。            
(NA)	 一直很喜欢……            
(5星)	 小学和朋友在一起看的，之后是电视上播一遍看一遍，那两栋老房子里的所有人都很爱，还有在复兴公园，在那个外墙上有金箔的酒吧取景。小时候的质朴回忆啊。            
(4星)	 怀旧            
(NA)	 我以为这部叫表妹吉祥            
(4星)	 那时候多爱看哪            
(NA)	 呵呵。            
(3星)	 狗血            
(NA)	 哈哈~~小燕子那时可是很有号召力的。。。            
(NA)	 那时赵薇苏有朋很红啊            
(4星)	 很久以前我就在想这部片子的名字。可是一直都记不起来 后来我的同桌在我提问她看过哪些古老的电视时她告诉了我这电视剧的名字。这让我很是激动，毕竟在那个时候看赵薇与苏有朋演戏时很有看头的事，是令我很窝心的事。            
(NA)	 还珠之后            
(3星)	 其实不怎么样的片子，那时候喜欢赵薇和苏有朋觉得什么都好看            
(3星)	 心中偶像是苏有朋的时候，那个时候追星追得还真是赤裸裸~~            
(3星)	 以前还觉得不错...            
(4星)	 上海情结……竟然比还珠还先看……            
(3星)	 其实赵薇的民国装比较好看~            
(2星)	 很想不通当年我是怎么坚持把这个稀烂的肥皂剧看完的            
(4星)	 童年回忆！            
(5星)	 上海表妹 台北吉祥            
(NA)	 吉祥~            
(3星)	 纯粹是因为还珠遗风，于是乎看了这个，怎么说呢，还行吧，有点搞。            
(2星)	 当时是看不懂剧情也要看赵薇、            
(5星)	 记忆            
(NA)	 大眼薇的雕刻时光            
(4星)	 欣赏贴近真实生活            
(3星)	 啥结来着，还挺风靡的            
(5星)	 很小的时候喜欢            
(4星)	 那个女配角很不错            
(3星)	 老房有喜 / 表妹吉祥            
(3星)	 少年居家必备            
(NA)	 永远记得被送往宿舍之前依依不舍的就等着他俩亲，我妈在包饺子。            
(4星)	 吉祥，苏小鹏。青春无敌啊。            
(3星)	 还珠火之后，赵薇拍的第一部片？            
(3星)	 有人觉得他们不配吗?            
(3星)	 印象中有点乱,但很搞笑            
(NA)	 儿时和同学常聊的话题            
(3星)	 很傻很天真            
(4星)	 故事情节还挺有趣的！            
(3星)	 还好            
(3星)	 小学的假期有点无聊            
(2星)	 演着演着故事都讲不下去了，捏汗            
(3星)	 我初中咋看了这么多这样的捏            
(NA)	 比还珠好            
(3星)	 曾经喜欢过赵薇在里面的旗袍装。            
(NA)	 那一段赵薇红得呦！就冲着她去看的。。            
(3星)	 年少无知得时候，唉那时还在易老那补习数学呢            
(3星)	 感觉剧情怪怪的，演员怪怪的，可能是我遇到的第一部不伦不类的偶像剧吧！            
(3星)	 小学看的            
(4星)	 就是没看到结局啊!            
(1星)	 很啰嗦的一部片子            
(3星)	 回忆            
(3星)	 吴有利 大闸蟹            
(2星)	 难道这就是所谓的伦理剧？            
(3星)	 貌似当时很喜欢zw和syp的情侣组合。。            
(4星)	 很上海！            
(2星)	 现在看来有些傻~            
(NA)	 没看完            
(2星)	 也就是看苏有朋还挺帅的            
(4星)	 嗯，有些细节还是很上海的            
(3星)	 还珠格格后遗症。            
(2星)	 只是看过            
(4星)	 超喜欢的~            
(NA)	 高三温暖回忆            
(NA)	 老房有喜            
(4星)	 曾经的痴迷和憧憬.            
(4星)	 虽然现在觉得有点傻，但当时确实很喜欢            
(3星)	 去过片场哦！！当时还没改名            
(2星)	 这...太无聊了..            
(3星)	 格格后时代产物            
(3星)	 我记得我还重复看了几遍，可见那时候的娱乐资源有限啊~            
(4星)	 赵薇的青涩时代            
(3星)	 其实不差啦·            
(4星)	 趙薇和蘇有朋當年都年少啊。            
(3星)	 忘了什么剧情            
(3星)	 貌似小学的时候还挺喜欢看的。。。            
(4星)	 小苏童鞋和小赵童鞋可都演绎了两代轮呢            
(5星)	 很小的时候看过了，真的很有爱！！！他们怎么没在一起~~~            
(4星)	 那时候火的啊。            
(3星)	 那时候好萌苏有朋。。。= =            
(NA)	 我也不知道怎么莫名其妙链接过来的，我只记得里面的小海燕超爱张先生~哦，张先生T_T~            
