http://movie.douban.com/subject/2244363/	粉红女郎
(5星)	 当年大爱的电视剧。尤其是ED啊，泪流满面啊。            
(5星)	 从这部剧开始喜欢陈好。            
(4星)	 陈好那时候太惊艳了吧！！！            
(3星)	 结婚狂太搞笑了            
(3星)	 一炮走红了刘若英            
(5星)	 这是一部充满真善美的片子，绝对的经典。            
(5星)	 初中时追着看了好多遍            
(5星)	 看的时候把方小平恨死了=- =            
(3星)	 = =。。。。。。。。            
(3星)	 也是儿时的剧了            
(4星)	 这是2002年的电视剧！！为什么都十年了！我了个去。            
(5星)	 真的不错，第一次认识奶茶，没想到            
(3星)	 那个时候，我还小= =            
(5星)	 结婚狂 万人迷 坤儿的罗密欧 太多记忆【还有打酱油的函数            
(5星)	 想要一个大房子，里面住着我的好朋友的梦想就是从那时候开始的吧            
(4星)	 奶茶演的真心很棒。我多想念那时候的你。            
(5星)	 剧情没那么重要了。这是我们的童年。            
(NA)	 挺好看的~            
(5星)	 其实每次都期待小剧场而已            
(4星)	 ……我那时多爱此剧            
(NA)	 大家一起来恋爱， 陈好-万人迷 三星。            
(5星)	 小学的时候，熬夜和我妈一起看一起笑的日子            
(5星)	 原来看我过这么多电视剧——我和我妹妹都爱看的~            
(5星)	 四个女人一台戏...            
(5星)	 朱德庸你好有思想！！！！！！！            
(3星)	 为结婚狂加一分~            
(4星)	 爱刘若英.陈好也不错            
(3星)	 几乎每个人都红了            
(4星)	 狂迷啊……都是回忆            
(3星)	 这部电视剧播得万人空巷那时候我是真的不待见傻里傻气的刘若英。            
(4星)	 是一种生活状态的写照            
(4星)	 恩            
(3星)	 无法忍受刘若英和胡兵的情侣配，怎么不是和陈坤啊。            
(NA)	 电视版里的结婚狂 比漫画版幸福多了            
(4星)	None
(3星)	 这之后我再看见刘若英的时候 总不合时宜的想到她的龅牙...            
(4星)	 还蛮有趣的。。            
(3星)	 陈坤自己会再也不想看这部电视剧吧..这部电视剧曾经给我很丰富的课余时间...可情节真的弱得可以= =            
(4星)	 小时候看的，我都没啥记忆了~在法国的时候还看过书呢，挺搞笑的。            
(4星)	 看一看 乐一乐            
(3星)	 ...            
(4星)	 陈好那时候真万人迷            
(5星)	 啊哈哈哈哈哈，里面有坤坤的啊！            
(5星)	 我想我不是万人迷是结婚狂            
(4星)	 相当成功的一部改编。四个粉红女郎的故事，爆笑而温馨。            
(5星)	 当年就是你。            
(4星)	 很欢乐            
(4星)	 又一次验证了续集如屎这个定理。            
(NA)	 听说电影版要出来了。坐等。            
(5星)	 记忆啊            
(3星)	 不知道为什么我就是不喜欢刘若英不喜欢龅牙妹结婚狂！            
(3星)	 奶奶也喜欢的片子            
(5星)	 哈哈            
(4星)	 8年后再看 还是很好            
(2星)	None
(NA)	 里面充满了爱情，友情            
(3星)	 年少无知的时候也是很喜欢的哦~~~~~~~~~~~            
(2星)	 就开头几集还行，后面越来越弱智            
(5星)	 当年最爱的国剧！            
(3星)	 笑點還算靠譜的偶像劇，劉若英最有看頭。我15-16歲時通常是哈妹的打扮。            
(4星)	 小学时 别说我还挺喜欢这个剧的            
(5星)	 结局记不清了，貌似不胜明了？            
(2星)	 里面的人只喜欢薛佳凝。。。。= =            
(3星)	 很喜欢刘若英在里面不计形象的演出哈~            
(5星)	 当年大火的一部剧，非常新鲜，非常有意思~陈好饰演的万人迷婀娜多姿、深入人心。            
(3星)	 全家一起追的~            
(3星)	 没印象的，，就知道当时好火            
(NA)	 觉得好温馨 不知道为啥            
(5星)	 對不起我挺喜歡的…………真心………………*´∀`)´∀`)*´∀`)*´∀`) 是喜劇沒錯兒吧……【是不是真心啊墳蛋！            
(4星)	 挺喜欢的。            
(4星)	 童年。。            
(3星)	  我的电视剧年代            
(4星)	 完全是冲着搞笑去的。            
(3星)	 有一定的记忆。            
(2星)	 风骚的陈好我还记得，现在看来变漂亮的刘若英没有美到哪里去……            
(5星)	 看完此片喜欢上刘若英。            
(4星)	 很喜欢 人物多 情节多 感人            
(NA)	 不知道是什么时候的电视了、、、原来电视上一有就看。。            
(5星)	None
(4星)	 看完后想看朱德庸的漫画了            
(5星)	 我的最爱。。。。。。            
(NA)	 刘若英演技不错，演什么像什么            
(NA)	 我就记得什么我想我会一直孤单。。。。然后胡兵丑死了。。。            
(3星)	 看着一大堆演技平平的男女瞎折腾 真心觉得。。。。            
(NA)	 恩 喜欢过薛佳凝来着            
(4星)	 漫画改编的尝试，捧红了若干人。喜欢每集开头的漫画再现            
(4星)	 初中时看的，挺好的~~            
(3星)	 我在翻舊帳嗎。那些年我們都看過的影視劇。            
(3星)	 那时候看的还挺欢乐的            
(4星)	 结婚狂真的结婚了！            
(5星)	 我觉得好看诶~            
(4星)	 看着挺欢乐啊            
(3星)	 从这部戏里喜欢上了“万人迷”陈好。            
(4星)	 當年有多紅！！天天守在家裡看，那時候可愛萬人迷了，故事到後來又喜歡上了癡情的結婚狂，國產電視劇的最愛&gt;&lt;            
(5星)	 应该都看过吧怀念            
(4星)	 影响犹在。。。            
(4星)	 都说我像男人婆。。。。            
(4星)	 当时好多台再放 错错乱乱的看了好多遍。喜欢毎集开篇的一些话            
(4星)	 超级经典啊            
(3星)	 现在就觉得以前傻傻的……都不知道它演了什么……            
(4星)	 住在一起欢乐多            
(5星)	 不给满分都请去死。            
(4星)	 让人快乐的一部片子，那个时候的胡兵其实挺帅。            
(3星)	 有些台词确实有道理。            
(3星)	 第一次知道奶茶            
(3星)	 小时候            
(4星)	 暑假的时候，一直追！            
(3星)	None
(NA)	 哇咔咔，这个可以有            
(NA)	 哈哈 这个我看到连台词都能背下来了            
(4星)	 我记得我那时候看还是很小。            
(4星)	 万人迷！万人迷！！            
(NA)	 当年火的不像样子。。。            
(3星)	 那時候都長得好難看歐            
(3星)	 当年看的时候觉得很fashion啊有木有            
(4星)	 漫画喜剧~~一辈子孤单            
(4星)	 初识陈好...            
(2星)	 哪個台放了好多次啊            
(3星)	 讨厌刘若英            
(4星)	 我很喜欢~            
(NA)	 陈好和刘若英好做作= =其他KLF不记得了            
(NA)	 当时还小，剧情看不懂的说            
(4星)	 真是不错的电视剧，童年的回忆            
(4星)	 看了好多次            
(4星)	 都是经典。。。            
(4星)	 同桌很别扭的喜欢着结婚狂。orz            
(3星)	 当时是一创新啊~            
(4星)	 当年看得很投入。            
(NA)	 挺搞笑            
(4星)	 看了好多遍。。            
(4星)	 跟老妈一起看的哈哈大笑            
(5星)	 当时闺蜜特别喜欢陈好的那股妖媚的感觉 而且情场高手演的非常入味 哈哈             
(5星)	 。。。想当年每天都为了要看这个剧拼命做作业！            
(3星)	 陈好是漂亮，但我还是看中奶茶            
(3星)	 天呐...我怎么看过这么多肥皂剧....！！！            
(3星)	 当时挺红            
(5星)	 觉得比较经典            
(3星)	 当时小学？巨迷            
(4星)	 怎么 我那时候就蛮喜欢            
(5星)	 肉肉前两天还在说我们要重新看一遍类            
(4星)	 拜托，很有趣好不好。            
(4星)	 那时超喜欢的            
(2星)	 就是从这里开始恶心刘若英的            
(3星)	 小时候TT            
(4星)	 好像当时还挺喜欢看的            
(5星)	 很经典的爱情剧。女主们各有姿色，各有千秋。            
(3星)	 那时年少各种剧~            
(3星)	 当时很热播            
(4星)	 “我想我会一直孤单~”            
(NA)	 这是现实版的灰姑娘的故事，但是这个比较真实，而且有可行性..            
(NA)	 记得小时候陪妈妈看电视的日子            
(5星)	 那会多喜欢看！            
(4星)	 初中有段时间心情不好，但是每次看到这几个女人在一起疯疯癫癫就会特别开心            
(3星)	 好久以前看的了，那会还很喜欢。            
(4星)	 初中时代对女人的最初解读            
(3星)	 其实不知道在讲什么。            
(3星)	 有点太冗长了。            
(3星)	 无厘头            
(4星)	 哈哈，年少记忆中很经典的一部了，最喜欢他们一起去日本那段！            
(3星)	 回忆啊~ 那时候还觉得刘若英丑，被堂姐嫌弃了。            
(4星)	 当年万人迷陈好很给力啊！            
(NA)	 涩女郎。青涩，羞涩的我们            
(3星)	 从此，我对刘若英的定位就停留在了2B，            
(4星)	 当年特别喜欢这部剧，尤其喜爱陈好饰演的万人迷。后来才发现，陈好无论什么角色都这么演。            
(3星)	 其实还不错了            
(4星)	 那时候觉得哈妹特可爱，好喜欢四个女人住。。后来有人跟我说奶茶丑时就举这个例子，想想真不觉得丑，牙套去掉挺好的啊。。- -            
(2星)	 胡兵怎么不死            
(4星)	 美好的记忆。万人迷太美了            
(3星)	 那时候觉得很好看，每一集都像一个个小故事一样穿起来，还不错            
(5星)	 那时还以为刘若英是个新人呢。            
(4星)	 其实印象里最深刻的是男人婆的那个角色。觉得很好笑。            
(4星)	 我妈每次见奶茶都说这不是那个龅牙么            
(4星)	 那个执着勇敢善良的女人。这是第一次看到刘若英。因为结婚狂和结尾曲爱上了她。以为她只是个小演员。结果她变成了后来的百花影后。            
(3星)	 那时候还上小学呢~            
(3星)	 沒有人沒有看過吧。。。我記得那個金源崇就是柏原崇的山寨版~~~            
(4星)	 好歹也算一度热播            
(4星)	 烂尾了            
(4星)	 选角准确。            
(3星)	 初中放假的时候边打电话边看            
(4星)	 认识了奶茶~            
(NA)	 很多很多年后 我们都会想念这么一部超现实喜剧             
(3星)	 没想明白，它为啥那么火~            
(4星)	 万人迷 结婚狂 哈妹 男人婆             
(4星)	 那个时代的胡兵是那么的帅！            
(4星)	 小时候偷看电视就是看的这个。。            
(3星)	 嗯 其实还可以            
(3星)	 从这部剧才开始认识结婚狂刘若英，喜欢她的善良单纯。还有可爱的哈妹。            
(5星)	 陪我度过初三的暑假            
(2星)	 不喜欢            
(4星)	 喜欢刘若英            
(NA)	 没有很喜欢，可能与我不是那么合吧。            
(4星)	 很搞笑，我更喜欢看正文结束后的小短片。            
(3星)	 2002年            
(4星)	 那首歌好听啊            
(5星)	 挺好的，各种典型女生的人生            
(NA)	 突然好想看这个啊。。。             
(3星)	 是有多der            
(NA)	 喜欢贱贱的宫喜，哈哈哈………………            
(4星)	 挺好看的。            
(4星)	 经典呀，经典，剧集中的个个人物都很经典。            
(NA)	 那时的万人迷呀..            
(5星)	 憧憬的万人迷。可爱的结婚狂。哈妹。。。            
(4星)	 在很多情节上看得很心酸。。            
(5星)	 不知道看过多少遍啊   现在才懂啊里面说的            
(NA)	 小学时候看的？            
(NA)	 我觉得这部剧我没法客观公正地给出评分，因为结婚狂、天真妹、万人迷、男人婆以及房东龚喜陪伴了我和我的熊一个又一个寒假和暑假，百看不厌，而且每次看都会笑，你说能勾起少时回忆的东西，能不偏爱？            
(4星)	 那个时候就不喜欢胡兵            
(4星)	 一看这个就心情好啊=D            
(4星)	 其实挺好的电视剧 现在也觉得 当时被刘若英整完牙惊艳到了            
(5星)	 记住了奶茶、记住了张延、记住了薛佳凝、记住了陈好。            
(4星)	 很好            
(5星)	None
(5星)	 不说了，经典。            
(5星)	 这个很不错            
(3星)	 其实当时看得津津有味的==。            
(3星)	 最喜欢那一集，唱滚滚红尘陪一个老太太的，还有徐志摩的诗            
(2星)	 我向来对这种喜剧喜欢不起来。真心觉得很脑残无聊。            
(4星)	 我爱茹男，爱奶茶这种女人！            
(4星)	 小时候 经典啊 认识了奶茶            
(4星)	 结婚狂，似乎是太幸运了            
(4星)	 粉红女郎看多了吧你~            
(3星)	 看到吐，里面那个巨星叫金原崇，我最喜欢的叫柏原崇            
(NA)	 TT            
(4星)	 爱死刘若英啦！！结婚狂，哈哈            
(4星)	 小时候的最爱~~            
(NA)	 好看！            
(3星)	 N多年前。。纪念一哈            
(5星)	 很喜欢            
(4星)	 爱男人婆            
(4星)	 当时觉得蛮好看的 的确抓到精髓了            
(4星)	 我是看着你长大的。            
(3星)	 里面的刘若英实在是太丑了            
(NA)	 很喜欢的            
(5星)	 小学的时候好喜欢啊 多好看的~~            
(5星)	 非典时期记忆。。。。。            
(3星)	 主要是捧刘若英            
(NA)	 看过一点点，没看懂            
(3星)	 还不错……            
(3星)	 朱德庸的搞笑剧~ 台词很经典~            
(2星)	 没有一个女主喜欢的。            
(3星)	 歌蛮好听的~剧情一般            
(5星)	 我也是结婚狂。            
(NA)	 原来《把悲伤留给自己》是这里面的插曲。            
(3星)	 我一直都没怎么爱。实在没什么看的才会看一会。白瞎漫画了。            
(5星)	 陈好演得最好的一部戏，很传神。又是一部喜爱的上海电视剧。            
(4星)	 我想我会一直孤单，一辈子都这么孤单。印象太深了。            
(5星)	 经典哦，每个演员都好适合的            
(2星)	 除了里面的歌还行，这东西真的很无聊……还有张世挺可爱的            
(3星)	 就那样吧。            
(5星)	 我最甜最甜的记忆，my pink girls, i miss u            
(4星)	 因为这个剧我妈一直以为刘若英龅牙            
(4星)	 当年这部电视剧还真是火呢，朱德庸的漫画也一起火了，不过当时真的会把剧中万人迷说的很多话当作至理名言呢！～～还有，当年刘若英塑造的结婚狂这个形象真的太到位了，演技很好啊，记得当时我看的时候都会替结婚狂的行为觉得不好意思呢，哈哈～～            
(4星)	 特别喜欢薛佳凝。好看。            
(5星)	 看了N遍            
(3星)	 奶茶不容易            
(NA)	 龅牙妹，很实在            
(4星)	 龚喜！！！            
(4星)	 这部也很经典啊，感觉是改编朱德庸的最成功的一部。哎，当年胡美丽还不是陈冠希的小妈。。。美丽，你何苦呢。。。            
(NA)	 漫畫的功勞吧。            
(3星)	 当时看挺有意思            
(4星)	 小学啊            
(4星)	 有点绝望的主妇的味道么。。我还看了原版漫画的。。            
(5星)	 &gt;&lt; 小的时候觉得很好看嘛~~            
(3星)	 挺好看的~演员都演的很好            
(4星)	 只为刘若英            
(4星)	 漫画改编的很成功，捧红了一大推陈好，之后的推出的结婚双响炮也挺乐呵            
(4星)	 留作纪念…            
(4星)	 至少是我认真看了的不多的国产电视剧            
(3星)	 我想我会一直孤单            
(3星)	 结识刘若英            
(NA)	 小时候看的，导致我多年后仍然无法把结婚狂和现实中的刘若英联系起来……            
(NA)	 启蒙片...追着看了好久.            
(4星)	 当初觉得很搞笑就是了            
(3星)	 好喜欢看的            
(4星)	 非典那年的夏天。            
(5星)	 太有回忆了！            
(5星)	 哈哈哈哈哈哈哈            
(3星)	 很早了            
(4星)	 我想我会一直孤单。            
(4星)	None
(3星)	 当时很红，陈好的成名作吧！？            
(NA)	 结婚狂！哈哈            
(4星)	 刘若英只适合这种傻兮兮的角色么……一辈子的孤单深入我心了，不过现在奶茶也结婚了，终于不用再唱这首伤感的歌了！/(ㄒoㄒ)/~~             
(2星)	 我小时候怎么看了那么多无聊的电视剧啊             
(3星)	 久远啊...            
(4星)	 很经典的一部电视剧 童年的记忆            
(NA)	 好笑            
(4星)	 哎            
(4星)	 哈妹  男人婆  结婚狂  万人迷   这部电视在我15岁的年纪中给我的影响是巨大的，喜欢上刘若英，认识了朱德庸。            
(5星)	 哈哈 我那时可喜欢呢~~~每个人都鲜明个性~~            
(2星)	 不是我的菜            
(4星)	 在我最倒霉的时候看的片，因为带给了我很多欢乐，我给了四颗星~~            
(2星)	 不好看.            
(4星)	 乱····            
(3星)	 不喜欢刘若英。            
(5星)	 2003 笑抽了            
(4星)	 四个女纸的生活，第一遍无感，第二遍共鸣，从此成为记忆中抹不去的一笔。奶茶的表演真真儿好            
(2星)	 这个我也不懂。。。好在哪里            
(4星)	 有些二的爱情喜剧。            
(4星)	 这是知道奶茶的第一部片子 她就如此不惜形象 后来开始知道奶茶一些事 苦恋陈升那么多年 现在奶茶都结婚了            
(4星)	 经典啊。            
(3星)	 奶茶也结婚了、、、            
(2星)	 傻            
(5星)	 刘若英就这样在我脑子里定型了~\(≧▽≦)/~            
(4星)	 记忆            
(5星)	 就记得那结婚狂了  我要结婚！我要结婚！！我要结婚！！！            
(NA)	 像童话一样，灰姑娘遇到王子，皆大欢喜的结局。            
(2星)	 这部不怎么好看。喜感不足，时尚感也不足。            
(4星)	 最不喜欢的是刘若英，我记得。最喜欢的是陈好，啊哈哈。            
(3星)	 奶茶终于结婚了……            
(5星)	 现在都没播了吧            
(3星)	 挺不错的            
(4星)	 里面那个男的很挫的男的 叫什么来着            
(3星)	 就当时童年回忆吧 ‘龚喜’这个名字特喜庆            
(4星)	 那个时候看的时候是觉得新鲜的很。            
(3星)	 当时挺迷 现在想想 确实………………            
(4星)	 完全就是笑过去的。。            
(3星)	 哈哈。主题歌好听的类。明明很爱你~~            
(NA)	 我也看过很多遍            
(4星)	 万人迷！！！ 结婚狂。。。            
(NA)	 小时候有很多时间浪费在这大量的泡沫电视剧上了....            
(3星)	 小时候挺喜欢 还记得陈坤叫罗密欧= =            
(NA)	 里面有太多的友情 爱情还有这个真实的社会            
(5星)	 这类东西总是超有新鲜感 但是拖沓的剧情什么时候才能改善            
(3星)	 现在想来 不好看了            
(5星)	 刘若英太美了~那种无暇的感觉~            
(5星)	 尽管中间乱七八糟无比曲折，但是最后的结果是好的，其实我特不喜欢陈好，觉得也不好看啊...哈妹和男人婆还不错，刘若英也许不漂亮，但感觉在那            
(3星)	 哈妹和万人迷我很心水            
(5星)	 刘若英演技            
(4星)	 爆笑            
(4星)	 结婚狂。。。            
(NA)	 年轻的时候很爱看这个！！！            
(5星)	 儿时的经典            
(4星)	 刘若英做什么都那么成功，为什么呢？这部电视剧里所有演员的状态我都喜欢~~            
(4星)	 不知道为什么，我看了好几遍了，每次都很开心，嘴角带着笑，这部带给人的能量是正面的            
(3星)	 我想我会一直孤单…孤单真成习惯了已经=_=            
(5星)	 陈好            
(4星)	 当时很喜欢            
(5星)	 小学起码看过三遍！            
(4星)	 我现在特怀念这部剧，很经典啊。            
(4星)	 不错 脸谱化也是一种搞笑            
(4星)	 经典剧            
(5星)	 好            
(NA)	 我想我会一直孤单，~就这么孤单一辈子。。。。。。。            
(3星)	 都忘了神马内容了。记得当时还很喜欢陈好啊。刘若英啊。现在不行了啊。。唱来唱去就那么几首歌。╮(╯▽╰)╭            
(5星)	 太喜欢了~            
(5星)	 hahaha            
(3星)	 小时候看的            
(NA)	 这个可可真的承载了好多回忆···看来看去的啊···不知多少遍··但是依旧觉得很好看··            
(4星)	 笑一笑，十年少~  那些記憶，很歡騰~             
(4星)	 我记得好像还挺浪漫的            
(4星)	 我是结婚狂            
(2星)	 知道了朱德庸            
(5星)	 当时真的是很喜欢 现在看也还不错            
(NA)	 像刘若英更像结婚狂= =            
(2星)	 嘿 瞧着四个~            
(3星)	 曾经很痴迷。            
(4星)	 各種不同的女人、一台生活小戲。            
(3星)	 那时不明白真谛，那时我巴巴也和我一起看。。。。。            
(3星)	 喜剧的很            
(4星)	 剧情欢乐向            
(NA)	 当时觉得还蛮有趣的            
(4星)	 陈好骚的一逼啊！            
(NA)	 当时一直追，都不记得结局是什么了            
(3星)	 还行，四个性格迥异的人，认识了朱德庸的漫画            
(4星)	None
(4星)	 少年时代的经典喜剧            
(5星)	 当时集集看            
(4星)	 在我心里，万人迷永远胜过结婚狂            
(4星)	 划时代的片子！            
(4星)	 当年很喜欢万人迷哟            
(4星)	 记忆中的电视剧，冷酷版刘若英很漂亮，喜欢那首配乐            
(5星)	 這部戲中對萬人迷印象最深的可能不止我一個，陳好實在太出彩了            
(4星)	 多少年以前的某个夏天吧好像是，我天天看天天看。必须纪念一下！            
(4星)	 还是喜欢啊~~            
(4星)	 我最喜欢看开头的情景剧了！            
(5星)	 刘若英真是百看不厌            
(4星)	 绝对的有跨越！！            
(NA)	 比双响炮要好            
(5星)	 回忆啊。。。            
(3星)	 我记得那会儿。这部剧蛮红的。配上原声带在内地是火红了一阵子的。这部剧算是张世的转型作品了。            
(5星)	 那时候红及大江南北的热播剧。陈坤等一批人好像借助朱德庸之福火了起来。            
(3星)	 童年呀~！！            
(5星)	 陪伴了我的青春的一部剧  所以有特别的感情 挺喜欢的             
(4星)	 那时侯还蛮喜欢的= =            
(3星)	 这部戏当时很火的说            
(4星)	 大爱刘若英~哈哈~ 演的太有意思了呢！            
(NA)	 四个女人            
(5星)	 万人迷！！！            
(2星)	 刘若英在豆瓣是个万人迷，那还是继续当那个万人迷吧，喜剧真不适合你。            
(4星)	 搞笑的剧 还附带一些爱情秘籍            
(3星)	 陈好的万人迷记忆犹新            
(5星)	 每句台词都经典，每位角色都闪光，浮华世界的小生活            
(4星)	 当时还觉得挺好看的            
(4星)	 很好看            
(3星)	 刘若英为此剧牺牲很大 但是真的不讨喜~            
(3星)	 我真的看过这个。记得还有陈坤呢不是~            
(NA)	 让人心疼的刘若英            
(2星)	 记不太清了 喜欢那几首歌 明明很爱你 喜欢的人不出现出现的人不喜欢~            
(NA)	 這部片現在拎出來看看也算可以的/奶茶的歌♪            
(4星)	 经典啊。。。            
(4星)	 奶茶太有才叻             
(4星)	 看了开头几集。没想到是那么老的片子。。。            
(5星)	 那个一辈子孤单            
(3星)	 四个女人和一个gay            
(2星)	 那时候是因为喜欢陈好和胡兵，完全不知道刘若英是谁……现在……            
(5星)	 还记得家华，文远。。。            
(5星)	 音乐都很80            
(NA)	 恨嫁啊 结婚啊            
(3星)	 那帮子人傻得可爱            
(3星)	 看惯了这个结婚狂再看那个在舞台上安静唱歌的刘若英时……疯了……            
(3星)	 尼玛我在追忆。。            
(2星)	 刘若英演得还真傻,不过比其余的演员强多了,剩下的没一个我乐意看.            
(5星)	 这个经典            
(3星)	 看一集笑一集……            
(3星)	 不想承认 可是我真的看过 全套的……            
(NA)	 一部除《还珠格格》外，令我印象深刻的电视剧！            
(4星)	 真好看，刘若英才是神人吗            
(4星)	 搞笑            
(4星)	 结婚狂            
(3星)	 漫画是不是更好看些？？            
(3星)	 哈妹哈妹~            
(2星)	 虽然那时候这部剧很火，但是我就是不怎么喜欢。没有原因。            
(4星)	 初中特喜欢            
(3星)	 奶茶 你的形象啊 形象            
(4星)	 至少也是一個十年的記憶了            
(3星)	 是有点搞笑。。万人迷，结婚狂，男人婆~~兔子牙，嗯嗯，悲剧的我有兔子牙啊~~            
(4星)	 这部戏认识了刘若英。            
(4星)	 万人迷让人惊艳，男人婆很干练，后来才喜欢上奶茶的歌声。            
(3星)	 這電影太瞎了！！！！            
(NA)	 朱德庸的漫画改编的，当时觉得超好看            
(5星)	 那时候各个台都在放            
(3星)	 小时候的记忆呀，每天守着看的。            
(5星)	 超爱超爱的偶像剧            
(4星)	 前几天有台重播，又看了            
(5星)	 我就是对上海+日本的组合没辙。怎奇葩的女人才能碰上这么多艳遇？            
(3星)	 搞笑的伪童话            
(5星)	 当时我想做男人婆……            
(5星)	 很喜欢，很好看，记得是初中的时候看的，很吸引人，天天追着看，不知道什么豆瓣分数这么低啊            
(3星)	 当时觉得挺好玩的。。。前2天一看。。。算了。。。            
(5星)	 开始我以为我是男人婆，后面发现我是结婚狂。只是不知道能不能得到幸福。            
(3星)	 陈好真心的风情万种啊            
(3星)	 从这部片子使我不喜欢陈好            
(3星)	 记得里面有很多现在的大牌            
(2星)	 好疼。。剧里有老乡。。            
(4星)	 万人迷很惊艳            
(3星)	 不得不说，刘若英的演技真好。。。胡兵陆毅靠边站            
(5星)	 当年的最爱 这次出去度假 重新开始看 年龄不一样看的感觉也不一样            
(3星)	 现在看来很土            
(5星)	 当年陈好太迷人了。            
(3星)	 乱讨厌陈好            
(3星)	 为了看刘若英            
(3星)	 对这部我无语，奶茶后来发现是另一个不一样的            
(3星)	 这么一屋子性格迥异的女人女孩，呵呵，男的角色都不怎么给力，于是体现了各种女人心思和各种可爱，我喜欢她们各有个性还能融洽相处            
(4星)	 张延不错            
(4星)	 当年的时代剧，应该说捧红了一批人            
(2星)	 不喜欢看。除了薛佳凝。            
(3星)	 陈好化妆真好看，近期看过几集《爱情男女》，一看到傅淼就联想到陈好            
(5星)	 4位美女都相当的能演，而且 每个人都很有特点            
(5星)	 这部剧成就了好多演员啊            
(3星)	 刘若英            
(5星)	 只要功夫下得深，铁杵也能磨成针，只要用心去寻找，总有一天会结婚！            
(3星)	 各具特色的四个女人....            
(NA)	 四个女人在抢戏            
(4星)	 当年的万人迷真是迷倒了广大男同胞和女同胞。            
(4星)	 宁当万人迷，不当结婚狂            
(3星)	 跟着我妈看的            
(4星)	 可惜太媚日了。。。            
(4星)	 万人迷说的经典句子，确实有意思            
(4星)	 挺搞笑的。都是些老片子了。不过也讲述了很多不同的生活样貌，还可以。            
(3星)	 真的很好看有木有！可惜我决定给大部分国产电视剧3星的均分了，不然影响我这个豆瓣的形象呀..但我还是想说我超爱这部电视剧！朱德庸和涩女郎也因为红极一时~~（今晚净怀旧了呀~哦哈哈~以后看看会怀念的~）            
(3星)	 乱讨厌陈好            
(3星)	 只喜欢万人迷！！！            
(4星)	 我想我会一直孤单。。那时候开始听刘若英吧            
(5星)	 好片~            
(3星)	 当年喜欢哈妹啊有没有！～            
(NA)	 不只看了多少这样的电视剧 = =            
(4星)	 认识了刘若英            
(5星)	 那年的陈好多美艳！            
(4星)	 最出彩的是万人迷             
(4星)	 我爱结婚狂！！！！！            
(4星)	 向往~~            
(3星)	 奶茶那时候的形象。。。。。。不是很好。            
(NA)	 很呕心.            
(4星)	 好看。至少看第一遍是这么认为的。            
(2星)	 着实受不了            
(4星)	 当时很喜欢看啊            
(3星)	 刘若英的龅牙实在是……            
(2星)	 就是从这里开始恶心刘若英的            
(4星)	 其实挺好笑的……            
(4星)	 曾经颠过来倒过去的看…            
(4星)	 啧啧啧啧            
(3星)	 陪伴我度过非典时期            
(4星)	 万人迷当年真是风情万种            
(4星)	 还不知胡兵是个gay男 最喜欢哈妹了 模仿哈妹的发型模仿了很久= =            
(5星)	 那个时候一片轰动啊！            
(4星)	 我觉得在日本的那段 我印象蛮深的            
(3星)	 蛮好玩啦~            
(3星)	 这个。。。比垃圾剧好一点吧。            
(4星)	 我爱的刘若英~~~结婚狂~            
(3星)	 实在想不通为么奶茶要接这部剧            
(5星)	 我是从这部电视剧开始喜欢刘若英的，虽然开始她的形象不是很好看，但是她的善良凸显出来，总之就是喜欢刘若英。            
(NA)	 小学过去了，如今除了回忆，别无他物……            
(NA)	 总觉得刘若英特别显老...傻傻的            
(4星)	 哈妹哦呵呵呵            
(4星)	 四人同居的时代            
(2星)	 = =我觉得挺无聊的。            
(4星)	 当年喜欢哈妹，现在想来喜欢万玲多一些。            
(4星)	 ！            
(4星)	 那时候看还觉得不错            
(4星)	 那时候觉得刘若英怎么这么丑？            
(5星)	 我一直觉得暑假就该窝家里看灌篮高手，寒假就看这个            
(5星)	 我就是内结婚狂~~~~            
(5星)	 从这部电视剧才喜欢上奶茶的            
(5星)	 四个女人几台戏？这部绝对是当时的经典，喜欢陈好的媚，喜欢刘若英的演技。但当年收视率仍败于金粉世家成为第二。            
(1星)	 话说这部戏倒是曾经把我雷得外焦里嫩。至今想来仍心有余悸。            
(4星)	 好看！那年刘若英很可爱            
(3星)	 当时还蛮爱看的好像            
(3星)	 好久远其实没看多少            
(4星)	 到最后喜欢的不是万人迷 而是结婚狂            
(3星)	 以前初中放的时候很喜欢呢            
(4星)	 以前很喜欢            
(3星)	 这个呀，挺怀念的...            
(5星)	 万人迷，结婚狂，男人婆，哈妹            
(2星)	 都是在无聊至极的时候由别人播到这个台，无聊地打发吃饭的时间。            
(NA)	 额...            
(4星)	 结婚狂，万人迷~~            
(4星)	 陈好火了            
(5星)	 我小学狂喜欢这个，我同学偏爱万人迷但在小学时期喜欢那么风骚的女人她挺不好意思的老是说我只是喜欢她的样子不是她的行为之类的，哈哈。            
(3星)	 其实吧，现在想起来这剧有点小雷，可是又有点小感动            
(1星)	 我登记这个的意思是想说，我没看完，因为实在是太烂了。            
(5星)	 对 只看刘若英            
(4星)	 开始，只是听说这个电视剧，看这排场，我就觉得我不可能喜欢这部电视。后来，有机会亲自看了，就喜欢上了。看似幽默的剧情下掩藏着不同的人生，四个风格各异的女人生活在一起，演绎了一出戏。我最喜欢的是万人迷啦。不太喜欢那个小萍，觉得她要么是缺了根筋要么是太做作。            
(3星)	 歡喜奶茶            
