http://movie.douban.com/subject/2270545/	春光灿烂猪八戒
(5星)	 只有第一部最好看！！            
(4星)	 童年回忆啊。。当时觉得陈红美呆了            
(5星)	 至爱            
(4星)	 超喜欢徐铮            
(4星)	 谁敢说自己没看过！            
(5星)	 再多的明星再炫的特效，也不能帮助翻拍的经典与小时候的那些经典，分享我们此生最纯真的眼泪～不知道对于同样名字的所谓经典，00后是否能够和我们这些大多即将为人父母的人，拥有同样受用一生的纯美回忆～            
(NA)	 小龙女的故事不错            
(3星)	 小学很喜欢看            
(4星)	 记得猪八戒一直骂牛魔王“大色牛”！            
(4星)	 早年看的剧里印象比较深的一个了  尤其是小龙女甘愿牺牲的时候            
(NA)	 也是小时候看的            
(4星)	 后裔和嫦娥。虽然我不会射日，但是我可以照顾你。20.21  还有那个猫妖。            
(4星)	 奠定了徐铮的演绎风格，当时看的挺欢乐的            
(4星)	 第一部很好看好吗，后面的都是烂片。            
(5星)	 真心觉得搞笑片经典之作，搞的毫不做作            
(5星)	 八戒和小龙女，很感动。。。            
(5星)	 好春光 不如梦一场 梦里青草香            
(3星)	 我小时候都看过些什么啊            
(3星)	 年少无知的时候觉得很好看好么！            
(3星)	 这是一干猪八戒里最好的一部啦            
(5星)	 儿时的回忆 那个时候偶像是徐铮来着            
(3星)	 迷了好久，天天追看。。。重播又看。。。            
(5星)	 真的很好看啊，为啥那么低分....当年孙兴还觉得蛮帅的            
(5星)	 唉。。其实我是个从小就泪点超低的人            
(3星)	 天呐，13年过去了……            
(5星)	 当年最后一集真的看哭了            
(4星)	 啥也不记得就记得最后一集哭惨了以及男女主角我至今都很待见TWT            
(5星)	 我觉得这剧一点儿也不儿童。。。后半段甚至很cult。。。            
(5星)	 那时候就喜欢小龙女了            
(4星)	 12年前啊-。-            
(3星)	 孙兴蛮搞的            
(NA)	 忘得差不多了            
(NA)	 泉眼~~~~(&gt;_&lt;)~~~~             
(5星)	 豆瓣的某些太不食人间烟火。            
(5星)	 妈的……小时候看，嫦娥姐姐飞走一次我哭一次………………            
(5星)	 猪哥哥好萌好吗            
(4星)	 下午看了下新的翻拍的，这个简直就可以说是经典了            
(4星)	 今晚又看了一会儿，徐峥萌呆了啊！！！小太白金星也超好可爱~ 小学时候还要和同伴在学琴的课间激情演奏一趟片头曲来着            
(4星)	 主题歌现在还会唱，好春光，不如梦一场..            
(5星)	 还是这版好看经典            
(5星)	 现在出来新版的，还是感觉以前的好看，特别欣赏陶虹演的小龙女~~~            
(4星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(4星)	 小时候看到小龙女变成泉眼时 哭死了 不过想起孙兴的太白银星 又觉得很好笑            
(4星)	 印象最深的就是陶虹的小龙女了，超漂亮啊！            
(3星)	 - -            
(5星)	 英雄造时势，评分却为后来者所累。满满的都是诚意和精致            
(2星)	 2爆了！            
(4星)	 徐铮演额猪八戒最萌了，那时候争相模仿猪八戒哼哼。            
(5星)	 只是在年少时看过,记得那时候特迷,因为里面有海公主和神仙.长大后再也没敢看过了,怕被随着成长而日渐挑剔的眼光毁了青春时的美好.不得如此说,此剧是一部很普通的泡沫剧.只是,所有存于记忆中的事物,都是灿烂的.             
(4星)	 无论是过去还是现在 都觉得很脑残··            
(2星)	 脑残的            
(NA)	 一看到就想自戳雙目....            
(4星)	 其乐融融            
(3星)	 就是因为这部剧后面生出一大堆折腾剧……不过这部我很待见。            
(3星)	 猪八戒的牙齿是黑的==            
(4星)	 后来的都是狗尾            
(4星)	 其实现在看起来还是不错，小学时看得了，哭得稀里哗啦的。比现在的国产剧好太多了，很喜欢小龙女啊！陶虹的小龙女算是很经典的角色了吧            
(4星)	 多经典啊~            
(3星)	 小时候貌似蛮喜欢的  现在想想就看不下去了            
(4星)	 里面很多片段很香艳啊印象中！！！            
(5星)	 ！！！！！！！！！！！！！            
(2星)	 现在这部剧都有翻拍的了，我凌乱鸟……            
(4星)	 各种暑假消磨时光的东西            
(5星)	 冲着各种不咋地的续集和翻拍也值五颗星！！！            
(3星)	 我小时候最恶心这片了，感觉重口味            
(5星)	None
(4星)	 第一部额，没仔细看            
(5星)	 童年有木有啊。。。每天做完作业就看的。。！！！ 最后一集 哭死我了             
(5星)	 小时候喜欢……            
(3星)	 当年火爆到不行的脑残剧。。            
(NA)	 还记得小学全班合唱“好春光，不如梦一场”            
(4星)	 好春光，不如梦一场~~            
(5星)	 小时候看的，记得小龙女死的时候看哭了。            
(4星)	 好爱小龙女噢当时！！~~            
(4星)	 好看            
(4星)	 噗哈哈哈哈            
(4星)	 看的时候，我真的还小，当时觉得很好看- -            
(NA)	 最爱了            
(5星)	 成全一对夫妻的剧==小龙女和猪八戒==结局蛮感人的            
(4星)	 80末出生的人是这样成长的～            
(5星)	 爸爸说 你们俩结婚了。            
(5星)	 这竟然是我最爱的电视剧。。。。= =            
(4星)	 当时很喜欢小龙女            
(4星)	 多年之后重温结局的时候还是觉得很喜欢            
(3星)	 我只喜欢看猫妖那段。            
(NA)	 欢乐的电视剧。            
(5星)	 小时候超喜欢            
(3星)	 原来看我过这么多电视剧            
(5星)	 当年看得我又哭又笑的= =            
(4星)	 夫妻档，陶虹的小龙女尊美~            
(4星)	 最后一集小龙女变泉眼时哭了 .            
(3星)	 老纸的童年！            
(4星)	 到底是以前的电视剧质量高还是因为数量少我才觉得好看。。            
(1星)	 mlgb            
(4星)	 那个蟾蜍精映像很深刻啊，身边有个同学长的很像这个蟾蜍。            
(5星)	 爱是因为你，美丽被还原，我知道有一千种可能是与你相恋            
(3星)	 结局死屏住不哭出来...            
(3星)	 有孙兴在能不搞么，XD。徐铮是因为这片红的吧，也算给这对夫妻做媒了？            
(1星)	None
(4星)	 这部片子里，翁虹惊艳我了。陶红也惊艳我了            
(3星)	 嫦娥～            
(5星)	 有搞笑，有感人。关于猪八戒的梗改编的很好，又有徐铮独特的喜剧元素在里面，那个网络娱乐和幽默还不是很发达的年代，这部剧独特的喜感是种很好的表达。            
(4星)	 四颗星给回忆，小时候觉得小陶虹也很美~现在觉得那是一种健康的美~            
(3星)	 虽然很脑残，但是人物挺美的。。。            
(4星)	 好看啊。。这部戏是大陆的一次突破了 我觉得            
(4星)	 最后结局太悲伤了            
(5星)	 挚爱            
(3星)	 也不知道为什么要看……            
(NA)	 一直不喜欢这种            
(4星)	 我看哭过的            
(5星)	 小龙女变泉眼的时候我还哭了咧            
(3星)	 陶虹和徐铮~            
(5星)	 喜欢陶虹，喜欢小龙女，龙年出生的自己一直幻想着也能长出小龙女的犄角，哈哈            
(5星)	 小学相当喜欢            
(3星)	 中学时代看的，有笑料也有感动，孙兴的搞怪功力可见不错。            
(3星)	 小龙女还算好看            
(NA)	 我是来看夫妻档的            
(5星)	 犹记得那几年电视台一遍又一遍地重播，而我们一遍又一遍地看，感觉永远也看不厌            
(5星)	 美是初见，燃起爱情火焰。。            
(5星)	 回忆            
(5星)	 小龙女死的时候哭得那叫一个日月无光……            
(3星)	 暑假各种播            
(4星)	 那个年代的欢乐~            
(4星)	 那时记得在结尾很感人，徐铮演的很好。            
(3星)	 第一部比较好。。。            
(2星)	 小孩子真好骗            
(3星)	 当初多单纯            
(5星)	 很有趣的说            
(3星)	 地狱天堂~            
(5星)	 小时候很爱看，每次电视台播都会看。            
(NA)	 每次看都是津津有味~            
(NA)	 。。。。。。            
(3星)	 嘿嘿。            
(NA)	 喜欢            
(5星)	None
(4星)	 变猪头变猪头变猪头            
(NA)	 谁人没看过            
(3星)	 小学的时候看的了            
(3星)	 怀念的嘞            
(2星)	 主题曲我还会唱呢。。小时候可喜欢了            
(4星)	 结局居然是悲剧 特喜欢妙妙和嫦娥            
(4星)	 当时很火的一部电视剧。。。湖南卫视一遍又一遍的放。。。            
(4星)	 装逼的人自会看低            
(3星)	 龙王装疯吃角那段儿我太受不了了~~            
(5星)	 小时候最喜欢的电视剧...妹子倒贴+男主人渣+结局虐心            
(4星)	 徐铮喜欢陈红的那几集不好看，后面好看到爆了！小学五年级啊，最后小龙女变成泉眼的时候内牛满面！            
(3星)	 不自毁童年了。。            
(3星)	 今天太怀旧了  笑屎了==            
(5星)	 剧情以及表演以及音乐一级棒              
(5星)	 绝对满分啊            
(NA)	 恩 各种暑假            
(4星)	 我觉得挺好看的            
(4星)	 最喜欢里面的猪哥哥了～！            
(2星)	 就算是小时候看电视就仅仅是看电视 也还看不下去            
(NA)	 nc...            
(3星)	 这个。。。从此知道了陶虹和徐峥~            
(NA)	 傻到看这个大结局看哭了            
(4星)	 嗯，小龙女虐死我了。。。。            
(4星)	 现在想想这么SB的剧情当时怎么看的那么疯狂= =            
(1星)	 我就没觉得这剧好看过。            
(4星)	 爱是因为你 美丽被还原 哈哈哈哈~~~            
(3星)	 很喜欢小龙女            
(5星)	 超级喜欢的，当时            
(3星)	 当时看到小龙女化为最后一颗泉眼时，哭得一踏糊涂……            
(5星)	 放一便看一遍,多少年都看不厌            
(4星)	 挺好看的啊~~~            
(4星)	 好春光，不如梦一场。。。            
(3星)	 小龙女在看烟花的时候消失那段居然看哭了            
(4星)	 可爱猪八戒            
(5星)	 是最好的一部神话剧，徐正与陶宏在现实生化中的结合是对这部电视悲剧的弥补与安慰。            
(NA)	 认识了陶虹            
(3星)	 小学六年级。            
(5星)	 后面超感动，小时候好喜欢的一部剧            
(3星)	 囧            
(NA)	 瞎胡闹但是很搞笑。            
(4星)	 好喜欢他们夫妻俩~尤其是徐铮~！！            
(3星)	 太嚇人了 這種也能叫豬八戒            
(3星)	 呵呵··以前没事蛋疼看看这片挺好··            
(4星)	 我就觉得很好看啊。            
(4星)	 不管是陶虹翁虹还是陈红 都在年幼的我的心中烙下深深的印迹            
(4星)	 那年 我初二            
(3星)	 虽然是烂片，但徐峥和陶虹那时都演的相当不错呀，中学时候觉得很不错            
(5星)	 绝对的经典~后来不知道是拍了多少猪八戒题材的电视剧，这个却是始终无法逾越的            
(NA)	 太灿烂了            
(NA)	 我还记得大结局的那天遥控板被我哥抢走了.....            
(4星)	 那猪演的不错！            
(4星)	 童年的记忆 还记得小龙女死的时候当时感动的不行……            
(4星)	 其实还挺好看的            
(4星)	 小时候喜欢哈~~            
(5星)	 最后一集萌到我哭了。还好现实中成了一对儿。不管怎么说，第一部剧情还是很紧凑的，后面的几部烂的出渣。            
(NA)	 ·············································            
(5星)	 那时候上小学，记得为小龙女哗啦啦……            
(3星)	 当年就觉得很白痴，完全看不下去            
(2星)	 至今都觉得这部剧实在是太傻了，真人版动画片。但即使当初我也个孩子，一点都不感冒，只有吐槽。            
(2星)	None
(4星)	 记得小的时候很喜欢看这个，虽然现在看着挺傻的，但是主题曲挺好听的……            
(5星)	 为这个结局做梦，在梦里哭醒了。。。            
(4星)	 “美是初见 燃起爱情火焰”            
(4星)	 我看了两遍的有没有。。            
(5星)	 完全喜欢 徐峥好萌好有爱~            
(5星)	 好春光  不如梦一场              
(3星)	 被猫妖什么吓死了            
(5星)	 好喜欢徐峥那可爱的猪八戒样子 嘻嘻            
(2星)	 看的这个，发现我看的电视剧还不算少啊            
(5星)	 被最后一集感动了，儿时满满的回忆            
(5星)	 哭到用毛巾擦泪有没有！！！            
(2星)	 据说还有续集            
(4星)	 至少剧情和喜剧效果不错。            
(4星)	 那时年少各种剧~            
(4星)	 片尾曲煽情            
(5星)	 哇            
(3星)	 猪哥哥！！！            
(4星)	 对我影响太深了   我到现在怕猫 就是因为翁虹演的猫妖太恶心了！！！            
(3星)	 。。。。这我都看过唉            
(4星)	 好看！看了好几遍~            
(NA)	 当时被小龙女感动的呀            
(4星)	 我以前可喜欢看了。。。。            
(4星)	 当时看的结尾好伤感。            
(4星)	 其实这个电视剧还是挺不错的。至少恐怖悬疑气氛做得很足。            
(4星)	 徐铮和小陶虹的爱情见证吧也算是，片尾曲也很好听。            
(5星)	 据说有点后现代风的古装神怪剧！从此爱上徐峥！            
(4星)	 徐峥和小陶红就是这个时候好上的吧！            
(3星)	 小时候看到龙妹妹随着烟火渐渐消失的时候，让我第一次有了生离死别的感触.....            
(5星)	 小龙女化为泉眼的时候泪流满面            
(4星)	 小时候超级爱看这个！！！            
(5星)	 矮油，这电视可是看了又看啊~~~            
(4星)	 难得让我哭的的电视剧哇            
(1星)	 很二逼 陈红挺美            
(4星)	 超爱的            
(5星)	 ...我的暑假- -            
(4星)	 现在想想   真的是超好的剧            
(5星)	 当年看的时候看哭了。里面的歌也很好听...            
(5星)	 很有创意！！            
(5星)	 好春光 不如梦一场 梦里青草香~            
(4星)	 嘻嘻又是一部看過滴~還是不少嘛            
(4星)	 那时候，觉得小龙女好漂亮            
(5星)	 猪哥哥            
(3星)	 龙女被猪糟蹋了            
(4星)	 虽然当时很多人说雷，现在看来也蛮经典的。又有恶搞搞笑的成分又有凄美的爱情。片尾曲歌词美，很好听。            
(4星)	 每次看到小龙女变成泉眼的大结局我就哭的像个傻逼。            
(5星)	 为了曾经的记忆与感动            
(NA)	 哈哈            
(3星)	 泉中有眼，眼中有泉。            
(3星)	 后来不知道自己当时怎么能看的下去            
(3星)	 这些电视剧仿佛都折射出一个时代，已经不仅仅是一个剧，而是一代人或是一个人的某个时期            
(4星)	 被小龙女感了。。。。            
(3星)	 小学时的吧            
(4星)	 开始不喜欢小龙女 但是最后她变成了泉眼时非常感动            
(3星)	 这个要翻拍咯~~            
(5星)	 抵抗不了啊            
(NA)	 小时候很喜欢的一部剧，只是现在有很多关于这部剧的翻拍，都一部比一部雷了。。。            
(3星)	 依然喜欢片尾曲            
(NA)	 好吧。。这个其实也不错的，在当时。            
(5星)	 时隔很多年的寒假，看最后一集时我仍然痛哭失声，为了我的眼泪，打五星。            
(3星)	 促成了徐峥和陶虹这一对，不过剧情我不喜欢。。            
(NA)	 我那时候很喜欢这个电视剧。。。为了它，才看了后面2.            
(5星)	 小时候看过的，很不错的            
(4星)	 当时真是天天看啊            
(5星)	 好看啊  搞笑啊              
(5星)	 小学时最爱            
(3星)	  屈中恒版孙悟空            
(5星)	 现在还是喜欢看，哈哈，我家人也很喜欢。。。            
(5星)	 当年看的时候，笑着笑着就哭了            
(4星)	 嘻嘻很喜欢 我姐也很喜欢的电视剧 猫妖的那个太真实            
(3星)	 小龙女是个好人 还有两个角 = =            
(5星)	 初中是看的，觉得好棒啊~~~还想看一遍啊            
(2星)	 哈哈，不想多说            
(3星)	 夫妻档            
(4星)	 看得我眼泪哗哗的呀            
(3星)	 好小的时候。。。徐峥很憨 没想到俩人好了            
(4星)	 从那个时候起发现老妈是天才编剧，因为她总能知道接着要演什么            
(3星)	 陈红很美            
(3星)	 小时候还看哭了。            
(4星)	 就是因为这部剧我才讨厌温虹的啊，讨厌。狐狸精形象深入人心啊，讨厌。            
(4星)	 蛮好看滴  主题曲             
(3星)	 我是小龙女。你是猪八戒，嘿嘿~            
(4星)	 当年觉得很好看            
(NA)	 猪猪乾坤屁 儿时的记忆            
(4星)	 小时候看觉得很感人，现在想想，也很感人。            
(3星)	 恶搞剧，当年的猫妖给我幼小心灵造成了阴影            
(NA)	 化妆出来的            
(4星)	 这部片子成就了徐铮和陶虹的姻缘            
(4星)	 国产电视剧一部很不错的作品···            
(4星)	 蛮好看的~有中国味儿            
(4星)	 那时觉得嫦娥很美~~~            
(2星)	 徐铮&amp;陶虹            
(4星)	 虽然剧情啊美术啊都傻爆了 可是那时候我可爱看了            
(5星)	 太白金星好玩。            
(5星)	 “爱是因为你，美丽被还原。”            
(5星)	 很好看啊，分低的嘛。。。            
(5星)	 !!!            
(5星)	 好看，没了            
(2星)	 小时候怎么那么傻逼还去买全套的DVD！！！！！！！            
(NA)	 失去才懂得珍惜，善良的小龙女            
(4星)	 记得里面的猫妖，小时候我们都还挺怕的嘞~            
(5星)	 美是初见，燃起爱情火焰            
(4星)	 满欢乐的            
(5星)	 童年的回忆            
(5星)	 怎么小时候看觉得什么都好看 现在能称得上经典的越来越少了呢            
(5星)	 这片为什么只有6.5分!!为什么!!童年美好的回忆啊!            
(NA)	 这个也是很热的当年            
(5星)	 很好看的哟            
(NA)	 我的小学时代            
(5星)	 为什么它的评分那么低呀~我好喜欢这部电视剧，无论如何它告诉了10岁的我好多好多东西……            
(5星)	 开心一刻也是地久天长            
(4星)	 给陶虹，孙兴，以及终成眷属四星。            
(5星)	 这部电视居然这么早！！！！！！！！！！！！！！！！！我今天才知道啊！！！！！！！！            
(4星)	 叶伟信？！            
(2星)	 徐峥你肿么了徐峥            
(3星)	 多感人啊            
(4星)	 猪八戒投身青春偶像去了            
(4星)	 好像哭过笑过的            
(4星)	 好春光，不如梦一场，梦里青草香，这一次人间也匆忙，小风大浪地狱天堂还有清风吹斜阳。……看到最后一集，哭了。            
(2星)	 结合了神、人、猪的三重性格的猪八戒，这一版是第一版，后面几版被批的狗血喷头。。~~            
(4星)	 只记的太白金星了            
(3星)	 这个多久以前看的了呀            
(5星)	 纪念我那年少时光            
(4星)	 猪哥哥            
(3星)	 @林喜色 最后一集我也又哭            
(NA)	 朱哥哥~            
(3星)	 那时候猫妖流行了一阵子。            
(3星)	 结局好，所以不回看。            
(3星)	 我特别记得 翁虹把舌头探入猪八戒的那一幕。            
(4星)	 小龙女除了不是那么好看之外其他都是神作！连奇妙的结局都很神器！            
(5星)	 小时候看的，挺有意思。。也挺感人的。            
(3星)	 其实很脑残的。印象最深的就是嫦娥后羿那一集            
(5星)	 真的不错啊，特效也做得可以。不知道后面几部咋就这么垃圾了。            
(5星)	 超爱            
(3星)	 老哥说我看这剧灰常白痴。            
(5星)	 美好回忆            
(4星)	 这个小猪八多可爱，后面各个系列的猪八戒都太残了，不忍目睹啊            
(5星)	 我就是喜欢，和内涵无关。            
(2星)	 我一直没明白它哪里好            
(3星)	 有点感人。            
(5星)	 不会吧，豆友们，你们点都不公正，这么好看的电影呀！（至少7.8分）            
(4星)	 经典不解释。            
(4星)	 好配            
(5星)	 真的是童年的回忆  太美好了              
(3星)	 陶虹啊            
(NA)	 陶虹跟徐峥啊，这个也是叶伟信导演的啊。。            
(5星)	 就说女子傻吧 还有嫦娥也一样             
(5星)	 那时我超级喜欢看的来着            
(2星)	 不老么爱看的。这部适合围观徐铮和小陶虹两口子。。。            
(5星)	 难得的内地剧            
(3星)	 好吧··小时候真的是什么都爱看···            
(4星)	 最和我心意的一版猪八戒            
(5星)	 童年时候的回忆，剧情纵然很俗，但是那份脑海深处的记忆依然能把我带回童年            
(4星)	 哪叫当时痴。            
(NA)	 为什么龙宫只有东海南海最出名 北海西海都浮云            
(4星)	 加一星是因为我记得最后一集我哭了- -            
(NA)	 小时候就觉得受不了！            
(5星)	 记得以前看到小龙女化作泉眼的时候            
(3星)	 当低龄片来看是相当不错的啊～            
(NA)	 电视台播了我还看 一个人笑的稀里哗啦 只不过会被旁边人说脑残            
(3星)	 只看第一部             
(NA)	 那时候电视天天播            
(5星)	 这么个闹剧我看的还挺感动的...            
(4星)	 這一對 真登對            
(3星)	 猫妖那段觉得翁虹好坏，有点恐怖            
(4星)	 我的童年啊             
(5星)	 尼玛这是我心中的经典！你们这些二逼。。。看小龙女的爱情看的泪奔            
(4星)	 我当年真的觉得还蛮好看的-.-            
(3星)	 当年还是挺爱看的            
(NA)	 其实我很不愿意承认我看过。。。            
(3星)	 见证俩人的爱情            
(2星)	 这个播的时候就看不下去            
(3星)	 记忆中的雷剧从这里开始的，不过都是很喜欢的演员。            
(5星)	 我的童年。。我的回忆            
(5星)	 小时候看过的。没想到徐峥他们俩真走到一块了。            
(5星)	 荧屏中最喜爱的猪八戒了~            
(1星)	 叶。。。伟。。。。信？！            
(5星)	 比现在的很多电视剧都有诚意            
(2星)	 被那时候的陶虹给迷住了            
(4星)	 当时看还是很喜欢的。            
(4星)	 小时候觉得很好，所以我绝不会去重温            
(5星)	 真算是过去美好的回忆了。最后哭的不行            
(5星)	 因为这片喜欢上徐铮，他们这一对真般配            
(4星)	 当时看的时候，好喜欢傻傻的小猪，后来回忆起来，也会默默祝福因此剧而结缘成双的徐铮和陶虹。            
(3星)	 其实我觉得很难看得，但是就是越难看越没有换台！            
(5星)	 因为童年和片尾曲。            
(5星)	 它不一定有多好，但是它在对的时间出现了。            
(4星)	 誠心祝願徐崢陶虹這對低調的夫妻能白頭偕老，有時候愛情，細水長流平平淡淡才是真            
(4星)	 哟西哟西，我爱看的呀。            
(NA)	 我当时怎么会受的了这种白烂剧            
(4星)	 初中时看的，最后猪GG和小龙女一起看烟花时真的好感动            
(2星)	None
(4星)	 一直没看过结局……当时觉得陈红真漂亮啊。            
(4星)	 回忆 好看             
(2星)	 那个暑假很爱这部            
(4星)	 喜欢看那~            
(3星)	 多年后看一个八卦，问徐铮怎么跟陶虹勾搭上的，徐铮说当时导演让他们多培养培养感情，一不小心培养过了。一部电视剧出一对夫妻也算佳话了~至今犹记片头片尾，太神奇了~后面几部完全坑爹，相比之下，这部算经典了。            
(5星)	 小时候好迷的            
(4星)	 记得最后那集晚上没睡好觉。。。还好现实他俩成夫妻了            
(NA)	 猪八戒系列中唯一看的一部= = 不要问我为什么看，小时候拿懂那么多= =            
(4星)	None
(2星)	 给座椅上的土豆们准备的消遣物            
(4星)	 小龙女最后变成了泡沫了啊啊啊            
(5星)	 只有第一部好看 其他几部 换了主演演的不好你剧情也是shi 这部最后小龙女死的时候我还哭了            
(5星)	 里面还用陈红~~~~~~            
(4星)	 好像这一部最看得过去了            
(3星)	 当年觉得陶虹是无敌了的大美人~~~~            
(5星)	 美是初见，燃起爱情火焰--歌词很美~~徐铮萌翻了 ~~可惜现在都走大叔路线了~            
(3星)	 当时看，感觉还行，不过叔叔说这个电视很弱智！            
(4星)	 童年记忆~            
(NA)	 没说的。。。全是回忆啊。。            
(3星)	 这个是真看过，小学二年级？觉得那龙角特好看            
(4星)	 各种看            
(5星)	 每次寒暑假重播必会看两眼的剧            
(4星)	 嗯嗯，不错。其它版本很垃圾            
(4星)	 小龙女有一段把我骗哭了~            
(4星)	 猫妖好可怕            
(4星)	 万万没想到这部剧引发了N个猪八戒            
(3星)	 当热闹看吧，笑笑            
(2星)	 我当年在某人推荐下看了此剧 由此对于某人的审美品位产生极大怀疑~            
(4星)	 好爱看！            
(3星)	 那时候很喜欢片尾曲和主题曲，还和同学一起傻逼，在放学路上高声唱。            
(NA)	 再也不愿提起的脑残回忆= =            
(5星)	 不但清新，而且感人，想象力也丰富。            
(5星)	 古装神话片没有比这个更好的了。            
(5星)	 这一部远非后来的“猪八戒”系列所能及            
(3星)	 又是记忆啊。            
(5星)	 小时候每次看最后一集都要哭的            
(5星)	 叶伟信居然也是导演之一！！！            
(3星)	 感觉瓜不嘻嘻的一部剧。            
(4星)	 第一部很不错哈。。。喜欢陶虹。。。唔。。。而且剧情也还不错哈。。。            
(4星)	 噗！！！！！！！！！            
(2星)	 喜欢陶虹徐峥~            
(5星)	 超喜欢看~~            
(4星)	 好可爱的猪八戒啊            
(NA)	 想当年我不断在看烂片..........            
(5星)	 怀念            
(3星)	 这个还是不错的，可是后面的一系列什么七仙女呀猪八戒呀的实在是想让我吐！            
(5星)	 给了我童年很多欢乐            
(3星)	 很乐呵……            
(5星)	 徐铮，我心中的神啊，还记得你的《人在囧途》吗，这电视剧也很好看的            
(4星)	 现在回头去看一定觉得很脑残，所以断然不会再看，就停留在童年的美好回忆吧。            
(4星)	 太白金星真搞,年少时看的剧了,当时小龙女死的时候,我TM还哭了            
(4星)	 还我眼睛!!TAT            
(1星)	 小时候看就觉得这片怎么那么傻。            
(4星)	 前面要把人笑爆，可最后结尾哭死我了~~~我爱小龙女            
(3星)	 当猪哥哥还是猪哥哥，当龙妹妹还是龙妹妹            
(1星)	 我就不懂为什么当年我身边的人天天都在看 明明这么雷！            
(3星)	 他们结婚了也            
(4星)	 小陶虹和徐峥俩口子不错            
(3星)	 bad ending            
(4星)	 很怀念啊，小学看的了，猪八戒娶了小龙女，很幸福很幸福            
(3星)	 都是当年~遥想当年~            
(4星)	 抛却身份的噱头，是很好的爱情故事            
(4星)	 话说我当年暑假可是博一遍看一遍的啊。后来那些系列，博一次骂一次。            
(4星)	 讨厌不能在一起的感觉。            
(3星)	 雖然看得不全，也不太記得了，但是還是要說徐錚演得豬八戒很可愛呢~~~~            
(5星)	 老了…老了            
(3星)	 片子挺烂的。（豆瓣的电影是有多老。。。）            
(3星)	 只记得他放屁厉害            
(4星)	 最后居然BE了！            
(4星)	 很好笑   但又容易哭            
(NA)	 我只喜欢这部 其他的喜气洋洋猪八戒 福星高照猪八戒 我都不感冒            
(3星)	 那孙悟空演员太猎奇了            
(4星)	 结局是有哭过的。。            
(5星)	 看来不知道多少遍！！            
(4星)	 虽然也不怎么样吧，但估计最好的一部猪八戒了。。。。            
(5星)	 我曾经是有多喜欢这个啊！化为龙眼的小龙女，唉            
(4星)	 猪八戒系列里面最喜欢的～～            
(1星)	 别再重播了！！            
(2星)	 感觉很纠结。            
(3星)	 这是那么多部猪八戒里最有印象的一部            
(4星)	 好吧......小学的时候很喜欢看 虽然现在想起来会觉得很傻....还记得和同学讨论过小龙女头上那个龙角到底是什么做的 一致认为是饼干o(╯□╰)o            
(NA)	 151有个猪妖 就是哥给起的外号！            
(4星)	 几乎每个暑假都看的呀~~~很有爱的电视剧            
(2星)	 智商实在太低            
(5星)	 勾起各种回忆            
(5星)	 其实徐铮在里面蛮傻的  哈哈  太白金星搞笑死            
(4星)	 徐铮是我们看着他这样十年过来的啊！！！            
(3星)	 猪八戒泛滥的年代……            
(NA)	 三部里面也只有这部当年看完过，相爱不容易啊，早一步晚一步都是错过            
(2星)	 烂。            
(4星)	 结局哭死我了。            
(3星)	 被小龙女的死感动了，虽然觉得一条龙爱上一只猪很不可思议orz            
(4星)	 以猪八戒为后缀的第一部啊  都有点忘了            
(NA)	 记得是过年时看的            
(5星)	 貌似是闹剧，其实很感人，算得上小时候看的经典之一            
(4星)	 当时看这个被妈妈说哭了···            
(3星)	 剧情……我就想听片头曲：好春光，不如梦一场，梦里青草香            
(3星)	 导演是叶伟信？囧，边个叶伟信啊？            
(5星)	 小时候真的觉得超好看的，到高中看结尾还会哭 T-T            
(3星)	 猪哥哥~~            
(4星)	 小龙女的眼睛是泉眼哦~哭起来还会下雨呢！            
(4星)	 这里面孙兴演的太白金星很有喜感            
(3星)	 = =!!  猪猪如意屁...我还记得太白金星蛮好玩...            
(5星)	 无论什么时候，我都会打满分。            
(5星)	 深深记得当年云仔为了看最后一集不想去帮父母做事，后来父母答应买望远镜他才去。他将这个事情写在了某篇作文里。            
(4星)	 挺喜欢徐峥的。            
(3星)	 至少很有新意            
(3星)	 当年看的很HIGH啊             
(5星)	 当年结局还看哭了。神ED            
(NA)	 结局凄美……            
(3星)	 以前暑假无聊就在家看这个- -            
(3星)	 不得不说真的蛮经典有木有~~这里面特别喜欢小龙女，其实陶虹真的挺好看的~单眼皮儿也有春天呀~            
(4星)	 不错了            
(4星)	 最喜欢猫妖那块儿~            
(5星)	 小时候喜欢shi了~            
(3星)	 一对好情缘。            
(5星)	 我的童年！徐峥和陶虹你们俩千万别分开。            
(NA)	 我晕··真是什么都有啊···            
(4星)	 片尾曲+片头不错= =            
(3星)	 翁虹挺漂亮的            
(4星)	 徐峥不错，陶虹也不错~~~            
(NA)	 这个电视剧到后面剧情拖得好长啊，记得最开始打猫妖做得很玄乎很吓人= =            
(4星)	 童年无聊时看的剧。。。            
(NA)	 我深深的為看過這幾部電視劇而感到羞恥            
(4星)	 乱了点，还不错！            
(NA)	 猫妖吓了我很多年            
(3星)	 猪哥哥 .. 徐铮他们两口子真的很可爱啊.            
(4星)	 内疚是维系感情最好的方法            
(4星)	 在电视剧贫乏的当年，这个真的很好看啦~~~            
(4星)	 结局有点悲伤、            
(4星)	 小时候超爱看的……！最后一集一直哭……喜欢的呀！            
