http://movie.douban.com/subject/2245679/	西游记后传
(1星)	 又名实在亮到让我觉得不标记不大好。。。            
(1星)	 太烂了,,,,,,            
(2星)	 这个电视剧是被各种回放所毁掉的。            
(1星)	 悟空总是一个表情，没半点演技可言...            
(3星)	 这片子音乐挺好的。。。            
(1星)	 原来我小学的时候还有这么一部雷人的电视剧。。。我居然还他妈的看过！！！            
(4星)	 没想到这么多人批额…… 我很喜欢主题曲的说 对那个悟空也很有感觉呐            
(1星)	 要不要这么扯            
(2星)	 情节拖沓，结局不好。            
(5星)	 为“最肯忘却古人诗，最不屑一顾是相思”            
(5星)	 这个改变了多少人的价值观啊= =！！！！            
(5星)	 快乐齐天            
(1星)	 什么破玩意            
(1星)	 骂了隔壁的，比广告还能重复！            
(1星)	None
(1星)	 哦谢特！小时候追过。。长大后回顾才发现。。。丫各种坑爹各种狗血            
(1星)	 坑爹的电视剧~各种回放啊~左放放右放放~            
(3星)	 这个唐僧就是柴大官人啊！            
(3星)	 慢放，快放，左放，右放~哈哈哈哈哈 真准确 01年看的 小时候就算无所谓的事想起来也是美好的- - 怀旧情感作祟-  -这可不对啊...            
(5星)	 为什么评价这么低？小时候的神片之一啊！！            
(2星)	 神作!!!!!!!!!!!!!!!!!!!!!!            
(2星)	 剧情还是有点创意的            
(3星)	 当时看得很欢乐，至于动作反复倒没注意那么多了            
(1星)	 又名: 鬼畜大盛宴（这个亮了）            
(1星)	 我的娘啊。。。。。。            
(1星)	 一部开启了重复回放武打动作的新电视艺术形式。            
(2星)	 后现代武打~左一遍右一遍~左一遍右一遍~            
(1星)	 吐槽无力            
(3星)	 哈哈...大湿            
(3星)	 雷            
(2星)	 吐槽吧 浪费力气            
(3星)	 五年级时候的永恒记忆伴随着《东游记》            
(5星)	 我还是执着的要给这玩意打五星！多么高端的电视剧。我到现在都记得片尾曲那句“最肯忘却古人诗，最不屑一顾是相思”！多么高端的词！            
(4星)	 哈哈。我觉得还是蛮可以的。。以以前的智商            
(5星)	 当初为神话故事吸引，角色可谓闻所未闻；然后还有点小暧昧：无天对悟空，哪吒对悟空，小白龙对悟空；.感人的爱情：乔灵儿与莲花碧游，阿羞与白无天            
(NA)	 有的东西还是要mark一下的。。。            
(1星)	 小时候，我不知道这种感觉叫雷            
(3星)	 两星给无天，比如来有范许多，一星给王慧娟扮演的碧游，还有一星给阿敏片尾，八戒相当酱油扣半星，唐僧无敌的像少林出来的，再扣半星，哪吒见人一个，阿依纳伐笑的让人心头火起，但是忍了~~这片子创意不错~~剪了武打还是能看的~~            
(3星)	 开创中国武打新纪元~！            
(5星)	 不一样的唐僧，不一样的西游。            
(3星)	 我觉得蛮有喜感的啊~歌也不错~            
(5星)	 是那个时候认识黄海冰的，恩，还有我真的觉得孙悟空巨聪明~~            
(3星)	 动作还是不错的，就是重放好几次的那个太213了        情节还算比较有意思吧印象中            
(2星)	 尼玛，小时候跟我弟弟一边洗澡，一边看。            
(1星)	 艹啊这片我竟然看过！！！还在电视上看了很多集...            
(1星)	 重复的武打动作和不停抽搐的孙悟空能让你蛋疼致死            
(NA)	 我怎么记得我年轻的时候还挺喜欢的……怎么……怎么就被豆瓣定义成这样的了……            
(NA)	 老湿第五部太搞笑了，让我想起原来我看过....            
(2星)	 哈哈…「又名： 鬼畜大盛宴」            
(NA)	 啥都不想说了~~被糟蹋的小时候~~我肿么就看完了呢？！还是守着一集一集看完的~~我的小时候是有多闲啊！~~~            
(2星)	 我欲成仙，快乐齐天……            
(4星)	 2b中的战斗机            
(1星)	 这货我居然看过，每集都看过！！OMG，当时一定大部分电视台都在播这玩意。活脱脱一打着名著的旗号的架空武侠片，但演员的打斗动作没几个，都是一动作下去然后，哗.哗.哗.的重复播放。坑爹呢！每集一半的时间都贡献给了回放！！你丫剧情呢剧情！！！！            
(1星)	 只怪当时年纪小~~~            
(3星)	 其实剧情还不错啦~ 嗯 片尾曲挺好听的            
(2星)	 10年前的电视剧。。再看，还是那么雷。。            
(4星)	 其实小时候我很爱看的            
(5星)	 喷子有什么理由喷，看看你们这些德性，童年经典，你们有本事去拍啊！FACK            
(1星)	 简直不想给星星            
(1星)	 不是一般的看不下去。虽然黄海冰很帅。            
(3星)	 坑爹的回放啊。            
(3星)	 果然是强迫症 太有爱了……            
(NA)	 我 欲 成 仙 ！@善解人意的小胖子！！！！！！！！！！！！！！            
(1星)	 你说你为什么一定要借着西游记的背景……            
(2星)	 一塌糊涂！哈来来！            
(4星)	 童年的回忆啊，小的时候啊就是喜欢一个劲儿看，哪怕看过好几遍了都不觉得烦厌。就是喜欢啊啊啊！！！            
(5星)	 我觉得很好看好不好！            
(1星)	 说实话 当时还吓到我了            
(1星)	 杀了我吧            
(1星)	 拍得这是毛啊。。            
(5星)	 力荐的唯一原因是哈利波特抄袭了它            
(5星)	 现在给五星，没人有异议吧？            
(4星)	 好吧，我看得还挺欢乐的…            
(3星)	 剧情很有创意，但是重复武打动作真恶心。            
(1星)	 打斗动作通过慢放，快放，左放，右放不断重复，给我留下不可磨灭的心理创伤...            
(4星)	 我觉得很好看啊~~~欲罢不能的。跟哈利波特系列剧情狗血地重合。。。            
(1星)	 哎呀妈呀，小时候可喜欢看了            
(2星)	 相当傻逼……            
(1星)	 操你妈的             
(2星)	 神一样的电视剧 佛祖都被干掉了。。            
(1星)	 童年的阴影            
(3星)	 帅唐僧。。。            
(1星)	 不愧是垃圾中的战斗机            
(1星)	 相当烂的一部电视剧！给一分都多。            
(5星)	 伴随我长大的英雄悟空&gt;&lt;            
(5星)	 沈大哥化身唐三藏，还有两首年少时无法忘却的动听歌曲            
(1星)	 武打动作无限回放有木有！！！！            
(1星)	 那个重复动作真的太恶心了。。以前不懂看片子不挑的时候就觉得恶心。。现在重温了一遍更觉得恶心了            
(NA)	 还是毛阿敏的相思好听.             
(2星)	 小时候不会评判，只会跟着剧走，想知道结局会是怎样，可是那个重复一遍又一遍的武打动作实在是看的不爽啊!!!            
(1星)	 休闲娱乐吐槽神作不解释            
(NA)	 请注意：又名鬼畜大盛宴。。。。            
(4星)	 人身不看此剧怎能算完整！！鬼畜啊！！凭鬼畜就值3星啊！！还有一星给童年的回忆！            
(4星)	 有段时间特迷好么！~结尾曲蛮喜欢~            
(1星)	 屌爆了还后传啊尼玛HI            
(5星)	 神作。不解释            
(2星)	 哈哈哈哈！！又名鬼畜大盛宴！！！！对的鬼畜的出处原来在这里！！！！            
(1星)	 烂片中的战斗片。            
(2星)	 三连踢..我欲成仙 经典            
(1星)	 完全看不下去的片            
(2星)	 好乱的电视剧，好差的电脑特技。。。。            
(3星)	 这部电视剧还是有点雷的，记得有黑子哈哈            
(1星)	 我忘了居然还看过这部神片。。。。。。。            
(4星)	 打斗时候一次重放打一颗星，四次就是四颗。令我百思不得其解的是，为什么每次重放都一定是四次……            
(2星)	 这个雷啊            
(1星)	 能给0分么            
(3星)	 小时后看着挺欢乐的，现在想来真是年少无知，不过印象剧情和音乐还好。            
(3星)	 为啥我觉得还挺好看的。而且片尾曲很好听。碧游死的时候我还挺难过的- -            
(1星)	 最狗血的是无解的武打动作重复。。。重复。。。重复。。。原本的一招，愣是给变成了N招，你狠。。。你剧情不够凑时间呢！！！            
(1星)	 我小时候真是作孽，看了好几遍。。武打动作重复4遍当成4个动作，除了编剧是个好人，导演和武术指导都tm奇葩            
(3星)	 记得很喜欢其中一个人物来着，好像悟空也挺帅，受不了一个镜头演好几遍，主题曲不错            
(1星)	 差劲到极限            
(1星)	 第一部国产鬼畜电视剧。。            
(1星)	 不能再恶心人了            
(3星)	 我的童年啊童年。。我看完了这部。。            
(4星)	 客观的讲，除了鬼畜与面瘫的悟空（这两件事儿都是一人干的）让人心生厌恶以外，剧情实在是十分强大，1分给主题曲，1分给回忆，2分给剧情（我还特地百度了一下，神探狄仁杰全是他编剧）            
(1星)	 神一样的电视剧            
(NA)	 当时还很喜欢看，每集不落...            
(1星)	 鬼畜大盛宴，哎呀我去，雷得嘎嘎的            
(4星)	 这部剧对当时的我来说，就剧情而言，还是很震撼的，我没想到如来佛祖是可以这样颠覆的……            
(1星)	 坑爹那这是~佛祖都被干了~一个镜头放十遍。。。。            
(3星)	 武打场面太差了，但我还是看完了            
(NA)	 册那，原来这是2000年就首播的烂片啊            
(1星)	 “我还没出力你就倒下了！”尼玛的！我丫的再也没想站起来…            
(NA)	 哎哟，看个欢乐的视频，提醒我原来还看过这么个剧~可是当年我觉得这剧编得很牛逼的诶~~~什么六界三界的转世来转世去的很玄乎有没有~~~原来是年少不懂事啊 T_T            
(1星)	 此乃大师我的十大挫片榜常年在榜之作，这是我挫片看片量里有着举足轻重地位的作品。不看此片，你没资格说别的电视剧挫。黄海冰和马雅舒，还有那销魂的片尾曲，彻底毁了。            
(1星)	 烂片中的战斗机。哈哈哈哈            
(1星)	 哈哈哈  我都忘了我看过这个神片！！太反传统了！            
(NA)	 又名: 鬼畜大盛宴 。。。            
(1星)	 导演绝对是个弱智            
(2星)	 貌似当初还很喜欢看！烂片中的战斗机？哈哈哈~个则评价......            
(1星)	 又名: 鬼畜大盛宴            
(1星)	 烂，很烂            
(5星)	 绝对是神作！不看白活了！！            
(3星)	 为什么又名鬼畜大盛宴？为什么分这么低？            
(3星)	 不错            
(4星)	 记得主题曲很好听，而且是小时候第一次接触到无天这种被逼成魔头的好人……            
(2星)	 小学的时候看的，竟然一集没落！！！            
(1星)	 烂片中的战斗机！            
(1星)	 突然想起来我年幼时看过这部鬼畜的片子。。。说真的，我想给它打五星。==            
(1星)	 看了一个视频。。。突然想起来的电视剧。。。MD。。。当初怎么火的。。。            
(4星)	 其实觉得挺感人的            
(1星)	 不点一个 他以为我不给评分呢            
(3星)	 片尾曲是红豆生南国神马的。。有吴建。            
(3星)	 这才是现实            
(2星)	 雷死人雷死人雷死人！\(&#34;▔□▔)/            
(4星)	 相思 - 毛阿敏            
(2星)	 剧情还好，就是那么多集一半是镜头重复            
(3星)	 主题曲            
(2星)	 还是觉得悟空最好啊。            
(1星)	 演员长得差 剧情也烂 胡扯八道的            
(2星)	 恶搞恶搞！由于佛祖最后移情别恋，所以特可怜莲花。            
(1星)	 一部属于80后记忆的超级无敌大烂片！！！！！            
(2星)	 打斗动作太滥竽充数了            
(4星)	 MB的，老娘喜欢的白莲花居然是马桶娅，急需新狗眼！            
(NA)	 麻痹的这个老子也看过。            
(1星)	 头晕            
(NA)	 神一样的剧= = 片头片尾倒是还不错            
(1星)	 我要成仙 快乐齐天            
(2星)	 这个改得有点离谱了，变戏说了。            
(2星)	 小时候看的特别来劲儿，现在印象最深的就是晕船一样不停摇晃的镜头和相同动作的无数次多角度重复，其实故事本身的创意还是挺不错的，只可惜导演拍的实在太2B了。            
(1星)	 每一集特技的特技剪掉可能只有十分钟的剧情 不过片尾曲真是好听啊            
(4星)	 片尾曲，毛阿敏唱得很好听。这部戏只能当神话剧来看，不能当西游记的剧情，灵儿亚艳福不浅啊！！            
(4星)	 让小时候的我意识到 原来西游记还可以这样！佛祖原来可以那样！大魔头原来这么可怜！            
(3星)	 喜欢莲花            
(5星)	 我觉得不给他推荐一把难消我心中的淤积啊。。。有缘的人肯定被戕害过            
(2星)	 打斗场面看到头疼            
(1星)	 在豆列里查低分电影电视剧打发时间，突然想起了这个垃圾，就过来完成我小时候的一个心愿：西游记后传，去你妈的！            
(5星)	 只是我看到想哭 所以五星            
(1星)	 杀了我吧            
(2星)	 这个略血腥。            
(4星)	 魔幻哈。            
(1星)	 自带鬼畜~~~            
(1星)	 一星送片尾曲《相思》            
(2星)	 最雷我的一点是，唐僧居然会魔法了！！！            
(NA)	 老记得小学时因为看它，而不得不赶作业到半夜。            
(3星)	 还记得主题曲“红豆生南国，是很遥远的事情”满好看的，小时候看电视剧要求木有那么高呐            
(3星)	 膜拜鬼畜始祖啊            
(2星)	 我 到底是有多无聊才看这样的电视剧。            
(3星)	 看过几集，印象不大。。。似乎唐僧也会武功了？            
(5星)	 中国cult电视剧极品            
(1星)	 自挖双目            
(1星)	 小时候就灰常不喜欢            
(3星)	 小时候看的= =|||            
(3星)	 傻气            
(1星)	 。。。孙悟空没表情的            
(4星)	 这片确实不错，以前想看还一直没时间看            
(5星)	 你们这群不懂艺术的            
(4星)	 多酷啊~            
(3星)	None
(NA)	 片尾还挺好听的，那时觉得……            
(1星)	 欢乐了一上午 昧着良心给你打一星  我对不起我至己！！！！            
(4星)	 我觉得挺好看的，当一部以灵儿为主角的爱情片看的            
(3星)	 高中回忆片，剧情比较好玩            
(2星)	 白白浪费俩帅哥，无语            
(2星)	 额            
(NA)	 这个要骂!            
(2星)	 动作太差了。            
(3星)	 我小时候居然很喜欢看这个，现在觉得天雷滚滚呐            
(NA)	 佛祖啊 现在看看真是雷人            
(1星)	 一进来我就想到重复镜头，一想到重复镜头我就笑了十几分钟。            
(3星)	 超喜欢主题曲的            
(3星)	 当年看其实还真可以的。。。。虽然乱扯了点。。。。            
(5星)	 全家人五口人挤在一张床上看了一个夏天            
(3星)	 当时看的时候和姥姥一起在南京看的啊！！！还看得不亦乐乎啊！！还觉得武功法术很玄啊有木有！！！还有佛祖下凡变美少年还谈恋爱啊有木有！！！豆瓣关于这部剧的影评写得爆笑喷血很雷啊有木有！！！！看自爱小的时候的面子上给三星有木有！！！！            
(NA)	 Ma了个的 什么都看过            
(2星)	 傻逼电影 一个镜头重复不知道多少遍。。            
(1星)	 杜撰其实不是错，西游也是杜撰出来的，接着名著杜撰也不是错，水浒三国都是接着大历史杜撰出来的，错就错在，杜撰你就杜吧，还杜这么二……明明就是一动画片的水平，还非搞成电视剧！现在小孩子见识都广了，这东西估计都蒙不了……而且，我想问一下，孙长老的脖子是做过手术吗？？里面是不是有捆筷子呀            
(3星)	 年少的回忆~            
(3星)	 超雷人，不过挺喜欢碧游仙子的            
(NA)	 当年还小，一边骂一边看，镜头重复令人发指            
(5星)	 鬼畜！            
(5星)	 好吧 我的童年            
(4星)	 我欲成仙，快乐齐天！！！还有那个无天！都是经典好吗！不然你现在笑谁去？？？？？？            
(3星)	 看了好几遍突然就觉得好看了            
(2星)	 傻逼电影 一个镜头重复不知道多少遍。。            
(1星)	 烂            
(1星)	 烂片神马的最有喜感了，五百年都难以超越= =            
(1星)	 糟粕中的极品！            
(1星)	 我看过几集 我知道导演TMD就是这只猴子，这只面瘫的猴子！！！            
(3星)	 哎哟~大家评分不要呢么残忍嘛 这个超搞笑的好嘛            
(1星)	 巨傻……            
(2星)	 悟空好像变弱了，狗血的要死，什无法无天。            
(NA)	 在姥姥家看的。总是晚上十二点左右演。当时姥爷还在。            
(2星)	 暑假和表弟一起看的……            
(3星)	 只能说还行吧。特技有的地方做的还可以，但有的地方也太粗糙了吧，动作老是重复。。。。。            
(NA)	 我欲成仙，快乐齐天            
(2星)	 孙悟空好丑，而且一点灵性都没有，阿门，原谅他吧~            
(2星)	 重复你妹。            
(3星)	 消遣            
(3星)	 印象比较深刻的一个是白莲花撕心裂肺的一句灵儿，还有就是灵儿正义凛然地说莲花是我的妻子，碧游是我最爱的人blabla            
(3星)	 我居然看完的！            
(4星)	 其实= =这是童年的记忆啊啊啊！！有木有！！再雷人也是我童年！！这是个3P片吧- - 然后我印象深刻那个白莲花坠入无底洞喊着灵儿灵儿灵儿 震撼到童年的我了~！！！            
(1星)	 雷到不能用言语形容。。。            
(5星)	 打斗动作中同一个动作通过慢放，快放，左放，右放来冒充4个动作！！！哈哈哈            
(3星)	 黄海冰啊            
(3星)	 ！            
(5星)	 哈哈哈剧情很好啊 为何分数如此之低            
(2星)	 “又名”是谁加的。。。豆瓣竟然还这么有爱的审查通过了。。。            
(4星)	 我小时候好爱看这个=。=            
(1星)	 唉            
(2星)	 编剧纯粹是打鸡血了...导演完全叫做特效系奇葩...但我竟然很喜欢马雅舒那个角色！            
(1星)	 讨厌讨厌！            
(1星)	 无聊死了            
(1星)	 没的说啊 神作            
(2星)	 两星分别给片头曲和片尾曲            
(3星)	 小时候很喜欢看的说~            
(1星)	 那首《相思》好听，一颗星星给这首歌了             
(NA)	 小时候吃饭的时候头仰得高高的看着饭店里的tv set，只记得歌很好听。。。            
(2星)	 一个动作反复播送，卡带了是吧？            
(2星)	 厄，我连这都看过            
(1星)	 刘欢的那首片头曲和毛阿敏那首片尾曲都不错，其他一无是处。            
(2星)	 蛋。。。疼。。。            
(2星)	 。。。。==            
(4星)	 这个片多么耐看啊 一边写作业一边看的最好选择            
(3星)	 乱七八糟啊乱七八糟~            
(1星)	 什么玩意啊            
(1星)	 看片尾曲《相思》的面子给你一分            
(3星)	 生生把孙悟空变成智者了。。。不过还不算太雷。。。创意有加。。。            
(2星)	 恶搞。。。            
(5星)	 断断续续的看过，没看全， 那时候觉得真是好看啊            
(3星)	 无感···            
(1星)	 这一星是给毛阿敏的。            
(3星)	 很久之前看的电视剧。            
(4星)	 小学时候看的，虽然对他滥用重复动作镜头已经懒得吐槽，但那会儿确实很喜欢看~故事其实挺给力的            
(4星)	 这片子 我当时真是特别喜欢            
(4星)	 当年对白莲花和乔灵儿是多么怜爱            
(5星)	 给五星，它也许是你们心中的烂片，但不是我心中的PS：查了下编剧是钱雁秋，代表作《囧探狄仁杰》——所以故事情节没的说            
(3星)	 还行，我喜欢主题曲。            
(3星)	 冷~            
(1星)	 妈呀，真难想象我竟然完整看完过那么恶心的电视剧！！！！！+1            
(3星)	 现在觉得也挺好看的            
(4星)	 这么多年来我一直坚信，无天和悟空是一对。            
(2星)	 很欢乐的，剧情概括就是如来和两个女人谈恋爱，片尾曲虽然动听，就是演员们轮着吐血囧啊            
(4星)	 为什么分如此低。我觉得我小时候看的还是很喜欢的。剧情创意很足。            
(4星)	 挑战经典是虚要勇气的            
(NA)	 神特技            
(2星)	 各种雷人，印象深的就是反派boss好像斯内普，不过OPED都很好听            
(1星)	 我竟然看过。。。            
(1星)	 只有片头片尾曲是亮点            
(1星)	 打斗的时候看的我想砸电视.....  好不学学广告. .反复折腾就是好了?            
(5星)	 绝对的经典。            
(3星)	 里面的歌曲很好听            
(1星)	 不评价            
(2星)	 记得片头曲是刘欢唱的还挺好听            
(NA)	 记忆中好像很雷。还神马舍利子……            
(NA)	 还记得当年的那歌~            
(2星)	 主题曲挺好听，其他的太囧了            
(4星)	 好爱这里的孙悟空            
(3星)	 脖子僵硬的孙悟空。。。            
(3星)	 太难看了。我当时纯粹是为了黄海冰。            
(2星)	 电视台放的这些烂片给予俺们小时候心灵的冲击 造就了俺们现在坚毅不拔的品质啊             
(5星)	 我以前一直一直觉得很好看啊~~~虽然已经过去了快十五年了...但是，回想起那时候还是觉得...不错。            
(2星)	 上初中时候，一个暑假里云南台放，看时候觉得该片有的点雷人啊，呵呵，里面的女性角色也没有几个好看的，更雷人的是我居然坚持看到了大结局.........            
(3星)	 当时感觉人物好丰富呀~            
(2星)	 大反派演的真不错。我欲成仙快乐西天也蛮顺耳的，其他的是在太雷了……            
(2星)	 真真假假            
(3星)	 有黄海冰，有三角恋，小时候看还挺喜欢            
(3星)	 我喜欢白莲花，就这样            
(3星)	 当年看得很嗨皮            
(1星)	 脑残之首            
(3星)	 哈 我也记得一个动作用特效重播N遍  片尾曲还不错            
(2星)	 我看过我看过……            
(5星)	 我想说，5颗星完全是给片尾曲的            
(1星)	 笑……            
(3星)	 重复镜头看吐了，真能糟蹋东西。也就片头曲和片尾曲比较给力吧，一个刘欢一个毛阿敏。            
(1星)	 一个镜头来来回回好几遍 也不嫌累 还抖啊抖啊的            
(5星)	 佛祖都被干掉了，冲这想象力也得给五星            
(NA)	 一逼的难看            
(3星)	 当时就是冲着帅锅黄海冰看的……但片子无论剧情还是特效都其烂无比……但最近突然有童鞋说：这才是最忠实于真相的西游记……            
(3星)	 想当年很迷这个，睡午觉睡到一半，我爸就叫偶起来看（他也喜欢看）            
(3星)	 多少年前！！！！其实这片还好...            
(1星)	 如果可以，我连一个星都不会打            
(1星)	 这些囧...都是在电视上看到的,零碎是正常.            
(3星)	 片尾曲大赞！！所以3星。。。讨厌碧瑶仙子啊太讨厌了            
(3星)	 碧游仙子很漂亮~            
(1星)	 纯是粑粑            
(2星)	 在年幼无知的情况下还看了n遍            
(3星)	 小时候看的我一把鼻涕一把眼泪的……哎哟哎哟灵儿和那么多女人有关系……黄海滨演的唐僧真是有爱啊……            
(4星)	 喜欢片尾曲            
(4星)	 其实我觉得毛阿敏阿姨唱的那个歌真好听啊~~~            
(2星)	 = =            
(4星)	 最爱白莲花 讨厌碧游讨厌碧游讨厌碧游讨厌碧游!!!!!!!!!!!!! 有点像无间道啊 陪着悟空的八戒都是假的             
(4星)	 邪典cult片 限制级 各位家长请看管好小孩，还有是毛阿敏唱的片尾曲《相思》。            
(NA)	 我都算他是魔幻剧了            
(3星)	 打斗场面太2了。            
(5星)	 儿时那美好的回忆！            
(5星)	 高三时看过，很喜欢！            
(3星)	 创意真不错 拍的真TM烂            
(1星)	 垃圾            
(1星)	 我完全是当笑话看的  哈哈哈哈            
(NA)	 曹荣的脖子真直啊！            
(3星)	 我欲成仙……哈哈哈            
(NA)	 武打特效的极致            
(1星)	 给黄海冰的一星            
(1星)	 当初年少无知竟然追着看            
(3星)	 它的歌也一直在我脑内循环……这是第一部拍出来的名著同人作品么！            
(2星)	 我觉得被去演这个戏简直就是对自己演员身份的一个侮辱……这种戏拍得更神马样的……            
(2星)	 佛祖也是要谈恋爱的…            
(3星)	 我真的看过这么狗血的？？？            
(NA)	 哈哈哈哈哈            
(NA)	 boring            
(2星)	 烂，还是坚持看            
(1星)	 御弟哥哥V5= =            
(2星)	 情节还不错，拍的太烂了。主题曲很赞            
(NA)	 一颗星都不想给你            
(4星)	 我小时候还真挺爱看的            
(4星)	 要不是武打镜头要死似的重复好几遍其实还不错            
(1星)	 什么是雷得里焦外嫩。            
(2星)	 烂片，尤其是打斗场面，花眼            
(4星)	 为片头片尾曲加一星            
(2星)	 各种重复镜头，孙悟空是猴么？            
(5星)	 我欲成仙 快乐七天！！！！！！！！！！！！！！！！！！！！！！！杀！！！！！！！            
(4星)	 无天演的真不错！剧情设计的也好，就是悟空打斗场面不仅不是很吸引人，还太多太长！上面几段错综复杂的情感也不错！            
(1星)	 初二看的吧，中国烂片的圣经级宝典！这辈子没看过更烂的，这也能叫电视剧，没有经过任何剪辑的片子世界上真的存在…………            
(2星)	 巴拉巴拉，呕~            
(3星)	 这部真的很雷人            
(3星)	 故事还行啊            
(2星)	 好好的名著给你改的.....雷到众生            
(4星)	 碉堡了            
(3星)	 我真的每天两集在电视上把它看完了…… 貌似高三毕业的时候吧，哈哈 要有娱乐精神            
(3星)	 特效比较差，最大的败笔。编剧还行，猪八戒变成了吴孟达式的角。唉～            
(3星)	 印象分。三年级的最爱，挺曲折的反正            
(NA)	 欢快的要死            
(4星)	 我的灵儿和碧游，还有那句守着爱怕人笑还怕人看清。            
(1星)	 shit的玩意            
(3星)	 ⋯⋯            
(2星)	 实在没有看的的时候看的 片尾曲很好听            
(4星)	 我好喜欢            
(2星)	 特技做的太差了。唬小孩啊。            
(1星)	 眼睛疼。。            
(2星)	 神马乱七八糟的。。            
(3星)	 &#34;你们这些个神们!食人间烟火却高高在上,不问世事不明情理,尽是些无能之辈!&#34; 虽然故事意料之中仍是邪不胜正的大和谐结局,但让小时候的我知道了佛祖也是会死的神仙也是无能的坏人也是值得同情的,这就够了~ ps:主题曲名字很狗血但很好听            
(2星)	 钱雁秋编剧，额……            
(2星)	 特技失控。。            
(NA)	 豆瓣果然啥都有....            
(1星)	 烂的我想收藏            
(4星)	 突然想起来这部电视剧，虽然很恶搞，但故事情节还是可以的。白无天和妓女那段，以及六耳猕猴等剧情也很引人入胜，黄海冰版的唐僧也很有看头，不甚于这么低的分数。            
(3星)	 片尾曲《相思》倒的的确确十分动人，以至于很多年过去，我们忘了剧中那个脖子奇怪的孙悟空打斗的镜头是左一遍右一遍简单堆叠的，忘了唐僧居然钻研武学有了气魄，只记得毛阿敏深情唱着“最不屑一顾是相思”。             
(2星)	 左右变换的镜头印象深刻……其实演碧游那女孩当时挺待见的，就是剧太烂            
(1星)	 = =            
(3星)	 其实还行的 最后猴子还舍身取义又复活了呢            
(1星)	 一拳打三次 拖长了多少剧情            
(2星)	 很雷的同人            
(1星)	 虽然很差，但我看了好几遍，唯一吸引我的是它的大背景，佛祖等人居然被干掉了~            
(1星)	 垃圾啊垃圾            
(3星)	 歌算好听            
(2星)	 当时真有点没法接受·····可是居然还看了不少，悲催····不过片尾曲是真好听            
(3星)	 主题曲五星 剧情四星 无天三星 导演二星 武指一星 剪辑......            
(3星)	 扯。            
(NA)	 靠，不就是动作回放多了点么。。我就觉得还不错啊，至少在当时看来            
(5星)	 雷剧必须推荐            
(1星)	 史上最烂的电视剧，，强烈推荐15岁以上大孩子在儿童陪伴下观看 orz的剧情打斗动作中同一个动作通过慢放，快放，左放，右放来冒充4个动作。            
(1星)	 。。。            
(2星)	 拖沓，扯淡。自带鬼畜。            
(3星)	 打斗动作中同一个动作通过慢放，快放，左放，右放来冒充4个动作。那首《红豆》很好听，            
(3星)	 2001年暑假看的。            
(2星)	 被公众认可的穿越剧。。            
(1星)	 每次看都要吐血，累的我啊~            
(2星)	 囧~~~浪费资源！~            
(3星)	 孙悟空除了用脚踢是真没见过什么真功夫，假的地方太多，倒是灵儿碧柔白莲花的感情部分还是不错的            
(4星)	 萌点莫名 喜欢这个胜于正统西游记 - -||             
(1星)	 那时我在上小学……            
(NA)	 除了打斗二逼 重复无数次的镜头 导演二逼 重复无数次的剧情 其他还好哈哈            
(3星)	 囧~~~            
(1星)	 好黑暗            
(1星)	 就是垃圾。            
(1星)	 左三圈右三圈...            
(3星)	 卧槽当时暑假寒假老是放我还觉得不错！            
(1星)	 反复的动作镜头确实很省钱            
(2星)	 即使这样的剧，哥当年也是看的！            
(3星)	 现在觉得  说整部剧很奇怪 但是那时候小啊  觉得 演的还好了            
(1星)	 一个动作无限次循环            
(1星)	 太差了~~            
(3星)	 小时候看的，很有意思啊。经典之处就是被打中的镜头左重复3遍右重复三遍.....            
(NA)	 啊。。。。。啊。。。。。好深情的一个剧啊！            
(3星)	 这唐僧可会打了 碧游仙子可美丽了            
(1星)	 没见过更烂的            
(2星)	 NC            
(1星)	 我居然看过.....21世纪能拍出这种东西其实还是需要勇气的...            
(3星)	 恶俗！            
(4星)	 为什么··我挺喜欢看的····            
(3星)	 当年是冲着黄海冰去的，还行吧            
(3星)	 小时候很爱看的            
(1星)	 左三圈~右三圈~再来一遍！             
(3星)	 佛祖会怪罪你们的，不过娱乐精神十足。            
(NA)	 因为acfun上上传了|萌主叫主，武僧无双！|看到下面留言有人说要搬东游记，我表示期待            
(4星)	 我喜欢背景歌。            
(2星)	 混乱            
(5星)	 胜过新三国、新红楼百倍。            
(1星)	 能不能有0分选项            
(4星)	 里面激情戏超多超喜欢，另外，曹荣是我比较喜欢的武术指导            
(NA)	 主题曲很不错            
(3星)	 黄海冰～～咱纯粹为了黄海冰……            
(4星)	 无天挺像哈利波特里面的伏地魔            
(2星)	 我眼睛难受             
(1星)	 看得我吃不下东西的片子，这是第一部，恶心，低俗，三角恋情，这就tm的一垃圾！            
(3星)	 一个动作翻来覆去放            
(3星)	 我个人还是挺喜欢的。            
(3星)	 我当时怎么会看得那么入迷。。。。我喜欢碧游。。。我对那个重复无数遍到令人发指的特技效果印象深刻。。。。            
(4星)	 白莲花的扮演者是马娅舒，后来第三者插足了蔡少芬和吴奇隆，和吴奇隆因为她出轨又离了婚最终。            
(1星)	 我居然又看完了            
(1星)	 雷雷更健康~            
(1星)	 其实想打0星的。悟空，你就治治颈椎病吧            
(NA)	 莫名其妙            
(2星)	 那重复三遍的特技和晃到我晕掉的镜头啊~~~是这部片的特色，最近潮州电视台还弄成潮语版的~~NB啊~~            
