http://movie.douban.com/subject/2156718/	锦绣良缘
(4星)	 很可爱的故事，可爱的顿珠。            
(NA)	 一直最喜欢郑中基演的那一对，有中说不出的小幸福~            
(4星)	 早知有Ronald唔睇咯。。。            
(4星)	 小时候很喜欢，ps，小时候，就是小学的时候！            
(5星)	 很欢喜的一部剧            
(5星)	 家庭古装喜剧里的经典啊，以后似乎没跳出过这个圈            
(3星)	 还可以吧。            
(4星)	 轻松搞笑             
(5星)	 喜欢喜欢…………不过好长啊……            
(4星)	 为毛文颂娴当女一的剧这么少啊。。唉。。            
(4星)	 感觉很像皆大欢喜            
(4星)	 还记得看这部戏的那个无聊的夏天            
(4星)	 比想象中好看。            
(4星)	 初中偷偷看的……            
(NA)	 好看            
(4星)	 文颂娴啊文颂娴，真的好爱好爱！从锦绣良缘开始！笑起来有可爱的小酒窝！            
(5星)	 文颂娴哪~            
(5星)	 很轻松很好看            
(5星)	 超爱女一号  剧情什么的也没的说  很久以后发现有  胡杏儿 凹凸了            
(4星)	 超级可爱的顿珠——文颂娴            
(4星)	 OMG竟然有郑中基而年幼无知的我没有发现....顿珠...超爱。            
(5星)	 电视里每放一次就看一次！但是从没看完整            
(NA)	 太喜欢了！哈哈哈！            
(4星)	 文颂娴加盟ＴＶＢ噶第一套剧集。当年配角相当出彩            
(NA)	 看文颂娴的            
(4星)	 只有主题曲让我特别喜欢。。郑中基唱的。。            
(4星)	 其实不大喜欢林文龙            
(4星)	 蛮好玩的，我看了好几遍            
(2星)	 也就随便看看。            
(4星)	 大结局那天夏令营，提前租碟无果，无网，隔了一年才看到……            
(4星)	 这个很温馨很好看，情节特别好！现在回想起来还是觉得不错！            
(5星)	 还记得顿珠的娇俏。            
(4星)	 喜欢文颂娴~~~~            
(3星)	 都忘完了，全是小学看的艾~~            
(4星)	 皆大欢喜就是用来贺岁的            
(4星)	 不错 很好看 喜欢里面的剧情            
(4星)	 喜欢文颂娴，原来看过的，前几天一个通宵看完了。喜欢(╯3╰)。            
(5星)	 去外地旅游的时候看重播都很high，很没品可是喜欢，哈哈            
(5星)	 主题曲那叫一个好听            
(4星)	 居然有郑中基            
(4星)	 看着TVB长大的我  看到这些电视剧  觉得好 温暖。             
(4星)	 典型的TVB剧情            
(3星)	 没什么感觉的片子。。。            
(5星)	 不知道为什么，我很喜欢这部...啊哈哈            
(3星)	 结局不好            
(4星)	 喜欢文颂娴            
(4星)	 顿珠哈可爱            
(3星)	 看过点。            
(NA)	 很好看啊            
(3星)	 顿珠，炖猪...            
(5星)	 一想到文文的名字：顿珠=钝猪就直接被雷到，郑中基和他老婆的衣服的布料是一样的，连郑的鸟笼用的布也是一样的。            
(2星)	 要不是在电视上看的，我也许就不会看吧···真的是无聊的时候看看的            
(5星)	 看过好多遍             
(4星)	 轻松的很舒服            
(4星)	 很喜欢的一部TVB剧            
(5星)	 年纪很小的时候看过。。那时候觉得非常好看的说、            
(5星)	 前十集还是蛮好看的，几个妯娌之间的斗嘴真是狂搞笑，不过后来就觉得一般了，但总得还是很好看            
(4星)	 好久远啊……            
(4星)	 怀念！            
(4星)	 看着就很开心的剧，文女很漂亮。            
(4星)	 和我妈一起看了，顿珠，哈哈哈。            
(4星)	 电视里看过几遍的。总算有一次让我看到了结局。。。            
(NA)	 刚才才知道郑中基扮演老三，囧。            
(5星)	 最初喜欢的，并不代表一辈子会在一起！            
(NA)	 很温馨，喜欢女主角。想再看一遍            
(5星)	 不错的~            
(5星)	 轻松搞笑 小时候的最爱            
(4星)	 其实吧。。还真挺好看的。。。            
(NA)	 看了好几遍            
(4星)	 苏玉华一直这么好看            
(NA)	 当时觉得可好看了！四夫人四少爷~~~            
(5星)	 不喜欢林文龙。不管是古装还是现代片。            
(NA)	 狠好看，看来好几遍，文颂娴就是这部作品让人印象深刻            
(5星)	 次次度觉得好好睇            
(5星)	 哈~~难得文颂娴的主角~~            
(4星)	 重播也看了几遍了=。。=            
(3星)	 真扯。            
(5星)	 喜欢~            
(NA)	 可爱的顿珠            
(5星)	 每次看都心情好好            
(4星)	 小時候經常追著看的劇啊，個人覺得是文頌嫻表現最好的劇            
(4星)	 等人生第一次飞机的无聊日子看的～PS:我喜欢文颂娴。            
(4星)	 豪门世家一夜之间就倒了，他们一家人又白手起家，干出了一番事业，多好。            
(NA)	 没想到郑中基这么有喜感。            
(4星)	 看过很多重播，还没厌            
(4星)	 不知道TVB时，也很喜欢这个剧            
(5星)	 以前，现在，我依旧疯狂着。            
(NA)	 想起来了 那谁谁谁叫文颂娴～            
(3星)	 这部也很熟很熟。文颂娴印象深刻            
(4星)	 文颂娴很可爱啊~            
(5星)	 03年非典时老看，太有意思了，尤其是几个媳妇玩攻心，到最后也很有教育意义，多和谐啊不是吗？挺经典的了，而且主题曲也很好听！            
(4星)	 为了文颂娴、梅小惠，多加一星也无妨。            
(5星)	 天 我居然忘了有郑中基了            
(3星)	 感觉很开心~            
(4星)	 郑中基            
(5星)	 皆大欢喜的短篇版              
(4星)	 这个看过很多遍，某段时期电视上不停回放            
(3星)	 比较关注文颂娴            
(5星)	 看似大大咧咧没心没肺的女子，其实爱夫护夫，再大委屈也愿意扛！喜欢这种外表单纯可爱，其实内心温婉细腻的女子！文颂娴，我喜欢！            
(3星)	 巅峰~~            
(4星)	 好玩，几个媳妇笑死了            
(3星)	 欢乐的剧我喜欢，文颂娴超可爱~            
(4星)	 顿珠~好心情~            
(5星)	 现在正在午间剧场重播。在家过暑假的时候又追。劲喜欢啊            
(4星)	 没印象了。            
(3星)	 喜欢 文颂娴             
(5星)	 很好看。刚好触中我那时的萌点。            
(4星)	 超喜欢文颂娴～            
(3星)	 很港剧。。            
(4星)	 看了几遍还是觉得很好看  尤其胡杏儿当时很顺眼            
(NA)	 第一次觉得文颂娴pl            
(5星)	 我喜欢顿珠            
(4星)	 顶，文颂娴            
(5星)	 很幸福的一家，看过n遍了，经典            
(4星)	 很光明的一部剧  林文龙就是个摆设            
(4星)	 顿珠是那么可爱            
(5星)	 古代的搞笑剧，还是很不错的            
(5星)	 看了又看看了又看看了又看~最爱的港剧~            
(4星)	 挺喜欢的~轻松好笑~            
(4星)	 情节和主题曲一样喜乐                                   
(5星)	 顿珠  哈哈哈            
(4星)	 当中原懦夫遇上番邦泼妇……            
(3星)	 文颂娴不错~            
(4星)	 真是很好的因缘。            
(4星)	 顿珠还蛮搞笑的            
(3星)	 感情是可以培养的，就像四少爷和顿珠，她在雨中抛许愿球的时候，大概就已经爱上他了吧            
(3星)	 文颂娴很可爱，虽然演技一般。            
(4星)	 不只一两遍            
(3星)	 轻松搞笑            
(3星)	 看的時間太久了，都不記得情節了，只記得是從這部戲開始認識文頌嫻的            
(5星)	 喜欢这部剧            
(5星)	 每年过年必上映的~~~            
(5星)	 还记得主题曲“一生好像染布，光彩与灰都满布”            
(4星)	 就是在这里知道了林文龙，感觉他跟文颂娴很配。            
(5星)	 顿珠~~~            
(3星)	 炖煮            
(4星)	 看了几遍也不会厌。            
(NA)	 看了四五遍的电视剧   嗑瓜子打发时间的好选择哈哈            
(4星)	 追忆            
(NA)	 第一次在HK看粤语的剧就是这本            
(4星)	 劇情挺狗血的,但是鄭中基夫婦實在太搞笑了            
(3星)	 喜庆嘛            
(3星)	 都OK            
(4星)	 林文龙真是斯文！！帅死~            
(5星)	 2007            
(5星)	 典型的港式古装爱情喜剧            
(4星)	 那个时候觉得林文龙很帅哈~~            
(4星)	 顿珠··            
(4星)	 很轻松的一部剧~~~            
(NA)	 那个叫顿珠的女子。            
(NA)	 全部带着很欢快的心情看完            
(5星)	 I LOVE 郑公子。            
(NA)	 我还满喜欢文颂娴的啦            
(5星)	 小时候特别喜欢的啊            
(5星)	 很轻松的电视剧，连配角都很有个性。            
(4星)	 挺轻松的电视            
(5星)	 很多年前的回忆了。。打发时间很好            
(5星)	 这部片子我爸妈也爱看呢！            
(2星)	 又是轻喜剧。            
(4星)	 简直完美呈现了什么叫做峰回路转            
(NA)	 经典。            
(5星)	 大爱~            
(2星)	 最后一集真是进展神速啊            
(3星)	 用来打发时间还可以，其实文颂娴真的很漂亮            
(5星)	 文颂娴在这部剧里很出彩啊，还有，这个很像浓缩版的《皆大欢喜》            
(4星)	 大家都演得很好。。。好像演二太太那个一向都是演这种类型的人物。。。            
(2星)	 剧情其实挺滥俗= =不过打发时间是不错的。            
(4星)	 文颂娴很可爱，可惜没红。            
(4星)	 看看他们怎么勾心斗角的。男主角忠厚状，妻子可爱。情人为尼，可惜。            
(5星)	 娇小的文颂贤充满力量            
(3星)	 又来。。。原谅我吧~~            
(4星)	 汗，我才发现里面还有郑中基，我说怎么那么眼熟呢。。。            
(5星)	 很喜欢林文龙，然后顿珠在是里面正直，率真，很可爱。这部看得断断续续            
(5星)	 轻松的片片，而且难得男女主角都喜欢            
(3星)	 轻松好笑的港剧            
(4星)	 香肠嘴 眯眯眼 妈妈说二哥和三弟媳妇像兄妹一样的 哈哈哈哈            
(4星)	 文女啊。配角啊好有爱啊            
(4星)	 我喜欢那个文颂娴...            
(4星)	 有爱。。            
(4星)	 染布坊....            
(3星)	 很欢乐= =            
(3星)	 西厢记？            
(4星)	 好像是第一部完整正常地看完的TVB剧            
(4星)	 我就喜欢这种HAPPY ENDING,中间吵吵闹闹的过程也很好！            
(4星)	 古装喜剧，搞笑．            
(4星)	 经典老片            
(4星)	 喜欢文颂娴            
(4星)	 很好看...            
(NA)	 我妈很爱文颂娴。我也蛮喜欢。            
(5星)	 看了很多遍。但貌似还是没看全            
(4星)	 林文龙和文颂娴简直就是郭靖加黄蓉搭配 一个呆直一个精怪欢喜冤家~大快人心            
(4星)	 我印象中文颂娴第一次当女主角~~~很喜欢郑中基的角色，，很经典的港式古装喜剧            
(4星)	 不知道为什么我当时很喜欢....            
(4星)	 很不错的剧集。因为有林文龙。。。            
(3星)	 唯独适合过年时候看的大结局。            
(4星)	 文文突出~            
(3星)	 小時候看的，喜歡文妹妹，她的劇讓人看著舒服            
(4星)	 不错,不错...            
(4星)	 看了无数遍，2.3两对夫妻真是笑死人，邝文珣漂亮            
(4星)	 虽然蛮老的一部电视剧了 电视台经常放，不过还可以            
(4星)	 有点无聊~教育台放的第一次~我看过n次~无聊时候消遣~港剧是最不错的选择~            
(5星)	 百看不厌            
(5星)	 里面好多金句～！            
(NA)	 好看            
(3星)	 还不错~            
(4星)	 我也是喜欢文颂娴。。            
(4星)	 喜欢文颂娴            
(4星)	 二嫂三嫂很可愛            
(4星)	 当年我也很喜欢看的            
(4星)	 初三那年的热闹时光。文颂娴很可爱            
(3星)	 覺得文頌嫻的扮相宜古宜今，可惜貌似不是很紅。            
(3星)	 无聊中断断续续看过还是慢慢爱上她的类型            
(NA)	 嘿嘿 到最后才知道怎么回事儿~            
(NA)	 超好看            
(3星)	 曾经看了好几次，但是始终没有看全过，特别是程家怎么又复兴的。那时候还蛮喜欢文颂娴的。配角让人很想笑。            
(4星)	 以前看的，感觉服装道具还挺精良的            
(5星)	 启蒙剧之一            
(5星)	 还行吧            
(NA)	 古装喜剧，打发时间的好选择            
(NA)	 做布啊。。。郑中基好搞。。            
(3星)	 可爱的顿珠            
(3星)	 挺热闹            
(NA)	 哈哈，很搞笑的片子            
(4星)	 满不错的            
(3星)	 轻松搞笑的。            
(5星)	 喜欢            
(NA)	 芹姐的风格            
(NA)	 也是我超爱的~顶~            
(5星)	 文文最可爱!~            
(NA)	 文颂娴~~            
(3星)	 曾经的喜欢            
(4星)	 看了好多遍~            
(4星)	 简简单单的，家和万事兴啦            
(4星)	 喜欢顿珠 明亮的大眼睛 可爱的笑容 单纯善良的性格            
(NA)	 锦绣良缘            
(NA)	 温情的小情调片子            
(5星)	 女主角很可爱。。            
(3星)	 我喜欢这种不用动脑子的白痴电视剧            
(5星)	 文颂娴 我喜欢            
(3星)	 一般一般啦            
(NA)	 喜欢  有点搞笑            
(3星)	 看点集中在一条线稍显单薄            
(4星)	 先爱上的先承受痛苦            
(4星)	 很搞笑            
(2星)	 乱七那个八糟            
(NA)	 典型的港剧模式～～不过很搞笑～            
(NA)	 锦绣良缘            
(4星)	 家庭剧。完满。喜欢~            
(5星)	 文颂娴  林文龙            
(4星)	 这个比较晚了~            
(NA)	 粗略看过。汉藏和亲。文颂娴武功一流，林文龙居然是遗失的王子。。            
(5星)	 古装搞笑的典型之作啊            
(3星)	 林生呀~            
(4星)	 顿珠挺搞笑的！            
(5星)	 百看不厌            
(5星)	 很喜欢剧中的顿珠哟            
(4星)	 小时候的TVB真的好看            
(3星)	 好好的一个文颂娴。。。。。。            
(5星)	 呵呵            
(5星)	 当年很爱这部戏，很好笑            
(5星)	 好开心哦~            
(NA)	 文颂娴总是那么年轻            
(5星)	 搞笑啊            
(NA)	 般般            
(NA)	 锦绣良缘，倒霉多少记忆深刻的情节，但愿望很好，希望才好            
(4星)	 嬉笑冤家。            
(5星)	 TVB的古装剧总是那么千篇一律到很又意思，嘿嘿            
(NA)	 欢喜冤家            
(4星)	 有趣。看过很多遍。            
(NA)	 又是个好玩的            
(3星)	 still when i was young.            
(3星)	 一般            
(NA)	 很逗！            
