http://movie.douban.com/subject/2155335/	十七岁不哭
(5星)	 初中的时候看的~还蛮好看的嘿嘿~            
(4星)	 雨霖，好样的            
(3星)	 郝蕾后来演了颐和园，身材不好            
(4星)	 我的青春            
(5星)	 对于郝蕾饰演的杨宇凌,我总是念念不忘 ...            
(5星)	 那时我也超爱简宁            
(4星)	 long long ago            
(4星)	 曾经年轻过            
(5星)	 原来杨宇凌是郝蕾演的...喜欢...            
(5星)	 重看了一遍，还是超级好看。杨宇凌简直是我青春期里对完美女孩的认识。            
(NA)	 那些青春的年少无知，那些璀璨的岁月年华。我们走过了，却从未真正意义上忘记过。            
(5星)	 所有角色都历历在目~最爱的还是我们当年的模样~喜欢杨宇凌和雷蒙很铁的友情~喜欢简宁和杨宇凌朦胧的感情~可惜当初太小能够看懂的东西是那么稀少~最终已经找不到乐心但是喜欢上了牛萌萌~            
(5星)	 杨宇凌。宇宙的宇，盛气凌人的凌。相比简宁我比较喜欢雷蒙。            
(5星)	 永远的杨宇凌&amp;简宁儿～～            
(5星)	 小学时候的少女情怀阿~~            
(5星)	 简宁是小时候的一个信仰            
(5星)	 郝牛李你们竟然红了！            
(4星)	 姐记得书比电视剧好看来着~哎，我的青春小鸟一去不回头~            
(5星)	 中央七在每个假期下午三点都会播，原来才１０集，小说是我接触的第一本。看了那么多那么多遍            
(5星)	 越来越遥远的青春            
(4星)	 试试才能行，争争就能赢            
(NA)	 我们不断从孤独中走出，投入人群，却发现寂寞仍在背后，无法远去！            
(5星)	 拼命踩着油门, 却发现追忆最美好            
(4星)	 感觉更像我的初中生活~~高中惨淡的像一张白纸            
(5星)	 校友写的剧本.哈哈            
(3星)	 看到校内上有人翻出来这个的剧照了，好怀念呀            
(5星)	 论坛上有人提及，突然想起我很怀念他们。            
(NA)	 好久遠的記憶。。。都想不起情節了            
(4星)	 在应该早恋的季节未能恋上，现在只能晚恋了            
(NA)	 青春啊            
(5星)	 不忘了记念，不停止向前。十多年过去了……            
(NA)	 只记得简宁的名字和他和郝蕾那时候大概的脸了。            
(5星)	 原来是李晨 怪不得后来一看到他就觉得亲切            
(4星)	 小学时一直幻想的高中就是这个样子的，一转眼大学都毕业了。。            
(4星)	 曾经年少            
(3星)	  1997年的片了。。。除了这个片名，其它的真的记不住了。            
(5星)	 忽略牛萌萌.....            
(5星)	 27岁也别哭了~            
(4星)	 有空还想看看哩            
(5星)	 简宁..杨宇凌..永远记着的青春            
(5星)	 长大是另外一课，讲的不同游戏规则            
(5星)	 长大后是另外一课，讲的是不同的游戏规则……            
(NA)	 小学记忆            
(4星)	 看颐和园，是觉得女主角好眼熟...            
(3星)	 我那时候天天放学都要看            
(5星)	 很是为简杨恋唏嘘不已~            
(5星)	 我真的不知道当时的杨宇凌就是《颐和园》的余虹啊            
(5星)	 初中我就看了，很喜欢很喜欢的说；这几天舍友在看，也一起重温一下，十年啊，有一个十年过去了。。。            
(5星)	 80年代的校园剧呀~最纯洁、最美好的一段时间就是情窦初开的年纪。            
(5星)	 多春偶啊，现在就拍不出来            
(5星)	 喜欢杨宇凌和简宁！！！！！            
(5星)	 主流立志            
(5星)	 青春是一本太仓促的书~~            
(4星)	 如果，十年前我看的此片，那是一种什么心境？ 该打五颗星~~  真是对乐心这样的女孩子一见倾心。            
(NA)	 小时候对于长大的全部幻想。            
(5星)	 天！多喜欢这部电视剧啊想当年            
(4星)	 简宁特帅            
(5星)	 刚上小学时超级喜欢看!            
(4星)	 我记得上面有一个叫雷蒙的！            
(4星)	 喜欢杨雨菱~看完之后，无限憧憬住校的生活~            
(NA)	 曾经的杨宇凌，后来的余虹。 郝蕾啊郝蕾~            
(5星)	 喜欢！            
(4星)	 我当年很萌郝蕾帮简宁这一对啊！乐心也不错~            
(5星)	 当年多喜欢啊            
(4星)	 永远的青春，后来看有点属于教育片..            
(5星)	 简宁，杨宇凌~            
(5星)	 内地校园剧最棒不之一            
(5星)	 怀念啊~            
(4星)	 哦，我真是怀旧啊，怀旧啊~李晨啊，简宁啊~啧，啧~            
(4星)	 初中看人家的高中生活，然后再想想自己的高中生活，唉。            
(4星)	 看到吴哲的时候就觉得熟悉。原来就是他            
(4星)	 当初看 现在再看 真的不一样            
(5星)	 年少的回忆~~~~            
(5星)	 看的时候很向往高中生活……上了高中发现不是那么回事啊。。。结果上了大学才发觉原来高中是那么美好……为了怕以后再这样伤感，还是好好珍惜现在看不起不太美好的大学生活吧~！            
(4星)	 在十几岁看这样的书和电视剧，然后期盼着自己也有这样的经历。等到过了十七岁才知道，自己被骗了~            
(5星)	 简宁和杨宇凌，偶像啊            
(5星)	 All time classic！            
(5星)	 成长的见证啊。            
(NA)	 早到不行……看的时候爷离十七岁差的还远呢，现在……哼哼。            
(4星)	 本土最初最好的青春            
(4星)	 不一样的十七岁            
(5星)	 我那时候就萌过李晨哦噗            
(5星)	 当年我四年级...            
(NA)	 哎呀，明明看过哭过，怎么都不记得讲的什么啦！            
(5星)	 怀念那些哥哥姐姐们            
(5星)	 17+的時候看十七歲不哭才想哭 T_____T            
(5星)	 那一年的萌动与懵懂啊。            
(5星)	 简宁~杨宇凌~            
(5星)	 嘻嘻 这个是我小学时候看的哦            
(5星)	 郝蕾很漂亮            
(5星)	 那时他们都很年轻，郝蕾也很迷人            
(4星)	 谁不是一边受伤，一边学坚强？            
(5星)	 简宁简宁。            
(5星)	 小学时看十七岁不哭，            
(5星)	 印象中最好看的校园剧            
(5星)	 杨宇凌 雷蒙 简宁            
(4星)	 人物过于脸谱化。但是郝蕾实在太合我口味啦~摊手。最后两集非常白痴。            
(4星)	 我喜欢简宁内            
(5星)	 太回忆了~李晨就是我偶像~~~~            
(3星)	 小时候 很傻很天真            
(3星)	 错让我以为十七岁都是那么美好。            
(4星)	 小时候看的经典啊……            
(5星)	 高中时的经典，百看不厌，好喜欢杨宇凌            
(5星)	 我暗恋简宁~经提醒才想起牛萌萌在里面扮演了一个学习好家境不好的女孩            
(4星)	 十七岁的时候，谁不是一边受伤，一边学着长大。虽说后来亦如是。。。            
(5星)	 我亲爱的简宁啊，永远的白马王子~            
(4星)	 关于青春，关于我们的青涩            
(5星)	 那个时候可以评这个分数            
(5星)	 杨宇凌，简宁，乐心……            
(5星)	 谱写 青春            
(3星)	 三星半            
(5星)	 永远的简宁......            
(5星)	 永远的青春记忆            
(5星)	 小时候的经典            
(5星)	 大爱啊。。。与之比起来，十六岁的花季不知道被飞到哪里去。最爱简宁。。。            
(4星)	 过了这么多年再看，还是觉得好看            
(5星)	 我想再看一遍，纯粹的青春。            
(4星)	 小时候            
(5星)	 简宁是少年时候的梦            
(5星)	 十七岁不哭            
(5星)	 很多人都还记得他们吧。。            
(NA)	 这个太好看了小时候觉得。            
(5星)	 初中时幻想的高中年代，转眼羞涩的简宁都变Man了            
(5星)	 当时好迷李晨            
(5星)	 最爱            
(5星)	 会当凌绝顶            
(4星)	 和我的十七岁不一样。            
(4星)	 小学时不知道看了多少遍            
(3星)	 当时觉得这部剧真是烂呢，简直完全模仿《花季雨季》。现在还挺怀念那时的郝蕾和李晨，《颐和园》里面的郝蕾以及而今30岁的李晨我都很爱的说            
(5星)	 我们不断的从孤独中走出...投入人群...却无助的发现...寂寞仍在背后...它从未远离...谁都是一边流着泪...一边学坚强...            
(5星)	 简宁 简宁...            
(5星)	 小学时候看的~当时还觉得高中老远的            
(5星)	 正太时迷过一段时间            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(NA)	 承载所有的幻想~~            
(5星)	 可爱的李晨            
(5星)	 小学时对于学生时代和朦胧爱情的一切的幻想来源于此 纯真的年代 我们都回不去了            
(NA)	 简宁和杨宇凌。那时我也正喜欢着一个成绩优秀的男生。想回到17岁。            
(3星)	 没什么印象了            
(4星)	 很年少很粉嫩的李晨和郝蕾，高中时的难忘记忆……            
(5星)	 电力十足的坦克 轰轰越过一道道坎            
(5星)	 其实我看的是剧本……            
(4星)	 虽说我们不是他们，但是杨宇凌、简宁、雷蒙的那些感情、那些青春时代的骚动、茫然我们也都是有过的，这部10集的电视剧一直都是青春的经典，比十八岁的天空之类的要真实太多，也出色太多了。            
(5星)	 杨宇凌&amp;乐欣——你和我，我们再也回不去了            
(5星)	 十六岁的时候看过的最好的一部校园青春片            
(5星)	 半夜看到它，有时光倒流的微妙体验            
(5星)	 我的简宁，眼神还是清澈，却已经不再属于我            
(4星)	 初中的时候看的，此后对未来满怀憧憬，结果发现电视剧终究只是电视的剧...            
(5星)	 中学时代的最爱            
(5星)	 永远永远的爱...喜欢简宁和杨宇凌~            
(5星)	 15岁前的最爱。不过似乎知音很少。。            
(5星)	 当初很稚嫩，很青涩的一群小演员们，现在都已经长大~            
(4星)	 先看的书            
(4星)	 青春啊            
(5星)	 简宁～～～            
(5星)	 还想看几遍            
(5星)	 当年想他们都是高中生了哎……现在觉得他们才十七……小学六年级的留念……            
(4星)	 十七岁，回不去了            
(5星)	 那是怎样的回忆啊……            
(5星)	 简宁说：“忍”是当你浑身燥热的时候主动就进火炉旁            
(NA)	 挖.差点就忘了.            
(5星)	 经典的。。。            
(5星)	 记忆中的简宁            
(5星)	 小学看的，超级喜欢            
(5星)	 看完脑袋里只剩简宁的一句话：“谁不是一边受伤，一边学成长。”10年过去了，连我也早已过了17岁，很多困惑还一直盘旋，但是依旧必须叮嘱自己：不哭；必须告诉自己：“打扮漂亮，18岁是天堂。”            
(5星)	 道理讲得很对            
(5星)	 宇凌,简宁..            
(NA)	 我还记得！！！            
(5星)	 十四岁时候看的电视            
(NA)	 最近才知道，杨宇凌的原型竟然是个男的，太崩溃了。少年时期价值体系的坍塌啊！！            
(5星)	 最爱            
(5星)	 花季的幻想            
(5星)	 剧本可是我师姐高中时写的~~            
(5星)	 他们变得好强大了            
(5星)	 记不清情节了，只记得那一张张稚嫩的脸，直到后来看士兵突击，发现那不是当年的简宁嘛            
(5星)	 青春是一本太仓促的书            
(3星)	 其实有点假～～不过小时候晚饭时间固定的            
(5星)	 雷蒙太帅了            
(5星)	 那时候看很羡慕他们，自己也想快点长大，转眼自己早已过了十七岁            
(5星)	 这是我心里关于十七岁最初的雏形，尽管现在发现也许不尽相同，但是依旧难忘当初的感受            
(5星)	 太早以前了             
(5星)	 98年我十岁，剧里的很多东西我不懂；08年我二十岁，剧里的很多东西现在想起来是那么单纯，甚至有些naive。忽然间意识到自己老了，已经该奔三了……            
(4星)	 发现竟然十年了            
(NA)	 简宁！简宁！            
(4星)	 那时很迷李晨！            
(NA)	 在邻居家看到的，看不完整。            
(NA)	 长大后是另外一课，讲的是不同的游戏规则~~~~~~我们清纯，我们缠绵，快乐和忧伤洒落星星点点。。。            
(5星)	 我亲爱的简宁啊~~~~            
(4星)	 十七岁不哭，不哭，            
(5星)	 我喜欢郝蕾！            
(5星)	 喜欢简宁~            
(NA)	 怀念，回不去的岁月            
(5星)	 我的十七岁……            
(5星)	 哦~青春!经典~~~~现在看一样喜欢!!!!            
(5星)	 爱简宁            
(5星)	 当年的最爱            
(NA)	 十年前的偶像剧            
(NA)	 青春的记忆            
(2星)	 我应该写部小说,写最真实的高中生活            
(5星)	 想当年，我是多么向往高中生活．            
(NA)	 不管什么时候看, 希望依然可以,跃动着那样的心情节律. 爱美丽,拥抱生活.享有爱情, 勇敢地接受挑战.            
(NA)	 最喜欢的大陆青春电视剧            
(5星)	 初中时看的青春剧，那时很感动。时至今日，还记得当年一起看这部电视剧的朋友呢～            
(5星)	 曾经收获很多            
(NA)	 简宁。简宁。宇凌。宇凌。            
(4星)	 当初是冲简宁看的，but士兵突击还是不想看。。。            
(5星)	 简宁同学堪称高中时代暗恋对象的模板            
(5星)	 老娘我初中的大爱啊~            
(5星)	 十七岁只是虚数而已            
(5星)	 初二要么就是初三看的。那时候好喜欢好喜欢简宁呢。前些日子竟然找到了扮演简宁的李晨的blog..            
(4星)	 以前的小朋友现在都成明星了            
(5星)	 很不错的片子，看了几遍，当时超喜欢女一号郝蕾，可惜她后来再没有比较好的作品了            
(5星)	 那时候我就在幻想我的十七岁会想他们一样，结果，等我到了十七岁的时候等我的只有做不完的卷子而已。            
(3星)	 现在里面的几个人貌似都混得眼熟了吧            
(4星)	 简宁and杨雨凌            
(5星)	 回忆童年            
(5星)	 那时年轻。            
(5星)	 年少轻狂，幸福时光。            
(NA)	 李芳芳还是真的认真写了书的。            
(4星)	 虽然完全忘记了剧情,但觉得以前应该很喜欢这部戏,当时还买了书,还很憧憬可以到17岁~~哎~~            
(3星)	 十七岁不哭            
(5星)	 李晨^_^            
(5星)	 我的简宁哈哈```            
(5星)	 1999            
(5星)	 谁不是一边受伤一边学坚强            
(4星)	 最美的事            
(NA)	 真的看过~真的忘了...            
(5星)	 看着别人的故事，想到自己的故事            
(5星)	 第一次看是六年级，非常向往长大的生活。真的长大了，发现其实不是这样……            
(5星)	 我一直记得。你说，明天，我们会足够的优秀，足够的好。            
(5星)	 看到《士兵突击》里的吴哲，突然想起简宁了            
(5星)	 简宁 杨宇凌            
(3星)	 还记得高中班主任也看了，上课时还跟我们提到了            
(4星)	 曾经对那样的高中生活很是向往么 等到真的上高中的时候才发现完全不是那么回事 哎 年轻的孩子就是容易被骗            
(5星)	 我心中的经典！            
(4星)	 喜欢简宁，恩恩            
(3星)	 没什么太深的印象            
(5星)	 曾经的简宁啊~~什么时候能达到他那种“宁静致远”的境界啊~            
(4星)	 青涩回忆。            
(4星)	 初中的时候特别喜欢看……            
(4星)	 不到十七歲的時候看叻            
(5星)	 打水的时候他俩第一次见面，我的心都碎了~~~~            
(5星)	 总是一边受伤，一边学会坚强。 ~ 还有，曾经很是喜欢简宁 =)            
(4星)	 喜欢简宁.所以喜欢李晨.            
(NA)	 看这个的那个时候的我们            
(4星)	 校园            
(5星)	 高中看的，和青春有关            
(5星)	 青春不是一场梦            
(5星)	 选择了风雨兼程，就只能放弃花前月下            
(5星)	 那年，刚考上了附中，看了这部电视剧，于是就很盼望开学，很向往高中的新生活            
(5星)	 当年上课一口气把小说看完！这是稀饭滴……怀念啊            
(5星)	 小学时候看的了。。。            
(4星)	 QAQ            
(5星)	 11岁的时候曾经向往的十七岁……            
(4星)	 当年也萌过简宁和杨宇凌的BG啊&gt;&lt;            
(5星)	 感觉很真实            
(5星)	 致17岁的青春            
(4星)	 太喜欢郝蕾了~~            
(4星)	 我都不记得看了多少遍了。。情节这东西害死人。。。            
(5星)	 十七岁 不哭.....记忆            
(5星)	 青涩的李晨~~~纪念下我逝去的青春            
(NA)	 喜欢简宁 喜欢乐心            
(5星)	 青春回不来了            
(5星)	 好喜欢。很干净。            
(5星)	 CCTV8晚饭必备大餐一份            
(NA)	   十七岁的梦想，十七岁的故事，十七岁的微笑和眼泪，就让它们永远留在我们回不去的十七岁吧。  席慕容说“青春是一本太仓促的书”。    整装，待发。                                                  ——2012年2月13日             
(5星)	 即使在这个年代也是少有的励志校园青春剧。里面的演员也都是十几岁，那时候剧很火，但是演员不红，到现在也都是二线甚至是三线的艺人。            
(5星)	 承载了十七岁所有的幻想            
(4星)	 老早的了···7岁看17岁不哭···==···            
(5星)	 今天看到李晨的头像就突然想起了简宁，事实证明这么好的男孩子只有故事里才有。青春这词整个儿都泛着一股文青的酸味，但故事里的总是好的，自己从来只有旁观的份            
(5星)	 给回忆。            
(NA)	 最近爱上郝蕾和李晨了。。。又看了遍            
(5星)	 青春的印迹，感动我们的是太过于相像的感受            
(5星)	 小学的时候把书跟电视剧全看了。原著作者李芳芳也成了新生一代导演。我觉得应该来个续集。讲述十几年后简宁，宇凌的故事，让曾经的演员再度联手。            
(5星)	 那个时候 简宁就是我心中的白马王子一样  陪伴了自己年少的青春            
(5星)	 喜欢那时的李晨~            
(5星)	 实在是太喜欢简宁和杨宇凌了，小学就看过了，到现在依旧那么有感觉，简宁当年就是我心中的白马王子，那么懵懂的青春，那么美好的一切，国产青春剧的经典之作            
(5星)	 一起看的人一起走过了那段最青涩的日子 青春二字 青已不再            
(5星)	 初三那年看滴，记得当时是CCTV8放映，那会就喜欢上郝蕾和李晨~PS:印象最深地，应该是简宁对杨宇凌说“心慌的那种感觉，我也有过”~只是他俩最后没在一起~哎~            
(5星)	 每隔一两年就要重新看一遍 很经典很真实 回忆漫漫            
(5星)	 模糊了情节。            
(5星)	 。。。。。青涩啊！啊啊啊啊！感脚啊！！            
(5星)	 大爱简宁~            
(4星)	 因为这部片，我从小学就立志高中要住宿。            
(4星)	 那个年代。。。            
(NA)	 哈哈哈哈哈哈哈，那时我就看懂了~            
(5星)	 当年是多喜欢郝蕾和李晨哇。            
(5星)	 十多年过去了 第几遍也不腻            
(5星)	 造成了当时上初中的我对高中的各种yy以及后来的失望。。。            
(5星)	 最贴近高中生活的了XD            
(5星)	 与青春恍然相逢的刹那，我看见了岁月的慈悲。            
(5星)	 年少时候的记忆，那么鲜活。杨宇凌、简宁，一对虽然错过，但是却活在我记忆中的孩子。            
(4星)	 十七岁的简宁后来化名吴哲进入我国特种兵部队OJZ            
(4星)	None
(4星)	 小学一年级 全校组织观看            
(4星)	 冲着李晨去看的.好纯真的高中生活.            
(5星)	 启蒙啊            
(5星)	 我们都被青春撞了一下腰 ps.牛萌萌真的超美 郝蕾女神无误            
(5星)	 上高中时看的，当时实在是太喜欢了。            
(5星)	 喜欢李晨            
(5星)	 记忆弄人，那个时候能有哥哥姐姐陪我这个手笨的人玩FC就可以心满意足，不过条件就是陪着他们看这个美丽校园。不过细细思索却也能回忆起些许剧情，升学，体罚，学生会。也许记忆已被自己的影子修剪            
(5星)	 简宁……一切的美好都在这里            
(5星)	 初中的时候好期待高中生活。到了高中发现10:1的男女比例，叹气……            
(5星)	 记得当年一看到电视台里放这剧就占着电视不准换台。话说前几天看《风车》，很震惊的发现男主角就是简宁。            
(5星)	 第一次在这里喜欢上李晨，以前电视台每次演都会看。不到17岁的时候看，过了17岁还是很喜欢~            
(5星)	 今天神经大条了，无意中看到了很多小时候看的电视剧，然后自己找了找，这部电视剧还是十多年前看的，上小学的时候，那时候喜欢干练帅气的杨宇凌，喜欢温文尔雅的简宁，尽管多年过去了，物是人非了，总能在电视和节目中见到李晨，可是和坐在一边的妈妈总会凑过来问问：那是不是简宁。尽管郝蕾多了些许的            
(3星)	 简宁你好死脑筋哦            
(5星)	 简宁和杨宇凌从两个楼梯上对着走下来那场戏到现在我也忘不了！！这么算起来我还暗恋过李晨！！小时候真没想到简宁长大了依然演着戏　还挺红            
(5星)	 永远不再来。容我在此刻悼念。            
(5星)	 杨宇凌~当然，还有班里女生课后讨论的简宁，两人楼梯相对的画面好怀念            
(5星)	 中学时看过的纯纯的电视剧，喜欢            
(4星)	 我22岁看这片儿挺不好意思的。简宁真可爱，小婴儿肥啊。郝蕾也好看，明眸皓齿的。现在就觉得也挺粗糙的拍摄，但是97年的水准来看，这俩人也足够偶像剧了。怎么说呢，就觉得简宁的长相放在现在也是帅啊萌啊。            
(NA)	None
(4星)	 自己十七岁的时候才发现生活其实远比电视剧精彩。。            
(5星)	 小学时的偶像剧~            
(NA)	 谁不是一边跌倒一边学坚强！他是永远的简宁，她是永远的杨宇凌。            
(5星)	 哎呀哎呀 有人又提起它            
(3星)	 从那时开始发现简宁的魅力            
(5星)	 还买了书！            
(5星)	 简宁是我心目中的第一，希望他和杨宇凌修成正果了。青春里面，要勇敢，要沉着，要学会选择，学会放弃。真希望我早一点看到这个电视剧。            
(5星)	 忘了读初中的时候看的  我记得我哭得一塌糊涂            
(5星)	 我小时候觉得这就是高中 有像李晨一样的帅哥 结果特么的我整个学生生涯连条毛浪漫情节都没发生。。            
(5星)	 郝蕾这时候多好看啊            
(3星)	 好小的时候看的哦            
(5星)	 情窦初开的日子，恋上杨宇凌            
(5星)	 一部《十七岁不哭》和一盒郭富城的《爱定你》专辑，是我在爷爷奶奶家住的半年的最深刻记忆。。            
(5星)	 挺感人的。            
(4星)	 那会儿挺喜欢看的，杨宇凌，简宁            
(4星)	 那年的花季            
(4星)	 那时我们的约定还是:我们一起上清华.            
(5星)	 很精彩            
(5星)	 哎呀，那个时候的郝蕾，多么美好            
(4星)	 十多年了，我还是很喜欢这部戏，郝蕾、李晨，牛萌萌如此年轻的时候            
(3星)	 应该是我最早看的偶像剧了吧            
(5星)	 青春就这么一去不复返了~好怀念那些青葱岁月啊。可是当时的自己却一心想着大学有多么美好。就是没有想到自己不走的平常路。            
(NA)	 电视剧没书好/那会儿郝蕾还不是余虹/乐馨笑起来眼睛弯弯的真可爱/青春不是一本只有欢乐的书/谁不是一边受伤一边学坚强            
(5星)	 慢慢的都是回忆            
(5星)	 快被回忆砸死了            
(4星)	None
(NA)	 听到水手。想到那年的高三。也就那么一眨眼的功夫。我们都长大了。            
(4星)	 17岁            
(5星)	 李晨的经典。            
(5星)	 那时候觉得郝蕾好看史了，当然现在也挺好看的，当时觉得高中生考大学什么的老难老牛逼了。。。转眼哥研究生都要毕尼玛业了，里面的不少孩子都红了，李晨，牛萌萌。。。倒是雷蒙没红。。。这也是最早的校园剧之一了吧，“杨宇凌，盛气凌人的凌”“试试就能行，争争就能赢”我角角落落也记的很清楚么-             
(4星)	 当年的记忆，谁还记得心目中那个简宁~            
(5星)	 简直是少年时代最爱啊。            
(5星)	 试试就能行，拼拼就能赢！！！            
(5星)	 当时就特喜欢郝蕾            
(3星)	 书更有名            
(5星)	 那绝对是青春啊！现在感觉都没有这种片子了。。            
(5星)	 最初看这部电视剧时候的年龄只有10几岁，之后几乎每个寒暑假都会重温一遍，充满了对17岁中学生活的向往，刚来美国的时候又看了一遍，感觉那个时候：年少的快乐、冲动、忧愁、苦恼、作业的压力、老师的叮嘱......都是那样的美好......            
(4星)	 居然初中还是小学时还痴迷了一段，那时候想，十七岁，哇，好遥远现在的确是很遥远了。。。            
(5星)	 简宁！            
(5星)	 98年看的，以当年看时的心态评,五分.喜欢那样的简宁,却不喜欢那时盛气凌人的杨宇凌,其实也许只是跟曾经的自己太像,便从心里抵触.不过简宁就是我小学时心中的完美帅哥形象啊!            
(5星)	 郝蕾...恩哼            
(5星)	 我们已经是后青春期了            
(5星)	 人生中看过次数最多的电视剧            
(4星)	 比较萌李晨和雷蒙互攻CP。            
(4星)	 现在看好粗糙……            
(5星)	 我小时候可喜欢看了            
(5星)	 好喜欢的童年记忆啊！！！            
(5星)	 只有那样的时代能拍出那样的电视剧，从情节到台词，都淳朴的有些傻气，就像那个时代本身一样。不知道为什么我不是那个年代的人，却又属于那个年代的乡愁，那么爱那个时代的人，爱他们的生活，他们的纯与真、甚至他们的穿着、发型都让我喜欢。像拍红楼梦的那个年代，安静，不浮躁，简单，才会有这样作品            
(5星)	 当年超爱的，很中意里面的简宁            
(5星)	 学习，共鸣吖。            
(5星)	 很经典。初中的时候看的，对高中充满了期待，结果又点失望。            
(4星)	 太隐晦太装纯洁了嗷~            
(4星)	 没有十六岁的花季那么有感 不过也算是那个年代这题材片子之一。总之比后来、现在的很多青春片好很多            
(3星)	 第一次认识了郝蕾！            
(NA)	 喜欢啊            
(5星)	 当时班上一男生买了原装书，牛B的不行，借来看还要排队！！！            
(5星)	 cctv，那年我还上小学……铁二中对面的租书店里，那本被翻烂的《十七岁不哭》剧本，我的功劳不可没，简宁、杨宇凌、雷蒙、晓丹……所有的形象都深深刻在我的心中            
(5星)	 青春不是一本只有欢乐的书！            
(5星)	 无可代替的青春校园剧            
(4星)	 儿时记忆。            
(5星)	 看的时候好憧憬17岁啊，可是现实尼玛坑爹呀～当时喜欢的是雷什么的一个男生，不喜欢简宁，太书呆子了，谁知道看到最后，只有“书呆子”有女朋友了，你妹啊！            
(5星)	 我上学前班时候看的了 好怀念啊            
(4星)	 郝蕾+牛萌 男主也待见 青春岁月最美 那时的女明星真好看            
(NA)	   郝蕾            
(3星)	 青春啊。。            
(5星)	None
(4星)	 当时很入迷            
(NA)	 十七岁他妈的！            
(4星)	 郝蕾很漂亮呀，我还看过书。            
(4星)	 那时候觉得李晨简直帅翻了,我承认自己小时候弱爆了...            
(5星)	 青春不再，最喜欢的校园剧            
(5星)	 有爱 青春啊...            
(5星)	 青春啊 青春！            
(4星)	 觉得力不从心了，好遗憾，所有的美好全部流失。过了那个节就不再是当年情怀            
(4星)	 经典 李晨。。            
(3星)	 那个想当年啊……            
(NA)	 简宁和杨宇凌，青春记忆            
(5星)	 纪念单纯有爱 热血不羁的青春 当然还有「一步仨脚印」的小情愫 嗯！（竟然无聊到翻老片出来看，虽然台词有点雷厄）            
(5星)	 相对于现在的电视剧来说,真不错.            
(NA)	 很多很多很多年前            
(3星)	 只記得李晨的臉了 還是先看書在看電視的            
(2星)	 已然快廿七了…            
(NA)	 在这爱上李晨的            
(4星)	 十七岁时根本没他们那么成熟。。            
(4星)	 想起当年假期生活            
(5星)	 杨宇凌。嗯！            
(5星)	 经典            
(5星)	 记忆中的简宁。            
(5星)	 我的脾气和杨宇凌一样。就是木有她漂亮。。。            
(NA)	 灰常经典~~            
(5星)	 从小学就开始看的好片子，找了很多年~            
(5星)	 经典啊            
(4星)	 郝蕾啊郝蕾            
(5星)	 好看啊，好喜欢里面的简宁和郝蕾            
(4星)	None
(NA)	None
(5星)	 青春在风中飘着            
(5星)	 李晨~            
(5星)	 少年时期的大爱，简宁，杨宇凌            
(4星)	 这才叫青春偶像剧啊！现在的这些土台客能比么！能比么！            
(NA)	 ！！！经典shi了            
(4星)	 喜欢简宁和杨宇凌            
(5星)	 真经典啊            
(5星)	 所谓的青春戏，小时候唯一喜欢的。            
(3星)	 桑心地快乐滴系光，回答完毕，泻泻！            
(5星)	 在我心中无法超越的经典，最喜欢简宁啦！！！            
(5星)	 简宁，雷蒙，杨宇凌。。。。点缀了那段青葱的岁月            
(4星)	 当时简宁是我的白马王子            
(5星)	 杨宇凌。简宁。            
(5星)	 杨宇凌（盛气凌人的凌）、简宁、雷蒙、乐心。。。试试就能行，争争就能赢。。。一切的一切都是那么的单纯与美好。。。青春是一本太仓促的书。            
(5星)	 简宁            
(5星)	 我那一去不复返的童年啊...简宁，杨宇凌，雷蒙...到现在我还记得这些名字...            
(5星)	 情不自禁            
(3星)	 玩世不恭是要有资本的。            
(5星)	 小时候看的，李晨那时号青葱啊~哈哈哈~喜欢他俩在广播站里的那段~告白啊~告白            
(NA)	 97年到现在，看看这些演员们，他们的脸蛋至今还没过时。。            
(5星)	 小学的回忆啊！            
(5星)	 李晨  郝蕾            
(5星)	 咋不拍电影版。郝蕾和李晨都还在圈子里呢。            
(4星)	 好像只记得简宁了……            
(5星)	 混蛋，现在一想，泥马的考98得第三名你也哭啊，还是不是人了啊……            
(4星)	 在七岁和十七岁时都看了            
(5星)	 哥哥姐姐都已老            
(5星)	 童年的回忆            
(4星)	 青春！懵懂！萌动！            
(5星)	 竟然在大学我还重温了一遍、李晨~            
(NA)	 当时多希望赶紧到17岁啊，妈的一晃就过了            
(NA)	 男猪脚掏出一盘枪花磁带，郝蕾皱着眉头质问，你怎么能听这些呢？是她让我在初一认识了枪花。            
(5星)	 1997年            
(4星)	 看得我哭过。为了那段被压抑的感情吧大概            
(5星)	 永远的简宁和杨宇凌～            
(4星)	 理想范式            
(5星)	 以前看这部电视剧时，憧憬我的十七岁校园生活，现在看，回想、纪念我的过去。            
(NA)	 我生命中第一部偶像剧~            
(5星)	 简宁，宇凌，啧啧，真般配。            
(4星)	 当年被郝蕾和李晨萌得一塌糊涂。            
(4星)	 这不只是一部电视剧 而是我美好的青春            
(4星)	 那年我们十七岁            
(3星)	 跟十六岁花季差远了，比较做作            
(5星)	 懵懂近青春期的经典~~~            
(5星)	 李晨哥哥            
(4星)	 看了多少遍。。。            
(5星)	 那些所谓的校园偶像剧跟这个就不是一个档次，心中的经典。简宁大约就是童年至青少年心中暗恋的对象了！            
