http://movie.douban.com/subject/3012309/	古灵精探 古靈精探
(5星)	 = =知道剧情狗血。但是喜欢郭羡妮。喜欢如此不恐怖却特搞笑的侦探片。            
(3星)	 为了曾华倩看的。            
(3星)	 快到结尾就开始急展开            
(4星)	 古灵精探两部都很好看，推荐~            
(5星)	 灵的灵的，案子很精彩，感情线也很喜欢！！！！            
(NA)	 开始不喜欢的。。后来俊蕾说好看，再看，果然还可以。。            
(3星)	 剧情偏扯淡但是不无欢乐，喜欢于sir陷入爱情时孩子气的忧伤感。            
(4星)	 挺好看的说！喜欢这样的郭羡妮！剧情好看热闹。            
(5星)	 超好看~            
(4星)	 OK啦~你会想看第二部的            
(NA)	 只能看看曾华倩            
(4星)	 双郭很合拍哈哈            
(4星)	 结局残念！！！！            
(5星)	 很喜欢这种逻辑推理型~~~             
(3星)	 最近无聊翻出来看看，其实也不是很喜欢郭羡妮和郭晋安，这个剧情到是不错，电视看看有劲起来，现在在奋斗第二部...            
(4星)	 开头挺精彩，几个有特点的人被原警队踢走而组成了D.I.E，破了很多搁置的案子，风头实际可以盖过重案组看了前13集            
(3星)	 总是快一步            
(4星)	 喜欢喜欢！！            
(2星)	 怎麼可以這麼難看(＃°Д°)  又弱又扯 是我看過所有破案港劇里最爛的一部 編劇可以去死了........郭羨妮太不討喜 怎麼看怎麼不喜歡            
(1星)	 我很后悔买了这个影碟，还一买买两部。。。一摸到证物就有反应，少了很多推理过程，搞笑也不够搞笑，纯垃圾            
(5星)	 好看诶。。。。            
(4星)	 &lt;突然记起我看过&gt;神奇！ 唉~~  苦情男            
(3星)	 同古灵精探B一样无聊。            
(4星)	 为数不多觉得好看的香港片。            
(4星)	 哈哈，这个看着好欢乐的啊，看完后实在就不习惯郭晋安演反角啦            
(4星)	 很好玩~            
(4星)	 不知道为毛看几遍也不厌倦啊。            
(4星)	 大爱郭晋安。            
(3星)	 给三星完全是为了于子朗，曾华倩好美，有没有人觉得郭羡妮很讨厌- -！            
(5星)	 这个暑假最喜欢的电视剧，推理很棒 于子朗晶晶正义哥小凤姐美人皮埃尔费SIR都很可爱 我爱马明！~            
(5星)	 真的很好看，很喜欢。为什么我觉得比第二部好呢。            
(4星)	 破案的            
(4星)	 其实我也不知道我怎么会喜欢看这种tvb剧的。            
(5星)	 配角都好丰满哦，好看~            
(3星)	 我只是来看马明的。= =            
(5星)	 悬疑部分和感情部分都做得很足 外加上古灵精怪的部分更为情节增色            
(4星)	 很有意思啊,大口英好惨,            
(2星)	 唉...向来对郭晋安无爱...看着杀杀时间，SO SO吧~            
(4星)	 Death Investigation Extension.  D.I.E.  特别凶案调查分部            
(4星)	 tvb的拿手好戲刑偵劇 第1部的時候馬明和曾華倩才剛在一起 第2部就已分手            
(3星)	 曾华倩好漂亮 结局太囧            
(3星)	 【三星半】            
(4星)	 结局必须看加长版啊！有意想不到的龙套啊！            
(4星)	 好扯的结尾= =            
(4星)	 很好看啊            
(5星)	 其实我超喜欢成家隽阿。            
(3星)	 黎耀辉，那桃花都破败了，你就算不和阿菲不和苏丽珍，和曾华倩也算得上童话。            
(3星)	 我只想说，题材还算是新鲜啦，就是那个孩子是怎么来的啊？要不要这么简约啊。。            
(5星)	 我可喜欢吖！            
(4星)	 最近在电视上偶而看到的，结果竟然勾出了我体内的侦探因子。。。结果第一部基本看完了，一不小心又开始看第二部了，不应该在这个时候看，可是放松心情用真的很好使~            
(4星)	 像这种侦探类的就欲罢不能。            
(3星)	 tvb            
(4星)	 还行吧 反正比较喜欢郭晋安 郭羡妮也不错            
(4星)	 好吧我就是喜欢看TVB。            
(4星)	 郭晋安好可爱            
(4星)	 通灵时那个表情挺可爱的啊！            
(3星)	 一星给对港片执着的我，一星给港片未变的温情和叨唠，一星给难得滴古灵案件。。不过从20集开始，很多案件交代不清楚。。            
(3星)	 郭晋安这么爱演超感神探啊            
(4星)	 还是港剧好看呐...            
(3星)	 为神马我一直觉得郭靖安傻傻的~            
(3星)	     打发时间，没心没肺时最好的选择。            
(4星)	 kill time            
(3星)	 无论是爱情，还是亲情，如果不能坐下来心平气和地和对方交流，误会只会像红海一样越裂越深。            
(3星)	 5            
(4星)	 此剧让我改变对郭羡妮的一贯恶感。            
(5星)	 真的很喜欢这部，这部剧让我喜欢上了郭晋安，喜欢上了郭羡妮，还好有加长版结局哈~~            
(5星)	 我爱看哦！多给一星给曾华倩。            
(3星)	 郭晋安还是适合喜剧类型的电视剧            
(5星)	 剧情很扯吧，但我就是喜欢幽默温暖积极向上的小团体！            
(3星)	 我是有多喜欢傻傻地看着电视            
(4星)	 挺喜欢郭晋安的。            
(4星)	 其实片子一般吧，但那时剧荒得厉害，这个算是让我在大学后重看TVB的一个开始吧            
(5星)	 我小时候看，觉得香港人怎么都这么有劲，长得都这么好看的            
(4星)	 好看，警匪mark            
(3星)	 还好还好，我也希望自己有超能力啊，哈哈哈！只不过电视剧，还是少看少看~~~            
(4星)	 蛮不错的。虽然有点扯。。            
(4星)	 最后5分钟怎么回事( ⊙ o ⊙ )            
(NA)	 郭羡妮！！            
(NA)	 记忆犹新            
(4星)	 编剧大人真是想怎么搞就怎么搞。            
(5星)	 满分！！！            
(2星)	 细心观察+1星，其他……演技做作很恶心            
(2星)	 不是很喜欢            
(3星)	 tvb永远都是那么烂 但是永远都能烂到让你还想看~ PS 结尾那个女鬼在天堂的背景真是快追上儿童乐园了 TVB的后制真NB            
(5星)	 很不错，就是结局不是很好，看第二部，或许就弥补了吧            
(5星)	 就是爱看港剧            
(3星)	 推理剧。            
(4星)	 喜欢节奏快的港片    。。。可是结局竟然死了，拜托。还有第二部？继续看。            
(4星)	 剧情狗血,郭羡妮和马国明好养眼啊口水哒哒滴...            
(4星)	 结局。。不喜欢。。            
(4星)	 除了结尾、其他我都可以接受、            
(3星)	 曾华倩好好看~~            
(4星)	 和锅锅一起看....            
(5星)	 给五星是因为当年就因为这部剧对马国明一见钟情。又是两个死对头互生爱意的剧情哈哈，美人儿，小凤姐，正义哥，还有整个DIE的人都好有爱~~            
(3星)	 话说这剧里的郭羡妮真心漂亮啊~            
(4星)	 喜欢破案。            
(4星)	 不错的。只是TVB拍刑侦剧越来越像美剧了            
(4星)	 轻松搞笑的悬疑剧            
(5星)	 喜欢的类型            
(5星)	 HUGO !!            
(3星)	 没有古灵精探B好看，所以在对比的情况下少颗星，但还是不错的            
(3星)	 香港在某些想象力方面的挖掘却是较大陆更为出色。剧情安排还是依旧老路线，身边的人总能拉拉扯扯些案情，但推理部分还是可以的，再加上一些搞笑的喜剧元素，总体还是可以闲暇时看看            
(3星)	 嘛……            
(5星)	 爱主题曲了            
(3星)	 感觉郭晋安通灵时脑袋都要甩掉了，五官都要错位了，整体一般般啦。            
(3星)	 哎，TVB的刑侦局越来越不行了。            
(3星)	 诚实讲剧情比较普通，案件比较简单，最后的结局呀，真是好有效率，佩服一个！比较喜欢马国明的角色。这部剧告诉我们，就算是喜欢的人，也不是什么都可以无所谓的，要好好对对方，好好对自己，不要老是泼冷水，要不多少感情都被磨成灰啊。            
(4星)	 有好看到啊 !!            
(NA)	 还是比较喜欢郭羡妮走傻大姐路线。通灵这玩意虽然新鲜，但是太扯了喂。            
(3星)	 好看，除了郭靖安有点太装了            
(3星)	 唔明点解咁多人中意睇...鬼马灵异加查案怎么都不对我的味。PS.郭羡妮终于演了个讨喜角色。            
(3星)	 印象不深了 不过蛮好看            
(5星)	 哈哈。不错。通灵感应。            
(3星)	 探案什么的就差一点了，主要的还是情感线，但是这部剧又好像是两条线都一般般的样子。TVB..            
(5星)	 诶。曾华倩和马明。。。我不厚道了            
(NA)	 太搞笑了~男主女主扮相性格都讨喜的很 还有经典的大口英、美人姐、小凤姐、、、结局什么的忽略忽略            
(3星)	 冲着郭晋安看的，哎。。。都老了            
(3星)	 我居然看了几集~~            
(4星)	 还可以，三星半比较恰当            
(4星)	 题材新鲜，喜欢DIE这一组各有特色的组员，小仪的演出也挺可爱的，可惜结局老爱烂尾。            
(4星)	 男主角是个有一点特异功能的警察，侦探类的。            
(3星)	 查资料时看到了古灵精探的海报，然后想到，距离我最近一次看TVB已经过去两年了啊~            
(4星)	 如果你真的静下心了，你会知道，郭羡妮是真的很美丽的！            
(NA)	 黄国辉演过很多片子，可惜一直当壁花···当年的大时代里面他也在啊···这部还可以了···            
(4星)	 郭晋安的惊喜加一星~受憨夫成龙影响总觉得郭晋安傻傻的。。。所以这部片倒是亮点了。。。案子其实也不错啦。。。            
(5星)	 我还是喜欢这类片子。            
(4星)	 曾华倩和郭羡妮都很美            
(3星)	 有點意思~~            
(4星)	 郭晋安演技越来越棒，大美女曾华倩好中意你哟，还有郭羡妮也很好，当然还有帅哥马国明。嗯，总之就是非常好看喽。            
(5星)	 很好看             
(5星)	 很不错啊 挺喜欢的            
(4星)	 很有意思            
(3星)	 觉得一般            
(3星)	 有点像medium，不过没有medium出彩            
(4星)	 一直不喜欢郭羡妮，自从这部开始有所改观            
(5星)	 那个女鬼~            
(NA)	 这就是典型的扫把星。。            
(3星)	 粤语结局好13呀 啊哈            
(3星)	 郭靖安就是灵....            
(5星)	 好看的~            
(5星)	 加点神幻色彩，挺不错的            
(4星)	 另类的刑侦片，郭晋安的表演令人称赞。不待见女主，像学警出更里的madam一样令人讨厌。            
(4星)	 关于里面的案情设计的都比较好，比《刑警》之类的强多了，影片还主打了“轻喜剧”，总体挺不错的。            
(3星)	 带点玄幻色彩的TVB刑侦剧！            
(3星)	 于子朗，邢晶晶，美人姐啊……凑在一起就搞了            
(4星)	 男主角死了！！！！！！！！很少用电脑看港片的            
(4星)	 满搞笑            
(4星)	 可算盼到一个不是古装片、商战片的港剧了。满眼全是熟悉的脸，搞笑，好看。            
(2星)	 不太喜欢郭晋安那张脸。。。。            
(NA)	 爱呢...            
(3星)	 欧。这个结局太草率太粗糙太敷衍我了！！！！我不接受！！！郭羡妮你好正好美。这个结局不合适。。。            
(1星)	 电视上看过点            
(3星)	 打发打发时间            
(2星)	 桥段太老了，一般般            
(4星)	 郭羡妮~            
(3星)	 整体觉得没有第二部好看哦~~~~~不过也不错啦~~~~~加长版结局虽然牵强 但还好子朗没死~~~            
(NA)	 值得看。剧情合理。案件也够料            
(4星)	 结局太扯淡了~主角就这么挂了~            
(4星)	 结局很狗血 。。。。            
(4星)	 结局想不通啊想不通，于SIR死的太不值了吧，好狗血的死法啊~            
(3星)	 TV            
(5星)	 很久以前看过的一部片子，很喜欢~虽然通灵有点悬，不过剧情挺有意思的，有搞笑、有煽情、有悬疑~            
(4星)	 如果风衣长毛在最后也活着，这部剧就更好了            
(4星)	 堕落了........            
(4星)	 郭靖安老演这么古怪的角色            
(4星)	 搞笑，经典            
(4星)	 一直很喜欢喜剧破案片            
(4星)	 囧里个囧.今天,你附身了么....            
(3星)	 结局太扯了！            
(4星)	 脑残..又追着看 = =            
(3星)	 结局太扯淡了，最后五分钟真莫名其妙            
(4星)	 搞笑， 悬疑            
(4星)	 善良的人终有好报。马国明很帅咩～            
(4星)	 用来解闷还是不错的            
(3星)	 才知道这个越看越顺眼的是郭羡妮，曾还是那么漂亮啊。            
(4星)	 破案片每年都高产，但就是愿意看~~            
(5星)	 配            
(3星)	 我看过呢！。。。这郭羡妮啊特像那艳照门里的那个谁谁谁了啊啊啊            
(3星)	 当中有好几处跳跃是为什么啊            
(4星)	 每个案子快到柳暗花明之时总会绕个小弯，不过随即明朗，如果再来点复杂的案情则会更好看！第一部的结局很狗血！            
(3星)	 曾华倩还是好美啊，里面小定很一般，郭羡妮还是蛮漂亮的~~            
(1星)	 狗血shi了            
(2星)	 说实话 不好看 仅仅是侦探剧 所以给2颗星            
(5星)	 他见证的是我的高三。            
(3星)	 一个字，傻，抄神探伽利略抄得败...            
(4星)	 挺不错的剧集！            
(3星)	 足够囧了。我感觉应该改名叫，凶手告诉我。            
(4星)	 其实一直都觉得郭靖安不是很帅的人，可是每次把他嵌在角色中又觉得很舒服很自然，蛮厉害的！            
(4星)	 不想朗朗死啊。。            
(4星)	 不用那么莫名其妙吧，结尾=-=            
(4星)	 郭晋安的侦探片都蛮不错的            
(3星)	 是讓sonija以師奶形象示人嗎？            
(3星)	 为破案而看，不喜欢男女猪脚            
(NA)	 有些挺搞的            
(5星)	 郭羡妮冲动害死人啊！还有有两个版本的结局！            
(3星)	 将就。。。            
(3星)	 以前没有看全。这次看，觉得曾华倩的服装都不错，可以借鉴。郭晋安的风衣都很有型，把身材不高的他衬托得比较潇洒！里面的演员都是充分利用，每个角色都有多重作用，哈哈，典型的港剧！            
(4星)	 热闹...            
(5星)	 很不错啊。            
(4星)	 诙谐手法破案，喜欢的            
(4星)	 不错。郭晋安演得真心好！郭羡妮也不错的呢。@Home            
(3星)	 莫名讨厌郭羡妮            
(3星)	 看。            
(3星)	 只为曾华倩看的            
(4星)	 看了一遍又一遍觉得挺有趣的            
(NA)	 看完之后还有点舍不得            
(4星)	 破案方式很特别啊，喜欢            
(5星)	 一部有三个“郭”上演的剧 还是值得看看的            
(3星)	 曾华倩老了，依稀当年模样，还是很让我心动。。。郭晋安总是那么搞笑。。。            
(4星)	 剧情不能算上很经典但整体感觉真的不错。            
(3星)	 冒甘中意            
(2星)	 唉，那个雷死人的结局，太不靠谱了……            
(4星)	 还不错，值得花时间看一看！~就是案子有点太简单了，还有为什么晶晶这么执着追大口英？            
(4星)	 看过一点点。。            
(4星)	 果然还是喜欢破案的剧……            
(5星)	 郭晋安是我的雷区            
(4星)	 子晴            
(5星)	 我记得挺好看的            
(NA)	 只看了一，没看二，郭晋安好可爱的            
(4星)	 这部还是不错的。。有剧情，又带点搞笑。。            
(3星)	 有点俗            
(4星)	 可以看看，比较轻松，曾华倩还是很美哈~            
(4星)	 刑侦剧            
(3星)	 太普通的一部断案剧，郭晋安通灵查案的桥段很狗血，倒是郭政鸿的正义比较有看头。            
(3星)	 郭羡妮的装扮太土了吧。结局无语。。。            
(3星)	 曾华倩好美            
(3星)	 算是比较新鲜的想法。            
(5星)	 原来电视台删掉了一个关键“人”物，难怪怎么也看不懂了。。。            
(3星)	 没啥感觉、有点像名侦探柯南的、一个案子要演个5、6集才能结束、太冗长了、要感情戏没有、要破案戏没有、            
(3星)	 结局果然如同传说的一般无语            
(NA)	 好像没看完。            
(4星)	 看过 觉得好玩             
(4星)	 挺喜欢这一对。            
(NA)	 不错。喜欢这个组合            
(4星)	 那个女鬼真的是败笔！            
(3星)	 大爱郭羡妮的造型。            
(3星)	 ==！抄袭金田一            
(3星)	 蛮好好的            
(NA)	 其实挺吓人的！            
(4星)	 好不错啦~~~但个人更喜欢B~~            
(5星)	 我的法医。。            
(4星)	 马明~            
(3星)	 有趣是有趣，但案子设计的不够好。            
(1星)	 好！扯！啊——————！            
(4星)	 还不错啦，案情比较扑朔迷离！算是TVB最近还不错的破案剧了。            
(4星)	 不错的片，喜欢郭晋安~~            
(3星)	 真的很古怪            
(NA)	 《隔世追凶》的评价贴错了，应该是这一部的！呜呜呜            
(4星)	 累了一天，不想动脑费神，就等着搞笑咯            
(3星)	 很一般。            
(3星)	 因为结局……囧了……            
(3星)	 也挺扯的，怎么觉得郭羡妮越来越难看了，没《寻秦记》记时那么好看            
(4星)	 结尾有点草率，整体蛮不错的！            
(NA)	 还是很爱曾华倩，虽然她的双下巴已经不容我忽视了。郭羡妮这个小妮子不容小觑，诠释豪爽冲动十分到位。看完一段时间了，脑子里还是众人劝她是嘴里的那句，Madam Ying~            
(3星)	 我没看着结局……            
(NA)	 很推荐看的。            
(3星)	 还是不错            
(3星)	 结局不好。但是中间的剧情和人物都很喜欢。于子朗明明就不是长相帅气，但却让人不得不夸他有帅气的性格。            
(3星)	 两部的衔接太诡异……            
(4星)	 蛮好看的，因为它不仅仅是一部探案剧，不过结尾有点太仓促了            
(4星)	 不喜欢震精的结局,太不TVB了撒            
(3星)	 无厘头~            
(3星)	 这类片子最好还是不要介入神之类非常规的东西。。            
(3星)	 郭晋安啊。。。            
(4星)	 TVB!            
(3星)	 结局怪怪的，第二部也没个解释。            
(NA)	 第二部比较好看。            
(4星)	 圆圆说剧情太傻，太easy...            
(4星)	 挺搞怪。            
(3星)	 看着玩吧            
(4星)	 很喜欢这一部，可惜续集不怎么样            
(5星)	 郭羡妮真的蛮漂亮的 - - 通灵貌似蛮恐怖的            
(4星)	 ................................            
(3星)	 内个郭晋安一直属于雷区的            
(3星)	 怎么看他都是傻的。            
(4星)	 多年以后又一个我喜欢的……            
(3星)	 不喜欢结尾......            
(NA)	 逼着我看第二部。。。。。            
(4星)	 曾华倩不错，剧情还行，各台卫视热播啊。            
(3星)	 看看笑一笑，开心很简单！            
(4星)	 马国明~~            
(5星)	 一口气把这个和B都看完了，剧情不错，看完有点害怕！            
(3星)	 结局也太狗屎了~~~~~~~~~~~~~            
(3星)	 看过            
(NA)	 结局什么意思？            
(3星)	 挺喜欢警匪片。不知港片最近怎么了，画面质量一点都不好。影响观看情绪啊。            
(4星)	 温故而知新啊~~头一次看的时候还是悲剧结尾的，现在多了喜剧结尾和第二部~~            
(5星)	 从这部剧我喜欢上了郭晋安！            
(5星)	 好看。。。超喜欢            
(4星)	 很有趣的通灵感应~~~            
(4星)	 结局让人恶心            
(NA)	 还是看TVB最愉快            
(4星)	 有點搞            
(3星)	 不喜欢结局~~            
(3星)	 原来大嘴英才是灵魂人物            
(3星)	 笑笑更健康            
(5星)	 好玩~~哈哈~            
(4星)	 看了之后觉得马国明很灵！            
(2星)	 邝业生一走香港警匪就下坡了。            
(4星)	 两天假期就砸在这部电视剧上了。。            
(3星)	 最后为了收视率改解决让人遗憾            
(3星)	 看到第25集，阿朗死了，说一命换一命，这是什么方法啊！还有不是有续集吗？阿朗其实没死？怎么活过来的？很好奇啊！            
(3星)	 太狗血了，完全没有任何的科学道理            
(4星)	 有点夸张，挺逗的。            
(2星)	 扯.            
(4星)	 喜剧版结局实在是太太太太囧囧囧囧囧囧了..            
(3星)	 死得很诡异            
(3星)	 2比1搞笑            
(4星)	 第二部还么看 两个结局还是圆满了=。。=            
(4星)	 还好吧。虽然看了有人写这电视剧一般，，，，还好吧。。。结局的剪辑手法很老土，，，但还是好悲伤啊。。。。            
(3星)	 于子朗挂了。。。            
(3星)	 看的是粤语版本，感觉娱乐还可以啦            
(4星)	 死人永远看不腻哇&gt;.&lt;~~考完试我要看续集~~            
(NA)	 很好看，这种办案的方式还是头回知道。            
(4星)	 很喜欢，很久没有看港剧了~！            
(3星)	 这片子。。人物性格塑造得太单薄了。。            
(NA)	 好看            
(3星)	 郭晋安PK木村？            
(3星)	 看了挺轻松，别的不提            
(5星)	 郭晋安太棒了！            
(4星)	 侦探戏在剧中已经不少了，但是这部戏有些搞怪，特别是它的轻松节奏让我们边看边舒缓，便释放压力。            
(5星)	 太完美了，希望大家支持，且期待第三部            
(NA)	 = =             
(NA)	 没得奖就对了            
(5星)	 古靈精探，包括古靈精探B拍得太棒了，搞笑死了，雖然是破案的，但是其中也有很多溫馨搞笑的小片段，很棒的戲            
(4星)	 结构紧凑，氛围轻松，案情难度适中，搞笑成分恰到好处。只是邢晶晶设计地太傻比。            
(3星)	 对于有点奇幻的题材，不太感冒。不过剧情还是有点新意的            
(4星)	 好看！两主角有爱            
(NA)	 。。这部戏让我看到一股落寞的感觉这是为什么呢            
(5星)	 第一部正经不第二部好看            
(5星)	 巨好看 太无敌了            
(5星)	 不乏味，不做作，推荐可以看看            
(3星)	 喜欢这种又谈恋爱又带警匪的电视剧            
(5星)	 超爱，看这部才觉得郭晋安还有这么帅的一面呐~~~            
(3星)	 结局故作意外的牵强            
(5星)	 唯一一部我看完的电视剧..~~而且连第二部也看完了。            
(3星)	 很二            
(3星)	 还可以            
(NA)	 没意思            
(5星)	 最后那个加长版的结局有点恶搞。。。。太。。。不过没有这结局，也没有2了            
(NA)	 扯……            
(4星)	 港剧里面我为数不多看过的= =            
(4星)	 耐心的看看，还是有点好笑的，是个打发时间的片子            
(4星)	 很久没见的曾华倩            
(2星)	 扯啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊            
(3星)	 这个电视剧有第二部～ 古灵精探B第一部还有另一个结局～ 就是子朗没死            
(3星)	 曾华倩 风衣郭晋安 陈国明            
(3星)	 最近闲来无聊，好久没看过电视剧了，看了这部TVB的恶搞剧，挺搞笑的，不过拍的一般            
(3星)	 这个结局太扯了，粤语版的居然根据观众投票主角起死回生了，要是《刑事侦缉档案4》也能听听群众的意见，就不会留下满地遗憾了……            
(3星)	 挺好。            
(4星)	 暑假电视上放，明明看过了还一直看啊看            
(3星)	 不是结局就打四分了，一个电视剧又不是电影弄什么悲惨的结局啊            
(4星)	 这个结局~~~            
(NA)	 好拖沓            
(4星)	 印象中很少看到郭晋安演这么13的角色哦，不喜欢郭羡妮演的晶晶这个角色，又笨又冲动简直没大脑。。。            
(3星)	 破案篇的另一戏路            
(4星)	 号称三郭的电影，注意都姓郭            
(3星)	 两个郭姓主演都不是我喜欢的人，蛮喜欢郭政鸿，剧情够扯，听同学说这个电视剧粤语版和国语版有不同的结局，不知道粤语版是什么结局            
(3星)	 有点恐= =。            
(5星)	 哈哈，我觉得还挺好看的，就爱看TVB的破案片~            
(2星)	 呃 看到通灵就无力了             
(3星)	 最后结局有点损。其他都挺好。。就是鬼怪那段有点假。            
(4星)	 这个剧情真是蛮……一般，但是让我守在电视前面一天，这是多久没发生过的事了。郭羡妮实在是太对不起马国明。马国明快抛弃她！！！虽然那个主播实在是更令人生厌。反正马国明在我眼中实在是完美好男人的好角色！总之，我就是看郭晋安啦。不和郭羡妮搞好不好嘛，那么温柔的男朋友不要            
(4星)	 粤语版和大陆版的结局不一样 但是其中的案件故事还是蛮精彩的 我就是奇怪类 为什么他就不能不靠他的通灵感应破案啊            
(4星)	 喜欢~剧情+feel            
(3星)	 典型的泡沫剧。没营养，没感悟，至少为打发时间而看。            
(3星)	 第一部比第二部还是稍微好一点。至少有些推理还是看的过去的。不过一直不太喜欢郭晋安，不喜欢他老是傻傻的样子。另外验尸官真的很帅滴            
(4星)	 挺好看的。            
(3星)	 周末又变沙发土豆时看完。一天演八集呐！悬疑不够悬疑，但是还能看。很奇怪于sir都去世了怎么会出来个续集？剧透了。            
(3星)	 女主角的个性实在是~~~~            
(3星)	 好像看了5集~            
(5星)	 第一部还是很有趣的，虽然平时不喜欢这种超能力的剧，但是郭晋安的角色还是很有趣的，让我非常期待第二部，后来看了第二部，大失所望，实在难看            
(4星)	 有一点点喜欢郭晋安了            
(4星)	 曾华倩仿佛穿越般，感觉我很小的时候她就这样啊。周末连播八集，没理由不看的。            
(3星)	 有点小弱智            
(3星)	 有点supernatural，电视剧嘛            
(4星)	 蠻好看的~王祖蘭又在裏面打醬油了~            
(4星)	 过年番茄台下午连着看的，挺好玩的            
(4星)	 精探的思维就是与众不同...只是结局始料未及...            
(4星)	 喜欢正义~~~哈哈哈            
(4星)	 又扯又搞笑！！！            
(4星)	 不错啦。。只是还是不待见马国明。。。真的莫名的很嫌弃他。。这是为嘛·？            
(NA)	 郭晋安还是那么逗，挺喜欢他演戏的方式，郭羡妮很漂亮~怎么说呢,TVB的剧情有时候难免有点恶俗，可是却还是没辙的想看，这部有点灵异的片子算是比较有新鲜感的了~看了几遍也还是喜欢看~            
(NA)	 案子颇无聊，出来看能猜到凶手和手法。但是，人民还是看得很HIGH。这就是TVB。又及其实是我最近喜欢上郭晋安，所以找他的剧来看            
(4星)	 蛮好蛮好~~            
(4星)	 挺搞笑的，打发时间必备电视            
(4星)	 我爱张正义，还有曾华倩真漂亮，我觉得比刘嘉玲好            
(3星)	 郭童鞋嘴大的吓人，曾华倩也老了，哎。。。            
(2星)	 tvb探案类的剧感情线都越来越弱了~男女主角感情都来的莫名奇妙~            
(3星)	 其实凶手很易猜。            
(3星)	 这样的推理片我都乐呵呵的看完了，真是对不起福尔摩斯啊，好扯的一部电视剧，就是这么扯我还看到最后一集……自我汗一个，结局更是扯的没天理，郁闷啊。            
(3星)	 算是好几年来港剧里面比较好看的了，不过那个通灵感应还真是有点囧。而且于sir死了这种结局以及这种死法真的是很脑残啊，听说还有同班演员出演的第二部，不知道要怎么圆场。            
(4星)	 近年来不错的港剧了            
(4星)	 郭晋安很适合这样憨憨却不失机智的角色，但是结局也太雷了，不过倒是让我对续集有所期待了。            
(4星)	 曾华倩很漂亮！            
(5星)	 悲的结局，不过过程很好。            
(4星)	 曾华倩，我依然爱你            
(4星)	 挺有意思~            
(3星)	 在电视上看了一部分，还不错            
(3星)	 冲着安仔、马明和华倩而看的，不过看这部剧后稍微对郭羡妮有些改观了。郭GG的李小龙造型也挺有喜感的。            
(3星)	 此剧不如续作。印象最深的是Madam邢追大口英从第1集追到大结局都没追上，而且每次都出乱子，最后差点把于sir的命也赔上。。。香港警局要是这样可以解散了-0-            
(4星)	 挺可爱~            
(2星)	 不知道是TVB的剧本着实没有以前的好了还是现在选择太多审美疲劳？原本这种搞笑刑侦片应该是喜欢的类型啦，可这回确实看不下去了，那位Madam也不知道是被编剧写成那样的还是演技实在太差。唯一收获是发现马国名比以前帅了～～～            
(3星)	 因为喜欢柯南，闲之无聊开始看，于子朗还是有阿旺的影子啊~~~            
(NA)	 结尾  呃……            
(5星)	 女主角很漂亮 剧情很吸引人很轻松             
(3星)	 曾华倩还是那么的年轻漂亮。。。。。。啊哈哈哈哈哈            
(3星)	 某女人是大败笔            
(3星)	 如果没有灵异事件就更好玩了            
(NA)	 郭羡妮很漂亮            
(4星)	 2部帅哥都很多的，不管是警还是匪都很帅的。特别有趣的漫画式警匪剧，很可爱呀。不过最后怎么回事？没看懂呢。            
(3星)	 很搞很13~            
(NA)	 演员还行，编剧糟糕。TVB需要招聘编辑了。            
(3星)	 有点小雷。。。尤其是结尾。。。            
(2星)	 ……我想想还是给两星吧。同样是看tvb的品味也可以差很多的，不能乱信推荐。            
(NA)	 睇完第一部.就直跟拉..好睇啊,,收起身慢慢叹.            
(4星)	 TVB里，这算是今年来娱乐片中的佼佼者了~~演员很用心~~~            
(4星)	 很不错的探案喜剧！值得看！            
(NA)	 于SIR离奇的死。。。。            
(NA)	 郭晋安,郭羡妮我觉得还好。             
(4星)	 B中大嘴英好落魄啊            
(4星)	 挺搞笑的啊。。。            
(3星)	 45岁的曾华倩当真不容易啊。            
(4星)	 好看            
(2星)	 其實有點模仿感應少年....            
(4星)	 过年东方卫视每天下午连放，我几乎就一集不落的看完了~我就是喜欢这种搞笑推理带点爱情的电视剧~~虽然逻辑没有很严密，结局让人汗颜，但是真的是很好看的片子~~看了人觉得很开心            
(3星)	 我看的这个版本结局不好            
(3星)	 有点二~            
(3星)	 为什么结局这么杯具 囧囧 偶想不通啊想不通 ORZORZ            
(4星)	 东方台~~~你所有档的港剧我全看了...ps：为什么不让郭羡妮和老马在一起...蛮配列            
(4星)	 pierre很帅啊            
(5星)	 HUGO好帅~~  想不出来找个小三怎么长那样            
(3星)	 TVB的搞笑剧。居然根据观众投票搞两种剧情结局，第二种结局太雷了。            
(3星)	 应该算中规中矩的作品吧……            
(3星)	 结尾好牵强。。            
(5星)	 阿旺好帅气=V=            
(3星)	 还行            
(5星)	 喜欢上了 郭晋安！！  里面的马国明超级帅哈！！！             
(NA)	 真是 悲            
(4星)	 郭晋安和郭羡妮很配嘛            
(3星)	 结局好囧            
(4星)	 哈哈哈哈哈哈            
(NA)	 ...其实我就是今天下午看了个大结局而已。。。            
(3星)	 侦探片            
(4星)	 不是happy ending还那么狗血，让我给分很为难            
(3星)	 就结局很无语。            
(3星)	 上海台刚播完。。。            
(4星)	 郭晉安與郭羨妮的組合很不錯啊。由此看來，tvb劇集的一大特色便是賞心悅目。            
