http://movie.douban.com/subject/2156698/	洗冤录
(4星)	 古装版鉴证实录，无论是剧情和演技来讲都很到位。宣萱和欧阳振华还真是百搭，谁配谁都能成就个经典组合，两个百搭互配就是配上加配了哈哈～            
(3星)	 个人觉得第一部比第二部精彩...            
(4星)	 他的戏都很不错            
(4星)	 萱萱 超赞            
(3星)	 洗冤录            
(3星)	 有宣萱的就顶            
(3星)	 喜欢宣萱~            
(4星)	 齊人之福            
(NA)	 片尾曲 陈逸讯 哈哈哈            
(3星)	 打发时间~            
(4星)	 感觉有点怕怕            
(5星)	 喜欢欧阳震华            
(4星)	 一直喜欢这样的体裁。            
(3星)	 破案看上去很有水准。一开始看还有点怕怕的。结局忘了。            
(5星)	 看过第一部,不错            
(NA)	 永远支持欧阳震华，经典的经典，我看了无数遍            
(4星)	 也是当时的首创            
(NA)	 居然是在法国把这个看全了            
(NA)	 嘿嘿。。。BOBBY凭此剧拿TVB台庆最受欢迎男主角呢。。。            
(4星)	 不错的说.嗯,想看看宋慈的书&lt;洗冤录&gt;...翻了翻,不敢看.            
(NA)	 我最爱的破案片之一啊            
(5星)	 童年的回忆，第一眼就喜欢的那种            
(4星)	 欧阳震华的都很有爱的说~~~            
(NA)	 古代法医剧            
(4星)	 不错的宋提刑            
(5星)	 bobby~精彩~            
(NA)	  可以很好看的  非常有看头``            
(NA)	 经典            
(NA)	 狗血的结局            
(5星)	 很不错!            
(4星)	 其实还可以·只是女2对不起观众。            
(NA)	 好看~~            
(NA)	 欧阳震华从法医的祖师爷演到了最近的            
(3星)	 宣萱漂亮哈            
(3星)	 乱弹琴            
(4星)	 喜欢法医鉴定的悬疑片,古代的更吸引人            
(NA)	 到现在都很想看洗冤录那本书～            
(NA)	 喜欢宣萱            
(3星)	 有推理，比较引人入胜            
(4星)	 判案不错哈～            
(4星)	 看港剧最疯狂的时段            
(NA)	 正啦。            
(4星)	 喜欢            
(5星)	 还挺错综复杂的。。。            
(4星)	 蛮好看的，就是有些地方有点恶心            
(NA)	 一般般            
(3星)	 还行。            
(4星)	 古装加破案再加喜剧就组成了典型的TVB电视剧            
(4星)	 案子還蠻精彩的。陈妙瑛演美女似乎牽強了點。            
(4星)	 不错            
(NA)	 第一部远胜第二部            
(5星)	 [大学] 古代的法医也牛逼            
