http://movie.douban.com/subject/1831581/	侠女闯天关
(3星)	 最近重新看了看觉得好傻啊。。。果然有些片子得在那个年代看            
(4星)	 那时候 我还是挺萌女扮男装的赵薇的            
(NA)	 当年是冲着赵薇去的，，，烂剧            
(3星)	 小时候是当偶像剧看的 虽然那时不自知 但是现在觉得还蛮傻的            
(3星)	 剧情很雷的，只因为吴奇隆帅给三星            
(3星)	 已经忘记剧情了。            
(4星)	 只记得有一段那个月亮巨大无比，心神向往之……小吴长不错            
(3星)	 冰箱塞进大象的四个步骤            
(4星)	 国民偶像小燕子            
(4星)	 小时候觉得好看啦！特别是吴奇隆把赵薇劫走的那一集！哈哈哈哈！            
(3星)	 古老的都有爱~            
(5星)	 小时候的回忆            
(2星)	 我忘记他讲什么了。。            
(4星)	 N角恋的传奇            
(NA)	 看这片那会儿的睡前脑内小剧场就一直是一个盖世女侠救了一个穷酸小书生最后发现他其实是魔教教主然后虐恋情深神马的。。。玛丽苏是病啊！！！得治！！！            
(5星)	 卧槽，小时候好喜欢看的。吴奇隆那时候真是够帅            
(2星)	 赵薇当初还是挺粉嫩的。            
(3星)	 小时候都觉得好看            
(4星)	 好爱武妈。当年为了收集图纸还经常去买乐百氏。…            
(3星)	 只记得很搞……            
(3星)	 吴奇隆的小包子脸丝毫不影响帅度            
(4星)	 吴奇隆+赵薇，喜欢~            
(2星)	 是有多無聊啊！那時候的趙薇太紅了啊            
(4星)	 咱们去租碟屋租来的呢，那时候和弟弟一块看的吧。一个周末全了。            
(NA)	 还是因为吴奇隆            
(5星)	 薇薇很调皮。            
(3星)	 小燕子也有柔情的时候。            
(4星)	 哈哈，我都快忘记有过这部一部电视剧了。。            
(4星)	 前面几集超逗。。大爱那个老头（好像是管家什么的）            
(3星)	 我什么时候看的这么傻的电视剧哦= =            
(1星)	 第一次感受“武妈”的概念。            
(2星)	 记得当年还很喜欢赵薇的时候。。。恩。。。            
(5星)	 真羡慕赵薇，被小虎队三个人都喜欢过~~            
(5星)	 超搞笑超搞笑的！赞！            
(NA)	 看了开头，没坚持下去            
(NA)	 恶俗电视剧你还想看多少！            
(2星)	 没怎么看过 感觉不好看            
(4星)	 我觉得挺好啊，怎么打分这么低呢？            
(4星)	 我以前挺喜欢这部的            
(NA)	 朱延平导演的????!!!!            
(3星)	 小时候看过，还蛮还看的            
(4星)	 赵薇把小虎队三人都拿下了...嗯            
(5星)	 很搞笑的剧目            
(2星)	 为什么会有这么猥琐的电视剧            
(NA)	 我已经不记得情节了            
(4星)	 当时觉得吴奇隆老帅啦`            
(4星)	 武妈最可爱了！            
(4星)	 ......最近果然是不淡定。嘻嘻            
(4星)	 女扮男装，HOHO            
(3星)	 小时候看的，已经不记得剧情了，难以深入人心，可打发时间看看。            
(NA)	 大爱此剧            
(NA)	 水若寒吹的那首曲子，好像叫《竹苑情歌》吧            
(NA)	 为什么我只记得开头很好笑？然后没了？            
(3星)	 越来越雷            
(5星)	 超喜欢的两个人，可惜风采不再了            
(NA)	 偷钱的回忆            
(2星)	 靠，居然是朱延平，难怪这么难看！            
(4星)	 这里面的吴奇隆就帅到了的！！            
(3星)	 武妈很有爱= =            
(4星)	 还记得小时候偷偷摸摸晚上10点看着娱乐文化频道守着这电视呢！            
(3星)	 璧人一对，剧情太扯，依然中毒            
(3星)	 若寒的曲子加分很多。我挺喜欢那个时候的赵薇。            
(5星)	 那时候超迷吴奇隆- -            
(3星)	 還不錯            
(4星)	 放假的时候还重新看了一点。            
(2星)	 补遗补遗            
(3星)	 T T  我怎么什么都看过。。这名字。。。            
(4星)	 武妈~            
(3星)	 当年-。-            
(5星)	 哦，那时的赵薇和水若寒...还有搞笑的武妈，现在偶尔翻出来看还是觉得很好玩...            
(4星)	 最近又重新看一遍的，那时候的赵薇多年轻啊。            
(3星)	 吴奇隆演大侠演上瘾来了！            
(5星)	 喜欢的两个人，年轻的赵薇怎么都美            
(4星)	 回忆            
(4星)	 恩 因为这个电视剧的赵薇我才改的偏分。。。             
(4星)	 记得插曲很美好            
(3星)	 现在想想 我电视剧也看了好多啊             
(4星)	 还满喜欢滴……            
(4星)	 忘了，记得是很不错的~            
(4星)	 这样算来 赵薇跟小虎队的三个人都拍过戏了哈。            
(3星)	 一般，什么晒晒太阳能解百毒的功，太神奇了。编剧你好能绉啊！还蛮喜欢那个时候的吴奇隆和赵薇的。！@Home            
(4星)	 都忘记了            
(5星)	 当时真的好喜欢~            
(3星)	 喜欢            
(4星)	 继《还珠格格》之后追的第二部赵薇剧            
(2星)	 看过几集，没耐心看完            
(NA)	 我喜欢他怎么办            
(5星)	 小学的时候容易被骗着乐            
(5星)	 小时侯超喜欢~!!记得里面有个搞笑的奶妈,好像后来又是个武林高手...吴奇隆帅得崩~            
(3星)	 这个这个~我小时候特爱看~            
(5星)	 当时觉得水若寒特帅，还有很喜欢里面的两个小鬼，挺搞笑的            
(4星)	 吴奇隆演古装真是帅……笑点也挺多的            
(4星)	 貌似当年赵薇的剧我都看的            
(1星)	 我和高中同学照过一张大头贴，是侠女闯天关的框框！哈哈哈            
(NA)	 水若寒~            
(3星)	 还珠格格是在太吵太烂，这部剧让我感觉赵薇其实还不错            
(5星)	 玉笛公子水若寒，可望不可即            
(3星)	 赵薇的古装戏。            
(NA)	 吴奇隆超帅的。            
(5星)	 笑趴下了，不知道为啥，当年感觉都好喜欢看的，为啥子得分这么低啊，伤感情            
(NA)	 当时好多人看，但是我记得当时看的时候就没觉得特好            
(5星)	 当年很喜欢            
(3星)	 当年……还挺喜欢呀……            
(4星)	 曾经留下的童年回忆              
(4星)	 很小的时候看的            
(4星)	 老片            
(3星)	 貌似还行，记不得了            
(3星)	 朱延平作品？！！！            
(3星)	 还会唱主题曲呢 我真厉害            
(3星)	 隐约记得这部片子            
(NA)	 这个高中翘掉军训蹲家里看的所以记得清清楚楚…………            
(4星)	 其实我还觉得蛮好看的，主要是里面的水若寒太帅了，看到刘孜也觉得这个女的很不错，气质很独特的，有点坏坏又艳丽的感觉的，可惜后来不是             
(3星)	 想当年，觉得吴奇隆真帅、赵薇真漂亮，现在，我真囧。            
(NA)	 呃。。。不解释            
(4星)	 好古老            
(4星)	 小时候的记忆啊~~            
(4星)	 这个这个,少女情节            
(4星)	 奶妈印象深刻            
(4星)	 当年很迷啊~            
(3星)	 哈哈            
(NA)	 ！            
(4星)	 我记得我还喝乐百氏集过贴纸            
(3星)	 那会好像上小学=..=            
(3星)	 童年多迷赵薇和吴奇隆啊~好久远啊。。            
(3星)	 好吧..也是冲着赵薇起看额..跑上来两集还蛮好玩额            
(3星)	 那首曲子，我一直记得，            
(3星)	 想不到，我居然看过这么多赵薇的剧集orz            
(3星)	 赵薇在里面MS蛮酷的，当时迷她迷的来。。。            
(NA)	 小时候的经典            
(NA)	 冲着赵薇去看得，那时好纯阿。             
(NA)	 除了小燕子，还为梦中情人吴奇隆            
(3星)	 - -！竟然连这个我都看过 寒。。。            
(4星)	 记忆深刻~！薇薇那会儿很漂亮！            
(3星)	   小时候追着看来着，现在没兴趣了~~            
(3星)	 剧情很傻很天真，当时蛮喜欢赵薇的，后来也慢慢地喜欢上吴奇隆身上那种含蓄的调子。            
(NA)	 第一次听《竹苑情歌》就是在此            
(4星)	 莫名的非常喜欢。            
(5星)	 我看过多少遍来这没的那个是可喜欢吴奇隆了。。还有吴妈~这个是 赵薇 最好的2部剧之一            
(NA)	 3.5            
(3星)	 赵薇这几年都尽演电影去了。。            
(3星)	 童年回忆！            
(3星)	 吴奇隆阿 一直很帅的。。。            
(NA)	 那时爲了帥小虎。狂追。可惜結局時，本人在炎亭。            
(4星)	 嗯那时觉得很好看……            
(3星)	 一般            
(NA)	 赵薇帅气~            
(5星)	 吴奇隆吴奇隆~~            
(3星)	 很久远的片了。            
(5星)	 其实我很喜欢这一部啊啊~~~            
(3星)	 只记得那翩翩风采的英年才俊水若寒            
(4星)	    搞笑的...            
(3星)	 童年剧。当年有赵薇的剧几乎都看了。水若寒那副将死不死的样子我还迷过呢。没办法，真迷过。            
(5星)	 难忘吴奇隆吹的悠扬的笛音。            
(4星)	 小时候看的,好看啊~~            
(NA)	 和味男吴奇隆            
(2星)	 对吴奇隆有情结。            
(3星)	 赵薇还是可以的。。。            
(NA)	 好早了            
(4星)	 反正一直挺喜欢赵薇的~~            
(4星)	 结局比较乌龙            
(3星)	 好小的时候看的了 都记不清了...            
(3星)	 武妈            
(5星)	 闷葫芦。从这里开始喜欢吴奇隆~~            
(3星)	 只记得那时还蛮喜欢那个二皇子的，赫赫~            
(3星)	 久远了。            
(NA)	 好喜欢这种配对。            
(2星)	 那种，一天放8集的速度看完的            
(4星)	 想当年觉得这真是的忧伤的电视剧...= =            
(4星)	 赵薇~~            
(2星)	 我当年有碟片0 0            
(NA)	 彼时的伊确实很水嫩            
(NA)	 那会觉得赵薇可漂亮了            
(3星)	 剧情忘记了，只记得吴奇隆那张臭脸.....            
(3星)	 哈哈 说起这个 我就想起里面的吴妈            
(3星)	 第一集巨逗            
(5星)	 反正我应该是看过。            
(3星)	 呃，好吧，我小时候            
(4星)	 水若寒。。。            
(4星)	 还收过这戏的贴纸，贴在书桌上被老爹撕掉时我都哭了……想来那个时候到底有多喜欢这戏……现在也好喜欢……            
(NA)	 那个时候还是租碟看的。陆建萍。小龙。            
(NA)	 已经没什么大印象了            
(3星)	 没啥感觉            
(3星)	 其实还不错啦 郝邵文小时候长得多可爱 这里面长残了            
(2星)	 真难看……            
(3星)	 一直喜欢吴奇隆，哭过哭过为这剧            
(3星)	 呃~            
(NA)	 我当时就迷上吴奇隆了，水若寒，哎呀妈呀，他一吹笛子我就激动            
(3星)	 我都忘记几岁时候看的了。。。            
(3星)	 很寡            
(4星)	 小时候就喜欢水若寒这种忧郁型            
(3星)	 第一部在香港电视台看的电视剧            
(4星)	 印象中蛮好的            
(3星)	 那会儿真的很喜欢小燕子            
(3星)	 只记得武妈了            
(3星)	 想当初 我可是每天挨到10点钟啊            
(3星)	 曾一度以为李维嘉就是吴奇隆……            
(4星)	 喜欢很久了            
(5星)	 非常好看            
(3星)	 当年虽然很喜欢赵薇和吴奇隆的搭配，但是，这部剧真的不咋地            
(3星)	 想当年....            
(4星)	 喜欢            
(5星)	 所谓偶像剧~美男，美女，小孩，搞笑，深情，武侠，夫复何求            
(3星)	 那时必看赵薇剧啊~~            
(5星)	 喜欢吴奇隆，那时真是太帅了。            
(3星)	 现在看感觉怪怪的……            
(3星)	 片尾曲不错，记得当年是先录电视剧，然后再不停复读记下的歌词...OMG            
(3星)	 我就觉得赵薇这姐姐和小虎队三个人都演过电视，很神奇            
(5星)	 我叫陆剑萍，路见不平，拔刀相助。总是对这句话印象很深。是这部戏让我喜欢上了吴奇隆。来抢亲的那一幕好帅。喜欢赵薇唱的主题曲，第一次知道了重蹈覆辙这个词。            
(4星)	 欧……水若寒……            
(3星)	 真的，当时觉得吴奇隆挺帅的，现在老觉得这人一副苦瓜脸            
(3星)	 水若寒。。。多冷多潇洒的名字啊            
(4星)	 为了赵薇看的            
(3星)	 其实当年还是很迷赵薇的。。。还有吴奇隆。。。            
(4星)	 前段时间在网上看的时候觉得爆笑，只是删了太多，不过瘾。水若寒帅呀。            
(5星)	 不完全印象            
(2星)	 没什么印象了            
(3星)	 赵薇转戏路是吧？            
(4星)	 片子其实挺一般的，但，很喜欢吴奇隆撒~            
(NA)	 只为好玩看的            
(5星)	 剧情全忘了，只记得当时特别特别喜欢看。。            
(3星)	 还珠格格后的连锁反应            
(4星)	 其实。。还行            
(3星)	 30集的剧至少还讲了点份复杂的东西，虽逊于龙门客栈            
(4星)	 布景是烂渣的，成本是节俭的，但美貌的小水还是值得我们为之捧心的~            
(2星)	 装酷男和耍宝女的爱情故事            
(3星)	 只记得那段箫曲的旋律以及水若寒受伤时苍白的面容了。准备重温            
(NA)	 想起以前和姐姐二个偷偷等爸妈睡了看着电视的情节了            
(3星)	 吴奇隆还是很帅的            
(3星)	 好吧好吧 当时小微子实在是全民偶像 老房有喜都看了 还有什么不能看的            
(NA)	 ......我刚意识到男主角是吴奇隆！！！            
(3星)	 竟然是在珠海看的。            
(4星)	 爱赵薇，但是，其实我不明白为什么我喜也欢吴奇隆……            
(3星)	 我也不记得有郝邵文了。。。            
(3星)	 哈哈哈哈哈哈哈哈哈哈牛叉的竖笛曲            
(1星)	 完全的不知所云。。。就记得赵薇当时扮相很不错= =            
(3星)	 相当凑合...            
(3星)	 我也记得哎！五妈真好，我冷含糊他！            
(3星)	 吴奇隆真是帅 啊            
(3星)	 不好看            
(NA)	 那段萧的旋律特别喜欢            
(4星)	 当时看觉得超好看 赵薇后来再没这么可爱过了。。。            
(4星)	 高三的时候文科班为了在熄灯后看这片儿集体在教学楼里跟老师打游击，这是一种什么样的精神啊~为了这段回忆多给一颗星~            
(5星)	 多年后再看，依然萌翻了            
(5星)	 哈哈 我也记得！！ 真是幽怨啊！！            
(5星)	 我还记得水若寒吹的那个曲儿的调调！            
(5星)	 为毛分数那么低呢？我现在看十年前的电视剧都觉得很单纯啊 一点也不像现在那么狗血……最重要的是吴老大你的头发好拉风= =            
(NA)	 ms看完了。。。这俩都美型。。。水若寒这名字好。。            
(3星)	 我肿么忘了这个的结局了？            
(4星)	 吴奇隆始终那么帅啊~   如果不是配音就更好了            
(NA)	 看过后，爱上赵薇和吴奇隆            
(4星)	 水若寒~~~            
(NA)	 十分迷恋若寒夜晚屋顶吹萧的眼神            
(4星)	 那时候的小吴很美，赵薇很可爱            
(4星)	 武媽！！！！！！！！！！！！！！！！            
(3星)	 青葱的赵薇，酷酷的吴奇隆。            
(NA)	 现在只记得“水若寒”这个名字和曹骏演的小和尚~            
(3星)	 哈哈，郝邵文还是很可爱，不过话说赵薇好像和小虎队的成员都合作过了            
(4星)	 喜欢啊            
(3星)	 闲。            
(5星)	 喜欢赵薇是因为这个，讨厌那个什么兹也是因为这个            
(5星)	 吴奇隆太帅了            
(1星)	 这真的挺雷的            
(2星)	 完全是奔着赵薇去看的            
(3星)	 明显是借当时赵薇的高人气拍的片子，除了舞妈搞笑点，别的么撒可圈可点的~            
(5星)	 那个时候的赵薇真的很可爱，吴奇隆也是。。。            
(5星)	 那时候超爱吴奇隆，也喜欢大眼睛的小燕子，还很急的有个场景是——他们抱住一个小宝宝，到处问人家借奶喝。            
(3星)	 搞笑片段+1            
(4星)	 童年里不可或缺的记忆            
(3星)	 小时候看地~~            
(NA)	 音乐很喜欢            
(3星)	 那个时候还很可爱的赵薇            
(3星)	 小学时光啊。            
(3星)	 喜欢吴奇隆~~            
(4星)	 那个皇上记得很帅的            
(3星)	 最近发现我也看过很多国产武侠啊...            
(3星)	 冲着赵薇去看得，那时好纯阿。            
(5星)	 年轻时候很喜欢的电视剧 吴奇隆好帅帅哦            
(3星)	 貌似那时候很粉吴奇隆            
(3星)	 当时赵薇很红，所以看了，整个剧的诚恳度还行，台湾也拍不出太出彩的武侠。            
(4星)	 这个导演就是刺陵的导演嘛~~~~退化了            
(2星)	 想想小時候真是無知。。            
(5星)	 两个变态一起怀旧！吐血镜头无限定格            
(2星)	 太鸡肋了            
(3星)	 连带产物。。            
(3星)	 记得里面好像还有郝邵文,很少看到重播的,不知道为什么            
(3星)	 当时我学那老头喊“水若寒”学的可像了，还学她吹的笛子            
(4星)	 赵薇的一系列            
(4星)	 曾前很喜欢啊~            
(4星)	 没有看完。很喜欢这里的吴奇隆。原来我喜欢的一直是不爱说话，有点忧郁，面冷但是很温柔的人。            
(3星)	 我记得里面的和尚…………            
(3星)	 喜欢吴奇隆书生的样子~            
(3星)	 路见不平~~            
(2星)	 完全是为了赵薇而看的，结果。。            
(NA)	 哈，我是在台湾台的看的几集。            
(2星)	 当时喜欢赵薇，但因为讨厌吴奇隆大于喜欢赵薇，所以觉得片子很难看，也不知道结局是什么            
(4星)	 初中的时候除开还珠格格比较喜欢的片子。            
(5星)	 好好看呀~~~            
(4星)	 那个时候超喜欢赵薇和吴奇隆的.            
(3星)	 小时候喜欢的   最喜欢吴奇隆在里面吹的音乐            
(3星)	 我就是喜欢赵薇~            
(NA)	 最爱吴奇隆            
(3星)	 青春萝莉tv            
(3星)	 看过全忘记了。            
(5星)	 真的觉得吴奇隆美貌的不得了-0-            
(1星)	 不明白为什么这么难看……            
(2星)	 纯粹为了赵薇和吴奇隆...            
(3星)	 赵薇的造型太雷了。            
(4星)	 赵薇比较早的作品了，现在再来看，演技的确比较青涩。            
(4星)	 昨天还重新看了，很好啊~~~~~            
(3星)	 烤乳猪            
(3星)	 看过很久了，里面的造型真是。。。这剧组就这么没钱！！            
(NA)	 看过大概一集 = =            
(3星)	 我那时候多喜欢赵薇啊            
(5星)	 超搞乐啊~而且箫声真的很动听！！！！！！！            
(3星)	 至今都觉得吴奇隆很帅            
(3星)	 好久远...            
(3星)	 一点都想不起来了反正不会再看了            
(NA)	 那时候的赵薇很火呀            
(3星)	 吴奇隆对着昏迷的赵薇吹箫的镜头始终记忆犹新            
(3星)	 !            
(4星)	 哦~~武妈            
(4星)	 对赵薇装淑女那段真是记忆犹新啊~笑死            
(4星)	 当时好爱的            
(4星)	 吴奇隆演的片子看的不多，但是看过的我都觉得很好看。就像这个片子，我就挺喜欢的。            
(NA)	 不得不说是一部败笔            
(3星)	 吴奇隆很帅            
(NA)	 无厘头            
(4星)	 五妈啊五妈            
(NA)	 太傻了点。。。            
(2星)	 一集不落看的 没什么意思            
(3星)	 很奇怪的组合...            
(2星)	 我竟然记得我看过！            
(3星)	 印象不深了             
(3星)	 那时候赵薇也很红......            
(5星)	 喜欢赵薇的造型            
(5星)	 特别都特别好看。。。。武侠片情结啊。。。            
(3星)	 大师兄…………………………            
(NA)	 很无稽。。。            
(4星)	 那时候很喜欢的一部            
(NA)	 本,吹笛超帅            
(3星)	 当年赵薇还是水灵的，吴奇隆傲娇的杀手形象非常萌．．．嘿嘿．插曲不错额            
(NA)	 是想看郝邵文长大什么样来着            
(3星)	 其实那时候我挺喜欢的            
(3星)	 当初赵薇风头正劲啊！            
(2星)	 很一般            
(2星)	 赵薇拍电视剧向来都很火，就是不知道这部是在拍什么都不知道。看来赵薇还是跟小虎队的乖乖虎比较来电咯。            
(3星)	 上课时和同学在纸上写这个电视剧的情节，被老师抓住了，可是老师没听过这电视剧|||            
(NA)	 喜欢当时的吴奇隆            
(3星)	 好久远的事情~            
(3星)	 好像还蛮好笑|||            
(3星)	 小时侯的回忆!            
(NA)	 只能说这剧是比较让人失望的。赵薇，吴奇隆啊，当年都喜欢的那，口袋里没几个硬币还大家凑起来去租碟看的啊...            
(NA)	 喜欢            
(NA)	 想不起来为什么会看这部电视了，可能当时是在没有什么电视可以看了。。。。。。            
