http://movie.douban.com/subject/4059238/	下一站，幸福
(3星)	看了几集不想看了
(4星)	安以轩很像孙莉
(3星)	恶俗。。。。。。但是忽然发现吴建豪还蛮帅的。。。。
(5星)	下一站幸福制造给我的记忆很美好。Vanness表现很好。
(5星)	前面的剧情很好，后面的结局太快了，但是真的很喜欢这部剧，F4时，挺讨厌吴建豪的，但现在觉得好像迷上他的这种成熟的男人味，不得不提的是里面的小乐，很可爱，我记得我在看13集哭了，我活了15岁真的还没让我看到哭的偶像剧，这是第一部剧，今天终于追完了，好不舍哦 。2010.3.5
(3星)	其实偶像剧的女生最普通了，有真心会流泪，所以很特别，是为了让现实中的我们不要失望么？
(4星)	唯美的爱情！
(5星)	怎么说呢，当你绝望的时候看看这样的偶像剧。感动到哭，证明自己是感情动物。小小的幸福感。你就是我的命运。那些所谓的一辈子。结局好，那就是好的。
(5星)	不管去哪里，有你的那一站就是幸福的
(4星)	小小彬~
(NA)	播了五个月的剧，花了两星期看完，很感动很温暖，跟着又哭又笑，如果有个像小小彬一样懂事的孩子也挺好。
(4星)	虽然不闹腾了，但是为啥要这么纠结
(4星)	好久没有这么喜欢过一部偶像剧了....吴建豪的演技提高了好多。
(3星)	有些地方巧妙地和其他台剧串起来了，让人会心一笑。比如最后Emily和Lucas，两者在一个扉页上，又是男女朋友，却是两部剧里的，挺有意思的。
(2星)	前女友携同私生子从现女友手中把男友抢回来的故事
(5星)	如果女一和女二的脸换一下，应该看起来会更舒服。。。       一直都超想看陈慧翎的《黄金线》，但是都没找到    
(5星)	淡淡的喜欢……
(3星)	冲着小盆友去的。
(5星)	所有狗血桥段拼凑在一起的产物，小小彬是点睛。
(4星)	这片里的女人都好伟大~~哭....然后，吴同学让我领会到发型的重要性...
(3星)	就前10集真的有好看到```
(5星)	看的心里暖暖的，突然发现安以轩很漂亮，原来看《斗鱼》的时候没觉得她好看！
(4星)	3+1 .+1加给实力派的安以轩,加给很勤力但演技仍待提高兼身材超好的vanness。最后一个形容词才是重点，咔咔。
(3星)	刚开始看的时候我疑惑了：女主怎么可以是富家女呢？台剧不都是灰姑娘吗？结果下一秒钟她爹就被车撞死了，破产了……还有男主和男配的设定，太俗烂了吧
(5星)	难以言喻 
(4星)	比较不一样的，值得看的
(3星)	以后不那么排斥白痴偶像剧了  偶尔发发痴也不是坏事嘛
(2星)	除了小小彬很可爱~
(NA)	还是可以一看，虽然情节的确有些老套。
(3星)	还好吧。
(4星)	米修~米修
(3星)	前半部4星后半部2星
(4星)	温馨吧就
(2星)	也许不能说吴建豪演技差...只是不喜欢他说话软绵绵的声音...还有嘴角的婴儿肥...
(NA)	强烈要求压缩到一半！
(4星)	烂结局给3星都不过分
(NA)	虽然剧情很狗血。结尾很美好。
(3星)	不是每一个花痴心的守候都换得回花拓也的玫瑰。
(NA)	这片子前面瞧着挺好。果然电视剧不能每个礼拜一集。。。太没激情了。
(4星)	我看到了一段爱情的成长~
(5星)	好曲折的近5个月的旅程。终于到站了。。好幸福。
(NA)	只能说大结局又麻死我了，其实还可以整十集，比如任光烯旧病复发，不得不说这编剧太厉害了，什么古旧戏码都想到了，我也佩服我自己，竟然还跟看完了，还好是电脑不是电视机，可以快进。
(4星)	很揪心的看完了，单眼皮男生很好看啊，我又花痴了。。
(4星)	这个故事告诉了我们男人的发型还是很重要的！！哈~梁小乐比任小乐好听的说！
(NA)	好咔哇的小盆友啊~ 
(4星)	我是来看安以轩的  编剧有点哀求！  
(NA)	就是因为你你还有你，再洒狗血的剧情我都能追下去。看到5-10岁的小孩子就母爱泛滥，这是为嘛呢？小小彬，你好萌哦~~~
(4星)	虽然后面明显有点拖~~~还是打个四星把~~有温馨~~有小乐~~
(3星)	为什么我觉得暮橙很懦弱呢?每次被人欺负或误解后不解释也不反抗.只会跟人家道歉.看的真憋屈!!
(4星)	減掉腦殘部分情節和對白還有安以軒的難以拿捏恰到好處的演技再加V的ABC口音念臺詞，還不錯看的劇.V是第二個難以抗拒的單音皮男生...
(NA)	结局看的我眼泪包起咯！
(5星)	有些感觉很拖沓，直接就快进了~不过真的有很多感动的地方，也曾流过泪。
(NA)	某人看了结局后，说这才是真正的爱情。勇敢坦诚地敞开心怀。
(4星)	真的在下一站看到幸福了。
(4星)	我被这俗套的剧情打动了。吴建豪好帅啊啊啊啊啊啊啊啊啊啊啊！
(NA)	花托也超級好的耶...
(4星)	一路追过来的 突然结局了 继续下个接档剧 小乐很鬼 OVER
(3星)	冲vanness去的。完结了。圆满了。我也要开学了。
(NA)	唉，那个结尾呀。。囧
(4星)	小小彬太可爱了！
(4星)	好久不看ww剧.虽然狗血但真心说这部拍得很用心
(4星)	不错不错，，这是个有爱的剧组。
(4星)	看完下一站后就和当年看完命中注定的感觉一样！一样那么遗憾！为什么我总是希望女主角和第二男主角在一起！虽然最后结局肯定都不会这样。。。
(4星)	本来是五星狗血剧的，乱没FU的狗尾
(4星)	剧情很老套，观众很需要
(3星)	
(3星)	希望叮当能够红起来。v的表演真的让我看不下去
(5星)	梁晓乐太可爱了^3^
(4星)	虽然结局确实很感人，但我想说，我看到此间强调最多的一个主题是 ‘少女被大叔性侵犯= =’
(3星)	看到后面觉得不是那么好看了...好吧。我今晚还是去看直播大结局。小乐好可爱
(NA)	偶像剧嘛，剧情假难免的，但也会有感人的地方，比如小乐哭花脸追着爸爸的车。。。可怜的娃丫。。。
(2星)	好多年没有看台剧了，没想到现在的台剧居然这个水平，还不如当年的流星花园。各种逻辑错误，主角完全不长脑子，而且最不明白的是为什么非得把剧情编的让观众把所有主角都讨厌一遍。尤其是女主角，光去做农家大花瓶了，没法更蠢了。亮点是小乐，虽有点做作但天生待银亲就是没辙，给他一颗星！
(3星)	为了正点的女二号才给3星
(3星)	一般
(4星)	超级可爱的小小彬。。。happy ending哈
(5星)	看过的最好的偶像剧！虽然剧情很俗套，却从一个个小细节中透露出感动。不只是爱情，亲情和友情都同样给人以思考的空间。看来有很长的一首时间不用再看偶像剧了。不过话说这结局也太大团圆了吧
(3星)	开始不错，后来有点拖拉啦。台视的电视剧，让我想到亚视。总是有点底气不足的样子。
(NA)	名字很好，内容俗套。有些话语，终生受用。
(3星)	喜欢那里面的小孩子~
(3星)	冲着梁小乐那可爱劲给的分
(4星)	催泪的偶像剧T T
(NA)	狗血脑残剧
(5星)	小乐五星！我想收个Cookie阿姨~
(5星)	太愛小小彬
(4星)	向往家的感觉。
(4星)	还不错……在寒假里看的电视剧
(NA)	梁晓乐超级可爱
(4星)	今天看大结局时不自觉的嘴角上扬，真幸福的一家...
(4星)	在我的快速拖动之下，出去那些拖拉的烂情结，我还是给4☆
(NA)	好久没看WW剧了   虽然很狗血还是不错看
(NA)	只喜欢小乐
(3星)	终于垂死挣扎完了。
(5星)	真是，比起弱智的校园剧，这个真是好太多。。。。。。
(4星)	可以让我哭得稀里哗啦的片子应该不是很烂
(5星)	摆脱不了偶像剧的吸引，没出息啊。。。 
(3星)	外星人爸爸~
(3星)	跟所有台剧没两样，又雷又狗血，吴建豪声音好娘 = = 看的浑身起鸡皮疙瘩
(4星)	原来吴建豪是狐狸眼
(3星)	Vanness还是太嫩了
(4星)	催泪瓦斯`~
(3星)	這個拖出來的一集實在是.......#$%@$%
(3星)	我现在真是无聊一下
(3星)	特別狗血的劇情！
(4星)	因为失忆，他们前后好像谈了两次恋爱，两段的CP两段的情感都让人心动。
(4星)	幸福下去吧头一次觉得V很帅啊 演技也提高了很多 不错 不错
(5星)	纠结
(4星)	很久没有喜欢看台湾偶像剧了.这部例外.吴建豪终于火了啊.
(3星)	吴建豪的演技还是那么菜……安以轩还是很不错的，梁小乐好好得意！
(3星)	台腔还是听不惯。狗血剧情大集合。出彩点就是小孩啦~~有爱
(3星)	犯了台偶的通忌，不该拖拉，15集足够了。小小彬是亮点。
(5星)	近期看过最好看的了·····好感动···
(4星)	珍惜生命，远离偶像剧。
(5星)	V真是变帅了好多。
(5星)	很温情啊~~不错勒台剧~~
(5星)	除了这有点拖拉的对白
(5星)	喜欢小乐！
(4星)	bs偶像剧。但是还是流了猫尿。人真的很悖论。
(4星)	为V的肌肉和小小彬+一星...
(3星)	其实和当年的 天堂来的孩子 有点相似 虎头蛇尾 越到最后越看不下去
(4星)	 难不成现在都流行 未婚先孕 奉子成婚？ 我+_+
(3星)	小乐是真的很讨人喜欢；喜欢以茜比暮橙多很多，好的让人觉得完美的女孩；我始终觉得光晞爱暮橙多，是因为不同的表现方式么；我更喜欢六年后的光晞，成熟的男人总是吸引我
(5星)	有种和当年的《战神》一样的感觉。互相疗伤的男女主角。
(3星)	这剧情就是狗血小言。安以轩还是没有刘海好看
(4星)	虽然剧情狗血到不行，但演员演技和配乐都很好，看完有幸福的感觉(*^__^*) ……
(3星)	原来我对偶像剧也免疫了！
(3星)	安以轩真正！
(4星)	最后那集 不是很好
(4星)	吴建豪崛起之作
(3星)	呵呵，马马虎虎啦，台湾片子就是这样的
(1星)	哎。。。。。无话可说。。
(2星)	一颗星给小乐，另一颗给安以轩吧
(5星)	偶喜欢纠结的剧情。、、、、、
(4星)	结局...烂
(4星)	打算找部电视剧不用专心看，可以用耳朵听，然后一边浏览网页。完。相信比较幸福。
(4星)	剧情挺老套的。给四分，是因为安以轩，还是因为相信下一站幸福的意义呢？
(5星)	幸福，才是我们最终想要的终点站。
(5星)	某角度拓也像谢霆锋，某角度以茜像周慧敏。还是喜欢V，因为我是美手控~~~~
(4星)	还不错哦。。
(4星)	很温暖的家庭。
(5星)	V做律师后的好几套衣服都很好看，第一次发现西服，衬衫，袖扣可以让男人帅气的很精致！
(3星)	名字不错~哈哈
(5星)	其实我在八月份的时候就开始追着在看了，我很少看电视具觉得很耗时间，具体又是可以想像的到的，但当我看到19站的时候，我凹不住的要来mark，，，我很感性，它让我哭了好好好好,,,,,多回～～很爽｀！
(4星)	不完美中的完美。
(NA)	局内人与局外人。
(4星)	我稀饭大仔。
(4星)	作为一部台剧能让我看完不容易了…但是也太烂尾了吧我说！
(NA)	比我想象中的好看，尤其是安以轩
(5星)	真不厚道 大结局才20分钟 害我等了一个星期= =
(3星)	开头不错。真是不错     后来就是拖剧情了。。。。。
(4星)	哈哈,这几年唯一坚持要看完的偶像剧.烂俗的故事,烂俗的剧本,烂俗的一个星期出一集.可是V啊,我为什么那么喜欢你?你让我不得不看下去啊.
(4星)	喜欢安以轩。还不错。很温情的台湾剧。
(3星)	难得台湾的爱情偶像剧也能拍得这么好。梁晓乐简直是个奇迹，能生到这样的儿子死也无憾了！ 但是后面太拖了，虎头蛇尾
(4星)	陳慧翎NB，小小彬演技還進步了！~
(4星)	这个居然是台湾出品的,啧啧
(4星)	虽然充满了各种狗血情节，可是还是曾经被感动过
(NA)	“不管到哪里都可以，因为只要有你的那一站，就是幸福的”--梁慕橙
(2星)	安以轩和许玮宁太漂亮了。吴建豪短发顺眼很多。至于剧情，太沉重。看了五集，不想看了
(5星)	不错~~~
(3星)	吴安组合实在看不下去，吴的演技实在。。。。小朋友还蛮o.k的，许伟宁8错啊
(5星)	2-5、6 一夜一天 看我想看的，等待我想看到的 看的时候很享受我宁愿相信这个世界的美好，只是我不曾遇到。能够猜到后面的情节，可我还是要看，即使那是“最初的天堂，最后的荒唐”，又怎样
(5星)	有时候被打动是不需要理由的，我只知自己流泪了。
(4星)	vanness演技大涨啊，不再是那个烫着离子烫的美作了
(5星)	生儿当如小小彬！
(4星)	偶像剧离我越来越远了。不错的剧。
(5星)	有哭有笑的看着..恩
(5星)	喜欢安以轩的表演。
(5星)	连看3天到15集...
(5星)	虐的咧……
(5星)	花了一晚上的时间，终于用手机把它看完了。原来我是感情动物~
(NA)	后面部分很败。。
(4星)	下一站，腹肌
(5星)	臺劇中的精品 調子很舒服 安以軒很會哭 以前很不喜歡吳建豪 那個離子頭....但這部劇改觀了 這部劇 雖然劇情都很俗 但很溫暖
(NA)	这男人的胴体啊~~~~
(5星)	偶像剧又如何,台湾剧又如何,泡沫剧又如何.趁我们还年轻,趁我们还向往,趁我们还没结婚,趁我们还有时间.五星
(3星)	随便看看
(4星)	新鲜组合  喜欢V 轩的个性也不错  制作很唯美
(4星)	有你的站台 就是幸福的  我们爱过 只是你忘了 我记得 那小孩儿也太早熟懂事儿了 梁慕橙史无前例的爱情伟人 任光稀面对慕橙的时候让我不得不质疑他那智商 确切的说应该是情商 是那个叱咤律师界的大律师该有的吗 拓也也伟人一个 痴心很美丽 花姨也牛逼
(NA)	偶像剧：内地&lt;台湾&lt;韩国&lt;日本
(4星)	谢谢你，让我们在烂俗剧情中，找到真爱。
(4星)	小小彬也太可爱了吧～～招了我多少眼泪哇哇哇
(4星)	下次看偶像剧是什么时候
(4星)	哭得我稀里哗啦的
(4星)	前十九集还好。20 21就真的等烦了。~~~最后20分钟太牵强了。
(3星)	台剧也就这样了 极限了 我鸡皮疙瘩都起来了 某些俗套路真有点难以忍受 还凑合吧 v这个发型帅多了
(4星)	比我想象中好看多了。吴建豪身材真棒..蛮帅的
(NA)	原来这就是幸福~
(4星)	我能说什么。吴建豪 你太TM帅鸟！！
(4星)	终于大团圆了
(3星)	看到第五集 实在看不下去了
(4星)	同时比起海派甜心- -
(4星)	感人，小乐很可爱( ⊙ o ⊙ )！
(NA)	湿湿暖暖的~
(4星)	这样的温情剧在秋冬播放，真个选对了时间：） 另：希望丁当能借力这部剧，红起来～
(5星)	光晞。这就是我爱的男人的样子，任性和霸道的。
(3星)	虐剧,一个爱虐人的女猪，和一个爱受虐的男主，引发虐与被虐的故事。唯一亮点就是孩子。
(NA)	台剧中算不错了
(3星)	其实，我才看了半集。好吧，我一定要把你坚持看完，无论你是否纠结。因为之前的其实都没有完全看完。——在看的时候。好吧，最终我还是随便的看了一点。好像没有耐心看什么偶像剧了，也很难专注的做一件事情。
(4星)	虽然知道这种偶像剧是泡沫，但还是看得哭得死去活来。。
(4星)	花拓也：你的国语怎么说的这么标准。囧
(5星)	啊啊啊啊啊 不评论 吴建豪很帅 我想他和安以轩一起！！
(3星)	在我看到剧情转折之前，这主题曲是我看下去的理由。。
(5星)	8年之后，你又是当之无愧的最佳男主角。Vanness，我会一直在。
(4星)	对台湾不用脑思考的剧毫无抵抗力~
(5星)	米修米修、你收到讯号了麽？....请宇宙ささ来接我回家吧！
(NA)	我的期待太高！我自己都失望了!
(5星)	让我有了想要一个可爱的儿子的冲动~
(5星)	安以轩还是蛮喜欢的~
(NA)	虽然剧情很老套，但还是很感动啊~
(5星)	看几次都会哭。最爱一家三口。不要完结啊！安以轩吴建豪结婚吧！
(NA)	我居然看了19集，我疯了
(4星)	终于到站
(3星)	纯属是跟风吧··在理性分析他们的心理外，也理解梁慕橙~~
(NA)	很像日剧的一部台剧 很好看 下一站幸福 未完待续
(5星)	好久没看偶像剧了 算算 都十年没看过了 上部是流星花园
(4星)	近期难得值得看的偶像剧
(4星)	正餐已有~作为偶尔的零食 还不错~ 尤其是 小孩啊~鬼灵精怪。
(4星)	前面到记忆复苏崩溃，报复，误会处理的都很不错，不过我倒在了最后延长的这狗尾续貂的一集上，何必呢？
(NA)	只看了一集，被定义为韩剧，，于是不想看他们纠结
(4星)	我们的人生是大富翁，不管有几次机会可以重来，结果都应该是一样的，因为你就是我的命运！虽然剧情很俗，8过还是喜欢这种兜兜转转终究拥有命中注定的幸福美满，还有可爱的小小彬~~~ 看了觉得很甜^ ^
(5星)	虽然看到很多熟悉的影子，但是依然，震撼我很深。莫名的。
(NA)	陈慧翎还不错，继续努力。安以轩姐姐还是那么美，小小彬真是太惹人爱了（捏捏脸，这么懂事的孩子这个世界上有吗），吴建豪同学ABC味还是很浓（皮肤真好--，跟许玮蜜站一起那个皮肤--）。挺温暖的一部剧，有关“亲人”的定义。爱拓也，可是是亲人。
(4星)	越往后剧情越脱线..
(5星)	吴建豪真是命好！+  真是值五星的台剧
(2星)	结局有些失望，剧情太烂
(4星)	我需要刺激一下
(4星)	好感人啊，一只熊猫看了在哭泣啊……
(3星)	興沖沖地追完以後，突然發現想不起有哪些地方讓我再回頭看一次的。只能夠說後面真的好慢好爛啊...
(5星)	小乐可爱死了～
(4星)	情节 其实很老套 但是吴建豪真的很帅······
(4星)	前18集都不错的，后面就烂尾了。。。
(NA)	矫情- -|
(3星)	大龄偶像剧
(4星)	小孩子很可爱~~~~
(NA)	有点失望
(4星)	 这是我年轻时梦寐以求的情节。可以那么久的爱一个人。
(4星)	好爱偶像剧哟·······  前四集可以给五星啊··· 可惜后面拖沓了····· 斗鸡眼小孩好可爱哈哈哈······  吴建豪突然变帅了好多啊·····&gt; &lt;  
(NA)	断断续续随便看完了
(4星)	台剧里面算不错的了
(3星)	是为小V看的
(NA)	不管哪一站，有你的那站，就是幸福
(4星)	这样的幸福，平衡中的美好。
(4星)	狗血阿。
(3星)	我最感动的就是花拓也说的一大堆6年了怎么怎么样了
(5星)	梁晓乐小朋友是亮点哦，小朋友真让人感动。
(2星)	现在连偶像剧都要悲情剧情。。。
(2星)	努力看了八集.......
(5星)	米修-米修- 
(NA)	第一次看泡沫剧哭的头疼。。。
(4星)	调子清新，吴建豪帅了，安以轩再给力一点就好了
(4星)	刚刚看了最后一集，觉得没什么劲。不如前面的好看了
(NA)	情节其实和放羊的星星有点像。还是很喜欢安以轩呢，另外，在任光晞身上看到好几个人的影子，呃。
(4星)	小V很出彩~~后段有些拖沓，很多人目光从小V转到了小小彬~但整体风格还是不错~
(4星)	终于结束了，拖的时间长了还真有点墨迹了，不过还挺好看的。
(5星)	算是拍得不错的偶像剧
(4星)	额。男猪演技太一般了，而且他实在不是我的菜。轩轩公主和小小彬是亮点呀！
(4星)	被别人说奥特了才去看，喜欢小朋友~
(NA)	还真看不下
(4星)	台剧里算很不错啦
(3星)	何以笙箫默？对不起，太像了
(4星)	虽然情节老套，但是吸引力是无穷的，看一集哭一集~~~
(4星)	还不错
(5星)	很养眼~ 
(3星)	我从17集开始看 。。
(5星)	小女人就是为了明知道假惺惺的偶像剧还感动的要命！果然这年代还是流行王子和灰姑娘的童话。要是再多一个无敌卡哇伊的小朋友就直接秒杀了！当然，片子和配乐也相得益彰~
(2星)	偶像剧狗血元素大集合我能忍，心灵鸡汤励志故事我真的受不了。但是许玮甯超正点，难得的可爱女二。
(4星)	延续了台剧一向的剧情狗血但又感觉温情...实在不喜欢安以轩的眼泪,吴建豪的成熟给了我惊喜,俗气的剧情里,配角总是让人心疼怜爱的,花拓也,你能不能不要那么桔梗了啊 ... 如果不是后半部分小乐的出现,我想我只会给三星,但小乐太惹人爱了啊...
(3星)	这梁慕橙也太能哭了吧~这梁小乐也太可爱了吧~
(3星)	KILL TIMES.
(NA)	喔！偶像劇。。。。。。
(4星)	台湾最爱吴建豪      童话完美谢幕
(4星)	喷....gossip girl 也出来了....把一个星给V...很美丽的侧面...
(NA)	片片断断
(5星)	终于看到结尾啦~
(NA)	奔着两个人去看的
(3星)	星星是给吴建豪的笑，流线的身材，安以轩粒粒分明的眼泪，和一家三口的幸福   后半部太拖太水了
(4星)	我庸俗的沦陷了。。。
(4星)	……神啊~原谅我
(5星)	美！！安以轩的美貌太让我垂涎啦&gt;&lt;! 短发的吴建豪有型多了。
(4星)	满温暖的，舒服，外加蛮韩剧的
(4星)	请一定要幸福！
(4星)	这星纯粹是给小盆友的
(4星)	台湾终于又出了一部不白痴的电视剧
(3星)	果然世界是充满失忆的。。。
(3星)	太美好了不现实却又是很多人追求的包括我 人生不是总是happy ending的
(5星)	喜欢现实剧，虽然有点狗血，但是亮点还是不少
(5星)	好好看
(4星)	看完剧，丁当就来了，Venness就有了绯闻女友，激动一寒假，等来焦喜参半
(4星)	剧情到后面就很狗血了。安以轩不够吴建豪演的好。
(4星)	前五集和梁晓乐是亮点……
(3星)	这个电视其实比一般的傻瓜台剧好多了。安以轩演的貌似都是很正常的偶像剧。挺好的。不过，话说安以轩真的老了呢。
(4星)	安以轩为什么总是这么动人呢
(4星)	还算是唯美，一个女孩用坚强和内心的一抹善良留下的一段爱情故事~
(NA)	如果我们的命运就像大富翁
(4星)	小乐小乐梁小乐~
(5星)	一直追着看的。。。前面很精彩，后面剧情略显拖拉。。制作很精良，画面很唯美，小乐很可爱~~ye
(4星)	剧情狗血不重要，重要的是有萌点
(3星)	每一个美丽的爱情里都有一个凶悍的婆婆和一个完美的女二号。这个片子里又多了个活在你侬我侬世界里的天线宝宝
(5星)	我已经花痴到想去LA读书了.
(5星)	大结局只有二十几分钟，坑爹啊。本来只给了四星，最后还是决定诚实一点，给足五星。鄙俗也好，肤浅也罢，我爱这个故事。
(5星)	好久看电视没哭过了，，，这个赚了我很多眼泪
(3星)	偶像剧一枚/结局是个什么东西啊。。明显是个烂尾剧
(3星)	只看了每一集preview的人。。。安以軒一直怨婦臉冏
(3星)	偶像剧固定的情节线索。超喜欢里面的梁晓乐，太可爱了。
(4星)	也算偶像剧里不错的了~吴建豪真让人刮目相看，19集最难看，其他的其实都不错~
(NA)	飞速的看完了，我以后百分百是个好妈咪。
(4星)	我觉得不错的，虽然比较俗，但很感动，没有爸爸的孩子是很可怜的，有很多情感在里面，下一站一定会幸福！那些说剧情老套的人，不要看偶像剧了，改看外星人侵略地球吧，这个不老套吧
(5星)	至今看过的最爱的台湾偶像剧。
(4星)	GOD!!看完14集，我突然覺得豆導以後只拍電影不拍電視劇，我都沒關係了，重新找到台劇的曙光。
(4星)	其实幸福可以很简单。梁慕橙说：有你的那一站就是幸福。
(5星)	战神以后，很久没有看到这么喜欢的台剧了。
(5星)	吴建豪已然已经变成一个帅哥了！
(NA)	吴建豪VS安以轩....都是我曾经喜欢的人呐
(5星)	偶像剧最重要的就是画面唯美，爱情浪漫，主角养眼，情节狗血。
(4星)	小小彬好萌
(3星)	我才刚发现，我不想放开你的手，不想你再受委屈，也不想再看到你哭。请你不要告诉我，你可以照顾自己，那是在骗你自己；也不要劝我放弃你，因为我不知道该怎么放弃；不要问我到底喜欢你哪里，因为我只会这样一直喜欢下去。。如果我们的爱情是大富翁，再给我一次机会，结果还是一样，你就是我的命运！
(4星)	终于折腾完了。。结局真腻味。。
(4星)	后面还真是烂啊
(3星)	让我们一起来消磨时间吧。喜欢安以轩。把所有的烂俗剧情堆在一起也许就不烂俗了。
(3星)	走画感路线的唯美剧。
(4星)	小乐真是个可爱的小孩子 很爱安以轩瘦瘦的样子 &gt;&lt; 会觉得吴建豪变得顺眼了起来...哈哈哈哈剧情很白烂 可是依旧可以很感人.
(NA)	直到第十三集，呃，偶像剧真是拖延矛盾的典型啊，真够托的，其它的线也没有，很单一而老套。但这也是它的好处，没有那么有吸引力。
(3星)	Vanness不笑还是可以的/丁当的歌超级好听
(3星)	老套的桥段，还是很感动..
(4星)	不错嘛。
(3星)	一切败在这烂尾啊。连最后的对白都像在RE词。LN半年的光阴啊
(3星)	将个烂就吧   小小彬太可爱了
(4星)	我倒是宁可你永远活在我看不到你现在的过去里
(3星)	这个为什么会在我的在看里。。剧情都忘了。。
(5星)	淡淡的~
(3星)	狗血剧情。。。
(4星)	幸福的終點站終於抵達，我在滿足中默默。這是一部演技大於劇情的台劇，沒想到自己這麼倦怠的人也可以追這麼久。預想的掙扎與溫馨，卻還是會擔心和感動，我們總是抵擋不了，那些善良的人們，溫柔的感情，就像無法拒絕的溫暖。
(4星)	只要有你的每一站，都是幸福
(4星)	清如晨风~
(3星)	前面五集虽然恶俗但还算好看的，后面太差了。。。
(5星)	虽然耗时很久，也很虐，还是觉得很好看，很感动，安以轩演得很好，吴建豪身材很好，小小彬很可爱。
(5星)	嗯，一定要重温！
(3星)	虽然情节都很老套，不过还是让人愿意看下去...
(4星)	真的不错啦 对台剧失去信心 这部却灰常萌
(3星)	小小彬很好玩
(3星)	海報像韓劇 劇情像韓劇 男主角也一樣 但喜歡這樣乾淨的吳建涵 懷念長髮飄飄的美作
(5星)	虽然是不落旧式俗套的新式俗套，还是忍不住被感动。导演很不错。喜欢VAN。终于到达了终点站，很不舍。但是人生这辆车仍在行驶。
(3星)	米修米修，吳建豪離“性感”還是差了好多的
(3星)	安那副自爱自怜纯情无辜的样子 我近乎受不了
(3星)	无法忍受~弃~
(4星)	呜呜呜~
(3星)	没有那个梁小乐，我是不会看的
(4星)	唉 点结局咁嘎 不过都好啦 大团圆
(4星)	小V和轩轩都是俺喜欢的，劇情雖然俗套但是還是暖暖的。小樂人小鬼大，看在他的份上給額四星。。。已經是我給臺劇的極限分數了。一周一集，后半部分越來越狗血，看不下去了= =TMD終于完結了，這春節都過了。好吧， 我竟然也淪落到看臺灣偶像劇，我懺悔
(3星)	虽然是一部很受欢迎的台湾偶像剧,但最主要是选角比较到位吧...后期的吴建豪表现一般...但前期惊艳...
(4星)	我竟然又堕落到开始看台剧了。但是真的掉了眼泪了，为了可爱的小乐！我要坚持！
(4星)	安以轩很漂亮，吴建豪短发也很精神，小孩子好可爱，非常抢戏！
(1星)	天雷滚滚
(4星)	就是长期小女生心态，长期被这种幸福欺骗。
(4星)	我喜欢何以茜！！许玮宁当初演裴子瑜的时候咋就没这么美！
(3星)	快点结束吧
(4星)	大概不会看结局,因为书的末尾已经很美了.
(5星)	开始的轰轰烈烈，结束的不值一提！
(2星)	白烂得情节
(4星)	追着看的台剧~~还不错~~~小乐很可爱~！
(3星)	日式画面遮不住它恶俗的内容，打温情牌了不起么~
(4星)	终于完了，好拖沓
(NA)	18
(4星)	算是很棒的台剧。偷偷讲一下：前面情节稍稍狗血，有点拖沓，如果快进部分的话就很棒了。
(4星)	近期台湾偶像剧里算不错的了，虽然剧情老套，但为了小小彬小朋友和越变越帅的小V，有闲功夫和闲情逸致时还是可以看看的~~
(4星)	狗血Again 我喜欢
(4星)	淡淡的纯纯的爱,一直都是每一个人所向往的~也许正因每一个人的心中都有这样的渴望,而使得这部剧取得成功吧~不管怎样,我个人觉得这部剧挺值得一看...
(3星)	就看到这儿吧，差不多了
(5星)	首先这个恶俗的剧情是我喜欢的类型；还有男女主角的性格发展都可以接受；重要的是我大爱那个脸肥得自己的双手都遮不住的小朋友！还有，这是我喜欢小清新的类型，导演运用自如贯穿始终还保持了质量，不简单。ost也不错。主要是情节没有什么让人觉得弱智到已经是外星人的这种bug。
(5星)	力薦，繼《命中注定我愛你》之后就沒再這么感動過了，雖然偶像劇最后幾集都會爛尾~~
(2星)	没看多少，但真的只能算一般，因为剧情实在是。。。安以轩的嘴唇如果没那么紫的话演员我还是可以接受的
(5星)	想念的你，什么时候，可以想起我，回到我身边。圆满结局，虽然不舍，但是，真好！
(5星)	虽然故事情节是老套的，但是看着男女主角如此坚定的爱情，心底满满的感动，在现在的年代，这样的爱情，是难得的。让人对于爱情充满了信心，注定要在一起的2个人，兜兜转转，总是会在一起。
(3星)	比起桃花小妹和海派甜心……这部算智商高的了……
(5星)	小乐好可爱啊~好像黄毛信啊
(5星)	其实不管到哪里，只要有你的那一站，就是幸福的…第五颗星给Vanness，他是在太棒太不容易了…
(NA)	看了一集,太扯了,不准备再看了.
(4星)	梁小乐好可爱 米修米修~
(3星)	快进看完
(NA)	他以不属于你的姿态出现 
(NA)	情节拖沓 吴建豪演的也不行但是还是追着看可能是看安以轩的打扮也可能是想可爱的小乐有完整的家
(5星)	暮光之城，终于一步一步走向幸福了呢！！
(4星)	小V同学变成天鹅了。
(5星)	结局小敷衍噢！~
(5星)	我最愛的台劇
(5星)	也许它确实烂尾了，但是我不得不说，这是我头一次为了男二，想哭。
(3星)	有真心，会哭的人是不是一定就会得到幸福？
(5星)	这部片 吴建豪真的很帅！ 虽然剧情很俗不可耐，可是还是一头栽进去，喜欢，不解释。
(5星)	真真看得感动死了。。。不过最近十二集感觉不怎么样。。。更新太慢了
