http://movie.douban.com/subject/6008471/	醉后决定爱上你 醉後決定愛上你
(4星)	至少很好笑啊，后面变得有点拖沓了~
(4星)	偶像剧就是演得有够夸张的，不过看起来还比较轻松搞笑
(4星)	前男女朋友之间的合作，相当有火花的啦~哈哈
(3星)	据说是命中注定我爱你的二部曲。是冲着张孝全去看的。完全没了当初的那种感觉。这种剧就是属于玩游戏的时候。旁边开着的剧。
(NA)	最后四集没有看，甜蜜地在一起就可以啦。。
(3星)	偶像剧的女主干吗非得那么苦主啊？一定要悲惨的命运才会早就善纯的灵魂吗？！
(3星)	我居然又看过！
(3星)	演员一般……剧情一般……没有什么高潮迭起没有什么亮点可是我还是看完咯…@_@
(3星)	前段還好，後面劇情拖得太厲害了......
(3星)	这部无厘头的偶像剧让我深刻明白在对的时间遇到对的人是一种幸福。在对的时间遇见错的人是一种悲伤。在错的时间遇见对的人是一种叹息。在错的时间遇见错的人是一种无奈。
(3星)	剧情狗血的地方很多，但还是乐于观看，张孝全OK MAN。
(3星)	没有希望就没有失望，我对台湾偶像剧现在是这样，以后还是这样。。。
(3星)	无虐的偶像剧 ~~张孝全还是挺帅的 哈哈
(4星)	台剧里面还算不错啦。可以看。暑假在家黑白颠倒的看的啊。一个人的夜晚。
(NA)	好的事情~
(NA)	其实，今年暑假，我看过这个。。。（张孝全你怎么了！你的文艺小清新呢！（我怎么了。。。暑假居然在看台剧。。。（张孝全真是帅爆了！噢那个卖肉基片的洋鬼子攻也帅爆了！
(4星)	一颗星是杨的意外之分
(4星)	没有想象中那么好看咯。
(4星)	张孝全还真是突破文艺形象啊~~~
(3星)	muscle man～
(4星)	还OK得偶像剧
(3星)	靠，偶像剧果然都差不多。
(4星)	和妹妹一起看了一通宵。。 觉得很不错
(NA)	纯粹边听剧边做兼职!
(4星)	杨丞琳和张孝全的组合看久了还是蛮舒服的丫~~~~~
(4星)	虽然剧情很扯淡，但是真的很搞笑。一开始挺好看的，到后来就一般般
(2星)	为了张孝全，谁知道和脑残的杨丞琳一起连他也变得脑残
(2星)	只有第一集过得去，这种演法很雷人，但一句台词印象太深刻：“一个只能活在过去的人，是永远到不了未来的。”“如果人可以活在过去，那我宁愿不要未来”
(3星)	主角变空气
(4星)	其实我看的时候不是很专心……但是没那么脑残的剧也有比较成熟的感觉……
(4星)	超级喜欢张孝全啊！
(2星)	纪念我人生中难得的闲暇时光，所有的片都看光了，要看到这部了。杨丞琳穿着水洗农非白的裤子，好少见偶像剧女主穿那么路人不如啊= = 但是演技有变好了一点。
(3星)	哎，文青电影挂的呕像剧！
(3星)	纯粹看张孝全。。。好吧我真的是色女。。。。
(5星)	为了张孝全
(3星)	前面还行，后面拖着看
(5星)	好看好看好看~~嘿嘿~有张孝全！！！
(4星)	4月看的，今天看完最后两集，听到熟悉的曲子，真是，仿佛时间一直都在，只是我好了。
(5星)	杨丞琳的偶像剧还是不错的，这次演技很精彩，哭戏了得啊
(5星)	【以后不管发生什么事情 不管是谁先放开谁的手 或是谁留在原地 我们都要像现在一样 不要脸的拉住对方的手 我要以后我们的爱情里 没有尊严 只有相守一生的承诺 好吗？】
(2星)	男主身材很好，木有演技。女主服装品味差得吓人。鉴定完毕。
(4星)	杨丞琳短发造型很赞，而且演技真的有提高。张先生，你的肌肉我好哈啊。我也想要个宋杰修爱我。
(3星)	超赞的导演，超赞的男主，超赞的女二，超赞的配角，但是杨丞琳一颗老鼠屎坏了整锅汤。
(3星)	三星全给张孝全，可是演技啊。。。实在让人看不下去
(5星)	棒
(4星)	一开始蛮好的，后面就每况愈下了
(3星)	不做评论
(4星)	还不错啊，至少有些台词还是很经典的。
(2星)	几集弃~杨丞琳的短发形象还不错~
(3星)	台湾偶像剧的常见套路。酒瓶装新旧，男主角让人眼前一亮。很喜欢片子无厘头搞怪的2个重量级演员。绝对让整部剧增色不少，欢喜不断。喜欢看台湾偶像剧的朋友不容错过，还是非常吸引人的。花了3天把它速速的全部看完的。
(3星)	&#34;人家阮经天，是命中注定我爱你;我宋杰修，是命中注定衰到底！&#34; 哈哈哈哈哈哈哈哈哈哈…
(3星)	台湾电视剧就是有这个问题，几个主角演技太差，尤其是男主角，杨丞琳还是当年和贺军翔搭最有感觉，之后拍的其他戏都不行
(1星)	╮(╯▽╰)╭，无聊中看了两集，果断弃了，看来有杨丞琳的电视还是少看为好啊。。
(3星)	终于看完了~~~
(4星)	竟然看完了，虽然还是很烂尾，不过这年头能让我从头看到尾的台剧貌似就没数出来过。。。男主总让我想到city hall里的车叔，让人心情大悦
(3星)	楊丞琳 噁
(3星)	为什么偶像剧里的男主可以幼稚的那么可爱，凶的那么可爱呢
(2星)	什么烂剧情 张孝全啊啊啊啊啊!!!
(3星)	无厘头乱七八糟讨厌的偶像剧
(5星)	张孝全不能用帅形容，但是很耐看。演技么也不错。剧情虽简单但是卖点挺多。总体来说还不错
(4星)	很欢乐很漫画
(4星)	大结局像MV 幸胡啊～
(3星)	2011-12 杨丞琳醉酒的演技不错
(3星)	剧情2星，因为张孝全加一星。虽然剧情超狗血，可是我看得很开心，不爽的是为什么要这么重口配杨小姐，无语。张帅到让人好想谈恋爱啊。
(4星)	还行。。。。
(4星)	张孝全不错诶
(5星)	因为这一部，爱上张孝全。
(4星)	非常合格的偶像剧！偶像剧就要有偶像剧的样子，狗血就要狗血~只是偶像剧要求那么高做什么，有 B cup的美男看我已经很满足了~~~
(4星)	张孝全好灵啊！！！！
(NA)	看完了··
(4星)	四星全部因为张孝全,文艺咖来演偶像剧完全不在话下,我简直要爱死他了
(3星)	给王传一张孝全钟欣凌
(5星)	很难得能让我看完的偶像剧了
(3星)	为什么王传一永远都是男二号 好可怜 偶像剧看多了 戏码都差不多嘛 所以还是觉得以前的经典 不过 杨小姐真的是演技越来越好了 可以说这一部比拿影后的那部演技还要好
(3星)	比爱上査美乐好看…
(3星)	两天半。
(4星)	喜欢张孝全，杨丞琳也不错，在这部戏里演技很成熟，有很搞笑的地方有很狗血的情节，也许偶像剧不需要有太多的深刻的意义，最重要的是记录了当年我们看时候的心路和陪你看偶像剧的那个人
(4星)	撇开夸张的表现手法，感受台湾文创文化。更喜欢宣传片。
(5星)	哈哈！！这部我超爱的~~无论从剧情演员还是音乐！！非常好看！！超级喜欢~~~可是大家都貌似没得奖，但这也没关系的啦！！宋杰修！！林晓如！！❤❤
(4星)	契约婚姻
(4星)	如果，人可以活在过去，那我宁可不要未来。 
(4星)	难得好看的偶像剧了...
(3星)	比起男猪脚张孝全，俺更耐那个绅士王传一啊！
(3星)	就当搞笑片看！好好的一个文艺男偏僻演了一个愣头青，浪费啊！
(NA)	没看全，但以现在的状态来说，看得算是多的
(4星)	按照《海豚湾恋人》从小在孤儿院分离的两个人长大后不是会在一起吗？按照《放羊的星星》男主角报复女主角后不是会在一起吗？凭嘛小鬼这么衰。。。他用两个男主角的悲惨都没完成一个男主角的大结局。。。
(2星)	 杨丞琳这个发型好看哩，但是剧情太无趣 张孝全不适合偶像剧
(NA)	没看完。。
(NA)	前十集真的很有爱很治愈吖。一开始觉得张孝全有点老，没想到越看越喜欢。时常撅嘴的小动作好可爱的~
(3星)	有点回归传统剧爱情剧，男女主没有敌对太久就明确了自己的心意，还不错
(4星)	宋杰修这样的男人很有魅力
(NA)	因为张孝全。但是到后面故事就老套了。
(4星)	超级喜欢宋杰修，就不管什么荒诞剧情了，如果有一个像宋杰修这样的男人像爱我，我肯定毫不犹豫嫁，嘿嘿。好多细节特别感动，宋杰修骑自行车为哮喘女孩送药，那么执着，感动ing，杨丞琳演技大增，塑造的任务善良，宽容，懂的如何去爱自己的男人，喜欢，至于演技不好什么的，我都可以忽略
(3星)	我都没看完= =
(3星)	弱爆了 原来怎么会觉得它好看= =
(5星)	不得不说Rainie的演技赞~两个人都在拼演技~~ps，王传一当配角可惜了~另外两个混血儿配角都很dim！
(5星)	好看好看 张孝全好可爱~~！一直善良，就会幸福。
(3星)	一般般……看多了就没有感觉了。。。剧情有点2
(4星)	很不一样的杨丞琳，很好的张孝全
(4星)	这分是为了这完美的男人打的
(4星)	我居然又开始看偶像剧！张孝全好man！杨丞琳演技真心不错！
(NA)	2011.10.21 看了好久，最后为了小鬼看完的...
(4星)	喜欢张孝全，很man
(NA)	小杨同学的短发造型~人家追着看完了
(3星)	WZ昂紧要我看张孝全...
(5星)	杨丞琳和张孝全成熟的演技 我一分钟都舍不得快进
(5星)	我全！！
(3星)	刚开始的几集便出现偶像剧的惯用伎俩：女猪心地好得似仙女下凡，奉行“我为大众，却可为大众而抛弃自我”；男猪纠结在两女之间，徘徊不定继而僵持不下。不过后面的剧情总算没有太过普通，没有太过理想化。HE结局是必然的。
(3星)	有些臺詞還是很好笑的XDDD 但是還是有台劇那個很假的味道(攤手~~)...=v=...ps:張孝全好帥啊!!
(4星)	似乎许多人都是冲着张孝全看的这剧。好吧。我也不例外。剧情着实有点夸了。特别不解的是女猪角的前男友放弃得莫名其妙。杨丞琳的短发有很不一样的感觉。(～ o ～)~zZ很久没看泡沫剧的说。
(5星)	更爱张孝全了……小鬼真心不错
(4星)	笑得不行~
(5星)	张孝全很帅喔。杨丞琳也不错啦。
(4星)	开始喜欢张孝全演了~~很多地方我竟然会边看边哭~哎~~笑点也不错~
(3星)	醉后能做出这等滑稽之事，编剧真的很异想~看之一乐，放松一下~
(4星)	杨丞琳演的很赞哦！
(4星)	张孝全你终于是男主了啊。
(3星)	刚开始让我联想到了“浪漫满屋”，不过剧情也走得蛮快的，虽然还是感觉把很多偶像剧的剧情连在了一起，但有些地方还蛮搞笑的。下载的是剧集加花絮版，每集为一个多小时加二十分钟的花絮。张孝全虽然长得不帅，但还挺可爱的，这次杨丞琳换了个发型，剪了短发，成熟漂亮了点，不过演技还是如此没长进呀～
(3星)	张孝全不出声就是一只忧郁的猴子…杨丞琳转型挺不错 开始挺好玩的 越往后越不愿意看了……
(3星)	结局永远是美好的。尽管觉得很幼稚，还是看完了。体会一下里面的幸福也未尝不可啊。
(4星)	又一枚型男。
(4星)	这个在蛮久之前看了一下收尾和中间的片段，再加上剧情梗概，这样，几个小时就把一部连续剧看完鸟。
(4星)	又一次偏爱男二。杨丞琳好可爱。最经典的场景是最后一级舅舅见到妈妈说了一句：大嫂，真的是你吗？然后惆怅的音乐几秒后，舅舅感叹的说：胖了好多啊！
(4星)	前面好好看。。。后面。。。有点没味了~
(5星)	很好看诶，看完觉得张孝全怎么那么可爱~~~只是每集时间太长了，压力有点大
(4星)	台湾艺术的感觉真是很好的
(4星)	一首《我们都傻》无意翻到了这部戏，我是没跳过任何一个镜头看完的。虽然都是差不多的俗套情节，8过这个男主是那么多片里塑造得最好最让人折服的，灰常完美性格也正是偶灰常欣赏的类型哇。。有几句好深刻的台词：爱情是一种遇见，不能等待也没有准备。。只要心里还存着不甘心，就还不到放弃的时候。 
(4星)	我来看张孝全的 嘟嘟嘴
(3星)	后劲不足
(3星)	演技比那个查好多了。只是杨不是我的菜。没看完。
(3星)	台版浪漫满屋，鉴定完毕。这种剧一般拍个10集结束估计能给个四星，男主身材不错
(4星)	张孝全太尼玛像郑嘉颖了啊！！！
(4星)	其实还不错~
(NA)	庙婆最出彩    鞋~~~~
(4星)	还是很喜欢的
(5星)	延续搞笑路线的爱情喜剧 呵呵 让人难忘
(4星)	把能看的偶像剧都看了吧……囧
(3星)	前面的好看,后面比较狗血.
(3星)	一般般- -
(3星)	就为了张孝全才在跑步时间看看，不喜杨丞琳
(4星)	斗嘴神马的最有爱了~张孝全还蛮阔爱的蛮
(4星)	又搞笑又难过的片子。。
(3星)	比想象中好。。。
(3星)	男女主都是喜欢的 但是情节太离奇……爱吃醋肯花心思的假老公上哪儿去找……
(3星)	原谅我实在没耐心看完 。
(3星)	还可以吧，只是剧情到了后面有点拖拉了，可惜男女主角不是我的菜
(3星)	其实蛮无聊的，但是我在美帝每周就指着它过了……没有功劳也有苦劳。还有新发现是狄志杰不错！
(3星)	张孝全演电视剧太浪费，但是看着的确觉得很舒服。
(4星)	杨丞琳 好搞笑 和阿三追着看
(5星)	不错
(2星)	台剧真的越来越2逼了好么...
(2星)	越看越不搞笑了，没劲
(4星)	剧情虽然很白痴，但张孝全太特么吸引了！
(3星)	三星半，为张孝全再加半颗星~回头看把这半颗星又减了。。果真回头就理智了。。
(3星)	剧情就不多说了，依旧台剧的认为大家都脑残的风格。但是却对杨丞琳的看法改变了一些。
(3星)	说张孝全不好看的人，你们的眼睛长屁眼上了没跑的
(4星)	台剧果然就是“我脑残我骄傲”，不少情节都经不起仔细推敲。但那又有什么关系，看得开心就好。短发的杨丞琳还OK啦，张孝全那是相当地顺眼，一颗星给他吧。
(3星)	我和haru好无聊哦…居然还专门买碟把这个看完了…剧情够扯淡…但是也有让我们狂小的地方…我真是好无聊啊…看这个…?!
(2星)	冲着看张孝全去看的
(3星)	有丞林才看的···
(NA)	建议：看前八集和最后两集。他们俩配起来就算看完也还是觉得怪怪的。
(2星)	还有比这更狗血的呕像剧吗？？
(4星)	笑的真甜..
(5星)	处女男
(4星)	不得不说这又是一出看到烂的肥皂剧，但好在张孝全和杨丞琳两位主演出奇的搭！二位对戏时产生的化学反应很浓烈，能让人每周心甘情愿的追着这出看了开头就能猜到结尾的偶像剧！杨丞琳短发造型很成功，张孝全很man！怎么说也是最近唯一能看得下去的台湾电视剧。
(5星)	最近就这一个能看的偶像剧了 杨丞琳美爆了 张孝全也很搭 最后有小反转也算自圆其说了不错~~~
(4星)	最后那个捐63万那个很好笑，比命中的结局高明太多了，拍成MV很有新意！张孝全的侧面好像猩猩哟~
(3星)	看了两集，即使有杨丞琳也完全提不起兴趣。。。。湾湾呕像剧完全不行了。。。。
(3星)	张孝全看到你我就欲念横生~~~~！！！！！！！！！！！！！！
(4星)	还不错
(3星)	一个人抱一大桶八喜去看一边看。一边看一边哭，一边哭一边吃，吃到一大半的时候自己已经快把自己给冻死了。佩服自己这么有耐心把一部非常假的电视剧看到了最后。
(5星)	张孝全 你好MAN 好SEXY啊 大爱这剧 又不纠结
(4星)	还是有被感动到。
(5星)	很好看，很感人。
(5星)	张孝全突破以往我对他的印象~不过依然很喜欢~
(3星)	你现在要我改变，还是因为你已经变了。←这句还蛮经典的。张孝全不能穿套装，杨丞琳个傻逼以为剪了头发弄歪刘海就不脑残转型成功了？越来越傻逼了= =
(4星)	里面有不少台词戳中我笑点也有不少台词说出我的爱情观 算是有内涵的偶像剧了 可惜的是总体有些拖沓 不能因为收视率高就乱加戏啊！张孝全的身材真赞 杨丞琳有几场戏演的很棒 几个绿叶角色很讨喜
(4星)	蠻搞笑
(3星)	偶像剧。虎头蛇尾，有好多条可以展开的线索都草草收场。
(4星)	孝全！传一！
(NA)	插曲不错
(4星)	我们很傻 不错听~
(3星)	因为张孝全去看的  实在木有耐心咯  过段弃。。。
(5星)	蛮不错看！杨丞琳演技好很多！张孝全也不错！
(4星)	虽然狗血，但是情节还蛮紧凑的。女主换掉的话 会更喜欢吧
(3星)	很一般的剧。
(NA)	王一
(3星)	怎么严爵始终不见发力蹿起来呢？
(4星)	难得看杨丞琳的电视剧 不过这部还不错 短头发还好看 张孝全简直就是型男啊 唉 许玮宁怎么永远演这种女二号 王传一怎么长得跟痞子英雄里面不一样了啊 
(4星)	女主的镜头感还是很好的
(4星)	偶像剧就应该这么演嘛~
(5星)	张孝全演技很棒，杨丞琳这部剧也很有进步。值得一看的剧。
(4星)	很紧凑 很激烈 很精彩
(4星)	杨丞琳很有戏，张孝全越看越帅，片尾曲好听。
(3星)	张同学卖个萌实在忒有潜力 
(3星)	为了porsche跟张孝全....
(NA)	喔唷...张孝全！亮了！
(3星)	偶像劇不宜看太多。每個男主角都太好了。
(4星)	少了点恶搞。多了点深度
(5星)	喜欢她里面的搭配
(NA)	老套就是老套了点，不过前半段还挺欢乐的，后面开始拖，靠演员撑到最后。偶像剧就是要操死男主角吧？不过演夸张类的喜剧算不多见，张姓童鞋range够，但还有很多空间要磨练，不知道他自己有没有觉察。由于导演的问题这剧好像争议不少……
(3星)	许玮宁+白梓轩（¯﹃¯）
(4星)	大家都是冲着张孝全看的吧！不过确实养眼又欢乐唷~
(3星)	张孝全比以前白了……
(3星)	看到8时弃，其实是为了张孝全去看的，可是他居然出演这样的偶像剧让我很无语，让人放松的偶像剧没什么不好，但是越来越胡闹的剧情真的是浪费他的气质和演技，还有杨丞琳，唉。。。我真不想讨厌她，但是还是深深的讨厌她，不知道怎么得的最佳女主，这个演技真是永远一样，当然我也忘不了她以前的白痴语
(5星)	好久没看到这么好的电视剧了，力荐！我也好想有宋杰修那样的男朋友啊！
(3星)	我爱你张孝全!!!我爱你黄鸿升!!!可我还是怨恨这部剧...
(3星)	就是会笑，但没看完。
(NA)	我喜欢里面的歌
(3星)	记得宋杰修说过的一句话：“我要我们的爱情里没有尊严，只有相守一生的执着。”
(2星)	无聊从最后几集点点
(4星)	真搞笑
(4星)	真心觉得好笑又不难看的偶像剧……
(4星)	我承认我是花痴啦 (^o^)
(4星)	张孝全好帅啊
(4星)	结局开始不来塞了，不过有笑点~
(5星)	可能与心情有关，觉得一切都很好，台词、演员、剧情~~
(4星)	有些地方还是有些狗血，但是瑕不掩瑜，亮点很多。算是今年有很大突破的台湾偶像剧。
(3星)	额 杨丞琳的演技果真突破了 哭戏演的超级感人
(4星)	第一次知道张孝全这么有喜剧天赋！总体上剧情比较老套，但还是属于温馨感人的类型，男女主也都没有怎么虐就顺利在一起了。最有乐趣的就是两个人卖力地搞笑了，杨丞琳的都是以前看到过的，而且一直不喜欢她，也就不care了，倒是张孝全真是有潜力啊！
(4星)	最后的剧情好狗血，总体良好
(4星)	說不上來，應該是3.5星。
(2星)	乱搞
(4星)	越看越觉得张孝全很萌。
(4星)	一开始觉得剧情老套、其实看下来也还好、杨丞琳的演技有进步、看到最后很感人。
(5星)	张孝全五星啊 最后妈妈那一段太感动了 美秀姐真的演的很自然又很感动 打伞那段让我莫名想到了龙猫
(NA)	杨丞琳演技爆发，王传一和小鬼是来打酱油的，10个小时看完了18集 O(∩_∩)O哈哈~
(3星)	还行吧。
(4星)	还不错，比想象的好很多，杨丞琳哭戏不错。另外，感谢你们陪我赶教案~
(NA)	终于见到一个在新欢和旧爱之间不摇摆的男人了。
(3星)	吃饭娱乐篇~~~洗衣服必听篇~~~~
(4星)	一边收拾行李一边看的。对杨丞琳的印象有改观。
(3星)	小温暖。小感动。
(3星)	剧情还是弱，半年了，还是越来越弱~
(3星)	张孝全的颜和身材很好，杨丞琳的新发型不错，演员除了演王传一老婆的那个一般般，都挺好的。可是！编剧实在太狗血了，是编给小学生看的么？！没啥逻辑啊…第一集和最后一集切题，中间跟醉后决定爱上你没有半毛钱关系。孝全，你还是演正片和文艺片吧，不然碰到这导演就毁了…无论如何，还是很爱你们啦。
(NA)	其實由這部劇拿金鐘比海派拿金鐘更實至名歸
(4星)	还不错
(NA)	纯属为了看张孝全忍着看下去.......
(3星)	居然能追着看了十多集，在这么紧张的点上，我真的疯了我。不过结实的张孝全确实很容易让人流口水。
(4星)	至少剧情还不错。比阳光天使讨喜。
(3星)	前面感觉还不错..后面的情节有点儿恶搞了..
(3星)	有点儿烂尾……
(4星)	很喜欢小鬼
(3星)	闲着没事看看
(4星)	今天看掉醉后一集..MARK
(3星)	甜美 浪漫的太不现实了，感觉像是一个梦。现实中根本就没有。
(3星)	结尾好拖拉。
(5星)	张孝全的抬头纹很帅~
(3星)	打发时间。
(3星)	越到后面越看不下去。
(4星)	哎呀我喜欢张孝全啊
(5星)	偶像也可以很搞笑
(4星)	张孝全！！！
(3星)	总觉得前面还行，后面么……
(3星)	开头不错，越往后越没劲，最后结尾我只能说太假了吧
(3星)	這部算還行了吧==
(3星)	追了很久的一部偶像剧啊。。。刚开始还蛮好看的，到后面就觉得剧情不咋地。。。蛮喜欢杨丞琳这个造型的。。。
(3星)	我是打游戏的时候得来点声音才行，就挑了这个。。。杨丞琳开始告别花瓶了么？。。跟《命中注定我爱你》太像了。。。
(3星)	传统励志剧啊，，台偶一直没有走出她的套路……日剧影响太深了
(1星)	狗血脑残剧。
(3星)	每过一段时间 总会看一部偶像剧···我是一直像活在少女的年纪么···？
(3星)	也許把它想得太好看 所以真的看了也就沒覺得那麼好看了 總體來說還不錯啦 有搞笑的地方 有溫馨的地方 也有感動的地方 最後有點小反轉 但印象最深的還是楊丞琳的短髮造型 很漂亮
(2星)	孝全~咱还是去演小文艺片吧~
(3星)	台湾偶像剧总是前面搞笑后面狗血。冲着张孝全还是看完了。
(3星)	众多可爱的配角。
(3星)	後面真是難看到嘔
(3星)	没看完... 应该说 没完整地看
(4星)	难得好剧
(2星)	为了张孝全去看额~剧情老烂额 不停快进快进……
(4星)	张孝全啊张孝全 
(3星)	命中的3部曲之二。没有《命中注定我爱你》那么逊色！~~看到后面也变的很乏味，没有太大惊喜。
(2星)	十八集，哪里来的勇气拍下来？哪里来的自信往下拍？苦了某些演员，有演技应该往大银幕发展，何苦浪费宝贵的时间。
(3星)	張孝全先生請不要變成偶像劇演員好嗎...TAT..
(4星)	忽然觉得张孝全还挺帅的&gt; &lt;嘿嘿
(4星)	不是最狗血的台湾剧
(4星)	很久没看台剧，这部真的不错~~杨丞琳演技挺好的，其实抛开乱七八糟的东西不谈，她的长相和性格都很对我的路子~~尼玛重点是张孝全啊，好hi放得开啊，身材好到爆啊！！！！果断想扑倒，有木有！！！床戏一哥啊，哈哈哈哈哈~~小鬼和杨丞琳演初恋情人还蛮有点的~~
(3星)	剧情很老套 不过张孝全倒是有一集有那么一个镜头让我感动到哭 他还是不能跟小天那些个偶像剧先驱们并排比 但是肌肉真是好的没话说 =3=
(3星)	一开始是吸引的，然后就没完没了了。
(3星)	最棒的是刘亮佐和林美秀
(4星)	我原来一点都没觉得张孝全帅,哎,这就是偶像剧的力量,,,,
(3星)	杨丞琳真的跟小鬼在一起过么?这真的是命中的续集吗?坑爹把
(3星)	张孝全的演技过了。。。
(3星)	假假假
(4星)	张孝全，帅！其余不评价...
(3星)	我除了想说张孝全好帅 没了~
(3星)	我真的是受够了三立了 就不能不要再虎头蛇尾么？！ 最后都看不下去了 反而去追美乐了呢！严爵和丞琳的歌倒是都很好听！
(4星)	杨丞琳演技越来越好
(5星)	张孝全太帅啦！！！
(4星)	还不赖啦...剧情合理表情到位。
(5星)	大爱孝全~
(4星)	就是后面有点瞎了。可是我喜欢那些小片段。不过让我想起了某人。哎哎哎。不过张孝全蛮灵的啊啊啊。
(3星)	讨厌自己这样子刷没营养的偶像剧！！！也不喜欢杨丞琳的新造型，你可爱就可爱嘛，变身神马熟女啊倒是，还好张孝全够帅~还有我们家传一，刚开始真是帅屎了，可惜那女的不咋的~~~女王许玮宁啊~~~女王就是女王~~~
(2星)	要是没有张孝全 怎么可能看完= =
(3星)	如果偶像剧的故事情节贴近现实生活那就不能称之为偶像剧了，图个乐呵吧。
(3星)	你只能說後面越來越狗血....越白癡...
(3星)	不喜欢女一男一，看女二男三。
(3星)	张孝全我的菜！！（星星眼）*_____________*
(3星)	純搞笑～
(3星)	= =剧情啊剧情，可以扯死了~觉得杨丞琳没有那么脑残了
(4星)	娱乐
(4星)	为甚么百分之八十偶像剧女主都是杨丞琳？还我张孝全！！
(4星)	杨丞琳的演技大有进步！
(3星)	张孝全！！张孝全！！ .
(4星)	好久不看台剧 这部剧有种当年看下一站幸福的感觉 最近想看电视剧 于是重回来看这部 觉得越看越好看 两个主演拼演技 张孝全很有魅力 越看越帅...气质啊气质
(5星)	宋杰修和林晓如要永永远远在一起！！！！！！！！！！！！！！！！！！！！！！！！！！！！！亲！！！
(NA)	两天时间看完宋丁丁和山猪妹的爱情故事。
(5星)	我的张孝全啊啊啊啊啊！！！！
(3星)	这么多年来，依旧看不惯做作的杨丞琳，演技依旧没有增长，说话时特别是讲大道理时，完全戏剧腔
(3星)	号称命中注定三部曲之二，明显没有命中好看
(3星)	除了张孝全，其他的what a shit！
(3星)	开头挺搞笑的，两个人一旦确认恋爱关系也就没什么好玩的了。
(4星)	忙于事业的女性都很悲催啊
(4星)	还是很感动的。
(4星)	啊！这从考试周开始跟的小破剧。终于结束了！嗯。
(3星)	没有第一部好看
(4星)	搞笑的嘞~
(3星)	好的事情 总是从开端就预告了结局
(2星)	张孝全真的不是阮经天那种型的啊，为什么要扮可爱？回去演文艺片好不好？看到后面各种快进~~~~~~
(3星)	我是觉得张孝全不错才看的哈 跟女主角无关 - - 
(3星)	纯欢乐
(3星)	真的是醉得，五集后那是个什么状况，段子的大荟萃，乱七八糟的，一锅味差的浓汤！
(4星)	第六集还挺浪漫的，不是那种脑残的偶像剧
(4星)	台偶的春天！
(4星)	大家都是沖著張孝全來的吧。
(5星)	杰修哥哥的小肌肉太帅啦~
(NA)	我是有多无聊
(4星)	感觉偶的台剧之路快终结了T.T我们像那些演员一样，该随着岁月成长起来了~
(4星)	四星全是张孝全的  我不喜欢杨丞琳  为了张孝全才看完的  可是尼玛太狗血了吧！
(3星)	开头开得不错，在往后看就没意思了。。。
(3星)	怎么看都觉得他俩不像一对
(NA)	女主老妈演技强大
(4星)	每集都让涐爆笑唉。
(3星)	断断续续也算看完了。
(3星)	制作团队和演员一概都OK，编剧比较垃圾。
(5星)	太好看了！！看完就空虛了...............
(4星)	孝全！
(4星)	狄志杰再多演几部吧。。。其实王传一挺帅的
(1星)	SB剧 浪费时间
(3星)	张孝全演了那么多苦逼角色，这次终于演了回轻松点的，快进看完的人不多做评价。
(1星)	弃……没有内容啊没有内容，呕像剧拍成这样也是境界了~
(3星)	三星..看在还看得下去的份上..虽然有影后..感觉演员还是生硬啊..演技最自然的居然是出场一集的路人甲QQ同学..P.S.很喜欢最后蜜月时候开的新郎新娘车~~~
(5星)	虽然还是有很多台湾偶像剧的硬伤，但这难得引起不看台湾剧多年的我的兴趣。杨丞琳的演技真的有成熟了，但还是带点自己的小特色，不错~~~重点是！我彻底迷上孝全哥哥了！哎哟喂，又man又孩子气的男人，啊，我想尖叫！！！而且，私底下那爱运动够哥们的张孝全，也真的太帅了！！这是一种感觉！！！
(4星)	有五月天的歌作插曲耶~~~~~~~~~~~多久没看台湾偶像剧了，想不到还蛮好看的，笑的蛮开心，面包师傅讲的几句话真的很励志~~~不错啊~
(4星)	我就是为了张孝全而看啊
(4星)	原来张孝全也可以这样搞笑！杨丞琳的演技有提升！这次的造型也不错！我喜欢！
(4星)	从半熟宣言开始喜欢丞琳。这些年她真的改变了。金钟奖封后的第一部作品她演得很好。可是说实在的，有些台词很2，男主角有躁郁症的样子。。。
(4星)	发现张孝全的演技很棒眼睛会说话
(3星)	 纯听歌去了~
(NA)	又看了一部无脑偶像剧！欧耶！
(5星)	很不错，
(4星)	看了前几集就没有追下去了 台湾偶像剧大多这样 开头新奇 搞笑吸引人 但终究不免落入两男两女各种三角恋的俗套 还是有不少感人的台词的
(NA)	偶像剧才欢嘛
(4星)	主人公的性格跟我一模一样啊。。
(5星)	孝全和丞琳，你们一定要像剧中的杰修和晓如一样幸福哦！宋氏夫妇，加油！
(3星)	貌似已经看不下去了
(4星)	其实更多的时候不是在看剧情而是在看人。张孝全演得尽力，真诚的演技总让我觉得像真实发生，特别是面对他和晓茹的情感。希望孝全未来走得更远更好。
(3星)	开始很好看后来越来越拖沓越来越套路没有新意了。。。
(4星)	感谢遇上你。
(5星)	很可爱很欢乐，让你看到不一样的张孝全……好吧，我也承认，这里的杨丞琳比较可爱……
(5星)	张孝全张孝全张孝全！！！！！！！帅啊吼！！！！！！！！！！！！
(3星)	就爱小平头
(3星)	笑笑闹闹
(4星)	刚看觉得很好但越看越无聊的剧。。。
(5星)	张孝全真心好Man
(3星)	很好的地方，有提高的部分，但是大致还是那个调调。
