http://movie.douban.com/subject/2761775/	真命小和尚
(5星)	 这孩子小时候很可爱            
(5星)	 我的童年~            
(4星)	 我真的真的好喜欢开心。当年都不知道有几个假期看过这电视剧。            
(3星)	 微尘和脚踏七星            
(3星)	 小时候暗恋曹骏好久            
(3星)	 新加坡的 我说过我小时候什么都看过吧            
(3星)	 学友的主题曲赞            
(4星)	 开心小和尚            
(5星)	 赞~~~忘不掉            
(4星)	 挺好看            
(3星)	 小孩越小越可爱            
(2星)	 我就是一“路”被雷这么劈着长大的~~~            
(3星)	 里面有个歌很好听            
(4星)	 为童年，少年时光直接四星~~            
(3星)	 小时候看的，当时整天想着“无字天书”            
(3星)	 如今曹骏已经变身成华丽丽的帅哥，当年天真的样子永远定格在银幕里面了            
(2星)	 演员太丑            
(4星)	 开心  曹骏 还有张学友的《微尘》            
(3星)	 小曹骏             
(NA)	 我怀旧了            
(3星)	 我还真没想起来我曾经还看过这片……我小时候看片都这么不挑质量的么？            
(NA)	 小时候觉得听好看的  也没多少印象了             
(NA)	 以前很喜欢的片子~~~            
(NA)	 二年级秋天            
(5星)	 曹骏小时候真的太可爱了~~            
(4星)	 那时的曹骏真可爱，粉嫩粉嫩的，比起释小龙来有过之而无不及。只是长大后的他们还是释小龙最帅。            
(4星)	 开开心心看完的又一部不着谱的电视剧            
(4星)	 曹骏 长大了真不怎么样了，虽说在哪个宝莲灯里 见到过他，可是却不喜欢了。不过小时候他和释小龙可都是我的偶像的嘞。            
(4星)	 忘完了……            
(5星)	 小时候最爱看的啊~无忧无虑的童年死在成长的夏天……            
(4星)	 我爱这部剧的歌啊～～～～～～            
(4星)	 以为他会红的            
(4星)	 小时候的曹骏真挺正太的，机灵可爱，天然不做作，有点像“一休”。后来再演宝莲灯的时候也还行，有点像“贾宝玉”（虽然觉得还是小时候演的更好）。不过再后来在“宝前”里露了一下脸，明显长走样了……            
(3星)	 曹骏长得很像我bro,所以对他的电视剧有了好感~            
(NA)	 那时的他还很可爱            
(3星)	 小和尚很可爱。            
(3星)	 我都快不记得我看过了，童年啊……            
(5星)	 一部经典之作…            
(5星)	 相当好看的可爱的一部电视剧，那时候的曹俊特别可爱            
(3星)	 小时候看的            
(4星)	 这戏，过程轻松，结局让人有点儿难过……            
(4星)	 故事本身还行 多一星给美好童年~            
(NA)	 那时我还年轻            
(4星)	 长大了，没小时候可爱了            
(4星)	 张学友的主题曲大赞            
(5星)	 我小时候的记忆了            
(3星)	 开心嘛~~            
(3星)	 还记得那年发大水，不去学校，呆在家天天看真命小和尚，是很美好的回忆            
(4星)	 觉得曹骏在里面很可爱~~张学友的主题曲唱的很好听            
(4星)	 这是梦啊梦。听说似乎可能也许貌似在宁波取景。            
(NA)	 好早好早啊~~~~~还记得裴光光~~~呵呵            
(2星)	 献给张学友的歌...            
(2星)	 没印象了，记得是不怎么样。            
(4星)	 ~~小时候最喜欢的电视剧之一            
(3星)	 小孩真可爱            
(3星)	 可爱的小和尚，好笑。            
(5星)	 还有什么无字天书 脚踏七星 喜欢            
(4星)	 这还是挺爱看的。            
(4星)	 那个小正太童星小时候真可爱。            
(NA)	 哎，我们家男孩子            
(4星)	 小学时代            
(NA)	 当时觉得要是让郝少文演就好了            
(NA)	 模糊            
(3星)	 小时候的曹骏可爱多了            
(4星)	 这个看过的！曹骏那时候把我萌的啊            
(3星)	 小时候以为脚踏七星的就是皇帝            
(3星)	 暑假剧，一集没落……老是等着张学友唱微尘来着……            
(4星)	 曹骏和我们一起长大了啊            
(4星)	 好小的时候看的            
(3星)	 还是应该看过。            
(3星)	 已经不太记得了            
(4星)	 童年的回忆            
(3星)	 小学高年级的哥哥有演耶            
(4星)	 哈哈.....            
(4星)	 就是这类片子祸害我从小想当和尚的……            
(NA)	 小和尚叫什么来的，长大怎么整一个歪掉            
(NA)	 MS有很多部~·最好当然是第一部啦~~~不过不是新加坡的咩？？            
(5星)	 搞笑，全家一起看。            
(4星)	 还记得那个旋律            
(4星)	 哎呀当年很好看的            
(4星)	 当时我觉得无字天书真是绝了............            
(3星)	 不记得了~            
(5星)	 五星给我的童年            
(4星)	 那时候这娃可真可爱啊~            
(3星)	 这还是很小的时候看的一个电视剧···好几年了··几乎都忘了···年少真好            
(4星)	 喜欢看这部            
(NA)	 一直以為是釋小龍演的。。。            
(3星)	 以前觉得曹骏挺可爱的，不过后来大了很少看到了            
(3星)	 师叔好像叫什么铁桶            
(3星)	 卧槽…貌似没有记忆了…只晓得看过            
(NA)	 悲与喜之间            
(3星)	 小时候的曹俊还可爱的说==            
(3星)	 正太版曹骏灰常可爱啊            
(4星)	 童年            
(4星)	 曹骏的小和尚。。。很灵            
(4星)	 小和尚好可爱，铁桶也是            
(5星)	 &gt;//&lt;            
(NA)	 嘻嘻，小和尚长得很可爱。。。            
(3星)	 有看过，有看过。            
(4星)	 曹骏长歪了            
(NA)	 可爱的小和尚            
(NA)	 是太子之类吧            
(NA)	 那时的小和尚现在长大演宝莲灯了            
(5星)	 当初曹俊多可爱啊，不过比起释小龙来，我还是觉得，他长得还算成功            
(NA)	 讲的是。。。啥来着            
(4星)	 小曹骏，太可爱了。            
(3星)	 以前一放暑假就播 应该是浙江卫视吧？在淞南看的            
