http://movie.douban.com/subject/1863941/	天龙八部 天龍八部
(5星)	 好 此版段誉 我喜欢            
(5星)	 个人最喜欢的版本，荡气回肠。黄日华的表现尤胜《射雕》。            
(5星)	 最喜欢这一版。            
(3星)	 周华健的主题曲、黄日华的萧峰很喜欢，            
(5星)	 乔峰,完美的英雄            
(4星)	 经典            
(5星)	 生活中有没有乔峰啊~~            
(4星)	 这个人物还是诠释得不错滴~~            
(5星)	 喜欢这个天龙            
(4星)	 大爱乔峰            
(4星)	 我爱段誉            
(4星)	 可能没看全~ 阿紫有点坏~ 不过蛮可爱~            
(4星)	 经典版本……            
(4星)	 好看的...段誉啊...特灵了...            
(5星)	 个人最喜欢的天龙八部，超过汤版。            
(4星)	 越是执着，越是失去            
(5星)	 20年不能超越之经典~            
(4星)	 李若彤真是美若天仙啊！！！            
(4星)	 剧中的阿紫虽然不漂亮,但从此喜欢上这个人物.            
(5星)	 好看~            
(4星)	 我最喜欢的版本            
(3星)	 主题曲还不错            
(5星)	 每当乔峰出场时的音乐响起 那都是热血沸腾……            
(4星)	 还是比较喜欢乔峰            
(5星)	 高中的最爱啊 演员选的真不错 一听到音乐就激动 买了不少帖纸            
(5星)	 這個版本的最好看啦            
(5星)	 太经典的金庸剧，神仙姐姐，段誉，乔峰，惟妙惟肖            
(5星)	 好看好看。这个语焉比刘亦菲那个好看N多            
(4星)	 这个版本我喜欢            
(4星)	 喜欢六脉神剑            
(5星)	 喜欢萧峰            
(4星)	 认识了可爱的段誉            
(3星)	 最喜欢萧峰            
(5星)	 经典。            
(5星)	 原声！！！求原声！！！            
(4星)	 那时候都没有认出乔峰就是黄日华，那是看过最好看的一部天龙八部，乔峰郝帅！主题曲也特别好听            
(NA)	 只是看过 没啥感觉            
(4星)	 当经典的主题歌响起。。。            
(4星)	 歌好听，人也不错。。。            
(5星)	 经典，音乐真好            
(5星)	 毋庸置疑的最经典版本。黄日华的乔峰，樊少皇的虚竹，都是完美的人选。以前不喜欢段誉，但是越看越发喜欢了。女性角色中，不知为何最欣赏的是赵学而演的木婉清。宛若清扬，实在是超凡脱俗。金庸是个人物。            
(5星)	 最喜欢的金庸剧            
(4星)	 我第一次知道，周华健还会唱粤语啊            
(5星)	 先看的书后看的电视剧，都不错，这个版本的好看            
(3星)	 还算凑合吧。。。            
(NA)	 男人            
(4星)	 喜欢上了陈浩民            
(5星)	 这部连续剧是所有金庸作品中最神似原著又找对演员的,TVB的经典之作.            
(4星)	 当时很迷萧峰  班里的同学疯狂的一致  我就纳闷  为什么大家都喜欢老男人呢  原来 我们都长大了            
(5星)	 喜欢黄日华演的萧峰。            
(5星)	 http://www.imdb.com/title/tt0827972/            
(5星)	 无崖子啊啊            
(5星)	 最喜欢这个版本了            
(5星)	 美丽的段誉和王语嫣。            
(3星)	 香港的电视剧喜欢偷工减料，少了好多内容            
(4星)	 覺得這一版的段譽特別帥！            
(4星)	 挺喜欢这个版本的            
(5星)	 帮帮主乔峰（黄日华 饰）英雄盖世、义薄云天，偏偏爱上了江湖邪派星宿派的女弟子阿朱。阿朱阿紫两姐妹是在执行任务时邂逅乔峰，阿紫同时亦爱上了姐夫乔峰，后来阿朱不行惨遭毒手，阿紫就一直跟着乔峰，希望他也能爱上自己。同时，丐帮派的阴谋党揭出原来乔峰是契丹人，逐将乔峰逐出了丐帮。　　另一方面，大理段王爷的世子段誉（陈浩民 饰）外出游玩，路上邂逅了燕王后裔慕容复一行人。段誉被慕容复的表妹王语嫣的美貌所倾倒，无耐王语嫣一直钟情于表格慕容复。段誉偶然习得了凌波微步和六脉神剑的剑气，自此更是步步跟随慕容复一行人，企图获            
(5星)	 乔峰就是这个乔峰，虚竹就是这个虚竹，段誉也就是这个段誉。            
(5星)	 最感动的一部            
(5星)	 1997年香港TVB版            
(5星)	 最喜欢这版            
(3星)	 .....            
(4星)	 最好的一版天龙八部            
(5星)	 偏爱段誉            
(5星)	 又一部经典            
(NA)	 喜欢段誉            
(NA)	 点解演过小龙女就一定要演埋王语嫣。。。囧。。。            
(5星)	 喜欢萧峰            
(NA)	 经 典            
(5星)	 最喜欢的一部金庸作品            
(3星)	 黄日华老当益壮！            
(5星)	 演员不是一水的美女 但各有千秋            
(4星)	 这一版确实不错了，大家都很入戏            
(3星)	 因为李若彤看的            
(NA)	 黄日华的乔峰是我的最爱            
(4星)	 曾经疯狂迷恋            
(NA)	 天龙八部            
(NA)	  天龙八部             
(3星)	 小时候陪我姥姥看的            
(5星)	 一个好的角色70%来自演员，30%来自配音。陈浩民的饰演加上叶清的配音，这个段誉已经高于原著了。            
(4星)	 老男人年轻时-0-            
(5星)	 回忆啊~很喜欢这个版本            
(5星)	 男子汉，义气，豪爽，侠之大者。            
(5星)	 黄日华以前演虚竹那版好看。            
(5星)	 好看            
(3星)	 小学时候段姓同学一直跟我吹他是大理段氏            
(4星)	 经典            
(NA)	 萧峰答应过阿朱要陪她塞上放马牧羊，可是最后还是没能做到，很多事情就是这样的无奈```            
(NA)	 当年很喜欢阿朱            
(2星)	 对金庸崇拜是一件事   不喜欢这种片子是另一回事            
(NA)	 看了三遍            
(4星)	 经典版本的天龙八部。其实个人还是满喜欢林志颖版的段誉。            
(5星)	 小时候好喜欢的段誉~~~~              
(4星)	 主题曲            
(5星)	 还是这个版本好看            
(4星)	 还是觉得这版拍的好，看了电视后把小说又一字不落的看了一遍...            
(5星)	 第一次看喜欢段誉小生 后来更欣赏大侠乔峰 虽然愚忠（080622）看一遍悲一遍，果然时光流逝心境也不同了（111204）            
(5星)	 小時候看了不知多少遍＝ ＝            
(4星)	 黄日华的乔峰无人能及            
(5星)	 好看好看            
(4星)	 要是只演萧峰一个，那就无比经典了，，，，            
(NA)	 陈浩民版的段誉太可爱了            
(4星)	 陈浩民啊~            
(5星)	 经典啊经典            
(4星)	 大家都爱段誉。            
(NA)	 我心中的英雄就是萧峰……            
(4星)	 还不错的            
(5星)	 段郎            
(5星)	 我只承认这个版本。最爱段誉。            
(4星)	 和我老爸一起看的            
(5星)	 李若彤啊李若彤！好有幻想啊            
(NA)	 为什么喜欢呢？因为乔峰太义气了，王语嫣太漂亮。            
(4星)	 百看不厌的一版~            
(5星)	 曾经很迷。。。            
(4星)	 话说比大陆版本好看些            
(3星)	 黄日华演得最出彩的角色吧？话说中学时很多人都模仿他的动作的            
(4星)	 惜乔峰            
(4星)	 暑假必看之一            
(5星)	 这部电视一股侠气四溢！            
(5星)	 结构紧凑 情节流畅 演技一流 绝佳武侠片            
(3星)	 现在觉得武侠片好假，小时怎么那么爱看？是现在想像力退化了吧。。。            
(5星)	 我怎么这么喜欢这版乔峰            
(5星)	 经典            
(4星)	 还是喜欢黄日华的萧峰，陈浩民的段誉。            
(5星)	 复杂的爱情            
(NA)	 黄日华！            
(4星)	 段誉            
(4星)	 乔峰好MAN，兄弟情很感动！            
(4星)	 以萧峰取胜。            
(NA)	 曾经很爱那个段誉~            
(4星)	 我还是想说，我就是很喜欢这版的阿紫。            
(4星)	 当时播放创下收视大记录            
(4星)	 好看            
(4星)	 陈浩民的段誉，很生动。            
(5星)	 天龙八部            
(3星)	 这个倒不如央视版            
(4星)	 确实是TVB武侠剧的巅峰之一了。片尾那叨叨歌如今还回响在耳边。。。            
(5星)	 本以为这部没交代段誉的身世。前几天看到粤语版的才知道是国语版中把那段cut了。真不知道那些人怎么想的。            
(NA)	 人物是很多，不过感觉蛮清晰的！而且很遗憾，没有欣赏的            
(4星)	 李若彤的王语嫣，美哉美哉            
(4星)	 喜欢黄日华            
(4星)	 好看过大陆版。            
(4星)	 道具和场景假了一点，段誉的MM次了一点。。。            
(4星)	 经典            
(5星)	 不错            
(4星)	 黄日华和陈浩民很合适            
(5星)	 传世经典            
(3星)	 断断续续看的，喜欢陈浩民，不喜欢虚竹            
(5星)	 喜欢乔峰！            
(3星)	 因为只能做阿朱，所以爱萧峰。            
(4星)	 黄日华演出了大侠的味道。李若彤是继王祖贤之后最适合演古装美女的。            
(NA)	 大学和他们一起看的            
(5星)	 我去 太经典了 没话说             
(NA)	 。            
(NA)	 虚竹大蛤蟆眼！            
(5星)	 也好爱            
(4星)	 这样狂添看过的连续剧添几天几夜都添不完哦            
(5星)	 多经典啊            
(4星)	 演小龙女的总要演王语嫣，演傻和尚的长大了也可以演大侠。。。翩翩公子却总是当时的。。。            
(NA)	 大爱这版的乔峰、            
(4星)	 我只对段誉感兴趣，哈哈！            
(NA)	 难念的经            
(4星)	 黄日华,还有那个马夫人演得好            
(3星)	 很喜欢陈浩民饰演的段誉            
(3星)	 断断续续放假回家看的            
(5星)	 怀念            
(4星)	 满满意的一部，最喜欢里面的段誉。            
(5星)	 喜欢乔峰的豪气.真男人.            
(5星)	 虽然当时的条件设施什么的没有现在好，场面不够大，效果不够完美，但除了客观条件，其他都比现在的好。理念啊理念，大家闭关想的就只有一个，怎么做好一部戏。现在演员同时能拍好几部，我就佩服他们都不会演串。            
(5星)	 最喜欢这一版的！            
(4星)	 还不错，但是乔峰的造型实在粗鲁            
(3星)	 不错。。            
(3星)	 不喜欢港武侠，太模糊了，不大气            
(4星)	 乔大侠            
(4星)	 小学看过，翡翠台播放的，当时好像感觉很好看吧            
(5星)	 比央视拍得好很多阿！！！            
(5星)	 神仙姐姐            
(5星)	 今年暑假湖南台有放了一遍，我又看了，            
(2星)	 不明白慕容复怎么可以这么难看？            
(4星)	 这个版本的也很好看            
(4星)	 里面的段誉我最喜欢            
(5星)	 突然有一天晚上很想看天龙八部            
(4星)	 还是觉得港版的好看，黄日华演的好            
(NA)	 太喜欢看了，不知道看了几遍了都            
(5星)	 当年梦中情人：黄日华版乔峰            
(4星)	 最好看的版本，内地的太恶了……            
(5星)	 金庸里面最好的一部了            
(4星)	 港剧武侠里最喜欢的一部！尤其是OP的主题歌，喜欢！            
(5星)	 李若彤好看呀            
(4星)	 这个没看完，要补课。            
(4星)	 懷舊起來了 - -！哈哈            
(4星)	 太喜欢陈浩民演的段誉了            
(NA)	 小时侯 那段岁月            
(4星)	 演员选得很到位            
(NA)	 天龙八部            
(4星)	 看了好几遍了~            
(4星)	 喜欢虚竹            
(5星)	 狂喜欢陈浩民演的段誉            
(5星)	 还是TVB会选演员!            
(4星)	 浩民哥哥凭借段少爷一举成名！            
(4星)	 这个版本的片子现在很难找到了！            
(4星)	 里面的演员和他们的演技都不错。相对于别的版本，整部电视剧感觉很质朴。            
(5星)	 钟意黄日华的大气，陈浩民的逗趣，樊少皇的大眼～            
(3星)	 李若彤似乎生来就是王语嫣；黄日华的萧峰气壮山河            
(4星)	 我喜欢这个版本的            
(1星)	 阿朱太丑了，道具服装还有港台腔都不喜欢            
(3星)	 凌波微步啊。。。            
(4星)	 喜欢这一版。            
(5星)	 这个版本最好            
(4星)	 继续萌女主...            
(5星)	 这是最经典的一版了吧            
(4星)	 继续萌女主。。&gt; &lt;            
(4星)	 补遗            
(4星)	 7.2            
(4星)	 还是港版的好看            
(5星)	 超神了            
(4星)	 我最喜欢的其实是阿紫，敢爱敢恨。再可恶的人都值得爱和被爱。            
(NA)	 更爱原著，不过大爱黄日华的萧峰            
(5星)	 可怜今日华哥跑去好莱坞跑龙套            
(4星)	 这部港剧成就了太多经典，黄日华成为永远的乔峰（虽然很多人喜欢胡军版，但我依然很执着地喜欢着黄日华版），陈浩民成为永远的段誉，李若彤成为永远的神仙姐姐。            
(5星)	 中学时代金庸笔下最喜欢的莫过于乔峰            
(5星)	 经典            
(5星)	 [补]。现在偶尔听到主题曲还是会很激动            
(5星)	 书上的人，又何尝不是世上的人。            
(5星)	 对于木婉清  有种特别的喜欢.........            
(5星)	 经典            
(5星)	 金庸之我最爱            
(5星)	 这两天正在复看这个电视剧。当看到乔峰看父亲留下来的血碑时，总是想起来袁腾飞说香港导演就是文盲，碑上刻的是蒙古文，还不如刻英文。            
(5星)	 王小姐！！            
(4星)	 发现我真是她的脑残颜饭啊            
(5星)	 天龙八部是我的最爱，其中最爱的是萧峰            
(5星)	 真心好看            
(5星)	 小学时代的夏天。真的很经典            
(5星)	 小时候好迷得电视剧            
(NA)	 “我居然看过这么多电视剧。”            
(5星)	 最完美的一部天龙八部            
(4星)	 经典啊。            
(5星)	 看的时候只对虚竹不劳而获一下子成武林高手有感觉，其余的都苦哈哈的不喜欢。现在回想起来，最喜欢同时也最让人扼腕惋惜的人物是慕容复            
(3星)	 这部蛮经典的            
(5星)	 唯一一部从头看到尾的金庸作品            
(4星)	 现在脑子里还回响起主题曲            
(5星)	 一个字，赞！！            
(4星)	 老版虽然特效稍逊一筹但不可否认经典还是经典            
(5星)	 经典            
(5星)	 超爱            
(5星)	 2012年春节假期里重温的一部电视剧。经典！小时候看电视的回忆。            
(4星)	 乔帮主就是黄日华，黄日华就是乔帮主！            
(NA)	 这个很好看啊            
(3星)	 港剧中单一人物性格塑造的巅峰，《难念的经》也非常好听，但在剧情的安排上很有问题，而且像很多TVB剧集一样虎头蛇尾。            
(NA)	 陈浩民演技好烂啊 小时候我还喜欢他-。-            
(5星)	 应该再看一遍，重温一下            
(5星)	 主题曲是记忆最深刻的 还有那个不好看却诠释的很好的阿紫            
(5星)	 无人能出其右            
(5星)	 经典呀经典！满是童年武侠的印象~~~凌波微步，一阳指，降龙十八掌。。乔峰大侠，段誉公子，王语嫣美人~~~还有曾经的樊少皇T.T多么清纯的虚竹~~~            
(5星)	 爱死段誉了啊。。。            
(4星)	 怎么能不看！！            
(5星)	 黄日华演的乔峰难以超越了，唯一美中不足的就是他个子太矮了。樊少皇演得太傻了，其实他的外形很适合演虚竹。段誉非常好看。慕容复不够帅。所有版本中还是82年的慕容复最合我心。武打设计稍微差了一点，但还是非常不错的。            
(5星)	 最喜欢了            
(3星)	 这部好就好在大陆的配音            
(4星)	 小时候看过，角选的好~何美钿版的钟灵萌翻了~~~            
(4星)	 地方台放的，从来都没有结尾，还是在网上看全的。            
(5星)	 三个男主都是我的心头好啊= =            
(4星)	 虚竹变萧峰 正太变蜀黍            
(5星)	 最棒的一部，主题曲太霸气了，我喜欢            
(5星)	 太经典了！！！            
(5星)	 没的说  我的最爱  武侠剧            
(5星)	 经典啊经典            
(5星)	 最喜欢的一版，其他版本几乎没看过~            
(3星)	 我感觉一般般            
(5星)	 这个版本的乔峰印象最深，真男人            
(4星)	 段誉每次喜欢一个人，他爹都会说：“你妹啊”            
(5星)	 侠骨柔情            
(4星)	 最喜欢这一版的段誉            
(5星)	 矮油。。好看死了。。小时候好爱            
(5星)	 真心好看！！！            
(4星)	 挺经典~            
(5星)	 乔峰            
(4星)	 综合评价最好的版本            
(5星)	 最喜欢的金庸剧就是天龙八部            
(5星)	 必须5星这个我现在都有再看一遍的冲动。。。            
(5星)	 心目中的经典。至今仍常常和寝室的姐妹们叨念。            
(5星)	 同样影响我十几年人生的金庸剧。。。阿紫在看到乔峰失手打死阿朱的时候爱上了他。。。而我在5，6岁的时候看到乔峰在雨天用手为阿朱挖着墓的时候就情根深种了。。。。。【话说这版阿朱真心不美貌~~后来看到胡双下巴版的刘涛惊为天人啊。。。            
(5星)	 英雄气短，儿女情长            
(5星)	 当年樊少皇还是个正太和尚,现在都是个三大五粗的大叔了..哭            
(5星)	 天龙八部最好看的一版~            
(5星)	 永远的经典！！！            
(4星)	 经典。            
(5星)	 黄日华版的乔峰最高啊。            
(5星)	 特别喜欢看段誉和王语嫣在一起            
(5星)	 心目中最经典的版本！            
(3星)	 除了喜多郎的音乐，其他真的是太糟糕了            
(5星)	 看过的最棒的一版天龙八部了... .            
(4星)	 难念的经是我最爱的电视剧主题曲，没有之一            
(5星)	 这才是回忆。            
(5星)	 经典的            
(4星)	 这个版本的还行            
(3星)	 原来看我过这么多电视剧——那个时候陈浩民还是个好男人……            
(5星)	 最经典不容撼动版            
(5星)	 好看······            
(5星)	 无语推荐            
(4星)	 白天实习，晚上看剧。最后几集太虐了            
(4星)	 只记得片尾曲了~~~噔噔噔~噔噔噔~噔噔噔噔~~            
(5星)	 儿时的回忆，至今难忘。。回味无穷。。。            
(NA)	 小時候的記憶啊。。             
(3星)	 我那个时候只觉得，乔峰的扮演者充分体现了“丐帮”这个词            
(3星)	 段誉哥哥好可爱            
(4星)	 半年时间温习毕。编剧真不错，比原著拖沓文字清爽的多。佛国即是金庸的理想国。老头年轻时候八成也是一风流才子。            
(5星)	None
(5星)	 神仙姐姐~~~~~~            
(NA)	 你妹啊！            
(5星)	 手贱在搜狐上点了第一集看,即便是现在看来,依然是和小时候一样好看啊...            
(4星)	 这不是电视剧嘛。。怎么在电影里头了=3=            
(5星)	 一个人的一生，能有一部射雕、一部天龙八部，足矣            
(5星)	 经典版本            
(5星)	 虽然觉得虚竹丑。。。但是好像很符合原著。。。还觉得阿朱不好看。。。            
(5星)	 第一部看的天龙八部，真的是一部永流传啊            
(5星)	 虽然不是perfect但也不失为一部经典之作            
(5星)	 想当初我是多喜欢段誉啊，为啥喜欢的银生活和戏中都差距这么大            
(5星)	 我最喜欢的是乔峰。快意恩仇。爱恨分明。头脑清楚。            
(NA)	 算经典吧            
(5星)	 还好香港台湾没被解放，要不然大家都要看央视的垃圾            
(5星)	 经典啊，陈浩明除了封神榜就是这部戏最经典了            
(5星)	 多少次都看不够            
(5星)	 我爱这部爱到买正版碟珍藏            
(4星)	 难念的经            
(5星)	 绝对经典~~超级好看！！            
(5星)	 罔罔尘寰随风散，悠悠因果皆随缘。我们的乔帮主，你此生的身不由己，我们的肝肠寸断。            
(5星)	 古装剧高峰            
(NA)	 黄日华哟亲 黄日华哟 - -。。。            
(4星)	 除了李若彤和木婉清，没有好看的女的            
(5星)	 我的青春啊！baga            
(5星)	 永远的乔峰 ，永远的段誉，永远的虚竹，永远的天山童姥，永远的王语嫣，永远的...            
(4星)	 还是这部好看，女的个个看着都顺眼            
(4星)	 ...            
(5星)	 不能被超越了            
(5星)	 最赞的一部            
(NA)	 荡气回肠。            
(5星)	 阿珠，阿紫            
(5星)	 又一童年时候的经典。            
(4星)	 乔峰不是许仙，所以不会有红玫瑰与白玫瑰之别，不会有朱砂痣和饭粒子的选择纠结，这是朱紫的幸还是不幸？            
(5星)	 十多年后重温一遍  萧峰太悲催了 虚竹就一快乐的小二逼  鸠摩智就以傻逼  段正淳套路太深了            
(4星)	 其他翻拍版本都很烂。            
(5星)	 被毒害了            
(5星)	 超经典            
(4星)	 最近有广告，是天龙八部的。过来报道一下。            
(4星)	 这个挺喜欢            
(NA)	 还是李若彤！！！            
(5星)	 儿时的这一版本太经典了！每个角色都很到位！豪情盖世义薄云天的乔峰更是令人印象深刻！为了阿朱伤心终生，为了一个承诺带着阿紫去漫天风雪的长白山挖人参！率领燕云十八骑独闯少室山大战天下群雄！太给力了！！两个兄弟也被刻画的很鲜明！！喜欢喜欢再喜欢！！！！！            
(5星)	 超爱这部里头的黄日华，无人能比啊。阿朱虽然不好看，她死的时候我也哭死了。。。            
(5星)	None
(5星)	 当年看得很high 主题曲棒啊            
(5星)	 独爱李若彤版            
(NA)	 是不是真的有这样快意恩仇的江湖和那样桀骜洒脱的男人？            
(5星)	 乔峰....            
(4星)	 哦小时候~多爱啊~每一枚都很有爱~            
(4星)	 乔帮主登基大作。。            
(4星)	 经典啊·················            
(NA)	 段小王爷~~            
(5星)	 众多版本中，最喜欢这部了，很经典，最难忘黄日华的萧峰。            
(5星)	 大二第一学期的下半学期，好的            
(4星)	 我最喜欢的 竟然是 木婉清。。。            
(4星)	None
(4星)	 段誉前段时间猥亵女星了是吧            
(4星)	 很多人都认为这部是历次拍摄中最为经典的一部！当然，我认为其武侠气息的体现以及武打效果都很合我的胃口，但是有一个硬伤——武林大会就那么几个人啊？！所以，在某些大场面的确差强人意！但是，由于TVB老道的拍摄技巧，反而比大陆翻拍的那版要更有味道，即便大陆翻拍版的设备、特技、画面更好一些~            
(NA)	 ……            
(5星)	 看此剧，哭过两次：一次因阿朱之死，一次为萧峰之死            
(4星)	 印象里这部剧总是跟寒假过年有关，所以前几天看到最后一集放片尾曲时竟然勾起我对少时过年那种久违了的年味感觉的再度回忆。那时还小，完全是跟着大人一起看的，直到某年暑假，我终于能看得有滋有味，大约看懂了一些            
(4星)	 港剧情义            
(5星)	 什么是经典，这就是！            
(5星)	 播烂了都。            
(5星)	 风流倜傥的段誉如今只剩风流了。。。            
(4星)	 经典            
(5星)	 最经典的天龙八部            
(5星)	 这才是经典            
(5星)	 好看            
(4星)	 记得那时电视刚播 哥哥拿着繁体的龙字问我认不认识 那个时候已经很少碰见不认识的字了 被挫了才开始看的            
(5星)	 最经典的天龙八部，黄日华就是我心目中的乔峰。            
(4星)	 当年的段誉，如今也毁的差不多了，好在李若彤姐姐真是个神话            
(5星)	 无法被超越的一版。            
(NA)	 段誉。。。            
(5星)	 最好的一个版本，音乐超5星            
(5星)	 太喜欢黄日华扮演的乔帮主了~~~~~~~~~~~~~~            
(NA)	 我喜欢虚竹 囧            
(3星)	 不喜欢这种风格的。怪怪的。            
(5星)	 最好的乔峰、段誉、阿朱、阿紫            
(5星)	 难以超越的经典，无论是乔峰的霸气，还是段誉的灵气。百看不厌             
(5星)	 两个字，经典。            
(5星)	 难念的经、            
(5星)	 段誉好帅！！！！虚竹好萌！！！！！            
(4星)	 喜欢逍遥派~            
(5星)	 重温一遍            
(5星)	 且当美好回忆，不知道评分为什么这么高，TVB的武侠向来改动原著太多。            
(5星)	 这个还要多说什么吗            
(5星)	 这个喜欢这个乔峰            
(5星)	 绝对经典            
(5星)	 降龙十八掌            
(5星)	 李若彤好美            
(5星)	 永远的经典            
(3星)	 虽然黄日华饰演的乔峰已经很出色了，但我还是更喜欢胡军版的乔峰。这部戏唯一遗憾的除了李若彤其他女演示外型实在太差，比内地版差的不是一点儿半点儿。三星半。            
(NA)	 小时候很爱，现在也爱看，但许多价值观和行为方式已经完全无法接受，而且经常觉得金庸猥琐，所以一边掐自己脖子一边觉得好看。黄日华版萧峰气质大好！            
(4星)	 重温一下，感觉主题曲挺好听的~~            
(5星)	 最经典            
(4星)	 最爱萧峰，黄日华演出了精髓和气魄。            
(5星)	 没有理由为什么不看 ...虽然我不喜欢武侠            
(4星)	 最喜欢这些人马的版本            
(5星)	 珍藏。            
(5星)	 少林寺大战，太有劲儿了            
(5星)	 种族间的问题真复杂。            
(5星)	 这个绝对无法超越的，以后再怎么重拍都是徒然~！            
(5星)	 乔峰告诉我们民族主义有多么害人，段誉告诉我们天下有情人终成兄妹，虚竹告诉我们快餐的最高境界。荡气回肠，命运纠葛。我可是要成为扫地僧的男人。            
(4星)	 这戏当年看得~~            
(4星)	 97版，最喜欢的一部。。。            
(4星)	 经典            
(5星)	 喜欢钟灵            
(5星)	 最好看的天龙八部还是这部，            
(NA)	 段公子~~            
(5星)	 陈浩民这好好地段誉现在怎么变猥亵大叔了            
(5星)	 永远的经典            
(5星)	 最喜欢乔峰，英雄盖世            
(5星)	 降龙十八掌，乔帮主！            
(4星)	 我相信绝对有很多很和我一样因为这部剧喜欢陈浩民            
(4星)	 一切关系都那么复杂，一切剧情都那么巧合，一切进程都那么迅速。不过还是很经典。            
(5星)	 阿朱，灵儿，木婉清。            
(5星)	 经典啊            
(4星)	None
(NA)	 喜欢。            
(5星)	 武侠片的启蒙老师了，记得当初学都不去上，就看它            
(4星)	 黄日华演的太好了！            
(5星)	 虐的要死的乔峰。最后两兄弟对着空气敬酒那段看得我眼睛酸酸的另：阿紫这样狠毒的女子真的有人喜欢吗？            
(5星)	 小学三年级            
(5星)	 刚刚又过了一次。开头改编的很好            
(4星)	 我一直觉得我没看过多少电视剧，不过有时回想起来觉得还蛮多的嘞！            
(4星)	 段誉哥哥在红尘路上一去不回头了            
(5星)	 超喜欢。跟小时候的感觉不一样了。感觉觉悟提高了些~            
(5星)	 最好的一版            
(4星)	 小时候最喜欢tvb拍的金庸武侠剧了            
(5星)	 黄日华            
(5星)	None
(NA)	 陈浩民的段誉            
(5星)	 命里有时终须有，命里无时莫强求            
(4星)	 大二还重温了一遍呢~            
(3星)	 儿时的回忆，段誉用手指头把酒逼出来的剧情成了永远            
(5星)	 不知道该说什么好了 好多人物我都爱 不过最爱乔峰 心目中的大侠完全就是这样子 豪气云天 完全的光明磊落 最后的悲剧也是大爱 是悲壮。            
(5星)	 播一次，就看一次，估计我爸看了不下十遍，我就跟在旁边看断断续续看完了。            
(5星)	 很久以前看过的补上评分            
(4星)	 喜欢李若彤            
(5星)	 矮油！！！！！！！！！！！！！！！又是可以背诵的。。。我还会唱主题歌呢！！            
(4星)	 小时候喜欢段誉 ，现在喜欢乔峰，不变的是不喜虚竹那个支线。现在才知道，天龙里面最不喜的几个情节，都是出自倪匡的代笔戏弄，倪匡害人也。ps.主题曲大爱            
(5星)	 那时候的王语嫣。那时候的乔峰。那时候的阿朱。就这么在心里扎了根。            
(NA)	 赵学而啊            
(3星)	 经典片，补课。            
(5星)	 好戏。            
(4星)	 经典            
(5星)	 黄日华经典之作啊～            
(4星)	 黃日華演的印象太深了            
(5星)	 小时候看了N遍啊 每次放假都有 呵呵 很怀旧啊            
(5星)	 重温~~            
(5星)	 金庸剧里各方面来说最好的一部，演员，配乐，歌，特技。。。高中时候追着看            
(5星)	 王语嫣啊王语嫣..            
(4星)	 段誉！            
(5星)	 这个都不知道看了多久了  但绝对是最好看的一个版本  歌也很喜欢            
(5星)	 太完美了            
(4星)	 亲爱的段誉和神仙姐姐~~~            
(5星)	None
(5星)	 乔峰的降龙十八掌真是无人能敌~终于明白了，原来倚天剑就是杨过送给她那把剑修炼的，屠龙刀上的秘籍是郭靖临死前把九阴真经和武墓遗书修炼的精髓！            
(4星)	 了解金庸系列第二季            
(5星)	 禁止超越的终极经典 ！            
(5星)	 最喜欢这个版本啊！！！！            
(5星)	 最喜欢的一部武侠片，觉得剧中的场景也特有中国风味。            
(3星)	 最让我心动的不是段誉是凌波微步。            
(5星)	 这是我最爱之一啊            
(5星)	 英雄往事情。            
(5星)	 小时候的最爱啊！            
(5星)	 终于看完被删减的那一段悲剧了。。            
(4星)	 虽说这部很经典，但还是更喜欢胡军版的            
(5星)	 看了好多遍            
(4星)	 经典！            
(NA)	 黄日华            
(5星)	 我最爱这版得天龙八部，段玉，乔峰，虚竹，王语嫣都很到位            
(NA)	 cei懵懵懵cei懵懵懵cei懵懵懵cei            
(5星)	 应该是我初中时最爱看的之一            
(5星)	 剧情什么的不说⋯⋯原声好听啊！   而且  陈浩民的段誉是最好看的段誉了            
(5星)	 最好的天龙八部。            
(5星)	 又一经典力作！！好看！！！我爱段誉也爱虚竹~~~~            
(5星)	 喜欢&lt;难念的经&gt;            
(5星)	 经典            
(5星)	 Sooooo经典            
(5星)	 华版的天龙能让我看到真正的英雄             
(5星)	 黄日华算是金庸笔下大侠专用户了吧，袁承志、郭靖、乔峰、胡斐，貌似跨度还挺大的。。。            
(4星)	 旧的也是经典啊            
(5星)	 最爱乔峰            
(5星)	 丰满的人物，总能看到自己的缩影            
(4星)	 虽然改动较大 不过还是喜欢这个            
(5星)	 黄日华把乔帮主的形象塑造得非常逼真。            
(4星)	 神仙姐姐好美。            
(5星)	 经典无需多说            
(5星)	 最经典版本的天龙            
(5星)	 还有4集就再次奋斗完这部了，演员细节很到位，表情动作细节比现在的古装细致多了。            
(5星)	 不管以后的版本画面有多美场景多大都永远无法取代这部的经典地位，以及那首难念的经            
(5星)	 印象极其深刻            
(5星)	 最牛逼的天龙八部            
(NA)	 经典就是经典            
(5星)	 印象最深的就是乔峰的降龙十八掌，比在射雕英雄传里的BUG多了~~            
(5星)	 十多年了姑姑还是没怎么变啊            
(NA)	 陈浩民的段誉太逍遥了~~~            
(5星)	 爱就是爱，不爱就是不爱            
(NA)	 神一般的电视剧，此版也！            
(5星)	 最喜欢陈浩民版本的段誉。            
