http://movie.douban.com/subject/3864306/	谈情说案
(NA)	 为什么内地要2逼的翻译成谈情说爱。。。。。            
(3星)	 拜托就算世界大同了也没说你每部剧都要拍对好基友呀TVB= =            
(NA)	 原来、生活中处处有物理、            
(3星)	 集集莫名奇妙夹物理。            
(4星)	 蛮扯的            
(3星)	 虎头蛇尾            
(2星)	 套剧的价值观很有问题，各种仇富。巨讨厌女主，喊个头啊噪声扰民魔音穿耳好么亲！完全是为了马明同碧儿那条线看的。            
(3星)	 有了景教授，还要法证干什么~            
(3星)	 短评里一句“这片就看马明了吧”双手双脚同意T^T。马明我为了你要忍受一个装镇定的二头教授，一个风风火火得很作的女警花，还有一个比你脸还要大一圈的老婆。这部戏难道不是诉说一个烂男人和一个贱男人的爱情史么？出彩点不是案子里几个变态么？弃了一个月都没想起来的抄袭剧真是让人浑身疼……            
(4星)	None
(3星)	 所有角色都是那么不讨喜。            
(NA)	 真的应该叫&#34;谈情说爱&#34;            
(2星)	 因为多了谈情成分就比日剧多了十几集，好水好水~            
(4星)	 并不是每个犀利妹都找得到Professor King             
(3星)	 结局有点很不现实。。            
(3星)	 无@Home            
(3星)	 灰姑娘的故事...有点假 喜欢看谈情部分 说案实在是不喜欢 可以给两星半么？            
(2星)	 编剧抄袭的不止一点点  而且还抄的非常烂             
(4星)	 爱情到底是苯胺基丙酸还是多巴胺？            
(3星)	 抄抄日剧，抄抄美剧，TVB又一年。            
(4星)	 林峰很帅，杨怡脸太长，剧情不敢恭维==            
(5星)	 杨怡真是让人感觉很舒服的女生            
(4星)	 大半夜看的泪流满面。。            
(3星)	 再看正常的tvb就只舍得给三星了            
(3星)	 无聊的时候看的，身边的同学说这是部港剧探案加偶像的失败之作，看完之后觉得也没那么糟糕啦，剧情还是挺饱满的，林峰和杨怡的对手戏感情很足，有小小触动，不过穷人家女孩恋上富豪子的设定。。TVB你还能不能再老套点？            
(3星)	 一个物理教授是要懂多少啊，Pro.King 实在太完美了！            
(3星)	 这两天追完啦，哎哟喂~            
(3星)	 情谈得略多 案说得太少            
(2星)	 自此。对林峰的印象一路下滑。什么叫笑得假。这是最好的教材。            
(3星)	 你看，他要等到看清富家女没有你那样善良的心地，才会又想到追回你，你看，如果不是他的父母改变态度，他将会把你永远放弃。 　情话虽然动听，但这感动的背后，藏了多少不堪追究的心情。             
(3星)	 这个上的杨怡，有点让我失望。。            
(2星)	 看了两三集就没看了~            
(4星)	 编剧不擅写情戏，so案情部分还比较能看和有趣；有几处整蛊情节的配乐恰到好处，诙谐之感跃然心上；喜欢kings这个角色，希望自己像他那样稳，也喜欢犀利妹，希望另一半像她善良乐天富有勇气不轻易放弃；kings合林峰演，小宇宙转速极快但内敛不善人际关系的科研人形象基本到位，杨怡有两场哭戏颇为动人。            
(4星)	 剽窃伽利略。            
(3星)	 感情线不好看。案子还行吧。            
(5星)	 莫名其妙觉得这个特别好看！！！这里峰少真帅!            
(3星)	 人物还算能接受吧。曾经意气风发的小生们，都被TVB磨老了,完全看不到杨怡和少爷在里面的火花            
(3星)	 主要看林峰去了            
(4星)	 最爱 Lor Sir 的生活方式            
(3星)	 给三颗星是给Gorden和Nicheal的，剧情很瞎，特别是跟案情有关的剧情，瞎，超级瞎。            
(3星)	 弱弱地表示，看了一半放弃了。可能是法政先锋和潜行狙击先入为主了吧。            
(4星)	 不记得了            
(4星)	 只是喜欢马国明而已            
(4星)	 其实我是想给三星半的，不难看。林峰终于可以演帅气的王子，可我还是比较喜欢从前的林峰，喜欢他在寻秦记中饰演的赵盘的样子。没有了憨憨的亲切感，现在的林峰只是个普通帅哥了。。。            
(3星)	 觉得马国明很有爱            
(2星)	 这么多人追看估计都是为林峰吧..这戏我真心看不下去，亏我期待了很久...杨怡很漂亮。以上。            
(3星)	 三星是给演员的 除了林某人            
(2星)	 导演很喜欢杨怡哭吗，为什么动不动就龇牙咧嘴的哭            
(3星)	 案子神马的完全是浮云。。。。都是在谈情。。。完全没法证先锋里的案情好玩儿。            
(3星)	 案子写得跟傻逼一样。擦。            
(4星)	 一般般了            
(2星)	 林峰烂片王            
(3星)	 说案给三星，单是谈情就只能给两星，综合两星半。叫兽太弱气了，还是个渣男？于是渣男和圣母？这大概是我最讨厌的林峰的角色= =杨怡则是太二，哭得那段真让人胃疼= =家人转得表太生硬，各种离谱            
(5星)	 2010年最好看的tvb戏，无奈那年的戏都狗血得一塌糊涂，这部戏让我保持追tvb的动力，终于没看到三角恋的苦戏，林峰终于演绎了一个完美男人的化身，让杨怡千年老二终于野百合盼到了春天，廖碧儿和马国明的炮友关系算tvb这几年最儿童不宜的色彩了，看客久逢甘露啊，虽然抄了神探伽利略的桥段，运用的科技            
(3星)	 我是怎么会看了一部TVB啊，一年前的我是多么单纯            
(4星)	 TVB版的《神探伽俐略》吗。。。            
(4星)	 林峰的气场呢？连马国明都比你帅了 你是想闹哪样啊            
(5星)	 给下鼓励，不能跟老的比，算新的里面吸引我的了。            
(NA)	 杨怡弱爆了!!!            
(4星)	 上周末，跟妈妈一起晒太阳，她绣十字绣，我打毛线。她在看这部片子，我也就顺便看了几眼，被那个物理教授吸引了，想当年我就暗暗喜欢过物理超好的男生啊。物理跟生活息息相关，而且需要缜密的思维，认真工作时候的样子很帅，不单是外表上的，呵呵。            
(3星)	 很治愈系的TVB片子，放松身心。重感情的人都容易受伤，付出很多，不见得有回报。幸好有港剧总是告诉我们心地好的人一定有好报，天网恢恢，疏而不漏。可能吧，不管现实怎样，至少看的时候很安慰。            
(5星)	 因为林峰很帅            
(3星)	 没啥太大意思~            
(3星)	 哦！两部最低的一起出现了~哎！只能看看人了            
(NA)	 没看完。            
(5星)	 love you             
(3星)	 恋爱太多            
(3星)	 没一个长得好看的            
(NA)	 不中意 但开了头就一定要看到底            
(3星)	 唯一亮点就是LO SIR啊啊啊啊  剧情完全不着调            
(4星)	 并不是每个犀利妹都找得到Professor King。。            
(3星)	 边陪我妈看边觉得：屁啦，怎么跟神探伽利略比阿！我的柴咲我的福山阿！            
(3星)	 看过这剧发现马明和林峰在我心中都变帅了。杨怡在里面的造型实在差强人意。            
(NA)	 剧情顺畅，最后还是圆满。            
(4星)	 林峰 最劲            
(3星)	 最近港剧看到吐啊真是....= =...男女主角都不喜欢..没办法投入            
(3星)	 唉...林峰的花瓶之作            
(NA)	 111205-111207            
(3星)	 无力吐槽前段大部分大部分马国明的滚床单戏，剧情在我看来也没神马亮点，比起人物设定基本完全相同的日剧神探伽利略，实在是无爱啊            
(4星)	 林峰很帅            
(2星)	 林峰勉强能看看，杨怡看了就反胃            
(4星)	 最后杨怡不应该接受他            
(3星)	 犀利妹失恋后过于夸张，不过作为剧集而非现实，还是挺有感染力的。放下之后生病，kings电话来，哭，那个场景倒是很真实感人。最后的结局在预料之中，现实中却是不可能发生的——不仅是kings不可能回头，犀利妹也不应当再接受的，因为人生是不可逆的，错过就是错过了。            
(NA)	 - -            
(3星)	 这剧当时播的时候很火啊!但是看完后想想,主要是因为主演人气高.说是情节模仿日剧神探伽利略吧,跟港式言情糅合在一起感觉特别怪,而且除主演外那一对的存在我真的看不出意义在哪里.            
(4星)	 面对白马王子的普通女孩，需要很勇敢            
(2星)	 林峰也太装了            
(3星)	 有点失望啊            
(4星)	 林峰闷骚男，杨怡犀利妹，蛮搭的~~            
(3星)	 林峰简直就是个全能啊            
(NA)	 林峰真的是帅到不行啊。            
(NA)	 廖碧儿真的太不好看了！            
(4星)	 看完法政以后浸淫在TVB破案剧中无法自拔啊啊啊！话说马国明在里面扮相还算可以了0.0   PS：kings最后一集的告白很心水：如果真的有轮回，如果我们可以生生世世地相爱，我也只可以再爱她七十亿年。有没有谁可以告诉我，在我有生之年，有没有可能做一部时光机，让我可以回到以前，重新开始，再爱她一次。            
(3星)	 好吧，林峰真心帅了，但是剧情因为在之前看了日神探伽利略 所以。            
(3星)	 又是一部平平剧集··· 林峰在里面演的角色太笨重了，书呆子··            
(5星)	 感动~~~~~~~~~~~今天一下看了剩下的十几集。。。好开心。。。            
(3星)	 我还是觉得男主渣……            
(3星)	 养眼            
(3星)	 最后professor的一段深情表白还是蛮打动我的            
(3星)	 虎头蛇尾            
(2星)	 山寨版伽利略 但跟原版完全不是一个档次~            
(5星)	 超不错了            
(5星)	 女主角要是换别人就好了.            
(4星)	 再爱她一次。。。            
(3星)	 港版伽利略？？PS，爱你70亿年            
(4星)	 这部剧中的感情戏完全不是我的菜，全当科普片在看            
(2星)	 很一般            
(4星)	None
(3星)	 门当户对是很重要的。不要抗拒历史的沉淀。            
(4星)	None
(3星)	 林峰越来越down了。            
(4星)	 抄袭日本的神探伽利略，不过林峰很帅            
(3星)	 马国明帅。。还是对林峰无爱。。            
(NA)	 当年都还在看这个，呵呵            
(3星)	 我只能说杨怡脸长得1B            
(4星)	 剧情什么的都很不错，只是我不喜欢林峰，感觉是这是日剧神探伽利略的翻版，不过不影响观看。            
(4星)	 犀利妹的某句话简直就和我想的一模一样。            
(2星)	 没营养的片子。。。。            
(5星)	 我觉得很科学的一部剧，办案什么的逻辑性规范性也很好。比《读心神探》和《刑警》好看啊。。。            
(4星)	 林峰很帅。。。很帅。。。还是很帅。。。至于男女主角的爱情，那就是个骗人的童话吧，怎么看都不般配。。。            
(4星)	 男二好帅             
(NA)	 kings很不错，有原则有风度有自己的主见，又很窝心，和犀利妹的感情真的很令人动容，差点看哭了有木有。身为马明后备粉的我不禁爬墙！以上是谈情部分，说案神马的就免了吧我当扯淡看的……            
(3星)	 林峰杨怡林峰杨怡林峰杨怡林峰杨怡~~~~~~~话说我并不是冲着他们去的~~            
(NA)	 好久没看TVB，一看就收不住啊            
(4星)	 犀利妹足够勇敢，结局还是完满，其实现实的话可能不会回到从前吧            
(3星)	 到后面就不是很好看了            
(5星)	 喜欢杨怡和林峰在一起，看完这个就知道林峰和潘霜霜的绯闻爆出来了            
(3星)	 这个也不多说，日剧迷懂的            
(NA)	 案件弱爆了，物理弱爆了。物理教授么？海马体是什么？脑科学啊！拆弹是什么？全能啊！你是FBI毕业的才对吧||||||            
(3星)	 看在TVB的份上勉强给个三星，这部剧剧名噱头十足，但是真的谈情谈的不太行，说案又太过模式科学，没有趣味            
(3星)	 这就是改编自《神探伽利略》那个。。。            
(2星)	 很久没看TVB的剧了，看来他们也是知道进步的~节奏还蛮明快的，当然桥段还是那么老土，尤其看到结局你就知道，呃，这么俗一定是TVB。。。其实为什么要大团圆呢，变态科学家当然就应该宅男系。。。            
(5星)	 模仿美剧风中最有意思的一部            
(4星)	 化学反应，哈哈哈            
(3星)	 没看过伽利略，觉得案子不错哦，可惜感情线也太弱爆了吧，欣赏不来杨怡的长相啊，快给我一个卖萌的，please!            
(2星)	 “港版伽利略”？我勒个去@！￥！#@%@男主女主都太用力过度，摁着快进都快躲不过他们，马明童鞋还是规规矩矩的，又是刑警，所以这两颗星全是他的……            
(4星)	 冲着林峰去的            
(3星)	 都是在日本看的啊            
(2星)	 弱智！            
(NA)	 总觉得自己会找到一个更好的，伤害了别人都不知道。这是第一次在电视剧里知道男生们抛弃另一半时的心理活动。。。            
(4星)	 看了廿十遍.             
(4星)	 为了林峰- -可惜他各种打酱油            
(3星)	 看这的时候好喜欢好喜欢林峰，            
(4星)	 有一集气氛很恐怖，什么苯胺肌酸 哈哈            
(4星)	 如果我是徐小丽一定会晕倒，并且在倒下前对professor景说：好啊。            
(3星)	 警匪！            
(4星)	 还有林峯的歌            
(3星)	 喜欢真相里面的杨怡，这里的有点。。。让我喜欢不出的感觉。还有啊，韩马利真是超级有气场的呀！那个，林峰，他真的喜欢犀利妹吗？我是一丢丢都看不出来啊！            
(4星)	 挺好看的。            
(5星)	 五颗星全给LF。            
(4星)	 蛮新颖的TVB警察题材 最后集真不错 不管是大团圆结局还是案情都不错~            
(2星)	 真的不好看。            
(2星)	 谈情，顺便说案            
(NA)	 物理学家分析案情，很别致。            
(NA)	 真心好看啊。大爱 查案片啊。            
(3星)	 故事还成，就是相对于《神探伽利略》，完全是弱爆啦            
(5星)	 虽然有伽利略的影子，案子很弱不过男女主很不错            
(3星)	 也没看完吧..            
(NA)	 Lo sir问Kings：“你喜欢她什么？”kings：“通常明星这么回答——这个问题我不回应            
(4星)	 一直对林峰不是很感冒 看了这部让我对他有所改变 甚至有点喜欢他了 和杨怡很配在这部戏里            
(3星)	 跟日本的伽利略相比之下，真的是很差，但也还有自己的特色吧~            
(3星)	 马马虎虎，现在的剧情真的是让人打发时间而已，真没太多出彩的            
(5星)	 我爱警探马国明！你好COOL！好可爱！            
(4星)	 挺好的！！            
(3星)	 没有7分的打分，差不多看了一个多月，当中太拖沓又肥皂，好在最后一个case还蛮好看的，黄浩然演坏人本名出演啊，其实犀利妹和kingsley到最后不在一起会比较好            
(3星)	 林峰，一点都没有高智商的感觉，只觉得傻里傻气的，别说模仿神探伽利略了，完全没法沾边相比。            
(NA)	 是看的时候想知道接下来会怎么样 但是看完之后还是无限失望的样子的片子            
(2星)	 神马东西，明显模仿日剧好么。。我们的汤川学老师没法被林峰替代。            
(3星)	 好温吞。不好看。谈情的部分反而更喜欢马国明和廖碧儿。            
(4星)	 男女主角都是喜欢滴 当然会盲目推荐一把 港剧都不会太无趣吧            
(4星)	 林峰在这部电视剧的表现很惊艳，个人很喜欢            
(4星)	 感觉是一部近年来比较好看的港剧，其实主要还是男主比较帅了，但是看到后面景博抛弃犀利妹的时候，真的很纠结啊，唉男人的劣根性。。杨怡的演出真的很好啊，，，大爱            
(2星)	 其实本来是还行的 后来看过神探伽利略·· 一比较 这个模仿的比原版的差多啦。。 犀利妹和博士的爱情也有点说不上来 硬凑一起似的··             
(NA)	 是很喜欢林峰的。虽然这剧情是有点抄袭的嫌疑啊。            
(NA)	 这部剧弥补了当年看大唐的遗憾            
(4星)	 演员都很喜欢            
(3星)	 就后两集，还比较有意思～            
(5星)	 力薦!! 我當時超喜歡這電視劇!! 好好睇啊~~~             
(4星)	 挺喜欢的            
(3星)	 干吗要一个物理学家来破案= =            
(3星)	 影响中看过，但是想不起来剧情了            
(2星)	 改编的不伦不类，不过不可否认有一点是这部剧教给咱的，门要当户要对~            
(5星)	 =.= 好难得一部电视剧我可以看第二遍还完全不跳集不快进的 kingsley好帅O(∩_∩)O             
(3星)	 仅此而已            
(3星)	 杨怡真的没法看啊  全靠林峰看完的            
(3星)	 在宿舍和舍友一起看完的.            
(2星)	 典型的tvb剧，看开头就能猜到结尾            
(NA)	 挺好看的 我还哭了            
(4星)	 一星给林峰一星给马国明一星给快结尾时点醒两朵男纸的茶餐厅大叔最后一星给林峰最后的告白~            
(3星)	 太生活化。。。查案的地方太少            
(3星)	 就是对林峰不感冒啊。不太待见这位TVB力捧小生            
(4星)	 犀利妹真的人好好 好喜欢她            
(3星)	 港剧版侦探伽利略......尽谈点爱            
(3星)	 剧情还可以吧 物理方面没有明显的硬伤 就是把女主演的太贱了 哪有一分手就割腕的..... 太脆弱了吧这个            
(3星)	 马明啊马明～果然还是适合这类角色～            
(3星)	 林峰你敢不学我masha叔不..自打寇仲后你咋就没招俺待见过捏....            
(3星)	 马国明不错~            
(3星)	 其中两颗星给廖碧儿。            
(5星)	 是啊，现实的kingsley是不会回头的            
(3星)	 案子都经常~但是其他方面弱爆了！            
(4星)	 欧漏!!!!!Kingsley学术派!!!!!!本氨基丙酸的理论太不切实际了，但是那个要交给隔壁化学系的教授帮他搞定的话还是很好笑XDDDD~~整部片子里不喜欢廖碧儿- -..大方脸&gt;&lt;~~~            
(3星)	 马国明完胜林峰  真是翻身啊            
(5星)	 搞笑 悬疑~~            
(3星)	 泡沫劇。。。看粵語版不用看只用聽啦            
(3星)	 港剧            
(NA)	 林            
(3星)	 林峰这造型恶心死了            
(4星)	 有些剧情好老套的说。。这个角色让林峰演得又闷骚还木讷，能不能不要他啊，看在物理知识和演员台词还不错的情况下我给四星啊。真相里面的两个男主演在这里面客串- -            
(NA)	 就是喜欢看TVB的警匪片···虽然这部有点假过头了···            
(4星)	 最后感情戏就被这么一笔带过了？卧槽            
(3星)	 好久没看完过 tvb了。            
(3星)	 不是每个犀利妹都能找到Professor King~~不是每个妹纸都能忘记曾经的伤痛去吃回头草~            
(3星)	 for prof. kingsley! 生活中没有那么多的kings 门当户对把一切都封死啦            
(3星)	 哪来那么多kingsley 什么都被门当户对封死啦            
(3星)	 这个人是马国明么。。怎么看都不像啊            
(4星)	 kingsley太帅了！            
(5星)	 力荐            
(3星)	 剧情相当坑爹。杨怡的脸比佘诗曼还长啊，还是宫心计和真相里的扮相好点。Lo sir帅呆。            
(4星)	 本剧的案情很一般，但是吧，有林峯就是好电视剧            
(3星)	 港版神探伽利略~只不過犀利妹不夠可愛 多幹練 科學家木訥多於睿智 還是福山大叔有愛~            
(NA)	 神探伽利略香港版 太有意思了 两种不同的趣味            
(NA)	 只看了B2马明感情戏的，就不评价了            
(4星)	 我又爱上林峰了，安静稳重的男人真有味道。            
(4星)	 林峰            
(4星)	 好一般好一般，案情跟模仿的日剧那个每得比啊            
(3星)	 其实就是山寨版的伽利略啊= =真心讨厌YY尼玛TVB没别的女人了吗！我去年到底是怎么追着看完的= =连结局都不太记得了囧            
(4星)	 小丑的案子挺精彩 犀利妹的哭戏很真实 我们峯少又是炮灰            
(5星)	 看完后悔没好好学科学文化~~什么学好了都能成功~~最后挺感人的            
(NA)	 真是蛮无聊的。            
(3星)	 lo sir            
(4星)	 休闲看看挺惬意            
(NA)	 Professor King,a nice man whom I like.            
(4星)	 喜欢犀利妹。            
(5星)	 林峰演的绅士            
(5星)	 tvb 这种片子都是老手的啦 拍得很好看            
(3星)	 唉，看过了林峰的艳照才看的这部电视剧，没想到啊，那么风流的林峰竟然能演这么内敛、这么稳的Prof 景，而且还演得那么好，那么帅~~~~不过不是很喜欢廖碧儿，属于大码型，那么壮。。。还是喜欢林峰啊！！！！            
(3星)	 纯粹是为了看帅哥。            
(2星)	 情节拖拉             
(3星)	 有腐            
(3星)	 尺度好大，噗……剧情……比少四好很多，抄袭……就抄袭吧。教授大爱。            
(3星)	 林峰样子残了很多             
(3星)	 多出了的一个星给林峰。            
(3星)	 囧，警察没物理学家厉害。。。。            
(NA)	 看到kings和犀利妹开始约会谈恋爱了，我觉得不用再看了，可以了。            
(4星)	 还蛮好看的说，昨天看到凌晨2点多，终于把它看完了，虽然没有以前拍的重案组的那种破案的纠结和紧张，但是也蛮不错的说。马国明很帅啊，哈哈，喜欢~~~            
(NA)	 都忘记了情节了            
(NA)	 犀利妹 Kingsley king             
(3星)	 以为是肉肉。。。没想到是马明。。。囧死了。。搞笑来着咩。不仅如此。林峰，真的让我很雷。。。。突然间，对他，各种不喜欢了。。。。            
(3星)	 看林峰。。。            
(3星)	 木有神探伽利略好看            
(4星)	 觉得林峰最靓仔的一部！ 里面有些案子蛮变态的            
(5星)	 很喜歡馬明在裏面的角色。            
(4星)	 我觉得我应该去看一下生活大爆炸（画外，与此剧无关）            
(NA)	 很喜欢TVB里面的侦探破案的电视作品。            
(3星)	 不喜欢杨怡。            
(3星)	 看了三个案子……一个都不给力ORZ……就算是我暑假拿来消遣的也不能菜成这样啊！            
(4星)	 好看啊            
(3星)	 谈情说案             
(3星)	 谈情过多，说案太少。总觉得TVB的经典手笔是在工作中表现小小的暧昧、小小的心动。而不是在爱情中表现工作的状态            
(3星)	 希仔好萌！Lo Sir好萌！杨怡意外讨喜            
(1星)	 整部剧无论感情或者逻辑推理，包括想通过林峰那个角色进行的科普，都很烂啊。。。            
(3星)	 好喜欢            
(NA)	 情感大于破案。            
(3星)	 我一开始是冲着林峰看的，不过林峰在这里的造型让人很囧，而且角色也不是特别讨喜不过让人惊艳的是马国明同学还是很帅的~~，话说他太幸福了，和N个女人的亲热戏啊~~~·            
(3星)	 案子不给力！            
(3星)	 为了学白话而看，还行            
(3星)	 反正破案的会追 有某少爷更要追 其实我没觉得差             
(2星)	 除了伽利略的那种感觉，这部剧没有足够吸引人的点 感觉看完都没什么印象            
(3星)	 大一考完VB一寝室从下午看到第二天早上，很有感觉。            
(4星)	 模仿神探伽利略            
(4星)	 这是我近年看香港电视剧觉得最好看的之一，林峰在里面演的还真不错，不管新闻如何，他在这里演绎的贵公子的感觉十分到位，就是软弱了些，也喜欢犀利妹，其实对杨怡并不感冒！            
(4星)	 杨怡就是这么成长起来的            
(4星)	 从每种角度说确实很像《神探伽利略》，不过还是喜欢这里面的感情线呀            
(3星)	 就是不喜欢杨怡            
(3星)	 我貌似没有完全看完·            
(4星)	 还行吧。。            
(3星)	 看得我这个激动啊..犀利妹！            
(4星)	 男女主角有力            
(NA)	 就是讨厌杨怡            
(5星)	 就是爱林峰。❤            
(4星)	 想念一起看这部剧的人            
(2星)	 香港的警匪剧势头真的不行了。            
(4星)	 喜欢剧里面那个kingsley，聪明多金，不过嫁入豪门真不容易。            
(4星)	 消磨时光~~            
(3星)	 比之前看的破案片，差好多。。。。。            
(3星)	 小孩子死了妈妈和姐姐的那部分很精彩            
(4星)	 喜欢林锋 喜欢～            
(5星)	 这个好看            
(3星)	 景教授/(ㄒoㄒ)/~~!!!            
(3星)	 看了这部片喜欢林峰，但现在只想到潘霜霜            
(4星)	 马明好帅            
(2星)	 TVB不行了，每部电视剧都是一个样。            
(4星)	 我纯属冲着马国明才看的，小马好帅呀~~~~            
(3星)	 就冲着林峰和马明看的 情节一般 推理粗糙            
(3星)	 还行。有时物理知识的讲解把周围人当物理白痴了。            
(4星)	 老早看过了，对立面的物理啦，化学啦那些东西吸引了~~喜欢            
(4星)	 港剧风。            
(3星)	 我还是比较喜欢神探伽利略。            
(5星)	 好看很好看。。。很有感觉            
(5星)	 凑合着消磨时光~            
(3星)	None
(3星)	 林峰是我看下去的动力。。。。。            
(4星)	 回学校去要买一张professor King的剧照海报贴在新寝室的白墙上，每晚睡前看两眼，会做美梦的，哈哈~~~            
(3星)	 因为林峰才看的，不喜欢杨怡就对了，杨怡长的我就不喜欢，剧情很。。。不说啦，想走侦探推理的路线吧，但是感觉有点怪怪的，恩。            
(3星)	 为了物理学家的出场，很多案情设计都极其牵强。缪碧儿很漂亮。14            
(3星)	 虽然模仿《神探伽利略》，可是有tvb的风格，我认同。如果真的有轮回，如果我们可以生生世世相爱，我也只可以再爱她70亿年。全剧结束，这句话很有爱，让爱你一万年见鬼去吧！            
(3星)	 他们怎么可以在一起！            
(5星)	 少爷啊少爷啊少爷啊啊啊啊啊            
(3星)	 结局那个凶手真仁慈啊- -只谈情不说案的狗血剧...            
(4星)	 我唯一煲完 的剧            
(NA)	 凡是TVB都要看 林峰长得帅 演的也不错            
(3星)	 林峰在里面好胖            
(3星)	 记得杨怡的眼泪。。            
(5星)	 犀利妹的痴情最感动！            
(4星)	 据说是TVB版《神探伽利略》。&#34;谈情&#34;多了，算是有TVB自己的风格特色吧~像《读心神探》感觉不会不比《LIE TO ME》差！但从另一个角度来说，TVB新剧实在没有以前好看·演员也没有什么出彩的表演了....            
(2星)	 追烂尾了...案情感情实在都不够精彩...就学会了一个词儿：十扑(SUPPORT)~            
(3星)	 廖碧儿换个人演就完美了            
(3星)	 为了看林峰而已。其实只是抄袭式的口水剧。            
(4星)	 tvb的大团圆结局，虽然老套了点，不过我喜欢。            
(5星)	 第一次看到林峰，喜欢上了            
(3星)	 谈情的部分太多叻点儿吧。远大于破案。            
(4星)	 King sir和犀利妹的爱情，我妈都看到哭~~阿峰在里面超级王子|！！            
(3星)	 物理学家的告白可以如此有爱。。            
(5星)	 我爱TVB！哈哈            
(3星)	 分都是打给马明，棒极啦！林峰怎么能做作到这种地步，教授一定要这样吗？又不是四肢残障。            
(3星)	 一般般~            
(4星)	 案情还过得去，情感一般啊。尽管Kingsley看起来是完美男人，不过终究留有遗憾，其实不必为了一个大团圆去把两个人扯在一起，真是才是好啊。Lo Sir是亮点~！！            
(3星)	 喜欢马国明呢。。。和伽利略比起来还是有点弱            
(5星)	 林峰 帅            
(4星)	 喜欢。            
(3星)	 光谈情了，案件不够悬疑            
(NA)	 一直对破案滴片很有爱  林峰还蛮有爱的 记得以前对他的印象停留在流金岁月的傻小子、寻秦记的黑面上，文质彬彬也蛮帅 马国明 看了这片对他印象还蛮好了            
(NA)	 好看好看 第一次看林峰的电视            
(5星)	 大爱            
(4星)	 有几件案子有点小灵异 男女主都是喜欢滴 嘎嘎~~            
(4星)	 我是来看马明的            
(3星)	 无聊的时候看着看着就看完了。。。            
(5星)	 很新颖，利用物理知识破案，尤其是高中物理知识的运用，很经典，对于学理的学生，看完很有感悟。可以多学物理知识哦            
(4星)	 悬疑，破案。I like it            
(5星)	 都没得说的！林峰没得说！杨怡没得说！            
(4星)	 剧情太SB了！！！！到处只有谈情！说案就那么点！！o(￣ヘ￣o＃)！！！马明的颜+1分！！！！！(PД`q。)·。&#39;゜冰天雪地掩面泪奔……            
(3星)	 还蛮温馨的            
(4星)	 喜欢马国明~！            
(5星)	 第一次喜欢上了林峰，后来才发现 他是寻秦记里面的秦始皇- -            
(3星)	 更喜欢看马国明演戏            
(3星)	 杨怡演的不错，剧情OK            
(4星)	 杨怡失恋那段看的我心里酸楚！其实我不想让你走            
(2星)	 因为杨怡的那碗火腿蛋面加了1星            
(NA)	 有帅哥的怎么可以没我呢!            
(3星)	 虽然很神探伽利略，但片子本身确实不错。            
(3星)	 这么没的说的感情也能纠葛这么长一段。。。无语            
(4星)	 电视的结尾总是有情人终成眷属            
(4星)	 马国明很帅啊            
(3星)	 还是谈情比较多一点            
(3星)	 哎呀，最近都没看港剧了，但这看过            
(5星)	 马明转型之作            
(4星)	 马国明狠帥啊这扮相！！            
(5星)	 喜欢~~~~~~            
(3星)	 只看了马明和廖碧儿这条线             
(2星)	 杨怡。。。唉            
(NA)	 巧用物理知識破案，不錯。唉，就是看不過癮，劇太短了            
(3星)	 嗯，这个应该是看过的，看在我还记得自己曾经看过的分上，三星吧。            
(3星)	 就是因为少爷和杨怡才看这套剧，只是剧情方面比较弱，比较虎头蛇尾。不过早已是TVB的硬伤了。            
(5星)	 啧啧啧            
(4星)	 Professor King.            
(5星)	 第一次看林峰的戏，真是帅啊！            
(4星)	 地下判官。。。            
(3星)	 还是因为林峰才看的             
(NA)	 抄吧！！！            
(NA)	 杨怡不容易啊不容易~            
(3星)	 查案不算极度弱智也差不多了，就是谈情部分还好。男女主角各有各的欠抽之处，但总算还happy ending            
(4星)	 谈情太多，破案太少。            
(3星)	 不喜欢里面的配对，很不舒服！！            
(3星)	 重在谈情了吧，破案的部分还是不如美剧。            
(4星)	 林峰好帅！哈哈哈哈hugo我也爱！！！哈哈哈哈哈哈！！！讨厌大饼脸~            
(NA)	 必須頂起~~我們的峰少~            
(3星)	 爱情戏我系直接带过噶....            
(5星)	 棒！            
(3星)	 还不错            
(4星)	 神探伽利略的港版，但是林峰很帅啊，还有犀利妹，哈哈            
(4星)	 很好看，典型的tvb剧情            
(3星)	 不说案来只谈情。            
(4星)	 ~\(≧▽≦)/~            
(4星)	 我改变了对林峰的看法            
(3星)	 剧情  一般            
(3星)	 转性了转性了。。。最近竟然爱死马国明了。。。            
(2星)	 优雅华人伽利略。。。要哭了好么。。。伽利略为毛是这样的~~~~我的福田叔啊~~~好吧，总之就是各种TVB老情节，狗血啊狗血~~            
(3星)	 KINGSLEY这种男人哪里去找。。。还以为是港版的《侦探伽利略》，结果，还是落了港剧的俗套。。。            
(1星)	 我怎么一点儿不喜欢杨怡。。。原来喜欢和讨厌是没有理由的。            
(NA)	 25集，林峰这个西服控。不过我喜欢。            
(3星)	 5/10            
(NA)	 是的。爱TVB            
(NA)	 一般吧，案子不怎么悬疑。            
(4星)	 看在难得能坚持看完的一部，加一颗星吧。            
(3星)	 Lo Sir好型～为什么每个人都可以随时放假散心            
(5星)	 我是来看帅哥的....            
(4星)	 不错~~~            
