http://movie.douban.com/subject/3126164/	溏心风暴Ⅱ之家好月圆 溏心風暴Ⅱ之家好月圓
(5星)	 很喜欢呢 虽然有40集那么多 但是一点也不拖沓            
(4星)	 那个荷妈真不容易。            
(NA)	 不好看 整天都在闹 狗血剧情.            
(5星)	 很精彩啊！中仔好帅！            
(4星)	 提出说说钟嘉欣那厮在家好月圆头一直哭在搜神传头一直笑，这算什么            
(3星)	 差點吐血 每集都是            
(4星)	 我不能忍了~黄宗泽居然没有和素秋在一起~我伤心了！            
(5星)	 香港电影世界年如一日还是没有变，温暖，和谐。            
(3星)	 还是很喜欢林峰啊啊啊            
(NA)	 那个祖爸真的神似某某爸呐            
(4星)	 勾心斗角处还是不错，大团圆的地方反而说教的有点别扭，感觉像在讲童话啊……            
(4星)	 只可以说，追了那么多集。。。看来看去还不腻的只有这一部了！            
(4星)	 我好钟爱陈豪啊~~~！~！~！            
(5星)	 看这个哭了。            
(2星)	 女人不好看 男人不好看 剧情不好看 价值观不好看 拍得不美 一无是处            
(5星)	 非常棒的一部TVB剧集，有很多感人之处。            
(4星)	 也很好看，继承了第一部的好看。            
(4星)	 编剧当真了不起。。。            
(4星)	 大团圆结局...幸福的家庭            
(5星)	 好好看的片~看得俺眼泪哗啦啦的~            
(3星)	 某两人的爱情我只快进拉过。            
(5星)	 太好看了  从剧情到音乐            
(NA)	 家庭，就应该是这么温暖而积极向上的。            
(4星)	 last one            
(5星)	 超棒            
(4星)	 最爽的是关菊英打她女儿的时候..            
(4星)	 香港拧真饿搞！！            
(4星)	 家里四个孩子发生的故事，集数比较多，不过看起来还不错！            
(4星)	 比第一部好看             
(5星)	 亲情加上现世报...没有再解气的了！            
(4星)	 钟嘉欣很甜美            
(3星)	 有的地方戏剧夸张太过了 看的人情绪大起大落 最后就是觉得 男人没一个好东西 还有还要徐子珊好看个腿啊 她那配音这么多年都没捋直了舌头居然TVB一直还在用她...            
(4星)	 adou            
(5星)	 为什么每次都要把林小峰配给夹心饼!这次还搭上了Bosco..还有那个徐子珊.....真是两把尖刀.= =            
(5星)	 挺好！            
(4星)	 荷妈真的很感人            
(4星)	 港剧我向来不排斥            
(4星)	 看到于素秋就快进！喜欢阿卡！            
(4星)	 很搞啊            
(5星)	 之前嫌溏心风暴1太烦，每集里都吵来吵去直接看的2，眼泪哗啦啦~~~            
(NA)	 看完这个 我粤语就学的差不多了            
(5星)	 近一年看的比较好的一部港剧            
(3星)	 溏心风暴Ⅱ之家好月圆             
(3星)	 千万不要当小三！            
(4星)	 多么希望...            
(4星)	 剧情大起大落，好几次刺到我的痛楚。可惜有些温馨的戏份有些做作，但是的确是一部经典的TVB之作。            
(NA)	 爱不疚            
(4星)	 tvb家族剧            
(3星)	 远不如第一部，太煽情，一直在吵架...            
(4星)	 比第一部的亲情更感人~            
(5星)	 林峰真不错啊            
(5星)	 很感人哦！呵呵~            
(5星)	 TVB  我最爱            
(NA)	 超爱的港剧            
(2星)	 好多人为之而疯狂。            
(4星)	 依旧很喜欢里面的歌~            
(3星)	 差强人意            
(4星)	 虽然剧情有bug，但是还是蛮好看的，感觉经常途中报料            
(4星)	 美满的结局总是令人心生温暖            
(4星)	 突然想到这部片子就波波虎看了，刚第一集…感觉和第一部搭不上嘛，希望很精彩吧~期待ing            
(5星)	 看得我流眼抹泪的……            
(5星)	 感动            
(5星)	 香港人有智慧，家长里短，妙趣横生。            
(4星)	 拿掉N多奖的剧特喜欢关菊英！            
(4星)	 原班人马，不错~            
(4星)	 TVB这种大戏一向都还不错！            
(5星)	 所有人的家好月圆            
(5星)	 感人的家庭剧，人物各个有个性。卡月是我心中的至爱。            
(3星)	 有点失望的结尾。            
(3星)	 第二集很烦人，成天吵吵闹闹的，不过剧情还是比较吸引的            
(4星)	 我係啊卡..=3=...            
(5星)	 依然的TVB！很好，很强大！            
(3星)	 虽然没有喜欢的演员            
(4星)	 TVB最后的辉煌？            
(NA)	 非常不错的一部制作，比起第一部来，感情线分明了很多，台词也更有力！是部不错的制作！            
(5星)	 好過《溏心風暴》太多了            
(5星)	 my lov will get you home            
(5星)	 一遍遍的看，一次次的感动。            
(NA)	 喜欢主题曲中那句 原本无心害你            
(4星)	 剧情真的很勾人啊,喜欢阿卡,管家公也很极品.            
(3星)	 主旋律善有善报电视剧,,就是声音大了点,天天吵闹..听上去比较烦..            
(4星)	 心情不好的时候看看不错            
(4星)	 很感人，很搞笑，很温馨的一部电影！看看荷妈那么大度，我们还有什么好委屈的呢?!            
(5星)	 那个叫干太祖表哥的，你是贱男！！！            
(5星)	 结局收得真快..            
(4星)	 就是长了点哈            
(5星)	 狂看            
(4星)	 人要么太坏，要么太好。看这样的电视剧情绪起伏太大啦！！~            
(4星)	 4.5星。            
(4星)	 每看必哭的电视剧            
(5星)	 里面搞笑部分让人喷饭。。。            
(3星)	 常在心 程亮 哎。。。好可惜啊~            
(4星)	 有时候觉得大家庭也不错             
(4星)	 港劇還是很吸引我呵，不過我真的很討厭鐘嘉欣。            
(3星)	 喜歡黃宗澤，但是在那裡，真的覺得林峰好好啊            
(4星)	 有你在身边多乐趣。            
(5星)	 永远那么喜欢看这种片子~ 其实也就是一开始就能猜到尾的片子 可是就是爱极了 焦急的等待下一集的滋味不好受哦！            
(4星)	 家庭剧好看~            
(3星)	 始终喜欢不起钟嘉欣            
(3星)	 主要是钟嘉欣&amp;徐子珊太看不过眼了 诶 哪怕我喜欢杨怡 哪怕戏骨们很有风采 老娘我也快进了不少……诶             
(3星)	 陈法拉演的三个感人片段，看一次哭一次~这部电视剧很有亲情的味道。            
(4星)	 两部看下来发觉：原来法律是靠不住的...            
(NA)	 看的哭了，也笑了            
(4星)	 插曲好听            
(5星)	 来gz的第一部tvb，纪念，学bh            
(5星)	 很好啊~比第一部还好看~因为圆满了好多~至少看完心情舒畅            
(3星)	 哭了很多集,可是不想给四星,不知道原因            
(4星)	 果然是亲情浓浓            
(4星)	 亲情无价。            
(5星)	 [溏心风暴之家好月圆]            
(4星)	 虽然情节又是大家族，但还是不错这部，歌蛮好的听的都~~            
(3星)	 看了很生气啊            
(4星)	 终于不用再听my love will get home了。。这首歌堪称TVB英文插曲里top难听的之一            
(5星)	 米雪的演技很棒，夏雨很可爱，不错的剧情，比第一部好看            
(4星)	 终于看完了....            
(3星)	 虽然剧情有点勉强            
(5星)	 昱诉求 个快进妹            
(4星)	 好幸福~            
(5星)	 好好看~！            
(5星)	 3G手机是好！！            
(5星)	 比起之前的溏心风暴好太多 人物穿着也好看了很多            
(4星)	 哇靠，豆瓣居然连港剧的评论都有？            
(NA)	 不得不说,我追完了这部电视剧            
(5星)	 还是觉得挺好看的 杨怡越看越喜欢 LINDA我还是很喜欢她            
(3星)	 闲来时间又看了一部港剧。。呃。。讲亲情的，泡沫部分跳过着看挺好看的。 管家仔（林峰）依然不错。嘉美（徐子珊）让我大跌眼镜，白白在‘四大名捕’里对她留了好印象。。            
(3星)	 比起溏心风暴差一点，情节有些乱            
(4星)	 一到骂人就是高潮，结局转变太突然了= =否则可以五星的说~            
(4星)	 女人啊女人，真是可怕……            
(4星)	 看了第一部，看这部里面的人物角色分配大转变，欢笑还是不断，争产也避免不了。故事里的爱情没有上部的凄美，但还是很不错。            
(4星)	 真受不鸟那个于素球和凌B啊             
(5星)	 比上一部有内涵多了~~ 寝室几个姐们看好后都用了不知道多少纸巾。。            
(3星)	 大部分以快进看完。            
(3星)	 林峰演的这个人太好了吧～有点不真实～～            
(5星)	 ....很不错~~            
(3星)	 结局真突兀            
(NA)	 喜欢林峰            
(4星)	 奸角儿看的人胸闷。 徐子珊。钟嘉欣。很讨嫌            
(5星)	 非常好! 第一次给这评语!            
(3星)	 跳跃式看过            
(5星)	 看得我龇牙咧嘴啊，孩子们很有爱            
(NA)	 鸣谢毛毛            
(3星)	 太拖...            
(5星)	 比1好看，但是老林的角色不够出彩，反而喜欢子3的坏~            
(NA)	 陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法拉陈法陈法拉陈法拉陈法拉陈法拉陈法拉拉陈法拉            
(4星)	 剧情冲突夸张化,人物刻划漫画化,故事进展戏剧化.            
(4星)	 唔使惊！我地系大厅！            
(NA)	 虽然TVB的电视基本都是用来打发时间的，很多时候会边看边骂，不过还是喜欢看哪些明星 娃哈哈。喜欢徐子珊，奸人演得好好，TVB总是会这样奸人不是被人杀就是被变好人痛改前非，如果继续坏下去可能会没完没了了            
(4星)	 坏女人太多了。。。Bosco也不好，纠纠结结            
(3星)	 虽然还是那些人虽然少爷戏份不少不过，还是比较喜欢程亮            
(NA)	 是TVB就不放过            
(NA)	 刚刚完成~            
(4星)	 家不好月也不圆            
(3星)	 陪马小慧一起看的港剧。            
(5星)	 之前追完的，            
(3星)	 广东话的练习工具            
(NA)	 有点无聊            
(NA)	 让我无可救药的喜欢上了林峰。            
(NA)	 财产。            
(3星)	 很狗血热闹的港剧。不知道自己是怎么坚持看完它的。居然还为了看它熬了个通宵、所以人就是一种让自己都不懂的复杂动物×－×            
(NA)	 my love will get you home.            
(4星)	 主题曲简直是一绝...简单直白的道理，澎湃的旋律，让我百听不厌            
(NA)	 喜欢沙姨和小庆、哑女，讨厌素秋和嘉美，太假了太假了~~结尾不够解恨~~            
(5星)	 好久没接触港剧，很好很强大。            
(4星)	 当作是很混乱的闹剧看还是可以找到乐趣的。。            
(3星)	 20集之前还能看,之后实在有些太扯了!            
(3星)	 要是没有大脸钟，我就打四星            
(4星)	 管家仔啊！            
(5星)	 看得很纠结也很感动            
(4星)	 比第一部好看，吵的有深度了。。            
(4星)	 !!!!!            
(5星)	 真的很好看....            
(3星)	 为了林无情。            
(NA)	 麻麻D，只能说比溏心风暴1好看点，演米雪的红姨不错！            
(5星)	 一个豪门的浮沉史            
(3星)	 最后十五集有点扯            
(5星)	 很喜歡阿慶之歌...            
(NA)	 很喜欢荷妈这个角色            
(4星)	 剧情有点串联有点假但是单个的剧情波折很不错            
(1星)	 真是烂到无以复加，TVB彻底沦为师奶之友            
(NA)	 女人的勾心斗角！在这里可以看到不同风貌的女人。最好玩的就是里面的经典对白！要学白话的朋友们千万不能错过！这里有地道的地方语言            
(NA)	 除了喜欢好和秋纯纯的青梅竹马之恋，更多的为亲情感动~            
(5星)	 我爱家族戏 我爱TVB 它让我投入地打发时间~            
(4星)	 越来越喜欢杨怡了。整部戏没有溏心好。            
(5星)	 好睇到癡線～  殷红係我偶像！            
(5星)	 剧情方面经常牵强附会就不说了。。。主要是特别喜欢那种家庭的温暖~~            
(4星)	 人情世故，亲情教儿，很有教育意义            
(5星)	 比第一部多了点人情味            
(4星)	 我就是对亲情剧没抵抗能力啊~~~            
(4星)	 哎~坏人都是关键时刻就变好咯蛮~呢要警察干吗啊~~~            
(5星)	 放手！放開所有～            
(3星)	 虽然我正在看但不得不说这剧真的很垃圾            
(NA)	 主题歌蛮好听的            
(2星)	 哭哭啼啼烦死了。            
(NA)	 喜欢林峰在里面的那首歌...            
(3星)	 结局超级拖...明明一个小时就好了!!看在林峰的面子上!!            
(4星)	 最觉得没有第一部好             
(NA)	 吵得那个翻天啊            
(NA)	 比第一部好看            
(5星)	 管家仔            
(NA)	 没法，从小到大都在看的翡翠，不是那么容易戒掉的。            
(4星)	 荷妈在大厅。            
(4星)	 1更好看吧..            
(3星)	 鸡肋            
(4星)	 没有钟嘉欣就完美了            
(3星)	 太长~~太 曲折~~            
(NA)	 终于结局了～            
(NA)	 溏心风暴之家好月圆            
(5星)	 好好看啊！ 今天终于大结局，心满意足回北京……            
(5星)	 个人认为是近年来最好看的翡翠台电视剧了！            
(NA)	 14            
(NA)	 终于结束了！            
(NA)	 一群傻人            
(4星)	 还是很迷。            
(5星)	 真的比第一步好看，嗯~            
(5星)	 太喜欢这句了。每小段都有高潮。而且不失温馨路线。红姨演的是在太灵了。只是黄和钟的那些都很让人心烦~            
(3星)	 跟着笑，跟着哭.            
(NA)	 好喜歡荷媽XD            
(4星)	 不管别人怎么说，我觉得很好看~            
(4星)	 温情大结局啊。很好看。            
(NA)	 看的我气死了,怎么还有这样的后妈,这样的奶奶,MD            
(4星)	 感觉没第一部好看，但是还可以吧            
(5星)	 那会儿，走火入魔最深...            
(4星)	 N年不看港剧            
(5星)	 2008.9.21 翡翠台            
(5星)	 很不错            
(4星)	 20081102:很棒啊，找回童年看港剧的感觉             
(3星)	 几个老太婆彪戏~爽哇~~~小朋友们加油.........            
(1星)	 受不了这套剧。把一个家庭的矛盾放到电视上简直是QJ观众眼睛。            
(4星)	 真的比1好！但剧情仍很矫情，高潮戏很带劲，老演员比年轻的好很多            
(4星)	 好看好看            
(4星)	 Bosco已经很长时间没有认真选过角色了，初当主角之时的入骨也不知哪里去了。长此以往，这个曾经扮什么像什么的小帅哥就要毁了。            
(5星)	 一家人，很感人            
(5星)	 超好看            
(NA)	 我是TVB迷~            
(5星)	 目前在追的一部港剧            
(NA)	 好期待~            
(NA)	 特别纠结啊！            
(NA)	 又掀起追砍狂潮...            
(NA)	 正在追看            
(4星)	 明明說是潑婦罵街卻又很想看            
(NA)	 好看。只是，纠结啊~            
(4星)	   很不错阿.~比第一部好看些.~            
(3星)	 闹腾~            
(3星)	 非常之纠结！纸巾都扯了一包又一包了。            
(5星)	 终于追完了。啊~~~~~~~            
(3星)	 追看中，喜欢荷妈吵架和讲烂笑话。也很喜欢管家仔和里面那首分分钟需要你，另我重新认识林子祥            
(4星)	 飙泪戏..            
(4星)	 台庆剧，不能不追            
(4星)	 有时候钱太多了也不是件好事~~            
(5星)	 看着超有感觉，更加深刻的体会到亲情的力量。            
(4星)	 很好看。可以领略一下香港手语……            
(3星)	 强烈想学手语ing            
(4星)	 弱智但好看。值得一看。也值得让人作为教仔的案例学习。            
(5星)	 钟嘉欣 徐子珊 给我去死！！！！！！            
(5星)	 好戏            
(4星)	 人在做 天在看            
(3星)	 TVB的老套剧情            
(4星)	 我想看港剧~我要看港剧~            
(4星)	 其实如果只抱着渴望家庭温暖的心态去欣赏，还是不错的剧集，但由于前面铺垫过多，导致后面的一些细节叙述不清，尤其是感情线，有点乱！            
(5星)	 暑假指定要看的电视剧，做人道理在里边啊！            
(4星)	 还是溏1更经典一点~            
(5星)	 好好玩~            
(3星)	 第一部好睇。懷念常在心與Alfred~            
(4星)	 因为米雪，这部比第一部高出很多。            
(5星)	 最近天天追啊~~辛苦            
(4星)	 就是吵了點...            
(4星)	 大契细契又来啦！            
(3星)	 林峰比起以前进步了点。钟嘉欣虽靓，角色没新意啊。还是陈豪搞笑，陈法拉好看。            
(2星)	 不好看            
(5星)	 更多色是眼泪`更多的是亲情            
(5星)	 很精彩啊。            
(5星)	 几好看！！！            
(4星)	 oct 19,2008            
(5星)	 峯少还是一如既往的帅啊~嗯，纠正，是越来越帅了~陈法拉的表现好惊喜！~杨怡也一副上位相，真好~~老一辈好好戏，每一集都让好人惩奸除恶，呵呵，我喜欢。            
(5星)	 演技沒話說，扣人心弦。            
(2星)	 受不了了，看不下去了。。            
(4星)	 今年很难得的亲情大戏，亲情感人至深！            
(4星)	 家吵屋闭。爽到飞起。            
(3星)	 管家仔 。。。我中意 。。。            
(2星)	 当年也是盲目从众，跟一班工友大婶、港女们窝在宿舍的小沙发上追看大结局（收视最高50点，开玩笑嘛），结果看的我一头雾水，这也叫“超好睇”？？？未免太婆妈扯家常了，没劲哟。。。            
(4星)	 嗯，演员阵容有点强大，老戏骨和新的小生花旦都来了不少。            
(5星)	 很开心，很温馨。            
(NA)	 比第一部好看多了            
(3星)	 好和坏太过明显，TVB已经陷入自己的怪圈。            
(5星)	 荷妈在大厅！。。。其实看看觉得挺温暖人心的            
(5星)	 温暖到不行！            
(4星)	 反正tvb的家庭剧不都是这样么            
(4星)	 就算是俗套的TVB，俗套的剧情，但就是为了那份亲情！            
(3星)	 TVB也就是胜在节奏够快，艺人们够帅好看了。。            
(3星)	 没完没了的。。            
(4星)	 团团圆圆的港剧            
(4星)	 【好無聊的開始馬克看過的TBB】            
(4星)	 这是一部从头吵架到结束的戏，也有很温暖的场景。。也会大快人心。。            
(4星)	 比第一部好看，几乎每一集都能让人感动一下。特别是回忆他们当初的时候~但是爱情却没有第一部那么好看，不过家庭的温暖更加突出，还是不错的~            
(4星)	 人一样剧情又不一样            
(5星)	 无赖一家~            
(4星)	 个人觉得真的很不错            
(3星)	 很感人            
(3星)	 有时候觉得这一家人虽然温馨，但还真是稍显浮夸。            
(4星)	 马克当年的追剧碎月…比鲍鱼好，极尽八点档家庭剧煽情之能事            
(4星)	 兩部分不太清，都愛~            
(4星)	 喜欢卖鲍鱼！！            
(NA)	 都是腕儿~            
(3星)	 喜欢小月和管家仔。            
(4星)	 群戏什么的最好看了。。            
(4星)	 家好月圆庆中秋，这家人的小孩真多。            
(4星)	 睇到我咁激动都喺第一次，李司棋果然好戏，关菊英都唔错，夏雨个最佳男主角就真喺唔知点挪翻嚟嘅，对林峰有小小改观。            
(4星)	 经典啦，不用说            
(5星)	 每次看到钟嘉欣谈恋爱的剧情就想跳掉啊。。。无论是第一部还是第二部，但是不讨厌这个人。            
(5星)	 不能因为于素秋而否定了该剧，tvb多年来我最钟意的一部剧，倘若没有于素秋，或许在豆瓣分会更高。            
(3星)	 很假很温馨！！！            
(NA)	 好像没看完~~            
(4星)	 跟妈妈一起看的，绝对的婆妈伦理，凌志信医生那么帅啊            
(3星)	 于素秋，有其母必有其女o(╯□╰)o            
(NA)	 港剧的家庭戏。            
(5星)	 绝对是赞！！！ 吵得越凶越好看            
(NA)	 累啊。            
(4星)	 很赞！            
(5星)	 如果我被荷妈天天说教，我想我会疯的！            
(5星)	 小家~~小好~~不用怕~~荷妈在大厅~~            
(5星)	 分分钟需要你，月亮代表我的心，管家公终于和管家婆在一起了，好激动！            
(3星)	 这部剧最大的硬伤就是好人坏人分的太明显了，而且明明是祖爸自己移情别恋，却被编剧搞的让红姨背了黑锅。。最可耻是于素秋啊，玩完这个搞那个，不知道是对自己不负责任还是非要玩观众拖长个剧集咧，反正一到什么猪脚姜我就快进。。            
(4星)	 钟嘉欣的形象已经在我心里根深蒂固了。每次出场都会哭，要么就喊着“妈咪啊！”            
(4星)	 家庭伦理剧，适合师奶看            
(5星)	 很久以前看的 拍的很好 故事很饱满 也很有人情味            
(4星)	 没一个成功小三背后都有一个意志薄弱的男人            
(4星)	 当年我还是很喜欢林峰的！            
(4星)	 比第一部更好的剧情。其中一颗星给剧中的几个实力派。            
(5星)	 很感人也很搞笑~            
(4星)	 带动情绪起伏得 = =            
(4星)	 最悲惨的还是铁人红，最后大家欢度中秋齐唱《月亮代表我的心》的时候，独独缺了这个本该也属于这个大家庭的第三者，其实她犯的最大的错就是妄想做一个女强人，在这个年代，女强人真的是天理不容的东西。。。。            
(NA)	 管家仔。            
(4星)	None
(NA)	 太戏剧了。。只有几个半百的演员嘴角微微翘起 又不好意思动作太明显笑出来的细节有些许真实感 所有矛盾哭啊闹啊都源于劈腿 全能被多夫多妻制秒杀 洒洒水 抱着抓槽点的初衷看了几集 开始就放不下了没想到都看完了 因为那段主旋律很好听 也是我需要的 恩！            
(4星)	 插曲好听！~            
(3星)	 典型的港剧啊！很温馨。happy ending～            
(5星)	 好久之前看的，不过我还是比较喜欢第一部..            
(3星)	 人物性格转变比较生硬            
(NA)	 谁能帮忙做掉徐子珊，不光是丑这么简单            
(4星)	 男人呐 总是希望两边都好 真贱            
(4星)	 休闲娱乐的佳剧，虽然故事人物表演都夸张，不过里面林峰，钟嘉欣和黄宗泽的三角恋有点小虐            
(3星)	 看这样的家族戏真是会高血压和心脏病一起并发            
(1星)	 刚想到的：我是高级黑            
(4星)	 还是更喜欢以前港剧里那种更惊心动魄点的大家族，不喜欢太以和为贵。哪有那么真善美啊。            
(4星)	 TVB最擅长的片子的类型了！            
(3星)	 比较做作。。。            
(5星)	 电视放一次我就看一次，别说老是吵来吵去，我就喜欢这个            
(4星)	 扯啊，斗来斗去到底为嘛？看的我太纠结了，还好结局是好的            
(3星)	 我最喜欢看到一家人快快乐乐的样子。            
(NA)	 清哥在豆瓣疯狂标记。。被我看到。。。。。 我也来一把。。。。。            
(5星)	 真的看了不下10遍...太熟悉了，还特意去北角找了那家饼店= =            
(4星)	 林峰和钟嘉欣很多余~居然还有陈法拉~T真是受不了VB的几个姐仔~看过2就看不进去1了~            
(4星)	 管家仔 于素秋            
(5星)	 好看啊            
(4星)	 洒狗血又来了,,,Bosco简直帅爆了！            
(1星)	 大契简直眼冤到爆炸！            
(5星)	 话说当时一直很控凌医生            
(5星)	 相当喜欢,特别是老一辈,司棋姐一贯正气慈爱啦,夏雨的出轨小男人演的好哇,好喜欢李香琴奶奶,关菊英的角色挺可爱的,米雪的于红,恨得咬牙可是又好爱她,啊推荐            
(5星)	 这个可以推            
(4星)	 追星末期看的            
(1星)	 太敷衍了~~明显第一步好看            
(NA)	 因为这部剧，喜欢林峰。            
(NA)	 也是少数会追电视剧            
(5星)	 好            
(4星)	 只看了管家仔的部份 ~~~  sa姐搞笑了!            
(5星)	 跌宕起伏啊！！！！            
(NA)	 坏人坏人坏人=2010=            
(4星)	 好多人。。。。。。。= =太纠结。。直接跳结局了。。。            
(5星)	 不错。。。            
(5星)	 小月让我飙泪几次，而且是看几遍飙几遍            
(5星)	 管家仔~            
(4星)	 比第一部更紧凑，林峰戏份明显加重。有些桥段实在太狗血，一度（直到现在）想把于素心这个贱人掐死！叶翠翠啊！！！连着两部当炮灰，败给那个包子脸。            
(5星)	 百看不厌            
(3星)	 剧本很弱，完全为了发展而发展，角色性格阴晴不定，时而软弱，时而又很凶悍，剧情需要他扮坏，他可以让人恨得牙痒痒，没他事的时候还可以跟大家和睦相处，可以赢的官司照样输，编剧想怎样就怎样，实在匪夷所思。林峰真的太帅了，虽然整的。估计我tvb看下去每个男主都要喜欢一遍了—。—            
(NA)	 各种买片为了看完啊~            
(4星)	 这里面的人物超级精分...上一秒还吵得我头晕脑胀恨不得掐死对方，下一秒就恩爱有加，完全忘了发生过什么事情。。。人物矛盾，冲突很多，所以倒还很精彩，就是太吵了~~            
(4星)	 总体不如溏心，但是还是部好剧，赶着中秋节的意义更容易触动人心。本指望这部阿峰做视帝，但是角色不给力。            
(3星)	 两天。。。            
(5星)	 情节很好看，林峰永远是我的最爱，李司棋的角色是个好人，但是讨厌这种人！推荐大家！            
(NA)	 这个一直很喜欢啊            
(4星)	 当年我和我妈每晚一集的追啊追！            
(NA)	 谁还没看过个港剧啦？            
(5星)	 这几年都没这样的好剧了            
(5星)	 老头的春天。            
(5星)	 对这种家庭剧没有抵抗力。            
(4星)	 TVB难得的好剧，还是得靠老戏骨撑起来，米雪演得太赞了，徐子珊钟嘉欣真是烦透了，香港没有其他女演员了吗，都什么审美啊，陈法拉杨怡比她们漂亮有范儿多了，也不见力捧，不知道怎么想的            
(4星)	 喜欢一家人整整齐齐，温馨。            
(5星)	 超经典，集集都有高潮，初一晚晚在追的一部经典剧集            
(5星)	 ice cream 好听的插曲            
(NA)	 爱            
(2星)	 家教很重要，家和万事兴~            
(4星)	 分分钟需要你            
(4星)	 3.5星。宁愿选择回顾原版。            
(4星)	 不太喜欢钟嘉欣            
(4星)	 最不讨厌钟嘉欣的一部            
(5星)	 日日有交嗌 集集有高潮~~~~~~            
(4星)	 因为于素秋，减一颗星！            
(3星)	 终于看完了好累。            
(5星)	 经典 不解释            
(4星)	 金句与烂gag比翼双飞            
(4星)	 善恶之报            
(4星)	 斗啊斗啊 tvb            
(4星)	 这第二部竟然比第一部好看。            
(4星)	 值得一看，不会失望            
(3星)	 只看过Dr凌剪辑版的路过。。家长里短的有了第一部就行了。。。一妈一姨很有百合气场。。            
(4星)	 高三会考期间狂看的，当时中央台在放天地有情。。。            
(4星)	 总觉得TVB都应该是酱紫的 让人看了 觉得正义终将战胜邪恶 忘记生活中那些纷繁复杂 那些礼义廉耻 专心的做一个好人 智者 就如荷妈             
(3星)	 只推荐小家和杨怡的那对，其他的我都跳了。            
(5星)	 好剧            
(3星)	 曾经我认为我们跟素心凌B那么像            
(5星)	 非常好睇啊!!!~             
(4星)	 又看了一遍。管家仔实在太好。            
(5星)	 看的时候 哭得个我啊。。            
(4星)	 煽情大片~~喜欢那样的氛围~~            
(4星)	 好爱的一部剧~~~            
(NA)	 原来如此－－于素秋那么厉害玩无间道啊！            
(4星)	 家有六子~            
(3星)	 巨烦这样的片            
(3星)	 其实哦。。。我觉得钟嘉欣和林峰蛮配额。。虽然私以为林峰配不上钟嘉欣            
(4星)	 斗争呀。。。            
(4星)	 打亲情牌，看完好像多要点儿兄弟姐妹，结局仓促，摊手~            
(5星)	 好喜欢其乐融融大家子~~~            
(3星)	 其实本来想给四星的，但是后来集体大合唱月亮代表我的心恶心到了我。。。            
(4星)	 还记得中秋大结局啊！            
(4星)	 bosco            
(3星)	 纯属杀时间。            
(4星)	 无心害你。            
(4星)	 我真觉得看溏心风暴系列学到了不少东西，什么都没有家合万事兴重要。要做一个如荷妈一样的女人            
(3星)	 没第一部好看            
(NA)	 之前不开心就拿出来看的。            
(4星)	 当初好喜欢啊&gt;_&lt;林峰~嗯            
(5星)	 看的第一部TVB剧！！！            
(4星)	 一贯TVB的剧情 可是亲情这话题是在是太中我 一直泪奔            
(5星)	 TVB剧补不完·~             
(5星)	 呐 做人呢  最重要的就是嗨嗨森森            
(5星)	 记得考研的时候，不能回家，一个暑假，空闲的时间我都在看这部剧，气的血压都高了，但是好想家，好想家，每天都哭，至今不敢看二次            
(5星)	 要拍Ⅲ啊！！！！            
(NA)	 想当初追着看呢。            
(5星)	 与第一部相比更精彩，处处透露出港人生活的小智慧大欢乐和八卦本性~~~~~~本剧让我改变了对峰少的印象，帅！            
(4星)	 40集长到足以让人审美疲劳，吵架戏无厘头。三颗星给管家仔，阿峯的布景板做得真称职，还有一颗星，给这部戏的亲情与怀旧精神，各种老歌听得人很伤感啊~            
(3星)	 比一减分。            
(4星)	 看到十集……            
(5星)	 喜欢这部~追来追去 哭来哭去 大爱啊            
(NA)	 好像看了            
(5星)	 有太多的感悟了，总之我觉得最重要的是那是我们每个人都向往的生活。快快乐乐，平平安安才是幸福~~~            
(3星)	 为什么觉得麻麻嘚            
(5星)	 中国人原有的家的烙印在这儿体现，在大陆已经很难见到了。            
(4星)	 各種明星啊            
(2星)	 一开始太假。没看下去            
(NA)	 我觉得比第一部烂好多啊，从主角到配角都是傻的            
(5星)	 喜欢呢，还想看这样的电视剧            
(4星)	None
(3星)	 大阵仗。            
(4星)	 不错的耶。            
(5星)	 值得翻煲            
(4星)	 比第一部好            
(4星)	 好看            
(5星)	 演的不错啦~但还是喜欢第一部！            
(2星)	 看不下去            
(4星)	 延续港剧大家风范的遗产之争。            
(4星)	 斗得精彩。            
(3星)	 几乎每集都有那种好像很煽情的片段哎~~有点 over acting了。   Anyway，至少比Ⅰ好！  P.S.小家是陈豪演过的角色中唯一喜欢的一个。法拉、杨怡的造型也都靓了很多..            
(5星)	 关菊英和米雪最有看头。            
(5星)	 集集有高潮            
(4星)	 很喜欢这一大家子            
(4星)	 我真心覺得林峰和陳豪的角色要不還是對調下吧 //   楊怡的角色很感人很討好 讓人很容易身臨其境一不小心就被煽動的哭了 //   近年來鐘嘉欣的戲路大幅度拓展，我相信現在已經沒那麼多人anti她了 // 這系列別再拍了，已經膩歪了            
(4星)	 这是我最爱的港剧之一！！！！！            
(4星)	 唔使惊 荷妈系大厅            
(4星)	 经典经典            
(5星)	 喜欢黄宗泽~            
(5星)	 TVB就是大家庭~            
(4星)	 蛮不错的啦。            
(5星)	 香港的家庭剧就属溏心最好看，经典了，现在的《团圆》完全比不上。            
