http://movie.douban.com/subject/1787819/	明朗少女成功记 명랑소녀 성공기
(3星)	 在艰苦的环境中，依然不失灿烂笑容的少女　　《明朗少女成功记》其实是一个现代版的灰姑娘的故事,但它对于我们这些生活在喧嚣的在都市的来说,这个故事,会带给我们一些什么呢?　　这部电视剧,另外一个看点是,车杨顺的扮演者-张娜拉,因为这部电视剧的热播,使张的人气在韩国持续上升,让另一位韩流领军人物,曾拒绝出演车一角色的金善喜后悔不已。　　车杨顺的父母是为人不齿的罪犯,他们干尽了坏事。诈骗、赌博、恐吓，坏事都让他们干尽了。所以， 车杨顺从就不得不由自己的奶奶抚养，生活条件的艰苦，使她养成了坚韧不拨、吃苦            
(4星)	 很好笑            
(NA)	 喜欢让人轻松的一切            
(1星)	 看不下去的剧            
(3星)	 ...            
(3星)	 看得较早的一部韩剧            
(4星)	 喜欢张娜拉的可爱            
(3星)	 当时很喜欢的片子，现在觉得一般了。            
(NA)	 假期陪姐姐一起看的 她恨喜欢 我没什么感觉            
(NA)	 张赫很适合演这类败家子，哈，耐看            
(NA)	 我妈妈很喜欢看哦            
(4星)	 我喜欢张赫            
