http://movie.douban.com/subject/2303112/	法证先锋II Forensic HeroesII
(4星)	 阿佘的戏份是过分多了点，不过总体来说还是我喜欢的TVB风格。            
(3星)	 不像破案了 像言情了            
(5星)	 我愛TVB            
(3星)	 阿佘没有以前漂亮了            
(3星)	 消遣还行~            
(NA)	 呵呵 一直比较喜欢TVB的这种片子             
(3星)	 还是1好看 2的故事有点牵强 没什么新意 人物不是很讨喜和1比起来             
(NA)	 哈哈欧阳震华确实老了...            
(NA)	 啊呀～小帅哥            
(3星)	 一般吧~            
(5星)	 哇，很是值得看的TBV剧哦...            
(4星)	 我很讨厌IVAN郑嘉颖 觉得他好做作哦 ~败笔~~呕~            
(3星)	 BUG太多~~情节还行。就是应该改名叫英国马和她身边的n个男人            
(NA)	 欧阳震华老了~~            
(NA)	 虽然土里土气，但还是一口气看完了。            
(5星)	 一如既往支持TVB的警匪片            
(2星)	 真受不了TVB...            
(NA)	 他用他的电脑看，我用我的。我比他慢，555            
(NA)	 “是人血。”            
(NA)	 因为这部片子喜欢上了高钧贤。            
(3星)	 大妈把片子整个给毁了。。。。            
(3星)	 香港法政真科学啊~            
(NA)	 不好看            
(3星)	 远不及第一部精彩和缜密            
(NA)	 个人觉得没有第一部好玩            
(3星)	 英国马很bh~一出马~赶跑两个女主角~ps~里面2男主看起来很有爱~            
(5星)	 逻辑性,知识性好强            
(4星)	  TVB  TVB  TVB 长期支持对象            
(4星)	 好多穿帮镜头            
(4星)	 要是Ivan做我男朋友，我每天就只要看着他，就会很幸福了~~~            
(3星)	 cos啊cos            
(5星)	 力荐..超级好看.!             
(NA)	 ｏｈ～喜欢～            
(4星)	 终于煲完了。。            
(4星)	 喜欢里面的爱情故事 很现实很真实很有道理 都是索爱的手机            
(NA)	 一直都喜欢~            
(4星)	 好喜欢叮叮啊~            
(3星)	 哎，完全是视帝视后的天下啊。            
(NA)	 我就这么俗            
(3星)	 1比2好            
(3星)	 证据是不会骗人的。            
(4星)	 我才知道演Ivan的郑嘉颖就是当年那个江玉郎==b            
(4星)	 第一集就吸引人啊……WAR GAME很好玩            
(2星)	 [08.07.06]TVB真是不行了...            
(5星)	 TVB的细致            
(NA)	 杨逸升！好喜欢啊！            
(4星)	 天天追看，还能不喜欢吗~~~            
(4星)	 整个一英国马传奇~为了看KC，我忍！PS：帅锅很多，SO多~            
(5星)	 我爱小马啊啊啊啊啊啊            
(4星)	 ...无聊时候打发时间的好作。            
(NA)	 还是喜欢古采尼~            
(5星)	 每个案件都很悬，很刺激。            
(NA)	 在TVB这么花少的现在，仍然算作好片啦~渴求少了，满足就多了            
(3星)	 偶觉得II比I好看啊，又和主流观点背道而驰了。            
(NA)	 好看好看~因为喜欢IVAN            
(NA)	 看过I，看了一些评论后，对II很感兴趣。            
(3星)	 不如第一部啊,更TVB了...            
(3星)	 windows media player真牛            
(3星)	 没有第一部好~实话,有点搞            
(3星)	 一般            
(2星)	 演员表演相当到位，可恨故事情节十分糟糕。            
(4星)	 终于追完大结局。            
(3星)	 在家，在豆瓣看            
(4星)	 2008.06.28            
(5星)	 太不错啦            
(3星)	 感觉还好，总觉得只顾老佘的感情了，案子不如第一部精彩            
(5星)	 和第一部一样精彩            
(NA)	 一口气看完，觉得仍是更喜欢第一部多一些。            
(3星)	 虽然案情不怎么样，但还是期待第三部            
(3星)	 比第一部差很多            
(3星)	 都算从一而终~~~            
(4星)	 优酷上今天追完，还好在毕业之前看完了，要不然记得慌            
(4星)	 如果没有佘诗曼会更喜欢            
(5星)	 快出第三部吧!!第2部最后一集那个女生很喜欢阿!期待第3~~            
(NA)	 做梦都在想剧情            
(3星)	 又完成了一段夜晚追港剧时间。。那个踢桌子的凶手想起来好阴森。。身怀绝技再加点鬼胎就很凶了。。            
(4星)	 没有1好看呢            
(5星)	 好好看哦.但是如果这辈子她不陪我看.我是不会再去看的            
(2星)	 有点烂            
(NA)	 好看 有意            
(4星)	 TVB的套路真让人摸透了            
(4星)	 阿佘～            
(4星)	 虽然知道是老掉牙的剧情和风格，还是慢慢再看，因为相隔已远            
(3星)	 蒙嘉慧的野人发型，汗，SSM的角色，故装cool，不舒服            
(NA)	 还是喜欢第一部.            
(3星)	 还不错            
(3星)	 剧情？            
(4星)	 越来越喜欢郑嘉颖            
(3星)	 完结             
(4星)	 港剧经典剧情就是第二季上来就会有一对情侣的女的死了，外加就是这个编剧不好玩，显然Dr Koo喜欢Madam Ma的，结果啥都没.....            
(4星)	 看完好长一段时间了，与第一部相比案情显得弱了一些，但对于人物性格刻画和感情描写下了功夫，在港剧整体水平下滑的今天还算上乘之作            
(NA)	 大结局好精彩 哭了好几回            
(5星)	 ..法政II~~            
(3星)	 赞IVAN            
(NA)	 感觉最后Sam遇见又一个穿那双鞋的女性，是为了拍法证先锋III……-_-            
(3星)	 简版CSI配上无聊的感情戏典型港剧风格            
(5星)	 续集            
(3星)	 结局太假了，呵呵            
(5星)	 喜欢看推理型的电视 很好看的哇            
(3星)	 终于看完了，其实也就是看看佘诗曼~。            
(NA)	 结尾有点太故意了            
(4星)	 没看完结局，有点可惜．几年后看完了结局,原来有些东西始终还是要有结局好一点.            
(4星)	 好看~~            
(2星)	 看了前面几急就没兴趣了，就象在给高科技打广告，没有悬念可言，也很讨厌佘斯曼什么戏都要来插一脚。            
(NA)	 厄…转的这么快。。不过　大团圆结局还是很受拉            
(3星)	 虽然大牌了，但超级讨厌n角恋爱，进展太快了吧？            
(5星)	 我就是爱IVAN,我就是爱IVAN！！！我就是喜欢taste和自己相近的男生，我就是相信如果一个人和我有相同喜恶，我就喜欢这个人。            
(NA)	 毕业后三个月终于看完了这部。。。            
(4星)	 因为看太多的CSI,觉得破案故事就还好,毕竟NY里面那技术已经出神入化了,只是就是还是很算是OK的港剧啦,虽然很多人说抄袭,但是说还是很本土啦,而且看最后车祸的时候觉得BB的演技确实是很好的说~~~有感动到哭~~`            
(3星)	 简直是马国英传            
(3星)	 ms比第一部慢了嘛。            
(4星)	 还有3么？！            
(NA)	 港剧里的恋爱挺纯情的 呵呵            
(2星)	 看了6集看不下去了，都因为SSM            
(NA)	 很典型的港片，有帅哥美女，情节和手法都不错。            
(4星)	 阿佘演的挺好的^^            
(4星)	 超级爱这个Happy Ending。            
(3星)	 俺还是觉得郑嘉颖很帅。另，佘诗曼那个角色根本就是替蒙嘉慧来着，活活的抢走了女一的位子啊            
(4星)	 真当不喜欢英国马个Ivan……结局太囧……            
(3星)	 我是bobby的粉丝            
(4星)	 终于看完啦，不知道最近还有什么好看的了。。。            
(4星)	 爱好TVB剧集就看看吧，追到现在终于结束了。接下来安心考试。            
(3星)	 佘诗曼的发型让我不太满意。            
(NA)	 ..........            
(5星)	 有欧阳振华的我喜欢～还有我喜欢的佘佘            
(4星)	 好在结局让IVAN醒了，要不真是没啥大意思。            
(4星)	 剧情还不错。            
(NA)	 追看ing……            
(3星)	 中意Bobie同唛郑嘉颖            
(5星)	 悬念迭起，集集精彩！欧阳震华同林文龙都系甘博学。郑嘉颖好靓仔，好叻仔！佘斯曼就型到爆！            
(2星)	 不好看.........  不用在意猪脚，使我加多一颗星。            
(3星)	 从地震前看到现在，真是历时好久。。            
(5星)	 Professional            
(5星)	 最近要用一段时间该剧的头签 BELL和IVAN，实在很是喜欢。可人的一对。好像俗套的台词轻易的打动了我的心。。。            
(5星)	 大团圆结局            
(4星)	 科学见证力十分强劲！            
(4星)	 YOYO            
(4星)	 KC脑残粉等级继续飙升...            
(3星)	 越看越觉得法证2的重心在重案组= =前13集的案件太过紧密都审美疲劳了，中间又很平淡，好在首尾呼应。佘诗曼还是在《天与地》里面短发rock一点好看，欧阳震华变成一个老胖子了，搞不懂林文龙的粉丝怎么这么少。国语版在汀汀死了之后出现的龙套配音都是汀汀让我很无语。            
(3星)	 还不如一好看，但是挺喜欢郑嘉颖的            
(5星)	 真的好喜欢欧阳震华啊```            
(4星)	 案件太简单了……有些地方过度的也很快，很假啊。            
(4星)	 阿佘和KC在一起吧！！~            
(4星)	 比壹逊色一点，不过还是胜过弎很多~终于看完一二两部共60集。好累啊~熬了好几个通宵。。。            
(4星)	 我觉得第二部是最好看的            
(3星)	 这个故事告诉我们TVB一直在抄袭，从来没超越。            
(5星)	 好看！            
(4星)	 Dr. Koo魅力金光闪闪；Ivan堪称24孝男友的典范。同madam的三角关系也很好看。案件虽然都比较小儿科，但是很少看到电视剧能同时把多个角色刻画到位            
(2星)	 TVB的剧本，我都写得出            
(2星)	 剧名应该改成英国马全传==可怜的汀汀被挂小柔被重伤，剩下英国马打满全场o(╯□╰)o看到第四集弃剧。            
(5星)	 佘佘~❤            
(4星)	 妈呀，这部看的太闹心了，怎么这么多心理变态的角色，还觉得自己有理有据的            
(5星)	 比第一部略差一点，但是依旧给力            
(4星)	 还是很喜欢古医生这个角色~~林文龙挺适合这个角色滴~~            
(4星)	 佘诗曼很有气场            
(4星)	 佘诗曼出场太惊艳了。            
(4星)	 完全是为了Ivan才追着看完的，郑嘉颖在TVB的片里绝对比八爷耐看！绝世好男人~            
(5星)	 郑嘉颖显然帅过林文龙~            
(4星)	 这个时候的郑嘉颖真是处于帅的巅峰时期 特别喜欢啊~唉到了步步惊心就沧桑憔悴了好多            
(4星)	 受不了小柔的新发型            
(5星)	 这是三部里我最喜欢的一部            
(4星)	 汀汀早死让阿琛一个人真是太悲痛了 ！KC好帅啊！ 蒙嘉慧沦为配角也好悲痛啊！            
(4星)	 竟然是happy ending            
(4星)	 凑凑合合，无功过            
(5星)	 好彩妹离开有点突然，不过佘诗曼真心有气质，外加八爷助阵，经典！            
(4星)	 我表示我爱上郑嘉颖了！！            
(3星)	 哎，我滴TVB功力越来越好了，猜的之准。。            
(4星)	None
(3星)	 佘诗曼长的真的好像孙悟空。。。最后两集好感人。。。把偶看出眼泪了都。。一个月看完三部。。。顿时世界无比空虚啊。。。            
(4星)	 上大学以后看过的最完整的电视剧了，虽然有些情节挺牵强，悬疑破案类的还是值得一看哦。。。            
(4星)	 我就担心MADAM MA和古医生在一起了- -。2个人好暧昧啊。。。话说完全懂了发型的重要性。郑嘉颖在这里面竟然这么帅。和那个八阿哥真是两极啊！！！            
(5星)	 从这部片子开始喜欢郑嘉颖，喜欢他的肤色，呵呵~ 有点小花痴！            
(4星)	 每晚都被吓得半死，竟然养成晚上看法证的习惯...            
(3星)	 郑嘉颖很帅，不喜欢佘诗曼。。            
(NA)	 对佘与林的感情线最后没有在一起，表示非常遗憾！            
(4星)	 Ivan加一星！            
(5星)	 虽然案子都不如前一部精彩..不过要给郑嘉颖加分..哟嚯嚯嚯嚯            
(4星)	 比起结尾的表情 更爱过程            
(5星)	 太喜欢温暖的大团圆结局，温馨到哭            
(4星)	 阿佘在这个里面的造型我比较喜欢。            
(2星)	None
(4星)	 曹永廉跟林文龙长的好相像啊，都有点分不清楚了，⊙﹏⊙b汗，非常不喜欢 佘诗曼，所以我还是乖乖的看法3去吧~ps：话说蒙嘉慧这造型真是难看啊，难道是为了衬佘诗曼嘛！？            
(4星)	 破案和感情戏都有些老套了，Sam和Ivan的狗血结局怎么看怎么有种Bl剧的赶脚            
(4星)	 狗血三角恋，不过情节演的还算合格，外加一星给KC            
(4星)	 郑嘉颖穿白大褂太帅鸟~            
(4星)	 香港当红小生郑嘉颖果然不是盖的            
(5星)	 3部中最经典的            
(5星)	 Ivan实在好男人=。= TVB还是刑侦剧最有爱了。            
(3星)	 不如1，不过还可以看，至少有帅哥养眼。            
(3星)	 法政片拍摄上的嘈点多到这样也没办法，虽然剧情还算ok.            
(3星)	 罗嗦            
(4星)	 感覺沒有第一部精彩 kc出場破壞感覺了 古sir很悲慘            
(4星)	 比三好看            
(4星)	 不喜欢佘诗曼，那个英国马太假了            
(NA)	 不看剧情看人，某个第二集结束才出现的拆弹小伙在这剧里的性格太完美了，又阳光又细心，编剧是为满足少女心写的吧。佘诗曼倒是让人眼前一亮。这个角色很适合她，干练也漂亮。配角们也可爱。尤其是沈雄，看着就心情好            
(4星)	 还是很好看哒            
(4星)	 揍是喜欢郑嘉颖，怎么地            
(5星)	 喜欢逸升这角色            
(3星)	 被ZJY秒到            
(5星)	 蒙嘉慧一下子变成女2号 佘诗曼演的不错            
(4星)	 哎，郑嘉颖这么抢镜，还好，古医生还是很棒！            
(5星)	 终于三部全看完啦~~喜欢郑嘉颖佘诗曼这一对呢~最后一集赚足眼泪啊啊a~对求婚的戏码毫无抵抗力呢            
(3星)	 一后三王，这种设置捧的太明显            
(3星)	 为了加佘诗曼和郑嘉颖，让第一部的双旦一死一残，真心不厚道，古医生死了未婚妻我没意见，还要苦逼苦的搀和进三角恋。最后Ma肚子里孩子，一个踢桌子能把人家大腿骨踢断的替身演员一脚开过去，都没踢掉，是怀了个金刚葫芦娃么。这片子不要叫法证先锋了，叫先锋佘诗曼吧……            
(5星)	 就是不想丁丁死啊，不死就真没啥遗憾了！还有法证3真看不下去啊！            
(4星)	 我感兴趣的是剧情，但是中途几个人的感情居然产生了微妙的变化，形成了三角恋情。即便是这么的狗血我依然是想看下去，真可谓是对TVB的一片深情啊。            
(4星)	 我是为了郑嘉颖看的。。但还是改不了对港剧的印象，粗制滥造，没有人情味==            
(3星)	 开篇的故事还行，为啥后面的案情越发无趣了，估计后面是不会再看了            
(5星)	 虽然对佘诗曼持保留态度 但是 郑嘉颖啊郑嘉颖啊郑嘉颖！从小被培养的对警匪片的热爱。。。不过这部里面各种科学实验多了点。            
(4星)	 好恐怖啊最后那集~            
(NA)	 其实 我还挺喜欢 蒙嘉慧的 只是第二部里面 感觉是为了突出佘诗曼吧。。            
(5星)	 五星是为了Ivan和Bell的happy ending~            
(3星)	 虽然阿佘比蒙嘉慧有MADAM气质，但无线偏袒的太赤裸裸了，这主角的感情局戏看的真是无语。            
(4星)	 不错~            
(4星)	 KC黨重溫            
(3星)	 前两天翻出来看了一会儿才发现我原来看过的，以前就因为是佘诗曼女王养成记没看完，现在还是不能看下去。搜狐有http://tv.sohu.com/s2010/fzxfb/            
(3星)	 在同学家看过几集 蛮吸引人            
(5星)	 3部里最喜欢这部，都是些我喜欢的脸~            
(3星)	 梁警官的头发~~则啧啧啧 洋气！            
(3星)	 比起第一部，差很远啊            
(4星)	 郑嘉颖超级帅的~ 不过我强烈要求结尾郑嘉颖要出镜！！！为什麽一下就没了……T  T             
(3星)	 无线你要捧佘诗曼不至于这样吧，4集就把钟嘉欣炸死，蒙嘉慧耳聋手伤，不得不退居二线，发型颓废就算了，命运多舛就算了，16集干脆直接消失跑去外国进修，还直接影响到老欧的戏份。失望透顶。破剧。看到佘诗曼的僵尸脸就恶心。            
(5星)	 爱上郑嘉颖了            
(2星)	 。。。            
(4星)	 不喜欢 佘诗曼            
(5星)	 真系粤语学习既好教材 比第一部好睇 IVAN几完美&gt;&lt;            
(NA)	 这部不错            
(5星)	 欧阳小光头。            
(5星)	 终于没有了钟嘉欣，林文龙，郑嘉颖我都好喜欢，案情也不错。            
(4星)	 给结局5颗星            
(4星)	 佘诗曼还有郑嘉颖都好喜欢的~            
(4星)	 为了欧阳~            
(4星)	 结局处理得比1好~起码没有那么潦草~            
(5星)	 个人认为第二部的案子比第一部精彩很多，对于八爷塑造的那个男人真是无法不爱啊~性格太好了~~~蒙嘉慧刚开始那时候的发型让人无力吐槽了。。。            
(3星)	 想看三才看的一二 看完一二没心思看三了...            
(2星)	None
(4星)	 依家看番发觉原来好搞笑            
(5星)	 这一季最爱Ivan这个角色            
(4星)	 节奏比1要稍微差上一点，感情戏戏份足。。。还是喜欢Madam Leung胜过Madam Ma，虽然曾经很喜欢佘诗曼，但看久了她的苦瓜脸还真有点审美疲劳。。。            
(5星)	 花了一个晚上加上一个白天把三十集一集不落的看完了，甚至连快进都没有。。。。            
(5星)	 经典不解释！            
(3星)	 還真剛再看了一次呢..            
(4星)	 爱港剧怎么办            
(5星)	 为了我的郑嘉颖也要看啊，哇哈哈哈哈            
(4星)	 3不如2，2不如1.裏面好多臺詞重複的太厲害啊            
(NA)	 粤语增增增好听！蒙嘉慧超有气质的说            
(4星)	 没有第一部好看，主要是汀汀为什么要死啊...弄出一个近似三角关系，唉            
(3星)	 这时候的阿佘已经有点残了= =。。但是KC很帅啊！！还是只是他不适合古装而已？            
(4星)	None
(3星)	 小柔才是主角嘛！其他的都死开            
(4星)	 这部欧阳胖胖似乎成了炮灰，佘佘太抢眼，很帅气，3根本不能比。就是感情线设置地不太好。            
(4星)	 Ivan这种人世间罕有            
(3星)	 KC是亮点……            
(5星)	 我决定把KC的剧翻出来全看一遍~~我已经无敌喜欢madam Ma和Ivan ~~            
(4星)	 看这部剧觉得佘诗曼演技不错            
(3星)	 粵語聽力教程，不過，結局真是讓我一口鮮血，噗…………………………            
(4星)	 三角恋甚么略俗气，不如Dr Koo和Ivan搞搞基算了，陈小生已然是一个油头大叔了，江玉郎依旧是帅哥一枚，探案甚么的是越看越没劲了，剧情一般人都编的出= =            
(4星)	 好看            
(4星)	 大部分的报复者之前都是受到了更坏的人的伤害，而这些人并没有得到应有的惩罚，只可惜报复者们的方式都不对。Sam居然说在他的世界了只有黑与白，可是在这部电视剧里从根源里就没有公平，这么说难道不幼稚。还有，为什么结尾的桥段都是什么主角收到生命威胁，要死就死呗，还搞到最后弄个诈尸            
(NA)	 2012年第二部剧            
(3星)	 喜欢wilson~            
(3星)	 虽然我一点都不喜欢林汀汀，但是能不能不要在片头曲里就告诉我她马上就死了啊！搞得好像是我把她咒死了似的……            
(NA)	 其实本来我是冲着胖胖和蒙嘉慧去的，但是不知道什么原因，蒙嘉慧居然不是主角了。            
(4星)	 延续第一部 欧阳震华的演技不是盖的 就是感情戏太纠结了。。。            
(4星)	 完全是为了去看欧阳震华  那个时候是真挺迷他的            
(4星)	 1像csi；2像名侦探柯南；3像1+2            
(4星)	 英国马还是演的可以的，和郑嘉颖还是很配的。但是从第二部开始，就开始有点秀新科技了，不注重剧情了。还是第一部经典！不过，那个钟嘉欣终于第一集就死翘翘了~~~            
(4星)	 没有前一部剧好看，Ivan的角色还可以，不过还是喜欢上一部留下来的角色，最后陈敏之出场也很特别，翻版汀汀            
(5星)	 第一次这么认真地看港剧！Bell和Ivan真好~            
(4星)	 不错的剧，郑嘉颖不错            
(4星)	 3看了1集  不想看了 1 2 勉强看完            
(3星)	 蒙嘉慧这部被明显弱化  古医生都不带伤心的啊？？            
(4星)	 一直看到古医生为马帼英付出：关心家人啦、关心马的身体啦、把马写进小说啦，也没有见马为他做过什么。古医生其实也是付出型的。            
(3星)	 看到24集实在是看不下去了..当狗血的三角恋出现时..案情反而变得不那么重要了...            
(4星)	 很多故事还是蛮有意思的            
(4星)	 我爱case爱旁枝末节不爱结局            
(4星)	 反正演员我都很喜欢            
(4星)	 不喜欢madam马            
(NA)	 那双镶钻的球鞋无人穿了。            
(4星)	 madam ma怀孕的很狗血！            
(4星)	 感情线复杂了好多。重点偏移了，案点不再是亮点。            
(4星)	 爱情线什么的 最有爱了。            
(3星)	 没1好看，yoyo戏份好少。            
(3星)	 阿佘个人show            
(4星)	 蒙嘉慧还是长头发好看            
(5星)	 明显比3好看太多 诶 编剧不是一个水准的            
(4星)	 比法证先锋3好看            
(4星)	 佘诗曼的铃声不错 声音很大很独特 案子也有可看性 比3好            
(4星)	 这应该是发证里面最好看的一部了            
(3星)	 更喜欢蒙嘉慧呢。。。总算是对郑嘉颖有点好感了。。。第3部就不看了，演员都不认识。。。            
(5星)	 还好结局是好的 不然心脏承受不了            
(3星)	 没有1好看            
(4星)	 这个系列还是不错看滴            
(NA)	 二十一点三十分为止，今天已经看了9集，还要继续嗯。。。啊啊啊啊啊啊看完啦，法政3的后遗症——法政1和法政2，嗯近期应该不会再看这该死的港剧了，回老本行日剧去鸟~            
(NA)	 八爷那时好嫩阿、为嘛才几年看起来沧桑了那么多            
(4星)	 “生命里许多事情，沉重婉转至不可说。”—— 给一部法政片里的爱情片段，给阿Sam。            
(2星)	 好无聊。。。。。。。            
(4星)	 都是差不多的，拍来拍去都这样。            
(NA)	 但凡N部曲我都会少看一部。==！            
(5星)	 好看！            
(5星)	 编剧在高智商连环犯罪的道路上一路狂奔。            
(5星)	 又重温了一遍            
(4星)	 看见Ivan，我也想去英国读个master degree了。            
(NA)	 最近实在太无聊了，反过来了，我是看完了法证先锋3，再看2，再看1，还是爱秃子，别的还好。            
(4星)	 可惜蒙嘉慧的出场太少了，不喜欢佘诗曼            
(4星)	 林文龙演的古泽琛真是理想型            
(NA)	 看的心力交瘁，死那么多人            
(4星)	 一开始真心不喜欢蒙嘉慧，看到后来好在她戏份不多。话说回来佘诗曼就那么爱撕伴娘服吗？衣服是便宜货吗？最后差点以为是悲剧，佘诗曼你眼泪真是赚到了。我决定把宫心计再看一遍，真是要笑死的。哎            
(3星)	 对佘诗曼无感飘过。。。==            
(5星)	 kc 太帅啦~~不知道为什么一直对ss无感~~            
(4星)	 很多技术性的知识普及，大吸收，可惜当时忘了记。佘诗曼真心漂亮。槽点在于高科技的唯一用处就是显示字幕——match。。。            
(NA)	 Ivan实在太帅了            
(5星)	 看到3滴演员我顿时就萎了.            
(4星)	 跟1差不多            
(5星)	 俊男很多~~            
(4星)	 郑嘉颖非光头的样子还蛮帅的            
(5星)	 法2最好看！            
(4星)	 第二部，感觉弱一些了。            
(4星)	 令死者安息，让生者释怀qr            
(4星)	 单纯为了Tim sir和小柔而看            
(4星)	 看了这个觉得郑嘉颖好帅~~            
(3星)	 我还是更喜欢你们工作的样子            
(4星)	 看到一堆试管什么的再一次感叹当初没好好学理科，唉            
(3星)	 越看佘诗曼越像吴君如            
(3星)	 导演，你搞嘛呢！！虽然欧阳震华的脑袋越来越秃了，也不需要让郑嘉颖和佘诗曼这样明目张胆的抢戏吗。只有欧阳震华和蒙嘉慧组合才是王道吗！！            
(NA)	 又是死了主角的            
(3星)	 丁丁死了就没再继续            
(3星)	 郑嘉颖真是越来越帅了            
(4星)	 佘诗曼和蒙嘉慧好美啊。唔。然后。我没觉得欧阳震华比黎耀祥演得好到哪里去啊。。。            
(5星)	 禁不住想吐槽，现在的BB可真坚强            
(4星)	 佘诗曼加入，主角感觉有偏差了，我还是喜欢原版人马啊。。。不过郑嘉颖真的很养眼            
(4星)	 经典            
(3星)	 实在不喜欢ssm。。。            
(4星)	 钟情于港剧            
(3星)	 前几天才看完。。只能说坑爹啊。。我一直以为佘诗曼和郑嘉颖只是亲亲小嘴摸摸小手的级别。。。还没反应过来佘诗曼就怀孕了！！我囧啊！！！            
(NA)	 明显没有一好看了…            
(5星)	 阿佘出场超帅            
(3星)	 香港电视剧能兼顾公益，具有教育意义，这一点其实相当好。            
(NA)	 脑水不够            
(4星)	 也蛮好的。从这开始注意郑嘉颖哈哈哈、、            
(4星)	 11122425两天看完~郑佘党还是IB党呢?!哈哈            
(5星)	 以没有照片为理由，开着PPS，下载着照片，做着PPT，终于熬夜看完了法2.中意阿佘和kc这对~~在belly、ivan和sam的感情处理上很高兴编剧没有写为belly弃ivan投向sam的俗套，三人之间发生的还是能够让人回味的。剧里人物之间各            
(4星)	 尼玛结局弱爆了            
(NA)	 好看~！！！郑嘉颖超级帅~！！            
(4星)	 男人养眼啊~~~            
(4星)	 加入的新演员也都好喜欢            
(4星)	 这部果然是三部中最好看的            
(4星)	 每个罪犯背后都有一个悲惨的故事……以及，这部里的警察比3里的厉害多了            
(4星)	 感情戏比法3强很多啊。。好喜欢bell和ivan这一对            
(3星)	 郑嘉颖啊~~~~            
(4星)	 时隔多年在看就觉得剧情好弱            
(NA)	 郑嘉颖真心  素爱            
(5星)	 For yoyo..            
(4星)	 第二部真心好看！~对佘诗曼改观~            
(3星)	 同不错~            
(3星)	 本著不棄劇的強迫癥。。。T  T。。。看完了。。。不喜歡啊不喜歡啊不喜歡啊。。。好吧，我很無聊。。。            
(4星)	 蛮好的            
(4星)	 结局真心很雷人            
(5星)	 好看！            
(3星)	 蒙嘉慧的造型比第一部逊好多~            
(3星)	 比第一部强点,总体来说相当一般.....            
(4星)	 比1差些 一开始就死主角，而且叮叮死的这个案太easy 好在KC可以给加分            
(5星)	None
(3星)	 简直就是为郑嘉颖和佘诗曼表现的舞台            
(4星)	 ss气场就是强            
(NA)	 主要看欧阳震华和佘诗曼！             
(NA)	 剧情来看，案情复杂一些，回忆性剧情太多看着很想快进，小知识的科普较多，赞。            
(4星)	 比第一部多了些搞笑情节~            
(5星)	 觉得2更精彩，工作久了倦了，看这部片子就会有启迪，什么是专业，我会努力朝这个方向看齐的。            
(4星)	 系列剧中的女一和女二被降为女二和女三是多么滴悲惨呀：蒙嘉慧右手残废，远走英国留学，钟嘉欣更惨，前5集就被做掉，只能在回忆场景中露个脸；命运多舛还不是最悲惨的，最惨的是失掉女主地位，连发型都被搞得土的掉渣，用来衬托新女主的英姿飒爽，杯具呦            
(4星)	 2011.12.20            
(4星)	 好吧、我承认这部戏的案情没有一个吸引我，我关注的，只有这段三角恋。。。－－！我既中意Ivan又中意阿Sam啊！！！怎搞啊~~矮油矮油~~~~伦家好为难。。。            
(4星)	 tvb剧的一大特点是剧中的每个人基本上会不断的交叉谈恋爱。因为人物太少了么。            
(3星)	 3.5            
(4星)	 蛋疼 又看一遍。。            
(4星)	 没有法一好看 情感太多 案子有点儿少            
(4星)	 郑嘉颖还是穿时装好看……            
(3星)	 第一部好            
(4星)	 这里的佘诗曼不讨厌。            
(4星)	 看完3回過頭看2——這才是法證嘛，靠證據外加百科全書破案、警察也不是廢柴——Bobby演誰都還是Bobby，可是就是喜歡吶╮(￣▽￣&#34;)╭ 美中不足佘戲份多到想吐，如果減半該多好~            
(3星)	 说实话蒙嘉慧的造型肿么搞的？到最后才正常起来            
(3星)	 总觉得KC在里面没有很好地诠释出恋爱的感觉，但在现实生活中却和佘诗曼传出了绯闻            
(5星)	 恩，确实比三要好看！表扬记！            
(4星)	 这部照比第一部差了点哦~第三部主角全换了以后干脆没再看了            
(4星)	 开始对佘诗曼有好感了！╮(╯_╰)╭            
(4星)	 其实更想给四星半，整部剧看下来满脑子的粤语。温馨紧张并存，喜欢佘诗曼的阿Bell~            
(5星)	 阿Sam真的很悲剧，都快结婚了，那么恩爱，汀汀就这么被炸死了- -哎。。。之后他貌似也喜欢帼英，但是让给兄弟了。。。导演对他很不厚道啊。。。总算结局不错~~~            
(4星)	 林文龙归顺吧！！！            
(5星)	 还是1好看，不过2也不错的            
(4星)	 kc v5            
(3星)	 真的没1好            
(5星)	 佘诗曼             
(5星)	 继续三            
(5星)	 给五分是因为太爱阿佘~            
(4星)	 以前不敢看～因为看了三顺便把二也看了，案情比三好～不错～            
(4星)	 看完了，脑袋里面也不平静了，净想些乱七八糟的事。。            
(5星)	 这孕怀得真心莫名其妙            
(NA)	 这里佘诗曼演的反倒不自然，可在天与地里却非常好。两年半的时间，什么改变了。            
(5星)	 法2里的郑嘉颖，怎么帅成这样            
(3星)	 连续把3部看完，看到后面对案子越来越没兴趣，手法太简单，一下就看穿了，没意思。为了捧佘诗曼，硬是把蒙嘉慧变成女二号。            
(3星)	 个人不喜佘诗曼，客观来说，续集真的很难出好！            
(4星)	 郑嘉颖太帅了- -我晕了啊            
(5星)	 继续来补科学知识~            
(3星)	 当年看《绝代双骄》，烦死了那个江玉郎。看这部戏觉得郑嘉颖也挺好的。还有佘诗曼，也不那么讨厌了。哈，继续练粤语听力中~~~~            
(NA)	 看完第二季，要追第三季。            
(4星)	 感觉佘诗曼看着还是没蒙嘉慧那么舒服            
(4星)	 作为阿佘的影迷 看这剧实在是太爽了 这里面她好靓啊~~~原来不是很喜欢郑嘉颖 这里才发现他真的好帅 Ivan和bell好般配 真希望阿佘和KC在一起啊！！！            
(5星)	 我的丁丁！！！~            
