http://movie.douban.com/subject/4236823/	偷心大圣P.S.男
(3星)	 已经很久没有看台剧了，冲着2大名模看的，却意外非常喜欢男二号..........第一集拍的真不够吸引人，当中部分都还可以，只是最后几集情节过于拖沓，最后一集绑架测真心桥段真的过于老套了......            
(3星)	 湾湾剧都这样。。没看下去            
(3星)	 蓝正龙的演技的确不错。一个可爱的痞子男，其实，是因为内心没有长大吧。另外，因为奶茶配唱的片尾曲才看的。            
(3星)	 仅仅是为了Blue            
(3星)	 我是冲着温升豪去看的，还不错~            
(2星)	 强逼着自己追完的烂剧。            
(4星)	 哎，真的是差点没坚持看完，不过看在BLUE的份上，给了四星。。。            
(NA)	 偷心大圣~！            
(3星)	 前面还行，后面就乱套了，纠结来纠结去            
(4星)	 还不错            
(4星)	 那园长实在太逗了。            
(3星)	 好吧，只有蓝正龙蛮帅的，剧情看到后来就是鸡肋            
(3星)	 后几集实在看不下去了 很喜欢白歆惠            
(1星)	 我不想说什么了我……            
(3星)	 演技有点……            
(3星)	 刚开始前面几集还好 但是 越看到后面 感觉 剧集越 拖沓。。            
(3星)	 一星献给Blue、隋棠、温升豪、白小姐；一星献给我无聊的时光；一星献给“马小茜”看到有我的影子。            
(3星)	 结局有点无聊！            
(2星)	 只能看男豬腳.            
(3星)	 因为隋棠才看的，但是她的演技实在是。。。哎            
(4星)	 喜欢片头曲~~目前就是这样看完咯~后面其实是快进的，我觉得剧情顶多16集了~~不过前半段还是蛮好看的            
(3星)	 配角好喜剧~            
(1星)	 真是忍了很久看完的，烂啊            
(3星)	 卡司很强大，当初一周一集的下，等到最终完结时却啥都不想看了            
(2星)	 后面又拖沓，结局又烂。。。            
(2星)	 没劲，都跳着看看的，太婆妈了就有点腻味了！！！            
(3星)	 喜欢里面的演员~里面的所有演员都很喜欢，所有看电视没有太在乎剧情。            
(4星)	 就让姐继续肤浅吧，只要给我一个夏和杰。。            
(3星)	 我晕···为啥收尾都那么草率捏？在一天之内看了两部草率的收尾。。。真扫兴~~~~虽然都是大团圆结局啦~~~~哎~~~~不过回想剧中“天使幼稚园”的氛围，还是很喜欢的！            
(3星)	 平凡的人适合平凡的梦想,平凡的爱情            
(4星)	 由于每周一集，所以印象深刻。可惜所有的偶像剧都是到最后男女主角终于可以在一起时就戛然而止，让人看着多少有些不够过瘾！喜欢剧中的blue！！！真不舍就这样结束了……            
(3星)	 台湾片太拖沓，看到后来没了欲望            
(4星)	 虽然一到大饼脸的白歆惠的戏就多余。。。虽剧情套用了电影甜蜜幼儿园但比起那个看点多多而且好看多了，蓝正龙好帅，magic power的歌真欢乐            
(3星)	 真的是还行            
(2星)	 所谓的俊男美女组合。蓝正龙的发型真的很恶心！白钦惠的嘴实在是难看。隋棠，因为看过她和信演的电视剧，所以还不算讨厌她，不过剧情安排她实在是……            
(2星)	 如果不看最后一集我会给三星的。虽然我也没看过多少集。。。            
(4星)	 由于每周一集，所以印象深刻。可惜所有的偶像剧都是到最后男女主角终于可以在一起时就戛然而止，让人看着多少有些不够过瘾！喜欢上剧中的blue！！！不舍就这样结束了……            
(5星)	 幸运马蹄铁U做真正的自己            
(3星)	 剧情俗了点，但是我喜欢剧中男主角慢慢变化的感觉            
(3星)	 一般~ 太童话了            
(3星)	 BLUE很帅 但情节太纠结了            
(4星)	 BLUE还是很帅的说~~            
(NA)	 孟成恩真的好好啊  为什么不选他呢  唉  真的很可惜  现在的富二代要都有这样的话  那这个社会将会多么的美好啊              
(3星)	 看一集开头，看一集结尾，就当作看过了。            
(3星)	 为了棠棠而看.终于终于结局了!!最后两集棠棠的发型才好看了..            
(4星)	 结尾太快了感觉还没说清就结束了            
(3星)	 为尊重劳动成果，才勉强给了3星。            
(3星)	 oh, 还是期待接下来的钟无艳吧            
(4星)	 有时候有点纠结有点瞎 有时候对白让人感触 总之 一直支持SET~             
(2星)	 怎么会有这么无聊的偶像剧 - - 尤其是最后一集，孟成恩的那个局 - - 哎哎哎            
(NA)	 蓝正龙的演技提升了呢。            
(3星)	 蓝蓝好帅……还有小酒窝……忽忽……            
(5星)	 想来是太喜欢夏和杰这个角色才移情到blue身上的吧。记得以前看流星花园的时候觉得他很难看啊。            
(4星)	 永远王子和灰姑娘的故事，第一次看隋唐这种扮嫩的角色，在娱乐界打拼这么多年，总算出头了。PS男这个角色很适合blue，比起流星花园时的他真是越来越有味道了。明天就能看最后一集了，一定是个happy ending~            
(2星)	 太烂了 编剧实在是脑残 一星给温SIR 一星给那个女人漂亮不温柔的台词            
(5星)	 不错不错！天使幼稚园！我好毕业了！            
(2星)	 这片子真是烂到可以~~ 要不是演员好看简直看不下去。。。。隋棠演戏无论从哪个方面说都比不上杨谨华。。。。同样类型很难不拿来比较。。。小朋友到是演得粉可爱     编剧本来是想讲灰姑娘式的爱情。。可惜却让观众对灰姑娘没什么好感。让我们觉得王子不应该和灰姑娘在一起。 越看越诡异。。。            
(3星)	 开头还觉得有悬念，节奏明快；越往后越觉得拖沓，结局那段绑架真得很瞎            
(3星)	 剧情越来越拖拉了...隋棠不适合演清纯女啦~ 演技差的要死            
(3星)	 竟然一直被我追到底了。。。            
(4星)	 温升豪温升豪！！！！！！很讨喜的阵容~很喜欢~~            
(2星)	 能干净利落点吗？不能。。所以我是自虐。自找的啊。。            
(2星)	 喜欢隋棠，但里面的扮相有点失望，看后对蓝正龙有好感，很喜欢他语出惊人的时候，对男二非常感动，对白白有少许改观，但不喜欢她的长相            
(2星)	 故事不错 可以看下去的            
(3星)	 陪伴我一个学期的东西终于结束了= =三立的特点就是前好后拖、、又是部典型            
(3星)	 我从来没觉得蓝正龙这么帅诶。。。            
(3星)	 结局好仓促啊！！！            
(3星)	 喜欢一个人哪来要什么证明啊？一颗真心还不够么？你喜欢你就承认啊！你喜欢一个人要靠自己的努力，怎么能靠别人要另外的人放手呢？            
(NA)	 隋唐+温大...            
(1星)	 一颗心是给孟承恩的，其他的，特别是那两女，特别是隋唐，真的让人倒胃口，实在是无演技可言，已经演到了一个令人厌恶的境界了。虽然还是差不多都跟了，快进着看看，但这样的剧，收视第一是怎么来的，难道收视是假的吗。            
(4星)	 当遇到真爱的时候，每个人都不会那么冷静得去面对。。。            
(2星)	 我受不了这么恶心的剧情啊啊啊啊啊啊。。。。            
(3星)	 就靠这打发时间了。真的很热。            
(3星)	 大爱白歆惠            
(NA)	 SB            
(4星)	 痞痞的。            
(4星)	 蓝正龙好帅气            
(5星)	 蓝正龙的演技越来越好了。但剧本本身是有缺陷的            
(3星)	 冲着蓝正龙在来看的啦 小邪 眼神不错 很pi            
(4星)	 八错八错，小棠棠和小博博加油            
(3星)	 看到最后越发的无聊起来。            
(4星)	 一颗星给蓝正龙和隋唐，一个星给编剧，此剧乍看之下男女纠结时虐男不虐女，也算是大俗套中的一个亮点了吧            
(3星)	 要是没有BULE和温升豪早就看不下去了。。白白的演技，呃，基本大家都懂。。隋唐嘛。。也许这种傻妹角色不适合她，完全没有痞子英雄里的味道。。            
(3星)	 一样的帅哥靓妹，一样的泡沫剧。            
(3星)	 本來開頭覺得男主有的話雖然混帳但還有點哲理 後面卻就剩下一堆人無聊的愛情了 主題曲贊一個 十分感觸。            
(3星)	 还不错的 喜欢隋棠~            
(3星)	 还蛮不错的~~~喜欢女主~~喜欢孟承恩~~黄色短发我最爱            
(3星)	 女一号一张假脸            
(3星)	 可算是结束了……老套的结局，让人不可置信的男二号……马蹄铁戒指蛮有意思——估计大街上会有卖的了吧？            
(NA)	 可恶的编剧哎。。破剧情。  不过我还是一次次的等更新，还是会喜欢这样的心情。 蓝正龙。温升豪            
(NA)	 冲着白白赵哥还有小8去看的，这三位很精彩，白白美呆了~！小8的COS超正点！PS：康永太挫了。不过还是看了半个小时就看不下去了，蓝正龙无论是角色还是本人都看着好烦！29分钟时那个笑，能再丑点么？？另外，为毛女主非得都要走齐刘海土气傻帽麻雀路线？为毛啊为毛！！            
(5星)	 蓝正龙在里面超帅的说，白白也很美，小小彬好可爱啊            
(3星)	 台剧让我受不了..只是因为黑豆上有才看的，一般吧，又是那种不现实的            
(4星)	 看这部觉得蓝正龙和金城武很像。。。            
(2星)	 越看越无聊......巨扯            
(2星)	 结局很喜欢  再赢半颗星晕 没想到还有第21集 恶俗的结局 狂减一颗星!            
(1星)	 blue真是不会演戏。全部人都不会。            
(2星)	 浪费了小小彬这么可爱的孩子。。。            
(4星)	 我觉得还好啦~            
(1星)	 为了逃避，即使是垃圾，我还是在看。            
(3星)	 不看了，算了            
(3星)	 学德国蒂尔施威格自导自演的片子《甜蜜幼儿园》，但改编得太幼稚，越来越看不下去···            
(5星)	 最近几个月一直看的连载、额、明天还有一集呢、            
(2星)	 越看越憋闷。。            
(NA)	 还是没看完。。。看不下去啊。。。            
(3星)	 看了几集呼叫大明星之后我发现就连泡沫之夏我都觉得制作精良了这个也同理,ORZ            
(2星)	 白歆惠阿..隋棠阿...被你们口西|最终回太差了!!            
(3星)	 喜欢蓝正龙+白歆惠+小小斌。            
(3星)	 BLUE唔错啊，继续追。            
(3星)	 一般般吧，剧情发展也太慢了。。。            
(3星)	 从来都没看完            
(NA)	 看某位就满足了 哈哈哈哈 ==  6finished 弃~ 对某人无感遂也不想看了            
(4星)	 Blue真帅啊真帅~~这情圣当的太情圣了~最后一集我不想看            
(4星)	 太喜欢隋棠了            
(4星)	 隋棠的美腿是我继续追剧的动力~            
(4星)	 蓝正龙在雨中吼得声嘶力竭，吼到我心里去了。隋棠的表演入木三分，白歆惠成为男女一号结合的阻碍，但一点都不讨厌。            
(2星)	 后面的剧情恶心死了            
(3星)	    虽然还是烂俗的偶像爱情剧，不过没办法，我就是喜欢看。  夏和杰的有些话还是很有内涵的。 “失去的东西，为什么会觉得特别珍贵？是因为你不知道何时何地会再看到它，甚至永远都不可能再找得回来了。得不到的东西，为什么会让人特别感到悔恨？是因为它曝露了你的愚蠢、无能与软弱。”            
(4星)	 还是最喜欢温升豪~~~哈哈~~            
(2星)	 如果没有白歆惠和温升豪，分数会更低~            
(3星)	 一颗星给blue，一颗星给隋棠，最后一颗星给奶茶的片尾曲            
(3星)	 蓝正龙好帅啊            
(3星)	 我煎熬着看完!            
(3星)	 前几集凑合，后面太拖，越演越假。PS：温先生很有魅力。            
(NA)	 蓝正龙 不错啦。            
(2星)	 演员很养眼，剧情很狗血。隋棠的形象毁了。。。            
(2星)	 有够无聊。女二很不错。“漂亮的不下厨，下厨的不温柔，温柔的没主见，有主见的没女人味，有女人味的会乱花钱，不会乱花钱的不会打扮，会打扮的不放心，放心的肯定不能看。男人也一样，有才华的长得丑，长得帅的不会赚钱，会赚钱的不顾家，顾家的没出息，有出息的不浪漫，浪漫的靠不住，靠得住的窝囊废            
(3星)	 隋小棠还是我的菜 小小彬依然如此可爱 都好爱啊 BLUE也赞一个 白歆惠也气质 好啦好啦都不错啦            
(3星)	 蓝正笼煤黑 白歆会面瘫            
(2星)	 看完大结局，其实还可以接受的。            
(4星)	 的确还是不错的～            
(4星)	 我们没有在一起至少还想情侣一样，我痛得伤的在你面前苦的最惨            
(3星)	 终于结束了。            
(3星)	 这女主角有语言障碍么            
(2星)	 这男人虽然很讨厌。。但无疑是有那么一套。。ps：最终还是落于俗套            
(2星)	 半途而废了            
(4星)	 孟成恩是俺的菜~            
(2星)	 终于看完 超无聊             
(3星)	 发现台湾的偶像剧，我总是无法追到最后的结尾，证明我也不是太过NC嘛~            
(NA)	 看不下去            
(3星)	 開頭還有點意思，結尾就拖拖拉拉，浪費不少表情。            
(4星)	 隋棠PL ；BLUE 帅！            
(3星)	 本来拖拖拉拉快看不下去了，但是9集白歆惠的醉酒真情让人着实不舍，断续中……            
(2星)	 BLUE.....还是帅 没得法。其余忽略 不解释。            
(NA)	 很无语的电视剧，剧情不算雷，但是也有雷的感觉，跟大多数的台剧一想，都是众人无聊下的产物。如果一定要给这个电视剧分类的话，我认为应该是没事找事型。            
(3星)	 隋棠的腿~~套用宅男的一句话~~~受不了            
(2星)	 台剧惯有的拖沓 卡斯养眼剧情混乱 隋棠越来越讨人嫌 白歆惠还是当model比较好。。终于 。。我弃了 不看了            
(4星)	 我喜欢看冰冰冷的帅哥~~~~            
(4星)	 在我还爱看台剧的当年，忘了看没看完了            
(5星)	 本人最近狂爱BLUE！            
(NA)	 怎么蓝正龙这么猥琐。。。            
(3星)	 虽然情节有点老套，但还是有让人期待的地方...            
(3星)	 冲着片尾曲看的~            
(4星)	 爱情圣经            
(1星)	 很无聊。。浪费时间            
(2星)	 弃！！！            
(4星)	 那个结局简直是无聊透顶，雷死人不偿命。四星全部给潮爆帅呆的blue哥哥。            
(3星)	 挺搞笑的...            
(3星)	 为什么我这么讨厌马小茜 除了看Blue 其他时间就是在想这个问题。。            
(3星)	 終於看完了。。真的蠻一般的。。現在台劇。。哎。。悲哀。。            
(NA)	 过了 过了····弃了弃了            
(4星)	 喜欢上了刘若英的我们没有在一起            
(4星)	 还是觉得男二号比较好            
(2星)	 一群生涩演技的人，小小彬更老派了，点都不像个正常年纪的小朋友。鸡肋。            
(3星)	 为了隋棠才去看的，没想到会配奶茶的新歌当片尾！有前途啊~连BLUE也有一天能让我看顺眼！小小彬一样那么可爱，红的发紫。。。            
(NA)	 弃！            
(NA)	 看过几集 蓝正龙挺帅的～喜欢有点儿坏的男人啊- -            
(3星)	 温升豪这个类型我还是比较喜欢的            
(3星)	 看到夏和杰为救被困娃娃车的小孩而用并不算小的石头砸车窗，我震惊了，编剧还真是扯啊……            
(3星)	 蓝正龙那裤子真是难看            
(NA)	 追得很累，到后来就不想看了，台湾偶像剧也就前面好看。            
(3星)	 最近还算能吸引人跟下去的台剧~            
(3星)	 话说……抄的不是台湾偶像剧，是德国电影……            
(4星)	 blue的台词很经典 剧情也不错 俊男美女 很养眼            
(1星)	 超无聊            
(2星)	 没看完..            
(3星)	 比较洒狗血的剧情，完全就是偶像剧，他们的台词有时让我听得都面红耳赤，但有时却又很幼稚，但可以让紧张的工作过后轻松一下，也未尝不可嘛            
(5星)	 BLUE够帅            
(2星)	 看到一半。            
(3星)	 我是非常喜欢隋棠和白歆惠的美腿。但这个剧嘛，看了几集也就不想跟了。3-            
(4星)	 很赞哦。。但是我怎么觉得隋棠感觉不一样了勒。。。。            
(3星)	 还行吧~~就那样            
(4星)	 蓝正龙怎么这么帅啊~花痴了~            
(2星)	 我现在算明白了，为什么台湾的偶像局生生不息，因为总是帅哥美女接戏，因为他们的对手戏也是和帅哥美女演，所谓的演技突破不过就是看谁演得比较不假一点～            
(3星)	 以前不太喜欢蓝正龙，看完这个之后觉得真帅啊~~~还有就是小小彬好衰啊三个电视剧俩有病~~~看了十几集坚持不下去了~当初追着看的，后面的真的想看下去~但是还是弃之了~~~            
(4星)	 笑起来好看就够啦消遣嘛            
(3星)	 小陀螺很可爱~BLUE还不错啊~            
(4星)	 帅哥美女太养眼了！            
(3星)	 背弃了。            
(NA)	 半途而废。            
(2星)	 囧囧囧囧囧囧囧囧囧囧囧囧囧囧囧...........o(╯□╰)o            
(2星)	 弃剧            
(1星)	 静观其变……我有关注这一档的习惯，5年了，从王子青蛙开始= ========很久没看过这么难看的片子了，放弃。            
(4星)	 彻底爱上蓝正龙，可惜不是好剧。            
(2星)	 最后一集中 蓝正龙说“出国工作”要当心云云 请问去上海就叫做出国吗 真的无奈             
(2星)	 实在是太拖拉了               
(3星)	 这次刘俊杰导演的还算一回事。还是太拖拉了。不过园长和玛丽的对白蛮有意思的。            
(5星)	 没看完            
(3星)	 开始还挺带劲,后面那是神马玩意            
(2星)	 相当讨厌隋棠！！没什么剧情就算了，最后那个抢劫好郁闷……好好一个蓝正龙，毁了……            
(2星)	 看到一半实在看不下去了，就连男二号也不能作为我的动力了……            
(5星)	 我纯粹只是萌蓝正龙而已~            
(3星)	 哇，蓝正龙造型有型的咧，演的角色还蛮有挑战性的。第一集山寨康熙来了那段笑死我了。PS男的关于男女关系的点评灰常经典。不过剧情很搞人....            
(2星)	 毫无进步            
(3星)	 好烦。浪费了蓝正龙。            
(3星)	 比较一般。。。。。。白白和隋唐的角色应该换下。。。。。隋唐怎么看都不像。。咳咳。。小小彬的睫毛虽然很长，人也很灵活，但是。。。紧张可爱啦。。。。            
(3星)	 里面男主角满正的，其他没了～～～            
(2星)	 实在看不下去了……            
(2星)	 未看完，丢。            
(3星)	 画面质感很不错。            
(2星)	 终于让俺给看完了！！中间多少次快进啊，从10以后那叫个拖，连温sir都就不了。。。蓝大哥以后您能不能接点有营养的电视剧。。。还是您缺钱花了。。。            
(2星)	 我放弃            
(5星)	 很喜欢隋唐，也越来越喜欢蓝正龙了。。。            
(3星)	 食之无味弃之可惜的鸡肋电视剧            
(3星)	 喜欢BLUE，喜欢棠棠            
(4星)	 终于更完了这部剧，它和我共同见证了大三的华丽落幕，我喜欢喜剧。            
(3星)	 剧情有点小拖。            
(3星)	 白白好漂亮~George好可爱~            
(3星)	 大烂片，可惜了温升豪            
(NA)	 白歆惠可怜的又是女配。。。人家明明长得很女主好不好~~~我也不知道我是冲谁去看这片的。。。哎。。。其实挺无聊的            
(4星)	 其实这部拍得挺真实的，虽然毁了隋棠在我心中的美好，但让我看到了BLUE的演技，另外，马小茜的环保让人印象深刻            
(3星)	 纯粹是为了温升豪而看的，看了一半实在看不下去了......            
(NA)	 看了10集左右看不下去了= =            
(2星)	 Not good.            
(2星)	 被最后一集恶心到了            
(3星)	 开头恶搞康熙来了，还满搞笑的……            
(3星)	 blue啊blue~~~            
(3星)	 猛然觉得cook长的真像孟升豪~后面剧情太狗血太鸡婆。            
(3星)	 审美疲劳的小小彬            
(3星)	 哎~隋棠扛不住主角啊~blue看腻了~~            
(2星)	 长相偏老,故事情节无聊至极!三立总是一部好一部差!            
(2星)	 大概更合适初中生看~            
(3星)	 还是坚持看下来了。不易。            
(4星)	 蓝正龙哈帅！！！            
(NA)	 可惜隋棠不是我的菜 这角色也不适合蓝正龙 呼唤小综 1集弃            
(4星)	 还没看完 我爱温升豪！            
(3星)	 小朋友你也太红了吧？            
