http://movie.douban.com/subject/4016485/	杜拉拉升职记
(2星)	 我觉得还是看书去算了，虽然比电影版的要好，但是这剧制作得也太粗糙了，跟情景喜剧似的，完全不恰当的配乐，后期配音和同期声的频繁交错，场景布置什么的，都太差了，好在有情节在支撑。            
(4星)	 杜拉拉精神！            
(4星)	 李光洁演的实在是好~把北京男人那逗贫的本事演的淋漓尽致！            
(3星)	 拍的很寒酸很土气，不过还是比电影靠谱。            
(4星)	 挺好看的呀~李光洁真爷们~~            
(5星)	 王珞丹比徐静蕾好多了。徐静蕾太老了。。。            
(NA)	 比老徐的版本好很多            
(4星)	 比电影靠谱~~            
(1星)	 明明背景在上海出现的男人怎么都那么贱呢,放弃！            
(3星)	 三颗星都是给李光洁的            
(4星)	 爱死李光洁啦！！！！！！            
(5星)	 王伟就是我的mr.right!            
(2星)	 看了电视剧 我觉得电影还不错 王璐丹只能演偶像剧            
(3星)	 特喜欢里面那个王伟            
(4星)	 看得纠结死了。何必呢。            
(4星)	 李光洁是个魅力熟男，完毕。PS，陈慧珊一脸苦情片的怨妇形象，囧。            
(4星)	 为什么好看？ 因为有对比。植入广告你敢再多点瓦！            
(NA)	 反正我看到后来 就有点看不下了王珞丹 只适合 杜拉拉前半部 后面头发弄到耳朵后 我的感觉是很不好 演得有点假假的我想真的只能演个米莱海伦好 喜欢~            
(4星)	 从行政助理，行政主管，到人事行政经理，代理人事行政总监，甚至未来的人事行政总监，这个齐刘海儿的小丫头，蜕变成了成熟的职场女性。从整体来看，这片子前面比较有意思，后边就越来越俗套了~~不管怎么说，王珞丹的演绎还是可以的，至少让人看到了职场些许的艰难与挑战。然电视非现实，还是好好加油            
(NA)	 至少比电影好看。            
(4星)	 还不错            
(4星)	 没看过原著的情况下觉得还可以，虽然很多桥段狗血，但是为升职奋斗的过程还是其乐无穷的            
(2星)	 真不咋地            
(3星)	 前面很好，后面没有那种感觉。不能说是电视难看，只是我不喜欢到后来的那个杜拉拉，说到底，我还是不适合走职业女性这条路，喜欢Helen的。            
(4星)	 我是冲着李光洁的表演推荐的。            
(3星)	 王伟不错。            
(3星)	 我觉得还可以            
(4星)	 感觉比电影版好~            
(4星)	 比徐静蕾拍的要好看。            
(3星)	 部分觉得有点不靠谱~            
(3星)	 补签。是去年看的了。有点儿村儿。            
(4星)	 前面是没心没肺的小职员一枚，到最后升职变干练却少见笑容了。是说每个人都要经过这个阶段么……            
(2星)	 这个杜拉拉简直比老徐那版还站不住脚，这样的杜拉拉到职场上连面试都不一定过得去            
(3星)	 无聊的时候，随便看看            
(3星)	 男主角太他妈老了            
(4星)	 比电影版强多了！            
(4星)	 还好  从这部才觉得王珞丹还挺好玩            
(2星)	 那些打4星5星的影评的人真恶心            
(5星)	 好吧，男主也萌到我了。。。。北京人其实不多这样纯爷们的。。。但是无论如何比南方多太多了。。。            
(1星)	 让王珞丹演，杜拉拉只能停留在傻大姐阶段，而且永不向前！            
(2星)	 昨天看着杜拉拉和一个老外用着各自的语言流畅并且欢乐的进行着交流，探讨着一个刚从象牙塔里走出去的2B姑娘在适应社会过程中遇到的种种SB问题的时候，我瞬间就淡定了。            
(3星)	 虽然不DJ电影版，但是电视剧真的拍得很土气很不偶像            
(3星)	 王珞丹很cute~            
(4星)	 在电视上看了4天8集，实在是忍不了了，直接上电脑，一下午+一晚上全给解决了……个人觉得，除了王伟和Helen，其他人都有点怂            
(4星)	 工作中从来都不只是把事情做好，有人的地方就会有政治，就会有斗争！            
(4星)	 弃。看到14了。我看剧透了            
(NA)	 李光洁确实帅！            
(4星)	 比电影版靠谱多了。但现实职场更残酷。            
(NA)	 真土。。。            
(4星)	 王珞丹一点也不漂亮，但就是美好的耀眼。            
(4星)	 李光洁演的好&gt; &lt;            
(3星)	 快进着断断续续看完了~王珞丹比徐静蕾好很多，但还是欠点火候。陈慧珊的配音真让人受不了哎~李光洁长得还行，演王伟也比较合适，不过皮肤真不敢恭维~喜欢叶童的角色，很惊艳很讨好~还有那个演helen的MM挺漂亮~总之，N年不看内地剧的偶觉得画面很别扭，再加上看过原著，觉得电视剧很一般~            
(4星)	 还蛮好看的。李光洁，灵            
(NA)	 这个喜欢，不错            
(2星)	 王珞丹把杜拉拉拍傻了，吼吼吼笑的那个傻啊，咋在外企爬啊。            
(3星)	 哎，王珞丹何必如此装傻充愣，杜拉拉哪有那么傻            
(3星)	 有点儿假！            
(2星)	 杜拉拉是职场新人又不是傻子，干嘛搞成低智商的样子，编剧滥            
(3星)	 狗尾续貂之作，前面还可以看看，后面简直是看得要吐了。            
(3星)	 其实纯粹是偶像剧            
(3星)	 初心、贵人、磨掉的棱角            
(2星)	 还不如电影版呢 也就比丑女无敌强个有限 500强的公司一点都没体现出来 植入广告倒是不少            
(4星)	 “你不觉得男人的保护、追求、爱慕都是可遇不可求的吗？只有自己的事业永远不会背叛自己。”|| 这个王伟完全就是王伟。            
(2星)	 浓浓乡土气……            
(4星)	 挺好的，比徐静蕾那个装逼玩意儿好多了。            
(4星)	 我喜欢这里的李王伟，可惜我不是杜拉拉。            
(4星)	 这个杜拉拉貌似挺平民化            
(3星)	 看了王珞丹觉得老徐还是不错的            
(NA)	 我的确是无聊 而且我还觉得很好看..            
(3星)	 比电影的好就行            
(2星)	 我不喜欢这部，其实。            
(3星)	 杜拉拉有点二   王伟有点痞  和小说有点偏             
(2星)	 王伟长的丑死 杜拉拉长的算是“中上姿色”？            
(NA)	 人生最精彩的，不是实现梦想的瞬间，而是坚持梦想的过程。原来叫李光洁~            
(3星)	 一颗星给原著 另外两颗星给李光洁 王珞丹实在不适合演女强人 不是穿着白衬衫手抄在口袋里就成白领了 李彩桦让人怀疑玻尿酸打多了 做不出任何表情 完全一副自己是天仙的样子 夏红李鸿明之类更不知道是从哪里找来的路人             
(3星)	 对于大陆的电视剧.总是避免不了显得太冗长多余.唉.不过也还行.PS.我喜欢HELEN.            
(2星)	 电影实在是太让人失望了，看过别人的评语后，我决定抽空去观望一下这个剧            
(NA)	 一个字假，两个字做作            
(3星)	 我姐说太假了            
(4星)	 杜拉拉很真实。王伟很幽默。坏女人太多。            
(1星)	 王珞丹，你不能永远是米莱，你不可能永远蠢真可爱。王珞丹毁了杜拉拉，先看了老徐版的，失望，再看了这个白痴版之后，开始喜欢“年纪大的杜拉拉”            
(4星)	 我觉得挺好的…喜欢王伟这一型的~            
(NA)	 在最忙的时候我竟然熬了一晚上把这看完了。。。罪过。。。。            
(3星)	 ROSE：在一起开心，那是喜欢，不开心了还在一起，那才是爱。            
(4星)	 王珞丹的小尖嗓子吆……哈哈。可惜相对于电影，有点太土气了……情节太松了……            
(NA)	 不喜欢。。。            
(3星)	 徐拉拉关键词是老，王拉拉是傻            
(2星)	 啊，我就看了两集就不太想看了，，，电影离书差很多吧，，可她还占个时尚的标志，，，我就觉得这个电视剧肯定水了，，，王珞丹哪里像杜拉拉。。。            
(5星)	 大爱李光洁！            
(4星)	 真的比电影强            
(3星)	 杜拉拉虽然不是自成白骨精但更不会是大学刚毕业愤慨状纯情愣头青 编剧定位有问题            
(4星)	 看着看着就当爱情片来看了。男主的服装要比女主的服装赞多了。难得内地183的小生。            
(3星)	 喜欢直率的王珞丹~BS某老xu。。            
(3星)	 起码我看到了一个女人在职场青涩到成熟的蜕变            
(5星)	 不知不觉中随着杜拉拉成长，李光洁版王伟很man。            
(3星)	 李光洁~~///看到后来就觉得无趣了，嗯             
(3星)	 一如既往的非现实            
(4星)	 恩 生活还是很美好的 不管社会是不是公平 但是努力一定会有收获的            
(4星)	 总之比电影好            
(3星)	 前半部分很好玩，后面就开始勾心斗角了            
(3星)	 职场呦美人计 也有傻人得傻福            
(3星)	 不知道为啥，我还是觉得王珞丹是米莱是钱小样。猛的演一正经的职业女性，真不习惯。她还是适合装嫩，幼稚。至少我是这么感觉的。            
(4星)	 比电影好多了。            
(NA)	 不像外企的职场故事            
(4星)	 确实比电影靠谱            
(3星)	 不如书好看。            
(4星)	 李光潔演得比較好…            
(3星)	 好没劲            
(4星)	 总的来说还不错，只是不太喜欢里面一些台湾偶像剧情的桥段和表现手法            
(3星)	 at sohu高清 前两集我觉得王珞丹演的挺怂的王伟挺丑的 结果sohu就直接跳过去看到14集 29集 觉得王伟确实蛮帅的 当然比不上看书时俺们读者的自由发挥 so at last 勉勉强强 我算看过吧            
(5星)	 最后整个公司的老员工都走得差不多了  这就是人生 来来回回能留下几个  成熟并不是外表  而是经历越来越多的事  心已早不复当初            
(4星)	 其实想给三星半 有些剧情实在不喜欢 不过这对couple演的太有爱 好久没有这样羡慕一对情侣了 关键是李光洁好有魅力            
(4星)	 比电影版的要好。            
(2星)	 里面的衣服太丑了，情节也乱七八糟。            
(5星)	 在老徐的反衬下格外好看            
(3星)	 很一般很一般。。。            
(1星)	 我真想爆粗口            
(4星)	 李光洁！！！！！！！！！！！！！！！！！！！！            
(3星)	 超级喜欢王伟！！！            
(3星)	 总感觉有点想台湾。。剧  是喜欢王珞丹和杜拉拉才看的            
(5星)	 完全忠于原著，赞!！            
(2星)	 就是烦李光洁跟王珞丹.            
(4星)	 怎么找不到电视剧版的。。在哪有啊            
(2星)	 纯属娱乐,垃圾导演            
(3星)	 王珞丹太装了啊！！！！要是没有她就五星 无语            
(4星)	 就是好看呐。内地剧中的ONE ，            
(5星)	 电视剧版比电影版简直好看十倍。李光洁版王伟，刻画的真实富有魅力，王珞丹版杜拉拉，呈现了懵懂女孩蜕变成职场白骨精的成长过程，演技精湛。日本静冈游那段很有爱~            
(4星)	 喜欢这本书，而且由喜欢的演员王珞丹演的。            
(2星)	 很傻又不励志的片子 全程快进跳级才看完            
(4星)	 喜欢王路丹，好过徐静蕾。            
(2星)	 我就觉得叶童还行...            
(4星)	 在国外的时候，很多人问我，为什么中国的电影总是拍以前的多，没什么现代的，也难怪老美们不了解我们；所以推荐下这部片子，虽然很花哨，但毕竟有点影子，至少中国人不是拖着长辫子。            
(NA)	 大叔已婚，仅此而已。            
(4星)	 相较于电影，这个里面包含的内容更多页更沉重...            
(NA)	 还是陈彦亮眼            
(3星)	 玫瑰小姐也太…            
(5星)	 杜拉拉，很好看            
(4星)	 励志与爱情并重~王珞丹尤其可爱，不错            
(4星)	 反正比电影好看。。。虽然 它确实特别的“电视剧”            
(3星)	 我很喜欢王珞丹，也很喜欢扮演王伟的老男人，只是我觉得后半部分有点太虐人了。            
(4星)	 力挺电视剧版。比电影强忒多了            
(3星)	 在面对黛西等的进攻时,王伟没有表现出应有的智商,让人失望            
(NA)	 确实有点土            
(4星)	 这才是原著 但仍然不够 好吧 有颗星是加给王伟的！喵喵。。            
(4星)	 最后杜拉拉做总监总觉得还是缺口气。。李光洁的王伟很帅啊！！也算是今年来能让俺静心去看的内地剧了吧。。挺不错的。            
(5星)	 我就是一俗人，我爱上王伟了。            
(2星)	 亲爱的小猴子说要一起看~            
(2星)	 看了两分钟，确定不是我要的杜拉拉            
(4星)	 比电影好多了 。            
(1星)	 这电视剧的编剧彻底的精神分裂。黛西是琼瑶的马教主型，杜拉拉的生活剧情是台湾肥皂剧250型，一到职场就成为了彪悍无比的原版李可型。彻底的精分啊！！！！台词无逻辑，人的性格都可以用一个贱字来形容。            
(NA)	 这两天在看这本书。脑子里就都是电视剧里的形象、            
(4星)	 又一次被轻易的励志了。主演还好，几个脸谱化的大总监倒是印象颇深。            
(4星)	 挺 老乡            
(3星)	 比电影版好多了。            
(1星)	 难看            
(4星)	 李王伟你还能再爷们一点么             
(3星)	 和小说还是有出入            
(2星)	 想想王珞丹演杜拉拉。。。想想台湾导演指导。。。想想可能没再外企待过的编剧。。。无语了。            
(5星)	 因为有王珞丹嘛            
(2星)	 配乐太差，生活不是电视剧，还是看书吧。            
(3星)	 无论电影还是电视剧，都真的跟书没得比……            
(3星)	 比电影靠谱多了，主要是男主角好啊，李光洁啊，我爱上你了。            
(5星)	 结局还算满意            
(2星)	 为什么王络丹要把拉拉演的这么死气沉沉的 。            
(5星)	 我要做半个张拉拉。            
(4星)	 爱豆哥~~~！！            
(5星)	 一个纯真善良有能力的女孩儿，在事业感情上的强者~李光洁和王珞丹真让人容易爱上而且越来越爱！王伟和拉拉..很爱很爱你...            
(3星)	 比普通稍好一点的大陆电视剧            
(2星)	 从起初的追着看,到现在的可有可无,总觉得这剧编的有点假...跟现实的职场差太多了,所以觉得无味。            
(NA)	 我咋渐渐觉得王珞丹演啥都那样了呢 装2还特矫情            
(4星)	 和电影比 我更爱王拉拉版的杜拉拉            
(4星)	 李光洁很靠谱啊。。。。            
(4星)	 我都喜欢这里王伟            
(4星)	 跳着看的 反正比电影版的靠谱太多了            
(4星)	 有点儿二的杜拉拉。。。。。。            
(4星)	 终于追完了真不容易 这个王伟真靠谱             
(3星)	 比电影不知道要好多少。王珞丹还不错。不过对于国产电视剧，我依然耐心不足。            
(3星)	 小王果然比老徐适合演嫩角 至少做作的程度还能接受            
(3星)	 太青春偶像剧了。。。            
(4星)	 还是老问题，销售总监很土            
(4星)	 喜欢里边的主演么~~~现实也就是这样            
(NA)	 王珞丹呀么王珞丹~            
(3星)	 比电影贴切原著            
(4星)	 女主男主都是我的菜 比电影的剧情要靠谱多了 王珞丹也比老徐靠谱多了             
(4星)	 能让我看完整的内地电视剧真的不多            
(NA)	 闹不明白,怎么越看越别扭            
(4星)	 DB整一个卡夫囧，男主加分！            
(5星)	 好看 符合原著            
(4星)	 比电影好看多了~李王伟不错~前半段职场不错~            
(3星)	 给三星的原因是好歹，他比电影靠谱            
(NA)	 看了几集，颇无聊的感觉，就不打分了            
(3星)	 丹总，我真不是不买你面子。。。但你好歹也照顾一下我们的情绪吧。。。杜拉拉=钱小样的冲劲+伍月的多愁善感+米莱的OL风格。。。你还让我多说什么呢            
(4星)	 好看 对我来说 有点偶像剧了 与小说相去甚远 基本上在看爱情戏。。。后面几集鸡肋了            
(NA)	 冲着陈慧珊看的，可惜气质美女老了啊，也可能不是主角的缘故吧。王珞丹根本就没演技，从米莱到钱小样，再到杜拉拉，基本都是一个模子，第一部觉得可爱，第二部还觉得尚可，第三部就觉得是悲哀了。            
(3星)	 喜剧性            
(2星)	 王珞丹戏路太窄了，演什么都和米莱一样            
(4星)	 比电影好看！            
(5星)	 觉得王珞丹就是杜拉拉            
(5星)	 太赞了。王伟让我有种心动的感觉。  是李光洁演的太好了吧 ··            
(NA)	 不想看见你长大,哎~            
(3星)	 看了电影就没有追看剧集的冲动了，好吧，我是来看王珞丹的。。            
(4星)	 喜欢他们在日本旅游的美丽时光            
(5星)	 有那么点拼劲！            
(NA)	 喜欢徐静蕾，更喜欢她的作品！            
(NA)	 不是我心中的拉拉            
(4星)	 看着现在成功而忧愁的杜拉拉，很难回忆起当初虎力虎气的米莱了。。。            
(2星)	 王珞丹每次都是演这样的角色……            
(3星)	 好假。            
(NA)	 不怕告诉你，我就是冲着王络丹同学去的            
(3星)	 在国难日ccav的轰炸下，我只有选择看硬盘里剩下的杜拉拉了，没什么好说的。我觉得我基本上不会再想看电视剧了。            
(4星)	 结尾有点仓促。            
(3星)	 总感觉没有想象中的精美 和引人深思            
(5星)	 至爱王珞丹~~            
(3星)	 感觉拍的不太好，要不是有王珞丹撑着我都看不下去了~            
(3星)	 看了一小点看不下去了。            
(2星)	 我滴偶像吶 別再接這種劇本了 成不            
(NA)	 不是一般的不靠谱。            
(4星)	 养眼            
(5星)	 我非常喜欢王珞丹，很漂亮、个性            
(4星)	 我喜欢王络丹，她是我心目中的杜拉拉            
(4星)	 冲着王珞丹勉强给个4星了- -            
(4星)	 后几集败笔了。。李斯特那老头儿真可爱~拍成这样不错了            
(3星)	 布景啥的太一般，停不了的背景乐很烦。夏红，李鸿明，黛西是最不爱看的，人物性格太单薄。夏红永远是那一个表情。李光洁不错~            
(3星)	 = =就是杜拉拉的IQ不敢恭维。            
(2星)	 王珞丹版的杜拉拉是不可能在职场生存下来的            
(3星)	 太拖沓。            
(4星)	 在电视剧的面前，徐XX的那部电影就是尘埃！            
(4星)	 默然的成长。有一种湮灭的美好，叫做等到风景都看透，也许你会陪我来看细水长流。             
(NA)	 为什么所有的电视剧都是前面喜后面忧...            
(2星)	 好无聊            
(4星)	 王伟也是自己喜欢的型~ 即使他没有100万的年薪 .那句天塌了 我这个个高的不会弯腰,看的我有点感动了 ~杜拉拉的拼劲 每次看到都会让自己想要去奋斗拼搏~这样一点点进步的感觉 真好~            
(3星)	 不是很喜欢男主，但是看王珞丹也忍着看完了。            
(5星)	 成熟了~~~丹丹~~~不过还是喜欢原著的结局~~~            
(5星)	 拍的好！            
(3星)	 王珞丹演的有点过。            
(4星)	 与书很贴近 喜欢王珞丹 喜欢杜拉拉            
(5星)	 23 拉拉动不动就哭。。不过相比起电影版，电视剧靠谱多了。电影版太dramatic            
(3星)	 不怎么来电  还是文字好啊            
(2星)	 昨天北京台看了26集的半集，感觉对白挺假的考虑到人物性格，又不能当成《粉红女郎》来看，所以不怎么地，王珞丹一不笑，太沉重没以前看上去好看了……            
(2星)	 王珞丹 的演技太差了，演啥都一个味。一看到他假哭我就受不了。杜拉拉就这样升职了？搞笑            
(5星)	 王珞丹是在太适合这个角色了~            
(3星)	 刚开始的杜拉拉没有剧中那么傻逼。之后的部分，感情戏太多，而且像两个中年人谈恋爱啊。王伟，你敢不敢再老一点？            
(4星)	 去静冈            
(4星)	 李光洁和杜拉拉挺般配的            
(3星)	 王珞丹是喝麦斯威尔喝的太多才那么瘦吧。            
(1星)	 我他妈真心讨厌王珞丹 演什么都一样            
(4星)	 比电影强不少            
(4星)	 比电影版的强多了。。喜欢王珞丹。。            
(NA)	 前边部分还好，王珞丹太土鳖了。。            
(2星)	 还是电影版的更好            
(3星)	 姐姐很喜欢的一部。            
(3星)	 和電影相比..電視劇更接近原作~            
(4星)	 看的还比较过瘾，就是有那么点乡土气息            
(3星)	 剧情有些做作 演员也做作            
(3星)	 不怎么样，因为杜拉拉的故事本身就给人一种很假的感觉，怎么拍都是那么回事，电影也不好            
(3星)	 纯粹喜欢 王珞丹            
(NA)	 说实话 在王珞丹演完米莱这个角色之后，无论她演什么角色我都觉得是米莱。            
(2星)	 很失望啊            
(4星)	 不错            
(4星)	 这个王伟也挺有feel的            
(5星)	 王珞丹就是杜拉拉。我心目中的杜拉拉。            
(3星)	 偶尔瞧过两眼，没啥印象。。            
(NA)	 刚看完电影版来看的电视剧版。初看觉得怎么节奏突然慢下来这么多。而且太写实了。咬咬牙看了3集，我已经分不清自己爱上的究竟是王珞丹还是杜拉拉了。。。            
(NA)	 和我想象的不太一样，书中的杜拉拉不是IQ200么？？不过，我也挺喜欢这个王拉拉的，踏实，认真，善良，勇敢，乐观，坚忍，有魄力，坚持原则并影响着周围的人，不过她活得好艰难呀~更喜欢海伦这种简简单单的。O(∩_∩)O~            
(3星)	 失望失望            
(3星)	 还行。比不上书。比电影好太多。            
(5星)	 看完之后像打了鸡血一样……            
(1星)	 竟然有人說我像王珞丹（瞎了嗎！！！            
(5星)	 让我了解了外企的高效率和运作流程。行政助理到人力资源总监，教会我工作的基础是诚信和敬业。            
(3星)	 对电视版的无太大感觉。            
(5星)	 喜欢！！！大爱王珞丹            
(4星)	 杜拉拉的性格秉性与她好是相似，那个傻笑，那个纯真，那个，曾经……            
(3星)	 我觉得应该比电影好看多了            
(4星)	 在为数不多的现代能看得入眼的中国电视剧中，还可以。李光洁看多了还是挺顺眼的，不讨厌王珞丹。            
(4星)	 我相信一个人的境遇、年龄等会影响到他对事物的评价。在这部电视剧中我看到了许多，我希望当几年后再回头看看时会有另一番感受。            
(3星)	 李光洁和王珞丹现实生活也配下吧！            
(4星)	 看了半个寒假。和小说相比，变动比较大。            
(3星)	 嘛啊嘛啊-            
(4星)	 感觉比电影舒服点            
(3星)	 有些话还是挺有道理的。            
(2星)	 王珞丹你还是回去演米莱比较好.一点OL气息也没有我还是觉得你说话的气息不正常.            
(2星)	 觉得从这部剧开始觉得王珞丹挺做作的，演技真是不咋地。。            
(2星)	 不愧是杜拉拉生殖记。。。            
(4星)	 不喜欢男主角~~            
(4星)	 杜傻傻恋爱记            
(3星)	 起码比电影强            
(3星)	 真不明白为什么会火。。。            
(4星)	 比电影好看多了            
(2星)	 两星            
(3星)	 我是跳着看完的.......王珞丹是看完的理由            
(4星)	 看的就是偶像剧~            
(5星)	 大爱这部剧，考完后必看。            
(3星)	 比电影好...            
(3星)	 这分明是感情戏嘛。            
(1星)	 如果可以一个星都不评，我肯定不给任何一个星！徐静蕾的杜拉拉已经很差了，这位直接把外企想象成了乡镇民营企业            
(3星)	 暑假的解闷产品            
(4星)	 职场中人应该都有体会            
(3星)	 职场剧的起点            
(3星)	 有时候非常不喜欢王珞丹的表演。            
(3星)	 还是看小说吧！            
(1星)	 看不下去,励志片,办公室政治片被拍成了神马东西?            
(3星)	 其实还可以吧，就是配音什么的太恶心了            
(4星)	 合理解压女的受了刺激以后有两种方式可以解压：一种是买东西，一种就是吃东西你笑话的可笑水平不如你讲笑话的水平高……如何让老板重视你，不仅要做的好，而且要展示的好。你不努力，你很悲惨；你很努力，你不会适当展示，你一样很悲惨。            
(4星)	 有点意思，哈哈            
(4星)	 跟穿prada的魔鬼一个类型！不过还是可以看看的            
(3星)	 受不了王珞丹了            
(4星)	 杜拉拉是我的偶像！！            
(3星)	 是谁问过我”你去看杜拉拉生殖器“了吗………………            
(3星)	 男主长得好像某位负心汉啊...= =            
(5星)	 王璐丹在里面的造型我喜欢            
(3星)	 前面还行，后面越演越狗血，又俗又烂的情感纠葛，看的我想骂娘。            
(2星)	 老徐的粗制滥造。            
(5星)	 很多人说这个不好看，可是我就真心喜欢这个，看到的第一眼就喜欢上了。            
(2星)	 我是为了王珞丹才看滴,剧情十分之狗血及无聊            
(5星)	 丹丹 剧情上 很尊重原小说 稍许改动 允许             
(2星)	 不知所谓的职场，不知所谓的情场。。。            
(4星)	 大爱王伟~            
(3星)	 陪妈妈一起看过            
(3星)	None
(3星)	 说实话不是很喜欢王珞丹的戏 她的戏有点假 说不上来的别扭。。。估计只有奋斗我还比较满意            
(4星)	None
(NA)	 很想看王珞丹的表演            
(3星)	 李彩桦这个坏女人真是很迷人。            
(4星)	 就是来看王珞丹的            
(2星)	 其实，我想说的是电视剧版的还不如电影版的。            
(NA)	 这种生活很酷，但我不会过~            
(4星)	 在连续剧里算比较优秀的了            
(4星)	 我操我爱死李叔了好么！！            
(2星)	 其实是杜拉拉恋爱记            
(2星)	 一半，弃，女主接受无能            
(4星)	 比电影好看。            
(3星)	 之前一直觉得不怎么样看着看着觉得挺好的            
(3星)	 讨厌物质的爱情            
(5星)	None
(3星)	 喜欢去日本那段            
(4星)	 比我想象的好看            
(2星)	 不知道这部片子要干嘛。这里面的生活跟自己的生活天壤之别。            
(NA)	 哎哟。。。。。。。            
(2星)	 就是因为这部片讨厌王珞丹的。            
(3星)	 电视剧无爱。。现在开始不怎么喜欢王珞丹了。            
(3星)	 偶像剧的剧情。以这里面杜拉拉的资历不可能升HRD的。            
(4星)	 喜欢上王珞丹了            
(1星)	 ~~徐静蕾~~你            
(1星)	 我职场混得少你不要骗我，500强真是这样过家家的吗？这编剧和演技简直了            
(2星)	 我心中的杜拉拉不是这样的!!!!            
(4星)	 喜欢王伟这个角色。总让我想起过去。            
(NA)	 一直很喜欢这个从奋斗里走出来的女孩子，李光洁的表演也不错。            
(4星)	 从欢乐小白领变成苦逼剩女，幸好最后还有人要= =某人说这是励志剧啊，学会杜拉拉一半吧，发现我好像连她十分之一都及不上，我个呆，我个傻。PS：一个月加班一百个小时是神马概念……            
(3星)	 我抱着学职场技巧的心态看的，原来是爱情片，小失望            
(3星)	 重点放在了办公室爱情、而不是职场上的勾心斗角。就偏向爱情片、有点乏味。            
(4星)	 。。。。。。。。。。。。。。            
(2星)	 演的真烂。。            
(3星)	 这个名字一度很yy            
(3星)	 挖掘了李光洁这样一枚型男~赚！            
(2星)	 我喜欢音乐……中国电视剧编剧们，能不能不要神马玩意儿都TM编成狗血言情调调能不能啊！！            
(3星)	 改编的还行吧，很瞎，但这就是电视剧的桥段            
(5星)	 完全冲着丹总看的            
(NA)	 不同于电影版的杜拉拉，王珞丹演绎的杜拉拉经历的更多。更讲出了许多职场的人际与现实状况。            
(3星)	 比电影还好那么一点，至少王璐丹比那个什么徐静蕾耐看多了            
(5星)	 男女主角选的很符合人物形象，看了前两集就上瘾了，一口气看到最后！意犹未尽阿            
(NA)	 更喜欢王珞丹演的杜拉拉。            
(3星)	 比电影好多啦。不过还是很难接受王珞丹的杜拉拉形象，好怪。李光洁演得不错。            
(4星)	 很像            
(NA)	 没看全 一般这种都市剧我都看不全 看一半就没耐心看了。。越往后越墨迹            
(5星)	 非常合我心水的电视剧，从演员到服装到场景到情节。看它，能让我内心温暖强大            
(2星)	 也算看过几集            
(3星)	 我更喜欢 电影            
(NA)	 唔，我印象中是有床戏的            
(3星)	 剧情2星。陈慧珊+叶童+李光洁，给多一枚。            
(5星)	 他优秀不如你优秀。下雨了，我又不脆弱，何况那算什么伤？            
(4星)	 撞得头破血流，也要成长。            
(3星)	 对《杜拉拉升职记》book的侮辱，浪费精髓。减少描写王伟和杜拉拉的爱情戏、增加职场旁白、内心独白才不枉这本书。看他俩的爱情戏看到我昏昏欲睡。和书籍不是同一个level。电影版更侮辱。            
(4星)	 不得不说，有点假啊。不过王伟的形象，正符合我这种大叔控啦            
(5星)	 还想再看一遍            
(4星)	 大爱李王伟~            
(5星)	 4天就看完 实在太励志了 呵呵            
(3星)	 比电影好            
(NA)	 还是电视剧好看            
(4星)	 成熟男人的魅力沒法擋啊~光潔大叔好帥！！！            
(1星)	 比电影还不如，更不要提原著了。。。            
(4星)	 基本符合人性理论，里面的人都是为自己在活着。但是基本不符合职场的现状，光靠能干就想上位那是不可能的。基本符合物理定律——幸福守恒。虽然结局是杜拉拉财色双收，大家都知道在现实世界中是不可能的。幸福守恒，上帝为你打开一扇门的时候，必然会关上一扇窗。            
(5星)	 绝对治愈系好剧！！！            
(2星)	 看不进去。 满脸大坑的男猪和演技稚嫩的女猪。            
(4星)	 一个套路            
(4星)	 春美姐说职场真有这么点味道            
(4星)	 小清新奋斗剧            
(4星)	 还可以吧            
(2星)	 不是我喜欢的 陪我妈妈看完的            
(NA)	 职场战斗法则  可是能有几个拉拉呢？            
(4星)	 她的精神正是我缺少的。            
(NA)	 500强企业要都是这样的职员早他妈垮了            
(4星)	 归结起来升职的捷径就一条：勤勤恳恳，脚踏实地            
(4星)	 李光洁不够帅 但这个王伟诠释得无疑是十分精彩到位的 话说李彩桦真是贱货专业户啊 一脸扭曲 三番五次让人想冲上去抽她耳光 其实小李和小王不该去挑战山楂树  她俩很明显是走《激情燃烧的岁月》路线的             
(NA)	 城乡结合部出品…            
(4星)	 比电影上面的内容多些、但王珞丹没有徐静蕾的睿智的一面。没有徐静蕾的老练、知性。小版的拉拉、            
(4星)	 职场险恶~            
(4星)	 我可能要写篇短评。王珞丹不是最漂亮的，但肯定是很多男生希望拥有的女朋友的类型。嗯，包括我。            
(5星)	 办公室恋情真的靠谱么?            
(4星)	 这比电影还稍好些吧。3.5／5            
(NA)	 陪我妈看过几集，酱.....            
(3星)	 职场上好多经历都相似，不同的是大多数人没有那样的运气，刚好在孤独无援的时候能被一双温暖的手扶住，大多数的时候，我们都只能孤军奋战            
(1星)	 还不如老徐那版呢            
(3星)	 主题歌好听            
(NA)	 烂            
(2星)	 还是听听主题曲吧，《GO》《选择曲》            
(4星)	None
(NA)	 比电影版好很多！            
(3星)	 和室友一起看滴 都喜欢王伟这个男人 不过觉得还是有了电视剧的感觉 情节有点俗套 看过书总觉得拍出来的和自己的想象不一样 个人理解不同吧            
(3星)	 李光潔挺帥的，王珞丹真是演什麽都一個樣啊！            
(4星)	 突然又想看一遍了...            
