http://movie.douban.com/subject/1476422/	新成长的烦恼 第一季 Lizzie McGuire
(4星)	关于央视八套的记忆还不赖...
(4星)	小学生和初中生比较适合看。
(4星)	时代隔阂吧……价值观有差异
(NA)	新成长的烦恼，不必老的逊色喔~
(5星)	在这里认识你。
(5星)	每天一定要看个两三集，心情才会好
(4星)	还不错
(5星)	内容很无厘头，Jake Thomas非常萌，那年暑假很欢乐
(5星)	就是因为这个才喜欢Hilar Duff
(3星)	CCAV重播了好几次囧
(4星)	曾经看过。挺不错的
(5星)	整整看了两遍，依然恋恋不舍
(4星)	戈多是多好一男生啊……
(4星)	不知道自己看的全不全。但是始终向往那样的校园。中国没有的high school life.
(5星)	相信很多人 小時候都看過 央視有放
(NA)	或许是我几乎完整看过的首部美剧。
(5星)	我当年真是TMD爱死这部电视剧了！！以前貌似是CCTV8放的……暑假的时候下午都看这个……谁还玩电脑啊~~主要是爱死戈多了！！超个性！！
(5星)	很经典，HIL演的很好，非常喜欢剧中的每个人物
(4星)	以前在cctv8上每天等着看。。。
(5星)	~~
(4星)	超爱~
(4星)	家有儿女似地
(4星)	新版也不错
(3星)	那时候Hilary Duff 还是古灵精怪的小萝莉
(5星)	那时的希拉里达芙好可爱啊 果然从小就就是一枚美女呀
(3星)	剧情白烂，女主可爱
(5星)	在N年前某个阶段我最最喜欢的电视剧~大爱戈多
(4星)	现在再看还是觉得挺不错的
(5星)	哦哦哦~第一部看的美国电视剧啊青春无敌的hilary duff
(4星)	电脑里现在还有
(NA)	GORDO~~~so cute~~~
(5星)	不错
(5星)	女主角长得太甜美可爱，漂亮了
(5星)	真 ，爱。
(NA)	和成长的烦恼一样喜欢。
(NA)	看的时候貌似是初三，当时就觉得自己的初中好像白过了。后来高中时居然还看了一遍，再次肯定了自己初中时的看法。很老了，不过当年很青春。
(4星)	那年暑假天天下午就泡这上面了。
(4星)	貌似也没那么烦恼嘛 
(5星)	希拉里达夫的代表作。非常值得一看。很有趣。
(5星)	LOVE IT
(4星)	Lanny怎么这么可爱..
(4星)	从这里知道她
(4星)	很久以前看的了~可爱~~
(4星)	灿烂的成长过程
(4星)	暑假。。中央八台。。。。好看弟弟真的很会抢戏，古灵精怪的
(3星)	显然不如老的啊
(5星)	还是喜欢你小的时候。
(4星)	童年的回忆。
(5星)	太多时光和梦想
(4星)	当年觉得戈多好乖 还有马特
(5星)	看过n遍，sigh~我果然很小白~
(5星)	很久以前就看过 现在再看..伤感时光飞逝 青春无回
(4星)	挺好看的，用来学习英语口语很不错
(NA)	好看
(4星)	中学时期最喜欢看的一部。原来我都这么大了，成阿姨了。
(4星)	看过一点点
(3星)	刚上初中时看的，那时候还很喜欢戈多=。=lll
(4星)	我的发音是跟着她学的~
(3星)	初中的时候看的，呵呵，很喜欢戈多。
(4星)	太久以前看的了   没多少印象了。。
(5星)	同伴的感觉
(5星)	记得看这个时候貌似长大了一点  是因为成长的烦恼看的   也很好看   后来喜欢上了 希拉里 达夫
(5星)	其实严格算起来这才是我的第一部美剧只是那个时候太小了，还不知道美剧。非常喜欢
(5星)	那时寒假和菜花可爱看啦
(5星)	不能叫这个名字，明明和成长的烦恼不是一挂的。但是这部有它自己的魅力...
(4星)	以前中央台播过吧，挺喜欢的！
(NA)	她告诉我  我曾经也单纯过~
(5星)	每集都看，很喜欢
(4星)	希拉里达夫版的，不错啊~
(5星)	因为她，我爱上hilary duff
(5星)	里面的歌曲真好听，have you ever seen such a beautiful night.....电视剧版本在高中暑假期间看的，也是这些人。。嘿嘿
(4星)	童年美。我还能追戈多多少年w 
(5星)	我第一次看美剧吧？
(5星)	马特是个淘气包
(NA)	和妹妹一起看的电视剧
(4星)	不错，遗憾只看了一半。
(5星)	以前和毛毛老说 mark长大了一定帅死 结果真的是 和哈利波特长大一样的杯具
(5星)	很好看
(NA)	初中看的
(4星)	好喜欢她的弟弟~
(5星)	很喜欢很喜欢！！！！！
(4星)	喜欢希拉里达芙```
(5星)	喜欢它的电视剧版本，不知电影版怎样？
(3星)	以前中央台演过成长烦恼，那阵特别爱看
(5星)	不用说原因。。。
(4星)	lizzie的那个时代啊⋯⋯
(5星)	大爱之作。
(5星)	上高中时看的片子，那时候觉得国外的学生生活相对我们的更自由，自我的空间比咱的大得多，不知道多羡慕呢。影片轻松幽默，内地的家有儿女就是根据它拍的。总之伴随我渡过成长，同时也消灭了我的很多烦恼。
(5星)	非常喜欢~
(5星)	边学英语，边听故事，感受外国人的生活，十分有意思
(4星)	呵呵  当时和弟弟一起看的~觉得很像我们的写照
(NA)	好哦，快看
(4星)	中央八套美好的回忆
(4星)	自认为比旧的那部好看
(4星)	当年我很喜欢的~~~
(NA)	cctv8的配音。。
(4星)	挺有意思的
(2星)	没法和原来的比...
(5星)	我人生中的第一部美剧
(4星)	喜欢duff还有他弟弟！
(5星)	多美好的生活啊，怀恋那段日子
(5星)	那个时候每天4点一刻看它～
(4星)	青春校园剧情嘛~
(3星)	Hilary&amp;Aaron
(5星)	很有教育意义又不无聊
(5星)	我初中的某一个寒假献给了CCTV8。好吧，我承认 我爱戈多同学。
(4星)	看的时候年纪已经不小了，但是还是爱看。。。没道理的
(5星)	超喜欢这部剧...强力推荐!!!!!
(5星)	它陪我度过整个  初中
(NA)	看的第一部美国式的成长剧 从此记住了希拉里 ，这个胖胖的女孩 所以无论 后来她怎么变 她在我心中永远是那个有着小烦恼的普通初中生
(3星)	就是蛮青春的
(NA)	07
(5星)	大爱
(4星)	遥想当年陪伴了我一个暑期
(5星)	喜欢hilary，哈哈。
(4星)	戈多戈多我爱戈多！！
(5星)	一看就喜欢上hill啦~！
(5星)	中央8播，我天天赶回家看...
(4星)	初次遇见Hilary~初次了解国外teenages的生活
(3星)	Pretty funny in the process of growing up……
(4星)	小姑娘超级可爱的~
(5星)	看完了第一季 ,终于看完第二季了
(3星)	还行。。。
(NA)	可爱的暑假时光~
(5星)	喜欢这样的结局(*^__^*) 
(4星)	当时还是看得很开心的
(5星)	Duff简直就是那时的我的女神。　你不知道小时候我多爱她。
(5星)	俄...成长的烦恼太遥远...我爱新成长的烦恼~~~
(NA)	很不错。因为它对希拉里达夫产生好感。
(4星)	還是前些年看的呢，很好看~
(5星)	Hilary Duff~
(4星)	有情人终成眷属
(5星)	很喜欢hilary，故事也很可爱，很好看哦~~
(4星)	怀念~~羡慕美国的校园生活
(4星)	Hilary Duff  歌也很好听的 
(5星)	so funny and fantastic!!!i love it !!!
(4星)	年轻的时候看的，那会很喜欢，可就是老有几集看不到~没看全过.......
(5星)	爱死Lizzie McGuire 啦~~~超喜欢Lizzie、Miranda、Gordo~对了对了，还有小Matt！
(5星)	接触到的第一部美剧 大爱
(5星)	啊~暑假那会儿天天下午守着央视8套和我弟弟看的很欢乐。Jake Thomas小时候真的很很很萌~~
(3星)	没有以前的那部好看
(NA)	中学那会在电视上看了不少 挺不错  喜欢HILARY DUFF
(5星)	虽然她那时候很胖，但是青葱高中岁月真的很可爱啊~
(4星)	最喜欢的电视剧之一！那些快乐、轻松的日子啊
(5星)	非常轻松愉快一部电影,看完了后所有细胞跳动起来
(5星)	一个暑假~~
(NA)	I love Gordo！！！
(3星)	几年前的寒假了 哈哈哈哈哈哈哈哈
(4星)	喜欢那个弟弟，小门牙真可爱
(5星)	喜欢啊~成长的烦恼
(4星)	the friendship, love, and everything that can make me smile, laugh and cry.
(4星)	就是看这个绝的Hilary蛮可爱的。
(5星)	温暖的喜剧。喜欢MATT。
(4星)	比那个Miley Cirus好看多了，Hannah 整个一抄袭...
(NA)	想当初只是想看AA出现而已
(3星)	初中的时候看过，感觉很新鲜，很好看。能锻炼口语哦！！
(5星)	当年，还没用电脑的时候，守在cctv-8的四点档就为看这电视剧~
(4星)	戈多！马克！
(5星)	陪我走过发育期的
(NA)	这个女主真的是不敢恭维呀
(4星)	感觉美国的学生时代就和我们的大学一样，甚至比我们的大学还有过之而无不及啊。。。
(4星)	CCTV8   打法时间的好选择~~
(4星)	在CCTV8看过之后，又上网找来看。后来发现这种类型的片子，只适合在你还小的时候看。非常喜欢演“戈多”的演员，不过他的愿望是当导演，所以他演的片子好少。女主角的弟弟好像是AI人工智能里的人类小孩，印象深刻。
(5星)	很喜欢这部青春题材美剧。
(4星)	曾经很爱
(3星)	假期和妹妹一起看的，当然再没有当年看《成长的烦恼》的精彩。
(3星)	只是很喜欢HilaryDuff
(4星)	虽然算是儿童剧了。。可是很有feel，比麦粒更值得看。。。
(5星)	巨喜欢里面那个马克，哈哈
(5星)	我很迷这个，演完后，就和老朋友分别一样的难受
(3星)	美好的回忆，很温暖，还有向往的三线电话。
(4星)	小时候看过 忘的差不多了 这算不算我看的第一部美剧 =。=
(3星)	莫名其妙地在高中的时候被CCTV的这部电视剧给吸引了。然后看到了HD/AC。
(5星)	适合小朋友看 我看就当补回童年的娱乐教育
(5星)	几年前挺喜欢～
(5星)	喜欢戈多，莉齐是个幸福的孩子
(5星)	很喜欢看，那时候是念中学吧
(4星)	算是比较喜欢的电视剧之一~
(3星)	喜欢DUFF
(5星)	2010 夏
(5星)	我都看了好几遍了真的好好看
(4星)	满有意思的。
(5星)	记得很早很早以前中央台还播过呢，那时候认识的希拉里小甜心，超可爱！
(4星)	和growing pains还是有些差距的。
(3星)	喜剧呀~
(NA)	剧情太老了，不过还是非常喜欢hilary duff。
(5星)	大爱!
(4星)	美式说教教育，不过挺好玩。
(5星)	还是去看了这部片子。大爱啊！！！！！！！！！
(4星)	还行，支持哥多
(5星)	是因为喜欢hilary才看的，不过hilary是因为这个红的~看过几乎所有她演的电视电影，不过还是这里面的她最纯真~
(4星)	某次暑假听同学介绍在CCAV8上看的~
(4星)	挺好看的~
(NA)	我非常羡慕利齐一家呢！她的父母太通情达理了，教育方式也很好！
(5星)	 HilaryDuff 的都很好看。Hanna Montana就是她的翻版。
(5星)	当时号喜欢好喜欢好喜欢哦~美剧起源央六。
(5星)	学生时代就是一件糗事加上另一件糗事
(4星)	沿袭了部分growing pains的风格，是挺好的美剧。剧中的两个小男生很好。Matt就想从前的Ben一样，虽然不是第一主角，却是精华人物，让人不得不喜欢
(4星)	类似Hannah的结构
(5星)	老片子了 那个时候的Hilary还是个小孩 圆乎乎的 多可爱啊 米兰达和戈多更是古灵精怪 最神奇的是 她的弟弟马特 当然也想有Lizzie的父母 够modern 这片子看了得有3遍了 要不都说我幼稚呢。。。
(5星)	很巴士~~·~~
(5星)	关于成长的一部精彩电视剧。
(4星)	可爱的希拉里 哇嘎
(5星)	It is awsome！！！！！ 算是我看这类剧的启蒙 永远也忘记不了 三个朋友之间的友谊 喜欢戈多 还有可爱滴弟弟
(4星)	当年清纯的希拉里达夫现在已经被活活整残了
(5星)	还想再看
(5星)	超好看 DUFF唱歌好好聽，好羡慕美國那種自由學習的感覺
(NA)	女孩子稍微有些做作，有些丰满，有些让我怀念小时的《成长的烦恼》
(4星)	小时候很喜欢的。现在纯粹练听力 口语。
(3星)	音乐很好听~~~
(4星)	弟弟Mart超级可爱的。。。
(NA)	我很喜欢啊 电视版的
(4星)	从小看到大~
(5星)	很有意思的说~~
(NA)	   励志···
(4星)	可以反映美国青少年成长的美剧，值得一看～
(5星)	在那CJ的岁月里，曾经为一个小小KISS而泪奔
(5星)	荐荐荐~~~
(5星)	戈多是从小到大的第一梦中情人！！！用更加怪异可爱的毛头保护别人的梦想和怪念头
(5星)	中央8台引进了！！很想再看！！
(5星)	让我数数。。三遍了吧，每个人总有那么一部陪伴着的外来剧。。。
(5星)	为毛这个没红涅。。。很好看啊
(5星)	太影响 我了
(3星)	几年前看多一点
(3星)	好像外国的小孩从小就那么聪明，唉。
(5星)	看了又看……
(4星)	是接着的
(5星)	啊！！！！看到了看到了 大爱！！！
(5星)	感觉比另一个成长的烦恼好看
(5星)	初三的时候老跟王奶奶讨论~
(5星)	喜欢~~~~~
(5星)	喜欢戈多
(4星)	个弟弟好帅,就是额头高了点
(4星)	挺好看，蛮有意思的！
(5星)	以前中央八台播的时候每天都会看··特别喜欢利奇的弟弟马特···戈多也很搞笑··特别不了解的是为什么利奇学校里的那个很受欢迎的那个男生那么丑大家还会喜欢···郁闷···
(NA)	弟弟好可爱.......
(4星)	青春片啊，很好
(4星)	高一？初三？ 那個暑假，喜歡matt
(5星)	中学时的最爱~感谢cctv-8！从此喜欢希拉里·达夫
(5星)	戈多很帅。女主哥哥也很帅……
(NA)	Hilary Duff 啊~~~
(4星)	那时候每天下午都看。
(4星)	这么多年了 现在终于出字幕了 也有下载了 突然觉得时间就这样过去了..、哎
(4星)	当时看的时候是暑假没事干的时候～～我和弟弟唯一能一起看的电视，我们当时就坐在客厅电视前面的地板上边吃东西边看边笑
(NA)	从这儿开始喜欢hilary
(5星)	一个暑假都捧着电视不舍得出门=。=
(4星)	希拉里杜夫
(3星)	某集他们参加一个西班牙电视节目的巨搞笑~~~~戈多很可爱~~
(5星)	真好看呐~~青春真是美好~~嗯嗯~~！！！哈哈~~~意大利语真好听
(4星)	青春小美女总是讨人欢喜的
(5星)	很想去 意大利
(3星)	感觉有点夸张 不过 颁奖晚会的那首歌真的很好听~
(5星)	喜欢 
(4星)	我一直不明白CCAV8是怎么想的，像这部以及丑女贝蒂哥伦比亚版这样好的电视剧放一遍就过一天到晚放脑残棒子剧是什么动因啊？？？费解。。
(4星)	成长 you rock,don&#39;t ever change!
(4星)	青春还需要理由嘛。。歌都不错。。
(4星)	看了没几集，觉得没有Growing Pains好看，总体来说也不错，看看美国学生的生活
(4星)	不乏笑点 三个小朋友的友谊是经典
(4星)	Lizzie~~
(5星)	戈多太可爱了，俺54女主= =
(5星)	某种程度上，看的|第一部|美剧。学会很多东西。推荐。比国内所谓的“X有儿女”..好看不知道多少倍..
(5星)	伴我成长=v=
(5星)	毕业照时的那一个吻
(5星)	央视重播吧
(5星)	美国情结启蒙篇
(3星)	比較喜歡那個男同學啦，才不喜歡那個男明星。
(5星)	太好玩了，了解了外国中学生的思想，很活泼，非常喜欢，很想买到碟片来看~~~
(NA)	记得是在中央八台看的.嘿嘿
(4星)	为帅哥……
(5星)	很不错的美剧~~家庭~~休闲娱乐首选^^
(NA)	很喜欢美国的教育方法和生活方式
(5星)	超喜欢！但买不到啊~~
(NA)	高中时的最爱啊。。。
(NA)	好看哒~她弟弟超可爱的
(5星)	like very much!
(NA)	好看啊
(NA)	他们合唱的歌曲超好听的额
(5星)	看了之后，我爱上了Hilary~~~~
(4星)	很喜欢看 
(5星)	大爱
(3星)	以前在哪看到有新成长的烦恼播放，虽然知道不可能是原版的，还是看了看。
(5星)	卷毛我可喜欢你了
(5星)	就是从这里喜欢上希希的~~~
(NA)	会成为经典的经典。
(NA)	喜欢戈多！
(4星)	一集不拉，全部看完，当然是好剧啦!
(5星)	超级好看
(5星)	大爱
(5星)	超级喜欢!
(NA)	我看过``她演的很都片子
(5星)	因为这部剧迷上了Adam Lamberg
(5星)	还是喜欢胖胖时候的Duff
(4星)	不错
(5星)	暑假凉品。冰激淋
(5星)	太搞笑了~超级喜欢这个~
(NA)	SWEET
(NA)	喜欢hilary duff 
(5星)	How many those wonderful days of youth did I waste on this absorbing TV drama?
(4星)	挺有意思的。
(NA)	平民天后
(NA)	这个好像是同名连续剧的电影版~~连续剧也不错啊
(3星)	没有当年的动人啊，但是动画心理还是刻画的很不错的
(NA)	我超喜欢
(2星)	~Hilary Duff~
(5星)	长大后的最爱
(NA)	喜欢HilaryDuff 
(3星)	在电视中看到过，还行~~
(4星)	成长中的故事
(3星)	ok
(4星)	有意大利~~
(NA)	http://v.youku.com/v_playlist/f1665758o1p0.html
(4星)	看了心情很轻松~
(4星)	~~~
(3星)	中央8套看的，给她弟配音的是配人鱼小姐的那位，好萌的声线
(2星)	缺乏逻辑
(NA)	放假时候的大爱……
(4星)	超经典 八套演过
(NA)	新成长的烦恼
(5星)	很搞笑哈
(NA)	这部剧还不错 但是跟早期的GROWING PAINS不能比 顶HD
(NA)	可爱的一家人
(3星)	结尾出乎意料~
(5星)	最美的生活~有友谊，有亲情 还与淡淡的爱情
(4星)	领教美剧的魅力 那个遥远的暑假
(5星)	8错的喜剧,最喜欢戈多!
(3星)	看过这个我才知道Hilary.Duff,她长的很甜~比她姐姐漂亮~~~~
(3星)	这更象个动画片！
(5星)	...
(NA)	I kinda like Lizzie but not Hilary~ And Milanda is much better~
(5星)	一眼就喜欢了...
(4星)	虽没有成长的烦恼经典　　但也不错都有可爱的弟弟
(5星)	超喜欢！！！！
(5星)	啊。。。无虑的青春。。
(3星)	乐一乐
(5星)	我喜欢~小时候好可爱~~
(4星)	！！
(4星)	一边翻文献一边看的,歌很好听~~~
(3星)	音乐满好听的，保罗满好看的
(NA)	好看
(NA)	 HilaryDuff 
(4星)	离第一次看这个片子距现在已经有一段时间了。从这时起就喜欢上了Hilary Duff 。
(5星)	让我明白友谊
(NA)	像阳光一样闪耀……
(5星)	青春剧，蛮不错的
(4星)	女主角很漂亮
(4星)	偶家DUFF啊,呵呵,
(4星)	又是一本灰姑娘的小故事！ 支持一下~
(NA)	movie of cinderella
(5星)	就是它……我的第一部美剧，还是在CCAV上看的。也是因为这个才喜欢Hilary，然后找到豆瓣的
(5星)	很好看~
(3星)	很不错
(5星)	很想重温
(4星)	还好
(5星)	我喜欢戈多
