http://movie.douban.com/subject/2983271/	微笑Pasta 微笑PASTA
(3星)	 这剧获得我一个密友的极端宠爱 那时她打扮中性外表刚强 我由此发现了她小女人的本质 两年后她果然变成了一个纯情大姑娘 对我这个色情大叔翻脸不认帐了 我们都说 时间会改变一切的 原来是真的= =            
(NA)	 台剧果真不适合            
(3星)	 笑一笑没什么大不了~（过了看偶像剧犯花痴的年龄，才知道偶像剧是拍给小女生看的~）            
(2星)	 你用大嘴装可爱，我竟然还看了！！！！            
(2星)	 很难想象自己真的坚持看完过全集- -|||            
(2星)	 王心凌你多大了 还装什么嫩呀            
(2星)	 丑男丑女来演戏            
(1星)	 稀烂，张栋梁。。呕。。杀了我吧，马桶台你再放一遍试试！！！            
(2星)	 小弱智。            
(3星)	 初中就是喜欢看这种小小的NC剧。。            
(3星)	 无聊打发时间...            
(NA)	 哎呀我的年轻岁月是怎么了。怎么会有这么多xxju!!这种脸是要如何演偶像剧男主角请问！            
(1星)	 两个都是二逼            
(3星)	 个人还是觉得某女主太做作了，不喜            
(5星)	 好看，虽然好像最初觉得不养眼，不过还算王心凌不错的一部            
(3星)	 少年时代的记忆            
(4星)	 好像是我看的第一部台湾言情……            
(1星)	 见过没常识的编剧，没见过那么没常识的编剧。。。            
(5星)	 我很爱王心凌的~~~            
(3星)	 演技不错，不过长相也太差了            
(2星)	 脑残加丑男丑女            
(2星)	 张栋梁..哈哈...王心凌...哈哈哈            
(3星)	 很喜欢王心凌            
(4星)	 剧情不咋样。。不过张栋梁的微笑太迷人了，好干净的感觉            
(2星)	 女主傻我忍了（不傻怎么叫偶像剧呢），男主丑我也忍了（男的相貌比较不重要）。。。但是男主请你有点演技！MAN一点好不好！            
(3星)	 还行是我大一小白时候的评价，看这个神剧被朋友耻笑了几年...            
(4星)	 gino            
(2星)	 好無良的台灣肥皂劇，好吧都是芒果台不斷不斷的重播以至於我也能看一點下去            
(3星)	 年幼无知啊            
(2星)	 微笑pasta            
(3星)	 额除了有点做作我还是很喜欢张栋梁额            
(3星)	 号称有我们家小立，看到15集，终于出现，只说了四句话，还有一句没听清，哎            
(2星)	 丑男丑女大联盟我居然还看了蛮久......... - -            
(4星)	 年轻时候看觉得感动得稀里哗啦的，谁心里没有个白马王子呢。            
(NA)	 两个唱歌都很好听            
(2星)	 无爱            
(2星)	 在我没有电脑的日子里，湖南卫视天天放……            
(1星)	 王心凌太做作了            
(1星)	 滚            
(2星)	 幼稚到晕倒            
(2星)	 不解释             
(1星)	 王心凌也没正常过            
(3星)	 那首歌很好听啊。            
(3星)	 如果男主角能换个帅点的就好了。            
(3星)	 我居然追完了- -我当年抗雷能力真强            
(1星)	 年轻时候的我果然有耐性。。。            
(3星)	 当年我真的挺无聊的 还哈过这片子            
(1星)	 脑残            
(NA)	 芒果台重播无限剧 男主女主可以再丑点 剧情可以再烂点            
(4星)	 能看下去，并且蛮欢乐的...喜欢这种一对一，只有男女主之间的小打小闹的剧情，没有各种乱七八糟的男N女N的复杂狗血恋情...            
(4星)	 看的时候 觉得张栋梁笑起来会发光。。。神志不清啊~            
(3星)	 我看张栋梁            
(3星)	 依然歪嘴王心凌            
(3星)	 王心凌的演技...有点假...特别是吻戏...永远是不情愿的样子            
(2星)	 没有一个能看的。。。            
(3星)	 还好啦~~            
(2星)	 两个大嘴的人凑在一起了……            
(1星)	 男主实在是太丑了            
(4星)	 感觉很特别，成晓诗，一个平凡的女孩，傻乎乎的，却很执着勇敢追求着爱，很喜欢~~呵呵，可是电影毕竟是电影，到底对吗？为什么现实很残酷呢？还疑惑是，人本身的问题，和现实无关？？？            
(3星)	 = =            
(2星)	 感觉真的是造作了……败坏了我的审美兴趣……            
(3星)	 跟明道那些个比起来。。。。。。这个算稍微能接受点儿吧。o(╯□╰)o其实也好白瓷。            
(3星)	 还算不错了            
(4星)	 高二的时候看的，好久啦            
(5星)	 这是唯一一部那时候每个星期三翘晚自习跑网吧去看的偶像剧了。好像以后再也没有过了，虽然现在看来剧情一般。但是至少那个时候给自己留下了不错的回忆。            
(3星)	 演的挺假的，不过蛮喜欢张栋梁的            
(3星)	 小白剧。要是这个世界上的爱情都是耍花痴，那么满大街要么是花痴要么是剩女！@Home            
(2星)	 这片阿亮看了会不会给五星            
(3星)	 王心凌这里我还是挺接受的，还有微笑王子。。            
(3星)	 张栋梁怎么能当男主角的。。。            
(3星)	 全班一起看            
(2星)	 有点假。。乌龟妹            
(2星)	 很久以前看的 无趣之极            
(1星)	 不知所云            
(2星)	 我忏悔。我看过。            
(5星)	 天然呆是我的最愛~~~            
(2星)	 剧情实在是太弱智太囧了            
(2星)	 张栋梁太丑了            
(4星)	 喜欢男女主角，虽然没耐心看完整部剧……            
(3星)	 那个苦闷的夏天            
(3星)	 不得不说这是一部超幼稚的戏，开始死活不想雷自己，但湖南台放的时候我竟然看完了，╮(╯▽╰)╭            
(2星)	 微笑拍死他 囧 ... 脑残剧            
(4星)	 轻松，就王心凌说话太慢            
(NA)	 相当诙谐幽默也非常励志的台湾偶像剧.            
(2星)	 女主角笨成那样额，从那以后我是坚决不看王心凌，杨丞琳演的片子，都一个套路            
(1星)	 无奈在同学家被迫陪看的。我擦，这么垃圾的东西。。。            
(4星)	 不错...            
(2星)	 又是一个让人想看都看不下去的电视            
(NA)	 张栋梁是怎么当上男主角的？！            
(1星)	 悲剧            
(3星)	 蛮作的            
(5星)	 这部剧集我本来不想看的，但是同学推荐我了我就给点面子咯！我因为觉得演员都不怎么样也没啥兴趣，结果看下来故事倒是挺感人的，可惜啊？主角能不能换一批啊？王心凌那可怜的样子一遍就够了多了就厌烦了，就觉得虚伪了，张栋梁？额……不说了，此剧中最爱阿哲和RITA这一对，这对是主角我还想看点呢            
(5星)	 很多年前的夏天看的 现在已经慢慢地不怎么看台湾偶像剧了不过一直觉得是挺不错的电视剧 那时候觉得张栋梁和王心凌真是搭呢现在更多的喜欢的是张栋梁以及王心凌的歌  怎么感觉我在变老&gt;&lt;            
(3星)	 第一次听说这部电视剧是高三的那个寒假里，第一次看完是在高中毕业那年暑假里，最近一次接触就在两分钟前。喜感依存~~~            
(1星)	 如果能够评0颗星，我都想评0颗的，因为确实长得太丑了，男二男三男一没得一个让人看得过去的，哎，这门说吧，这里面就王心凌将就能看下            
(NA)	 看过很多遍了，哈哈喜欢栋梁~~还有Pasta超人            
(2星)	 男猪脚不喜欢。。。剧情灰常无聊            
(1星)	 雷！            
(1星)	 不愧是微笑拍死他            
(1星)	 调台时无法不看到，晕厥            
(2星)	 王心凌还是那个样子            
(2星)	 不晓得哪根筋不对劲居然会看这部戏。            
(3星)	 看看电视剧嘛，开心就好。。。。。            
(NA)	 哈哈，这个我也看过，那段时间待业在杭的时候看完地！            
(5星)	 怎么心凌的戏分数低？有人故意的吧            
(3星)	 只是歌还不错，剧情走的还是台湾偶像剧的俗套            
(3星)	 看的时候觉得不错，张栋梁张得好像韩国人哦            
(3星)	 表示很老套很无爱。同时表示鸭梨过大，王心凌的两部偶像剧我居然都看过。            
(2星)	 这是没什么看了 才看这部剧的。。哎。。不过喜欢王心凌在剧中的发型和发色。。            
(2星)	 还挺喜欢张栋梁的。。。            
(1星)	 做作做作做作做作做作做作做作做作            
(2星)	 靠，这也叫帅哥，我的娘啊。            
(2星)	 无聊剧            
(NA)	 4            
(1星)	 无语。            
(4星)	 只要笑一笑，没什么事情过不了！这是电影里最喜欢的一句话，喜欢王心凌            
(1星)	 好吧 我真的不是对王心凌有偏见             
(NA)	 休息智商。            
(1星)	 王心凌看着不开胃            
(2星)	 男主丑到爆！            
(2星)	 为什么，那首小乌龟就是那么吸引我            
(3星)	 不喜欢王心凌            
(1星)	 囧神集合，无与争锋~            
(3星)	 白烂的剧情还是打动了我。里面的一些歌满不错。            
(3星)	 也许偶像剧都是这样的，还是忍不住看，毕竟那时还年轻。            
(3星)	 囧片- -            
(1星)	 丑逼排排站……劳资竟然还看完了            
(2星)	 我也想吃Pasta            
(2星)	 太傻的剧情，太傻的拍摄，唉            
(2星)	 剧情很小女生就对了...            
(NA)	 很肥皂..            
(1星)	 当笑话看            
(2星)	 一网友说得太对了：真是丑男丑女大联盟啊！            
(3星)	 当初看的时候觉得还不错~现在想想其实真的挺幼稚的~            
(NA)	 张好难看             
(3星)	 真没营养。            
(1星)	 可不可以不给星?!            
(1星)	 我疯了吗？湖南台才疯了！            
(2星)	 芒果台翻来覆去的放 还是没有坚持看完            
(3星)	 脑残。但是很奇怪我看了一遍又一遍。张栋梁的声线不错。            
(NA)	 我有个同学还特爱看这个，不晓得她是怎么看下去的，佩服佩服。。。我都懒得评分了。。。            
(5星)	 只要笑一笑，没有什么过不了~            
(1星)	 很“好”的台湾呕像剧。。。            
(4星)	 只要你带给我快乐~恋声癖哈哈            
(NA)	 好吧 湖南卫视每次重播我都会看看 最近几天又开始看了 哈哈            
(4星)	 不是因為芒果台放我是不會看的，雖然劇情很無聊，男配女配不帥不靚，但是還是看下去了，其實也沒有想像之中那麼爛……只要笑一笑，沒有什麼大不了的。很喜歡這句話！            
(4星)	 支持王心凌一下~            
(NA)	 开头无法吸引我的一部剧            
(2星)	 看不下去，脑残剧            
(1星)	 九岁的小侄女：咱看电视吧。我：行啊。看什么。小侄女：微笑PASTA?我：动画片？小侄女：不是。我：讲什么的。小侄女：。。。。。。于是我只好悲剧的陪她看了两个小时的恶俗偶像剧，一边在心里嘀咕。。看得懂吗。。            
(NA)	 丑男丑女大联盟            
(2星)	 没意思            
(NA)	 笑笑就过去了。话说...我不明白张栋梁哪长得好了。            
(3星)	 扁平足无罪 - -            
(NA)	 自此觉得小眼男也不错            
(4星)	 当初好喜欢啊！很喜欢王心凌演的剧，虽然貌似都是一个型没什么变化…（我现在觉得张栋梁真是…不太好看）当时记得还yy什么&#39;心栋组合&#39;^^            
(1星)	 所有偶像剧里还有比这本更丑的男主女主么            
(2星)	 傻！！            
(3星)	 还算可以.            
(3星)	 兩個白到極點的男女演員。            
(1星)	 杯具 这么恶的居然还看完啦            
(4星)	 很甜蜜 温馨            
(1星)	 丑男丑女联盟            
(NA)	 没电视看了。不能怪我            
(2星)	 张栋梁 你个伪娘            
(2星)	 王心凌演的戏都不对我口味            
(4星)	 。。。。。            
(4星)	 剧情可以            
(3星)	 好吧，严重鄙视以前的自己～            
(NA)	 我男人演的哈  喜欢其中欢快的气氛~~            
(1星)	 滚你丫的            
(NA)	    跟yuer一起通宵看的，是我20多年的人生中的第一个通宵，也是迄今为止的唯一一个通宵~~真有那么好看吗？现在想想，好像也还一般吧，唉，那时候年轻啊，精力好的~~  那首&lt;小乌龟&gt;当时觉得不错，因为学起来好简单，哈哈......            
(2星)	 敢再白痴点吗            
(3星)	 张栋梁唱歌是好的，不过实在长的不大偶像            
(3星)	 王心凌的角色总是这样天真无心计，看多了有一点视觉疲劳~~            
(2星)	 做作的表演，老的装年轻装可爱，女的装傻，男的装酷。            
(5星)	 当时看的我 很入迷 。why            
(2星)	 ....- -            
(2星)	 湖南台放的。。看不下去了。。            
(3星)	 我是怎么样看完的?????????            
(3星)	 小乌龟~嘿嘿~            
(5星)	 吖，其实这片挺好看。咋分这么低呢……            
(NA)	 王心凌            
(NA)	 其实编的很垃圾，演的很垃圾我就是很贱的看了2遍为了打发时间···            
(1星)	 其实挺没劲的~            
(3星)	 嘻嘻！~            
(NA)	 我 我 我 竟然从头到尾一集不落的看完了！！！！            
(4星)	 此片比较没大脑 不过我看了很多遍 可能就是因为它不费脑子吧 真的觉得王心凌挺可爱的            
(NA)	     这个片很好看            
(4星)	 尽管男主的表情总让人觉得不对称,但是剧情不错哈            
(1星)	 白痴喜欢            
(1星)	 恶心死了            
(1星)	 弱智片            
(4星)	 好看又好笑            
(NA)	 有点好笑            
(2星)	 看到王心凌我就郁闷了            
(3星)	 电视台放，无聊的打发时间            
(2星)	 丑！            
(3星)	 男猪脚也太丑了，这还是偶像剧么            
(3星)	 王心凌 可以更白痴一点的            
(4星)	 当时看的时候充分满足了我的少女情怀~            
(NA)	 芒果台一天到晚放            
(3星)	 还不错吧~！            
(2星)	 不喜欢偶像剧了...            
(1星)	 很很很无聊            
(3星)	 看的时候灰常欢乐。            
(2星)	 男主真恶俗、、、            
(3星)	 张栋梁只唱歌就好了。。。            
(2星)	 你俩嘴大，声音嗲。            
(NA)	 这剧情，多偶像剧啊            
(1星)	 我干嘛要浪费时间看这个东西= =，。。。。。            
(2星)	 两兄妹            
(2星)	 台词情节弱智到极点的烂剧            
(3星)	 其实这部剧不是太~~花痴            
(NA)	 没有最雷只有更雷            
(1星)	 晚上太无聊了，竟然跟着湖南台看完了。他们那个大学就50几个人来着，剧组也太寒酸了，连群众演员都请不起            
(NA)	 不能忍受张栋梁            
(4星)	 多么不可能的巧合啊            
(4星)	 OST不错            
(1星)	 这种故事 是我最不喜欢的故事            
(1星)	 湖南卫视经典烂剧之一，喂喂喂偶像剧起码人要长得偶像一点点好伐！            
(4星)	 说真的 虽然无聊了点 可是还是让人有看下去的欲望的呀。。            
(2星)	 实在是...很失败            
(3星)	 完全数不清老妈看了几遍 每次看她看就有抓狂的感觉            
(2星)	 我只想说长成这样和那样的俩人居然也能演偶像剧!?天啊天啊天啊天啊饶了我吧……湖南台还一遍一遍的轰炸,天……            
(2星)	 无法忍受那股傻劲            
(2星)	 我实在不忍心给我喜欢的心凌这样的分数。            
(4星)	 只要笑一笑  没有什么大不了            
(4星)	 很搞笑！王心凌整个一少根筋！~            
(NA)	 男主角不是一般的难看            
(2星)	 很烂！！！            
(3星)	 俗,,,            
(3星)	 傻的···不过当时还迷了男主角一段时间 嘻嘻            
(NA)	 这...            
(4星)	 又一个灰姑娘噶故事.....            
(4星)	 本人看的第一部偶像剧            
(3星)	 简单爱。            
(NA)	 王心凌演的偶像剧，说实话都有点白痴。但是，这部戏吧，相对来说还好看吧......            
(2星)	 不知道为什么湖南卫视这么爱这部剧 汗- -... ..            
(2星)	 消磨时间；那首《北极星的眼泪》还蛮好听的            
(2星)	 我觉得,张栋梁还是只适合唱歌,不适合演戏...            
(NA)	 还不错啦            
(4星)	 像漫画            
(4星)	 微笑的魔法。            
(3星)	 有点怪怪的。            
(1星)	 不幸。。。。居然瞟到了。简直不应该存活在这个宇宙里。            
(4星)	 喜欢王心凌            
(4星)	 红头发爱。            
(3星)	 没看完整..            
(3星)	 讨厌王心凌~~~不过里面张栋梁还蛮腔调的。。。而且歌很不错~~            
(NA)	 话说还因为这部剧，喜欢了下张栋梁的歌，小乌龟，很好听。            
(NA)	 雖然王心凌做作到不行，卻也不失一部甜蜜的劇集            
(3星)	 乌龟妹            
(2星)	 他们两演的戏就不要看了以后  歌还是可以听的            
(NA)	 &#34;笑一笑没什么大不了&#34;这句讲到雷人！            
(4星)	 简单的爱 简单的喜欢            
(4星)	 挺好笑的 = =            
(5星)	 反复看不会觉得厌烦            
(2星)	 装可爱            
(2星)	 脑残            
(NA)	 哈哈，一个暑假的最简单快乐~~            
(2星)	 張棟梁，我不得不說。娘味十足。            
(3星)	 我喜欢小乌龟这首歌            
(2星)	 痕迹。痕迹。            
(1星)	 败笔啊            
(4星)	 虽然男女都不好看，但是打发时间还不错！！！            
(2星)	 完全的偶像剧            
(2星)	 娱乐性的~~            
(3星)	 台湾只有偶像剧了吗            
(3星)	 傻傻的爱~~无意间听到学校晚会上有人唱 北极星的眼泪 ，想起了他们~~            
(2星)	 为什么好多人都喜欢看 可是不好看啊            
(3星)	 王心凌就会演装B的角儿……讲话不好好讲，装ing，还有，张栋梁长的真的有点土……            
(4星)	 笑一笑没什么大不了~张栋梁给人惊喜~            
(NA)	 喜欢剧中格调的清朗与明媚，在心绪不佳时看看，有时候能一下子把烦恼甩到脑后，重新振作，心中充满阳光！            
(NA)	 OK            
(3星)	 天空是绵绵的糖 就算塌下来又怎样            
(2星)	 很肉麻恶心的经典偶像剧            
(NA)	 微笑拍死她            
(4星)	 装嫩下·            
(3星)	 挺傻的其实，但爱情本来就是件傻事！            
(2星)	 不看也罢            
(4星)	 就这样的笑。。。            
(NA)	 童话吗.....我就觉得挺好的，挺真实的。。。。喜欢一个人其实就是这样纠结..            
(2星)	 男女主角都没感觉            
(1星)	 囧囧有神            
(2星)	 原来张栋梁还拍过戏。。。不过还是去唱歌比较好            
(4星)	 看完就想吃意大利面。            
(5星)	 呵呵，王心凌是很恶，可是张栋梁却很好，他不算美男，可是声音很好听，感觉是大好人一个，真的喜欢哈哈，无聊的时候看看还是不错的，有些无厘头有些做作，纯属消遣，不过成小诗的名言还是很有意思的，笑一笑就过去了西西            
(3星)	 很喜欢里面的歌曲，对于歌曲，真的是不错剧情就……感觉有点像浪漫满屋，很久之前看的，现在也不再想重看了。            
(2星)	 好傻            
(4星)	 好哦            
(3星)	 当时跟奶奶还使劲凑会儿在电脑前看了一下午 真觉得不值。            
(1星)	 王心凌，装可爱不成反成白痴。。。很郁闷，好端端的歌不唱，演什么偶像剧呀。到底是哪里来的自信，觉得人们会因为你弱智的演技喜欢上你？杯具色彩很浓重。            
(5星)	 高中的时候超喜欢看的。            
(2星)	 2星半            
(2星)	 真的看的我眼睛都快瞎了。            
(3星)	 甜蜜但不切实际的剧情，尽在台湾偶像剧。。            
(3星)	 喜欢里面的几首歌~~对剧无感~~            
(1星)	 无法忍受王心凌歪嘴+发嗲            
(2星)	 不知道好在哪里。。。            
(3星)	 没劲 搞笑而已            
(1星)	 脑残脑残脑残脑残！！！！！             
(3星)	 说真的，当年我觉得栋梁很难看.......自抽！狠狠抽！！！            
(2星)	 傻死了！！            
(5星)	 很开心的哦！            
(1星)	 典型的无内涵偶像剧            
(1星)	 完全无法忍的雷……看得人想哭……            
(NA)	 两个演得也很有真挚感            
(5星)	 2009            
(2星)	 我实在不忍心给我喜欢的心凌这样的分数。            
(3星)	 太傻了            
(4星)	 歌很好听 可爱的心凌            
(4星)	 简单的人会珍惜...            
(2星)	 看过2集也算看过吧= =            
(4星)	 我们一起看的电视剧            
(1星)	 为王心凌那恐怖的颜 mark一个            
(2星)	 演的好假~~~            
(NA)	 太傻！            
(3星)	 女主好恶, 让人讨厌的个性,只会在一个人面前可爱,在所有人面前白目。后面反而好些。            
(2星)	 脑残剧            
(3星)	 2            
(1星)	 ....            
(3星)	 。。。。。。。能看的下去，但是一般吧            
(3星)	 傻傻的肥皂剧            
(NA)	 当时很迷恋张栋梁            
(4星)	 还行！            
(3星)	 喜欢阳光少年的微笑，有一种拨云见日的魔力，好象可以让人忘却所有的烦恼，这就是微笑的力量！            
(2星)	 额。。。            
(3星)	 虽然弱智到不行，但看的过程还是蛮轻松的```            
(2星)	 前两天芒果台下午播。我就跟着看了两集。实在是无聊到不行看得。结果看着看着也能在椅子上睡着……==。            
(1星)	 rita            
(3星)	 恩，算看过的BC偶像剧中有点逻辑的吧~~~就是张栋梁身高实在否太高啊            
(3星)	 这个剧让我喜欢上意大利面是事实。不过张栋梁实在不帅~拜托以后不要演偶像剧比较好。            
(5星)	 喜欢张栋梁温暖的笑容            
(3星)	 唉~~在一群花痴女的轮番轰炸下终于看完了~~~看完了以后才觉得张栋梁好丑哦            
(4星)	 一部发生在明星身上的爱情故事，虽然王心凌做得有点夸张，张栋梁也不靓仔，但是故事情节也不错，爱得有意思。            
(NA)	 你们在搞什么啊！！            
(1星)	 女主太恶心，男主太丑，男二太缺心眼，女二太装，剩下的太雷。。            
(2星)	 挺无语……            
(NA)	 我想忘记我看过            
(4星)	 不是白痴不白痴的问题，台湾偶像剧有几个不白痴？只是莫名喜欢上了张栋梁的笑而已。            
(1星)	 垃圾啊垃圾            
(1星)	 剧情太烂。而且演员也抱歉。            
(3星)	 忙里偷闲时可以看看，很多人都认为无聊时看无聊剧可以解闷，挤出才有的珍贵时间要看经典，其实不然，要知道无聊寂寞的人最挑剔。            
(3星)	 实在是不喜欢王心凌，张同学也不见得帅。但怎么说呢？这部剧挺甜蜜的吧。            
(4星)	 里面的歌曲还不错~情节是有点。。。。。恩。。。。。听歌就好了            
(2星)	 我为什么会去看这个？    阿哲比何群有爱多了。            
(3星)	 还好吧~很喜欢里面的歌~            
(3星)	 很弱智的一部偶像剧 找乐就看它吧            
(3星)	 芒果台无止境的重播让我觉得可耻。            
(4星)	 喜欢微笑prince的羞涩，喜欢他温柔的眼神，暖心的微笑，干净的声音……            
(2星)	 北极星的眼泪。。= =             
(3星)	 被第一集吸引~~~~最后发现被骗啦~~~~~            
(4星)	 搞笑偶像劇~~~沒看過的人,可以參考這一部!!            
(3星)	 何群啊~囧            
(3星)	 努力的晓诗~~            
(5星)	 让我笑到超多的还有些哭红眼睛的片子。。。。真的是很丢脸。            
(2星)	 没办法看完，尽力了            
(4星)	 当时脑残了，看了n遍            
(2星)	 当真是，丑人多作怪……            
(5星)	 看了超级开心的~~从头笑到尾很甜蜜~~            
(2星)	 每次芒果台放这个我妈就难以忍受，原来这就是我妈心中的雷剧标准            
(1星)	 只简单瞄过两眼，雷的我外焦里嫩。这也叫偶像剧？那世界好毁灭了。生有何望。评价它只是为了说明它有多难看。            
(2星)	 骗未成年人的            
(3星)	 傻掉了竟然看这个。。。            
(2星)	 男主角太丑            
(3星)	 !            
(3星)	 里面有陈意涵哦            
(2星)	 现在台湾的看也不想看了。            
(3星)	 唯一留下的深刻印象就是那两首主题歌，可是如果你真的能相信乌龟精神，不知道会不会真的成功呢。。。            
(NA)	 超白烂的剧情。。。还有那个台词和装纯的女主。。。。啧啧。。。            
(1星)	 我还没看过比这更白痴的。。            
(3星)	 想起宏村时的疯狂。哎，这种日子越过越少。            
(3星)	 那首彩虹的微笑·算王MM比较经典的歌了吧·没有缘由·一听那歌·就很开心            
(3星)	 但凡那个时期的偶像剧就没我没看过的            
(NA)	 我比较喜欢他们的意大利面            
(3星)	 我也不明白自己为什么喜欢张栋梁啊            
(4星)	 好吧..张栋梁            
(3星)	 无聊打发时间的良品= =+我貌似就是那么的无聊...            
(4星)	 很幼稚，但很搞笑            
(2星)	 不觉得张栋梁有多么帅，倒是男二还不错，意大利面也很OK            
(3星)	 沒什麽感覺            
(3星)	 也很垃圾，但看在张栋梁和王心凌的演技上，给三星吧            
(3星)	 很脑残的片子            
(NA)	 一般吧，喜欢男二号            
(3星)	 我就讨厌那么做作的女人。            
(1星)	 烂            
(1星)	 垃圾~ 王心凌好丑            
(5星)	 王心凌，张栋梁，稀罕死勒！            
(3星)	 以前看的时候觉得也就是一部偶像剧没什么好看的，但是现在回头看看，成晓诗的性格和精神都让人觉得不错。笑一笑，没什么大不了！我只和我自己比，勇往直前的乌龟精神正是我们渐渐失去的东西。。。            
(2星)	 只要笑一笑 没什么大不了            
(4星)	 张栋梁演得不错            
(2星)	 说真的，原来还有点期待，结果看看就想转台，剧情就不讲了，演技更无语，应该更适合小孩类的观众~~            
(1星)	 没事闲的我也不想看、、、要不是死党推荐！            
(3星)	 也是断续在看。            
(2星)	 遭不住。。。            
(NA)	 都丑丑的            
(2星)	 男女主角的長相~哈哈~偶像劇裏有夠不得力的了~            
(3星)	 一度觉得张栋梁满灵~            
(3星)	 男主角太不帅了。。            
(NA)	 永远记得pasta的味道            
(4星)	 意大利面情缘。王心凌和张栋梁很配呀，一个活泼外向，一个安静内向。            
(NA)	 我承认很烂...我承认我看了...⊙﹏⊙b...            
(3星)	 在一个不认识的人家里。看了通宵。            
(4星)	 典型的偶像剧..也算是偶像剧中情节比较好的...            
(3星)	 张栋梁太傻，王心凌太天真。。。            
(3星)	 画面还算精美            
(3星)	 王心凌真丑啊，只是主题歌不错            
(NA)	 原来容易放手也可能是更加的爱，更加珍惜            
(3星)	 王心凌很做作，张栋梁虽然演技不行，但是嗓音很深情            
(2星)	 傻得可以。            
(3星)	 还是不习惯张栋梁的声音。不过那首北极星的眼泪蛮好听的。            
(3星)	 为了那两首歌            
(2星)	 呃那些情节真的很牵强……            
(2星)	 不骗你，这片我前后一共看过3次。。。            
(1星)	 妈啊，台湾人真以为他们拍什么我们都看么？            
(4星)	 好像我是坚持着看完了的，所以，推荐吧            
(3星)	 好像王心凌当主角的时候总是演傻傻的角色呢            
(2星)	 实在没办法看的            
(1星)	 有人说这部片子和《不良笑花》同等低能。我不同意这种说法，《笑花》是低能没错，这部片子主要是低水平的自我膨胀。            
(2星)	 两个我很不喜欢的主角凑到一起的烂片儿            
(1星)	 男的是侏儒 女的是恐龙 不知道这部戏有哪一点可以吸引哪怕你看1分钟            
(4星)	 好像台湾这样的偶像剧都能吸引我……            
(4星)	 相对来说还比较喜欢的一部烂俗的台剧~虽然对王心凌不感冒，但她在这部剧里还蛮可爱的，张栋梁很不错啊，另外晓诗的家人也很可爱~对了，歌儿也不错~            
(2星)	 张栋梁个软蛋            
(3星)	 女人作，男人娘！            
(1星)	 嗷嗷嗷！！时时刻刻都可以把你雷倒在地不省人事的巨雷片！！！            
(2星)	 同是偶像剧，并不是很喜欢这部            
(4星)	 本人觉得还不错~            
(NA)	 .........            
(4星)	 雖然主角們都不美型。演技還都很假。不過還是不錯的啦。            
(5星)	 今年暑假看的...每天跟宁姐讨论剧情...            
(4星)	 傻乎乎的            
(4星)	 挺开心的一部            
(3星)	 王心凌有点秀逗            
(5星)	 喜欢剧中格调的清朗与明媚，在心绪不佳时看看，有时候能一下子把烦恼甩到脑后，重新振作，心中充满阳光！            
(3星)	 虽然觉得很俗套，但每次看都能让我觉得很开心，也许是因为王心凌扮演的角色吧~~            
(2星)	 男的太丑            
(1星)	 无语的电视剧            
(NA)	 07年3月在杭州珍那看的。像小醉又像某d。是的。我fan他的笑。            
(3星)	 里面那句：只要笑一笑，没什么过不了的。很对            
(4星)	 真的很搞笑o(∩_∩)o...            
(5星)	 只要笑一笑，没什么事情过不了--陈晓诗            
(NA)	 搞笑搞笑看看。            
(3星)	 想吃            
(NA)	 笑一笑真的能没什麽大不了？？            
(NA)	 还可以``            
(2星)	 发现王心凌就没演过什么好看的偶像剧            
(4星)	 很俗但很好笑的电视剧~尤其是和QQ一起看的那几集~还挺好看的~            
(4星)	 比想象的更好看~如果可以的话,我会打4.5星,不过不行,所以只能给4星了...另 &lt;小乌龟&gt;这首歌真的很好听,非常打动我            
(3星)	 虽然比较傻，但拿来轻松快乐也很不错~            
(4星)	 偶喜欢的之一            
(5星)	 蛮好看滴！~~o(∩_∩)o...            
(3星)	 很幼稚            
(3星)	 依然是通过芒果台看的            
(3星)	 心凌的演技差一点_lulu.            
(5星)	 偶像剧啦，当然会夸张。从中感受到快乐和卡通化的戏剧表演就好了。            
(3星)	 当时看的时候很疯狂.但现在想想满幼稚的.            
(4星)	 2006            
(1星)	 推荐大家不要浪费时间~~~            
(5星)	 有种幸福的味道，喜欢~            
(5星)	 王心凌就是演这种可爱型的，如果年纪大了一定要转型，不然只能吃青春饭            
(3星)	 还成。。里面的歌比较好听            
(3星)	 感觉平平，不想再看第二遍。            
(NA)	 开始喜欢张栋梁和王心凌 对经纪人有了不一样的认识            
(2星)	 不是很好看,只能是消遣            
(3星)	 其實也沒啥新意。            
(4星)	 我至少看过4遍            
(3星)	 老姐推荐的连续剧，感觉比一般的台湾偶像剧好一点，可以打3.5颗星呵呵            
(3星)	 无聊时看的 吵架挺好玩的            
(3星)	 看的时候还行现在没什么感觉，只觉得张栋梁好丑那是咋就没觉得呢？            
(2星)	 情节依然如此老套．            
(NA)	 看了这部剧，对张栋梁的印象转好了            
(4星)	 挺搞笑             
(NA)	 还行            
(4星)	 救命两个人娘对嗲。            
(NA)	 呵呵            
(3星)	 除了王心凌基本还能看，音乐很不错            
(4星)	 好羡慕哦～            
(4星)	 很美好            
(3星)	 不想动脑，打发时间时看是个不错的选择。            
(NA)	 只要笑一笑，没有什么大不了            
(NA)	 不用帶腦子看的電視劇            
(2星)	 超无聊            
(NA)	 2006年7月16日              又名: 微笑百事达            
