http://movie.douban.com/subject/3546595/	圆月弯刀 圓月彎刀
(4星)	 看完觉得比原来了解的好，可能就是沉迷那股阴郁加煽情的调调吧。还有那个时候的古仔和梁小冰真是美啊美。还有仔细看古龙的确实比金庸的有韵味，金庸的是真善美，朝廷性也很强，而且我讨厌金庸里的男人朝三暮四！！古龙的那股荒凉气很得我心，不过小说大多还是只有框架            
(5星)	 古龙的书本来就不好拍，这个版本不仅传达了古龙的一些味道，还拍出了超出原著的一些东西            
(4星)	 温碧霞自有一种气质！            
(5星)	 怀旧            
(5星)	 没迷TVB的时候在电视播的，小时候特特特特特特特别喜欢丁鹏。。后来翻出来再看的就没那感觉了！！！            
(5星)	 丁鹏，圆月弯刀，太厉害了！            
(4星)	 不喜欢梁小冰，长得不好看还总是演美女............            
(3星)	 古天乐当年太嫩太年轻T.T            
(NA)	 丁鹏完全是个心烦意乱的武夫啊，最后终于冷静了，经商开了家和平饭店。            
(4星)	 大概是十几年前看的 当时电视剧频道还叫做有线一台来着 情节至今记得 看完很迷温碧霞 是美人 是美人 是美人啊！            
(3星)	 古天乐最帅的时候            
(NA)	  啊~~~~古仔的白净侠客年代~~~~~那帅的真让人吐血啊~~~~~~他和梁小冰很配啊。喜欢主题曲，黄沾的词。星辉下，圆月光中，此刻深情，才是真我。            
(3星)	 很纠结的剧情，很粗糙的细节，很犯贱的丁鹏。            
(2星)	 只是冲着帅哥美女看的。远不如原著。            
(4星)	 当年的古天乐真的是美到令人发指            
(NA)	 这个时候的古天乐，真是帅呀，帅呀，帅呀呀呀。。。            
(3星)	 古天乐当初多好看啊！诶。。。            
(3星)	 古天乐是帅的惨绝人寰，俩美女虽美但是脸都太平了，和古仔立体的五官不是那么相配。。。剧情对人物的感情也诠释的莫名其妙。。。莫名其妙的那么喜欢温碧霞，莫名其妙的又不爱了，莫名其妙的又那么爱青青，前面对青青又那么无情，看的我好无语啊。。。20集的电视剧确实也无法把整个故事叙述的那么完整            
(3星)	 丁鹏——古天乐颜的最高峰            
(4星)	 古天乐的各种帅            
(4星)	 天乐哥那时候还是很帅气的。            
(5星)	 这部电视剧很有王家卫的《东邪西毒》的感觉  也或者可说是王家卫拍金庸的书拍出了古龙的感觉  而此版的《圆月弯刀》是我所看过翻拍古龙的书最有意境的一部 让人很是意味深长            
(5星)	 故梦            
(5星)	 温碧霞太有味道了            
(4星)	 现在才知道古天乐是主角            
(5星)	 这部电视剧基调很特别。是这么多年，给我留下感觉最复杂的电视剧。我好喜欢青青这样的女人。            
(2星)	 (*^__^*) 嘻嘻……黄花树下，不见不散~            
(4星)	 还追了一阵这个哎。每个星期周末过把瘾~！那时候的乐仔多么粉嫩啊！！            
(NA)	 经典            
(3星)	 古天乐很好的诠释了面如冠玉的含义，这部剧感觉拍的有点唯美，有点诡异，有点感伤，开始的黄花树下的画面很漂亮，冲着古天乐的造型，也应该看一看            
(4星)	 还是那个年代的武侠有江湖气，看得荡气回肠啊啊啊啊啊~但是过程真TMD虐心！虐心！虐心！！！！！！！            
(4星)	 庆幸当时留住你容颜            
(3星)	 岁月是把杀猪刀^_^            
(3星)	 丁鹏帅到惨绝人寰·····            
(2星)	 我看温碧霞总觉得跟古仔不搭啊            
(4星)	 想给三星 一星给当年相当嫩的古天乐。。。。            
(4星)	 秦可情，当初看的时候很心疼她呢！            
(4星)	 虽然不甚喜欢丁鹏的性格，可那时候的古天乐真的可以用面冠如玉来形容呀。话说回来，TVB以前拍摄的古龙剧，还是挺有味道的。            
(5星)	 只是很喜欢古天乐，亦正亦邪的气质~            
(3星)	 我看了结尾，于是推得前面的情节            
(4星)	 故事没讲好，但是温碧霞很美。            
(5星)	 古天乐现在好喜欢恶搞，看到神奇侠侣的剧照有点崩溃~~还是怀念下经典吧~~~白古很口水~~~            
(5星)	 我觉得比原著好看得多            
(4星)	 这个时期古天乐的颜绝对是前无古人后无来者登峰造极至高无上。。再没见过比这更帅的脸了。。每个特写都让我感叹感叹再感叹。。。            
(3星)	 现在的梁小冰已然成了欧巴桑。。。            
(4星)	 颜控 不解释            
(4星)	 古仔这部戏不帅是假的            
(4星)	 为了古天乐。。。            
(4星)	 剧情很无语。。。唯一支撑我看下去的亮点就是白白的古天乐，不过有这个亮点也就够了。。。            
(4星)	 背景假又怎样，泡沫雪又怎样，大摆筵席只有稀疏两桌又怎样，五大门派就只有五个人又怎样，一个白面俏帅哥已经足够成为看剧的理由啦~啦啦~            
(5星)	 小学时看的，当时就觉得男主怎么能那么那么帅啊             
(4星)	 古天乐好清秀= =#            
(3星)	 小学时对古仔真是着迷啊            
(3星)	 白白的古天乐都好靓仔            
(5星)	 温碧霞！            
(4星)	 剧情还不错，主要是丁鹏太帅了~            
(4星)	 古天乐当年真的很帅            
(4星)	 喜欢青青和白古，天涯截图直播我整个跟下来了，计算机课上还使劲儿拽着熊熊看。            
(4星)	 小时候最爱看这个了~            
(3星)	 好似就是从哪个时候认识梁小冰的，温碧霞真赞            
(4星)	 古龙的调调            
(4星)	 一见丁鹏误终身            
(3星)	 其实我觉得太一般了，温碧霞太花瓶了，而且一个二个都运气太好了，跳崖都不死，还练得一身绝学。。。            
(4星)	 古仔当年的英俊是无人能敌的。那种味道适合任何武侠剧。我始终都喜欢青青多过秦可晴，虽然温碧霞艳丽无比，可是，如果没有青青，又如何会有让我们心心念念不忘的丁鹏。            
(4星)	 最早接触的古龙剧            
(3星)	 丁鹏怎么能这么帅            
(3星)	 神雕侠侣之后还是挺迷他的，也是第一次发现他这么黑            
(5星)	 主线不是丁鹏复仇，是青青对丁鹏矢志不渝的爱            
(5星)	 =。=绝对是从这部片子喜欢上古天乐的！！！！这个堡主性格我喜欢！            
(4星)	 白古！！！            
(3星)	 KAO，又是只记得主题曲 ==b            
(4星)	 古天乐那时真是帅啊~            
(3星)	 跟原著不一样 不过这个组合挺舒服            
(3星)	 剧情纠结死人，分数打给帅哥美女            
(3星)	 旁白太多，搞得很穷很摇。拍得完全没有古龙的感觉，逊就一个字            
(5星)	 古帅哥还没黑，还有两大美女坐镇~            
(4星)	 白古，帅得没有天理！青青，太美好的青青！            
(5星)	 (⊙v⊙)好帅啊……            
(3星)	 那年的古天乐还是古天乐......            
(4星)	 喜欢这个结局            
(4星)	 丁鹏更多的是悲情，性格即命运，身边的幸福他总是抓不住            
(4星)	 喜欢古天乐白白的样子            
(4星)	 古仔嫩枝啊！            
(5星)	 对把圆月弯刀印象好深刻            
(3星)	 我觉得顾嘉辉黄沾有点厉害。            
(NA)	 小白脸时期的古天乐            
(3星)	 隔了这么多年再看，已找不到当年初看时的感觉了。            
(4星)	 很灵            
(3星)	 最近突然很想重温武侠剧`````个人觉得丁鹏算是个不太讨喜的角色            
(5星)	 不为别的，就为了唇红齿白的古仔，此片也值得五星            
(3星)	 梁小冰好看            
(5星)	 古仔最帅的时候！            
(NA)	 白的古天乐            
(3星)	 其实丁鹏很贱啊。            
(4星)	 帅哥，哈哈            
(5星)	 小冰演技超赞啊            
(4星)	 古天乐演得都要顶起！            
(4星)	 美好的回忆。            
(5星)	 只为古天乐的丁鹏            
(3星)	 很多很多年前我爸租的碟，还没来得及还那家店就倒闭了，现在碟片还在，只是影碟机已经不能用很久了。。。            
(5星)	 古天乐颜全盛时期真是秒杀众生无解了。剑眉星目，英气逼人，好一个玉面郎君！这故事有点做作依然给五星。喜欢那句“小楼一夜听春雨”和伍咏薇的“意难平”            
(5星)	 充斥着许多矛盾，善与恶，美好与残酷并存，自我与无私，让人看到了捉摸不透的命运。。。            
(4星)	 多情扰  无情刀爱恨情仇 心意难平  美画卷 月圆人不圆            
(NA)	 【当你不能拥有的时候，你唯一可以做的就是不要忘记】~要不要这样 ，一开始就这么煽情？古龙果然比金庸更性情啊~~            
(4星)	 经典撒。但是感觉坏坏的古天乐真的不习惯，特别是那个时候刚看完他演的【神雕侠侣】，简直是在我幼小的心灵上添上一点点迷茫啊＠Ｈｏｍｅ            
(3星)	 当时觉得相当好看            
(5星)	 我个人觉得古天乐演的丁鹏是出神入化的。原著我看过，实在是烂，因为大部分根本不是古龙写的，绝大部分是倪匡代笔的。电视剧的剧情其实改得更好。不过就是有很多穿帮镜头。但古天乐将丁鹏那亦正亦邪的神韵演绎得十分到位，梁小冰温柔端正的妻子形象永远刻入我们男人心里。总体而言是超赞的！            
(4星)	 一直很喜欢青青。            
(5星)	 豆瓣上的评论都满有诗意的！            
(3星)	 古天乐还是小白脸            
(4星)	 黄花树下，不见不散~~~            
(NA)	 幼时大爱啊            
(4星)	 很好啊，难得的有古龙味的电视剧了！            
(4星)	 超爱结尾~            
(3星)	 看，我才知道这是某小黑最后一部白的片子，啧啧。。            
(4星)	 我妈爱看            
(5星)	 黄花树下，不见不散。            
(4星)	 印象比较深的古装片，片头曲很好            
(3星)	 人生就像古天乐的肌肤            
(4星)	 这样的人物特性是最适合古天乐的            
(NA)	 ......            
(3星)	 男主貌似有点渣            
(5星)	 古代美男子面如冠玉是什么样，就是这个样。            
(4星)	 古古太帅了            
(4星)	 那时的古天乐真TM的帅！！！            
(4星)	 那时候的古天乐还没晒黑，古装扮相绝对秒杀。。。。黄花树下，不见不散O(∩_∩)O~温碧霞也很妩媚，当然咯，梁小冰的青青，多好的人。。。。为毛是那样一个结局？！            
(NA)	 这部戏的诡异之处在于青青从十集左右就说自己时日无多然后一直活到最后一集            
(NA)	 不见不散            
(5星)	 最最喜欢的一部港剧，原因自己也不明白            
(3星)	 后面剧情什么玩意            
(NA)	 原来我还是挺喜欢黑乐乐的            
(5星)	 郎艳独绝，世无其二……古天乐的颜，就值五颗星！            
(3星)	 古天乐那时绝逼帅啊，但是故事也就那样吧小楼一夜听春雨            
(4星)	 温碧霞美的圆润如玉            
(4星)	 古天乐最美的颜，当时我们家搬家来着            
(3星)	 貌似当年瞄过几眼 - -            
(4星)	 嗯嗯，记忆            
(3星)	 太假了。。。            
(NA)	 古装剧，很喜欢这一部，很有那种刀光剑影，浪迹江湖的味。            
(4星)	 当小黑还是小白时。此乃人间极品美受是也~            
(3星)	 每个人都很惨……            
(3星)	 童年的回忆呀              
(5星)	 360°无死角大帅哥。            
(4星)	 梁小冰啊。。。            
(5星)	 当年我花痴了很久的一部剧。            
(4星)	 丁鹏和青青真是一对璧人~~~            
(4星)	 就冲着古天乐白白净净的样子。这才真的明白什么叫，面如冠玉，貌若潘安。            
(4星)	 童年的记忆，认识丁鹏在杨过之前，惊讶于古的俊逸邪魅，多年后重温，同样爱上了，清澈的青青，不由的为之落泪，怀念逝去的TVB。            
(5星)	 改编得很不错.            
(NA)	 伍咏薇的片头曲很好听。            
(4星)	 那时候的古仔真的是面如冠玉，眉目如画！迷死我等。            
(NA)	 黄花树下，不见不散            
(NA)	 印象很深的一部            
(5星)	 那时候的古天乐简直就是360度无死角的帅气。            
(5星)	 最爱            
(2星)	 也是一段虐恋。            
(5星)	 我记得梁小冰演的坏人            
(5星)	 不得不又感叹一句美丽的古仔~~~当然小冰也很喜欢的~~            
(4星)	 冇最尾一集就好啦            
(4星)	 古天乐真是冥顽不灵啊            
(4星)	 年轻时候古天乐的古装真是帅啊~~            
(3星)	 记不得结局是什么了囧            
(4星)	 那时候的古天乐啊。。。            
(5星)	
(3星)	 古天乐还是比较适合的            
(5星)	 古仔古装扮相的极致，无与伦比地帅！            
(4星)	 其实我已经忘了内容。小时候的电视，我一向给五星，这次给四星是记得当时觉得很悲，没看完。。。丁鹏丁鹏~~~            
(4星)	 四颗星星给白古温碧霞完美的颜。            
(5星)	 那个时候的颜真是美好哇            
(4星)	 这么说吧 古天乐的古装扮相在我看来是没人能超越的            
(3星)	 多久以前了  也许是三四年级   除了这个响亮的片名和那把锋利的镰刀  我啥都不记得了。            
(4星)	 古天乐古装最帅时期~            
(4星)	 丁鹏啊            
(3星)	 其实原著本来就很烂            
(5星)	 丁鹏 嘤嘤嘤嘤            
(3星)	 只记得古天乐很帅好像很坏            
(3星)	 我一直记得的圆月弯刀。。。            
(NA)	 当时貌似没看懂？            
(5星)	 那个时候的古天乐多美好            
(4星)	 所以说，古天乐黑了之后就是废了。            
(4星)	 帅哥美女            
(5星)	 越看越伤心            
(4星)	 小时候啊小时候            
(5星)	 古仔颜的巅峰            
(3星)	 我小时候，一口一个可情听着，不禁浮想联翩，直飘到红楼梦。            
(3星)	 我很喜欢女主角            
(5星)	 小时候和老妈每天等着。。。            
(4星)	 很喜欢梁小冰。结局很悲情            
(4星)	 演员的组合实在无敌了……古天乐英俊得前无古人后无来者！            
(4星)	 小楼一夜听春雨            
(5星)	 帅！！！！！            
(5星)	 梁小冰！最爱的大美女！！！            
(4星)	 古天乐            
(4星)	 喜欢小说，唯一的一本还是王理给的，哈哈，珍藏至今啊            
(4星)	 梁小月~扑            
(3星)	 其实我已经忘得差不多了            
(3星)	 没看完剧，但是在天涯看图片把剧情都串了一遍，那时候的古仔简直是盛颜啊，美哉~            
(5星)	      一个真实的江湖            
(3星)	 美丽女人温碧霞            
(3星)	 果然我看过不少电视剧！            
(5星)	 黄花树下 不见不散 我要重温！！！            
(3星)	 不喜欢猪脚死光光的片。。            
(5星)	 那时的古天乐            
(5星)	 非常喜欢            
(5星)	 帥哥啊，美女啊            
(4星)	 白白的古天乐是最爱啊，虽然杨过很经典，可在我心里他最帅的时候是丁鹏            
(NA)	 丁鹏。古天乐当时你多帅呀。            
(3星)	 古龙小说总是伤感            
(NA)	 非常喜欢亦正亦邪英俊潇洒的丁鹏，喜欢那神秘诡异的意境，喜欢美丽善良的青青，很讨厌那个狗血的结局。            
(4星)	 黄花树下不见不散，的确是美的。可对青青来说，算不算爱错？还是喜欢白面的古天乐            
(3星)	 黄花树下，不见不散。。。。            
(5星)	 本人认为这部电视剧上档日期要是比神雕侠侣早，谁会记得古天乐演的杨过，，，丁鹏、青青、秦可情，还有伍咏薇的意难平，，，足以成就经典！            
(4星)	 个人和喜欢古天乐             
(3星)	 演绎了江湖的爱恨情仇            
(4星)	 那时的古天乐好奶油            
(4星)	 剧情已经没什么印象了，只记得古天乐忧郁的眼神~~            
(3星)	 小时候的片子了            
(3星)	 都不记得了。。。            
(3星)	 剧情越到后面越失控/ 古天乐颜最盛的时候，绝对是。            
(5星)	 超爱青青            
(4星)	 喜欢            
(4星)	 古龙，古天乐，足够了！            
(3星)	 看这个剧才开始觉得古天乐帅的             
(3星)	 我只喜欢看前四集，后面就无爱了！            
(5星)	 古天乐很帅(¯﹃¯）            
(5星)	 古天乐最帅的时候而且我发现我读古龙比读金庸更有感觉            
(5星)	 全片笼罩着古龙冷峻而绝望的气息，丁鹏这个角色真阴鸷，还好有梁小冰的娴丽。感觉古天乐这部《圆月弯刀》和《神雕侠侣》真入戏，很难和现代装的他联系起来。            
(5星)	 黄花树下 不见不散整个剧的调调今天想来都是 好艺术好有感觉            
(4星)	 人物养眼但是剧情很狗血很扯，看了原著发现更扯= =丁鹏这个角色真让我纠结，每次都是在我觉得他完全渣化之前悬崖勒马，青青这样的姑娘在情窦初开时遇上的这个人，恐怕是她一生中最大的杯具。            
(4星)	 喜欢那个玉面的古天乐~            
(5星)	 那张魅惑众生的脸啊~~~            
(5星)	 虽然古天乐还是很青涩，但喜欢这部剧的感觉            
(4星)	 很想重温的一部旧剧            
(4星)	 帅到日月无光的丁鹏把青青虐的是惨绝人寰...            
(NA)	 剧情改得我吐血。。            
(3星)	 只因为 天乐···            
(2星)	 没什么印象了，不过记得有古天乐和张兆辉            
(3星)	 实在没印象 至少10年前            
(4星)	 小古绝美            
(5星)	 很好看，是我最早认识古天乐的影片。里面的青青很温婉可爱，很小的时候看的，还能懵懂的记得。前一段时间又重温了一遍。里面古天乐超帅，我觉得是他最帅的时候。            
(3星)	 古天乐里面贼帅贼帅的            
(3星)	 这部怎么说呢，一般性吧，因为看过原著，觉得改了不少            
(2星)	 除了很萌的小古，剧情简直是挑战观众智商下线            
(4星)	 TVB套路太浓了，如果按照原著那么编就好了            
(5星)	 我只想说：古天乐就是一妖孽啊妖孽……那个侧脸啊！！            
(3星)	      他怎么能错误青青这样的女子呢？虽然电视剧把原本的书改得一天世界，的那是我还是很喜欢电视剧，结局很仓促也很令人扼腕！   那时候的温碧霞还是很好看的，虽然她的角色很不讨好，但是我也无法讨厌这样一个妩媚到骨头里的女人。            
(5星)	 不错的片子            
(5星)	 我们家天乐啊！！            
(NA)	 那时候觉得那样子的古天乐很帅并且看了觉得很忧伤            
(5星)	 还是纠结于结局。            
(3星)	 还没搞清楚桨了什么东东。。。。。。。。            
(5星)	 还白着的古天乐 太古老了            
(4星)	 一切为了古天乐            
(4星)	 黄花树下 不见不散            
(4星)	 里面的人都太孤独。一心求天下第一，最后当了天下第一又如何呢，还不如和爱的人在一起，远离江湖，安安静静平平淡淡地过日子。            
(NA)	 未被超越的版本。还有我最爱的梁小冰，她是我爱的女神。以后再也不会有这么美丽的青青了，也不会有这么英俊的丁鹏了。我不相信还能有哪个组合容颜可以达到古天乐+梁小冰+温碧霞的高度。            
(3星)	 这片子当年看的真是郁闷            
(5星)	 古天乐挑大梁的戏 不错滴~            
(3星)	 剧里的女主实在是太悲惨了            
(4星)	 青青这样的女子让人无比心疼。丁鹏有一种令人迷恋的气质。            
(4星)	 确实比不上小说，但很有味道，为小冰的青青加一星，哪里能找到这么好的女孩？            
(3星)	 其实不是非常喜欢看金庸的武侠片，记得那时也是因为古天乐才看的吧！            
(4星)	 情节一般，演员漂亮~            
(4星)	 很帅            
(3星)	 当时因为梁小冰而看 古天乐怎么能这么坏            
(5星)	 美丽夜，美丽人，美丽事，令我想唱歌。            
(NA)	 丁鹏很帅            
(3星)	 十一突然想看古装片。以前觉得不好看，这次看看还蛮则劲哒~~            
(4星)	 记得结局很悲惨~            
(3星)	 诡异的剧情。。。            
(5星)	 适合这种感觉..现在的武侠是怎么都拍不出这种味道了            
(3星)	 貌似很小时候的记忆了~            
(4星)	 小古同学那时候还是很细皮嫩肉的            
(3星)	 最喜欢的青青            
(NA)	 唉。。。。。年轻时候的最爱啊。。。。。。            
(4星)	 那时的古天乐真真是亦邪亦正的美男子啊~            
(4星)	 故事一般般 有些细节很深刻            
(4星)	 深刻印象。            
(4星)	 梁小冰还不错            
(4星)	 哇哇哇            
(4星)	 古天乐已经不是当年的古天乐了！            
(4星)	 古天乐那会还挺白的~~            
(3星)	 这结局，我无语了~~ 青青死了，丁鹏就无影无踪了~~            
(3星)	 很一般            
(4星)	 第一次看到古大帅哥阿            
(4星)	 黃花樹下 不見不散            
(4星)	 只要是古装 和怎样的美女站在一起都般配的古天乐            
(3星)	 剧情有点烂，可是古仔在里面真他妈玉树临风，心心眼至今            
(NA)	 叹口气            
(4星)	 对这部片子念念不忘很多年，原因不详            
(3星)	 喜欢奶油的古天乐            
(4星)	 主要是看古仔            
(NA)	 第一次认识古天乐            
(3星)	 不错            
(5星)	 我看这个的时候黄金时段还没禁播境外片            
(3星)	 很奇怪的电视剧            
(4星)	 说是奇诡，却是动人。            
(3星)	 丁鹏亮点            
(4星)	 經典~小古~            
(4星)	 古在此片中的扮相实在是好啊            
(3星)	 记得不太清楚了，当时只有2、3年级啊            
(3星)	 迷恋的古天乐 很温柔很美丽的温碧霞            
(3星)	 剧情很跌宕            
(3星)	 开头两集温碧霞很惊艳            
(4星)	 有点压抑            
(4星)	 白版的古大帅哥，可惜女主角不够漂亮            
(4星)	 只为青青            
(5星)	 古天乐年轻的时候真是太帅了！            
(4星)	 童年记忆~            
(4星)	 落魄剑客回头那惊鸿一瞥，萌翻了            
(NA)	 英俊刀客热血刀            
(4星)	 可以看的            
(5星)	 古天乐，梁小冰，温碧霞，全都令人销魂。小时候看的，那时候古仔还是白的。            
(NA)	 黄花树下，不见不散。隽永恒久的一句话，却动人至深。            
(3星)	 很喜欢里面的青青..            
(NA)	 挚爱青青            
(3星)	 没有善恶 诗句泛滥            
(5星)	 哇  白白的古天乐帅到家了            
(4星)	 还是更喜欢金庸            
(3星)	 = =            
(5星)	 就冲着古天乐的颜            
(4星)	 看港剧最疯狂的时段            
(NA)	 冲着古天乐去看的，感觉有点压抑。。。            
(4星)	 梁小冰真漂亮呀么真漂亮            
(NA)	 没看到结局。本来这个故事也不算古龙太经典的。            
(5星)	 意境很到位，演员选得不错，这古仔最好看的时候啊~~~            
