http://movie.douban.com/subject/3062731/	篮球火
(3星)	后天的努力勤奋完全能够跟先天优势相抗衡！目标=勤奋+努力+技巧+坚持=成功
(3星)	我就觉得言承旭演的挺好的…很低调…
(3星)	我觉得还行吧，虽然那些动作太假了，但那些夸张的动作还是得到了我们不少的震撼与笑声！
(3星)	靓仔多 养眼啊
(3星)	爱小猪和吴尊,再烂的剧情偶都拼了,结果没看完....
(NA)	以我这种高龄看偶像剧的挑剔眼光，还是觉得不错。。。
(3星)	一部帅哥活动集频。
(3星)	就是有点假这球打得~~~
(3星)	整部片子由一群不会演戏的演员演出，唯一的看点就是他们的名字。剧情over，人物设计over。
(NA)	芒果台
(3星)	zzz
(3星)	太浮夸了……
(1星)	完全忽视常识的
(5星)	最喜欢暴龙和小猪了！最近也开始喜欢上尊尊了，他们都好有型哦~~~~超赞的说！！！！
(3星)	看的有点迷糊~~~吴尊在里面是个啥角色，朋友还是对手？尤其是结局太迷惑了，最后一场比赛的意思在哪里，没有交待结果。。。。。。
(2星)	纯属看帅哥
(3星)	主要是看人，剧情其他什么的都垃圾。
(NA)	就是很喜欢言承旭啊，无视其他人。
(NA)	假的很温暖~
(3星)	篮球技术挺假的  不过还是看了
(5星)	女主角换一个就好了 还有W不要死啊。。
(1星)	没看完，看不下看不下。
(4星)	虽然有点瞎 虽然技术处理上有点太超过 虽然有cos灌篮高手的感觉 仍然是篮球题材里面拍的不错的 相比于大灌篮 mvp情人,好很多个等级. 喜欢那首插曲,&#34;我会情愿渐渐被忘记&#34;.  要多坚强,才能一边流眼泪一边祝福. 爱是让人坚强的原因吗? 还是爱的太多,坚强到了软弱.
(3星)	为了言承旭 我坚强勇敢的把这部烂片看完了 
(4星)	只因为罗志祥才看的
(3星)	剧情有点拖沓，明显模仿灌篮高手的，冲着演员才看的。结局。。。太让人失望了。。。难道要留着拍续集？小猪在剧里倒是很耍宝。
(4星)	看得很开心就好
(NA)	整体和灌篮高手的个别故事雷同，但是中间过渡太没劲了。也就是个消磨时间的东西了
(3星)	除了篮球·还有兄弟·或许还有女人·
(1星)	卧槽，我看过最科幻的科幻片
(3星)	女主超丑的,还很装B,真是糟蹋了罗和言了..
(NA)	言承旭，就是为了看你啊~~可是，咱以后拍点儿有水准的戏成吗
(NA)	昨晚12点结束了，很久没看这青春偶像剧了，感觉自己年轻了。呵呵，结束没有想像的完美，浪漫。
(3星)	纯属娱乐，哈哈
(2星)	不予评价。之前还行，如今较差。
(2星)	无赖哦
(3星)	额 看了最后一集 就算看过了吧~
(3星)	强大的帅哥阵容之外，我比较无语。
(NA)	还不错的，蛮搞笑
(2星)	什么雷剧啊= =
(2星)	意图模仿灌篮高手，但是剧情太差了
(5星)	如果你喜欢他，那么你必定会喜欢她。----------百度搜索： 看球TV
(5星)	养眼养眼养眼以奔三的年纪看来，剧情是有点幼稚加幻想啦，但是这一点都不耽误帅哥美女的养眼啊，顺便还可以温习一下每天六点半守着灌篮高手的年轻时代……
(4星)	怎么说呢？比我想象的好很多！兄弟之情！！！
(NA)	  打篮球的拼搏，一种动力
(2星)	拍的假啊 打发时间看看
(2星)	原来这一类的偶像剧已经不再适合我了。。。
(3星)	打3星已经算是昧着良心了。
(4星)	膜拜一下旭少爷~~~PS:有人会比姐看一部剧用时还短的么？
(3星)	吴尊是来打酱油的
(NA)	从一开始觉得言承旭很做作。到渐渐迷上他的POKER FACE
(4星)	有了兄弟 绝对无敌~~
(3星)	haha~~
(NA)	不错 哈 
(3星)	饿，，结局太狗血了，不过言承旭篮球服真的很帅
(3星)	很假。
(4星)	很养眼啊 
(5星)	经典喜剧 
(2星)	相信不？我竟然被言承旭秒杀？！我一定是疯了。
(4星)	本来以为已经过了犯花痴的年纪...
(3星)	只是搞笑而已。
(2星)	冲吴尊才看的，非常失望呢，编的没什么情节，角色虚张声势，耍酷~~
(4星)	我觉着超级好看的啊 为什么分数这么低呢？
(3星)	言承旭太帅了。
(4星)	罗志祥是正常发挥，一向演技很好，这个角色也正好让他本色出演；我还看到了吴尊和言承旭的进步，吴尊如果成熟一点，也许会更好一点
(NA)	喜欢东方翔和洁儿
(4星)	典型的台式搞笑，轻松，罗志祥在里面很放得开，但还是最爱言承旭
(4星)	言承旭在里面真是太帅啦～小猪也是～
(3星)	我最爱小猪咧大嘴大笑 
(1星)	代表篮球和武术给这部烂俗剧一星！
(NA)	其实就是一部 超长型的阿迪达斯广告片...不过我陪着妈妈一起看完了...
(4星)	太夸张了点儿哦
(3星)	每年都有那么一段时间会给偶像剧...
(5星)	最近超迷言承旭。。。而且。。篮球。。永远是我的最爱。。
(3星)	言承旭 罗志祥 吴尊 帅哥的面子上一人一星恰好及格
(3星)	至少没有让我觉得很无聊啊……
(NA)	很好看啊
(4星)	看帅锅这部可以了
(4星)	看帅哥，看四种不同的生活方式：乐观、超脱、好强、平凡而快乐
(5星)	三大帅哥超养眼的！！而且里面篮球动作也很帅，比赛情节也扣人心弦，很刺激！
(3星)	如果不是罗志祥，我会更喜欢~言承旭还不错~篮球喜欢
(3星)	开始的几集最好看 罗志祥快笑死我了
(3星)	每个人脸上都有阳光
(3星)	这结局是..邪教？？？
(NA)	笑死
(3星)	美腿教练！
(3星)	我只能说拿来欣赏美色实在是很适合
(3星)	偶像剧呀 排遣排遣时光的呀~
(4星)	啊哈哈哈，东方翔~~~伊芙利特之祭
(4星)	别这样，灌篮高手在我心中是又地位的。
(3星)	言承旭还是在耍帅
(1星)	无聊夸张白痴。芒果台别再播了星空都已经恶够我了。
(4星)	喜欢球场上大家为了一个目标奋战的团结和斗志本来听说不好看的，但是看在三大帅哥面上还是看了觉得没想象的那么不好啊 ··
(1星)	就没看过那么假的电视剧
(4星)	还是不错的。
(1星)	雷球火。
(2星)	真是偶像剧阿 除了偶像真的没什么可看的
(5星)	吴尊。无法呼吸的惊艳，完美的没道理！
(NA)	还不错
(4星)	帅哥哦。。
(4星)	那几个男的演技还不赖啊
(4星)	 -_,- 走神人路线都。跳弄么高。弄的我这个平时不看篮球的人想去看看篮球界到底有没有这种神人啊。 - -。5大狼。。
(4星)	剧情老套。。。完全是各看各喜欢的人。。。
(4星)	好看呐....
(3星)	我只是在看言承旭。  12集 暂置
(3星)	弹胖的MP4。
(5星)	笑死
(3星)	没见过打篮球这么扯的，但拍摄很不错
(3星)	花哨的球技、做作的罗志祥、可爱的阿寺
(3星)	白瞎了制作费了，呃
(4星)	拖了好久才去看，我不喜欢追戏~~兄弟。。。单看那段舞很雷人，但也很振奋人心，单看那段词很唬人，但更是一种凝聚力
(3星)	打篮球的男生真帅啊
(1星)	最烦这类恶心的台湾偶像剧啦
(4星)	除了结尾太仓促。蒋怡真是很漂亮。
(NA)	恩
(3星)	难道21岁的我真的老了吗 看这种偶像剧再也没有感觉了 并且觉得里面的天生无极龙等一系列名字很幽默 也许再倒退5年 我就喜欢看了吧 记得初中时看张韶涵演的永不言弃（貌似是这个名字吧，也是类似的故事）。觉得还是蛮好看的
(3星)	主要是想看吴尊，可是镜头少了点...
(2星)	无聊
(4星)	ku 
(3星)	虎头蛇尾，结局很烂，冲着三大帅哥去的
(NA)	言承旭帅啊。
(4星)	里面打架场面好看阿 大鹰就是樱木花道阿 里面帅哥太多了 。。而且都是美女 哇。。
(4星)	随便看看吧，没什么不好
(5星)	哈哈哈，超级搞笑的小猪·~·`无聊时候看看很有趣 特别是看幕后花絮，记得 好像是14级后面的花絮特13特次~~~
(1星)	如有有负星可选，我想我会评负分……真的是彻底的囧片，还号称什么真人版《灌篮高手》，如果真的演成《灌篮高手》或许还能遭DJ唯一的好感就是“霹雳舞”= =||||
(5星)	hgfh
(4星)	刚出来时追看了好几集，后来就没那耐性了，所以也没看完
(1星)	烂片~
(2星)	后边的剧情··太潦草了吧
(4星)	精彩..
(4星)	小猪好搞笑，吴尊就做得麻麻，但是还是直得一看。
(4星)	纯粹是看帅锅~~
(3星)	笑死我了
(4星)	非常期待的片子，但实际让我有点失望。
(3星)	还成~~~
(4星)	小猪
(4星)	阵容够~~~剧情没感觉~~~~~有点老~~~~
(5星)	前面到中間的每一集都讓我笑痛我的肚子~~都是小豬的功勞!!!
(3星)	和FAN一起疯的日子
(4星)	演员们都很养眼~~~我爱篮球戏O(∩_∩)O
(NA)	很感动的剧。很玩闹但是感情真得落泪。
(NA)	帅哥集中~故事内容有点像 灌篮高手~
(2星)	没有看完，这剧完全是用来养眼的...
(3星)	因为主任的偶像剧  所以看了   就是 《大灌篮》+《灌篮高手》大鹰感觉就是   樱木花道... 东方翔不就是那个 流川枫嘛
(3星)	元大鹰和口爱~
(4星)	。
(4星)	很好笑~~就是结局没看懂- -|||
(4星)	垃圾 非常垃圾剧情垃圾 演员演技垃圾 延伸一下就是导言垃圾中的垃圾
(2星)	雖然這出戲最大賣點是三位男主角..不過我倒是為了兩位女主角才把戲看完的..劇情爛..特技設置夸張浮夸..根本就亂七八糟的一出戲
(5星)	超喜欢小猪！！！
(3星)	男生有一项自己擅长的运动真的会加分不少：p
(2星)	个人喜好问题吧。不吸引人。。
(3星)	爱吴尊
(3星)	别人推荐看的
(3星)	剧情么，有点点《灌篮高手》，倒是演员挺集中挺火的
(4星)	不为剧情 不为演员只为意念
(5星)	特别幼稚的电视剧，但是就是喜欢看。。。
(2星)	帅哥足够多 可是剧情不好
(2星)	没故事没情节没内容……
(3星)	诶剧情实在是烂到家了!!看在吖尊和蒋怡的面子上我还是不要给差评了...=.= 
(3星)	小猪挺逗乐的～～
(3星)	剧情一般，人不错。
(3星)	这片子只是还行
(3星)	电视剧一般， 但是那首幸福不灭我是真的很喜欢很喜欢。 很有感觉的歌
(2星)	前段貌似是真人版灌篮高手..有些假了..还看得过去吧..
(3星)	为了小猪才去看的！
(2星)	为了美女姐姐的长腿……
(4星)	言承旭 吴尊两大帅哥相争 ，小猪得利
(2星)	太硬的模仿，不过花絮里的导演很可爱
(5星)	超棒~
(3星)	偶像劇都是擱到星空隨便看看的 這個嘛。。。最impressive的印象就是。。。言承旭好帥！
(4星)	认真的男人真的很帅～～
(3星)	看过之后...脑海里浮现的观点是..不要放弃
(1星)	我的妈呀...超傻....特技片的完美负面教材..
(2星)	-邓肯：“Hey，Da Ying，how do you say brothers in Chinese?&#34;……
(5星)	智商！篮球！
(3星)	突然发疯了要看这个……
(NA)	等待让我对他失去了兴趣。。。。
(4星)	篮球打得太牛啦。。以至于没有办法看真实的篮球赛。。。这部电视剧可能是中国的一个梦想吧
(NA)	除了3个主演，其他实在没有亮点.
(3星)	这是什么结尾..
(5星)	想看帅哥话强烈推荐
(4星)	有趣的剧集 还不错 蛮无厘头的 灌篮高手的风格 罗志祥版本的樱木花道还不赖嘛
(2星)	非常非常神奇的篮球理论。当幻想小说或者动漫来看还行.....
(2星)	是他们每天熄灯以后看的。。我路过顺便而已。。教练的美腿很有爱。。
(3星)	小言加1分、、、吴尊加1分。。。。我HC所以看完了
(2星)	无聊的时候会看一眼。。完全是因为帅哥。。
(4星)	还不错，偶像明星都蛮帅的，不过文戏不太吸引人
(3星)	樱木。。。。流川。。。。晴子。。。。晕
(3星)	太夸张了吧~~~~
(NA)	小猪最棒
(NA)	我还是喜欢看帅哥
(4星)	太多特技。太多花哨的技术名词与人名。太多纠结烦乱的感情。太多容易猜透的剧情。可是。有非常好的原声。只看篮球。只是爱。
(3星)	要不是因为两位帅哥，绝对是部两星雷剧。（本人无1星纪录）
(3星)	歌还行
(3星)	腐
(2星)	越演情节越夸张
(4星)	挺搞笑！
(4星)	看疯了 言承旭真是神仙下凡啊 后面就扯远了
(3星)	后面就不好看了。。。
(3星)	带点无厘头的励志偶像剧吧
(3星)	尊的戏份少的可怜，有点被骗的感觉．
(NA)	笑啊笑～
(2星)	那也叫教练？！
(4星)	很搞笑！
(1星)	好久没有被这样雷过了1.比赛永远先输后赢，最后一秒以一分险胜2.女教练只穿喷血超短裤，张嘴就NBA，雷死人3.YCX运球一定要看球,而且他和罗志翔一样高4.三十多的YCX依然装嫩做作，看见他就快进5.关键时刻两个FBI准会出现，而且神通广大未卜先知无所不能
(5星)	好搞笑!!!哈哈哈
(3星)	ep13感情戏不行
(4星)	那句“有了兄弟、绝对无敌”。让人感动。那是场没有输赢的比赛。因为每个人都是赢家。
(4星)	太无厘头了。。
(NA)	喜欢蒋怡
(4星)	承认我这人也有喜欢偶像剧的倾向。   但是让我感觉这部偶像剧挺不错的。 单单明星阵容就已经足以吸引我了。 三大帅哥同台飙戏！！！不说演技！单看人物已经不错拉！ 而且主题又是本人喜欢的篮球。
(NA)	太夸张了...不过太喜欢言承旭那清秀了感觉了..还有吴尊..太帅了那动作..
(5星)	特技很多，很眩...
(3星)	看了2集决定GIVE UP~除了帅哥就是很假的灌篮...
(5星)	很养眼的男女主角。搞笑的剧情。夸张的篮球特技。。。总的来说还不错。嘿。现在超想看到霹雳赢球。超想看大鹰的成长。ps：小猪演技越来越好了
(5星)	一个字,真帅!
(3星)	呵呵，继续脑残的偶像剧事业，为了亲爱的小猪！！呵呵，这部电视剧，越到后面越没意思额。。。东西假得可以呢。其实还是喜欢小猪演的元大鹰啦~~有情有义的孩子~~哈哈
(3星)	不是非常吸引人，搁置
(NA)	..好啦   我就是花痴了   谁叫是这3个人呢
(3星)	前面追的很紧的看..看到后面似乎没那么大的劲～前面比较好。后来发现好久没看了，又看了～
