http://movie.douban.com/subject/2156704/	包青天
(5星)	 小时候的最爱呀！！            
(4星)	 回忆~            
(4星)	 开封有个包青天，铁面无私辨忠奸。。。当时怎么就觉得何家劲帅的不行            
(3星)	 就记得展昭很帅了            
(4星)	 何家劲，，唉            
(4星)	 四星冲着何家劲给的。            
(4星)	 展昭,主題曲,皇朝馬漢,公孫先生            
(5星)	 爱死那张黑脸了……            
(NA)	 开封有锅～包青天！铁面无私～辩忠奸！当当当当当当～当当            
(NA)	 小学开始看得？反正是六点黄金时段播的，常常边写作业边看那时的“大众”电视。时代呀，这年头，黑白电视早已过时了。            
(5星)	 我小时候有什么委屈都想跟你说啊大人（流泪抱头）            
(4星)	 展昭是童年的偶像啊！！            
(NA)	 哈哈哈 威~~武~~            
(4星)	 展昭！！            
(5星)	 还需评论吗            
(5星)	 小时候有个志向是嫁给展昭= =            
(5星)	 我老爸真的很像他            
(4星)	 小时候觉得饰演展昭的何家劲太帅了，后面才知道，焦恩俊也演过展昭可惜了            
(4星)	 小时候的我，曾经有一段时间超喜欢展昭            
(3星)	 那时候就喜欢展昭。            
(4星)	 儿时回忆。            
(5星)	 何家劲秒杀            
(NA)	 花痴展昭叔叔还有那个那个……想不起来了- -             
(4星)	 好像好几个版本的            
(NA)	 胡瓜唱的主题曲我小时候常唱= = 然后张龙赵虎王朝马汉。总觉得很帅。还有龙头轧。虎头轧。狗头轧。            
(3星)	 不爱看，不过当年女生都很喜欢帅气的展昭啊！            
(5星)	 展昭滴脸就像剥了壳的鸡蛋一样，08版的不能比啊TDT            
(NA)	 我害怕            
(3星)	 虽然内容都记不得了但还是会在哼歌时把&#34;开封有个包青天&#34;和&#34;唐朝女皇武则天&#34;混到一起去...            
(5星)	 展昭真帅啊~公孙先生也很帅啊~            
(4星)	 当年销魂的展昭啊            
(4星)	 张龙赵虎，王朝马汉            
(5星)	 何家劲扮演的展昭很帅哦            
(5星)	 哈哈，小时候看的            
(NA)	 忘了            
(4星)	 补录            
(5星)	 最经典的包青天，不用多说            
(3星)	 一个帅哥挽救了一部电视剧            
(NA)	 开封有个包青天            
(5星)	 因为那时很喜欢何家劲            
(NA)	 这部的展昭经典            
(4星)	 威武~~~~~~~~            
(5星)	 啧啧～展昭～            
(4星)	 小时候和姥爷一起蹲在电视机前看的            
(5星)	 呵呵 经典版的包青天 新的包青天 虽然是原班人马 不过味道已经差了好多了呀 ~ 黑包公 黑包公 ~            
(5星)	 无法超越的经典。            
(4星)	 小时候觉得包青天好吓人啊。            
(4星)	 展昭大侠！            
(4星)	 展昭老帅了···            
(5星)	 黑白电视机的童年            
(5星)	 其实我都记不得了……            
(4星)	     每个案件都是把斩头作为结尾，真彪悍。            
(4星)	 帅展昭！铡美案!            
(3星)	 好小时候看的 这个标签加得有点搞笑            
(4星)	 展昭同学，你还好吗？            
(3星)	 开封有个~~包青天。。。            
(4星)	 说没看过是不可能的，但是剧情我都忘了            
(4星)	 和国产不同的风格            
(NA)	 展昭在空中会踢腿            
(3星)	 里面的展昭很帅            
(NA)	 2009-10.7                
(4星)	 童年回憶...            
(NA)	 我会唱完整版的片头曲！展昭可是年少时的梦中情人啊！            
(4星)	 小时候被吓得有阴影啊            
(4星)	 小时候展昭就是偶像啊            
(5星)	 开封有个包青天~~HOHO            
(4星)	 古代时候的            
(5星)	 真不知道有这么多集            
(NA)	 歌            
(NA)	 很多情节都忘了。。是差不多全忘光            
(5星)	 威~~武~~~~~~~~            
(5星)	 包黑子。            
(3星)	 此片让我形成对青天大人形象的定势思维            
(4星)	 片尾曲很好听            
(4星)	 haha~~~            
(4星)	 这片我看了得有一百集，最大的收获就是展昭大帅哥。            
(4星)	 小时候最有正义感了            
(3星)	 像展昭一样能够飞行曾经是我小时候的最大梦想。            
(5星)	 在我印象中，包大人就是这个形象！            
(5星)	 最最经典的包公。最最帅的展昭。            
(5星)	 展昭啊~多少少女心中的偶像哇~现在似乎有重拍的版本了~主角们都老了呢~            
(5星)	 展昭..哈哈哈            
(3星)	 包拯！~            
(4星)	 小时候很喜欢的一部电视剧            
(4星)	 小时候看包青天有点像在看惊悚片~            
(NA)	 就记得展昭帅了            
(NA)	 经典    有点吓人的            
(5星)	 虽然记不起剧情，但是记得当时是很喜欢看的。            
(4星)	 威...武...            
(4星)	 开封有个（胖）包青天，当当当当当~当年看还是很帅的，特别是，展昭。            
(NA)	 这也是发生在幼稚园的事情            
(NA)	 现在看还是觉得展昭很帅~            
(3星)	 第一次看见包青天就这个样子 所以想到包就是这个样。            
(4星)	 何家劲            
(4星)	 虎头铡！！！！！！！！            
(5星)	 开封有个~~包青天，铁面无私~~辨忠奸……            
(4星)	 小时候的回忆啊~~~并排的是白娘子            
(5星)	 那时觉得展昭大哥才是主角，其次是包大人，哈哈。            
(5星)	 经典，经典，经典！！！            
(4星)	 我小时候就希望作个像展昭那样完美的人。。。            
(NA)	 这个版本很古老了。。            
(4星)	 经典的包青天、展昭和片尾曲            
(4星)	 帅哥啊帅哥，心中种下的毒啊~            
(3星)	 其实没印象了            
(5星)	 请用万人空巷造句            
(3星)	 好老的电视剧哦            
(NA)	 幼儿园时代的回忆。。。。            
(5星)	 那个时候的马景涛帅呆了            
(3星)	 一度觉得展昭是世界上最帅的人            
(4星)	 也不知道有没看完，小时候开电视在放的话，就跟着看，迷死展昭了。帽子旁边的两条红绳子配的忒好了。            
(3星)	 小时候很喜欢            
(4星)	 不错...            
(4星)	 小时候觉得展昭贼拉帅。片头曲：开封有个包青天，铁面无私，什么什么什么。            
(4星)	 经典！            
(NA)	 那月牙            
(NA)	 小时候和猴女天天看，还自己演呢            
(4星)	 比较经典的了~~            
(NA)	 童年...全家人一起看包公抓坏人的幸福时光            
(4星)	 很想再看一遍，并且看全            
(NA)	 ……记也不记得了……            
(4星)	 开封有个包青天            
(3星)	 忘记了            
(5星)	 公道在人间！            
(4星)	 追圈怀旧片+5……            
(5星)	 这片其实是用来花痴的            
(5星)	 那里的展昭好帅啊……            
(5星)	 小时候的爱            
(5星)	 很老 小学时候看过            
(4星)	 金超群的包公和王剛演得和紳還有六小齡童演的孫悟空，幾乎成爲各自演繹角色的代名詞了。            
(4星)	 时光倒退到小时候,是很小时候...            
(4星)	 就記得鯉魚精的故事和片尾曲新鴛鴦蝴蝶夢            
(4星)	 就喜欢展昭            
(4星)	 多帅的展昭啊            
(4星)	 开封有个包青天，铁面无私辨忠奸            
(5星)	 喜欢展昭，很酷很帅。            
(5星)	 展护卫~~~            
(5星)	 记忆中第一部电视剧~·            
(4星)	 包青天很酷！展昭很帅！XDD            
(5星)	 我记得星星和月亮互相交换能量的场面            
(4星)	 怎么说也是童年回忆            
(3星)	 台湾不属于中国么？？            
(5星)	 我就记得展招很帅            
(4星)	 展昭很帅～～～            
(5星)	 被何家劲深深折服了            
(NA)	 孪生劫，鱼美人            
(NA)	 有一段时间中午重播，每天跟着电视“噔噔噔噔”哼一下主题曲，就啃着桔子坐着妈妈的自行车后座去上学~~            
(5星)	 永远的经典            
(NA)	 哈哈。            
(4星)	 那时的展昭是少帅，现在的展昭是老帅            
(4星)	 歌曲感觉很过瘾，当时一放就很激动，呵呵            
(4星)	 以前的展昭多帅啊。。。            
(4星)	 最喜欢这个版本的展昭了～～还有包大人～            
(4星)	 还记得片尾曲和帅的一塌糊涂的何家劲了。            
(4星)	 开封有个～包青天～            
(3星)	 只看过一部分            
(3星)	 因该是９几年的时候看过吧印象比较深的一部包青天            
(4星)	 当年很迷何家劲的展昭的，到底那个时候还是年轻，呵呵            
(4星)	 这个怎么会没看过呢！            
(5星)	 何家劲阿何家劲永远是心目中最帅的展昭！包公是最好的包公！！！            
(NA)	 很小的时候看的，对包拯展超印象尤其深刻            
(NA)	 开封有个包青天，铁面无私辨忠奸～            
(4星)	 儿时的回忆。所以一致认为包青天就该是这样的。            
(4星)	 对主题曲印象深刻...            
(5星)	 嘿嘿            
(4星)	 童年的记忆            
(4星)	 经典            
(NA)	 展护卫……            
(4星)	 那个时候展昭帅阿~            
(4星)	 童年的记忆，中国式的公正不阿。算是对公正的启蒙            
(5星)	 经典的东西，给星无须吝啬。            
(4星)	 展昭哦。。。            
(4星)	 开封有个包青天铁面无私辨忠奸            
(NA)	 展哥哥            
(4星)	 像当年每日必看            
(4星)	 236            
(3星)	 开封有个包青天，铁面无私辨忠奸            
(5星)	 小时候最爱看的是美人鱼那几集，不过对我来说这属于挺吓人的一部电视剧。。。            
(4星)	 觉得展昭好帅的            
(5星)	 这么多年一直念念不忘帅帅的展昭，最记得有一集结尾他在黑夜里流泪，现在我还感觉心痛呢，为他不能跟心爱的人在一起而遗憾。            
(NA)	 当年迷上何家劲了。。。囧            
(4星)	 老版的            
(4星)	 小时候可喜欢了            
(5星)	 一听这主题曲，我就热血沸腾            
(3星)	 当时觉得展昭挺帅~            
(4星)	 其实这个展昭还比较不错的，比狄仁杰边上那个呆人好多了....            
(5星)	 酷            
(4星)	 呵呵 那时候展昭是我梦中情人啊             
(5星)	 小时候喜欢..            
(3星)	 铁面无私的包青天...            
(4星)	 这部还是很经典的，每集不落            
(5星)	 开封有个包青天~~~~~~~~~~~~昨日像那东流水~~~~~~~~~~~呵呵，脑子里回想的是这两首歌。好像是在学前还是一年级的时候看的。那时，爱蹲坐在家里的沙发前看电视，在外面野着，听到别人家电视里传来包青天的歌了，就赶忙奔回家里看。            
(4星)	 好老好老啊，哈哈哈~~            
(5星)	 童年的记忆啊。后来的任何版本都比不上这个了。。。            
(4星)	 小时候不忘的经典呀            
(4星)	 开封有个 包青天   铁面无私 辨忠奸。。。            
(3星)	 金超群~偶喜欢展小猫            
(4星)	 哈哈，小时候看的~~~主题曲太经典了~~            
(3星)	 倒退10年，绝对是力荐的电视剧！小时候迷的不成的            
(4星)	 还是很经典的，特别是何家劲演的展昭印象深刻            
(4星)	 小时候的必看电视剧之一            
(5星)	 现在看还是觉得很经典啊，我心目中的包公就是金超群啦!!!!而且那个时候的录音会有一种回声，听起来特别神奇            
(4星)	 初中看的 台湾的片子就是拖拖拉拉的 满喜欢何家劲的展昭 买了好多帖纸            
(5星)	 很经典。我最喜欢那片子里白亮亮的月亮。            
(5星)	 阿阿阿怀旧阿.最近华视重播呀~回溫ing~開封有個包青天~~~花花世界鴛鴦蝴蝶......            
(NA)	 一直深入人心的包青天形象~            
(4星)	 歌曲永流传            
(5星)	 金超群就是包公！何家劲就是展昭！            
(4星)	 包公·展护卫·主题曲。            
(3星)	  包青天 古装 童年 经典            
(4星)	 王朝和馬漢~~一代女皇武則天~~~            
(4星)	 小时候挺爱看的            
(5星)	 開封有個包青天，鐵面無私辨忠奸。。。            
(5星)	 开封有个包青天            
(5星)	 小时候看过的经典剧啊            
(5星)	 年少時的我第二個喜歡上的男人-----包公啊包公!            
(4星)	 那时候暗暗立誓，一定要嫁给何家劲。。            
(5星)	 我看过最好的电视剧            
(4星)	 风靡一时，何家劲＝展昭囧            
(4星)	 开封有个，包青天！            
(3星)	 小时候阿展昭真帅            
(3星)	 这个版本的展昭很帅的说            
(5星)	 展昭好帅。            
(4星)	 老包太经典了            
(4星)	 这一辈心中包拯的形象就被金超群定了            
(NA)	 太空有个，包青天- -b。。。。            
(3星)	 多少还是经典的            
(4星)	 当时迷展昭  还把每一个故事的名字都记下来  写了好大一张纸  有一个是五鼠闹东京   第一个是铡美案            
(4星)	 最深刻的包公形象了，还有展昭            
(NA)	 看过但是都忘了  好想再看一遍            
(NA)	 喜欢这个版本的包老爷            
(NA)	 何家劲演的展昭帅呆了            
(3星)	 迷死展护卫了            
(4星)	 小时候看的，印象不深了            
(4星)	 开封有个包青天~            
(4星)	 记得里面好像有两个人演展召            
(4星)	 从此喜欢上展昭 对破案开始感兴趣！~~            
(NA)	 包青天            
(4星)	 难忘的童年            
(5星)	 展昭啊展昭。。。~            
(4星)	 小时候觉得展昭好帅~~……            
(4星)	 好老的片子，可惜现在看不到了。            
(NA)	 很喜歡那個展昭            
(4星)	 忘得查不多了 不过当时很喜欢好象            
(5星)	 经典            
(4星)	 王朝和马汉在身边~~~            
(5星)	 隆重的修改一下，最近发现，93版本的包青天笑点特别多。            
(3星)	 虽然那个时候好像没有完全看完，但现在看到却觉得有特别深的印象，正直的包大人，头上的月牙型印记怎么现在想想有点哈利波特的意味            
(3星)	 小时候的梦想是嫁给何家劲！哈哈~~~~~            
(NA)	 呜，最近好想念这个。就是。。236集= =            
(NA)	 虽然我只看过几集, 但是新鸳鸯蝴蝶梦实在是太经典了...            
(4星)	 张龙 赵虎 ，唉。。。。。。             
(4星)	 经典了            
(4星)	 还好，前面还好，后面就糟了            
(5星)	 当年爱死了红衣展昭            
(4星)	 继续 回忆            
(4星)	 开封有个包青天，哈哈哈            
(5星)	 展昭！！！            
(4星)	 还记得主题曲···            
(4星)	 梦中情人是展昭            
(3星)	 一年级的时候，谁的偶像不是展护卫？？            
(NA)	 ...            
(4星)	 不容易不容易            
(NA)	 我喜欢这个版本的展昭            
(5星)	 当年很迷展昭            
(4星)	 剧情也不记得太多了，但是金超群成为我心中包青天的唯一代表人物~            
(4星)	 还是这个版本最灵…… 包括被恶搞的片头曲……            
(5星)	 包青天            
(NA)	 展昭是我偶像            
(4星)	 当时那个火啊            
(4星)	 正义            
(5星)	 金超群的经典扮相            
(5星)	 唉，读书时最喜欢看的片子之一呀            
(4星)	 开封有个包青天。。铁面无私辨忠奸。。小学x年级的我要不写错这几个字听力还是不错的。。            
(4星)	 这个牛  挺黑的演员            
(NA)	 怀念            
(5星)	 特别喜欢里面的展招            
(5星)	 正所谓：展昭哥哥很靓仔！儿时记忆啊！            
(4星)	 地球人都知道：“开封有个——包青天。”            
(5星)	 小时候真的很爱看。。。            
(NA)	 足够归入回忆的了            
(NA)	 花花世界，鸳鸯蝴蝶~            
(4星)	 展昭   好像没看完            
(5星)	 石龟留眼泪...            
(4星)	 经典            
(NA)	 还不错            
(3星)	 展昭很帅，但不坏，不坏就没人爱了，哈哈            
(NA)	 无人不知的经典~~            
(NA)	 小学时候喜欢看啊，那会展昭就是偶像。            
(NA)	 花花啊世界~远洋昂蝴蝶~在人间以试点~何苦要上青天~不如问揉呕同嗡面~~~            
(3星)	 豆瓣也猜我会喜欢..            
(4星)	 妈呀，这个好老.........            
(5星)	 我只记得小时候，小时候，小时候的美好回忆。            
(NA)	 听说原班人马要拍续集了，相当期待            
(5星)	 经典            
(NA)	 觉得展昭真帅            
(5星)	 童年最喜欢的电视剧之一~！            
(4星)	 哈哈｀｀何家劲是我第一个偶像呢．．．挖靠了｀｀｀            
(NA)	 小时候看过电视剧.            
(4星)	 王朝，马汉！展护卫！            
(4星)	 剧情都不记得了。。            
(5星)	 小时候喜欢展昭赫赫。            
(4星)	 何家劲那时候让无数小少女爱慕的不行了巴`````            
(NA)	 开封有个包青天 啦啦啦              
(NA)	 每个的故事情节都很老套            
(3星)	 没什么印象了            
(3星)	 也是那会子的经典            
(3星)	 晕，200多集……            
(4星)	 经典的经典啊            
(3星)	 基本内容忘了            
(4星)	 这个，也是好小的时候看过的，，，几乎没什么印象了，但对这个主角是记得很清楚啊，，，            
(4星)	 展昭…………            
(5星)	 儿时最爱之一啊。            
(5星)	 永远的展昭～            
(5星)	 太经典了,当年迷死展昭了            
(3星)	 前面印象还不错，后面拍的就烂了            
(3星)	 啊，童年的回忆啊！我的第一个偶像何家劲啊。            
(NA)	 开封有个，包青天。那时候觉得展昭很帅。            
(4星)	 青天大老爷            
(4星)	 要说最喜欢这一版包大人跟展昭。以后看什么都觉得那包青天是假的，展昭也不够帅。            
(4星)	 不错            
(NA)	 我一直觉得是恐怖片            
(5星)	 en 1995            
(4星)	 当时觉得何家劲演的展昭还蛮帅的，哈哈……            
(5星)	 经典！！！            
(NA)	 鸳鸯蝴蝶梦。。。。            
(4星)	 小时候的回忆            
(5星)	 回忆            
(4星)	 当年看的时候还是挺如痴如醉的。黄安的那首歌也还朗朗上口呢。            
(4星)	 小时候每天要看，不然睡不着            
(4星)	 还是这部和焦恩俊的那部经典啊~            
(4星)	 来人~！ 电闸伺候！            
(4星)	 再没有比金超群更像的包青天了。而且，那个时候觉得何家劲帅翻了。            
(4星)	 这不就是n久以前的包青天么。。。哇哈哈。。。            
(5星)	 哈哈，想起来还是很怀旧啊，新包青天居然毫无超越。            
(3星)	 演包青天的那个演员很像那么回事儿！            
(3星)	 回忆            
(3星)	 童年记忆            
(5星)	 展昭--我的初恋。。。            
(5星)	 何家劲真是帅到家了！！！            
(3星)	 kao...            
(3星)	 主题曲很经典            
(2星)	 展昭，我一直想问你，为嘛你没女朋友？难道你是GAY？            
(5星)	 小时候很high这部《包青天》的…它也算是一个时代的烙印吧~            
(4星)	 因为这个爱的展昭哦~            
(4星)	 那时，何家劲算是满帅的……            
(NA)	 好怀旧的东西~~~            
(NA)	 当年之爱看啊ORZ。            
(3星)	 印象中是跟着我爸追的。。。            
(4星)	 8.2            
(4星)	 开封有个包青天            
(4星)	 小时候的经典啊，超喜欢展昭的            
(4星)	 小时候超级迷恋何家劲演绎的展昭，一直想要一个这样的哥哥。            
(4星)	 其实说起好像没有具体完整的看过            
(3星)	 想想就惭愧 小时候看狸猫换太子看的我哭了！            
(4星)	 开封有个包青天~~            
(5星)	 不解释！！！            
(4星)	 那年，那个包黑子就一个一个案件的解决，懵懂的我被骗的一个来一个来的            
(4星)	 经典啊！            
(4星)	 这是经典了            
(3星)	 何家劲..            
(4星)	 包青天剧集里最经典的了，每逢暑假也是必放的剧集            
(3星)	 當年的展昭多帥呀            
(5星)	 还是这个包青天经典            
(5星)	 以前一直想成为展昭那样的男人....后面的版本就算了            
(NA)	 ……这个算动画片么|||            
(4星)	 奶奶说我4岁的时候天天对着录音机听《新鸳鸯蝴蝶梦》            
(5星)	 开封有个包青天～～             
(4星)	 原来这部有——236集！！！            
(5星)	 好多集好多集。。。。            
(NA)	 泰国放了几十年了⋯⋯            
(4星)	 史上最牛X包青天！            
(NA)	 开封有个~包青天~            
(3星)	 遥远的回忆啊。            
(4星)	 哈哈哈哈哈展护卫啊！迷死个人！            
(4星)	 小时候把一根红绳穿在方便面的盒子上，然后扣在头上装展昭。            
(4星)	 记得小时候很喜欢看啊 那时候觉得展昭好帅啊             
(NA)	 型男破案天团。            
(4星)	 对片中歌曲的印象深过剧情            
(4星)	 庞大的集数            
(5星)	 铡刀的犀利！！            
(NA)	 当年每天必看            
(NA)	 包大人和展昭真是深入人心！片头曲灰常有气势，片尾居然是婉约的《新鸳鸯蝴蝶梦》            
(NA)	 包青（qing一定是做作的后鼻音）天            
(4星)	 何家劲那时候红的啊。。。            
(4星)	 看了这部以后，再不看包青天了            
(5星)	 包大人！！！！            
(5星)	 我娘和我外婆现在说到我童年的时候必谈的一个段子就是每天到看包公的时候就说====看包东了！！！【口齿不清的小孩。。。            
(4星)	 80末出生的人是这样成长的～            
(NA)	 据我妈说当时幼小的我深深地爱上了展昭            
(5星)	 小时候的何家劲。。。好帅啊。。。。            
(4星)	 当时好喜欢好喜欢展昭啊            
(NA)	 家劲哥，你赢了~            
(5星)	 卧槽　２００集是怎么回事！？？？            
(5星)	 台湾电视剧经典作品            
(4星)	 哈哈哈哈哈...            
(4星)	 展昭好帅的！            
(4星)	 我妈很喜欢……            
(5星)	 贼V5            
(5星)	 我就记着好多帅哥美女，何家劲我一度暗恋他来着 哈哈哈。还有那个乌盆记 吓得我晚上做噩梦 醒了一晚上没关灯睡觉 。            
(5星)	 很长很长但是很好看            
(5星)	 开封有个，包青天，铁面无私，辩忠奸。。。            
(4星)	 展护卫你太帅了。。。星星眼            
(4星)	 经典。            
(5星)	 那时候觉得展昭真有范啊            
(NA)	 很难说的感觉            
(NA)	 新鸳鸯蝴蝶梦！！！            
(4星)	 泰国现在还有人在看这部剧！说起中国连续剧，他们首先想到的就是这部片            
(3星)	 不可磨灭中的记忆，现在看没有那个感觉了            
(NA)	 当年太火了。谁不爱展昭。。。            
(5星)	 冬天            
(5星)	 很小很小的时候看的。。早就忘了。不过展护卫好帅啊～～～这个5星都是给他的～～～～～～            
(NA)	 开封有个包青天，铁面无私辨忠奸……            
(NA)	 片头曲小时候都会唱。            
(4星)	 好帅的南侠啊~~~            
(4星)	 “开封有个包青天 铁面无私辨忠奸。”小时候的偶像不是科学家，而是展昭。金超群的包公一直很到位，处事稳重，有条不紊。剧情现在看也不觉得很扯。经典            
(NA)	 王朝和马汉在身边            
(3星)	 那时的展昭多帅啊~            
(4星)	 开封有个包青天....            
(3星)	 案件一个没记住，除了狸猫换太子            
(3星)	 想去那是前年去开封 多么愉快的经历啊            
(5星)	 呀呀呀~            
(3星)	 王朝马汉，张龙赵虎，有没有！！            
(4星)	 包大人！            
(4星)	 何家劲才是真正的展昭！其他都是浮云            
(3星)	 有喜感~            
(5星)	 鸳鸯蝴蝶梦看的哭的不行            
(4星)	 展昭那个帅啊！！！            
(4星)	 展昭展大人为幼小的我展示了帅的概念~            
(4星)	 展昭贴画好喜欢            
(4星)	 小时候有看的，比较印象深的是一个叫《鱼美人》的单元，其他的都忘了            
(4星)	 就因为这部倒霉电视剧，让我小学多了个外号“包黑子”一直被人叫到六年级。            
(4星)	 展昭太帅了            
(4星)	 咚咚咚。。。。。开封有个包青天            
(5星)	 真他娘的长...原来我看了200多集...展昭好帅....            
(4星)	 嘿，金老爷子威武，展昭就是帅。（何家劲好像不会老一样？）            
(4星)	 老片了啊。。            
(4星)	 我只承认他一人是展护卫。            
(4星)	 印象最深的是他的黑脸和狗头铡            
(NA)	 何家劲            
(5星)	 记得有龚慈恩吧？            
(4星)	 经典之作。很多年后孙导又为大家奉献了&lt;&lt;还珠格格&gt;&gt;            
(4星)	 开封有个包青天，铁面无私辨忠奸            
(5星)	 每个时代都需要铁面无私的包青天！            
(4星)	 谁不喜欢何家劲啊··            
(5星)	 好婆在世的时候，天天和她一起看            
(4星)	 我还真看过……感觉包青天就是这样子的            
(NA)	 何家劲很帅呀，小时就是看着这个长大的            
(5星)	 除了碉堡还是碉堡啊            
(5星)	 小时候特别爱看 那首歌现在还会唱            
(4星)	 那时候好迷展哥哥（¯﹃¯）！            
(3星)	 呵呵。            
(5星)	 铁三角的最好看～            
(4星)	 每个暑假，展护卫。。。何家劲就这样被定型了            
(5星)	 展昭各种迷啊，龙头铡、虎头铡、狗头铡，哈哈，在经典不过了            
(4星)	 现在在看啊，经典啊            
(3星)	 同事前几天还在看！            
(4星)	 何家劲啊!            
(5星)	 记得以前放学回家端个小凳子坐那边看，又觉得有点害怕~            
(NA)	 开封有个包青天              
(4星)	 追溯到我婆那个时代的记忆了。“开封有个包青天，铁面无私什么什么。。”似乎我幼儿时期，我婆就常唱这个。            
(5星)	 最好的包青天。            
(3星)	 那时候觉得何家劲是多么的玉树临风            
(5星)	 展昭好帅~            
(4星)	 那时候真爱看啊            
(4星)	 记忆            
(3星)	 为什么小孩子会喜欢看包青天呢？  正义感？            
(NA)	 噔噔噔噔！开封有个，包青天！铁面无私xxxx= =            
(5星)	 我是看着这些电视剧长大的，棒到不行的老包和帅到掉渣的展昭            
(4星)	 当年觉得展护卫特别帅啊~哈哈！            
(4星)	 开封有~~个~~包青天~~ 经典，展昭超帅！            
(NA)	 和一代皇后差不多时期的记忆，觉得展昭和白娘子应该是一对            
(NA)	 不行了，想笑。            
(5星)	 小时候就爱看，现在看更觉过瘾。俺觉得这才是一部真正的侠义片，让人接受为官者忠心爱民、侠士们舍生取义的大忠大义气场的洗礼。而以后大陆拍的那些包公充其量就是政治片+智谋片+爱情片。            
(5星)	 小时候最爱的电视剧啊！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 小时候觉得，展昭好帅！            
(NA)	 回想起那包拯的咬字，真的是影坛奇葩            
(NA)	 好看！！！！！！！！！            
(4星)	 展昭好帅！            
(5星)	 最像包青天的包青天..少年的就...            
(5星)	 偶像！！！            
(4星)	 小时候看的，经典呀！黑包脸和展昭！！            
(NA)	 小时候的事了            
(5星)	 哎呀，包爷爷~            
(4星)	 哈哈哈哈哈            
(4星)	 包大人，我冤枉啊，加生物的学什么大物啊            
(4星)	 小时候就觉得展昭很帅~            
(5星)	 展大侠            
(5星)	 展护卫!!!!~~~~~  (望天            
(NA)	 小时候追的一塌糊涂，连序幕片尾都不舍得拉，翻出来重看，还是好看。            
(5星)	 狗头铡。。。            
(4星)	 我额头上一个月亮！            
(4星)	 一说起包拯，脑海里就是金超群的形象了。            
(NA)	 应该是最早接触的电视剧，每次到片花的时候，看包老爷子都害怕。。。            
(3星)	 小时候看的 内时候觉得包青天就是这样的            
(5星)	 何家劲，我那时还那么小，就知道帅是什么概念了。            
(NA)	 已记不清。            
(4星)	 展昭展昭。            
(3星)	 展昭是心目中的英雄            
(4星)	 包青天长的特别像我二哥！            
(5星)	 那时候感觉展昭可帅了            
(5星)	 这个不用说了~我现在看到何家劲都会说，这是展昭~            
(4星)	 记忆里，包拯就是这个样子~~            
(4星)	 我才不会说展护卫曾是我的梦中情人呢......            
(4星)	 我的初恋——展昭            
(4星)	 没有超越。            
(5星)	 小时候            
(5星)	 开封有个包青天            
(5星)	 最爱展昭~帅到无言~            
(NA)	 我操我跟我奶奶一起把全集都看过三遍了！！！            
(4星)	 又是回忆剧，小时候，真的真的很喜欢的！！            
(4星)	 台词牛！            
(4星)	 我只记得那个帅到掉渣的展昭了，哈哈            
(3星)	 忘了剧情了。            
(NA)	 猴子前段时间跟我聊起开封的时候，我第一反应就是：开封有个包青天！            
(3星)	 包大人讲话咬舌头 搞笑的。。。            
(NA)	 童年最美好的回忆，特别是鱼美人那段，帅气的展昭            
(4星)	 童年的记忆            
(4星)	 记忆中的展昭帅到一塌糊涂            
(4星)	 好怀念啊，真假状元那集吓得我不敢看            
(4星)	 金超群             
(5星)	 发现原来当年所有人都跟我一样迷展昭大人:)))            
(4星)	 不用多说 你懂得            
(4星)	 小时候蛮喜欢看的，就是该系列的案子也太多了些吧……            
(3星)	 擦 两百多集 坑爹 我也不记得看过几集 就记得展昭好帅啊            
(4星)	 好吧，这是周杰陆毅不能比的            
(5星)	 展昭为什么总是穿红衣服呢            
(3星)	 胜在细节            
(4星)	 看这部剧就学会了粤语            
(5星)	 记得帅哥美女很多 记得个蝴蝶案子 记得            
(4星)	 电视台放了无数遍，却从来没有看完过。            
(3星)	 现在看太搞笑了，哈哈哈哈            
(2星)	 讨厌这个老黑，不过却对他那几口铡刀颇感兴趣            
(4星)	 好看 小时候看完还会在额头上画个月牙儿……            
(4星)	 包大人也老了……            
(5星)	 嘿嘿~            
(4星)	 劲哥咱那嘴肿么了那是            
(3星)	 开封有个包青天~            
(5星)	 记得中央二台播的，天天看。。            
(5星)	 展昭最牛逼，王朝也是一员大将            
(4星)	 九哥眉毛的真相！            
(NA)	 威~~~武~~~            
(4星)	 我小时厚居然看过这么多台湾电视剧，太神奇了！            
(NA)	 为嘛我小学看着剧老把它当恐怖片看？展昭当年是红得街头巷尾人尽皆知            
(3星)	 挺好看的            
(4星)	 王朝马汉，武则天！            
(3星)	 记不得剧情了。。只有黑黑的包老爷还。。记得。。囧            
(5星)	 总之就是经典            
(4星)	 狗头铡伺候            
(5星)	 猫鼠~~            
(4星)	 经典 不必说            
(5星)	 展昭算是我的初恋吗？嘿嘿            
(4星)	 曾经很爱这个大叔            
(NA)	 很久之后才弄明白，这个片子不是用来演推理过程的，而是演那股正气的——我们，常被习惯认知蒙蔽了双眼。            
(3星)	 小时候被包青天吓死了，那脸黑的，那额头上凸出来的月亮。。。。            
(4星)	 喜欢这个题材的            
(3星)	 小时候看的一部电视。。表示怀念。。。            
(4星)	 開封有個包青天，鐵面無私辨忠奸~江湖豪傑來相助，王朝馬漢在身邊~ ！                           來人啊~~~虎頭鍘侍候~~！            
(4星)	 最正包公            
(3星)	None
