http://movie.douban.com/subject/4287175/	一起又看流星雨
(3星)	 后面快结局的时候就很无聊了            
(NA)	 为了看魏晨。最近真是无聊到死了。            
(3星)	 哈哈 我很喜欢雷声轰隆隆  感觉第二部太急于维护圆满大结局了唉。。还是喜欢第一部 虽然 第一部的他们演技差动作夸张毛病多多。不喜欢被雷到的就表看了唉            
(3星)	 比较脑残            
(1星)	 神啊，我真的看完了            
(NA)	 进步了            
(NA)	 虽然很鄙视。。但还是忍不住看了。。原来我也是个俗人。。哎            
(3星)	 楚雨荨和小鱼在海边聊天....惊现香飘飘奶茶...吓死我了！            
(1星)	 脑残片            
(4星)	 顶住天雷滚滚，低调低调            
(1星)	 大家来看雷阵雨啊雷阵雨~又是雷阵雨啊雷阵雨~~~            
(3星)	 因为我都看完了。所以可以说就真的不错。            
(NA)	 是的，不幸的我看了！！            
(1星)	 又？还看啊？            
(3星)	 至少.确实是比1好了很多啊...╮(╯▽╰)╭            
(2星)	 客观说比第一部稍微上了档次，但还是天雷滚共            
(3星)	 冲着张翰，看了大概。            
(3星)	 张翰的笑容，赞一个~~            
(2星)	 演技比第一部强了。看了十来集，主要是冲几大主演去的。            
(3星)	 全世界都知道，只要我慕容云海和楚雨荨遇见了，任何人，任何力量，都不能把我们分开。            
(5星)	 很好看!!支持!!!            
(3星)	 虽然很雷. 但这已经是大陆捧的最成功的银幕情侣组合了.             
(5星)	 《一起又看流星雨》中哪集最棒？或者说……哪个镜头最有爱？？大家交流一下啦            
(3星)	 哈哈哈            
(NA)	 我竟然看了。。。。            
(4星)	 三星太少四星太多,最後幾集還蠻感人的,給四星吧=v=            
(3星)	 请不要拍《流星3》了。这样的结局不是很好吗？在《流星2》中都没有谢娜张杰的出现。。。            
(2星)	 又是一天雷~~~            
(NA)	 虽然骂声很多，但是我觉得还是挺好看特别是端木变化很大            
(NA)	 其实，挺好看的，张翰挺帅的            
(5星)	 好好看哦！永远支持你们哦张翰郑爽加油哦！！            
(3星)	 其实我觉得还行呀~！。。。。。。欢喜大结局！张翰郑爽很配！            
(3星)	 张翰~ 第一集/中间一集/最后一集            
(NA)	 我承认我确实很无聊。。            
(1星)	 你可以再恶心再做作一点么！！！            
(3星)	 挺肥皂的。打发时间的。            
(1星)	 脑残剧。。。            
(3星)	 断断续续得终于看完了。发现对这部续集的评价很低，无语了。            
(3星)	 剧情还是一样的嘈、哥每天看每天都骂他、哈哈哈。终于大结局咯～郑爽你个做作的女人哟。。哥快支持不住了……明天之后、就要好好努力了哦～别多想了、希望岷仔不让你转科才好、嗯、不如不见。            
(2星)	 虽然服装和造型有提高，但是剧情真不是一般的差啊。。。            
(NA)	 一起又看流星雨里的内容在看来和第一部没什么区别没什么新鲜感            
(3星)	 从26集开始之后的真的还不错……            
(NA)	 在迅雷看看上这部电视剧评分居然高达9.8，老子差点吐了。            
(NA)	 雷            
(3星)	 看过2集,开头已经看了,就想看看结尾.好奇心啊~~~!            
(3星)	 可能是第二部的剧情给了他更多的发挥空间，感觉俞灏明的演技进步了不少啊！郑爽和小渔的表情都过于单调了，感觉演来演去就一个样~~朱梓骁是极尽搞笑之能事了。。。王栎鑫的搞笑部分还挺出彩的，意料之外。。。谭丽娜演的其实还可以，只是长相不讨喜，角色更不讨喜，所以招来那么多骂声。。。            
(1星)	 我一边看一边吐槽，真是快乐。            
(NA)	 主演不错真没觉得在网上很多人说的那么差剧情也还好吧            
(5星)	 慕容云海三角恋故事，后半部分很感人            
(NA)	 比上次进步了，歌还不错            
(5星)	 我就是喜欢看。。。            
(5星)	 看这玩意,就是要看它雷到个什么地步..            
(3星)	 配音还是一起来看流星雨的好，还有，那个沐浴露事件怎么没有结尾的啊            
(NA)	  怀念            
(2星)	 呃，真的让我很无语……总是没用的东西说半天。而且最讨厌偶像剧里面明明一副很穷的样子，还住大大的漂亮房子……呕血，恶心            
(2星)	 台词真恶心，比人还来的恶，编剧敢情是走琼瑶路线            
(4星)	 虽然是很烂的电视 还是强烈推荐 看见男主角实在太太太好过了 哈哈哈哈            
(1星)	 没看过，控制不了来打分。            
(NA)	 真实 。给爱情的定义            
(4星)	 自制的，原创的，为何不支持~            
(1星)	 谭丽娜长的好惊奇。。。。。。。。            
(1星)	 无语，特别是某个人            
(1星)	 雷阵雨……            
(1星)	 俞灏明发型的回归一分 郑爽一分             
(2星)	 拍的太假，很浪费时间            
(3星)	 还行！            
(NA)	 励志~            
(3星)	 和我妈一起看的- -电视剧本身一颗星，美丽的郑爽一颗星，帅气的张翰一颗星，帅气的魏晨一颗星，俞灏明大妈和谈莉娜大妈负一颗星，加起来三颗星，木有俞灏明大妈和谈莉娜大妈就是四颗星了，啊。            
(1星)	 哈哈哈哈这个剧给我带来了无穷的欢乐 什么三角恋啊 失忆啊 终身残疾啊 最有爱了             
(1星)	 我只能说我很少打一星            
(3星)	 也就是看是湖南卫视出的……顶一下            
(1星)	 一起又找开米君。一星给吸引我去看的那个人。可惜，续集里再也没找到了。胖仔啊，你看你变成了这副中年怪大叔的模样，人家都不要再贴你了。            
(4星)	 越来越能够体会他们的爱情……大家还都需要更多的成长 我们都还太年轻……            
(4星)	 额  穿帮的不接戏的镜头其实有点多~~不过大家娱乐一下，那样的感情真的很让人心动啊~            
(3星)	 我在德国唯一的中文消遣。            
(3星)	 海锅锅和荨煤煤，你俩就这么定了吧            
(1星)	 这么恶心的电视剧。简直浪费我一颗星            
(3星)	 我受不住了...            
(NA)	 哇哈哈            
(1星)	 比第一部还是好多了，至少从造型上来说。            
(1星)	 我闲得慌了            
(3星)	 我就不是为了看剧来的， 我就是想看一对我喜欢的纯粹的恋人的在一起的画面            
(1星)	 不说什么，纯粹个人看法            
(5星)	 反正我挺喜欢的 管别人怎么说。            
(1星)	 滚犊子，能滚多远滚多远。            
(3星)	 比第一部好            
(3星)	 俞灏明变帅了啊哈哈            
(4星)	 将就着看吧 啥电视剧看下去都能看的            
(1星)	 连亨廷顿舞蹈症都出来了……HOUSE上身……=..=            
(4星)	 翰翰很帅的~~~            
(4星)	 少了什么，多了什么……            
(1星)	 我只看到女主白着眼睛，撅着嘴的表情            
(1星)	 靠！看你X的流星雨！            
(3星)	 大家演技都提高了              
(5星)	 这回我平心而论 虽然第一部 我一点都没有看过 我是直接看第二部的 但是真的很好 我觉得里面每一个人都很用心地在去拍这部戏···很喜欢~~            
(5星)	 好            
(2星)	 我每天晚上都会看咧！            
(1星)	 完全的超越现实。。。            
(NA)	 这一辑就是很喜欢            
(3星)	 也就魏晨郑爽比较顺眼            
(2星)	 没了原著的支持，剧情综合了台剧幼稚无聊和韩剧缓慢拖沓的缺点，但确实没上一部雷了。            
(NA)	 湖南卫视疯了，天天看流星雨            
(NA)	 www.renrenq.com 一起又看流星雨            
(1星)	 越雷越赚钱            
(NA)	 4            
(5星)	 小爽~很惹人怜            
(2星)	 为了张翰多给一星。            
(NA)	 这是一部不甚满意的电视剧，甚至有点脑残，所以看不下去喇。不过喜欢看忧郁的端木磊，终于知道原来自己真的太向往美好。            
(1星)	 雷死、吐死、晕死            
(4星)	   P.S.还是第一部那种云海好一点。            
(NA)	 他麻痹的谈莉娜又黑、又丑、还又贱   妈了个逼的     呕吐ing            
(2星)	 果然是雷阵雨，剪接和配乐的搭配好怪。            
(3星)	 郑爽还是蛮漂亮的……            
(3星)	 雷雷更健康            
(1星)	 还可以，我已经看到25集啦，奇怪优酷、56这些网站都不让我上传！            
(3星)	 仅仅看了两眼，真的是追不下去，也许我跟不上时代了吧，不过有魏晨在，多少还是要支持一下，还有就是张翰长的真是不错，郑爽也还成，挺配            
(5星)	 湖南。家乡。            
(2星)	 算是看過了 沒第一部好看！！！！！            
(2星)	 它比上一部好，真的！四爷的男人好艾斯比！            
(1星)	 没看，但我想引用豆瓣网友的一句话：“第一部让我痛恨豆瓣为何没有负星的电视剧。”            
(4星)	 我是為了張翰才看。            
(2星)	 这里面的H4好丑 。      看了第一集，实在是不忍心看第二集了。注释：不是因为人丑             
(1星)	 真弱智的电视剧！ 应该改名为：一起又看广告宣传。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(1星)	 不觉的怎么样            
(1星)	 比第一部略精致,不过还是很雷人,加上琼瑶剧一般的台词...绝对惊悚片!            
(4星)	 吼吼，校园偶像剧，还好吧。            
(3星)	 张翰绝对山寨帝            
(2星)	 呃...这个怎么说好呢 就是凑个热闹吧            
(2星)	 心情不好的时候看看心情真会变好……            
(NA)	 闪过芒果台看了几分钟……不过这第二部貌似造型比第一部好看（墙角蹲            
(2星)	 比一稍微造型不那么难接受点            
(3星)	 雷            
(5星)	 神作            
(3星)	 郑爽小妞            
(5星)	 非常喜欢（流星2） 太感人了 太喜欢张翰了  好帅 郑爽 的演技也大大提高了            
(3星)	 那个谈莉娜演的蒋媛实在太难看了,很刹风景,雷上加雷,看这鞠纯粹是觉得男女主的颜都还不错            
(2星)	 只是张翰的侧脸和笑容像偶认识的一个某人才好奇地看地。。。。。。偶想念此人了。。。。。。不过可能一辈子不会再见了吧。。。。。。额            
(4星)	 其实纯美爱情和养眼情侣还是很吸引我的。。。            
(5星)	 Very good!!!!!!!!!!!!!!!!!            
(3星)	 比第一部好            
(1星)	 一堆装B小青年的垃圾琐事            
(1星)	 每当哥看到这部电视剧，哥总是目不转睛的盯着屏幕。不是哥喜欢看，而是哥在找这部电视的导演。然后正经的告诉他：导演，你该吃药了，吃药后记得给我们拍继《一起来看流星雨》的第三部《一起再看流星雨》。             
(NA)	 虽然很雷,但是因为你我也就看了.我要看绿博.            
(4星)	 二零一零。8月。            
(1星)	 第一部还是可以看的，这一部简直不是人看的！            
(2星)	 我没有打很差哦。。。。哦哦哦哦哦哦哦。。。。。。原著啊，我真爱你。。。。            
(5星)	 这是我看过的电视剧中，最喜欢的。            
(1星)	 挑战自己的忍耐极限XDDD            
(3星)	 无聊时随便看看            
(NA)	 依旧那么雷            
(4星)	 喜歡灝明的角色。            
(1星)	 妈呀 又来了            
(1星)	 最后一部：再也不看流星雨。            
(NA)	 还成，就是更新的有点慢呦。希望大家继续观看            
(3星)	 好欢乐 就为了俞国民摘了他的假头套我得加一星            
(5星)	 没有小三或父母阻挠的感情是不精彩的            
(5星)	 不分类 省的玷污我的            
(3星)	 郁闷            
(3星)	 主要是男女主角确实养眼            
(3星)	 真是勉强給的评价。。。外焦里嫩，那配音，好犀利~~            
(3星)	 终于看完了！为了翰爽才值三颗星！幼稚的剧情            
(2星)	 第二部是个神马玩意啊，成天为了小事打打闹闹闹脾气，还寻死觅活的。这是小学生吗？难道都是00后在看了吧            
(1星)	 。。。我。。无语哽咽            
(1星)	 马桶太去死。            
(1星)	 。。。。。。。。。我风中凌乱。            
(3星)	 颜色太明艳了，但人物的造型有进步。。剧情倒退了。。不喜欢谈莉娜。。            
(3星)	 少的那分是被某个长得像凤姐的女配角吃掉了…… = =            
(NA)	 这里不是有吗http://lulailiq.180.idcice.net/            
(3星)	 我就是这么的重口味啊！            
(1星)	 我在想下一部是不是叫《一起再看流星雨》？            
(4星)	 张翰帅啊帅！            
(5星)	 很给力啊            
(5星)	 非常好看的一部偶像片，摆脱了山寨的阴影            
(2星)	 广告无处不在            
(NA)	 翰翰 ╭(╯3╰)╮ 看到后部分的分集介绍，完全死心了，不是一个简单的脑残可以形容的。            
(NA)	 我只是很郁闷,爱情怎么要死要活,恍然变成琼瑶剧……            
(4星)	 怎么说呢。。其实有点儿期待的。。虽然明知道很雷。。但还是忍不住想看。。。。。端木变帅啦~~            
(1星)	 为什么只有女猪脚有超短裙。。。            
(3星)	 狗血才是王道！            
(3星)	 越看越没劲            
(1星)	 看名字给分的....            
(3星)	 我没坚持完。            
(NA)	 雷声阵阵            
(3星)	 哎第二部强多了            
(3星)	 =口= 使用三倍速看山寨。            
(3星)	 死缠烂打也可能不会成功。            
(4星)	 没有那么不堪啦，偏见使然。            
(2星)	 没有最蛋疼只有更蛋疼- - 卧槽 VC那个配音真是悲剧 叶朔整个呆傻了- -卧槽            
(2星)	 看不下去了，倒是挺喜欢没几个镜头的王栎鑫。            
(3星)	 真的比第一部好看很多，虽然还是不怎么样的说。            
(3星)	 剧情一如既往的雷人，该笑的时候想哭，该哭的时候想笑。不过更雷人的是，我居然还是义无反顾地陷进去了~            
(NA)	 失望，没有想象的雷            
(3星)	 虽然我几乎是用快进拉完的，但女主角越看越讨喜，H4光看长相也还都是帅哥，所以值得我给多一星……            
(2星)	 差。            
(2星)	 俺看见谈莉娜后瞬间喷了            
(3星)	 比第一部好 起碼沒那麼雷人了 鄭爽跟張翰真的是好配阿&gt;&lt;            
(1星)	 硫酸雨！            
(NA)	 偶尔翻翻，纯粹因为湖南卫视那高清梦幻的效果。            
(2星)	 让雷阵雨来得更猛烈些吧~其实会比第一部正常一些，但没雷点就不好玩了呀。            
(3星)	 哈哈哈哈哈,暑假找欢乐!!!!            
(4星)	 为了儿子~~            
(3星)	 和第一部水平差不多，就是画面上好了点，衣服头发正常了点            
(3星)	 比第一部优秀。后面剧情有点无聊，前面蛮不出，一些台词很网络流行。。就是不是很新。。总体幽默指数上升啦。。            
(3星)	 我想看看它是否能再次雷到我            
(4星)	 大家都在進步...            
(2星)	 骂山寨，闹低俗，赚眼球，有收视，剧情不够广告凑            
(4星)	 湖南卫视年度大戏就这样结束了 虽然大结局是非常的假非常的假 但是我还是粉期待明年的年度大戏呢 是新还珠吗 还是“一起变成流星雨” 哈哈            
(5星)	 这可是吾辈的成名作            
(3星)	 年年雷震雨，也挺好的            
(3星)	 纠结的电视剧···只看了一点，算看过了吧·····            
(2星)	 小海！！！！！！！！！！！！！！！！！！！！            
(5星)	 换购会            
(NA)	 非常期待~~            
(NA)	 雷死我吧，使劲的雷            
(4星)	 值得鼓励，中国总算开始拍偶像剧了，其实挺好看的，就是有点土            
(NA)	 拖着看完了。看这结局应该不会有第三部了...............吧|||||||            
(1星)	 帅帅的“小沈阳”雷死我去球！！            
