http://movie.douban.com/subject/2157188/	倚天剑屠龙刀
(3星)	 好像大陆是差不多同时播出哦？唉，当年要是让袁洁莹演了赵敏该有多好啊。。            
(4星)	 花一整个周末重温了一遍，只为黎姿...            
(NA)	 黎姿在这里美死了。            
(4星)	 这版编剧大概跟芷若妹妹有仇吧。黎姿的赵敏，美艳非常。            
(4星)	 这个版本的两名女主角我都很喜欢。            
(4星)	 还是这版好看！            
(NA)	 那塔顶的一回眸，让我笑到现在            
(5星)	 始终觉得黎姿的赵敏是最好的~            
(5星)	 我爱赵敏            
(4星)	 黎姿太漂亮了~！！！            
(5星)	 刻骨铭心的经典            
(3星)	 殷素素自刎的戏米雪演得真好，刘松仁又演阿爹早死，可惜不如方进新刻骨。            
(4星)	 黎姿的扮相太美了            
(5星)	 添加了N多很典型TVB的剧情，少年无忌长得也不错哦，敏敏被砍头时那封信赚泪水。            
(5星)	 黎姿的赵敏太招人爱啦！            
(5星)	 最喜欢这里的赵敏 ，黎姿太漂亮啦            
(NA)	 最多面的一版赵敏             
(4星)	 那时候喜欢黎姿和佘诗曼。            
(3星)	 其实那时候看此剧对佘佘完全无印象。。。反倒是黎姿，惊艳。            
(5星)	 爱死佘诗曼了!!!小学天天跟同学争吵赵敏同周芷若!!!omg.我的回忆            
(5星)	 初一冬天起早贪黑的。            
(4星)	 黎姿的赵敏无敌了            
(NA)	 杯具帝的又一代表杯具            
(4星)	None
(5星)	 最经典的，配乐很感人。            
(5星)	 对于倚天，最喜欢这个版本。从主题曲，到主角。            
(3星)	 给黎姿的三星，真心没觉得吴启华像张无忌。            
(5星)	 因为黎姿有五星，没看过原著，所以觉得很好看，只是男人写的书都喜欢YY这么多MM么。。好吧            
(5星)	 最爱赵敏            
(3星)	 漂亮的周芷若，就是恨不起来            
(4星)	 最强三人组，所有配角酱油都是亮点。            
(NA)	 最经典的版本好吧。黎姿的赵敏哇，真是曾经沧海。            
(4星)	 最爱黎姿~            
(5星)	 喜欢黎姿版的赵敏            
(2星)	 老年版倚天，男猪老，小昭也老。妈的，小昭和双儿是老金作品里我最喜欢的女性角色啊。            
(5星)	 最喜欢这个版本的倚天屠龙记，佘诗曼、黎姿真的好漂亮啊。吴启华也是帅到极致            
(5星)	 拍得最好的一板倚天，大爱黎姿            
(4星)	 最好的~~~经典的后来出来的都难看的要死~~            
(NA)	 是劫是缘啊???            
(5星)	 TVB的，没的说！            
(4星)	 虽然后面改的有点神奇。。不过还是很好看的。最喜欢的还是这一版的赵敏啦。话说这个才是真正的逍遥二仙嘛= =            
(4星)	 哇 好喜歡 不管是趙敏還是周芷若            
(5星)	 很好看，爱黎姿。结尾里面的周芷若也很美            
(4星)	 TVB金剧虽然布景简陋 排场小 但对TVB的选角水平，配乐及其演员演技实在是叹为观止 这才叫武侠 而不是偶像剧和历史剧            
(NA)	 男女主角            
(5星)	 倾国倾城的黎姿            
(4星)	 我是看着你长大的。            
(3星)	 张无忌啊张无忌，你实在是太纠结了！            
(5星)	 近几版的倚天都看过了，还是最喜欢这版，黎姿的赵敏经典啊~            
(4星)	 最喜欢的版本            
(5星)	 这一版也是毋庸置疑的经典了~            
(4星)	 感觉不错啊，TVB出手的都有一定水准。            
(4星)	 赵敏最美            
(2星)	 印象中画质很难受阿，不过两女主都很漂亮。            
(3星)	 为什么要找吴启华啊啊啊啊啊            
(3星)	 结局改的挺有意思 但是画面啥的。。。。TVB总是小成本~            
(3星)	 貌似就看过这版本的~= =！~            
(5星)	 这是所有版本的倚天屠龙记中我最喜欢的版本，黎姿扮演的敏敏很有性格，真的就好像蒙古女子那般。大概金庸笔下的张无忌真的不怎么帅，所以那么多个版本的张无忌都让人不“感冒”。像张无忌这种性格的，竟然能够让那么多女子倾慕，大概也是因为剧情发展需要吧            
(5星)	 高二时候看的，记得当时每天晚上9；30-11；30 放两集。然后我每天8点睡觉，9点半起床偷偷看。然后第二天早读的时候讲给同学听            
(5星)	 最好的一部，黎姿把赵敏演活了            
(5星)	 有什么比这部更嗲的嘛            
(3星)	 无线的金庸系列挺好看的呀            
(5星)	 黎姿！赵敏！            
(5星)	 黎姿太适合演赵敏了，这版的杨逍真是帅。。            
(NA)	 想当年看的时候 一下课就马上去小卖部看  一回家马上打开电视看 看了这部戏我才深深的迷恋上倚天屠龙记 黎姿 吴启华  真的很爱卅 不管看几遍都很好看            
(4星)	 赵敏很美~~            
(4星)	 看着看着就喜欢上这部了。            
(5星)	 众多版本中我最喜欢的一组演员~            
(5星)	 画眉            
(5星)	 大爱黎姿，高中时候的大爱            
(5星)	 黎姿版本的赵敏实在是经典到令人难忘。吴启华的扮相和气质似乎也很符合原著。            
(5星)	 最喜欢的一部啦            
(5星)	 前前后后看了3遍了，现在有点想再看一遍。。。            
(NA)	 最喜欢黎姿的赵敏了，唯有电影版张敏的可以一拼。可惜吴同学还是显得老了点啊            
(5星)	 姿            
(3星)	 这版的赵敏也演得很好诶            
(5星)	 最好的赵敏            
(5星)	 个人认为最经典的一部。看了很多遍。现在网络很少有该版本了。我所知道的PPS，酷6可以看，其他找不到了。            
(4星)	 我偏偏喜欢周芷若            
(3星)	 女的感觉都太老了            
(5星)	 有些配乐寻秦记里也出现过，觉得好熟悉啊~场景也是，感觉像95神雕里的。。吴启华竟然到第10集才出现！不过他出现前那段也蛮好看的~演员都超喜欢的，比现在拍的好多了~~  黎姿演得太好了；小昭虽然不漂亮，但还是有点异域的感觉的。。            
(3星)	 黎姿啊。。。            
(5星)	 经典，最喜欢这版了            
(3星)	 黎姿版。            
(5星)	 黎姿果然是为了赵敏这个角色而存在的。。            
(5星)	 最好的赵敏            
(4星)	 最美赵敏            
(5星)	 最耐看的一部金庸武侠电视剧，没有之一            
(3星)	 印象最深的是佘诗曼最后失忆了  抱着个兔子的时候 让我感动            
(NA)	 黎姿很漂亮            
(5星)	 金庸武侠里最爱的一部中最爱的一版            
(4星)	 我喜欢这一版的，只是吴启华唯一穿的好看的一件衣服一出场就被黎姿抓破了……            
(5星)	 这个年纪了 还能看这个看的入迷 所以确实很赞            
(NA)	None
(3星)	 吴启华的造型，太显老了            
(5星)	 每一部都喜欢周芷若。            
(4星)	 只可惜吴启华实在是不像张无忌，黎姿的赵敏是非常棒的            
(5星)	 最爱这个版本中黎姿扮演的赵敏，非常有灵性。            
(5星)	 有一种感情叫怀旧有没有！至今认为最经典的版本，以前看93版，一直觉得黎姿活脱脱就是周芷若，张敏才是我心目中的赵敏，但看了这一版，我也有点困惑了，黎姿也是演出来的俨然就是真的赵敏啊！            
(NA)	 吴启华            
(4星)	 这个赵敏真是经典。            
(5星)	 黎姿真美            
(5星)	 最爱这版！稀饭黎姿！！！            
(5星)	 最佳版本的倚天屠龙记，那时候香港TVB的金庸武装太经典了            
(5星)	 ！            
(NA)	 我和JOJO一样，只记得佘诗曼演的周芷若，忘记了谁演的赵敏……            
(4星)	 黎姿惊艳~            
(5星)	 大爱黎姿！！！            
(4星)	 黎姿确实很美            
(4星)	 当时我不是很喜欢佘诗曼，后来就...反正不讨厌了。            
(4星)	 黎姿和阿佘针锋相对~火花ing！！！            
(NA)	 赵敏，吾爱。            
(5星)	 我最喜欢这版            
(5星)	 仿佛一个世纪般久远……            
(5星)	 大爱黎姿，特别喜欢黎姿的坦率和智慧。那种机智、锐敏和聪明实在是难得，不过我也为周芷若感到不平啊，我觉得她是最受伤害的女人，自己的事情很少能够自己做主，身不由衷啊，狠狠的为她难过一番~~~~            
(5星)	 爱黎姿            
(3星)	 印象最深的是黎姿^^            
(5星)	 面对江山和美人，虽然无忌最后放弃了江山抱得美人归，可从某种意义上讲他已拥有过赵敏心中的江山，而原本可以拥有荣华富贵的赵敏放弃一切与无忌相伴，二人过着无忧无虑的生活，这是让多少人羡慕却无法做到的。。。大爱黎姿版，智慧与美貌并存，将赵敏演的淋漓尽致，让人不得不爱！！            
(NA)	 这个大叔版得倚天，只有张兆辉的杨逍还能看看。传说这是最传神的赵敏，但其实我对赵敏这个角色一直无感。。。            
(5星)	 最喜欢的一个版本，其他的完全看不下去。。            
(4星)	 吴启华版的张无忌够洒脱，更容易讨观众喜欢，黎姿版的敏敏实在是大爱啊~            
(5星)	 黎姿!!!!            
(5星)	 最爱黎姿            
(5星)	 黎姿，最美的赵敏            
(5星)	 还是旧版最经典啊~~~            
(5星)	 黎姿真漂亮            
(4星)	 有黎姿 多一颗星            
(5星)	 黎姿真是大美女啊(OvO)            
(5星)	 于是黎姿才是我心中永远的敏敏~            
(3星)	 不是很喜欢这一版            
(4星)	 诶我那时觉得吴启华好帅啊。。。还有一直觉得黎姿演的敏敏郡主好美！！！！            
(4星)	None
(4星)	 这个版本确实不错。            
(4星)	 张无忌是个混蛋。为周芷若不值。            
(5星)	 小时候超迷张无忌            
(5星)	 黎姿美啊~~~~            
(5星)	 最爱的一版。            
(4星)	 挺好看的。。。。            
(3星)	 这一版的最经典。            
(4星)	 我喜欢吴启华版的            
(4星)	 黎姿美            
(4星)	 姿版赵敏··这个理由就足够了·            
(NA)	 黎姿摆脱不了周芷若了，哈哈            
(4星)	 打发这无聊的时间，用了三天时间看了这电视剧，回想这几天看的剧情，想想 其实没有谁坏 谁对谁错，不喜欢这样的结局，尽管很完美，但总觉得不舒服，看这个电影是带着自己的感情的，有时候真的有些愤青，只是不知道自己为什么会被其中的一些场景打动，会默默的眼角有泪水。难道自己又变得多愁善感。            
(4星)	 最好看的一部            
(4星)	 就是不太喜欢佘诗曼            
(1星)	 造型loud到彻底...可能是史上最样衰噶张无忌...            
(NA)	 大爱、            
(5星)	 翻来覆去一直看 不腻！！！            
(4星)	 吴启华真心丑- - 黎姿真心美            
(NA)	 黎姿出现的刹那- -我有惊艳到            
(5星)	 就是喜欢 就是喜欢            
(5星)	 高中时候特爱看的。            
(3星)	 好像是小时候看过的版本吧，记忆比较模糊！            
(5星)	 我看过的第一个版本。。。很喜欢黎姿。。            
(5星)	 呵呵。。。爱赵敏的飘过            
(3星)	 佘诗曼版的周芷若在黎姿面前弱爆了！！大妈一个啊！            
(3星)	 黎姿不错，吴启华2得也很给力            
(5星)	 黎姿饰演的赵敏是我认为最接近原著的角色，赞！            
(4星)	 4星全給GIGI            
(5星)	 黎姿的赵敏无人可以超越            
(NA)	 我最喜歡這版周芷若的結局            
(4星)	 喜欢无忌，喜欢吴启华。            
(5星)	 我最爱黎姿版赵敏～～            
(4星)	 有翻旧电视剧看的毛病。。。            
(3星)	 TVB            
(5星)	 当时觉得好精彩啊            
(5星)	 看来看去还是这个版本最经典 黎姿黎姿黎姿            
(5星)	 看的第一部金庸的电视剧，从此爱上金老。不过好像记得那个时候叫“屠龙刀倚天剑”吧，并不叫倚天屠龙记...敏敏被推上断头台的时候都哭出来了            
(4星)	 这才是赵敏好伐？！            
(3星)	 这个版本不咋的。。。            
(4星)	 比苏有朋那版本经典            
(5星)	 杨逍。。纪晓芙。。            
(5星)	 最好看的一个版本            
(5星)	 因ss爱上芷若             
(5星)	 黎姿真是太美了！！            
(NA)	 还是你            
(5星)	 哇靠，那时候迷恋黎姿迷得要死...            
(5星)	 五星全给黎姿            
(3星)	 威什魔天涯上那么多人都待见黎姿啊究竟是威什魔。。。            
(4星)	 江湖恩怨，儿女情仇，很有江湖味道            
(4星)	 吴启华很挫好不好。。。。            
(5星)	 黎姿黎姿黎姿，多好看啊，多靓啊，好钟意这一部《倚天屠龙记》，后来的版本不是做作就是烂，最好看了这个版本……            
(NA)	 喜欢这个版本。            
(3星)	 就是服装和道具很老旧。。            
(5星)	 最喜欢的就是这个版本的！吴启华真的很帅啊！！！！！！！            
(5星)	 有些地方试着让故事更饱满。我支持这样的尝试。但尝试不大成功            
(5星)	 最喜欢这一版了~~            
(4星)	 居然我旁边一圈人没看过这个版本的==            
(4星)	 不知道是有些偏执还是怎么的，各种电视剧，只钟情于第一部，第一次看的那一部            
(4星)	 敏敏好美            
(5星)	 当时觉得吴启华超帅，感觉这一版是最经典的，尤其是女的，从赵敏到周芷若到殷离。觉得这是黎姿演得最好的一部戏了，佘诗曼让人又爱又恨，殷离是真的美的，不像其他的~            
(NA)	 我还真不相信，大陆的那版居然比这部的评分高。。我的武侠电视剧启蒙。喜欢每个演员。。。TVB演技水准高..            
(5星)	 我爱这个版本！            
(4星)	 喜欢 最喜欢黎姿的敏敏了~            
(5星)	 黎姿版的赵敏最经典！！！！            
(5星)	 黎姿版的赵敏超喜欢，灵气啊            
(3星)	 TVB简单布局、寒碜造型、假大空的台词都是不喜欢的理由。那就冲着黎姿瞪眼挤眉差强人意的表演去吧。佘诗曼这样子能是美貌的芷若吗？？            
(4星)	 佘诗曼太丑了。。。。本来五星的。。。            
(3星)	 黎姿 黎姿 黎姿            
(5星)	 无忌哥哥，你个小淫贼~~            
(4星)	 喜欢黎姿            
(3星)	 老饼版这是            
(3星)	 这部戏开始喜欢黎姿的            
(3星)	 始终觉得摘下眼镜的吴启华是败笔 女人很漂亮            
(NA)	 还是黎姿漂亮            
(4星)	 吴启华虽老，但还是喜欢            
(5星)	 初识黎姿之作 美睿的典型            
(3星)	 好丑啊！            
(4星)	 黎姿是无法超越的赵敏。            
(3星)	 都说这部经典……            
(4星)	 爱死赵敏            
(3星)	 佘诗曼不演周芷若就好了。            
(3星)	 黎姿很美貌，吴启华不适合古装..            
(NA)	 黎姿真美。            
(4星)	 还不错啦~            
(4星)	 经典倚天屠龙            
(4星)	 黎姿好美~~~            
(3星)	 喜欢黎姿诠释的这个角色，男主跟她就对啦~~            
(3星)	 黎姿版赵敏也是经典啊！            
(4星)	 和初中同学上课都在说的电视剧。我还记得宋青书是谁演的呢....            
(3星)	 吴启华这里演的很狗血。            
(4星)	 很喜欢黎姿演的赵敏            
(4星)	 感觉最好的一版·            
(3星)	 吴启华一男优出身的老男人演张无忌小帅哥实在太恶心人了……不过黎姿的赵敏完美弥补了主角的不足……谢逊也很出彩啊            
(4星)	 这版最经典了，佘妈当年还很年轻啊。。。            
(NA)	 黎姿美得我想上了她。            
(5星)	 黎姿。赵敏。            
(4星)	 里面的黎姿最美了，绝对的大美妞            
(5星)	 这是我最喜欢的一版 黎姿演的就是我心中的赵敏 大爱 讨厌死了周芷若 尤其是当掌门之前 佘诗曼演的也不错 就连吴启华平时看着那么衣冠禽兽 在片中也把张无忌的宅心仁厚演出来了 很好            
(4星)	 tvb版的金庸电视剧都是最好看的！！大爱黎姿的赵敏！！            
(4星)	 美丽的黎姿！            
(4星)	 个人最喜欢的赵敏！            
(5星)	 和天龙八部一样，是tvb90年代至今拍得最大气的两部武侠，配乐也功不可没。            
(5星)	 喜欢喜欢。。            
(4星)	 最不喜欢的就是张无忌，多情之人最是无情。赵敏正是黎姿最好的时候，也是最好的赵敏。阿佘的周芷若刚开始柔弱可爱，不过最喜欢还是周海媚版周芷若。            
(3星)	 看过吴启华的玉蒲团/捂嘴笑            
(5星)	 和姐姐看的真幸福呀            
(5星)	 只为黎姿，阿佘~男主无视……            
(5星)	 我最喜欢的一部倚天屠龙记，黎姿的赵敏演得我很欢喜            
(4星)	 为了黎姿的赵敏4星。            
(NA)	 看倚天我只看这个版本的..而且百看不厌呢..            
(4星)	 黎姿不错            
(5星)	 经典。            
(4星)	 03版的美女最多，这一版的帅哥最多，至少原著里那个翩翩美少年张无忌和风流公子哥儿杨逍是名副其实的了~            
(4星)	 阿佘初期作品            
(5星)	 强烈推荐，非常不错的一部电视剧。            
(3星)	 稀饭黎姿版的赵敏。。。            
(5星)	 巨爱黎姿演的赵敏，看无数遍都不会厌。黎姿怎么能生孩子去呢，啊啊啊            
(5星)	 这个版本是把故事讲得最精彩的一个版本。缺点是吴启华岁数大了点、黄衫女子不够漂亮。最喜欢黎姿的赵敏和米雪的殷素素，佘诗曼的周芷若没有高圆圆漂亮，演技又远不及邓萃雯、周海媚，只比竟儿强一点罢了。            
(4星)	 黎姿的美不需要论证，一出场便是颠倒众生！！            
(5星)	 这版绝赞！            
(4星)	 虽然吴启华演得不错，但他的样子始终不像小说中的张无忌，造型有点囧。黎姿和佘诗曼分别演郡主和周芷若是蛮适合的，虽然芷若的结局最后被改写成很“TVB”模式，但还可以啦。最喜欢其实是张翠山和殷素素那段情，刘松仁和米雪就是姜老得辣，前面那几集是最好看的。            
(3星)	 还是喜欢叶童版的            
(4星)	 最喜欢的还是这版，倚天屠龙记。            
(4星)	 黎姿真是美.            
(NA)	 黎姿真是美，演赵敏演活了。吴启华把张无忌的性格刻画的很好            
(5星)	 这版最好看了。。。之后的都是狗P            
(NA)	 吴启华日妈太老了黎姿和佘诗曼永远都是对头戏啊你们在TVB是不是永远都是这么勾心斗角争一姐啊！！！！！！！！！            
(5星)	 最喜欢的版本~ 黎姿美呆了 周芷若的结局也是最好的            
(5星)	 这部倚天看了无数遍了 在我心里永远是经典            
(5星)	 倚天中最喜欢的一个版本，记得当年播大结局的那晚上我家电视机坏掉，我往窗外伸长了脖子在邻居家的电视上把结局看了。            
(5星)	 最爱黎姿的赵敏            
(4星)	 如果周芷若不是佘诗曼我就打5星！            
(5星)	 那么多版本，这版最好看了！            
(5星)	 黎姿之后，再无赵敏。            
(5星)	 最喜欢这个版本            
(3星)	 这个版本的有点弱，情节还是道具都有点弱。            
(4星)	 黎姿惊艳            
(5星)	 最爱赵敏            
(NA)	 再也没有比黎姿版的赵敏更漂亮的了。            
(4星)	 这一时段的TVB我都喜欢            
(5星)	  为了gigi多加一个星~            
(5星)	 周芷若最后失忆了还是跟宋青书一起 这个结局背离原著太多了吧。虽然我喜欢黎姿。。。            
(5星)	 我爱杨逍……            
(5星)	 为赵敏~            
(4星)	 黎姿版赵敏是最接近原著的！            
(4星)	 喜欢黎姿啊            
(4星)	 这个版本的两名女主角我都很喜欢。            
(5星)	 大爱            
(4星)	 黎姿~~            
(5星)	 恩 好看             
(4星)	 经典形象啊            
(4星)	 赵敏便如黎姿般七分娇艳中挟卷三分英气            
(3星)	 黎姿真漂亮            
(5星)	 黎姿嘅赵敏！！！！！！！！！！！！！！！！！！！！！            
(4星)	 黎姿漂亮，佘诗曼演技好好。最喜欢她俩对手戏了            
(4星)	 黎姿很美            
(4星)	 这一版是最好的            
(3星)	 我不喜欢张无忌            
(4星)	 当时我真觉得吴启华很帅现在我仍然觉得黎姿很漂亮            
(5星)	 这是我最喜欢的一版倚天屠龙吧 黎姿演得很好            
(3星)	 非要让佘诗曼演周芷若么……            
(4星)	 觉得这是心目中很经典的电视剧了~            
(4星)	 吴启华。。。            
(4星)	 黎姿的赵敏不错。            
(3星)	 喜欢黎姿            
(4星)	 蛮喜欢这个版本的~~~            
(4星)	 这实在是因为黎姿所以才打四分的...            
(5星)	 之一            
(4星)	 看倚天就是看赵敏，黎姿很妖。吴启华、佘诗曼也加分。            
(5星)	 看了至少十几遍了            
(4星)	 武林至尊，宝刀屠龙，号令天下，莫敢不从，倚天不出，谁与争锋。。。。            
(4星)	 喜欢黎姿哭的样子            
(4星)	 黎姿啊            
(5星)	 赵敏就应该是这样~            
(5星)	 就是爱这一版！            
(4星)	 天知道我看了多少次            
(4星)	 当年觉得吴启华太帅了，黎姿真美~            
(4星)	 金庸剧 还是TVB好看            
(4星)	 Gigi个赵敏简直了！            
(5星)	 我最爱的一个版本，黎姿好美。            
(5星)	 最早看的版本。很喜欢。            
(3星)	 听说杨怡在里面演个峨眉女弟子。。            
(NA)	 黎姿就是赵敏            
(NA)	 蛮好看的，至于比较，我想说各有千秋吧            
(4星)	 黎姿好美~~            
(4星)	 黎姿版的赵敏，最到位~            
(5星)	 还是TVB的给力 爱死黎姿这女人啦            
(5星)	 倚天屠龙记里面最喜欢的版本惊艳的黎姿，灿若玫瑰的敏敏            
(5星)	 爱看这个电视剧版的            
(3星)	 喜欢黎姿~            
(4星)	 这个版本最好睇            
(3星)	 最爱这部 黎姿气质真好            
(4星)	 多年之后 还可以拿出来看一看。。。            
(5星)	 黎姿的赵敏无人可超越            
(5星)	 这版最好。最爱黎姿。            
(5星)	 金庸这个版拍的不错，从这部我爱上了佘诗曼讨厌了黎姿，好吧我是怪卡~            
(4星)	 黎姿好一个赵敏！            
(5星)	 经典            
(NA)	 想隐瞒的偏爱，却终究忍不住叹息。            
(4星)	 绍敏郡主...            
(4星)	 不知道是什么原因，实在是太喜欢里面的黎姿了，扮演地几乎和绍敏附体了，至于以后的贾静雯、安以轩，虽然在表演上可圈可点，但是最终还是远远地落后于黎姿的地位。这部片子最精彩的地方就是分成了倚天剑和屠龙刀两个部分，分界线取得很好。            
(NA)	 超喜欢的            
(4星)	 这部真的不错。。。爱恨分明            
(4星)	 我喜欢佘诗曼。            
(4星)	 最喜欢张翠山和殷素素的爱情，张无忌太多情了。            
(4星)	 喜欢黎姿演的赵敏~！            
(4星)	 至今觉得是倚天屠龙记中最好的版本。            
(5星)	 周芷若不漂亮。            
(4星)	 其他版本无视            
(5星)	 黎姿黎姿            
(3星)	 3星半            
(5星)	 最喜欢的赵敏版本            
(5星)	 就是冲着黎姿去的            
(3星)	 曾经最喜欢的港片。。。            
(4星)	 黎姿版的赵敏是所有版本里面最好的了。            
(3星)	 黎姿女扮男装也很帅啊            
(4星)	 港版改编蛮多的，但是喜欢黎姿            
(4星)	 倚天里最好的一版            
(4星)	 好吧，我喜欢黎姿的赵敏。虽然老被说优柔寡断，不是一个真正做领导的料，但张无忌作为朋友却是无可挑剔的：心地善良、武功高强、责任心强、不记仇、以德报怨等等，有很多美好的品质。金爷爷的男主角最喜欢令狐冲，其次萧峰，第三就是无忌            
(NA)	 猪脚貌似山寨版，其他正常            
(4星)	 最近在重温，米雪眼睛好靓啊~小张无忌真是小朋友里难得的好演技虽然长得脑积水了点            
(5星)	 再看一次，还是很有味道            
(4星)	 还是比较喜欢贾静雯版            
(4星)	 演纪晓芙和杨不悔的人叫什么？越看越像大沢佑香            
(4星)	 我最爱看了，就这版本的，现在还看呢！就是张无忌太没谱了~苦了赵敏那么爱他            
(4星)	 经典            
(4星)	 多年前看过，众人皆爱赵敏，我却这么爱周芷若，但不论是谁，张无忌都配不上。            
(4星)	 赵敏            
(4星)	 永远的阿佘。黎姿的赵敏是个人认为最符合蒙古女子形象的一版。比那个贾静雯不知道好多少！虽然港版的一天屠龙记老是改编原著，无何厚非，反正改改有益健康。@Home            
(5星)	 黎姿的赵敏最得我心~            
(4星)	 黎姿也还不错            
(4星)	 黎姿无敌。故事最后演的有些平淡。            
(NA)	 看来看去还是喜欢这版            
(4星)	 最喜欢黎姿版的赵敏。。。            
(4星)	 黎姿与佘诗曼的多次交手……两个人的演技很赞吴启华虽然年纪看上去大点……可是还是很动人            
(4星)	 吴启华是金牛座的。            
(4星)	 黎姿漂亮 更喜欢贾静雯版赵敏            
(4星)	 永远无法超越的回忆            
(5星)	 好看，经典~            
(4星)	 最好看的张无忌             
(3星)	 当红的时候没看，是后来看了新版后才开始看的。            
(5星)	 黎姿            
(4星)	 最喜欢黎姿演的赵敏了            
(4星)	 很喜欢吴启华版的无忌哥哥、敏敏和芷若。            
(5星)	 我看过最好的版本了。喜欢黎姿的赵敏、佘诗曼的周芷若、滕丽名的杨不悔。张无忌的话还是苏有朋版的更贴近原著一些，那种优柔寡断的感觉            
(4星)	 这个版本最最好。            
(3星)	 当年安徽台周末全天播的时候，中午看完走出寝室，就看到浩浩荡荡的大部队一起步向食堂……感情大家都挺无聊的            
(5星)	 仍然是TVB的经典金庸武侠小说改编剧            
(4星)	 四颗星全部给黎姿，佘诗曼神马的……浮云浮云            
(4星)	 这一版的赵敏让人惊艳            
(5星)	 楞个经典的片我今天才把它完整地看完~~黎姿真的好漂亮啊~~~            
(4星)	 这版的赵敏很PP，逍遥都能及格，剧情改的不错，只是无忌和小昭弱了。            
(4星)	 黎姿            
(5星)	 黎姿~            
(5星)	 黎姿好。            
(5星)	 倚天屠龙记出过很多个版本，但是唯爱这个版本。也正是因为这部剧，喜欢上了黎姿，在这部剧里她所演绎的赵敏让我彻底为她的演技折服，眼神，举止，生生演活了赵敏这个角色...而她的这个赵敏，也是公认的经典            
(5星)	 黎姿把赵敏诠释的非常非常的好！            
(NA)	 依旧觉得吴启华版的张无忌小盆友扮相有点老。            
(4星)	 对敏敏一心一意的无忌，不戴眼镜的启华大哥很潇洒            
(4星)	 黎姿演的赵敏我最喜欢，好漂亮，只是觉得吴启华不应该演张无忌！~            
(5星)	 黎姿…………我爱你            
(4星)	 黎姿的赵敏很惊艳~~!            
(4星)	 黎姿！            
(NA)	 这版毁了芷若            
(4星)	 第一女神黎姿            
(3星)	 这张无忌忒。。。            
(5星)	 黎姿就是赵敏，赵敏就是黎姿。            
(3星)	 不怎么样            
(4星)	 最爱姿版赵敏            
(NA)	 最爱此版倚天~            
(5星)	 这版最经典，也最原味。看了又看。            
(4星)	 当时超喜欢gigi的。。            
(3星)	 我想说，虽然我很不喜欢倚天屠龙记，很不喜欢张无忌和赵敏这俩人物，但黎姿把赵敏演成了经典，她的赵敏无人可超越。            
(4星)	 我当年就爱赵敏了，黎姿啊~            
(4星)	 这部里就觉得男主女主配得很 ... 所以说演员还是很重要的 ... PS吴启华帅啊 ...            
(5星)	 好喜欢黎姿版的赵敏            
(5星)	 唯爱的武侠片            
(5星)	 这部剧是经典中的经典，最好看了，绝对值得珍藏！            
(4星)	 觉得这版拍的比较好的 就是赵敏的扮相不怎么讨我喜欢            
(5星)	 这版太经典了。。。男的帅女的美。。。            
(5星)	 这版的张无忌和赵敏都是我最爱的，除了周芷若，其他角色都不错。包括杨逍，张兆辉好样的            
(3星)	 黎姿简直就是赵敏。阿佘表现也不错。只可惜我无法接受吴启华的大叔形象。。            
(4星)	 赵敏演得不错            
(5星)	 我觉得最好看的倚天屠龙记！            
(4星)	 赵敏美死了            
(NA)	 怦然心动。            
(5星)	 黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿姿姿姿姿姿姿姿姿姿.......            
(5星)	 当时特别讨厌佘诗曼- - 。。            
(NA)	 最喜欢这个版本的赵敏❤            
(5星)	 阿牛 阿花            
(4星)	 我这个没出息的人看了看我的初恋启蒙片。。            
(5星)	 姿版的最棒的赵敏看金庸剧只许看最经典的那版就够了。            
(4星)	 启华兄，又是你。。。。            
(5星)	 最好看的版本            
(4星)	 那时觉得佘诗曼巨美            
(5星)	 敏敏            
(5星)	 大爱黎姿            
(4星)	 因为莫家尧版的殷梨亭。。。深入我心啊~            
(4星)	 我看过的最好的版本            
(5星)	 比较喜欢这个版的~            
(4星)	 我很喜欢这部的佘诗曼，觉得很青涩的美。            
(4星)	 最爱赵敏的敢爱敢恨，张无忌太过于仁慈，周芷若真是可悲，可恨之人必有可悲之处            
(5星)	 本来是四星，为了黎姿的赵敏加一星            
(5星)	 倚天中最爱            
(5星)	 心中的经典，黎姿的赵敏无人可及。            
(4星)	 黎姿啊黎姿~~            
(4星)	 黎姿~~~~~~            
(5星)	 黎姿版的最传神            
(5星)	 最喜欢这版的倚天电视剧了……当然张敏电影版的除外            
(4星)	 翻拍得挺好的            
(4星)	 最传神的赵敏            
(5星)	 GIGI的扮相太美了。佘佘一如碧血剑里的阿九般幽怨。            
(5星)	 这版喜欢，大概也是因为黎姿            
(NA)	 超爱黎姿            
(3星)	 对吴启华实在无感——其实我也丝毫不喜欢黎姿小姐的长相及做派。3星就是给阿佘的~            
(NA)	 电视剧版最佳敏敏            
(5星)	 我可是金庸的忠实粉丝 哈哈哈哈            
(5星)	 吴启华我是有多爱你啊。。。演的太棒了。。黎姿也超级美            
(NA)	 好看            
(4星)	 最心水的版本啊            
(5星)	 我好喜欢啊好喜欢啊好喜欢            
(3星)	 原来我看的这个版本是港版的呀，我都不知道的，反正都是普通话的。            
(NA)	 看来看去还是原版好~            
(4星)	 TVB拍起金庸剧也很是好看。            
