http://movie.douban.com/subject/4891786/	夏家三千金
(1星)	 只看了几集。无奈在电视机上和妈妈同看，否则看真真，友善，皓天的三角戏，一定按快进了！晕，这是2011年的戏吗？感觉就像是2001年的老套！严格和天美这对富二虽然一样没什么精彩，可至少还有点笑料。            
(2星)	 拍那么长还那么纠结。这不是要看死人啊...            
(2星)	 只看了邱泽部分- -            
(NA)	 三位千金都很漂漂，可惜对这种家族情仇不感兴趣、、、            
(2星)	 剧情太拖沓，鸡肋一块。完全靠俊男美女撑场面            
(3星)	 只是突然因为《佳期如梦》而喜欢上了邱泽。不过在这部戏中我也很喜欢邱泽的戏份~~~~            
(1星)	 就施舍一个女生们吧。            
(3星)	 三星给唐嫣，楚河和邱泽 的脸            
(3星)	 一开始还成 后面就都快进了            
(NA)	 矛盾冲突很激烈            
(3星)	 好长的一部戏- -            
(NA)	 雷剧            
(2星)	 前半边我还喜欢夏天美跟严格来着。            
(1星)	 额··室友在看的说··跟着看了几下下，，            
(1星)	 挫男扮酷，整容女横行，配音恶心，剧情假的要死。这一颗星还是给唐嫣吧。            
(3星)	 短点就好了哦~哎哟，吵死了~我喜欢唐嫣和邱泽，仅此而已~咩咩            
(4星)	 虽然很冗长 但是已经很不错了            
(4星)	 很少看大陆的爱情+家庭伦理剧，看了几集觉得真真和友善的line太苦情了…还是喜欢天美和严格，所以之后也一直关注他们两个罢了，四星是给他们的！            
(3星)	 跟着爸妈看的。。。比较符合中老年人口味。。。            
(2星)	 非常无聊的情况下看的，反正最近也没什么电视节目，觉得真真身材到表情都很2，唐嫣挺好看的，可是演得角色有点小儿，戚薇就那个样子吧，可惜了里面的男的都还不错。。。主要剧比较烂，凑合有点点看头            
(3星)	 。。。            
(4星)	 太长了，剧情来来去去的看得没耐心，隔了几个月才把后面的看完            
(4星)	 沒看全.........唐嫣的著裝大愛~~~但基本上是跳著看的........結局也沒有看.....然後拍攝地點是廈門有些景還蠻有愛的            
(1星)	 真不咋地            
(2星)	None
(1星)	 我固执的把这部剧看完了，而我也只是想看看这部剧到底是要有多傻逼！！！先不说剧情，演员的演技就做作的让人无语。。。。            
(2星)	 一般            
(3星)	 唐嫣很不错呐~~可爱            
(3星)	 喜欢天美和严格            
(3星)	 唐嫣             
(3星)	 无聊的家庭斗争戏，以偶像博眼球。            
(4星)	 第一次看的时候并没觉得好看 觉得有些假 第二次无聊时又看到这个电视剧，那时觉得还不错诶，就这样将它看完了···            
(3星)	 比较喜欢张檬，皮肤太好了，这部剧里有太多的狗血了，所以真是当一戏看看得了，不过我还是统统都看过了，哈哈，服了自己！            
(3星)	 = =！好吧，，很狗血的剧情。。。我居然看完了。。            
(4星)	 呃，怎么说呢，还行？            
(1星)	 除了唐嫣挺漂亮的 其他的就一坨屎 剧情烂的一逼 为毛一定要把两个男主塑造成无论遇到什么困难都只会垂头丧气的样子 麻痹 陈楚河在命中里邱泽在桃花妹里不都挺好的嘛！搞毛啊！还他妈都是配音！第二部还出一堆一逼的配角 呕啊！！！！！            
(NA)	 好吧其实都是闲的没事在电视上看的            
(2星)	 有点神。            
(3星)	 剧情傻逼。张檬一点感觉都没有。白瞎了那几个男人。戚薇很放得开。            
(1星)	 偶像剧的最起码功能就是可以作为撸炮素材 这个不行            
(2星)	 太长了太长了 长得臭了            
(2星)	 陈楚河你就是个二百五            
(2星)	 so long............            
(2星)	 看了另外一部电视剧,才感觉到此剧也不是烂的那么彻底!!虽然人物脸谱化很浓,剧情俗而又俗,亮点也仅仅是局部的小细节.这类电视剧总有人看了觉得里面的人都是弱智的感觉!!!            
(3星)	None
(NA)	 夏友善。            
(2星)	 啊，无聊的看完了这个            
(4星)	 突然觉得这种缠来绕去的言情片还蛮好玩的            
(1星)	 ……不解释……懒得解释……            
(NA)	 居然断断续续地看了个差不多。。。            
(2星)	 演技太差了，滥用慢镜头            
(3星)	 情节很狗血。。而且大多都猜得到。。连我老爸也能猜到后面会发生什么。。但是，我还是看完了。。佩服自己。。喜欢唐嫣。。这个女生蛮赞额。。            
(4星)	 80集啊！！一口气看完看得累死了！            
(3星)	 演员的表演有些稚嫩            
(1星)	 这部电视剧除了孙小静，就没有一点值得看的意思            
(3星)	 算了，我还是本着鼓励为主，尽管剧情是那么经不起……不是“推敲”……而是“连续看着超过5分钟”也是个奇迹            
(3星)	 只喜欢看严格和天美，觉得邱泽还挺帅的~他们两个人看的让人都想谈恋爱了~友善的故事太唐突，突然就嫁给华森了…还有杨真真和浩天，陈楚河在这部剧里的样子可真不怎么好看…帅哥还有一个立恒，不过在这里当炮灰了~~最后是靠想看小菁被拆穿的意念看完这个剧…            
(3星)	 喜欢严格和天美的那段，也喜欢看到那两人斗气时的场景，很有爱呢……            
(3星)	 复杂的关系，复杂的情感。喜欢格美恋。            
(3星)	 洒呀洒呀洒狗血~~            
(1星)	 避之唯恐不及的剧，妈妈居然爱看，我听到声音都头疼了，唉…            
(3星)	 弄错的孩子+不爱但是还要恋爱的恶果= =            
(5星)	 冲天美看去的，咱家糖糖~爱上了友善，怀疑她是水瓶座，够崩坏            
(NA)	 虽然剧情有点假  不过格美恋是亮点            
(3星)	 天美是个好姑娘！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 中间还行，前面很轻松，就 尼玛后面跟韩剧似的半天扯不到头。，            
(3星)	 邱泽和唐嫣 不错 其他就。。。            
(3星)	 我到底有多无聊啊。。。这个剧居然看完了            
(3星)	 前面跟了很多集，觉得很好看，后面就觉得有点太拖拉，只能说还可以。            
(2星)	 看得我晕晕            
(1星)	 电视上看到一集天泪滚滚啊。还有哪个混淡给邱泽做的头发啊……            
(1星)	 非常无聊，剧情狗血            
(3星)	 琼瑶风，狗血剧，不过我比较喜欢唐嫣和戚薇啦，所以就看咯。我妈妈很喜欢~            
(5星)	 脑残剧，可是我一直追            
(2星)	 太难看！            
(NA)	 为毛每个台都在放啊啊啊啊啊   尼玛我居然断断续续看完了啊啊啊啊啊   可不可以不要用偶像剧的阵容演伦理剧啊啊啊啊啊 我是说严立恒啊啊啊啊啊            
(NA)	 好傻逼好欢乐～一来姥娘家就看傻逼片 好鸡动好开心            
(2星)	 跟着老娘看的  还真的是超长的连续剧  戚薇的坏 其实我还是能体谅他的。            
(1星)	 尼玛导演小学毕业了吗            
(2星)	 我老娘的鉴赏力真是越来越差了，独霸电视就为了这电视剧。            
(NA)	 钟浩天那死米死眼的样子。我看到才恼火哦。            
(5星)	 超还看 有点虐 格美恋            
(3星)	 除了唐嫣这一对还不错~其他的人让人无语~            
(1星)	 狗屎            
(1星)	 今天陪我妈一起看了一段，实在是无语了，男女老少没一个会演戏的，剧情更是不合理到极点，我跟我妈边看边骂，国内电视台为什么不像国外能把剧下线啊，难看还占着资源。什么时候能根据口碑决定片子继续还是停播啊？            
(NA)	 啊            
(1星)	 史上最烂电视剧，哈哈。洗衣机在辛苦工作的间隙，无厘头地看了两集，已经无法忍受了。            
(NA)	 泡沫，烂剧，主演在比谁更没演技嘛？比谁更做作嘛？编剧脑子被驴踢了吧，而且是被全世界的驴踢了。            
(3星)	 很纠结啊，夏友善气得人吐血            
(2星)	 邱泽有点帅，戚薇倒是演技配            
(2星)	 真不知道就这中剧情，边看边骂说太傻太笨，可是还看的有滋有味的，哎呀，现在父母的口味无语中。            
(4星)	 姐也是看完了的啊。。情何以堪。。虽然是2天就看完，除了天美严格的部分全部快进啊 啊。。。。            
(2星)	 看不下去，泪            
(3星)	 抄袭没商量，剧情老套路，人物无特点            
(2星)	 鉴于能看到几个美女，给两个星星，要不一个都不给！！            
(1星)	 非主流女娲后人            
(2星)	 厦门厦门！！！！看的我心好痒啊！！！！            
(2星)	 这个导演，是不是和《佳期如梦》的导演是同一个人呀。这么毁人不倦的句导得还是相当成功的呀            
(3星)	 只喜欢看天美和严格的剧情。。。80集坑爹啊            
(1星)	 一个人在家害怕当背景声音的...            
(4星)	 喜欢天美 立恒 奶奶             
(3星)	 纯粹只看了冯绍峰的两段酱油= =那么短的时间里，还是觉得夏天美这个角色太小白了。            
(1星)	 没见过那么弱智的.男的跟小三在一起一定被抓包..            
(3星)	 只喜歡格美戀....            
(2星)	 专看唐嫣和邱泽的剧情。。太长了            
(4星)	 我好强悍，竟然基本上都看完了，80集啊！！主要是里面帅哥比较多！每次看到友善的镜头就想快进，这样的人太让人受不了了            
(3星)	 你们可以纠结地去死了……太没新意了            
(3星)	 这是我的偶像剧终结篇，以后可能再也不看偶像剧了。            
(2星)	 剧情太拖沓 =  =            
(3星)	 喜欢天美和严格那对！            
(2星)	 顶邱泽！鄙视陈楚河演的皓天，简直不是个男人  天美和严格真是绝配！最喜欢这对了   田昊其实是个好男人…只是被孙晓菁利用了…            
(4星)	 剧情有些小狗血~但三个美女真的很养眼~戚薇的演技越来越好了~            
(4星)	 就是长了点。。。            
(2星)	 都他娘的走纠结路线~            
(3星)	 女的要么太憨要么太精，兩個男的全縮的要死！看得那叫一個急人兒啊。。。            
(3星)	 好狗血啊~~我是跟着舅妈看完的！！！            
(4星)	 看了这部电视剧我只有一个想法，那就是龙生龙凤生凤，老鼠的孩子会打洞，所以孙晓静和友善就是那么的恶毒，天美跟真真呢就总是那么善良，总是被欺负            
(1星)	 　终于从1-80集快进快进的跳过一些熬了2个通宵看完片子，看完好像好像骂人！！！真TMD，剧情编的太烂... 　　第一部真真的妈妈的感情还挺让人感动后来到哭哭哭...以及所有的一切发生只能说可怜之人必有可恨之处！ 　　 　　友善和晓静只能说罪有应得，只是结果2个人都没有得到应得的报应，一个出            
(5星)	 喜欢唐嫣            
(3星)	 这剧本编的..            
(1星)	 我不喜欢            
(3星)	 还行吧~偶尔也有感人的镜头~            
(3星)	 戚薇真漂亮            
(NA)	 看琼瑶12年。            
(3星)	 对这种亲情大团圆神马的最没有抵抗力了，7v好漂亮            
(NA)	 喷饭蛋疼剧            
(1星)	 本片最大得烂点就在于张檬。明明这么讨喜得一个角色让她演得要多做作有多做作，要多恶心有多恶心。每年都有很多新人为什么唯独她就让人看了很不爽。想甩此人巴掌            
(NA)	 扫了一遍。。中间还跳过很多。。。            
(2星)	 劇情很二            
(2星)	 还可以更脑残点么？            
(3星)	 终于看完了看完了看完了，好久没看过这么长的drama了，哎~发现自己永远当不了后妈啊，喜欢HE~~~PS. 华森那样的男人有担当~~~            
(1星)	 没钱还拍啥片子  运行的车和撞树上的车 很大的对比啊  最后一集  唉~~~~~~~~~~~烂片            
(NA)	 虐。            
(2星)	 这几个亮丽的演员都很喜欢，但剧情太白痴太玄乎，对偶像剧不排斥，但希望情节更加营养一些。而且夏家三千金剧情和回家的诱惑有多处雷同            
(4星)	 我这人就是如此恶俗！好看！            
(3星)	 极度之讨厌杨真真那个角色及那个演员，神马来头啊最近一直活跃            
(1星)	 这部影片把好人演得太过迂腐、愚蠢，而且无视法律与逻辑的存在，拍八十集简直就是浪费资源。唯一有点可看的，就只有天美了。总结一个字“烂”。            
(3星)	 只看天美严格那段 其他不喜欢啊太繁琐            
(3星)	 跟老妈一起看的电视剧            
(2星)	 夜班期间办公室有人天天放碟，断断续续看过几集。。            
(4星)	 无聊打酱油剧            
(2星)	 过于纠结，编剧就是个神经病！不过厦门挺美            
(1星)	 做作~海报就很做作。实际就看了前面一集。中间一集。还有四十集。还是跳看了。受不了。唉~~            
(5星)	 唐嫣好可爱! 徐正曦好帅啊啊啊  80集好长 还蛮感人的其实            
(3星)	 我靠。狗血的23集来了！！27分钟剧情癌变，将苦苦支撑我一路跳看下来的大动脉插入了一根玻璃管，该死的孙小箐血癌？3年都不死都发也不白的血癌，圣母玛丽亚！邱泽自责了！他难过了！他让唯一支撑这个充满了邪恶的连续剧的梦幻好男人动摇了！！干你娘啊！            
(3星)	 原来大家都只看天美和邱泽啊！真巧~不过立恒也很帅~ 看到真真和陈楚河就快进，烦死了；看了40集竟然不给我个结局，气死我了。。三星当然都是给我的泽泽还有另一个帅哥~            
(5星)	 好看！            
(5星)	 越来越讨厌杨真真，演的好失败呀，怎么看都觉得很假，尤其是她说话，那个嘴怎么看起来那么不对劲呀！相比之下还是喜欢友善，爱错了人差点就毁了自己，挺让人同情的。            
(3星)	 好看 纠结 煽情            
(3星)	 我觉得这部剧就是拖沓，太长了。就像一部家庭伦理剧，人物塑造的惹人厌烦。唐嫣塑造的天美就是个傻大妞，而且很很萌人，但是唐嫣身材太高了，所以装一个小女人，感觉很别扭。            
(2星)	 太长太无聊，太不给力啦            
(3星)	 男演员只有立恒演的好~            
(3星)	 这剧里面的女的一个个精的跟什么似的，男的全是傻逼            
(2星)	 跟麻麻看了整个寒假…            
(5星)	 友善为皓天付出了那么多，最后却换来皓天的一句对不起，究竟是友善太执着，还是皓天太绝情，这场爱情究竟谁对谁错？？？            
(5星)	 这部戏，俄最最最讨厌的就是戚薇这个死八婆，最好就是祝她死快点，把俄们女人的脸都丢光了。死贱B            
(4星)	 真讨厌杨真真。。。            
(1星)	 干嘛生仨            
(NA)	 说什么也是白说，人家也是看不到，说了是给自己看的啊，我精神病，自言自语啊            
(3星)	 纯粹看唐嫣            
(3星)	 编剧脑残            
(5星)	 虽然狗血是狗血了点但是还是可以的            
(NA)	 哎……泡沫剧            
(4星)	 严格他们的戏太少了            
(NA)	 river~~            
(NA)	 只看邱泽            
(3星)	 好好的一部戏。。被编剧搞得越来越烂            
(1星)	 听说八爷在里面打酱油，还有邱泽是主演，我勒了去，我是有多爱虐待自己啊花一个上午把剧情介绍看完。这是多烂的剧本，一群俊男靓女还集体接戏，那薪酬是有多诱人阿，简直死去。导演牛，导演开了嘛条件阿，让大家集体演不是人看的剧。我想知道看完八十集的是有多爱虐待自己啊。。。            
(1星)	 我从来不评论连续剧，今天我为你破例了。我实在忍不住想说几句赞美的话：导演你是一个很特别非常特别的人，你导出来的东西实在不是东西。我知道你不是一般的人，因为你跟本不是人，谢谢！            
(2星)	 我操，我绝对看了不下三遍，浙江卫视翻来覆去一直播，我妈还看得不亦乐乎！！！！！！            
(3星)	 看的累死了。狗血的一塌糊涂。            
(NA)	 不错！友善演的不错剧情也可以            
(NA)	 每次都看到她们哭哭啼啼、吵吵闹闹~剧情缓慢，而且还喜欢大反转~            
(3星)	 为想象力丰富的编剧打三星，各种狗血！！            
(2星)	 我也真无聊。为了看天美和严格重新在一起的场景，硬是看了10集。            
(3星)	 集集快进~80集~只看唐小姐！            
(NA)	 要多狗血有多狗血            
(3星)	 比较喜欢严格~友善演的比较出彩~那狠劲演的确实让人不知道该说什么~            
(2星)	 对这种烂片没兴趣，倒是感觉夏友善（戚薇）的扮相有点意思，可惜网上的照片都不好看。。            
(3星)	 老套，俗套，却也看下去了，其实不喜欢真真，喜欢友善，就算抢到不要，也不要输给杨真真。太柔弱的女子让人讨厌啊            
(3星)	 不容易啊，80集断断续续陪老妈看完了……            
(3星)	 ( ⊙ o ⊙ )啊！无聊到看这个~有韩国、台湾长篇家庭伦理剧的风范，剧情相当狗血，估计资金紧张，布景、服装比较寒酸，小陈、亮亮、小梁等一众小配是亮点，莫名其妙出现做莫名的事情            
(3星)	 可怜之人必有可恨之处。            
(3星)	 娘啊终于结局了...T.T            
(3星)	 虽然情节很恶俗，但是演员很养眼。            
(2星)	 妈妈每天必看的片子，我的背景音乐，偶然听到的台词，怎么听怎么不是味道，妈妈们也许喜欢            
(3星)	 陪媽媽看的劇...老媽看得好激動的説...嚴立恒不錯...            
(2星)	 此剧，很假很做作，很长很繁琐。男人太懦弱，女人太白痴，脱离了现实，伪造了一个故事，总体非常无聊！            
(3星)	 邱泽肿么这么………………沧桑了鸟！！            
(3星)	 看了开头知道结尾，但是还是看了结尾~阵容算是不错，剧情实在没新意~            
(4星)	 还是喜欢唐嫣。            
(2星)	 30集就能讲完的故事，一定要拖拉个80集……狗血一样的剧情，狗屎一样的人生            
(1星)	 太狗血了，只有立恒是正常的。唐嫣的演技真的糟到不能再糟了，表演痕迹过重，就感觉很假。严格只会哭，真不知道一个大男人整天哭哭啼啼的干嘛！夏友善就是个失心疯，不过戚薇倒是演的还行，演的最好的是孙晓菁，很好的诠释了“贱”字！            
(4星)	 纠结啊男主的窝囊演技加刺眼的美女你们怎么那么多纠缠？美女们不错            
(NA)	 如此脑残的一群人怎么可能是社会精英富豪家族哟！            
(1星)	 抄袭味道很重的山寨剧，看了半集就让人想吐了            
(4星)	 大爱天美和立恒~就是长了点。。。            
(3星)	 除了唐嫣都是我喜欢的脸啊            
(3星)	 真是快看吐了……国产这是怎么了奔着80集去了都。配音假的要死不说，有些剧情也很狗血。看完了需要毅力……            
(NA)	 爱情的真善美。冗长而又繁杂的庸俗电视，可即便是80集，即便里面充满了丑恶、扭曲还有那么多的不现实，我还是坚持看完了结局。因为，亲爱的天美小朋友，你让我看到自己的影子。善良，成了最后一个保护自己的武器，因为爱，所以爱，这就是爱情本身的意义。            
(4星)	 好看。。。就是太长了。。。看的好累啊。。。            
(5星)	 不管是否现实，但是，这几个演员演的是相当的完美，是我看过最好的最长的连续剧 其中的女演员演的较为出色，我特别喜欢夏友善 支持你们 望能在看到你们组合的下部电视剧。            
(2星)	 大三的寒假，和妈妈一起看的。ps:戚薇好美。            
(NA)	 爱情的酸甜苦辣，在爱情中人们的心痛纠结            
(1星)	 我承认 虽然糖糖是女猪 但是 这个电视剧实在不是人看的 有心脏病 高血压 脑残的同志们最好备药啊~~            
(4星)	 总体来说还不错。。            
(4星)	 不喜欢钟浩天，太...喜欢天美和立恒在一起。            
(4星)	 杨真真讨厌！！！！！！！！我讨厌他            
(3星)	 特纠结特虐了，两个男主角和第三者在一起的时间比原配还多得多，不会在看第二遍了。            
(NA)	 剧情弱，男女主都没脑子，男主更是没一点福相。模仿台湾电视剧里的富豪家庭模仿得太失败。            
(3星)	 戚薇的演技很不错            
(3星)	 我和妈妈，妹妹一起看的很乐呵            
(3星)	 有点流水账的电视            
(4星)	 我觉得和这个电视剧还不错，第一呢，就是情节一环扣一环，可是我并不喜欢友善和浩天，还有真真那纠结的三人，他们三个人就是个闹剧，为什么两个优秀的女人，要围着一个破男人，这么争抢，如果浩天够优秀，可能我觉得看着还有意思，问题是，浩天是个垃圾，所以我看着没劲，还是喜欢天美还有严格。            
(1星)	 太狗血了！            
(NA)	 可以不加星么……这不是法治社会么……            
(NA)	 终于看完了。            
(1星)	 纯真善良夏友善，冰雪聪明杨真真            
(3星)	 寒假期间陪家人看的，剧中对爱情亲情的探讨让人引以为戒，里面除了夏天美外，其他年轻人无一处在不完整的家庭里，然后造就了不同的性格，有软弱的，有狠毒的，有不负责任的，看完后让我对家这个概念更加重视，以后自己成家后一定要成为负责任的丈夫，父亲。当然该剧在某些剧情设计方面实在让人笑掉大牙            
(2星)	 爱情真善美咋就这样体现的所？            
(3星)	 今晚大结局了，好忧郁。            
(4星)	 这是我看过最认真的一部电视剧了。。。            
(3星)	 这部电视的结局真的很烂，坏人也有好的结局,杀了人都不用做牢，就是说做了坏事都不用付出代价的喽。这部电视是不是在鼓励别人做坏事了？还有上面的两个男主角严格&#39;浩天，真的孬的不能在孬了。特别是严格从头孬到尾.最后还得到了天美.搞的立恒好可怜.天美也是傻得可以了.我最喜欢立恒.            
(2星)	 = =唉            
(3星)	 雷剧啊。。。我妈超迷。。。            
(2星)	 陪外婆一起看的            
(NA)	 我都无语了，不知道这电视是怎么排，你想突出人物的善良也要符合实际啊，请问有哪个父亲不帮自己亲生女儿，帮外人，自己妈让人杀了，父亲和所有人都劝说什么原谅，不告杀人凶手，怎么想的？我都不能说什么了，皓天还说什么放过，什么放过，你自己爸被人气死了你都想报复，何况，友善还是直接杀死杨柳的            
(3星)	 一部除了坏人，剩余的都是2B傻子的片子            
(5星)	 每一个见过邱泽本人的泽迷，在被他的魅力、他的优秀折服和感叹的同时，也会真切地感受到他的真实与坦诚.            
(3星)	 美女是真美女，帅哥是丑男窝囊废没眼珠，狗血剧情            
(5星)	 看的我实在是太纠结了。。。            
(NA)	 太长了一点，另外，男的太懦弱了吧。。。。            
(2星)	 不怎么爱看电视剧，食堂吃饭瞄到了，是在...太...看不下去了...狗血得来...            
(2星)	 很墨迹 某韩剧组的配音演员？            
(NA)	 你们凑合着演，我就凑合着看吧。真忧愁，让90后看了还以为我们80后流行逼婚、悔婚、重婚和未婚先育呢。。不带这么个“巧合”法吧，一对就算了，对对三角恋、多角恋；有姐妹争夫怎能无兄弟抢妻。。这是多么多么不和谐啊。。            
(3星)	 有点胡诌八扯，但是晓菁和友善这俩演员着实让我想揍她们，演技确实不错            
(3星)	 太虐了太虐了啊我讨厌坏人啊啊啊啊啊            
(NA)	 格美            
(3星)	 感叹里面两个女人实在太不要脸            
(1星)	 一星给戚薇和邱泽，对杨真真无语            
(4星)	 算是看过的泡沫剧中比较好看的。            
(NA)	 小三无敌了啊  这个肮脏的社会            
(NA)	 喜欢格美恋。。            
(3星)	 天美和严格的部分怎么越看越金三顺啊 啊             
(NA)	 这是那个脑残导演拍的 那个友善在电视里就这么毒现实中比这样还厉害把             
(NA)	 看尽人生的喜怒哀乐            
(3星)	 太纠结了            
(2星)	 SIGH            
(4星)	 80集很长的电视剧。很偶像的电视剧。但是我还是看完了，亲情、爱情、友情，人生永远的主题。我们在路上寻找着真善美。P.S.严立恒的扮演者很帅哦~            
(4星)	 見到很多人都在罵劇情爛演員爛，我只是覺得配音太雷人。要是說這劇情狗血的話我倒是覺得很多時候我直視了人性。很多劇都用戀愛掩飾人性道義，但人性本來就是自私的，這部劇角色對比之下人性特質有強烈對比，就是這個引發了思考。自私，為何自私，為誰自私。為自己，爲家人，還是受欲念擺佈，不堪重壓。            
(3星)	 只为唐嫣，偶尔支持下国产剧咯            
(2星)	 一个星给三美女，一个星给天美，其它乱七八糟的，一蹋糊涂！            
(2星)	 张檬在里头挺好看的 = -其他忽略            
(3星)	 几个姑娘，聪明点的一个因情入魔，一个因财入魔，傻乎乎的几个最终获得了这场的爱情战役的胜利。就姑娘来说，唐嫣在郑罗茜面前真成了丑小鸭了。另外我还以为郑是韩国姑娘呢，确认木有整过容么？            
(5星)	 戚薇的演技太棒了，真到位！            
(3星)	 哈哈哈！好狗血！我居然看上瘾了！            
(NA)	 真真真可怜 让人心疼啊。            
(4星)	 演得不错            
(3星)	 我觉得友善最可怜，真真和皓天都不要脸            
(3星)	 我只是偶然看到的我只是偶然看到的。。。。我只是看到邱泽了我只是看到邱泽了            
(2星)	 老妈在看的时候顺便看了一点在百度剧情，十分无语            
(1星)	 凭什么这么对岩立恒，琼瑶是不是疯了，感情是这样的吗。            
(2星)	 剧情真是狗血老套又臭又长，里面的男人都是白痴吗？            
(NA)	 为嘛我觉得看不下去......            
(1星)	 烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧烂剧            
(3星)	 完全只是看邱泽和唐嫣的对手戏            
(NA)	 陪妈妈 安徽卫视            
(2星)	 其实我认为这个电视剧很不完美，现在天美虽然和立恒在一起了，但是她还是没有忘记严格，那最后不管她和谁在一起都会有人受伤的啊！            
(2星)	 狗血八点档            
(2星)	 安徽台？番茄台？不知道，忘了，反正是看恶我了，矫情做作痞子脑残，集各无聊一无是处于一身的无敌烂片。原谅我是为演员去看的，所以多给了一颗心            
(1星)	 垃圾电视剧。又臭又长，演员也很垃圾，看了第一集就没有欲望往下看了，谁知道偶尔换台看到看几分钟更加增加了厌恶之情。烂透的故事情节，完全就是为了编剧本而编剧本。肤浅、庸俗。还有那什么戚薇，丑的要死。            
(3星)	 三观不正的东西，我竟然，看完了orz            
(1星)	 鄙视 夏家三千金 的编导 这分明是典型的阶级思想阿 凭什么有钱人无论是好的坏的都过的那么好 没钱人普通人无论是好的坏的都过的那么悲剧鄙视 夏家三千金 的编导 这分明是典型的阶级思想阿 凭什么有钱人无论是好的坏的都过的那么好 没钱人普通人无论是好的坏的都过的那么悲剧            
(3星)	 狗血！！！只看邱泽！！！            
(NA)	 难得窝在家里看电视剧            
(3星)	 很久不看国产剧。。。            
(2星)	 神马狗血剧嘛！受捕鸟            
(4星)	 还可以吧   80集啊  不容易啊            
(3星)	 只喜欢天美的那部分····            
(3星)	 很虐~家庭关系好复杂啊~~~            
(3星)	 。第一部还能看几眼..。            
(2星)	 一部挂着偶像剧旗号的一波九折家庭伦理剧！！！敢情编剧是琼瑶阿姨她妹吧！！！            
(NA)	 不多说了，如果没有了时尚你还剩下神马&amp;神马！！！            
(2星)	 一颗星给严立恒，真实而有血有肉有情有义的人，一颗星给真真的妈妈，该忍受的时候忍受，该反抗的时候反抗。第二部结局若不改，只会让人觉得再狠毒的人最终也会被原谅，犯的罪被赦免，用78集让落难的人受苦，歹毒的人耍狠，2集来还给各自简单快乐的生活，这世界还有没有报应和公道了~            
(3星)	 三颗星就算 了不起的评价了，昨天是喝着咖啡看的，觉得人间充满爱，除了几个主演长的好看，其实，痴男怨女的戏码傻极了，有些桥段我看着干着急，一句：“我是孤儿”有必要托这么久再说嘛？？急死我了。后来百度一查，原来是琼瑶的御用导演导的            
(3星)	 每天下午两点看。。。            
(3星)	 @澎澎，我一直坚定不移的深信女猪脚是“戚薇”，那姑娘多亮点啊，没有她，这部剧就是个白开水，你说有了她，我老妈等一干家庭主妇们还有个讨伐的对象。            
(3星)	 男猪脚很经典，女猪脚很分明，善恶斗争很激烈啊~无聊家庭剧之典范！            
(2星)	 非常之讨厌戚薇~剧情果然是琼瑶奶奶的手笔啊，一如既往的纠缠到死            
(3星)	 坏女人多啊，剧情比较纠结            
(2星)	 这是什么剧情啊，什么狗血都拿出来撒，有完没完啊，可惜了这一帮演员这部剧的感情发展过程太少了，尤其是夏友善，三两下就爱上了，而且还爱得死去活来，无语。。。而天美的爱情还没甜蜜两下，第三者就立马跑出来，要不要这么有效率啊。。。            
(NA)	 我爱上唐嫣了！！！！！！！！！！！！！            
(NA)	 好喜欢唐嫣哦，加油！            
(3星)	 明星郑容强大~~看看~~            
(3星)	 烂剧烂剧  不过戚薇的演技很惊人！比科班的小妞好多了            
(3星)	 喜欢唐嫣和邱泽那对才一直坚持，不然早放弃了            
(4星)	 阿拉只是喜歡看嚴格和天美而已            
(5星)	 非常有爱推荐            
(5星)	None
(1星)	 三观不正，血统论，编剧和导演脑残，演员表示无力，剧情表示狗血。只能说，真真和天美这种货色估计在社会上就是被人卖的最好选择，男猪们都是牛郎，友善和孙X菁就是精神X院里逃出来的。            
(NA)	 喂喂喂什么狗血剧情啊！！！陪着妹妹看的快呕血            
(1星)	 想知道什么叫狗血吗？来看夏家三千金吧！其实说狗血，都有点侮辱了这个词。            
(5星)	 终于有一部唐嫣的剧是我喜欢的了            
(3星)	 有这么扭曲的女人么            
(2星)	 我觉得唐嫣的演技好差啊...长的也一般般..两个男演员我都蛮喜欢的            
(4星)	 其它都还好。就是夏友善太不要脸了。太贱了            
(3星)	 很纠结，谁遇到这样的人真是倒大霉了。            
(NA)	 虽说那个真真看着是蛮可怜的 ，可是我就很不喜欢她 ，甚至有些讨厌 ，她给人的感觉就是装柔弱，做做            
(2星)	 长度堪比韩剧但是剧情比韩剧还差            
(NA)	 虐心！            
(2星)	 受不了 但比芒果台强很多            
(NA)	 从来没看过一部让我觉得虐女主那么爽的，杨真真你个假人你是怎么掰弯我这个正义人士的？            
(2星)	 陪老妈看的             
(NA)	 对这种封建余孽写的剧，给星都浪费了，编剧脑子不只是进水那么简单吧            
(2星)	 除了演员能看的            
