http://movie.douban.com/subject/2148680/	创世纪
(NA)	 童年啊            
(4星)	 香港最经典的商战片，还有谁可以把这样一个大反派演得那么让人又爱又恨            
(5星)	 太长了,107集,看看,我浪费了多少部电影啊,唉,就是不喜欢这么长的电视剧,不过也耐看,如果再给我一次选择的机会,我一定不看了,不是不好看,是太长了            
(4星)	 非常经典的港剧            
(5星)	 2000年左右陪LP看的，印象比较深。看看现在的狗血电视剧啊！！！！            
(4星)	 很喜欢罗嘉良早期的电视剧            
(5星)	 潮起潮落，风云再现...只愿站在浪潮之巅            
(NA)	 战线无敌长啊··最后还是没能坚持完··叶荣添前半辈子最大的幸运就是遇见了hellen！            
(NA)	 我太爱这部剧了！！从小到大 这是让我觉得最振奋 最励志 最经典的港剧！叶荣添 永远的经典啊！！！            
(4星)	 这个是不是TVB虐心的超长大剧集三部曲之一？罗嘉良在那个时候相当火啊            
(NA)	 最爱的电视剧没有之一！最好的电视剧！永远的文彪！            
(5星)	 看过最好的港剧！！！！            
(5星)	 这么长得剧当年我竟然一个暑假慢慢看下来了。。。太可怕了~            
(4星)	 非常有意义的一部剧~            
(4星)	 TVB不少好剧还是很值得回顾的！            
(4星)	 怀念古仔在TVB的日子            
(5星)	 应该没人不知道这部好看吧？            
(NA)	 四爷有演？？seriously??            
(4星)	 追了很久，居然是中央8？            
(4星)	None
(5星)	 这可以说是tvb最大的制作了，无论是金钱还是人力时间都是任何剧无法相比的，叶荣添精神深入我心，从他身上学到了很多            
(5星)	 独爱叶荣添            
(4星)	 叶荣添：恨使人坚强，爱使人懦弱。            
(4星)	None
(5星)	 经典 那时候中央八套放的 喜欢陈慧珊 蔡少芬 郭晋安 古天乐真是把一个坏人给演活了 如果港剧商战只能看一部的话 推荐这部 集大成者 当年那阵容 现在TVB是不行了            
(3星)	 如果没有第三部会更完美            
(5星)	 TVB的经典。            
(4星)	 介个算是经典，必然要看滴            
(5星)	 当年并不是很懂那里面的大背景            
(5星)	 史诗级的电视剧            
(NA)	 我小学的时候看的啊啊啊 啊啊！！！！！！好多集啊啊啊啊啊 啊我好像冒看完。。。            
(5星)	 罗嘉良在我眼中很帅很帅的啊            
(5星)	 经典！！            
(4星)	 和基友在聊小时候的TVB聊到的，来标一下(﹁&#34;﹁)            
(5星)	 这种豪华阵容的震撼感觉，现在的TVB剧已经不会再有了。当年绝对是影响三观的片子。            
(5星)	 这个太经典了。            
(5星)	 不朽的新千年            
(5星)	 超爱张自立！            
(4星)	 小时候看的时候觉得很枯燥。。。            
(5星)	 巅峰啊~            
(5星)	 商战剧的经典啊~~~~！！！！！很喜欢罗嘉良的索==！！！            
(5星)	 这算是第一部我看过的港剧了            
(5星)	 必须给满分么。看的第一部电视剧。虽然具体演的啥忘记了，但记得剧情很是牵动孩童时代的我~~  赞！            
(NA)	 诺言仔真是百年不遇的天煞孤星！！爹娘爷奶姥爷大伯大姑小叔都死了。。有血缘的就剩小姨一个了 到了寄养家庭都克死了一个。。奇才！            
(5星)	 满分没话说，经典不复            
(5星)	 那时候真是迷死罗嘉良了≧v≦～，从小到大他和林保怡一直都是我的yy对象，我至今都想嫁个这样的人！！！            
(5星)	 商战那里超级精彩，现在想起来都很令人紧张，罗嘉良 安仔和陈锦鸿演技都好棒，最可惜的是从小苦难的颖欣还被打死了。。恨死台湾司法！【说是有蔡少芬，其实戏份少的可怜嘛，而且邵美琪和那谁的姐弟恋也不感冒            
(4星)	 近期仔看一篇            
(4星)	 很经典的tvb剧，还记得那时还要熬到很晚才看完。感觉跟在电脑煲剧感觉完全不同。罗嘉良，少数喜欢的tvb男之一            
(5星)	 霍，可能是TVB商业片最后一部经典了            
(5星)	 100集OMG。当年怎么看下来的。            
(5星)	 当年的全明星阵容，TVB当时的四大花旦出现了三个~ps：我一直以为吴奇隆是台湾的哇，什么时候跑到TVB去了。。。            
(4星)	 打不死的小强,晓得那是罗嘉良,从这部剧开始,陈锦鸿,似乎也很有派头,只是后来没有太红,人生的道路,谁晓得呢?还记得各位在那个展会上的表现,那个电子宠物没有订单,但是因为想法不错,但是产品太差,被日本人买断,弃之不用.            
(NA)	 原来我有那么多看过的没有标啊。。。            
(5星)	 选婿就选叶荣添，嫁汉当嫁马志强。            
(5星)	 这个我决定啥时有空再看一遍！小时候看的没啥印象了。            
(5星)	 港剧巅峰！            
(5星)	 最爱古仔！心疼张自力。            
(NA)	 当年还是cctv8播的            
(5星)	 太好看了            
(NA)	 决定在很无聊的时候看全            
(5星)	 最爱            
(4星)	 最给力是描述陈锦鸿从最善良变成最坏的过程            
(5星)	 太经典了，各种大牌云集。            
(NA)	 又长又嗔            
(4星)	 第一部五星，第二部三星，第二部带入了很多情绪，第二部一来带了太多的旁枝末节，有很多东西莫名其妙，一个鬼仔，一个太妹，一转眼成了商战精英= =。。            
(NA)	 两步都看了，地产风雨和天地有情，初到深圳的那半年，那个宅啊，都宅着来看这个了，剧情很好，还可以学到一些商业技巧和交际处事技巧，我很喜欢            
(NA)	 个人而言我比较喜欢陈锦鸿这个角色，够狠。叶荣添这个人物倒没让我有那种吸引力，马志强这个烂好人，也就只有郭晋安这样的角色才能诠释。            
(5星)	 叶荣添这三个字，何时何地都能唤起那段燃烧的少年梦想            
(5星)	 香港社会浮世绘，地产世界管窥象。。给我很多力量的Yip荣添。            
(4星)	 创世纪的精髓在于谁和谁都可以谈恋爱            
(5星)	 我娘亲可爱的片子啦！            
(4星)	 每次回味都有动力，冲上云霄是中坚力量推新人，创世纪是整个中坚倾巢出动，纪念千禧年，尽管无烟城的概念很好，但一直觉得这么大的剧情，这个计划还是小了点。。            
(4星)	 我实在讨厌那个叶荣添...            
(5星)	 永远的最爱！！！TVB家族戏的巅峰！            
(5星)	 虐！！古天乐的张自力真的是创世纪了            
(5星)	 记得是小学五年级开始，CCTV8每天十点半两集还是三集，总共80多集，从头到尾看完的，一集不落。高中大学都重新看过几遍，到现在为止，它仍然是念旧的我最爱的港剧，没有之一。            
(NA)	 唯一喜欢的TVB剧            
(5星)	 真的不知道看过多少遍了...虽然我不喜欢罗嘉良            
(5星)	 像我这一种男人。。。。。。。            
(4星)	 因为是断断续续看的  但是断断续续 也觉得很好看 ╮(╯▽╰)╭            
(5星)	 TVB神剧            
(5星)	 没全看完，有时间要认真看一遍啊            
(4星)	 小学的时候看过。            
(5星)	 港剧经典 ！！            
(4星)	 9.0 当年首播的时候在香港收视及反响都不算好，后来深夜重播竟然翻热，世事难料            
(5星)	 慢慢学吧 能生活成这样已经很精彩了            
(2星)	 乖，。这厉害了。            
(5星)	 每次看一遍100集都是大工程啊!!!心中的No.1,每次瓶颈就翻出来看!!!            
(5星)	 771的都不错            
(5星)	 是两千年的巨作            
(4星)	 古仔演坏人太帅了！~~            
(5星)	 经典            
(5星)	 郭可盈死前的前五十集是精品。            
(5星)	 超强卡司阵容，绝对具有纪念意义的跨时代之作。            
(5星)	 没看完，找时间补回来            
(3星)	 TVB剧之所以好看，是它总能流出一股家的温暖、还有真诚、真挚与真实。            
(4星)	 100集啊！捧红了多少人啊！            
(5星)	None
(5星)	 真心长啊 老爸出差几个月 天天和妈妈一起看            
(4星)	 励志经典，就是剧情有点拖沓，前半段尤为精彩，总体虎头蛇尾，沦为一般的TVB剧了，叶荣添后期典型昏君。            
(4星)	 它是很经典，但是绝对不是最经典的，罗嘉良就是靠它红遍大江南北的(PS:第三部有四阿哥哟)            
(5星)	 十年后再次观看，仍然无法超越！！            
(5星)	 其实只喜欢前半部            
(5星)	 里面的反派都是经典啊！！！            
(5星)	 很小的时候就看过了，虽然多数时候是捞家，但是吴奇隆的出现很抢眼的            
(5星)	 TVB最好的剧            
(NA)	 你看看，一个五岁的人看，看得懂个p，偏偏我就那时看了= =            
(5星)	 幕后团队真的很厉害，能把整个故事，这么多人物和事件串联起来，佩服佩服！罗嘉良是我心目中穿西装最好看的男人~~~~            
(5星)	 港剧永远的经典之作！            
(5星)	 那时候初看港片，追不停额！还是CCTV-8放的，现在呢放的越来越没水准            
(5星)	 有吴奇隆？！哦。。。            
(4星)	 文彪死前一直都很不错，死后剧情就开始扯了，支持文彪！            
(5星)	 其实吧其实吧！！我真的不记得讲的啥了！！= =            
(3星)	 当年的tvb剧还是好看的。            
(5星)	 无法超越啊~~            
(5星)	 经典！            
(5星)	 相当经典的港剧啊            
(5星)	 没有谁对谁错 没有你正我邪 只是时代在作祟            
(4星)	 记得那年我高三，CCTV8每晚2集。。。            
(4星)	 喜欢古仔和ada的合作            
(5星)	 我的最爱——叶荣添            
(NA)	 好片。。。。。。。。            
(5星)	   每个年轻人都是一个故事            
(5星)	 重温TVB的剧集《创世纪》。剧中人的爱恨情仇，被拍得波澜起伏，惊心动魄。友情、爱情、亲情，理想、阴谋、励志、兄弟反目……商场如战场，水泥丛林的香港是座梦城。梦碎、梦醒、梦灭，亦或是苦尽甘来、梦想成真。每个人的路不同，急功近利的荣添，误入歧途的文彪，老好人志强……人无完人但好在并不那            
(5星)	 极度丰满极度好看的一部港剧,我相信以后TVB再也拍不出这么好看的剧了~我想编剧真的是爱叶荣添爱到骨子里去了才能写出这样一个人物,叶荣添真的是我从小到大看的所有剧里最最丰满的一个人物,没有之一~~捞家演得不是一般的好!!!            
(5星)	 因为隆诗去看创世纪，陈锦鸿演的许文彪最好，最欣赏霍景良和Lisa。            
(5星)	 还有更好看的商战剧吗？            
(5星)	 旧片，印象深刻。            
(5星)	 这是我所看电视剧里面最最最最经典的一部，内容紧凑，虽然第二部不如第一部，但是整个内容，已经对于人性的刻画都是十分到位，男主角罗嘉良演绎的叶荣添十分到位，本人与角色之间已经合二为一，我本人已经看了N遍            
(NA)	 回不去的經典。            
(5星)	 我读着高三暑假补着课都要看完啊！！！经典的经典啊，感谢当时播放的湖南经视！            
(5星)	 经典，还用多说么            
(5星)	 经典自不用说了，那时初中时每晚必看的，貌似有好几部了，喜欢蔡少芬，还有古天乐的表演实在特别得精彩，她张自力的形象一直留在了我的心中。            
(5星)	 经典剧目了，不用说什么            
(NA)	 很不错 两部 喜欢古天乐            
(5星)	 万丈高楼平地起。            
(4星)	 我爱Tina            
(NA)	 想了想，与其翻煲《金枝欲孽》，不如看一部没看过的经典剧。            
(5星)	 唯二完整看下来的两部tvb剧啊。另一部是金枝欲孽。            
(5星)	 真的好棒            
(5星)	 无可替代的挚爱！！！！！！！！！            
(4星)	 花了几个月的时间完整地看了一遍，开始没有想到情节转变，兄弟会反目，文彪会360度大转弯，还有被无辜伤害的人，到最后仅剩的人应该值得庆祝            
(5星)	 最近在看第三遍，总有不同的感触，精彩的商战，无常的人生，一部好的让人起鸡皮疙瘩的港剧啊，前60集太经典，后40集稍许逊色，但据说第一部的收视并不算好所以第二部才减少了商战的部分，还有演员的问题等等，也使得不太连贯，真是可惜呀            
(5星)	 久远的印象            
(4星)	 无论阵容，剧情和集数都是超强的。唯独缺了宣萱。            
(5星)	 经典咯            
(4星)	 商战剧的经典啊            
(NA)	 60w卖掉电子虫虫机            
(3星)	 麻麻的大爱啊(u_u)            
(4星)	 经典            
(5星)	 很好看的~            
(4星)	 里面居然有林峰~客串了一个狱警~~好瑞，看到79集，2部一共100多集~~            
(4星)	 总觉得罗嘉良是坏人呢⋯⋯            
(5星)	 还记得这个很长的连续剧么            
(5星)	 超爱张自力。。。            
(5星)	 记得看的时候很小  可是竟然把情节记得那么清晰            
(5星)	 非常喜欢            
(5星)	 顶！！            
(NA)	 不评价 肥皂剧是人生观启蒙            
(3星)	 小学的片子了。。我记得我是每集都看的。。。就记得陈锦鸿是个坏人死掉了。。。            
(4星)	 第一部还是挺经典的。            
(5星)	 好經典啊TT             
(NA)	 很长的一部电视剧啊！！！很精彩，TVB的又一次登峰造极之作            
(4星)	 长。。。            
(5星)	 非常不错！            
(5星)	 还记得高中住宿舍的时候，和一群姐姐们看的这部剧，演到最后，一屋子人哭的哗哗的，经典中的经典！            
(5星)	 最喜欢的一部TVB剧，百看不厌。            
(4星)	 唯一看过好几遍，还买了碟的tvb            
(4星)	 觉得前半部分真的很好看，商战，爱情，兄弟，个个精彩；后半部分就差了很多，回到老套路上了。            
(5星)	 太经典了            
(3星)	 最好看是最正派的陈锦鸿逐渐变成大反派，蜕变是罕有地得合情合理            
(NA)	 超级大爱，“未老是天，但情未变”好喜欢罗嘉良的角色，我果然从小就喜欢稳重聪明男            
(5星)	 这部剧打乱了我的作息规律。从小学生标准的9点睡觉变成了11点半上床。            
(5星)	 三兄弟啊，哎。            
(5星)	 我想给6星            
(3星)	 真能纠结人，港片都这样，o(￣ヘ￣o＃)             
(5星)	 TVB巅峰之作真不是盖的 含泪推荐啊！！！！ 熬了这么多通宵 终于看完了 当你看完一部长达51集！！的电视剧后 最悲剧的是你发现他妈的还 有 （下）!!!!!!雅蠛蝶！！！！！！            
(4星)	 好TVB的一部剧~古天乐在里面演了个反派~那时候不能接受啊~            
(5星)	 经典之作！~            
(4星)	 少有的港产电视剧里有史诗气质的嘛            
(4星)	 作为商战片并没有太多的商城斗争，级数过多，剧情到后面稍微有点拖拉，三兄弟的感情很打动我，是什么能够原谅一个杀死自己父母的人？我的情操有待提升。            
(5星)	 台戏总是震撼人心            
(5星)	 命运的事在乎你信还是不信，是否有珍惜            
(5星)	 超爱这部剧的！TVB的代表！为古仔我各种心疼啊，虐啊。            
(4星)	 港剧的经典，虽然很多情节和表演现在看来好奇怪，但这么多年之后依然能震撼人。            
(5星)	 大大爱！！            
(4星)	 记得里面很多台词很经典。当所有的人都阻止我的时候，我要做的不是放弃，而是坚持。我们一定要对自己有个交待，无论付出多少，绝对不能白费。千万不要小看自己，每一个人都有他的能力和价值，只要你肯做，没什么能难倒你。一个人什么都可以输，就是信心不能输            
(5星)	 有过一段不得不去睡觉，打开门听电视的岁月~噗~            
(NA)	 那时候的港剧            
(NA)	 结局没什么意思。过程还可以，总算坚持看完了            
(4星)	 经典。            
(NA)	 ２０１１年８月及尔。            
(5星)	None
(5星)	 好小的时候看到，都已经记不起是什么情节了，只记得好长好长~            
(4星)	 自力~喜欢自力 讨厌志强和田宁            
(NA)	 小时候好喜欢看 里面有一首英文歌the promise don&#39;t com easy超喜欢听            
(5星)	 不能算看过，当初电视演时总找借口多看会儿，但断断续续看的也不多，现在能重看，但是有些看不动了。            
(5星)	 由于这片子 我在邵美琪已是昨日黄花时喜欢上了她 Tina的公关小姐形象一度对我影响很大            
(5星)	 这么长吗？当时电视台好像分几部播的，买过原声碟，promise don&#39;t come easy,这歌现在还在我的ipod里面            
(5星)	 经典死了。            
(5星)	 TVB经典商战片，古天乐的反派演的很是精彩            
(5星)	 港剧经典。            
(5星)	 永远是心中港剧的最佳            
(4星)	 整个剧情不错 但是也有一部分不太符合常理。。有点扯 超级喜欢荣添啊=v=            
(5星)	 少时的经典            
(5星)	 曾几何时中央八套...            
(5星)	 TVB的经典！            
(NA)	 当年热播，只可惜我嫌它太长，后面看不下去了            
(5星)	 这个是经典             
(5星)	 TVB史上最强，没有之一            
(5星)	 我记得我看过这部剧。因为有古，所以记得。O(∩_∩)O哈哈~剧情大致忘了，貌似和大时代很像。            
(4星)	 当时罗嘉良可帅了。            
(NA)	 商战经典            
(5星)	 经典，唯一刻成盘留下来的电视剧            
(NA)	 最喜欢一部！！！！            
(5星)	 尼玛 再也没有这种气派的片子了！            
(5星)	 小时候留下的单纯印象就是个大牌间的排列组合            
(5星)	 當年為了追這部劇可是一下課就擠進門口的小賣部連續吃了好幾個月的泡面。TVB當年最輝煌的時期。重新來看居然和印象裏的不一樣了。回憶真的是會騙人的。            
(5星)	 Helen。            
(5星)	 叶荣添，许文彪，我肯定会再看一遍！            
(5星)	 年少时候的经典啊            
(NA)	 看过也忘了吧……            
(5星)	 大学万人空巷            
(5星)	 好怀念当年的TVB啊！            
(5星)	None
(4星)	 很多故事与爱情   张自力啊            
(NA)	 TVB中永恒的经典~            
(4星)	 第一部到文彪的改变都很合情合理，人物塑造也很饱满。。。到结局虽然没有前面好都算不错。。。只是第二部开始剧情越来越牵强。。张自力对比许文彪也只是无缘无故的坏，为了坏而坏。。。逻辑也不合理~            
(5星)	 就冲这阵容以后也不会再有了，给五星吧!            
(5星)	 最经典的港剧，百看不厌。现在人家提到某个演员我都会问，在创世纪中演什么角色啊。不然对不上号。            
(5星)	 永远的经典吖！！            
(4星)	 最适合穿西装。罗嘉良            
(5星)	 No.1            
(5星)	 学到非常多港剧之王男人就要豁达坚定            
(5星)	 经典            
(4星)	 前半部分是看第二遍，后半部分是第一次看。真心喜欢前半部分的人物塑造和剧情设计，撕心裂肺。印象最深的是荣添背他中风后的老爸上楼求他原谅的场景，亲情永远胜出。还有一度快进总算要结局时，镜头从主角们千禧年倒数一切就换到了10年后。那个时候怎么敢想象2010年，可现在已然快2012了！            
(5星)	 TVB最后的辉煌，反复重温完全无压力呀，771太给力了，许文彪大爱，叶荣添枭雄，比起一边倒的状况，强强商战就是火花四射，上半部完全就是经典中的经典，没有之一！！！现在TVB的片子别说重温，连看都是快进的，就算是恩怨纠葛的戏码，都感觉太小家子气了，完全没有《创世纪》的大气呀！！！            
(4星)	 听说上部比下部好看，可惜上部没怎么看全。            
(5星)	 经典！            
(5星)	 第一次觉得罗嘉良还是有点儿帅的            
(3星)	 印象里最后一部不算太烂的港剧 喜欢里面的小芬（郑雪儿）还有汪明荃            
(NA)	 大制作            
(NA)	 51            
(5星)	 长而不乱！            
(NA)	 陈锦鸿还是戴眼镜好看            
(NA)	 TVB巨制啊！古天乐好白啊！            
(5星)	 人世浮沉            
(5星)	None
(5星)	 看了半年            
(4星)	 第二部扣一星。            
(4星)	 创世纪1还是很不错的，但创世纪2 简直像…………不说了            
(5星)	 田宁。一个相信承诺的女人，为爱遍体鳞伤，终于遇到一个懂得珍惜她的人。            
(4星)	 为了一首歌  不知道自己到底看了什么            
(5星)	 挺不错的，很励志            
(4星)	 这么长 竟然让我看完了  一个毛衣被的士勾住了 郭可盈在后面追的镜头 一直记得            
(5星)	 TVB总会时不时出个经典，罗哥哥亦正亦邪，偶喜欢            
(5星)	 大片            
(5星)	 初中时看的，最近突然又想再看老。绝对的经典之作啊            
(NA)	 ·难得一见            
(5星)	 小时候的记忆            
(5星)	 历时三个月。主角配角都给力            
(5星)	 行云千片 悠悠是青天 我共你可以 度过几个十年 留言一句 人如在身边 用你的想法营造经典 我不管 可天昏暗地是变迁 记不清 多少的冷面或劝勉 创造晴天 兑现宏愿 来给这世代留念 宇宙怀念 信心不断 信念长存 　　             
(5星)	 经典啊经典            
(5星)	 无线千禧剧 啥都不说了 无懈可击 表现最到位的 自然是霍先生了            
(4星)	 地产风云，明争暗斗，不愧是无线迎接新世纪的倾力之作，看完全上百集需要耐心和清醒的头脑，所以第一部看的最认真，后面真的累了            
(4星)	 劇情什麼的啥都不記得了！光記得幾個角色名了！光記得我看過了！光記得它是個經典了！            
(5星)	 罗嘉良的演技毋庸置疑 但许文彪的蜕变让人深思 人之初 性本善  是现实的残酷把一个善良的好人推向了毁灭的深渊。            
(5星)	 经典！            
(5星)	 很好很强大，可惜没有宣萱            
(NA)	 小学看的吧 唯一的记忆就是毁了一批游戏机            
(5星)	 成功必看            
(NA)	 经典！！！            
(4星)	 为写一篇稿子查资料,突然想起这部剧和当年狂追它的日子,突然发现居然没点这个按钮，坑爹啊……            
(3星)	 没看完            
(5星)	 看完之后，才发现什么叫兄弟！！！            
(5星)	 志强你到底明不明白            
(5星)	 花了几个晚上才煲完，阵容灰常强大，演出了生活中的很多影子。。。            
(5星)	 我心中港剧经典的代表，最爱的港剧，没有之一。我爱叶荣添，我爱陈慧珊。            
(5星)	 恢宏大气!            
(3星)	 应该是看过，不过都不记得了            
(5星)	 经典之作哈。。。上部更好看点            
(NA)	 经典的电视剧，不过发现后面一部已经没有第一部精彩了            
(4星)	 MS电视剧里叫天地男儿？？            
(5星)	 一直没有看完             
(4星)	 初中看的            
(5星)	 又是我不愿再看的好片！古天乐里面太悲剧了            
(5星)	 中学时代看很欣赏的电视剧,以前是因为它的剧情很明星,现在是悟出它的真实与残酷            
(5星)	 TVB巅峰，没有之一            
(NA)	 最爱的一部局，第一次看港剧就是看的它。。            
(5星)	 港剧中的最经典            
(4星)	 看过，记不太清            
(5星)	 great            
(4星)	 最近刚回顾完，自力和田宁的爱情让人唏嘘！            
(5星)	 二十年来最好的角色没有之一            
(5星)	 太经典的TVB剧集！！！            
(5星)	 商战启蒙            
(NA)	 看疯了··非常励志的TVB            
(5星)	 对我影响很深的剧，主角们的故事很精彩，一生中该经历的，好的坏的都经历了，100多集的剧看了两遍，记得当初是爸爸推荐的。叶荣添的转变很真实，从傲气到霸气...他背父亲上楼的戏当初一个人看的时候哭得撕心裂肺，迄今记忆犹新...            
(5星)	 第一次看的时候记得在很久以前，中央电视台第八套播出的。但是但是没有看完。后来上了大学，又重新看了好几遍，每次都有新的感觉。里面的每一个人都很喜欢，每一个演员的演技都可以说是最棒的。喜欢古天乐，只不过，这部电视剧是他演艺生涯中演技的顶峰····            
(5星)	 以前看 新 三国的时候就有一个感想：男人 这一辈子，不管事业是大是小，一定要有一个健康的身体，然后还要养一个好儿子。现在看看叶孝礼，身前再风光，最后叶家如此惨淡～唉～人生如戏～谁又是最后的赢家呢～            
(5星)	 印象中应该是初中的时候看的普通话版的~            
(5星)	 我心中的永远~            
(5星)	 经典不说了  主要是看男人戏 女人中喜欢邵美琪和汪明荃 其它的小家碧玉型不感冒- -            
(NA)	 在杭州学美术时看完的。            
(5星)	 绝对的五星！            
(5星)	 为什么是最正直的那个人变坏，为什么是最善良的那个没好结果，唉……            
(NA)	 这个要有~真有~            
(NA)	 小时候我很爱看港剧啊有木有！            
(4星)	 重温之后，不得不说主角光环什么的也不能让我理解荣添~helen亨少有爱~只是眼神都不大好，踢娜~哦漏~志强最后几集的表现让我忍不住要说傻比啊，前面都只觉得他单纯哦单蠢~霍霍这种坦荡荡的真小人, I like~许文彪，倒霉的一比，身边都什么人啊 擦            
(5星)	 重溫我心中的經典！            
(5星)	 经典之作。剧情丰富            
(NA)	 当时，想30岁创办公司，35岁，公司上市。梦想，总是遥不可及。            
(4星)	 阵容太强大            
(4星)	 太虐。。            
(NA)	 很小的时候看过……有时间找你一起看            
(4星)	 TVB世纪之交的大戏。。100集吧，明星几乎全上啊。。但是太长，剧情就有点逻辑问题了，瑕不掩瑜！            
(4星)	 真的 好长啊              
(5星)	 经典            
(3星)	 前面挺好，后面相当烦……太长了，弄那么长干嘛呀？？就为了跨记录？？后面明显都是编的很假很假那种编……相当受不了……不过一直有一个疑问……张自立明明就是个混混，后来哪里弄来那么多钱？？            
(5星)	 愤青租的碟~大四看得爽~            
(4星)	 和现在的裹脚韩剧一样长，但一集集的追不厌            
(NA)	 还满好看的好人坏人杀人善人恶人都有了  里面爱情很好、不错啊许文彪是个不得志的实力派，叶荣添是个动动嘴就有一帮男人女人响应的偶像派。            
(5星)	 叶荣添，最爱的电视角色            
(5星)	 小孩时候追看的经典            
(NA)	 最喜欢的一部剧了，看了好多遍，98创世纪，永恒经典            
(5星)	 大制作            
(5星)	 经典~            
(5星)	 也是好多年啦，又想起它~叶荣添和丁善本，更喜欢那一个？            
(NA)	 欲罢不能// 什么时候觉得它拍的幼稚简单，什么时候我才算入了门            
(5星)	 绝对竖大大大大大拇指！！            
(NA)	 永远的经典啊，有时候我也幻想着自己能在商场叱咤风云呢            
(5星)	 经典经典！！！            
(5星)	 一起长大的好么！            
(5星)	 TVB再也难出一部这样的作品            
(5星)	 我想这部片子又是当之无愧的经典，里面的巨星云集之外，是我高考期间最让我牵挂的，芒果台，你怎么这么会选片。            
(5星)	 商战经典··            
(5星)	 不得不悼念张自力            
(4星)	 多少年了，TVB无剧可超越。            
(5星)	 我最爱的港剧没有之一。            
(5星)	 许文彪            
(5星)	 经典            
(5星)	 771的家族剧经典。            
(5星)	 全家人一起看的经典！当时很喜欢古天乐和蔡少芬那一对来着~            
(5星)	 TVB的经典剧            
(NA)	 超长超纠结超复杂，众星云集，也是捞家至今无法逾越的经典之作。基本上看全了，但是要我一口气看完是绝对不可能的。有些剧情有些角色，怎么说呢，太阴暗了，死这个死那个的，看着不舒服。还是喜欢纯商战剧。            
(5星)	 经典大作            
(5星)	 100集…………当年看的我都快吐血了…………            
(5星)	 追着看完的            
(5星)	 很小的时候看的，重温了一部分的剧情，虽然经典也难逃烂尾的厄运。最喜欢这部和流金岁月里的罗嘉良了            
(5星)	 经典不需多说            
(5星)	 好人一旦变坏不得了啊            
(5星)	 超好。            
(4星)	 tvb的经典大戏，阵容相当豪华了...            
(NA)	 小学换是初中看过呢，不记得了            
(5星)	 这个世界笑贫不笑娼，走慢一步只会被人看不起。。。            
(5星)	 我最爱的港剧。对房地产和股票的热爱都是因为它            
(5星)	 港剧中航空母舰            
(5星)	 TVB能再给力一点吗            
(5星)	 绝对的经典之作            
(5星)	 我爱Helen！叶荣添你瞎了眼呀！！！            
(5星)	 看了n多遍            
(5星)	 罗嘉良的片子也都很经典            
(NA)	 很好看            
(5星)	 TVB经典巨制啊            
(5星)	 叶荣添告诉你，世界上有这么一种男人，他注定要负你，但你注定死心塌地爱他到底            
(5星)	 古天乐出来后就难看了            
(NA)	 。。。。。。            
(5星)	 看一遍惊心动魄，看两遍感悟亲情、友情和爱情，看三遍参透人生            
(5星)	 性格决定命运，他妹妹死的时候我哭了.....            
(3星)	 太长了            
(5星)	 下半部看的想打编剧。。            
(5星)	 童年的回忆            
(NA)	 百集长剧，情节跌宕！2000年最爱看！            
(4星)	 不太喜欢罗嘉良前半部的角色性格，不过结局还是蛮感人的。            
(5星)	 还玩过这个改编的游戏呢，搞笑            
(5星)	 几年来,让我看了三次! 每次意境都不一样.             
(4星)	 航母            
(5星)	 华语电视剧还得看港产的            
(5星)	 不愧为巨制            
(4星)	 故事的结局 焰火下希贤让人心疼的笑啊~            
(NA)	 大学编剧作业            
(5星)	 最爱            
(5星)	 TVB  你敢不敢再拍出这样的经典！！！            
(5星)	 是我心中永远的经典            
(4星)	 TVB的史诗巨著……            
(4星)	 很經典，但是實在太長了，個人覺得可以濃縮一點啊。Helen累了，田寧和颖欣太命苦了，张自力太坏了，捞家太帅了，马志强傻人有傻福~结尾我很喜欢，不然太命运多舛了...            
(4星)	 受不了这么折腾的剧情啊...不是很悲情吗...            
(5星)	 “你有信心么？问问你自己的心，真的有信心么？” 看这个片子看得我想创造一个新世纪 真的            
(4星)	 初中时候看的了，是在有点记不起来了            
(5星)	 许文彪，倔强的遗憾！（PS：让我知道amazing grace这曲子）            
(5星)	 好经典            
(5星)	 见证我成长的轨迹            
(5星)	 真的很好看T^T            
(5星)	 心中的经典不时会重温            
(4星)	 很真实，但是角色一个也不喜欢            
(5星)	 这个商战片赞            
(4星)	 上部比较好看！            
(4星)	 从大时代神雕侠侣开始看TVB剧，后来的天地男儿，家族迷情，再到后来创世纪是我看的最后一部TVB剧~~~            
(5星)	 经典            
(5星)	 曾经的TVB大戏曾经的最爱！            
(4星)	 第一部还行，第二部前面大半部分太拖沓、老套，后面可以。人还是得走正路，心安、心宽，踏实点，一步一个脚印，不管是聪明人还是笨人自能找到自己的定位            
(5星)	 港剧航母啊！绝对是tvb的巅峰之作！当年的香港，那些地产商们玩剩下的手法我们如今正在玩。只恨当年幼小，那时若看了这部剧作，再有实力去投资房产买卖的话，肯定是稳赚不赔了。造化弄人啊！            
(4星)	 喜欢！！            
(4星)	 古天樂沒出現前，很好看！            
(5星)	 不朽的经典，很值得一看，事业、家庭、爱情、友情、兄弟情、父子情、金钱、荣誉。。。当人生中的种种困难和诱惑出现在面前，如何面对，如何抉择？当梦想一次次破灭，人生遭遇种种打击，是否还会坚持下去？当一切都看透，什么才是自己想要的？人生中最重要的是什么？失去的和得到的，哪些更重要？            
(NA)	 经典            
