http://movie.douban.com/subject/6778698/	小资女孩向前冲 小資女孩向前衝
(5星)	不淡定了
(2星)	从前10集精彩五星一天内看完，到最后速倒三星的无感剧情，我只想说编剧真的不懂什么叫适可而止，后面的狗血剧情实在令我无法忍受。
(3星)	虽然还没有完结，但是已经没有兴趣再看下去了。虽然邱泽很帅，李沛旭很搞笑，但是也挽救不了李毓芬弱掉的演技，更重要的是前后不搭乱七八糟的编剧水准！！！
(3星)	肥皂剧，规模小了点
(4星)	前面还很好看的么 后面就开始俗了啊
(3星)	完全是为了秦子奇啊
(3星)	虽然主角我都喜欢，但真的不好看
(5星)	赞赞赞！
(3星)	冲着邱泽去了，哈哈~
(4星)	很萌 很纯 很可爱 不要太挑剔剧情
(3星)	好久没看偶像剧了，居然觉得还可以。。蛮好笑的。女主是桂纶镁，周冬雨，林依晨的结合体？
(NA)	一周一集哎
(3星)	前7集还不错，可惜烂尾了，哎~~
(3星)	“为了成为更好地我 为了遇到更好地你 为了更好地我们” BTW 突然发现邱泽还挺帅
(3星)	开始很不错，台词很精彩，轻松但不乏味，最后不免落入俗套，让人有点小失望，不过相比于大陆剧时兴的虐人or勾心斗角,次剧最初带给人的小清新已经很不错啦
(5星)	开始很幼稚很可爱 happy nice!!! 可惜真心烂尾了!快完结吧!
(4星)	虽然肥皂了烂尾了，但还是很欢乐的一部水准之内的台湾偶像剧~想到我高三大半时间都是一周一集跟它一起度过的就觉得很奇妙。佳燕的干净邱泽的美貌温sir的安全感蔡淑臻的御姐范李沛旭的爆笑瑶瑶的自然李毓芬漂亮的假脸，都很好很舒服，很轻松快乐~
(4星)	泽哥 赞！！！
(5星)	丘泽太帅了
(4星)	真的觉得自己和杏仁好像。不过这些事情仅仅发生在电视剧里。。。总算是完结了。最后有点看不下去了，情感纠葛拖得太长。不错总体来说还不错。
(5星)	邱泽好帅！！！！！！！！！！！！！
(5星)	呦~邱泽真可爱，好有爱好有爱的剧啊，越看越喜欢；史经理的疯癫真是一波一波的小高潮，受不了鸟~~~；表再纠结了；你妹的，快点结束呀！！终于结束了，啊~~邱泽好帅啊，什么时候还会有这么好看的剧呢？
(5星)	算算从刚开始看到现在也半年了，时间过得真快。这部剧让我重新觉得邱泽的帅气，当然柯佳燕的清新舒服也是我爱的，最惊喜的莫过于沛旭的卖力演出，真的增加了不少笑料。
(3星)	我觉得这个剧不难看~但是我弃剧了···
(NA)	看过9集。“让我爱你是谁 是我 让你爱我是谁 是你。”这段对唱笑死。
(3星)	不懂为啥收视率这么高，拖拖拉拉，赶紧结束吧，24
(3星)	個人認為1-6集拍得最好，13集後就爛掉了
(4星)	在電視劇資源如此匱乏的時期來說，這部算有點搞笑，不是太狗血的典型三立偶像劇
(4星)	终于完了又是漫长的六个月，简直不知不觉，邱泽很帅，龙龙很可爱，剧情以搞笑为主，不过也有真情流露，总归还是不错的，原厂全配帅哥和副厂简配胎哥
(5星)	李沛旭和邱澤是對好基友。
(3星)	有点长
(3星)	看不下去了
(4星)	美女帅哥一大坨
(5星)	啦啦啦。秦子奇~
(3星)	本来一切都挺好的，结果编剧们就写呀写呀，越写越长，然后结尾了，就整出了这傻了吧唧的结局。
(3星)	噗邱泽很有戏剧天分~不管肿么说后来太拖的啦说但李沛旭绝对是这部剧的亮点，最后一集简直就是大放水嘿不过挺温馨的~
(NA)	终于知道电视剧存在的意义了，为无趣平淡重复的生活注入色彩
