http://movie.douban.com/subject/4124395/	Only You 只有您
(4星)	 剧中那些婚纱好漂亮啊 ！！这部剧特别吸引我，就想一口气看完它 ，很温馨的感觉 。郑嘉颖大爱呀 ，其他演员都很给力 ，好看 。            
(3星)	 yoyo的港女形象还蛮可爱的            
(3星)	 一贯的温情戏            
(4星)	 想开一间这样的婚庆店！！~~            
(3星)	 淡淡地温馨感 不过最后死的那对是怎么回事！！！！            
(3星)	 剧情节奏忽快忽慢，最后的结局真的无语。总体来讲还是蛮好看的，不过蒙嘉慧在里面看上去真的蛮中女蛮搓的。。。有些心酸            
(5星)	 温馨感人的好剧。爱蒙嘉慧郑嘉颖这一对。希望有续集。            
(4星)	 喜剧啊!!!但是结局是闹哪样啊!!!!            
(3星)	 冲着郑嘉颖看的，一直觉得是部轻松搞笑的剧，也有些感动的情节，但最后kaka那对的死，有点hold不住了，完全可以来个完美结局的么。。。            
(4星)	 温馨的TVB单元剧。喜欢这种不疾不缓的故事，只是结局太惨烈了，与全剧风格不符合啊。            
(3星)	 没看完，，有郑嘉颖啦            
(3星)	 这导演有病。。。结局太让人郁闷了。。            
(3星)	 是冲着郑嘉颖去看的，但是看了觉得剧情奇奇怪怪的。。。。。瑶瑶回来的也莫名其妙。。最后king和kaka也死的莫名其妙的。。。。。            
(4星)	 Nov 14th, 2011iTV            
(3星)	 看完以后想开婚庆公司啊   结尾真的可以了！！              
(4星)	 明明是温馨剧，点解最后要弄死一对            
(4星)	 我来回答最后的问题吧，爱一个人是放开自己，才能拥抱最终的幸福。            
(4星)	 还不错，比较轻松            
(4星)	 小感动，小温馨，结局早被剧透还是很伤啊。            
(3星)	 剧情有点老套，立意OK，蒙嘉慧很漂亮。            
(2星)	 编剧在搞唛啊 真的很乱 最后是实在想不出结局了么 让那对死掉来成全主角么 真搞笑 最喜欢陈展鹏那段~真帅啊~主角没特点。            
(NA)	 作为婚嫁题材的 其中有几对新人都不错 比如陈展鹏那对还有黄长兴这对等等 主演方面 田蕊妮很漂亮 但女主蒙嘉慧这个 刚开始觉得不错 但后面越看越不喜欢 只针对角色阿 郑嘉颖的角色没什么好说的 不过不明白他为什么会喜欢女主~            
(5星)	 我可以留下别人最温暖的一刻，但可惜留不住你，就连我们的一张合照都没有。重温《only you》ing。。。。            
(4星)	 TVB，感觉每个熟悉的演员都变老了~~            
(3星)	 哈哈，很可爱那，除了结局- -            
(3星)	 开始挺好的，慢慢的就弱了，关于结婚的戏份根本没多少，无关的杂事倒是一堆堆的，最后那什么结尾啊，两个配角死得冤枉啊~            
(5星)	 超级无敌好看~！故事链接顺畅，感情真挚            
(NA)	 温馨片            
(4星)	 24小时看完，过瘾啊！            
(3星)	 败就败在结局上= =            
(3星)	 浮浮沉沉，每一个婚礼，背后都有不同的故事和人生。12个婚礼，12样人生。            
(3星)	 结局太sb            
(3星)	 洋洋洒洒的狗血啊~            
(3星)	 郑嘉颖的演技的确还是不错的。所以谢天华输给他也是可以理解的。            
(3星)	 TVB看多了会NC……            
(4星)	 真心觉得yoyo演技很好            
(3星)	 我真的很想说，八爷果真是被步步捧起的！先前tvb的剧我就不说了，光从最近的怒火街头和only you来说，kc的演技几乎木有任何突破，典型的外表玩世不恭内心细腻温柔的港男，且有过一段不愿回首的过往。好了，除此之外一点新鲜火花都木有，相比八爷一面温润如玉情思深种一面工于心计的收放自如还是差点点            
(3星)	 估计结局被观众骂死了 不然真相八成也要搞死一对鸳鸯 我可算记住你了王心慰            
(5星)	 跟随郑嘉颖而看的电视剧，好看，哈哈~~            
(4星)	 TVB剧就是好看 不开心的时候它和甜品是唯一解药！蒙嘉慧演的很出彩 刻薄尖酸剩女但其实真心为人好；郑嘉颖还是邪邪地笑 表面玩世不恭 暗暗却很够义气地保护关心别人 怎一个帅字了得。第19集他说多年来悲惨生活，哭得好像昨天的我。触动我浑身汗毛孔扩张，泪水也一涌而出。额。写不下了总之打发郁闷必备            
(5星)	 KC很美！            
(3星)	 冲ＫＣ去看，亮点是杜汶泽他老婆和麦长青啊~            
(4星)	 郑嘉颖的现代戏扮相好看到爆！！步步惊心埋没你了KC！！            
(5星)	 最后一集太狗血了……            
(4星)	 结局很感动！喜欢~            
(4星)	 结局太狗血了            
(4星)	 看着我都想结婚了            
(2星)	 无聊的都市剧，说实话也没过几个月，我都把剧情忘记的差不多了，没什么能回味的            
(4星)	 开始因为郑嘉颖才看的，没想一上来就被吸引了 看完了全集，感觉挺不错，最后大哭了一段。。好剧            
(4星)	 我的神，KC和蒙嘉yo到底合作几次了囧，summer萌啊，这部两人很搭很好看！            
(3星)	 yoyo和KC的组合挺有趣的，yoyo的嗓音不行但是很喜欢看她演戏，利落            
(NA)	 喜欢的演员 喜欢的故事            
(3星)	 看到“荷妈”有演才去看的，可惜不是最重要的戏份。            
(3星)	 各种各样的婚礼idea，和那些充满幸福的祝福画面，很棒。只是最后xx和XX在拍摄婚纱照后双双车祸身亡的画面实在揪心。            
(3星)	 前面一敏还是有个性的，后来就没啦，到底发生啦什么？            
(5星)	 真心讨厌庄思甜啊啊啊啊！！            
(4星)	 睡前记录一下~~蛮好看的 轻松温馨 更重要的是有郑帅哥(*^__^*) ~~~郑帅哥这张脸真是百搭诶 和哪个女明星都觉得配~~~~哈哈~~~            
(3星)	 婚礼的故事            
(3星)	 一直都很好 就是这结局 我X 吓我一跳            
(4星)	 比较另类的KC啊            
(5星)	 喜欢Yoyo            
(4星)	 很可爱的剧 啊   扣一星因为结局            
(3星)	 为了让summer和阿蚊在一起，牺牲了阿king和kaka会不会太狠了。。。            
(3星)	 婚庆公司的.不过结局 有一对over了 咳..!            
(4星)	 整个氛围都很肥皂剧 很轻松 结尾没必要如此啊 看网上不少人都不喜欢yoyo 我还是很喜欢她的             
(3星)	 无功无过.郑嘉颖相当的帅.这类型的角色非常适合他.            
(5星)	 知道最后一集的前30分钟，整部剧都很温馨搞笑的啊！！编剧为了新颖还是什么竟然让最后一对死= =|||╮(╯_╰)╭除了这点真的很喜欢这部啊`煎锅的阿海好型！工装连体裤+胡须look&gt;&lt;            
(NA)	 其实没有看。。应该看了几集吧。。我觉得第一集很感人啊。。盼盼居然说假。。好吧！~新旧婚嫁观的碰撞，嫁人的时候，别忘了妈妈啊！~            
(3星)	 看了一半· 不想看了·             
(4星)	 一个个温馨的小故事串联成的，没有大是大非、没有勾心斗角的TVB也可以很好看。好喜欢夏天生            
(4星)	 算是今年好看的一部了            
(NA)	 结局坑爹            
(3星)	 太闹腾了~一般~            
(NA)	 最后的最后了。竟然还搞出人命。编剧脑子有病啊。不过剧情整体来说还是很不错的。一贯的TVB轻松小品。            
(4星)	 很久没看tvb，这次的only you居然一口气看完了~~可见这种温馨的小品剧始终还是我的最爱。KC似乎和王欣慰合作了好多次，summer这个角色虽说谈不上出彩，但是我就是喜欢看KC痞痞的样子！            
(3星)	 还算不错，但还是没能逃过被我快进的命运~~            
(4星)	 温暖的港式生活剧咯  看着蛮窝心滴  一对又一对新人哦。。。田蕊妮在里面超级萌的            
(4星)	 也就是看着有郑嘉颖才看的···            
(3星)	 结局好仓促            
(NA)	 典型TVB            
(4星)	 很温馨~            
(4星)	 三星半，还是值得一看的            
(4星)	 还好吧，4分不足3分有余，就私心了一下            
(3星)	 办婚礼的电视剧            
(5星)	 谁说KC没有演技?谁说KC不配做视帝?            
(3星)	 蛮喜欢蒙嘉慧的。整个故事前大半部分比其他的剧好多了好吗！！可是，这是什么烂尾啊！！！？扣星！！！！            
(4星)	 田蕊妮在里面很可爱的。 郑嘉颖也痞痞的。            
(4星)	 虽然没有特别出彩的情节 但是很多生活伦理 表现得很真实  也很到位  反正比较像是家庭伦理剧            
(4星)	 职业剧-婚庆            
(4星)	 蒙嘉慧演技爆发，李司棋依旧完美            
(4星)	 单元剧的形式，跳着看起来比较轻松。            
(3星)	 结局真够狗血的            
(5星)	 好彩冇玩绝症            
(NA)	 就是结局死了非主角的主角有点不符合欢快的基调            
(4星)	 与敌同行温馨加强版咩            
(1星)	 不知道为什么，至今第一部我觉得看不下去的TVB剧集…            
(4星)	 印度人那几集好好笑            
(3星)	 不喜欢YOYO            
(4星)	 不错的单元剧。            
(3星)	 不是为了蒙嘉慧和郑嘉颖我会看么。。最后一集实在是太峰回路转了，我从来没见过这样的编剧。。            
(3星)	 蒙嘉慧不演madam演港女= =、            
(4星)	 这结尾算什么呢？模仿非2么            
(5星)	 很溫馨、喜歡主題曲。            
(4星)	 中间最好看，后面有点小伤感，看甜姐的故事好真实 ，三星半            
(2星)	  谁看谁SB            
(4星)	 又一个结局坑爹的！            
(4星)	 看下来觉得还不错~            
(3星)	 剧情空洞·····我没看完！            
(3星)	 没看完。。实在看不下。。            
(4星)	 郑嘉颖很帅咯            
(4星)	 最后的剧情太奇葩了。。。            
(2星)	 剧情一般 题材一般            
(5星)	 喜欢郑嘉颖咯~            
(3星)	 感觉也一般呀            
(3星)	 没看完            
(3星)	 衣服好看 。            
(3星)	 結局能更坑爹么            
(3星)	 居家必备TVB 里面客串的都是以前的一哥一姐啊不过郑嘉颖在里面好丑啊 一直戴个鸭舌帽 穿的也很虽 丑毙了            
(4星)	 喜欢的蒙嘉慧 郑嘉颖都在 还有 婚纱真的很漂亮            
(4星)	 烂尾。            
(4星)	 田姐和她女儿的关系和我和我妈的状况好像啊。。不过最后的结果有点喜忧参半            
(4星)	 就为了让男女主角知道要珍惜当下的道理,就把黎诺懿那一对给写死了?????我反对这个结局,本来就应该大团圆的啊 不过总体还是挺好看的            
(3星)	 蜜推荐的--我强调要有爱情哟--她说SWEET SWEET--TVB嘛本身就有很多狗血--不太在意的话还行--不过我还是看不下去了--            
(4星)	 冲着郑嘉颖去的，KC还是那么帅~~~~            
(3星)	 黎诺懿和姚子羚死得太冤了...            
(3星)	 蒙嘉慧跟郑嘉颖配，感觉怪怪的！            
(2星)	 呵。呵。            
(4星)	 因为片名，几次都忽略的一部。里面每一个小故事都能从身边找到相似的主人公。虽然小故事里避不了TVB某些桥段的冷饭热炒，但还是轻而易举地引起共鸣。            
(5星)	 一天一集 急的痛 只想看。            
(NA)	 yoyo和郑嘉颖好登对啊=3=  结尾真让人失望。。。            
(4星)	 我太爱YOYO了 KC也不错~            
(4星)	 很温馨的剧。好希望自己也开个Only You，可以看遍世间的幸福~~~            
(5星)	 惊艳            
(5星)	 考到後來越來越溫馨            
(3星)	 ~~~            
(3星)	 果然当过好几次阿海。。。            
(3星)	 男女主角年龄差一截。。            
(3星)	 很温馨的            
(3星)	 剧情太普通。            
(3星)	 【三星半】喜欢黄浩然和钱嘉乐那两个单元            
(3星)	 一般，结尾太俗            
(4星)	 第一集戳中泪点了。有些单元蛮好看的            
(5星)	 不错~            
(3星)	 马马虎虎，结局又是很狗血            
(3星)	 虽然我不喜欢蒙嘉慧的演技但是这个剧情是过得去的 but受不了荷妈式的演技            
(5星)	 越看越好看            
(3星)	 很一般~            
(3星)	 我居然看完了，没想象中好看            
(5星)	 有我爱滴YO~ 很好看！            
(4星)	 温馨可爱之作，演员都好，就是真心不喜欢李司棋。            
(NA)	 很甜很温馨的一部剧。最中意田蕊妮和麦包这对，可爱冤家夫妻。结局阿king和kaka死的太突兀太惨了，无法理解。            
(4星)	 郑嘉颖和陈展鹏邋遢的样子也好看。            
(4星)	 除了结局外，总体上还是比较能接受的。喜欢这种温馨的电视剧，剧情不纠结。谢谢陪我的三月。            
(4星)	 结局有点惨，A king&amp;kaka            
(3星)	 还不错，现在居然丝毫不记得剧情。。。好肥皂。。。            
(4星)	 第一次看了一集不到就弃了，后来无聊拿来看，渐入佳境~或者说对TVB的期待和要求降低了……            
(4星)	 最近待见KC，田蕊妮好可爱，还是对蒙嘉慧没感觉，这部戏里更不喜欢            
(2星)	 没有可看性            
(4星)	 每一个有缺点的人物都刻画的那么有爱            
(4星)	 温馨轻松            
(3星)	 李司棋总重复一种角色，说实在的絮絮叨叨的我都烦            
(3星)	 后面男主女主都变成酱油了...            
(5星)	 喜欢SUMMER            
(3星)	 本来是很喜庆温情的片子，不错，最后一集给我来一个死人的戏码。我表示很难接受啊~~~另外通过这戏深深的体会到儿女远行时父母的心情，以及远行的人的梦想与追求，我想，未来的生活总还是要自己去体会，只是要更顾及周遭人的感受，因为始终那些人才是最爱你的人，最值得被珍惜与爱。又见橙色条纹沙发            
(3星)	 蒙嘉慧虽然颠覆我一直以来因为《暗战》对她留下的神秘优雅的印象，但是好在也很爽朗现代，不失为她本色，田蕊妮的打扮很有味道，港版时尚范儿十足，个性也很可爱！            
(5星)	 蒙的演技真棒，但是不喜欢里面的KC的性格，唉            
(3星)	 结局把我吓到了……            
(4星)	 其实还不错~除了结局那部分            
(5星)	 还行啊。。            
(3星)	 看了几集，么看下去，弃了。KC和YOYO的组合还是不错的。从与敌同行开始，挺喜欢这一搭配的！            
(4星)	 个人觉得很有时代感啦，有社会意义，TVB的老套路。郑嘉颖还是很帅，蒙嘉慧和他也算是搭。只是结局潦草了。            
(4星)	 这是什么结果啊            
(NA)	 是的。爱TVB            
(4星)	 就爱 TVB ,这才真实的反映了当下我们应有的生活,快乐生活!            
(NA)	 喜欢tvb            
(3星)	 结局很莫名的死亡吖            
(3星)	 即使很多人说很好，我还是觉得火花不够。我更加希望结局不要那么狗血。            
(NA)	 也是无聊的时候，看看的，看到一半的时候放弃了，不过最后还是捡回来看完了，还是没有让我惊喜啊            
(3星)	 这结尾完全剿灭了我看港剧的心情。。。前面不是还好好的吗。。干嘛搞成这样。。。。。            
(4星)	 喜欢郑嘉颖。            
(2星)	 乱七八糟的~            
(2星)	 看到一半就么再继续看下去  听说最后的结局很让人想不同 结局编的太烂了。。。看到后面简直有点累，有时间把最后几集看完诶。。            
(4星)	 我很认真的看了这部剧，开始的十集里，每集都有一个笑点，后面的故事也是很吸引人的            
(3星)	 真心不喜欢yoyo的声音            
(4星)	 第一集居然就哭得稀里哗啦的，虽然明知道是在煽情            
(4星)	 我的郑嘉颖超帅的说！！            
(3星)	 三星半~            
(3星)	 喜欢 郑嘉颖 跟 蒙嘉慧            
(4星)	 如果kaka和阿king不死就完美了~ 爱是包容。            
(2星)	 为了个烂结尾都要去掉一个星啊~~~            
(4星)	 對這職業有興趣而已 不然不會看的            
(2星)	 没什么看点，很老套的戏路            
(3星)	 看到开头能猜到结局类的TVB剧            
(4星)	 还行吧.....蒙嘉慧在里面不错            
(4星)	 温馨爱情片            
(NA)	
(4星)	 可以看看            
(3星)	 有种风格叫温馨，要不然，活着太冷漠了。            
(NA)	 还算可以。度过不纠结的时光。            
(3星)	 我想看KC的感情戏阿，为神马这么少？！            
(3星)	 总是看不下去啊~            
(4星)	 故事讲到最后不用这么狗血一下吧，应该有其他办法成全男女主啊，编剧何其如此残忍啊~~~~~            
(4星)	 最后的结局。。。。。。。为什么要死2个！            
(3星)	 也就这样了~港剧黄金岁月已一去不复返了            
(4星)	 结局有点悲惨            
(3星)	 题材有点无聊，演员比较吸引人            
(4星)	 不错，很温馨            
(5星)	 不错嗒 司棋姐无敌诶~            
(4星)	 蛮讨喜的            
(3星)	 没头没尾的 不过KC很赞~            
(3星)	 结局太狗血了。。郑嘉颖适合演小混混之类的落魄青年，可惜哭戏实在还需磨练。整部戏总的来说还算温馨。结局莫名其妙让好端端的一对情侣去了- -实在是。。。            
(4星)	 如果没有最后的狗血结局就满分了            
(3星)	 看不下去了。弃！            
(4星)	 还是挺有意思的温馨小品            
(5星)	 一部剧看得我有笑有泪 就已经很不错了 很温馨的片子 我很喜欢            
(4星)	 一般而已            
(4星)	 我对蒙嘉慧改观了 除了结局 剧情都不错            
(4星)	 结局把我看哭了……如果你也可以退让那么一点点，就好了。            
(4星)	 如果不是狗血的结局，我就给五星了。            
(4星)	 田蕊妮跟麦包2个配角我很喜欢            
(3星)	 开头几集比较好看，后面比较狗血，尤其是结局，为毛非要弄死人            
(4星)	 还算不错。            
(4星)	 結局有點扯 不過也正常 意外隨時發生 但這太假了吧            
(4星)	 世事哪可完美。            
(4星)	 一直蛮喜欢郑嘉颖的。。这片儿看了让人对结婚这个事儿是又想又gin啊~~            
(3星)	 kaka阿king死的太假了！            
(NA)	 最讨人喜欢的是里面的钱嘉乐。还有没想到TVB舍得死人            
(4星)	 风行上的大结局呢！！！            
(NA)	  有人说结婚是 恋爱最终的结局？    不是的。            
(4星)	 挺感人的，不错。            
(4星)	 郑嘉颖            
(2星)	 练听力？            
(3星)	 昨天硬撑着还是睡着了  最后一集没看到~  3颗星 两颗给summer哥哥  一颗给麦包和杜太~~            
(3星)	 结局好仓促            
(4星)	 很好看，很好            
(3星)	 圣母你伤不起            
(4星)	 很有爱的电视啊，漂亮的婚纱。。。。。。            
(2星)	 诶            
(3星)	 情节可有可无的太多，很多人出来一下之后就没有出现过了。            
(3星)	 看婚礼            
(4星)	 结局吓到我了            
(4星)	 还行，温馨、有爱、轻松。            
(4星)	 温馨～            
(5星)	 好喜歡田蕊妮，她在這部戲裡好可愛！            
(3星)	 还是很喜欢田蕊妮，做了杜太后的她演技越来越好了！            
(5星)	 支持，很温馨的一部剧            
(4星)	 12+故事，挺啰嗦也挺有趣。人生嘛选择一次，走下去，珍惜，就圆满            
(NA)	 因为蒙嘉慧看的~~~            
(4星)	 几年来第一次由头到尾看完的港剧，中间满温馨，结尾真他大爷的。。。            
(NA)	 我觉得很好看哦。TVB最近难得的好剧。            
(3星)	 这个结局……实在是……            
(NA)	 很温情的片子，中途一度想要放弃，但还是坚持下来，后面有小高潮，但结尾怪怪的，总体还不错。            
(3星)	 狠欢乐也狠温馨 20多集开始胡搅蛮缠催人睡 如果结局不那么&#34;突兀地残酷&#34; 可能还能高点儿分            
(3星)	 肥髀好好戲            
(3星)	 很久没看TVB剧了，因为实在是难出精品了，这一部，且看着吧~            
(4星)	 很有爱！            
(4星)	 蛮感人的，爱情，亲情都挺感人的，尤其在亲情上的觉得蛮和实际生活贴近的，很港味，很生活。剧中几个女主角的装扮都不错，尤其是田蕊妮的。最大的看点就是李司棋的这个角色，看后记忆犹新，而且觉得温暖。            
(3星)	 結局是要鬧哪樣+1            
(4星)	 我承认自己的泪点有点低，看到别人幸福也哭，不幸福也哭- -            
(4星)	 愛上這部電視劇，是個意外。            
(5星)	 很感人~推荐~            
(4星)	 人生如戏，戏如人生。都很精彩。            
(2星)	 我有多久没看过这么……难形容的港剧了……            
(3星)	 就最後為了男女主在一起 就讓另一對如此狗血的死去...也太那個什麽了            
(3星)	 一般，陪田B看的。            
(3星)	 构思蛮好的，就是写的有点烂，郑嘉颖越来越帅了，蒙嘉慧还是一如既往的嘴贱！            
(NA)	 圆满 大团圆 看起来不用动脑筋            
(4星)	 每个故事都很感人，几次戳中泪点            
(4星)	 虽然有我不待见的人物 不过不阻碍这戏成为好戏            
(5星)	 想要去爱别人就要放开自己...            
(3星)	 不是每个剩女都那么好彩吧            
(4星)	 剧情较为乏味~            
(4星)	 郑嘉颖和蒙嘉慧都是我喜欢的，这本应该是传统港剧的套路，即可以分别单拆开看的，各个故事互相独立，郑和蒙之间的嘻笑打闹斗嘴很有趣，最终的结尾居然要KING一对遭遇车祸去世这么惨烈，有点违背港剧皆大欢喜的通状，田蕊妮的角色挺适合，其间还有提及对内地新娘的一些偏见，想到当下港人对内地的一些看            
(3星)	 打给田蕊妮和郑嘉颖            
(NA)	 我到感觉一般般啦，没有很新颖            
(5星)	 最后结局也是不敢这样啊！happy ending不行吗！            
(NA)	 只看欢乐部分就够了            
(NA)	 和楚楚一块看的            
(4星)	 结局太狗血了，不过剧情不错            
(NA)	 蛮好看哦            
(4星)	 结局好狗血= =            
(3星)	 结局处太惨，喜欢麦包和杜太这一对，对KC和蒙这一对还是没什么感觉。司棋姐还是老样子，道理多多            
(NA)	 死人超出场了那一下，呵呵了。剩女年年讲，这个深刻点，24，24，要努力。结局居然叫双K恋死了            
(4星)	 温馨的爱情小品            
(NA)	 力挺TVB，广州人啊            
(3星)	 看了挺甜蜜的感觉，喜欢蒙嘉慧。            
(3星)	 这片好在每个人都有非常明显的缺点，里面任何一个人都有能让你拿鞋底抽他的冲动，比较真实，没有烂好人，最好笑的一段是官恩娜那对，和印度人带他们去澳门那段，结局真是搞死人，编剧有病啊？是想说明龟毛的人死全家？还是那俩演员得罪编剧了？好吧，编剧是想说明珍惜眼前人，但是这样搞也太缺德            
(1星)	 我是真的看了一集受不了了。。好闷。。不喜欢女猪脚。不再喜欢男猪脚。。。港剧就是喜欢看熟面孔才有意思嘛~            
(3星)	 不是很好看，却是一场“与敌同行”的集体穿越。张承希没有在星光大道等到carmen；但是summer你贱个鸟贱，阿蚊已然该还的都还给你了。编剧很对得起你了kc童鞋。momo蒙嘉慧。            
(3星)	 一般性，郑嘉颖干嘛老戴着帽子，蒙嘉慧蛮好看的，剧情挺狗血的。            
(5星)	 简直是我的dream man!!!...            
(4星)	 典型笑中帶淚，沙發土豆劇集，推薦給要結婚的人看。不過，有的道理真的好少人懂。            
(4星)	 婚姻的美好，在准备结婚中的琐事。一部有人情味的剧。喜欢蒙嘉慧，无理由的。            
(3星)	 也就为郑嘉颖看看。不过蒙嘉慧的确配部了呢。            
(3星)	 还比较温馨啦```            
(NA)	 时装剧吧~结局有点不搭调            
(5星)	  这部剧让我迷上KC。            
(5星)	 笑中有泪的爱情故事，看完让人很有感触            
(NA)	 只因为郑嘉颖            
(3星)	 我想说啊 summer和阿蚊在一起之后的剧情是不是硬凑的啊。。最后几集都是快进看完的= =！            
(3星)	 可以改个结局吗，为什么summer同阿蚊的幸福要用阿king和kaka的死来成全。好sweet的剧，飞来一笔横祸，，，            
(NA)	 感人的片子，好看，说话挺逗的。结局让人意外，学会珍惜眼前吧。            
(5星)	 超级好看咯~~~YOYO真系靓到无朋友!!!!            
(4星)	 很喜欢里面杜太太的表演~~还有造型··她在剧中所诠释的角色应该是最有现实感的，时而小女人，时而耍老板娘脾气，又懂得顾全大局，这样的女人难怪老公疼·我看好田蕊妮，虽然她一直不是主角。  至于剧情前半部分节奏较好，后半部分个人感觉有些拖拉尤其在讲田姐和老公离婚这部分。总的来说值得看            
(4星)	 溫馨輕鬆的片子 斷斷續續的終于看完了 喜歡阿田！^^            
(3星)	 蒙嘉慧要上位了~            
(3星)	 还行！！！！！不怎么喜欢！！            
(4星)	 还不错的！            
(4星)	 这种都市小故事还是最得我心的，好过那些妖魔鬼怪，或是豪门恩怨。。结局的狗血扣掉一星，死的不明不白，真是。。。非要付出人命才能明白爱要付出、要迁就么。。。            
(NA)	 我也想做婚嫁行业...沾染幸福.            
(4星)	 最近比较搞笑的一部tvb吧            
(3星)	 没觉得有多好看= =好吧 果然温馨的不适合我            
(3星)	 每几集就一个小故事，挺好的，但是结尾不喜欢，那对情侣竟然~~~~            
(NA)	 珍惜。            
(5星)	 正常的港剧，看得我想结婚，哈哈。            
(3星)	 噢！这里面蒙嘉慧终于又和郑嘉颖在一起了！            
(3星)	 上了一堂课 ;p             
(3星)	 现在TVB貌似有段时间没出过好看的片子了吧            
(3星)	 结尾是什么屁啊            
(3星)	 完全冲着李司棋和田蕊妮来的.....男女主失望~            
(4星)	 愿意相信有真爱。            
(5星)	 很好看的一部剧~~Summer是个好男淫啊~~哈哈哈            
(4星)	 过程一直还可以，只是结局太仓促，死亡来的太意外            
(4星)	 挺好看的，在春天看真是暖人心窝呢！！！诙谐中带有种浓浓得感动，父母永远是为子女牺牲的一方。。            
(4星)	 Only You. Aber wo bist du, mein Lieber?            
(4星)	 最后的一集还是赚足眼泪的~为冗长的剧情画上句号~            
(3星)	 最近的TVB电视剧很不给力啊 都没东西看了 只好看这个 随便看看还算不错吧 蒙嘉慧和郑嘉颖都感觉好老啊~            
(4星)	 不喜欢这样的结局            
(NA)	 看完这集之后我觉得二叔这个人很实在很实在的。真的，不是乱说的。            
(4星)	 有些支线故事稍显无聊，扣一星。整体还是很轻松的，有泪点，有共鸣。            
(4星)	 中意only u里的装饰            
(NA)	 楊秀惠挺漂亮啊，還是沒能上位。結局太詭異了，爲了讓浪子回頭，居然讓黎諾懿這麼突然這麼悲催的結束。            
(5星)	 虽然有点婆婆妈妈的，情节也拖沓，可是好喜欢里面甜蜜的感觉。。。除了结尾牺牲的那一对。。。。为了成全之后的完美吗？唉            
(4星)	 除了结局有点狗血之外，整体说来不错。谁说小制作小成本小题材拍不出好剧，有时平平淡淡才最真。            
(4星)	 喜欢里面的各个角色……尤其喜欢only you老板娘和老板之间的情感生活，幸福的一家！！            
(3星)	 结局还是多好看的。因为自己心情原因，脆弱的哭了好多次            
(3星)	 演员缺钙编导缺锌啊！从头到尾都是扭脚！自爆不花钱啊？            
(NA)	 很好看！！            
(4星)	 还不错，好看，除了结局很突兀。            
(3星)	 痴线啊！最后一集还死主角！            
(4星)	 虽然男女主角很打酱油，剧情对婚姻的探讨还是有意思的，看得很欢乐。            
(4星)	 郑嘉颖戴起耳钉留起胡须吊儿郎当的超帅的噢亲！            
(5星)	 看到最後一集我表示十分無語。阿king和kaka是這樣的結局。哎。要挽回summer和一敏也不至於用這樣的方法吧，誒誒誒。血腥死……            
(3星)	 还好吧，我也觉得炸死新人有点过了。蒙嘉慧演中港女还有点看头。            
(4星)	 还可以            
(2星)	 结局有些悲伤，都快结婚了却死了，这样就让人醒悟，多为对方着想，一人退一步，海阔天空，可是为什么要用别人的死来成全他们的爱？            
(2星)	 其时我都是跳跳看，从每二集跳最后。            
(3星)	 一般般~            
(4星)	 一部很温暖的片。请珍惜眼前人。            
(3星)	 打发时间...            
(NA)	 就喜欢这样的happy end            
(4星)	 江玉郎啊。。。            
(3星)	 人情味            
(3星)	 全劇 我居然最喜歡的是KAKA他們結婚當日被撞屎的情節~我針變態啊~~愛好奇特啊            
(3星)	 不想怎么评论，还以为是一部职业剧中间发生了感情，看了才知道原来是爱情中有了他们的事业，只是各自的事业不同罢了            
(4星)	 除了结尾比较狗血…            
(3星)	 首集就看哭了，尾集又把我看得火大，点解要让King仔同KaKa死啊？跟大氛围完全不合的有木有？KC和YoYo身高样貌好fit，斗嘴互掐好有feel，点解配对CP却一点爱都冇？CP要讲气场的啊！！于是麦包和杜太全场最有爱，肥碑我好中意你啊！            
(5星)	 很不错的片子呢...            
(4星)	 磨磨唧唧的            
(3星)	 看过第一集            
(3星)	 其实剧情真的不怎么样，男女主角也不搭。但题材涉及婚嫁，然后剧名又很有幸福感，所以给三星吧。            
(NA)	 什么烂结局啊~~~编剧超傻B~~~！            
(4星)	 结局太悲惨。是不是非要目睹死亡，才能领会生存的意义。            
(4星)	 温馨种田剧            
(3星)	 还是可以的，只是结局太突然了，有点不好！            
(4星)	 喜欢郑嘉颖            
(4星)	 几个简短的爱情故事体味不同的爱情人生。            
(4星)	 郑嘉颖！！！很温馨的一部剧            
(5星)	 很好看啊！温情的~~            
(4星)	 结尾实在是，不想说，烂编剧，喜剧变悲剧，完全没必要。            
(3星)	 一般吧！            
(4星)	 蛮搞笑的，不过结局真的很坑爹。终于看完一部。感触良多：1.女人太强真的不好2. 不能女追男            
(3星)	 郑伊健你还不娶了蒙嘉慧            
(3星)	 刚看完 本想说很值得推荐 结果看到最后一集 真是一惊 不知道编剧是怎么想的 = =!!!            
(5星)	 小颖和蒙嘉慧都系我很爱噶，虽然他们在一起不是很称，但是依然爱他们，非凡哥同芯姐也很可爱，大爱他们连对，剧情就一般啦，最后kaka和king噶死太突然拉，为咗成就小颖他们，就死了            
(3星)	 tvb典型！生活中的电视剧            
(4星)	 还不错            
(3星)	 为了yoyo和郑帅搭档才看 片子实在很普通+废话 不过延续了TVB的温情路线 还是有点启发的~            
(3星)	 带上king和kaka一起，这个酒鬼人生的终点，结束的的却奢侈。这格格不入的一出叫人看到傻眼。            
(4星)	 人生无常！            
(4星)	 为什么编剧要让KAKA 和 景源死掉啦。。。。。            
