http://movie.douban.com/subject/2296999/	澳门街 澳門街
(4星)	 张智霖实在招人爱。故事看似圆满，可是，初哥哥却没得到圆满。            
(5星)	 有一種情愫一直揮之不去 每次聽到祝君好 &#34;寧願沒擁抱 共你可到老&#34; 就會泛淚            
(NA)	 祝君好            
(5星)	 梦嘎提醒我，才想起自己看过这片。歌很好听，当初觉得片子也很好看啊~~想温习了            
(5星)	 祝君好~~我好像重新看的~觉得很悲伤的主题曲~            
(5星)	 文初哥哥 欧 他都没有台词            
(4星)	 口哨什么的  有爱            
(4星)	 伦家小学以前好喜欢张智霖            
(4星)	 哎好多都不记得了~看到资料才想起来一些            
(4星)	 那个时候记得特别喜欢。~~~~~~            
(5星)	 只望停在遠處祝君安好，雖不可親口細訴。            
(3星)	 完全忘了讲的什么了。            
(5星)	 那个时候开始学白话的吧，初哥哥，祝君好，念起来就好听。            
(4星)	 虽然我特别不喜欢君好吧……            
(5星)	 文初哥~~~~~            
(5星)	 TAT看这部电视剧的时候我哭了。            
(5星)	 初哥哥。            
(5星)	 这大概是我唯一一部给5星却不愿重看的剧集。这部剧其实很好很好，每个故事线都有自己吸引之处，首次以短发出现的佘诗曼让人惊艳，她的演技也在这里终于开窍了。还记得初哥哥背君好唱“分分钟需要你”，很温馨很有爱，为什么最后要帮她选别人？结局太难以接受，前面有多深爱也枉然，重看也没意思了。            
(5星)	 愿君长好，己亦无悔            
(5星)	 哎呦喂初哥哥初哥哥初哥哥T33T初哥哥…………            
(5星)	 初哥哥～～～            
(5星)	 好看            
(5星)	 好看好笑超级感动，完全被文初哥哥俘虏了            
(4星)	 宁愿没拥抱共你可到老，任由你来去自如在我心底仍爱慕，如若碰到，他比我好，只望停在远处祝君安好，虽不可亲口细诉……这歌，这戏~太悲伤~阿佘这部演技突飞猛进啊！            
(5星)	 当时看得很难过，幸好可以安慰自己，这是电视剧            
(5星)	 偶喜欢  当年情            
(5星)	 喜欢文初哥            
(4星)	   很感动。            
(5星)	 哇！~ 当初是每集必追啊~            
(4星)	 结局不是我喜欢的            
(5星)	 连大爱都不能表达我对她的感情            
(5星)	 认识阿佘的第一部剧            
(4星)	 怎么都喜欢不上祝君好。            
(4星)	 初哥哥T T             
(4星)	 初哥哥！！            
(3星)	 完全冲着张智霖            
(5星)	 明明十月初五的月光这名字好多了好吗!!            
(5星)	 好钟意初哥哥！            
(5星)	 你好 祝君好            
(4星)	 催泪剧            
(4星)	 因为喜欢张智霖，所以即使有佘诗曼也义无反顾地被感动到。祝君安好，爱一个人也可以遥遥相望。            
(4星)	 初哥哥            
(5星)	 如若碰到，他比我好，只望停在远处，祝君安好。有一种爱叫成全。            
(5星)	 文初哥 喜欢张智霖            
(5星)	 美好的日子            
(5星)	   伦理温情题材的典范，我看了两次。            
(4星)	 催泪。            
(5星)	 考试周的时候时间怎么不够 也还是看啊看 哭啊哭的 学粤语什么的是浮云。。            
(5星)	 是我很喜欢的风格            
(NA)	 祝君安好            
(NA)	 只愿停在远处祝君安好            
(5星)	 一声叹息            
(5星)	 看哭了~~~~~~~张智霖太萌了-------哭啊            
(4星)	 挺温情一片子 重点是那时候的ssm还有babyfat            
(4星)	 明明就是十月初五的月光            
(5星)	 结局真好。初哥哥真好            
(5星)	 我也想有个初哥哥，最后来个happy ending!            
(5星)	 祝君好。            
(4星)	 最後的結局是做得真好，完全不是什麽大團圓又或者戲劇性很強的悲劇，分明就是生活。印象最深的居然是金勝和依文和他們各自的父母的關係。另，雖然我的主觀偏見如此之深，文初開番聲說出君好二字的時候又把我亂感動了一場。又另，《祝君好》真好聽~聽足二十集都沒快進            
(4星)	 完全是因为张智霖            
(5星)	 最初的感动            
(5星)	 挽住时光，不许动。            
(5星)	 点解呢度既分数咁低啊。。不行，，，顶上去            
(3星)	 感觉是很老的片儿了 怎么才2000年的 不过印象倒真不深了 尤其大家都极力说主题曲有多感人 真没印象了 有空要重温            
(NA)	 。。。。            
(5星)	 当时看完就想去澳门            
(5星)	 结尾看的我很郁闷            
(4星)	 很喜欢张智霖啊~~            
(4星)	 十月初五的月光，剧名多浪漫            
(NA)	 当年超喜欢看~~好像是那时候喜欢上佘诗曼的哦~~            
(NA)	 是你，让我爱上佘诗曼、爱上港剧            
(5星)	 张智霖各种帅...            
(5星)	 个人觉得是那个时候，最好看最真挚的港剧。            
(4星)	 十月初五的月光。            
(5星)	 我能说什么，可以有这么伟大的人吗这个世界？文初哥~~~            
(5星)	 喜欢chilam，赚了我不少的眼泪！            
(5星)	 宁愿没拥抱共你可到老……            
(3星)	 我始终不明白所谓的，就因为他更好，所以要放手的说法……            
(5星)	 到澳门的时候特别有感觉~~~小城真的很温馨~~小时候喜欢司徒，去年重温的时候还是司徒...            
(4星)	 祝君好啊            
(5星)	 最记得司徒记者抢过银鸡吹响时，镜头分别给三个人的表情特写，短暂地来回。我想导演回看这幕时，也一定会难过得要命。            
(3星)	 明明是十月初五的月光。。。一曲祝君好！            
(5星)	 始终挚爱初哥哥~~            
(5星)	 对这个片子有太多感动，好一个文初。            
(NA)	 当初特喜欢这里面的佘诗曼，性格多直爽啊。不过后来看多了她的片子，不怎么喜欢了。            
(4星)	 特别感动,傻傻的,善良的,文初哥            
(NA)	 当年的大仙真是美好到爆啊            
(5星)	 看这部片的时候还是高中生，现在已经即将成为父亲。这部片是最喜欢的一部电视剧。编剧的功力很深，演员都很出彩。            
(3星)	         很小的时候看的，对剧情记得不是很清楚，只是记得最后女主角那对孩子的名字“欢欢”“喜喜”，以及那几声我无法听见却能让男女主演动容的口笛声            
(4星)	 好久以前的电视剧             
(4星)	 啊佘转型之作            
(5星)	 文初哥~总有一种温馨残留在脑海中~            
(4星)	 多年前的感动，张智霖的文初！            
(5星)	 两个字，感人            
(5星)	 剧情、演员都很喜欢            
(NA)	 哦~~~那里面的张智霖让我真是......            
(NA)	 怎么能忘            
(4星)	 心痛著看   結局差了點            
(5星)	 哭了好多次啊好多次            
(5星)	 可惜了结局~~~~            
(5星)	 好希望文初可以和君好在一起~            
(5星)	 因为此剧爱上大仙            
(4星)	 在澳门找到十月初五街时多兴奋。初哥哥。。            
(4星)	 怀旧怀旧~~小马当年的青涩~~不过当时很悲哀   看到智霖哥哥装哑巴的时候。。            
(3星)	 那个时候不知道佘斯曼，知道君好。记得那个哨子。            
(5星)	 小学时候看过的电视剧 初中毕业那年再看 高三毕业那年重温 飙泪 祝君安好 记得那口哨声 记得初哥哥是世界上最好的人            
(5星)	 有个文初一样的哥哥很好。对哥哥每个女孩都会有那种依恋之情，很正常的，那并不是爱情。            
(NA)	 就是十月初五的月光....            
(4星)	 很多人看了此片都喜欢张智霖，可是偶却喜欢马浚伟。            
(3星)	 讨厌佘，可是张智霖太帅了            
(3星)	 好清纯的他们            
(5星)	 “宁愿没拥抱，共你可到老。。。”正如这句话，爱一个人，只要她幸福，即使没在身边，也能凭着那份思念，那份牵挂和你共到老。文初，是什么让你如此伟大？也许上天从小就夺去你的声音，但却赋予了你更伟大更值得去守护的东西——爱。所有观众值得被你感动，为你流泪，更为你祝福！            
(5星)	 寻着他们的脚步，我去澳门转了一圈。            
(5星)	 張智霖!!            
(4星)	 少给一颗星的原因是，为什么君好嫁的是那个谁而不是初哥哥！残念！！            
(5星)	 完美文初哥，超级催泪弹            
(4星)	 初中的时候大家都在看，还在回家的公车上讨论。            
(4星)	 那个时候不讨厌佘诗曼，那个时候她也很年轻。            
(5星)	 美好的回忆~当初难道选了文初难道过得就不会幸福吗？            
(5星)	 祝君安好。我到现在还留着片尾曲歌词。            
(5星)	 那一句 你好 祝君好 一切都只是那么自然的祝福 你好 我就好 我就不在乎那个让你好的人 是不是我~初哥哥 你好傻~            
(3星)	 冲着张智霖看的，还不错！~            
(5星)	 很温馨的片子            
(NA)	 好看            
(5星)	 那时很喜欢张智霖，找来他的片子看。看这个哭了好久啊。T T             
(4星)	 曾经好喜欢好喜欢的tvb剧，还有张智霖，那个时侯脸片头曲都迷得不得了            
(5星)	 超级好睇 感人！！            
(5星)	 好看啊～～一直想有个那种口笛～～～            
(3星)	 喜歡馬浚偉，但他完全砲灰，張智霖這個角色太讓人心疼了!女主性格太爛，不值得這麼好的結局，當時很討厭佘詩曼，幸好之後看的幾部阿佘的作品都不錯            
(NA)	 小时候看过的第一部有印象的港剧，那时候觉得祝君好很漂亮。。。            
(5星)	 哭了一整部的剧，文初真的是太悲剧了，张智霖不管是里面的初哥哥还是那首《祝君好》都太有味道了，难得的好剧~~            
(5星)	 重温那年看过的剧，眼泪汹涌。有些事，有些人，正因为失去了，那份爱才成为了永恒。你好吗？我很好。也，祝君好。            
(5星)	 怎么祝君好你就错过了文初哥。            
(5星)	 好心疼文初            
(5星)	 祝君好...            
(3星)	 主題曲印象深刻，可是劇情我記得好狗血啊…            
(5星)	 看了很多剧集，最喜欢的男性角色仍旧是澳门街里的文初，满满的都是怜惜和感动啊……            
(3星)	 有点受不了佘诗曼的声音            
(5星)	 看过2遍，看哭了，以前的港剧比现在的不知道好多少倍            
(5星)	 文初 听到吹哨子那刻 哭得稀里哗啦 还有 唐文龙 经典            
(4星)	 那个时候张智霖真的好帅            
(NA)	  记忆最深的一部电视剧。            
(5星)	 各种感情，海景对娇姨，文初和君好，金胜的义气，沛坚对海琳，海琳出嫁之前她爸讲的那段话也很有道理，真的都很感人            
(5星)	 想去的地方又多了个 澳门的十月初五街            
(4星)	 最爱Chi Lam的主题曲！            
(5星)	 十年后重看，依然哭得稀里哗啦。。            
(3星)	 哪个时候张智霖还被人叫做奶油小生。            
(5星)	 初哥哥            
(5星)	 哭得稀里哗啦的            
(4星)	 文初哥……口哨……            
(5星)	 很久以前看的，今天突然想起来，结局。。。唉～            
(NA)	 好似从这部开始喜欢佘诗曼            
(5星)	 我的青春哦，我的青春哦~~~             
(5星)	 文初应该是每个女孩心中的那个男孩吧。。。。。。。            
(NA)	 喜欢这种淡淡的感觉，很温情，还有那首张智霖那首感人的歌            
(5星)	 好感动的片子，我还记得结局。            
(5星)	 稀饭稀饭~~~稀饭死了~~            
(4星)	 n年前的劇……到現在的印象只剩下佘詩曼當時加大n倍分貝的聲音念對白和chilam首《祝君好》~有時間褒一褒番呢套劇也很不錯^^            
(4星)	 初哥哥。。。            
(5星)	 我很喜欢这连续剧，最喜欢祝君好。无需太多言语，只要初哥哥。            
(4星)	 也是以前看的，印象不错，挺喜欢主题曲的说~            
(5星)	 对这部电视剧的热爱无论看多少次都不会消减。很喜欢张智霖！            
(5星)	 很喜欢            
(5星)	 超好看。尤其是初哥哥。唱K都必唱 祝君好。            
(5星)	 真系好睇到爆~~~祝我好！            
(5星)	 我最爱的屏幕情侣之一。小成本跑出大成绩。            
(5星)	 感动 再感动的电视剧            
(3星)	 主题曲很优秀！非常有爱！            
(5星)	 结局太可惜了，哎，有些小虐，在这里我一点都不讨厌SSM            
(4星)	 我童年的时候看的。。。            
(5星)	 一群天蝎男  生不逢时男二号            
(4星)	 因为《鹿鼎记》噶关系好锺意马浚伟……佘诗曼噶男仔头性格几讨喜，虽然又系众星拱月，不过冇后黎咁反感            
(5星)	 小时候看的  很想重温一遍            
(5星)	 第一遍看居然没啥印象，回看才被深深打动            
(3星)	 强烈怀疑抄袭韩剧《我心荡漾》            
(5星)	 当年真是难过死了。片尾曲那两句还会唱。            
(4星)	 结局让我不能释怀            
(5星)	 当年的TVB剧现在真的无法比            
(5星)	 曾经迷过张智霖，觉得佘诗曼这部剧是她演艺生涯中最美的时候。            
(3星)	 太远了，不记得了。            
(4星)	 當年掀起了一陣澳門旅遊熱。。。。印象最深卻還是那首祝君好            
(5星)	 乜唔系叫“十月初五的月光”咩……都系呢条名好听……555，有点烂的剧竟然被看得伤心死……“初哥哥”同“祝君好”好好听……            
(5星)	 祝君安好            
(5星)	 记得有一幕，他很紧张，想说却无法说出来，而那个女孩已经转身离开。            
(5星)	 记得当年很喜欢            
(5星)	 故事人物感人哪，主题曲超好听！~            
(5星)	 人生的味道 苦辣酸甜 爱一个人好难 还是 其实爱一个人很简单            
(5星)	 文初和君好             
(5星)	 连续多年赚我眼泪            
(3星)	 可以看的港剧.            
(5星)	 唯一一部躺在床上捧着手机从前一天晚上7点看到第二天早上6点还哭得稀里哗啦的剧集            
(5星)	 张智霖很有演技啊，将一个单纯、善良、乐观的文初演活了，很可爱啊。倒是觉得佘诗曼没啥好看的，本来猜想她演这部戏的时候应该还是很青春可人的，没想到却暴露了演技单薄的一面，演得活泼过头了，太过娇蛮。            
(3星)	 澳门啊。。。            
(5星)	 大概是佘诗曼唯一好看的时候了            
(4星)	 某人何德何能啊。            
(5星)	 能够被那么多人同时爱着，本身就是幸福~            
(5星)	 好感慨，小时候的记忆了，感动于这种亲情与爱情。            
(5星)	 十年前中考后看的--被里面的欢声笑语吸引--十年后重温--才发现人生如同这部剧--想为一个人付出所有--那是超越爱情的存在--亲情--最美--现实--无奈--祝君好--            
(3星)	 编剧对女人有偏见吗？怎么没有一个讨人喜欢的的女人。张智霖所有的角色都是这种完美男人啊            
(5星)	 苦涩然而充满希望的结局，最喜欢的几部tvb剧之一            
(5星)	 非常感人            
(5星)	 很早看过，而且还翻看过，拍得唔错。            
(4星)	 祝君好什么都不懂.            
(3星)	 看张智霖的。            
(4星)	 又是一部我错过的好戏，这部好像在电视台里看到放过，但我大概就看了一两集，也要补课。。看完了。。好喜欢文初哥啊。。不喜欢那个结局。。            
(4星)	 这时候佘诗曼就让我讨厌了 一天到晚徘徊在文初哥身边 虐人            
(5星)	 最后的分分钟需要你深深打动了我。。。文初的确是个好哥哥。。。            
(3星)	 张智霖   like            
(NA)	 祝君好 君好吖            
(5星)	 经典啊，初哥哥，害我流了多少眼泪            
(5星)	 每每落泪。            
(5星)	 初哥哥            
(5星)	 依然是我最爱的TVB剧集            
(4星)	 结局太揪心，张智霖……            
(5星)	 爆灯甘好睇            
(5星)	 文初的祝君好            
(4星)	 杯具啊。。。            
(5星)	 最近的感动            
(5星)	 如若碰到 他比我好 只望停在远处祝君安好 虽不可亲口细诉            
(5星)	 祝君好            
(4星)	 张智霖~            
(4星)	 记得当初超喜欢看。一直记得啊佘叫“初哥哥”的声音。            
(3星)	 初3那是我迷佘诗曼还剪了她头发            
(4星)	 文初哥哥。            
(5星)	 最近心头的事情缠绕太多，莫名就想起这部十月初五的月光。第一次理解所有角色的剧，为何要责怪？这世上本没有纯粹的好人和坏人，更多的都是在命运中无奈的挣扎而已。文初，放弃之后要多久你才能够放下。还是一辈子也放不下。那一句你好，祝君好，连我都无法替你释然。。你真的好吗？祝君好。            
(5星)	 祝君好。            
(5星)	 还是张智霖，演一个哑巴，彻底把我征服了。。。。。。            
(NA)	 这也是一棵松放的。            
(5星)	 相爱的人，不一定能够在一起。幸福这件事情，很难讲所谓对错。只是很心疼文初，用我的遗憾，成全了你的碧海蓝天。            
(5星)	 初哥哥，当初为什么放下祝君好！好想再看你载着君好冲下大三巴。            
(5星)	 永远的初哥哥            
(5星)	 喜欢文初他们            
(4星)	 喜欢张智霖啊，超感动的。喜欢文初。默默付出的男孩            
(4星)	 一座小城，一些以为不会分开的人，那些场景多年以后消失不见            
(4星)	 不知咋的有种压抑的感觉            
(NA)	 我記得 佘詩曼演的在 澳大 念書。我一直很喜歡喲            
(5星)	 太喜欢文初了，当年的佘诗曼真是年轻。。            
(5星)	 大仙哦大仙，必须赞一个。。。            
(5星)	 永远的初哥哥~            
(5星)	 君好 初哥哥            
(5星)	 当年美好的初哥哥与君好，阿佘最美的时光，里面的每个人我都喜欢。            
(5星)	 十分感人            
(5星)	 可以说是最爱的港剧..文初这个角色令我心疼啊。            
(5星)	 宁愿不拥抱共你可终老~            
(4星)	 寧願無擁抱,共你可到老.            
(5星)	 追忆......祝君好~~            
(5星)	 第一次知道张智霖，被秒杀了，文初哥……            
(5星)	 以前没怎么看，这两天终于玩玩整整的看完了，很感人，文初太好了，一直为君好着想，喜欢张智霖！！            
(5星)	 被初哥哥深深吸引  感动 不言而喻~~            
(5星)	 初哥哥            
(5星)	 好久没有看到如此贴心的剧了，心底总有一点点的刺痛。亲情友情爱情，很美的诠释。喜欢这里的人们，尤其是文初。喜欢这里的故事，喜欢这里的配乐，喜欢所有~              
(4星)	 对张智霖纯情的眼神印象深刻~            
(NA)	 初哥哥的隐喻就成了一生的惋惜            
(3星)	 追得少，断断续续型。 因为讨厌这种剧情            
(5星)	 最爱            
(5星)	 赚足热泪。            
(4星)	 初哥哥，或许是tvb无法再次塑造的经典很多年以后，依然喜欢chiliam            
(5星)	 初哥哥~~祝君好！            
(5星)	 很感人，喜欢主题曲-祝君好            
(4星)	 张智霖你好帅！！！            
(4星)	 第一次知道佘诗曼，那会儿还传他和张智霖的绯闻            
(4星)	 很好看，温情。张智霖佘诗曼看起来很舒服。            
(5星)	 经典            
(4星)	 星星打給初哥哥            
(5星)	 永远的君好！永远的文初！祝君好！            
(5星)	 后来去澳门还专门找了这条街            
(4星)	 T__T            
(4星)	 文初是我的最爱，Chilam演的很棒的说……在澳门还特意在当年的场景拍照留念，呵呵……            
(5星)	 很清纯的片子~好怀念当年的他们呀            
(4星)	 从这部剧开始喜欢 张智霖 的~            
(5星)	 太喜欢初哥哥了            
(3星)	 讨厌佘诗曼            
(4星)	 好人有好报恶人有恶报= =            
(4星)	 那时候的阿佘真是青涩吖~~弄个男仔头~~            
(NA)	 我最喜爱的电视剧之一，高中的时候睇的，再睇依然很感动，喜欢初哥哥，里面那首《祝君好》都系好好听~~            
(5星)	 很纠结到底文初是不是该放弃君好，如果君好最后和初哥哥在一起，是不是会幸福到心底最深处。爱情和面包，在天平上那端会沉一点。其实君好不傻，她最后跟着马浚伟去美国，究底还是选择了面包。但最后当她回到澳门，再次面对初哥哥的时候，是不是要上演一段廊桥遗梦呢？            
(NA)	 感觉很好            
(5星)	 也许最最开始的时候，就是因为这部剧所以才萌生了学手语的想法而那首片尾曲至今哼起还是觉得很感人。。            
(5星)	 祝君好。            
(NA)	 小文初~真可怜~            
(5星)	 初哥哥～            
(5星)	 十月初五的月光            
(4星)	 那時候看的好感動...            
(3星)	 非常讨厌装可爱的佘大妈            
(4星)	 我对佘诗曼最初的感觉真的很好~            
(5星)	 看着真让人心疼~不过或许是一个很好的结局。            
(5星)	 人物性格很真实            
(5星)	 他写出了平凡家庭的温情与关怀，他让一家人的故事变得令人落泪            
(NA)	 我上初中时演的吧 第一次看见佘诗曼            
(5星)	 很温馨的片子。张智霖演得好好哦。马浚伟的角色绝对完美。不明白从小一起长大的人除了兄妹情怎么还会想到别的。            
(5星)	 很早以前看过的，真的很感人，很可惜的爱情            
(NA)	 唉，初哥哥跟Q姨付出了多少。祝君安好。            
(4星)	 最爱既港剧...            
(5星)	 一个女人的三种感情。            
(4星)	 受不了佘诗曼演个万人迷。。。            
(5星)	 文初。。            
(3星)	 结局…… 不然4星            
(4星)	 佘诗曼的本色。仓促的结尾。            
(4星)	 挺感人的            
(4星)	 超喜欢那首祝君好~            
(3星)	 看了好多遍才看完            
(5星)	 好喜欢那时的曼曼            
(5星)	 甯願沒擁抱 共你可到老 任由你 來去自如在我心底仍愛慕            
(5星)	 還記得那時年少，君好隔著公園的小溪，對著另一邊的文初，“我想你”，是我聽過第一句情話，從此我再沒有覺得錯過是一件好事。            
(5星)	 如若碰到 他比我好 只望停在远处祝君安好 虽不可亲口细诉            
(5星)	 初哥哥～～～～            
(3星)	 不喜欢佘诗曼~            
(4星)	 你好，祝君好，祝君安好。            
(4星)	 港剧还很少有这么感人的真诚的感情呢            
(5星)	 我最愛的一套tvb劇,只是覺得結尾佘詩曼的那段獨白有些做作            
(3星)	 都OK            
(4星)	 那时候对佘诗曼的感觉还不错。            
(4星)	 走在澳门街头，有种回忆中的乡愁~这部片子就弥漫着这种浓浓的感情，平淡中的温暖感动！            
(3星)	 一直拿好人卡的初哥哥~~            
(4星)	 第一次看佘诗曼和张智霖，那声‘初哥哥’和《祝君好》到现在还记忆深刻            
(5星)	 看后有点心疼            
(5星)	 很温馨的片片~            
(4星)	 祝君好，祝君安好            
(4星)	 从此记住阿佘            
(4星)	 真实            
(4星)	 看着看着心都会碎            
(5星)	 每次看到都会流眼泪，很隐忍的爱            
(5星)	 心中的tvb no.1   经典到觉得这能是tvb拍的么            
(4星)	 一代经典，令人怀念。            
(4星)	 感动文初哥哥            
(5星)	 愛她，就是要讓她過得更幸福！            
(5星)	 哭了好多遍，初哥哥，哨子，祝君好            
(4星)	 我超中意呢部。。。。首歌还记得怎样唱            
(5星)	 好喜欢~经典.感动            
(5星)	 那时候的tvb多好            
(5星)	 每个人的故事都很深刻            
(5星)	 哭死我了            
(4星)	 爱一个人就恨不能把全世界最好的都给他 若然有人能够给予他更大的幸福 就亲手把他送到那里去            
(5星)	 君好,只能说妒忌这样的女人,没心没肺的样子,却能集万千宠爱于一身一样            
(NA)	 初哥哥            
(3星)	 还可以。淡淡的忧伤。隐忍的坚强。割舍的伟大。            
(5星)	 我认为是我看过最好看的tvb剧集，从那时开始喜欢阿佘，chilam，里面每个人都演得很好，简单的剧情，真挚的感情，现实而不做作            
(NA)	 祝君好            
(4星)	 很早以前看的片子了，不过还记得里面有一个很别致的哨子，看完片子的那阵，我还特地去买了个差不多的挂着玩。            
(4星)	 好怀念。            
(NA)	 我不明白君好何以那麼受歡迎            
(3星)	 文初啊文初 不中意君好            
(NA)	 当时喜欢文初，那个不说话的文初。            
(5星)	 文初哥哥实在太好了。            
(5星)	 该剧温馨感人，张智霖的表演细腻真切，颇有震撼力！            
(3星)	 超中意张智霖啊            
(5星)	 换成是其他人演祝君好会更好            
(3星)	 十年了~~            
(5星)	 温馨片，张智霖帅哥            
(5星)	 一部感觉很不一样的TVB剧            
(4星)	 祝君好            
(NA)	 当年就非常心痛文初哥。想当年那个当年我才几岁啊。。小学。            
(NA)	 大结局颇囧，有情人竟然没有终成眷属，主题曲很好听～            
(5星)	 祝君好 文初哥             
(5星)	 他叫 十月初五的月光  很久很久了 不过 一直很喜欢 初哥哥 祝君好那首歌 还有 分分钟需要你            
(5星)	  再说一次，前一半笑得前仰后合，后一半哭的稀里哗啦……            
(5星)	 如果有一个哨子，那麽文初哥哥就不会寂寞。            
(NA)	 从此，爱上阿佘            
(5星)	 那首祝君好。            
(5星)	 君好：“初哥哥”，文初：“你好，祝君好”            
(4星)	 其实剧情已经记不得了，，只记得音乐很好听，，祝君好            
(5星)	 小时候看到哭的电视剧            
(5星)	 多年以后，两人在顺德乡下的河滩上重逢，音乐响起，电视前的我已是泪流满面......            
(5星)	 很好看的一部电视剧            
(4星)	 很不争气的为了这个结局第一次没睡着觉，恨不得飞到香港找编剧从写结局。算是一种遗憾吧，至今不敢再看一遍，怕还想以前一样纠结～            
(4星)	 【我最爱的⑩大情侣 之 文初❤祝君好。】            
(5星)	 最爱初哥哥            
(4星)	 &lt;祝君好&gt;            
(4星)	 55555555555            
(4星)	 令人感动的戏，好听的主题曲，《祝君好》            
(5星)	 当时看了好感动呢，特别是文初哥最后吹笛子的一段。            
(3星)	 文初与君好。            
(5星)	 佘诗曼在这很让人印象深刻的            
(5星)	 原本叫十月初五的月光~~~很好看~            
(5星)	 “你好，祝君好”            
(5星)	 情深            
(5星)	 感动            
(5星)	 喜欢文初哥的三长两短口哨声            
(NA)	 还蛮不喜欢这个时候的佘佘。。。但是很喜欢初哥哥啊。。。还有澳门好看的风景好吃的小吃。。            
(4星)	 有一种爱叫做放手。放手的感情才来的更伟大。            
(5星)	 霖霖~~~啊~这个绝对是我的大爱，初哥哥！。。。            
(5星)	 最令我感动的一部电视剧..            
(NA)	 永远的初哥哥。            
(5星)	 文初哥~~当年的最爱啊~~            
(4星)	 很好很凄美的爱情 还有那首祝君好            
(NA)	 被最后一点虐得稀里哗啦~~最后只有祝君好            
(2星)	 完全受不了佘女人~~~            
(3星)	 从这片看起，就十万分讨厌佘！！！            
(NA)	 love love love            
(NA)	 怀念那个年代...            
(4星)	 喜欢里面那首歌《分分钟需要你》，好象是林子祥的            
(5星)	 仔细想想，很喜欢张智霖的表演。不管本剧中那个痴心的哑巴哥哥，还是《射雕》中傻傻的靖哥哥。            
(4星)	 挺好看的            
(4星)	 閉起雙眼你最掛念誰，眼睛睜開身邊竟是誰。——君好與文初 (《澳門街》) 　　對於君好，其實遇上司徒禮信，嫁給他，本身都是件幸事；但當生命中有了一個文初哥，這別人眼中的幸運，就有了一絲苦澀和無奈。 　　初為人母的少婦，熟悉的口琴聲和少年們的歌唱，她滿目是淚。陽光下閃爍的那背影，他回頭給出個微笑，很遠也很近，你好，祝君好。 如若碰到，他比我好，只望停在遠處，祝君安好...初哥哥，祝 君 好            
(4星)	 文初真的是好男人啊，不过司徒的确各方面条件更胜一筹，也是真心喜欢君好，究竟和哪个会幸福一点，真的很难说阿            
(5星)	 善良到想哭            
(NA)	 2008.4            
(NA)	 看得比较全的港剧...感觉很好...            
(4星)	 因为这部戏，喜欢张智霖．            
(NA)	 favorite.            
(3星)	 张智霖有点老了，还是很迷人            
(5星)	    喜欢张智霖扮演的那个角色。这是自己记忆中印象最深的中文电视剧。            
(5星)	 当年妈咪好中意嘎～            
(3星)	 [BSc] 赚人眼泪 令人郁闷            
