http://movie.douban.com/subject/2144485/	渴望
(4星)	 还是挺真实的。- -            
(3星)	 老妈的最爱!!            
(5星)	 经典啊!            
(3星)	 父辈最爱            
(3星)	 王朔            
(3星)	 这刘慧芳善良的都有点缺心眼了！            
(4星)	 = =我一看到还能想起来那歌。。。            
(3星)	 据说是当年万人空巷的剧耶……            
(4星)	 我娘说，又是我娘说，某只还在襁褓里一听到这剧主题曲就欢乐地惊醒。            
(4星)	 当初的好人一生平安可谓红遍大江南北啊！            
(4星)	 曾经的万人空巷，都为了这样一部家庭剧，相信这是个无法超越的历史时刻            
(4星)	 每次想哭就翻出這部劇來催淚……            
(5星)	 父母辈经典，悠悠岁月~            
(NA)	 从18直接跳到40开始看，好像剧情还比较连贯            
(NA)	 主题曲连我老母都会            
(5星)	 就因为那个时代的万人空巷，还因为那首歌...            
(4星)	 超悲情            
(4星)	 哭得稀里花啦的，慧芳，苦女啊。北京人当年还是很热血的，演坏男一号的伙伴一出门在当年就会被人打的说。            
(4星)	 当年那是不得不看一样            
(4星)	 它的热映伴随我的诞生            
(3星)	 记忆里看的第一部连续剧 虽然现在已经不记得剧情是什么了 但还是永久的留在记忆里 因为是陪爷爷奶奶一起看的            
(4星)	 第一次认识到婚姻是可怕滴            
(3星)	 当年的万人空巷,现在却觉得也不过如此,经不起咀嚼,            
(NA)	 应该中国大部分人都看过。。。            
(5星)	 好像那时候电视上只播这个            
(NA)	 我一直觉得这大概是我妈回忆最深的剧            
(4星)	 这是我上幼儿园时候的电视剧了，是父辈的回忆吧            
(3星)	 当时年纪还太小，可我是真的不爱看苦戏。。。            
(5星)	 那时，主要家里有电视的，谁不看这本。            
(4星)	 也是因为妈妈 看过            
(5星)	 妈妈最爱看的  童年记忆            
(NA)	 小时候看不懂，只会唱悠悠岁月你说当年……            
(NA)	 情节基本上不记得了，但是我人生中的第一部电视剧。。。孙大成。。。            
(4星)	 这片好就好在演员说的台词都是人话，听着亲切而又真实，不像现在的电视里，人都不说人话。不过讨厌刘慧芳扭扭捏捏那样，打着奉献的幌子寻找资产阶级小情调，王沪生也是一头白眼狼，总而言之，混蛋的文革毁了多少人的人生幸福！            
(4星)	 1990年时代变迁            
(3星)	 没印象了            
(4星)	 跟着妈妈看~            
(3星)	 忘了啥剧情了，就记得刘慧芳。            
(4星)	 我国第一部连续剧还是不错滴。            
(4星)	 还记忆那首歌            
(NA)	 什么都不记得了，只记得我看过。。            
(4星)	 故事已经遗忘了，只记得那首歌。            
(4星)	 当年万人空巷来着            
(5星)	 很规矩的一部戏，现在看发现有很多可研究            
(5星)	 分给的好低啊            
(3星)	 當年爸媽看的是稀里嘩啦...            
(4星)	 万人空巷            
(3星)	 90年上映!!! 那我三岁就开始记事了嘛            
(3星)	 很久以前看的，印象里面还不错。            
(4星)	 虽有些戏做的过头，却仍是真情弥漫。            
(NA)	 刘翠芳，你有房            
(4星)	 模模糊糊有点印象...            
(4星)	 当年看的那叫投入。。。            
(3星)	 收视率90%+——前无古人后无来者的小成本国产电视剧            
(4星)	 已经想不起剧情的记忆            
(5星)	 那个年代的人真的很单纯，不像现在，啥人都有~~            
(4星)	 我妈很喜欢~            
(4星)	 或许不错吧？没怎么看过。。            
(4星)	 一直觉得我妈妈把自己弄得跟那个自己家愣说是自己才是别人家抱来养的姑娘是的那个小丑胖子丫头~啊哈哈哈哈哈哈哈！！！！            
(5星)	 一代人的印记            
(5星)	 儿时的记忆，剧情都忘了，就记得主题曲            
(3星)	 当年万人空巷的肇事者啊~~            
(4星)	 好人一生平安，可惜现在是好人不长命，祸害活千年            
(3星)	 没有满分是因为，当年我如此的对这部剧十分反感。。。到现在仍然如此。。            
(4星)	 偶爸妈的最爱            
(3星)	 我妈妈特喜欢            
(5星)	 八十年代末九十年代初，村里只有一台电视机。。。。            
(3星)	 只记得主题曲了……            
(4星)	 悠悠岁月            
(4星)	 不知现在看是什么感觉？            
(NA)	 内容不太记得了，童年全国大热的剧，影响力太大嘞            
(4星)	 好人一生平安            
(NA)	 看过，但那时不懂在看什么，就是跟P的看。            
(4星)	 当时看不太懂，只知道跟着妈妈一起讨厌王沪生哈~            
(3星)	 被逼的，哥，你懂。。。            
(3星)	 童年时的记忆，具体讲啥也记不太清了。不是很喜欢这种题材。            
(3星)	 首部室内情景剧。            
(4星)	 这个也不用说了，凯利演的慧芳实在太过贤惠            
(3星)	 当年犹记得，可恨的王复生            
(4星)	 小时候的记忆 加得没完没了了            
(NA)	 小时候完全搞不清这堆人是什么关系            
(5星)	 感动！好看！            
(4星)	 据说是烘动一时的电视剧，小时候不知道，后来出于好奇看了，可能时间不同吧，也不至于轰动啊。。。。            
(5星)	 有没看过的么？            
(3星)	 看没看过，已经不记得了，只知道主题曲会唱哈！            
(4星)	 哈哈哈 80后几之前出生的童鞋们 谁敢说没看过这个！            
(5星)	 我爸现在还哼那个歌...            
(NA)	 神马时候都不乏圣母啊~~~~            
(5星)	 我不知道自己为什么这么爱这部片子。。。。            
(3星)	 不是很清楚剧情了，但是小学初中的时候，常常出现在电视中            
(4星)	 我爸我妈乐意看，自己也跟着看了好几遍可就是记不住剧情，哈哈哈哈。            
(4星)	 当时的人生观价值观            
(3星)	 缘——前世注定的东西            
(4星)	 我们选择了被扭曲.            
(3星)	 很久以前的啦            
(1星)	 当年看就不喜欢，至今依然觉得烂            
(3星)	 老悲情了~~            
(3星)	 慧芳嫁大成多好            
(5星)	 最大程度的接近那个年代            
(NA)	 很小时候看的 印象还不那么模糊的电视剧            
(4星)	 怎么有那么含辛茹苦照顾别人孩子的人啊            
(4星)	 小时候，好像家家户户都在看。眼泪都一把把的。            
(3星)	 内容记不得拉            
(3星)	 三姑六婆百看不厌。我只对1集情有独钟。            
(4星)	 当年万年空巷的连续剧，多家年后再看，觉得确实应该空巷            
(3星)	 当年好像家家都在看...            
(4星)	 那时候可是万人空巷啊。            
(5星)	 岁月的故事            
(3星)	 实在太脸谱。            
(NA)	 童年的记忆，那首歌当年很流行，我也会唱            
(NA)	 爸爸妈妈当场很爱看的电视剧~            
(4星)	 当时还小，还看不太懂            
(3星)	 很小的时候看的            
(4星)	 忘了讲啥的了....            
(NA)	 有过多少往事，仿佛就在昨天            
(NA)	 这类型的苦情只能发生在七、八十年代            
(4星)	 小时候对电视剧的记忆是伴着渴望的主题曲开始的            
(4星)	 当时感动过整整一代人吧            
(4星)	 不太记得了 就是小时候大人看 我就跟着看 小孩看不懂大人的人生  小时候电视观看            
(3星)	 太老的电视了  内容都快忘的差不多了            
(5星)	 现在看来依然是经典            
(NA)	 啥也不知道 就听过那歌 但我真看过..            
(3星)	 没有印象了……            
(5星)	 我想《渴望》应该是父母那一辈人心里最为经典的电视剧了，没有任何一部能超越。所以我给5颗星，即使我不会再去看第二遍。            
(2星)	 我最怕听到此片的主题曲，好烦好郁闷啊，遥想小学时妈妈看重播，我都要憋到 内伤了。            
(5星)	 从这部开始欢喜看电视            
(5星)	 当年的万人空巷            
(NA)	 回忆呀 回忆            
(5星)	 听主题曲的时候会。。            
(4星)	 对两首主题曲的印象远胜过电视剧本身。            
(NA)	 那个年代我们家刚买了电视机，全村人都喜欢看            
(4星)	 最早看的电视剧...            
(3星)	 没怎么看，就是说一个好人            
(3星)	 家里人抢了电视机看渴望...            
(3星)	 好多老百姓喜欢看渴望,可是我知道他们的生活比渴望里的坎坷多了            
(4星)	 俺妈看了一遍又一遍~            
(4星)	 那个年代算是好剧啦，至少那首歌传唱到街头巷尾            
(5星)	 其实真正看的时候是重播了，但还是发现，很不错            
(4星)	 其实都忘了故事情节了            
(3星)	 记忆里看过的最早的电视剧            
(4星)	 小的时候妈妈阿姨们看的电视剧，记得那首歌            
(3星)	 并不欣赏那种价值观            
(1星)	 SB和中老年底层妇女的最爱            
(4星)	 记得小时候和大人一起看来着。。。剧情都记不得了。。。            
(3星)	 万人空巷看渴望。。。            
(4星)	 那时候没有电视剧看好像，童年的记忆啊，主题曲和插曲都会唱，因为买了一整盘渴望专辑。。            
(4星)	 印象不怎么深，可能当时自己太小了，所以已经记不得了！            
(4星)	 那个时候的绝对热剧            
(1星)	 給很差的原因是當時我還很小 根本不知道他們在干嘛 看得很憋氣            
(3星)	 在我还是个毛毛头的时候看的，俺爸爸说慧芳是男人的梦中情人。            
(3星)	 刚要上小学时看的            
(3星)	 这个不适合我当时那年龄懂啊            
(5星)	 人的一生，走过多少个春夏秋冬，经历和背负了多少的儿女愁肠，才迎来最后天伦之乐呢？当韶华流逝，恍然大悟之时，所渴望的不过是弥补而已。满目青山空念远，不如惜取眼前人。            
(5星)	 当年的经典。估计现在再看这种乡土剧，也就一个字能形容了吧，土，呵呵！            
(3星)	 这是我小时候最讨厌看的电视剧 天天播 没完没了的播 印象中就是渴望 然后刘慧芳 都不记得啥内容啦 就记得一个字 惨            
(5星)	 纪念亲爱的人~~~~~            
(NA)	 记录            
(5星)	 看的时候还小  记不得剧情都            
(4星)	 算是为我妈评价的吧……骗了咱家不少纸巾……            
(3星)	 貌似老妈当年怀我的时候风靡一时，可直到我“亭亭玉立”了她才看完...            
(4星)	 哈哈哈。喷渴望……            
(4星)	 小时候电视里经常放，万人空巷的效果哦，厉害。            
(4星)	 都快忘了            
(4星)	 遥远的回忆            
(3星)	 跟着爸妈看过            
(4星)	 不理解那段婚姻            
(3星)	 老小老小的时候看的了。            
(5星)	 虽然从社会性别的角度来讲，这部片子的立意是有问题的，不过在当初这部片子可真是吸引了无数观众啊！            
(5星)	 印象最深的，小时候            
(5星)	 我姥姥、我妈都爱看            
(4星)	 估计是我看的最早的连续剧了 唯一记得的情节就是双胞胎妹妹把脚烫伤了            
(4星)	 我爸妈喜欢看呀 那个时候很火的             
(3星)	 那个年代的那些事儿！            
(5星)	 最近又有卫视重播了真不容易，离我上一次看完全集至少都十年了OTZ            
(3星)	 剧情已经记不清了  只记得那是一家人味坐看《渴望》的情景   还有那首旋律~            
(NA)	 确实是很悲的，虽然当时啥都还看不明白~            
(3星)	 都快忘记了            
(NA)	 又想起了苦大仇深一脸苦相的宋大成            
(4星)	 快想不起来了            
(4星)	 看过，什么都不记得了，只记得歌            
(4星)	 豆瓣怎么总推荐这么怀旧的片子。            
(5星)	 知道什么叫万人空巷吗？1989年冬天的中国内地的周二晚上，街上没人了！            
(3星)	 当初很感动            
(5星)	 童年印象中　挺感人的　            
(NA)	 老片儿            
(NA)	 小时候，跟着家长看的            
(5星)	 那时太小了，哪记得好不好看，反正妈妈爱看，O(∩_∩)O~            
(1星)	 此剧使中国妇女解放进程延缓10年，罪大恶极            
(3星)	 只记得歌曲了~~            
(5星)	 当年爸妈疯狂追逐的剧            
(4星)	 我妈当年追的剧            
(NA)	 小时候和姥姥一起看的～            
(4星)	 陪老妈看过一遍又一遍            
(NA)	 万人空巷——渴望再次出现            
(5星)	 出水痘的时候奶奶天天抱着我看            
(3星)	 今天看固然缓慢矫揉，但当年确实万人空巷。            
(5星)	 其实我不喜欢这个片子的结尾            
(5星)	 那时，貌似全国就只有这一部电视剧。。。            
(5星)	 最感动的记忆            
(3星)	 我从小就不喜欢刘慧芳那样的好人。            
(3星)	 其实我从小到大这个看了无数遍了，但是我还是不明白里面的悲情点。囧。但是我得说和大多说现在的电视连句比起来，这个还是好看的。            
(4星)	 中国第一部室内剧好像是            
(NA)	 完全不记得了~ 但小时候每天都看            
(3星)	 其实我不怎么记得了。。。。            
(3星)	 童年记忆            
(3星)	 我小时候睡中觉起来我妈必定在看的电视。            
(NA)	 第一次看电视剧哭得稀里哗啦            
(4星)	 念念不忘的人生无奈，当小芳和冬冬争吵是妈妈先坐，还是肖老师先坐时。            
(NA)	 看过都忘记了~ 主题曲很动人~            
(4星)	 你的主题曲令我难忘            
(3星)	 差不多都忘了            
(NA)	 favourte            
(NA)	 悠悠岁月。。。留下真情难诉说。。。            
(NA)	 老爸老妈时代片            
(NA)	 虽脸谱化，却开启了家庭社会认知            
(NA)	 插曲不错，只是再一次看的时候没有了当初揪心了~            
(4星)	 当时也算是万人空巷吧            
(4星)	 看不出深意            
(3星)	 打开电视，满眼皆渴望~            
(NA)	 哪个台又开始播了 。。。。囧            
(3星)	 嫁人就嫁宋大成 娶妻当娶刘慧芳            
(NA)	 渴望             
(5星)	 平民的生活还是很赞的，有血有肉            
(3星)	 已经忘记内容了            
(3星)	 小时候妈妈看什么我也得看什么            
(NA)	 居然看了不下一遍，汗            
(NA)	 小时候躺在床上跟妈妈一起看的电视剧            
(NA)	 太惨了- -            
(5星)	 小时候看过，记得那时候家家户户都追这部连续剧。有机会还要再看一次！            
(3星)	 啊，小时候看的，全忘了……            
(3星)	 小时候看的，没太多印象了            
(NA)	 剧情完全不记得了，唯一的印象是播出时，万人空巷，全守在家里等着它呢            
(NA)	 去年重看渴望。还是一样经典。            
(4星)	 万人空巷            
(5星)	 很久很久了，那时我几岁而已            
(3星)	 没看完，不知道为什么当时那些大人们这么喜欢看，是够悲情的了。            
(5星)	 妈妈一边看电视一边打毛衣。            
(NA)	 这样的戏成功一部分在于细节的真实.            
(NA)	 谁能告诉我,是对还是错            
(NA)	 ……            
(3星)	 当年那个叫万人空巷呀，其实我啥也没看懂，跟着家里人看的            
(3星)	 那时年纪小，基本没看懂            
(3星)	 第一部 第一部。。。虽然当时没怎么看懂。。。            
(NA)	 风靡一时            
(NA)	 我老妈比较爱看            
(NA)	 有一个很久很久以前的故事。。。。。。。            
(4星)	 慧芳。。            
(NA)	 317            
