http://movie.douban.com/subject/2157132/	少年包青天Ⅲ之天芒传奇
(2星)	 越拍越差了            
(5星)	 这么多年了，重感情不重剧情，更何况那些眼泪不是白流的。            
(5星)	 这么欢乐并虐着的片子，cp众多，哪里找啊            
(5星)	 公孙策。温润如玉。            
(5星)	 我前几天才在自己电脑上看完该剧。2010年12月。            
(3星)	 小童星,长的都不灵光了            
(3星)	 一颗星星给邓超，一颗星星给赵阳，一颗星星给闪瞎眼的JQ。            
(3星)	 公孙策太让人难受了            
(3星)	 3颗星全给亮点公孙策！承认吧！女主角也掩盖不了他的光芒！            
(3星)	 我 了 个 去 我 完 了 ！            
(NA)	 释小龙，唉，长大了真是不知道说啥好了            
(1星)	 就这还能第三部，我内牛满面            
(3星)	 整个剧情安排非常好，但是，中间调侃的台词过多，显得有些讨厌。            
(3星)	 公孙策啊，嗷嗷嗷嗷嗷            
(5星)	 大包。。很搞笑啊。小蛮很漂亮。。唔，这个版本的公孙太有爱了~            
(3星)	 包策前面和后面腐的让人情何以堪阿..!!!!中间和女淫们的情感戏直接忽略＝＝！！案子虽然有抄袭嫌疑，但是还是很有意思撒～            
(3星)	 电视剧恶搞居多。不过作为一个绝世小受，公孙哥哥还是挺不错的。            
(4星)	 土豆太模糊。。。我看不清邓超长神马样子。。。            
(4星)	 我其实只是比较喜欢邓超而已……黑            
(3星)	 为毛换掉任泉！            
(4星)	 虽然网上对其评价很低 但我还是很喜欢 初中时看的呢 喜欢里面的公孙策 大包 小风筝 展昭 喜欢他们三个人之间的友谊 在现实社会中 应该是没有的吧 叹息。。。            
(2星)	 包拯傻了、展昭恋爱了、公孙策不小心掉坑里了= =但策美人我真挺喜欢你。。            
(3星)	 一部不如一部。。。悬疑的优点过了头。。。            
(4星)	 我喜欢三的氛围和无奈            
(3星)	 這個系列三部換了三個包拯 第三部沒怎麼看 印象裏是第一部好看            
(3星)	 还是喜欢第一部的搭配。邓超不是太憨就是太正经，不似周杰版的好。不过女猪脚看起来都还蛮养眼的。你看到的可能不是真的看到。            
(3星)	 打发时间用的，也就是电视剧的一般桥段。不过由此剧开始喜欢上了邓超，会keep住关注这位演员的。            
(3星)	 比之前两部多了些乐的剧情。。释小龙也有感情戏了。。话说从《旋风小子》开始，我就是看着释小龙长大的……            
(2星)	 第三部就开始没法儿看了~            
(3星)	 展昭啊，怎么早恋~~~~~~十分不喜欢那仨女的            
(1星)	 不知道为什么，就是很讨厌这部            
(4星)	 那年假期，在乡下。一台电视机只能受5个台，其中三个台是重复的。都在演这个。一直抗拒这个片子，但是太无聊了只能看这个。下午看的都入迷了，晚上再继续看风云。            
(3星)	 其实当时真觉得还成。。。吧            
(5星)	 可爱的大包，可爱的公孙博学，可爱的展昭少侠，可爱的小蛮，可爱的小风筝，可爱的小狸            
(5星)	 赵阳古装大萌，贫嘴傲娇桥段甚为有爱，同人MV秒杀无数，JQ不解释。            
(4星)	 几段爱情让人唏嘘不已。有的时候真的是无奈啊。这部还不错的！赵阳很灵的！@Home            
(NA)	 太腐了，心水啊            
(4星)	 赵阳他！            
(3星)	 几年前看过的了，现在已经忘得七七八八了，可见这部不甚成功。还是第一部最好看！            
(3星)	 案情不错，几个猪脚都不太喜欢            
(4星)	 类型片            
(4星)	 最喜欢这部。拈花一笑间            
(NA)	 少年包青天三部中个人最喜欢的一部            
(NA)	 少年包青天  应该是从小就喜欢看的            
(4星)	 我爱公孙策            
(3星)	 看了很多遍~~~释小龙俨然演变为少年金毛狮王~~~            
(5星)	 演员和剧情都是最精彩的一部。            
(4星)	 当时看了少包的同人MV才去看的剧。。啧啧，编剧不腐？打死不信！            
(4星)	 看包拯跳崖就哭了，民族大义也是好的呀            
(3星)	 歌还蛮好听的……            
(5星)	 庞策啊！！！！=3=不知道为什么就萌上了。。            
(NA)	 剧情太烂结尾恶俗            
(3星)	 嗯，主要看点是公孙策TX从前两部傲娇这一部人妻的巨大转变……            
(3星)	 破案的基本都看。            
(4星)	 小风筝，哈哈，我            
(3星)	 没什么印象 总之没有第一部好看            
(4星)	 没有看完整，话说电视台老是播前两部，诶，纠结            
(2星)	 一塌糊涂            
(2星)	 不堪            
(4星)	 我喜欢公孙策和陈鸢            
(3星)	 今年暑假看的，感觉好假。但还是没受住诱惑看完了            
(5星)	 多么欢乐的剧啊，这不是推理剧，是部搞笑片            
(3星)	 武林外传外传:少年包青天3            
(4星)	 感情线可圈可点。而且实在欢乐。            
(NA)	  没想到终极BOSS是他。            
(NA)	 我还是喜欢超的时装剧~            
(NA)	 BL啊，我那时候就有预感            
(3星)	 不如前两部好看。有点雷人            
(3星)	 你亲手杀死玲玲时，我分明看到你红了眼眶。            
(3星)	 依靠着公孙策和小风筝看完了            
(4星)	 觉得还不错            
(4星)	 基情无罪，这部终于把公孙小受那温良如玉的贤妻气质表现出来了~            
(3星)	 第一部分最腐了……明眼人都看得出来……            
(NA)	 包子，包子，我要吃包子。            
(1星)	 什么东西            
(2星)	 我都懒得吐槽            
(2星)	 每当我误认为续集也可以很精彩时，我就看这部片子            
(3星)	 为什么我都看过类= =            
(NA)	 虽然换了人演包拯，但邓超也不懒啊            
(3星)	 这部貌似不如从前            
(4星)	 赵阳~~~            
(4星)	 展策真的很萌~~            
(3星)	 咳咳JQ才是亮点            
(5星)	 话说从这部剧我就认定了 公孙策是我心目中的绝世小受，庞策啦 包策啦 ALL策啦~~~            
(4星)	 才子，佳人，英雄，少侠，宿命，预言，悬疑，惊悚……我喜欢这些东西！            
(5星)	 谁说第三部不好看啦，峰回路转，以前晚上看 丝丝入扣很惊心动魄哒！！            
(3星)	 展昭的感情戏越来越多了。我还是忍不住要说这小孩怎么就是长歪了了额。            
(3星)	 这部太扯了。。。看在笑点的份上。。。            
(4星)	 案子都很吓人            
(NA)	 释小龙太丑了。。。= =            
(3星)	 无论从推理情节还是故事情节还是选角来看，都是最烂的一部少年包青天            
(3星)	 与一和二比起来差多了。            
(3星)	 有一个凤凰勾魂印象深刻的，            
(3星)	 第一个案子亮点比较大。            
(3星)	 好像加起来也没看几集              
(4星)	 这部最好看。很喜欢。搞笑。邓超演得不错。喜欢这个公孙策。爱庞统。女主与配角都不错。尤其最后一个案子的若水。            
(3星)	 这部真是有够烂的，黏了吧唧的儿女情长，演员都那么傻逼。。。但是邓超演包拯还是挺不错的。。。还有庞统大人啊！！这种邪气又腹黑的男人真是萌死了~~            
(3星)	 啊呀  第三部换邓超了！            
(3星)	 眼儿一闭一睁全是CP            
(3星)	 我居然还追了这局……哎            
(3星)	 除了萌点和JQ，啥都没有。。最后，感谢乱搞GN，感谢浆糊贴+_+            
(2星)	 第三部基本上就是看不进去了！            
(2星)	 看包3就為了看趙陽的公孫策啊。            
(4星)	 当爱情喜剧看的，所以什么都能忍了，同感赵阳拯救了少包三            
(2星)	 妈啊，这拍的什么啊，看看释小龙的头发啊……            
(5星)	 其实并不喜欢邓超的表演~但最后的结局足以让我震撼和感动~            
(4星)	 加星只为了美好的公孙策。            
(4星)	 小蛮~~            
(4星)	 纯粹冲着赵阳精湛的演技啊~~迷人的笑容啊~~~            
(2星)	 此物只看了前几集，看看JQ，这版公孙很儒雅            
(4星)	 邓超这部也蛮好看的。            
(5星)	 五星全给了男人的JQ            
(2星)	 解释起来有点困难            
(NA)	 想想那会儿天天等到深夜不知道是为什么            
(NA)	 这个公孙策演技确实不怎么滴~            
(3星)	 展昭跟那小姑娘是亮点            
(3星)	 看了几集就看不下去了            
(1星)	 真黑 包黑炭            
(4星)	 令人惊艳的公孙策             
(4星)	 难得 我还追到看 主要是秦丽啊             
(4星)	 这么多部下来，这一部的剧情和推理确实让我无话可说，弥补了人员的不足，邓超根本不适合少年包拯这一人物形象，结局也有点那个            
(2星)	 ·这个真的觉得不太好。有些异想天开。            
(3星)	 其实我很想问……为神马是展昭和包黑的头像最大哦！！            
(3星)	 如果说这部戏有任何萌点的话 那就只有策策同学了~~            
(2星)	 ........那兩個星星是看在斷案的份上.............            
(3星)	 失败- -            
(3星)	 天雷滚滚欲罢不能啊！            
(4星)	 我只看公孙。。。赵阳把公孙策演活了&gt;_&lt;            
(4星)	 喜欢小蛮 还有个耶律还是什么的 白面小生啊            
(2星)	 老娘要看陆毅的！！！            
(5星)	 一开始换成这个包子本来不喜欢的，后来慢慢地~            
(4星)	 其实还不错的            
(NA)	 基情            
(4星)	 我居然研究起释小龙，这是个突破点。。。            
(4星)	 阿包和阿策比较有爱            
(3星)	 这青天，越来月白了            
(4星)	 大学寝室的美好回忆            
(2星)	 邓超简直是个傻……很傻的电视剧            
(4星)	 邓超的腮帮永远是鼓的            
(3星)	 二死了。。。小蛮和大包的初中故事。。            
(3星)	 绝世小受啊~            
(5星)	 很好看~            
(5星)	 我非常喜欢，它……一起来看看吧！            
(4星)	 哈哈哈,古董剧,不过其实似乎还不错的.            
(1星)	 我真不知道该给多少星……这剧情我想给他倒扣五颗星……但JQ我想给他五颗星囧 可惜豆瓣不能评无星 算了 看在野驴家 我也给他个一星吧……            
(NA)	 这部已经成为我和室友的下饭剧了，每次看都会发现新萌点哈哈~            
(3星)	 我爱赵阳版公孙策，我抵死支持展策~~~~~~~~~！！！！！！！！！！！！！            
(4星)	 3部里最好看的叻            
(1星)	 据本很差，纯粹为了增加集数，甚至从柯南移植做案手法；演技非常做作，特别是邓超。            
(3星)	 为啥连3都看了啊..T-T            
(3星)	 奸情满满！            
(4星)	 他最后抱着她说：百岁光阴，七十者稀，浑浑噩噩，一辈子就过去了不是么？            
(4星)	 撇去作案的烂特效不谈，我确实觉得这剧真的蛮好看的～至少比第二部好            
(3星)	 无意中看了几集发现,原来以前竟然全部把它看完了, 于是上网重温了一下结局.没啥可说的..偶像剧看看罢了.不过,还是发现了超女纪敏佳是片尾曲女主唱,hoho~             
(3星)	 其实我没看完            
(5星)	 这部剧就不多说了……想当年看的时候一个劲腐笑……我妈从此开始质疑我的笑点……= =            
(5星)	 公孙策 哈帅！！！！            
(3星)	 好吧，其实我挺无语的。            
(3星)	 没吓死我！！！            
(3星)	 烂！小风筝还是挺可爱的！            
(4星)	 包包~~            
(1星)	 剧中的包青天好像智障……包青天地下有知一定会跳出来把编剧掐死            
(5星)	 很好看。。。            
(NA)	 这一版的庞策很有看头的说~~            
(5星)	   HOT！！            
(5星)	 公孙啊策……………………            
(4星)	 啊啊啊 无法抗拒！            
(5星)	  当年我还没看完 就 开学了 TAT            
(4星)	 美人策&gt;&lt;包包你个没良心的怎么可以对不起策策哦            
(4星)	 喜欢小蛮            
(5星)	 最喜欢的是里面的配乐。            
(4星)	 邓超啊邓超。            
(3星)	 是在受不了鄧超裝傻的語氣...忍了那麼久終於恢復了，最後居然又給磕回去了，崩潰            
(2星)	 推理太容易猜（每次都一开始就猜中凶手和手法orz屡试不爽），公孙策有够脑残，节奏也过于缓慢，还三观不正的每回都不是法制凶手= =……            
(4星)	 公孙受，还是别扭小弱受            
(3星)	 千里寻包苦情片            
(3星)	 忽视女人吧~~~这根本就是个男人跟男人间充满JQ的世界            
(3星)	 邓超太傻了，小蛮太丑了，结局太狗血了！            
(2星)	 狠狠地抄吧...堕落的人永远很难知道自己有多堕落..            
(NA)	 39            
(5星)	 束竹君子公孙策，公子睿智，举世难寻。赵阳的公孙策非常符合我心中的公孙策，个人觉得他更胜过主角。可惜史书上没有公孙策。如果有3，还是希望赵阳扮演。            
(3星)	 大宋年间美人产在庐州一带……            
(NA)	 看了一点点 越拍越搞啊            
(4星)	 1-3部都看过  当年的小蛮就是我的梦中情人。。我认为这部是把感情戏演绎的最好的一部。。尽管这应该是个推理片            
(4星)	 案情都还不错的，有些还挺吓人            
(2星)	 实在不接受邓超版的包拯，太戏说了。            
(2星)	 没看完。。。觉得好哈。。。            
(4星)	 全部主演都喜欢            
(4星)	 我是包策派。            
(3星)	 还是第一部好。。。            
(4星)	 配角配角配角！！！就是太长了点。。。            
(4星)	 这个时候觉得邓超长得还是挺帅的            
(3星)	 D            
(3星)	 不如12了啊            
(5星)	 不知道为什么有那么多人不喜欢，我是很喜欢的呢，邓超赵阳演的都好好，小风筝很漂亮，剧情也很搞笑很惊险            
(3星)	 还蛮可爱的呢。。。            
(4星)	 邓超傻，赵阳帅            
(5星)	 公孙美庞帅美JQ美奇葩美            
(5星)	 越来越恐怖了……结局也很离奇。。。悬疑片……            
(4星)	 只是看过。~~~            
(4星)	 结局完全出乎意料……黑炭你真是太聪明了……            
(4星)	 聪明的男人在哪个朝代都是焦点。            
(5星)	 庞统很英气哦            
(NA)	 对白超级搞笑啊。。            
(NA)	 没之前的好看咯，还是不错啦！            
(NA)	 喜欢！            
(3星)	 感情戏比案情精彩            
(5星)	 邓超演的挺可爱的。释小龙长大了，也越来越帅。所以看得不光情节好，人也都很养眼。            
(5星)	 爱情很感人，公孙策和小风筝这对郎才女貌，打情骂俏，灵犀相通，却不知道能不能终成眷属            
(5星)	 超搞笑            
(5星)	 没有前面两部好看            
(3星)	 一般            
(2星)	 一部不如一部            
(4星)	 我很喜欢大包，大包大包！            
