http://movie.douban.com/subject/2147890/	花样少年少女
(3星)	 日版才是王道            
(4星)	 剧情略显夸张，尤其是对卢瑞希对左以泉的感情部分处理得不好。但是就台剧本身来言，不失为一部好剧。            
(4星)	 痴狂吴尊的一小段光阴            
(4星)	 任何版本都看- -            
(4星)	None
(1星)	 很无聊的剧。            
(2星)	 这个…… 呃~~ -______-&#34; 最终还是没能看完，抱歉了。            
(4星)	 有点像我最爱樱兰高校的真人版也~ 喜欢喜欢呀~ella女扮男装很棒。缺点就是剧情太拖拉，44集，怎么看嘛！ 浓缩成个20集 就完美啦！~~            
(4星)	 想当年多喜欢这一对啊。搞得自己无比痛恨有大胸不能装男人。            
(3星)	 虽然我家JJ只是打酱油的            
(5星)	 嗷唔&gt;&lt;            
(4星)	 女王受忠犬攻啥米的最有爱了            
(2星)	 刚才不知道为什么豆瓣FM竟然突然出现这个剧的主题曲。然后才想起来以前看过这部剧的...真是恶心的吴尊啊。对汪东城还比较有好感...            
(1星)	 把好好的《偷偷爱着你》 拍成这种恶心样            
(NA)	 无哈哈哈~~~当年那个迷呀            
(4星)	None
(2星)	 看着玩儿            
(NA)	 往事不堪回首＝＝            
(NA)	 这部里喜欢上吴尊的~后来就喜欢上了飞轮海。叹息啊~都过了5年了……他们还是分道扬镳了。TOT，我最喜欢的一个组合啊……            
(3星)	 还好先看台湾版，不然就不会看日本版了            
(3星)	 无厘头呢            
(4星)	 剧情还不错啊，有些地方也不比日版差。吴尊身材还不错，ella的夸张过了点头。            
(3星)	 有点罗嗦， 有点拖沓， 加有点幼稚。             
(4星)	 一开始觉得不搭，但是后来就挺真爱。            
(3星)	 因为是尊尊演的，所以还去看这部片子的。。。尊尊和唐禹哲真的是太帅了，赞啊~~~可惜为什么女主角是Ella- - 胸闷啊。。。            
(4星)	 其实蛮有意思的、、            
(3星)	 看过日版的之后觉得之前看过的这部剧真是...            
(3星)	 哎            
(NA)	 谨以此献给我充满少女情怀的青春期。            
(4星)	 我也要有少女心            
(5星)	 寶貝的劇啊，喜歡不解釋！            
(3星)	 看不下去...            
(4星)	 大东可爱到爆            
(3星)	 多少年前看的...            
(4星)	 一星给当年追剧迷上唐禹哲的自己。= =            
(5星)	 2007年春天起，我活在了吴先生的世界里……            
(5星)	 好喜欢里面的泉和秀伊            
(3星)	 难得看了部台剧，还可以            
(3星)	 为了ella看的。剧情有点低智。。但也不算太难看。主题歌还蛮好听的。            
(2星)	 当初迷恋现在雷啊            
(3星)	 蛮好笑            
(5星)	 哈哈哈哈哈哈~好玩            
(3星)	 ella不用装就一个男生样 男猪是花瓶 其他的全是搞笑咖            
(3星)	 为吴尊， 三星好了            
(5星)	 高三的时候吧~就喜欢在家偷偷看这个~哈~            
(3星)	 唐禹哲。。。            
(5星)	 为什么汪东城这么爆笑！！！哈哈            
(3星)	 台日韩版都看了一遍。。            
(5星)	 虽然ELLA有点夸张，但是那个梅田实在太赞了。            
(5星)	 搞笑、温馨、校园、女男，各种有啊！            
(3星)	 本来整个剧情都还蛮不错的、但是结局恶心到我了。            
(3星)	 那个时候很哈唐禹哲和汪大东            
(NA)	 你说我是有病吧，非要每个版本都看一遍。            
(NA)	 还真挺好看的！！！吴尊很帅啊！！！对ELLA这个猪头比较无语。。。。            
(2星)	 还是漫画好            
(3星)	 还是男人可以看啊，太假了            
(1星)	 去死吧 太恶心了            
(4星)	 秀一控~            
(4星)	 看过的最好看的湾湾剧，拍的一点都不比日版差，也比现在的湾湾剧好玩多了拉。            
(2星)	 瞎            
(3星)	 湾湾的偶像剧自有风味            
(3星)	 我爱的出场也就十分钟不到诶。。。            
(3星)	 吴尊，大帅哥！！！            
(5星)	 高一开始时的美好时光啊~~本人转型为花痴的重要标志性人物啊~~不过现在回想来，可能就是因为从前没有犯过花痴所以第一次比较严重。。。吴尊尊呃 也就那样吧 为了过去的怀恋！            
(2星)	 因为吴尊的原因...            
(4星)	 可以看看笑笑啊 里面的秀一比较还原漫画            
(3星)	 有点小作            
(5星)	 只因为有 吴尊。            
(2星)	 还好啦 为了ella看得。            
(2星)	 看了第一集以后实在是没坚持下去，太假了吧            
(5星)	 吴尊是治愈系的大帅哥，不爽的时候就看看这个，心情自然就好了。还有，最喜欢梅田校医，也太出彩了吧……            
(4星)	 Ella            
(2星)	 果然有了对比，只能说maki男装太好看了            
(5星)	 最开始是因为同学推荐吴尊才开始看的，看到后来却喜欢上了汪东城            
(3星)	 儿时的回忆~~ 搞笑+爱情 可爱 但小时候看还哭了好多次 哈哈            
(4星)	 初中时看的，充满欢笑。 当时就注意到了小天演的申乐。            
(NA)	 俗烂            
(2星)	 不好看！！！！！！！！！！！！！！！！            
(3星)	 跟ella一對比我頓時覺得makki的顏就像清風拂面一樣舒服；吳尊雖然長得還行但演技啊演技跟栗子比起來就是負數；汪東城他真的不能再更做作&amp;浮誇了            
(4星)	 真的很搞笑            
(NA)	 不是最爱            
(4星)	 吴尊在剧里太帅了~            
(2星)	 我怎么还看过这些台剧= =            
(4星)	 就爱Ella那傻样~            
(NA)	 年轻时候好爱看噢=   =||......不过现在看来当时的吴尊还是好有爱~~好吧……只有一点点有爱…………            
(4星)	 吴尊怎么越看越帅啊～～～～            
(4星)	 我居然花了一天把这部剧看完了。。 除了恶作剧之吻外的第二部完全看完的台湾偶像剧。。我想说虽然两个人都演得不怎么样。。男主角念台词像外国人在背书 女主角则太夸张。。但是还是很有爱的啊。。非常有偶像剧应有的看完让人想谈恋爱的精髓。。= = 理应三星半。。男女主角有爱加半颗！            
(2星)	 我竟然看过            
(4星)	 爱上ELLA，爱上吴尊的一部~            
(4星)	 喜欢插曲，tank的《懂了》            
(3星)	 还是比较喜欢日版的            
(4星)	 我想要个更准确明确的结局 - - 虽然这样的结局已经够明白了             
(5星)	 吴尊！！            
(4星)	 吴尊似乎瘦了些            
(3星)	 哎哟。我我是奔着JJ去的            
(NA)	 额~巧`为了看大东看花样结果爱上了吴尊`~然后特地把一班翻到最后就为了看吴尊后来又莫名其妙喜欢上了大东。。。            
(3星)	 这片子很老了呀...当时超级喜欢的，就是因为这部剧我才变得很喜欢吴尊呢~~虽然在里面是跳高选手...而且没有什么男女主角的好戏~~但是很轻松很搞笑呀，汪东城真是个天才~~~！今天才发现里面居然有阮经天和郑元畅！可能他俩当时实在没什么名字，完全没有印象了呢~            
(5星)	 哈哈哈 满足了花痴的需要！！！            
(3星)	 真的好傻哦。            
(3星)	 因为汪东城加三颗星。            
(3星)	 原著很好看            
(5星)	 偶像剧的不败经典！            
(3星)	 Ella虽然不漂亮，但是她的片子总有看头。            
(3星)	    嗯，吴尊又花瓶了…………   ELLA真的好像男生啊~o(∩_∩)o...哈哈   唐禹哲很帅，可惜难道是经费问题，那身行头万年不变，真是吐血              
(NA)	None
(4星)	 08年初看这片子的时候就喜欢上了佐以泉喜欢上了吴尊，现在还是一如既往的喜欢　喜欢那种青涩的感觉　那种小激动及兴奋　依然喜欢看            
(4星)	 多么理想的爱情啊 童话也很好            
(NA)	 喜欢Ella            
(3星)	 梅田是亮点            
(3星)	 主要是环境舒服帅哥养眼            
(3星)	 完全抹杀漫画的萌点了=。=            
(3星)	 不喜欢男女主角，不喜欢吴尊很多年。            
(3星)	 幼稚爱情            
(3星)	 剧情其实还可以啦，主要是看吴尊的，哈哈            
(4星)	 虽然发展慢了点 但还是不错            
(5星)	 搞笑死了，很可爱，吴尊很帅，大东和ella好可爱            
(4星)	 同样是翻拍偷偷爱着你 ELLA舒服很多吴尊也够爷们 阵的住            
(4星)	 高三毕业后放假买盘看的，记忆深刻啊            
(3星)	 Ella很萌。汪东城也很萌，当时在剧中的某一幕现在还能清晰的回忆起来。但…………怎么就烂尾了呢！            
(4星)	 ella可爱咧            
(5星)	 再幼稚一次，继转角米遇到爱之后。。。发现吴尊真的很帅啊！！！            
(4星)	 挺好的啊，怎么就不拍完了呢？            
(3星)	 Ella很不ok...            
(3星)	 曾经一度的喜欢吴尊。。            
(NA)	 笑死我。            
(4星)	 剧情氛围很轻松  最爱校园题材            
(3星)	 喜欢漫画            
(3星)	 真不怎么样。。。尤其是看完日剧以后。。。            
(4星)	 当初我还是蛮喜欢的...而且貌似是看完这个才看的日版...            
(4星)	 算是我第一部看完的台剧吧。            
(3星)	 前阵子恶补的台版的偷偷、改编的太少女了、囧……            
(3星)	 吴尊大帅哥！其余的我就不做评价了。。。。。            
(4星)	 虽然现在看上去很傻，但是当时我和同学一起看得很欢乐，那是初三吧。。。也让我彻底喜欢上大东三年，但是三年后。。。。。            
(4星)	 无知的青春，那是还因为这部剧 喜欢飞轮海、、            
(4星)	 小我姐该乃了            
(3星)	 当年哈哈笑着看偶像剧的日子已经一去不复返了……            
(5星)	 我好喜欢。。不知为什么= =每个假期都想重看一边。。我已经看了3遍了。。。            
(NA)	 哎呀我的年轻岁月是怎么了。怎么会有这么多xxju!!            
(3星)	 这剧喜欢日本版 虽然都很无厘头            
(3星)	 偶然机会下看了一部偶像剧，时隔多年一把年纪了看起偶像剧还是跟小女生一样花痴。。。掩面。。。            
(4星)	 挺可爱的拍的            
(5星)	 南学长啊，可爱帅气的没话说了！！！！            
(3星)	 前十二集还不错,后三集太扯了            
(1星)	 东厂整容牛郎少女            
(3星)	 曾经很幼稚            
(4星)	 结尾不太好            
(NA)	 哈哈ella感觉比日本那个好啊 虽然傻的一比            
(5星)	 高中那个时候真的是看疯了= =            
(4星)	 很给力的偶像剧            
(5星)	 今天重温~~只要看到吴尊 我就没魂了。。。（掩面~）            
(3星)	 台湾偶像剧很少能看的，能看的都是钮承泽的            
(4星)	 里面的OST不错~            
(2星)	 跟日版没法比            
(3星)	 吴尊的马脸...真没看出好看在哪里了。            
(5星)	 ELLa            
(3星)	 那是个什么结局啊，晕...            
(5星)	 ELLA真是有够逗的。            
(4星)	 好想回到18岁哦。还有，梅田校医，你实在是太让我羡慕了，我要转行去当校医，帮青春美少男捏骨！嘿嘿            
(3星)	 记忆中大东不错~            
(4星)	 这部戏的最大功劳就是让我爱上唐禹哲            
(1星)	 你可以在白痴些吗！            
(4星)	  吴尊，怎么看都帅！            
(4星)	 虽然很弱智 但是好青春~~            
(4星)	 好可爱啊&gt;&lt;以前看过偷偷爱着你，所以特别亲切~演的有点傻傻的，但演员都很可爱，所以很好看啊！！！虽然结尾让我蛮想死的            
(4星)	 蛮喜欢这个cp的= =             
(2星)	 - -            
(2星)	 还是觉得吴尊要更像女人一些。。大晚上看着如此2B我承认我欢乐了。。            
(5星)	 1星：搞笑的台词2星：演员卖力到位的表演3星：我是兔年大年三十看完了15集5星：吴尊真的很帅啊至于其他偶像剧共同的瑕疵，既然是一部让人开怀大笑的天马行空，那就忽略了吧            
(3星)	 我只想说 吴尊真帅            
(5星)	 继《流星花园》、《战神》之后的又一好看的日式台湾偶像剧。            
(4星)	 很不错的腐剧            
(4星)	 搞笑肋！笑死我了！            
(5星)	 ~~~~~~~~~~~~··！            
(4星)	 看完之后梦见吴尊了。。。帅也~             
(4星)	 哈哈，再看一遍还是那么搞笑，喜欢汪东城。            
(4星)	 离现实还是很远的最近一部让我笑翻天的电视剧，除了笑，还要学会思考。            
(4星)	 ella 演的好            
(4星)	 现代欢喜版梁祝；好可爱的大树和央央~第一次觉得ella这么可爱            
(2星)	 当没网上的时候看看狗血的偶像剧真好玩= =说实在的这部电视剧有够腐的，人家泉明明就是跟申乐一对的说，你小样儿干嘛插一脚~~好像看《偷偷爱着你》了啊~~~            
(2星)	 这演技也太假了吧 还是日版的真实点             
(NA)	 不好看            
(4星)	 亮点还是梅田校医啊！！我爱泉和瑞希之间的各种小粉红小暧昧~~~            
(4星)	 解压不二之选。ella的表情好多哦，吴尊则是帅            
(3星)	 没日本拍得好。Elle还是磁头挂脑的，吴尊那不顺溜的国语，大东也太蠢都是瑕疵啊@Home            
(3星)	 花一样的南学长~            
(5星)	 我奏喜欢这个调调~            
(NA)	 我真喜欢左以泉那张忧心忡忡的脸~            
(3星)	 没逻辑            
(4星)	 当时看的时候是看笑趴也看哭过。ELLA演得不错，表情很丰富。            
(NA)	 一般            
(3星)	 看过几集。挺搞笑            
(2星)	 呕像            
(NA)	 女扮男装的感觉很喜欢，哈哈哈            
(4星)	  有些画面 逗死了            
(3星)	 没有日版的好            
(1星)	 我就是不喜欢ella 和 飞轮海 吴尊在这里先不说 整部剧就看ella和汪东城的大鼻孔            
(3星)	 又领着日剧了吧~ “我要出柜” 一句 我嘴里的番茄汁四溅~            
(3星)	 日版出来之前我觉得还是不错的额~            
(5星)	 去年夏天一口气把它看完。一直忘不了他们给我的感动            
(2星)	 演技实在不敢恭维，主要我是男扮女装的剧情控给个两星的评价了            
(2星)	 我承认是挺2的            
(NA)	 唉。。。大学时光。大家一起看的。            
(1星)	 。。。。台湾普通话真是。。。。我勒个去            
(4星)	 很喜庆  其实蛮好看的  哈哈 偶像剧嘛             
(3星)	 这样的女扮男怎么会发现不了 怎么可能发现不了！            
(3星)	 高三时的爱……            
(2星)	 请终于原著            
(2星)	 喜欢日版的            
(3星)	 秀一很搞笑，对瑞希很花痴，瑞希长得比较男性化，一点都不可爱，吴尊很帅很漂亮，但是演戏差点火候。            
(4星)	 高三集训时候看的 当时哈汪东城 - -！            
(5星)	 这部戏剧情紧凑度人物都还不错，演的都比较到位，吴尊的成名作，同时南学长也是让人过目难忘，秀伊也是相当有特色啊！伊南啊~~~~            
(4星)	 怎么可以有这么美的少年，这是我们寝人看过的唯一感想，那有那首我最爱的《专属天使》，从此喜欢上tank的歌            
(3星)	 ella!ella~            
(3星)	 还不错            
(5星)	 很代表性的作品了            
(3星)	 第一次看是高中时候晚自习教室的投影仪放的碟。当时看，南学长还是很帅滴，官配是比较无感滴，印象最深的是大东以为自己出柜了还昭告天下。            
(3星)	 只为汪东城~没看过的俏护士~~18号，被天涯shock以后，回来改改~~跳出粉的状态，才觉得很搞笑~            
(4星)	 剧情还是蛮好玩的。吴尊是帅气夹带秀气。可爱的大东，阳光唐禹哲。陈嘉桦，你太可爱了。里面的那只狗狗，也好可爱哦。            
(NA)	 对于已经度过了花痴青春期的某人来说，评分神马的就不必了，只是来祭奠一下逝去的年华            
(4星)	 就 軍訓的很多回憶             
(3星)	 ella可爱，可是不小女生呀。            
(3星)	 我一想到我曾经喜欢吴尊我就@#$*....            
(5星)	 太经典了啊            
(4星)	 Ella~~            
(3星)	 因为Elle，我扣掉2星，2星给男一男二，1星给全体辛苦了的工作人员            
(4星)	 吴尊虽然呆，但这时候的他有沉默的温柔            
(NA)	 当时咋就看那大劲呢            
(NA)	 弃。            
(3星)	 很久以前看了5集，就再也看不下去了。            
(NA)	 嗯，唐治平，我终于想起来你叫啥了。某唐（非主角唐）在里面真的超级妖孽的。Mark...            
(5星)	 东  啊  我的东~            
(3星)	 要人好看就看台版,要剧情好看就看日版            
(3星)	 好像就看了两三集吧。之后…忘了            
(4星)	 嘻嘻嘻嘻            
(4星)	 喜欢~~            
(2星)	 有点扛不住...没看完            
(5星)	 因为无聊，用了一天给看完了。发现其实剧情狗血，还是最适合无聊打发时间。。。了。            
(3星)	 女主比两个男主都MAN，真是一部尴尬的偶像剧。不过这部剧让我认识了我的新菜汪东城和唐禹哲，所以给三分~~~            
(5星)	 非常感动            
(4星)	 oh，吴尊同学~~            
(NA)	 喝多了 什么狼都有            
(3星)	 日本版好看点            
(3星)	 不太记得了            
(3星)	 又是跟着老大看的自己不会去看的剧            
(3星)	 挺搞笑的            
(5星)	 先看的日版的 但依然觉得很好看 喜欢ELLA            
(2星)	 太白痴了 吴尊在我心里的形象 彻底没了            
(4星)	 为以前喜欢的吴尊多打一颗 = =            
(5星)	 超愛ella            
(NA)	 这部剧真的很搞笑，几乎看没集都在笑声里度过，可惜结局有些懵，再拍个续集就好了哈哈            
(4星)	 high school            
(3星)	 看着会觉得很幸福。“真相往往只有一个，而事实，往往会被掩埋的。”            
(3星)	 台版的比较搞- -            
(3星)	 说真的，，，挺一般的            
(1星)	 我觉得他们不是在演戏，他们在玩。。。。。有一个同学说，这里面最像爷们的就是ella哈哈哈~~~~~~~~~说的到位！            
(NA)	 台剧就是台剧……诶~            
(5星)	 嘻嘻，男演员都是喜欢的            
(2星)	 怪怪..结局这么深刻..            
(4星)	 还是因为吴尊来看这部剧，其实说赢就赢在编剧上，台湾偶像剧的编剧改编漫画的功力还是很够的，所以力挺            
(3星)	 还好吧，有些地方会觉得做作了            
(4星)	 蛮搞笑的啊，单纯和简单是我这个年纪想要继续寻找的感觉啊！            
(3星)	 这片里吴尊演的不错。ELLA表情实在丰富。            
(5星)	 我超喜欢大树！！！！            
(3星)	 人物都好恶＝　＝            
(2星)	 不喜欢男女主角……            
(NA)	 喜欢了很久~            
(3星)	 好喜欢里面的吴尊。。他在剧中的形象 就是我白马王子的形象 ohyeah~            
(3星)	 曾经看这个  。好喜欢CHUN            
(3星)	 那时流行呕像剧            
(3星)	 还是日版好看。            
(NA)	 4            
(2星)	 还是漫画好 台湾真人版真的。。。哎            
(NA)	 要是我我会选汪东城=.=            
(4星)	 很可爱            
(5星)	 这部 其实 怎么都没有五星的只是 大约 这是我四年寝室最值得回忆的日子~            
(2星)	 总是陪我童心未泯的妈妈看一些没有油盐的东西。。。            
(2星)	 一个有着正常审美的女孩子基本都无法拒绝的美色诱惑            
(5星)	 仍然是中性女主            
(3星)	 汪先生在里面挺可爱的，比他之后当主角演的戏要可爱多了。相较而言，更喜欢日版花样，女主才真正萌啊~~~            
(2星)	 跟日版没得比啊            
(2星)	 我爱看日版的            
(3星)	 HAPPY片，看了适合调节心情～            
(3星)	 吴尊            
(5星)	 个人超喜欢超喜欢。。觉得比日版拍的还要好。。因为吴尊帅的举世无敌。。Ella性格也很喜欢。。哈搞笑。。            
(4星)	 逗乐 放松 不要叫真 看着开心就行            
(1星)	 不得不说，比不上日本滴。。。演技很青涩，幸好情节本身不错。总之吴尊哪里帅了。。。            
(5星)	 梅田和大树！！！            
(NA)	 短发的阿尊尊好帅~我觉得在台湾偶像剧里算是情节充实的了 原来这么多年了啊 怪不得我把结局也忘了            
(2星)	 如果剧情还算不错，那演员就太差强人意了。            
(NA)	 还行吧            
(4星)	 大东真可怜……            
(3星)	 很喷血的。。而我竟然在期末考试阶段看完的。。            
(3星)	 好像就是从这部剧开始，觉得吴尊很帅~            
(2星)	 三个做作的人一台戏。ps：唐治平，唐禹哲颜不错。            
(3星)	 那时候。            
(4星)	 很被瑞希的坚持与勇气感动！            
(4星)	 我喜欢ella            
(3星)	 Ella真的挺像男生的，所以我还真的很难想象她和吴尊在一起的样子。            
(4星)	 台剧虎头蛇尾啊            
(NA)	 看这个片子爱上金刚芭比            
(4星)	 吴尊同学你怎么能这么帅你怎么可以这么帅！没天理啊！！！            
(3星)	 只记得，汪东城、Ella、吴尊。不是剧里面的人物            
(5星)	 看得很快乐            
(1星)	 白痴            
(NA)	 由此爱上禹哲。            
(5星)	 Ella演的，必看。太可爱了这部。            
(1星)	 看不下那做作的表演            
(NA)	 专属天使            
(5星)	 超级喜欢！！            
(4星)	 初中啊             
(4星)	 没有书好看            
(1星)	 雷人            
(5星)	 女扮男装，闷骚男+呆呆女。在女主的相貌上，ella完败崛北真希；但在全剧综合评价上，花样完胜偷偷爱着你。            
(4星)	 读大一时无聊的在寝室看的，由于没看到开头对于剧情一直不太明白，但是感觉当时太喜欢唐禹哲了 真帅            
(NA)	 我还要看日版的            
(4星)	 喜欢ELLA里面的表演。            
(2星)	 还不如直接看漫画呢……            
(5星)	 很喜欢Ella，她虽然不是那种公主、淑女类的女孩子，但是她的可爱、活泼、善良、幽默都给人很深的印象。            
(5星)	 你一直都给我内心最坚定的信仰。            
(2星)	 有点搞笑            
(2星)	 也许吴尊更适合做平面模特吧。。。            
(4星)	 看的极其有劲的剧 我总会欢喜不起眼的男配角 比如 花心风流学长...            
(4星)	 还记得 插簪子的男的 所以4颗            
(3星)	 其实吴尊真的好帅~（流口水状）            
(4星)	 我承认我只是为了看帅哥…            
(2星)	 死吧            
(5星)	 真的蛮喜欢的            
(NA)	 没有漫画好看。            
(3星)	 没看完 但是还行~            
(3星)	 现在已经忘记看时什么感觉了~还行吧~~            
(5星)	 还是很搞笑的            
(4星)	 为了金秀伊看的 最后没看完结局 我罪过            
(3星)	 傻。            
(4星)	 为了尊尊去的~            
(3星)	 ella 仲man过吴尊  囧            
(4星)	 吴尊真滴很漂亮            
(5星)	 一部适合盛夏观看的可爱喜剧 让我不再心浮气躁            
(1星)	 都不知道怎么看完的……            
(3星)	 SNOW对于吴尊是相当的迷恋！程度不次于当年的仔仔！可我完全没感觉!            
(3星)	 适合用来打发无聊的时间            
(5星)	 曾经连续加班几十个小时看了，今天再次重温一遍。推荐推荐            
(2星)	 台湾剧。哎。            
(4星)	 姐看的不是戏,是美男            
(4星)	 很搞笑，虽然有些幻想场面有点恶搞，但是帅哥和为目标奋斗的女孩的纯洁爱情，应该没人会讨厌的。            
(3星)	 曾经很沉迷~            
(3星)	 现在想起来也没那么好看啦……            
(NA)	 没头脑的傻乐。。。            
(4星)	 ella的演技好赞。令人笑得喷饭的校园爱情。令人不舍的结局。他依旧保护着她。爱的谎言，拥有了是份怨恨的满足。            
(2星)	 shao            
(3星)	 一看就是女人嘛 女扮男装的都以为大家傻哦……            
(5星)	 COOL            
(3星)	 日版才是王道！            
(3星)	 zzz            
(3星)	 还挺好笑的...            
(3星)	 以前看的时候非常疯狂。但是现在越来越讨厌这种调调的爱情片了。            
(2星)	 没啥好说            
(4星)	 秀一好可爱哦~~            
(5星)	 真的很搞笑~这部剧是我知道尊桦的一个媒介！            
(4星)	 喜欢ELLA~逗            
(5星)	 有点俗，演技也不咋样，但就是冲着这份单纯搞笑，也值得看了！            
(3星)	 这个算毛结局。。。and。。。吴尊比小栗旬帅一咪咪。。。唉 我喜欢的漫画就被连二的糟蹋了。。。俩版本里的狗狗都很CUTE 哈哈            
(2星)	 嗯……剧情有点问题，因为Ella看的            
(3星)	 当时考研那么紧张，好像能看个什么片子都是种奢望，况且有搞怪的ella和帅气的吴尊。            
(5星)	 第一部意义上的台剧            
(3星)	 elle 的，我还是喜欢吴尊和唐禹哲~            
(3星)	 我后面真的真的没兴趣看下去了            
(NA)	 2            
(NA)	 大东啊毁了toma            
(1星)	 受不了台湾。            
(4星)	 ELLE演的蛮好的,很少女气息呀            
(3星)	 雖然劇情基本是跟著漫畫,但有些演員不太理想            
(3星)	 喜欢日本版            
(4星)	 四星是因为唐治平。            
(3星)	 某个夏天姑姑借我的盘。            
(3星)	 还行吧..            
(4星)	 呵呵~我觉得比日版的好看喔~~            
(3星)	 ELLA好MAN,吴尊好娘            
(4星)	 真正的高手并不是技術厲害。而是當他們在面對對手時。能夠展現出內心意志的堅強。            
(2星)	 吴尊很好看，别的都很难看            
(4星)	 挺好看的。。            
(5星)	 大愛            
(4星)	 大东&amp;南学长            
(4星)	 印象里还不错~追了很久呀            
(3星)	 吴尊 哈哈            
(4星)	 虽然还是喜欢小真希演的花君 但是花样还是很好看的~            
(3星)	 比较好笑 但是实在不喜欢吴尊            
(3星)	 要不是因为吴尊，我就给4星。            
(4星)	 干嘛给低分，当年事很好看的啊，，拜托当年事06年好吧            
(3星)	 以前是很喜欢的，但是和日本拍的比不了            
(3星)	 我中意南学长..............            
(5星)	 陳嘉樺！            
(4星)	 这部戏应该是以搞笑为主题吧。喜欢ELLA在里的性格，很man哦，毕竟也是去男校读书嘛！(*^__^*) 嘻嘻……            
(5星)	 帅气的泉，可爱助人的梅校医            
(3星)	 女主角也太丑了            
(4星)	 值得肯定，没有阴谋，纯洁的感情让我羡慕。留下你，隐瞒你，只为能爱你，能在一起。还有一群诡异的朋友，大条猴子，灵异大树~            
(4星)	 大东很可爱~            
(3星)	 很搞笑,可惜ella演得有点做作,吴尊演技也有待提高...印象最深刻的是那个梅田,经典!!            
(3星)	 又是一部没看完的。不过里面吴尊真的好帅呀。            
(NA)	 好好笑喔            
(3星)	 演的有点假了，很多年前看的了            
(4星)	 蛮搞笑~~ 吴尊尊帅~            
(4星)	 想当初很爱            
(2星)	 除了吴尊的face 别的没啥可以看得            
(2星)	 小天和大东不错            
(2星)	 大马脸            
(3星)	 现实中应该不可能发生这样的事情吧！！            
(3星)	 蛮好玩的。            
(3星)	 ella很适合演瑞希，潜伏在男生中的女生，为了喜欢的人拼命努力，日本漫画的搞笑加上不错的演员阵容，符合一切好看的要素！            
(4星)	 大四的时候看的吧 剧情蛮好笑的~~            
(3星)	 为什么没结局?~刚开始还可以，越看越难看。。            
(5星)	 初看的时候，是《怎么办》的MV~只觉得~当时的吴尊好帅哦！~            
(3星)	 吴尊蛮帅            
(2星)	 台版的还是不如日版的硬件华丽啊~啧            
(5星)	 帅气啊 ELLA的造型            
(3星)	 留给我很好回忆是 一边吃炸鸡 一边在PPLIVE上看这个            
(3星)	 如果女主角再漂亮点就好了，哎，╮(╯▽╰)╭            
(3星)	 改变的日本漫画，其实我还是觉得不适合拍成剧，或者说没拍好！            
(3星)	 很可爱。。。            
(3星)	 放松心情时候看的 就那            
(4星)	 这部台版的比日本的好看。日本的太闹腾            
(4星)	 因为有ella才看的《花样》。这部电视剧是根据日本漫画改编的（台湾偶像剧的主流），和日本版比剧情相对简单，不过ella的表演很单纯可爱。在假日的时候看一下还是挺解闷的。            
(2星)	 冲吴尊去的~            
(3星)	 想去民宿打工            
(3星)	 我喜欢梅田老师 =。=            
(5星)	 吴尊            
(2星)	 看一堆没演技的人在那挤眉弄眼真是超级不舒服的 所以每次一调到那个台，我就换掉了            
(3星)	 总觉得不如漫画好看是大二时候看的吧？            
(3星)	 花样不男不女，，安            
(3星)	 日版更精致好玩，台版更生活化            
(4星)	 看了日版的，觉得台版的太雷人了。。            
(3星)	 笑笑呗~            
(3星)	 看吴尊= =            
(3星)	 为了看而看            
(NA)	 狠青春，狠好笑。            
(NA)	 很。。。无语。。。            
(3星)	 一般般  演员挑的不好            
(2星)	 最讨厌..            
(4星)	 曾经萌尊桦~            
(5星)	 ELLA 的反串，喜欢，有人说她做作，但是还是喜欢那种简单的快乐。ELLA 的搞笑，阿尊的俊美，真的很好看            
(4星)	 搞笑搞笑 大树和秀一太搞笑了            
(4星)	 那是曾经迷恋尊少啊...            
(4星)	 ELLA还是很夸张。但是这部剧奠定了吴尊的花美男地位，所以无视表情，剧情。。感觉配角们给我更深印象。所以好剧一定离不开好配角的映衬。。            
(NA)	 轻松搞笑...看剧不就是要这样么....            
(NA)	 一帮神经病            
(5星)	 最爱吴尊            
(2星)	 最近的電視是在和日本拼嗎？那真是沒法拼，日本還是美男多。            
(3星)	 看过日版就知道这部垃圾了            
(3星)	 这么无聊的剧我竟然看了，unbelievable            
(4星)	 看的不多的台湾剧之一啊。            
(NA)	 不好看            
(4星)	 挺逗的，虽然狗屁不通            
(NA)	 哈哈哈搞笑死了            
(1星)	 奇蹟！看完沒留下半點印象，又一部台灣爛偶像劇            
(3星)	 你们的杯具就是小栗旬也演过。            
(2星)	 讨厌翻拍 但尊哥很俊……            
(2星)	 差距。。。            
(3星)	 没有日本片好看。。。            
(4星)	 从这里认识了可爱的汪东成和吴尊            
(4星)	 主要看吴尊，顺带看看唐禹哲~            
(5星)	 我认为最好看的一部台剧~            
(4星)	 蛮搞笑的~歌也很好听~            
(3星)	 搞笑            
(4星)	 挺有意思            
(4星)	 秀伊~~~~~~~~~~~            
(3星)	 大东很傻，ella很man，吴尊很帅            
(3星)	 还是日版吸引人。            
(1星)	 看过之后，什么也没记住。这是否证明了本剧的失败？            
(3星)	 吴尊真帅气            
(5星)	 搞笑，我上高中是背着老妈，天天偶看哦，呵呵            
(5星)	 喜欢，超喜欢            
(2星)	 大东-------可爱            
(5星)	 经典台剧            
(4星)	 老吴帅死了，哈哈            
