http://movie.douban.com/subject/2148820/	岁月风云
(3星)	 阿佘造型好看，其他。。。當我眼睛瞎了吧。。。            
(3星)	 一般般            
(NA)	 2007年       又名: The Drive Of Live            
(5星)	 是一部不得不让人产生共鸣的剧,太有纪念价值了            
(4星)	 上帝的宠儿-华振邦            
(3星)	 合拍剧~只有演员阵容比较强大~~~            
(5星)	 岁月风云            
(5星)	 YAO KAN!            
(3星)	 有钱人的奋斗史啊~            
(5星)	 还不错，据说以吉利汽车为原型改编的，怎么说也要支持一下            
(2星)	 典型的合拍劇的水準。            
(NA)	 非常不错的一部港剧，虽然还是照旧是港剧的圈圈里面。。。            
(5星)	 去探过很多次班，觉得自己见证了这部戏的拍摄过程，看到了演员的辛苦，很值得去慢慢品的一部年度家族大戏            
(3星)	 希望越大 失望越大            
(5星)	 故事很好，阵容强大，纪念香港回归10年，意义也非常棒，但最最大的败笔就是那插曲~~天那            
(3星)	 纯粹一部广告片。            
(NA)	 情节中不合情理的地方太多。虽然群星云集，还是看不下去了。            
(4星)	 很好的一部我喜欢3哥            
(3星)	 剧情上很多问题，但是演员都很落力            
(4星)	 中国人自己的汽车            
