http://movie.douban.com/subject/2210236/	济公
(4星)	 在虎跑取景的咧。            
(5星)	 身上滴袈裟破。。。            
(4星)	 鞋儿破，帽儿破，身上的袈裟破；你笑我，他笑我。。。            
(5星)	 哎呀，电视里那个曲调啊至今还会哼哼。            
(4星)	 哈 多少年了            
(4星)	 看过了 酒肉穿肠过 佛祖心中留            
(1星)	 猥琐猥琐猥琐猥琐。。。。。            
(5星)	 鞋儿破、帽儿破，身上的袈裟破……            
(1星)	 我就记得背景音乐            
(NA)	 我喜欢这老头            
(5星)	 经典啊~~            
(4星)	 鞋儿破，帽儿破，身上的袈裟破……”             
(3星)	 tv            
(4星)	 经典的国产剧。。经典济公形象深入人心。。故事也编的巧。。            
(4星)	 美好的儿时记忆～            
(4星)	 游本昌演活了济公！            
(3星)	 我没看全            
(3星)	 鞋儿破~帽儿破~身上的袈裟破~             
(5星)	 济公的形象确实深入人心            
(4星)	 我一无所有  我快乐            
(4星)	 其实我想说新版的也蛮好看  。。 不过老版的我最喜欢那个地主脸上长瘤子的。 和脸蛋怀孕了一样～ 哈哈～            
(3星)	 不太喜欢。太陈旧            
(4星)	 济公，胡闹            
(4星)	 没看全，但是印象里面挺好看。            
(3星)	 今天开电视突然看到。            
(4星)	 鞋儿破，帽儿破，身上的袈裟破……            
(3星)	 小时候大家都喜欢，可是我一直觉得济公脏脏的，喜欢不起来            
(4星)	 经典 刚刚又在电视里看见了 就是瘤的那段 大家还记得否...            
(3星)	 鞋儿破，帽儿破。。。            
(4星)	 游本昌~至今未被超越            
(NA)	 不好看            
(5星)	 ok            
(5星)	 鞋儿破帽儿破身上地袈裟破            
(4星)	 鞋儿破帽儿破~            
(4星)	 他身上可以搓出麦丽素！            
(5星)	 我姥姥老喜欢游本昌~\(≧▽≦)/~啦啦啦            
(5星)	 经典            
(NA)	 我的某一人同桌把主题曲唱的很神似            
(3星)	 第一遍看的时候是很开心的            
(3星)	 他是潇洒哥            
(5星)	 经典，童年时的记忆。那首歌“鞋儿破，帽儿破，身上的袈裟破……”还记得呢！            
(5星)	 济公的蒲草扇~            
(4星)	 貌似爷爷辈的都很喜欢            
(4星)	 记忆中最早看过的吧、这个一定要mark！！！！！！！！！            
(5星)	 乱世才会有济公            
(4星)	 好像当年很喜欢看            
(2星)	 。。。。。            
(5星)	 很喜欢，每次重播都要看            
(4星)	 小时候的经典            
(4星)	 再看重播，已经没什么感觉了            
(5星)	 好看            
(4星)	 还是小时候的最爱了              
(5星)	 一把蒲扇走天下！不愁穿呀么不愁吃            
(4星)	 爷爷奶奶的最爱            
(3星)	 济公老龌龊饿。。。            
(4星)	 仅是怀念童年罢了            
(NA)	 鞋儿破，帽儿破，河边那两株棕榈树在叫苦。哈。难忘邻家哥哥们爬上棕榈树，催枝折叶的做破扇子。            
(5星)	 小时候除了西游记就是济公了，我一直追着他，印象中，没怎么看到电视剧，倒是听到了主题曲，就是听听磁带，那时也很高兴了。            
(4星)	 鞋儿破，帽儿破……            
(4星)	 疯疯癫癫，呵呵            
(5星)	 一个省的            
(4星)	 童影            
(4星)	 最喜欢济公那把破扇子，小时候就把外婆的蒲扇搞的破破烂烂装济公            
(NA)	 我小时候就不觉得这部好看，但大人老爱放这个            
(5星)	 提起济公，我就想起这部剧里游本昌            
(3星)	 说实话 不喜欢济公这个人物            
(4星)	 “轰~妈咪妈咪~轰~~~”            
(4星)	 经典            
(4星)	 家里长辈都很喜欢，哈哈            
(5星)	 小时候多爱~            
(3星)	 鞋儿破，帽儿破，身上的袈裟破。。。。嘿嘿，这是个爱吃的慈悲和尚！~            
(4星)	 妈妈，很喜欢            
(4星)	 童年回忆            
(4星)	 其实已经没太多印象，不过小时候看一部喜欢一部            
(1星)	 假            
(4星)	 当时挺羡慕济公            
(4星)	 这个版本堪称四大金刚之一-_-|||            
(4星)	 帽儿破，鞋儿破，呵呵，经典了            
(3星)	 好老的电视剧哦            
(4星)	 回忆铺陈            
(4星)	 鞋儿破，帽儿破，身上的袈裟破，你笑我，他笑我，酒肉穿肠过。。。            
(NA)	 啊,吗立马力宏~~~~            
(3星)	 童年记忆            
(3星)	 每次都我爸在看……当年的特技啊汗            
(5星)	 这个我奶奶有DVD            
(3星)	 这种魔幻的东西都有滴和咯咯额...........            
(3星)	 脏兮兮的济公~~            
(4星)	 这老演员几年前看哑剧时还碰到了，就坐我们旁边- -b            
(3星)	 童年的阴影，每次看济公，都怕到流眼泪。            
(4星)	 这两年还有台重放来着            
(4星)	 现在想想当年演员也挺不容易的...            
(4星)	 当年我说不知道游本昌被严重鄙视了一下            
(4星)	 那时候因为看到制作什么的都是主角的名字，和外婆说这个人好聪明……            
(4星)	 游本昌的表演真是绝了..             
(4星)	 不是不报,时机未到            
(3星)	 很强大 但是不是很喜欢            
(4星)	 奥马米吗米红            
(3星)	 就记得济公能让断指再长出来            
(5星)	 小时候的小美好，带回真实的过去            
(3星)	 当年的鞋儿破 帽儿破。酒肉穿肠过，佛祖心中留。现在看觉得速度有点慢了。也许是我急了            
(4星)	 演员很出彩            
(4星)	 小时候很爱看            
(4星)	 小时候和爷爷奶奶看            
(3星)	 只能说看过 不能说喜欢            
(5星)	 真实的夹棍            
(3星)	 还只有几岁的时候，外公外婆就教我唱：鞋儿破，帽儿破，身上的袈裟破。。。            
(3星)	 真久远 现在让我看肯定看不下去。。            
(5星)	 回忆啊！我和我爷爷奶奶一起看的！            
(4星)	 无法超越的济公形象            
(2星)	 我不喜欢济公 又脏皮又老            
(4星)	 鞋儿破，帽儿破，身上的袈裟破~            
(5星)	 比那些济公都好看。            
(4星)	 集数少了点            
(5星)	 又一个经典角色            
(5星)	 鞋儿破 帽儿破 身上的袈裟破            
(5星)	 鞋儿破，帽儿破，身上的袈裟破。。。            
(5星)	 哈哈，这片子很逗            
(5星)	 比新拍的好看~~            
(4星)	 小时候喜欢的。            
(3星)	 一点点啦            
(4星)	 特技肯定不用提了，和现在没得比。不过演员表演和一些细节还是可圈可点的。            
(4星)	 鞋儿破，帽儿破，身上的袈裟破            
(2星)	 我就是不喜欢，，，            
(NA)	 一直很喜欢            
(3星)	 鞋儿破，帽儿破，身上的袈裟破            
(NA)	 经典            
(3星)	 当时觉得8错。。            
(NA)	 至今对济公在身上搓啊搓 搓出个包治百病的大泥球 印象深刻            
(4星)	 经典,但节奏实在慢了点            
(5星)	 鞋儿破 帽儿破。。。            
(3星)	 童年呀~~            
(4星)	 鞋儿破，帽儿破，身上的袈裟破~            
(NA)	 鞋儿破 帽儿破            
(5星)	 鞋儿破 帽儿破            
(5星)	 鞋儿破，马儿破，身上的袈裟破还是游本昌老师的版本最经典，不可逾越            
(4星)	 鞋儿破，帽儿破，身上的袈裟破            
(3星)	 一群痴呆的幻想            
(4星)	 经典            
(3星)	 印象较深的，较早的一版！            
(NA)	 有意思            
(5星)	 游本昌很会演            
(3星)	 鞋儿破、帽儿破，身上的袈裟破…            
(3星)	 这也破 那也破            
(2星)	 很cult            
(4星)	 看过几集，没有全看            
(NA)	 老是陪着奶奶看的            
(5星)	 经典，演技派。            
(4星)	 笑人可笑，容人难容。——这才是外疯内醒的济公。            
(5星)	 哎，這麼高品質的作品很少了。            
(3星)	 鞋儿破 帽儿破 身上的袈裟破            
(5星)	 鞋儿破帽儿破，身上的袈裟破~~            
(4星)	 鞋儿破，帽儿破，身上的袈裟破。。。            
(5星)	 不管怎么样 是小时候的记忆哦            
(5星)	 我喜欢这种电视~~恶有恶报~~看了特别爽~~嘿黑~~游本昌的演技很灵的~~小时候看的呢~~不过现在都有重播~~还爱看~看不腻~~            
(3星)	 据我爹娘说我看过。            
(NA)	 家乡的故事            
(4星)	 看着济公长大，哼着鞋儿破，帽儿破长大……            
(3星)	 老感觉主角长得很别扭            
(5星)	 ！！！！！游本昌太棒了            
(4星)	 小时候当动画片看            
(4星)	 那首歌~~~            
(4星)	 给我们童年带来了很多欢乐的电视            
(5星)	 每年爷爷都会看多一遍的电视剧            
(3星)	 游本昌演得不错；主题曲不错            
(4星)	 和八仙过海一样，我喜欢神话，特别是中国本土劳动人民喜闻乐见的一些民间人物，他一度是我的偶像，光是书就看了不下10遍。            
(4星)	 哈哈,回忆中的电视剧.            
(4星)	 儿时的经典啊            
(NA)	 插曲当时很流行~            
(3星)	 不错            
(4星)	 每个台都播，特别是深圳台。            
(3星)	 “鞋儿破，帽儿破，身上的袈裟破……”好小好小还没上学的时候就看了吧？            
(5星)	 去年暑假还看了              
(4星)	 小时候没看懂            
(5星)	 童年的最爱            
(5星)	 教人做人的道理            
(4星)	 游本昌是我心中永远的济公            
(NA)	 小时候看过，不全看            
(NA)	 过年有回温过一两集            
(3星)	 演得还蛮好的            
(NA)	 游本昌的济公也算是经典了。            
(5星)	 搞笑            
(3星)	 我妈妈喜欢。            
(4星)	 自己也爱上了啃烧鸡腿，不过喝的是雪碧：）            
(1星)	 完全抹杀降龙罗汉的形象,跟个淫贼似的            
(4星)	 很经典的，小时候超爱看。发觉小时候特正义……            
(NA)	 哈哈            
(NA)	 怀旧的电视剧            
