http://movie.douban.com/subject/1951081/	金牌冰人 金牌冰人 / Better Halves
(3星)	 一直觉得张可颐很奇怪            
(5星)	 虽然演员阵容不咋滴    搞笑是没话说             
(4星)	 有张二小姐和马浚伟  当然要看 也不知道什么时候关注起二小姐的            
(4星)	 陈豪喜感。。            
(3星)	 冰人 就是指红娘吧 ？印象里            
(3星)	 里面蔡少芬老灵啊            
(3星)	 连百合x全家福/高斐x令狐喜天造地设。虽然老套，也有笑破肚皮。            
(3星)	 没什么印象了。。。            
(2星)	 还是个喜剧            
(5星)	 看好多遍，太喜欢，可颐跟马仔真是很配诶            
(5星)	 好看，在电视上看的~            
(4星)	 很轻松愉快的片子。。。我发现其实我很喜欢张可颐啊！            
(4星)	 欢喜冤家。            
(4星)	 张可颐也是好戏之人，可惜现在真的老了            
(NA)	 那个假期七八个台都在放            
(3星)	 女扮男装？她就是男的吧            
(3星)	 马浚伟怎么看都是一副小白脸的样子            
(5星)	 搞笑~~马浚伟很适合古装哦~~            
(5星)	 哇，很逗得啊            
(4星)	 就是女主角长得残了些。。。            
(4星)	 曾经的童年真的很喜欢            
(NA)	 看了这部 开始喜欢马浚伟            
(4星)	 相当不错的古装轻喜剧啊~这种剧只要欢乐就好嘛~            
(3星)	 我是为了张可颐看的~            
(4星)	 还是蛮喜欢张可颐的            
(4星)	 做媒，這個題材不錯            
(5星)	 man!            
(4星)	 挺搞笑的~蛮happy的一部剧~女扮男装的令狐喜着实让我佩服了一把~            
(3星)	 冲着马浚伟看的            
(4星)	 不错，很搞笑～而且两个人明明合作无间～～            
(4星)	 给别人寻找幸福，也在无意中找到自己的幸福~~            
(5星)	 生活太压抑时，看这样的剧真是享受啊，没想到马浚伟也可以这么搞笑            
(NA)	 印象是那个女扮男装的 在寻秦记中演龙阳君的～            
(4星)	 很可爱的一对~            
(3星)	 电视台放的。。没看全。。            
(2星)	 好吵好闹好无聊好浮夸.            
(5星)	 没想到是03年的片子，我还以为是06或者07呢，挺有意思的，那纯爷们很印象深刻！            
(4星)	 我就喜欢欢喜冤家~~            
(3星)	 好长的裹脚布 哈哈哈哈            
(4星)	 呵呵，其实迷过一阵子            
(NA)	 主角是大爱～～哈哈！            
(5星)	 马仔最空前的一次喜剧表演，非常成功。            
(5星)	 一个是好逑君子  一个是精彩女人  最爱令狐喜            
(5星)	 高中最喜欢的片子类~~            
(3星)	 唔做中，唔做保，唔做媒人三代好。            
(4星)	 还可以，以前看过。很可乐            
(3星)	 斗气冤家一般都能成一对。            
(4星)	 陈豪 马浚伟··神一般的男人们            
(4星)	 还是没有帅哥美女。。。。但是看着很开心，可能是里面喜事多，哈哈。。。。马浚伟很喜欢啊。。。。            
(4星)	 tvb            
(4星)	 欢喜热闹 不费脑子            
(5星)	 搞笑到够本。国语配音也很棒。            
(5星)	 不过唐朝的皇帝戴着明朝的皇冠实在是太囧了。。。            
(5星)	 很可爱！            
(4星)	 我初三毕业的时候看的，那段时间太惬意了。。            
(NA)	 某農曆新年重播一口氣看的            
(4星)	 很喜剧的大团圆..伏笔埋得很好..不烂            
(5星)	 好贱的全家福和连百合！啊哈哈哈～  给三星的 懂不懂欣赏！            
(4星)	 喜欢可颐，很轻松的剧            
(3星)	 还蛮好看的            
(4星)	 小成本喜剧的可圈可点。。。。。。。。            
(5星)	 学习了~            
(4星)	 斗嘴的一对冤家阿            
(3星)	 张可颐真美~~~陈豪长得真不怎么样= =            
(NA)	 汗~            
(2星)	 盖鸣晖好样衰，陈豪古装好5掂当啊            
(5星)	 至今最爱马浚伟嘅作品。            
(4星)	 搞笑，真的挺搞笑的，好喜欢张可颐            
(NA)	 蓋鳴暉的戲，要看的要看的~            
(3星)	 从鹿鼎记的康熙开始就一直很喜欢马浚伟，其实剧情从开始就可以猜到，只是还是可以就这么看下去            
(4星)	 欢喜冤家，加在古代啦，还有古代媒人这行倒是新鲜。            
(4星)	 陈豪~演坏人像坏人演好人像好人~就连喜欢的女人都那么有个性~            
(5星)	        乱线可剪 爱那可剪 真心胜闲言　　与子执手 对饮喜酒 相恋爱渐厚　　两家开心 两家分忧 总走到白头　　地设一双 天生一对 天荒爱未够　  恋曲两共奏                  “云想衣裳花想容，想了又想就是想想”            
(4星)	 很不错~            
(3星)	 其实比较喜欢马仔和二小姐            
(4星)	 很好笑~            
(3星)	 OK            
(4星)	 这片子看了笑抽，得出几个结论:1张可颐和马浚伟原来还很会演喜剧，他们俩算是tvb现在难得的全面人才了，2这片子的男女主角完全颠覆了传统，tvb原来也有不一样的故事蓝本啊，可惜啊这样的电视剧千年的一回啊            
(3星)	 喜欢马浚伟。            
(3星)	 喜欢里面的张可颐            
(4星)	 小时候觉得盖鸣晖巨丑，长大了觉得巨有味道，有魅力            
(4星)	 张可颐。。。好可爱呢            
(3星)	 热闹满点。            
(3星)	 几年前看的时候把我笑翻了。            
(5星)	 很少讲做媒的片子~~为媒婆反正            
(3星)	 虽然对古装不感冒不过有马浚伟和mo所以追了..            
(NA)	 电视上看过            
(NA)	 这部片让我更肯定了这样肯去做、用心去做，凡事都有可能成功。            
(4星)	 这个比较有FEEL~怪不知得我也老当红娘~~            
(4星)	 很庸俗的爱情喜剧，但满好看的，主要是喜欢张可颐            
(2星)	 恶劣            
(4星)	 这也是童年的回忆。放假不好好做作业的回忆~            
(5星)	 张二小姐的片子真的很好看，而且他演的很好            
(NA)	 一家人一起看电视的温馨            
(3星)	 追忆            
(3星)	 斗气冤家            
(4星)	 喜欢张可颐。            
(5星)	 蛮搞笑的片子，让我知道了原来媒婆不一定非要有媒婆痣。            
(NA)	 嘿嘿……算是最喜欢的古装剧了。            
(4星)	 马仔和可颐演技超赞，看了此剧忽然领悟，如果说青梅竹马是日本人的调调，欢喜冤家就是中国的人套套。            
(5星)	 搞笑搞笑搞笑！            
(3星)	 记得有段剧情是讲贞节牌坊那段。真的。挺扯得。            
(3星)	 很搞笑            
(3星)	 盖鸣辉扮男人真像            
(5星)	 经典啊~~~            
(5星)	 大爱~~~            
(5星)	 张可颐很有媒婆气质            
(3星)	 这个我好像也看过            
(3星)	 我接受“女扮男装”！            
(NA)	 媒婆剧            
(3星)	 那个女的还真像男的~轻松幽默的喜剧            
(3星)	 张可颐！            
(4星)	 金葵扇把口。。            
(5星)	 媒人与媒人的爱情故事            
(4星)	 心情不好的时候看的，想用来调剂心情的。结果真的很开心，最后发现盖鸣晖的反串真的好棒            
(4星)	 挺好笑的~~喜欢张可颐和马浚伟这种喜剧的风格~            
(4星)	 媒婆　古代婚姻法            
(4星)	 就喜欢看贫嘴            
(3星)	 其实有点无聊            
(4星)	 盖鸣晖最后那身红妆着实把我吓得不轻啊其实你就是个男的我不会到处去说的好么            
(3星)	 觉得不如TVB其它类似的剧好            
(5星)	 看了n遍还是喜欢            
(4星)	 喜欢这一时期的tvb古装戏            
(3星)	 蛮不错的，哇哈哈            
(3星)	 不錯的劇情~            
(NA)	 两个主角很喜欢，但剧情一般般            
(3星)	 那个令狐喜真是太难看了              
(NA)	 那时候喜欢张可颐才看这部剧的            
(3星)	 因为还是有张可颐...            
(4星)	 那女的真的很丑陋            
(4星)	 比较喜欢马浚伟            
(4星)	 男女主角Q            
(4星)	 看完我又想去做媒婆了。。            
(4星)	 男女主角演得都挺好的，剧情也比较紧凑            
(3星)	 哎哟我也看了好几遍了呀            
(4星)	 只是看过。~~~            
(3星)	 个剧名哈蠢！            
(2星)	 原来张可颐演过这个啊            
(4星)	 其實是喜歡馬浚偉 才看的，後來發現很好玩。            
(4星)	 看着欢喜            
(3星)	 电视台各个频道轮番播出，不看不行啊。            
(3星)	 盖鸣晖一开始以为是男的。。。剧情一般，没太大感觉。            
(4星)	 看得很早，所以新鲜            
(NA)	 第一次知道媒人有一个这么好听的名字：冰人            
(NA)	 又一个喜欢的TVB女生。。张可颐。。            
(4星)	 喜欢陈豪            
(4星)	 小马哥难得这么活泼，看看他们两个斗斗嘴就觉得很愉快            
(NA)	 千里姻缘一线牵            
(3星)	 还不错            
(3星)	 可以看看            
(NA)	 伶牙俐齿的连百合，卡卡～            
(3星)	 商业片有商业片的好处~让我知道媒人原来叫冰人啊            
(3星)	 嗯 还不错的            
(NA)	 金牌冰人            
(NA)	 搞笑            
(4星)	 喜欢这种题材            
(5星)	 超迷恋这个。。            
(3星)	 哈哈哈 月老和红娘~            
(NA)	 怀念大一在宿舍与舍友一起煲剧的日子。            
(5星)	 开心的时光            
(4星)	 很好笑,喜欢            
(4星)	 maggie cheung is a nice comic            
(NA)	 也很搞的一部～～            
(NA)	 之所以把它归为喜剧，是里面的主角做的是俗称“媒婆”的差事，有不少搞笑的事情，可以看看哦……            
(5星)	 欢喜。            
(4星)	 马浚伟 张可颐 陈豪 都是喜欢的演员。            
(5星)	 太可爱啦～            
(4星)	 可颐姐姐很pp呢            
(4星)	 好多集都没有看到，不过特别喜欢福头和百合这一对            
(4星)	 蛮喜气的            
(4星)	 经典            
(NA)	 电视剧            
(4星)	 很搞的片子，一直很喜欢马浚伟            
(NA)	 挺不错的            
(3星)	 还好            
(4星)	 喜剧            
(4星)	 [大学] 喜庆的古装片 妈妈在2006暑假追着看            
(NA)	 很逗！            
(2星)	 无聊            
(5星)	 哈，因为盖鸣晖而看。            
