http://movie.douban.com/subject/2134784/	雪花神剑
(4星)	 龚慈恩那会叫龚施茜啊，演技真好，中年气质都很棒。话说陈炜那会真难看，所以大家都喜欢绛雪，我也是，心里希望兆南和她在一起。最后那个结局还是有点期盼的~            
(4星)	 未明白时已感动            
(4星)	 梅绛雪是心中最完美的侠女，因而讨厌陈浩南讨厌玄霜，平凡的他们如何配绛雪的牺牲。长大重看，却不懂了。那样的冷漠，以爱之名就能原谅么？最可怜的，还是聂小凤。            
(5星)	 总觉得小凤这么做太傻了 不值得            
(NA)	 唯一一部气愤到没有看完的古装武侠片。也许是那时的人太幼稚了。            
(5星)	 记得降雪的萧声很不错啊！            
(4星)	 那时很喜欢绛雪，讨厌玄霜，兼带厌烦方兆南            
(5星)	 我是电视剧白痴，看过不计其数的电视剧，但大多数看过就忘了，这部是例外。小学时候看过，就深深地印在脑海中了，一直到现在还是觉得美。这就是经得起时间考验的港剧经典。同时也发现一个真理，最伟大的作品往往是悲剧，最让人记忆深刻的往往是残缺的美。降雪好美丽好伟大            
(4星)	 剧情不是很好，但是阿尊和龚慈恩都喜欢            
(4星)	 哀牢山的雪，从此不会再寂寞~            
(NA)	 劍鋒劃破一地雪 留寒梅滴血 雪花在半空上轉 仍然難避免            
(5星)	 梅绛雪于我, 长绵的影响            
(4星)	 还记得那笛声吗            
(NA)	 心疼聂小凤,满腔情总是被辜负,无论是爱情还是亲情.            
(4星)	 小时候看这个片子只记得小凤和绛雪，现在又看一遍感慨无穷啊~            
(3星)	 为神马你们都喜欢梅降雪？我就不喜欢，我就喜欢玄霜！            
(5星)	 不要对着月亮起誓，因为它是变化无常的            
(5星)	 话说当时就是看了这个才对尊迷恋不已            
(4星)	 只为玄凤，姜大卫说：师生恋嘛，严格的说是师生恋~哈哈老姜很搞            
(3星)	 很多年前的了，当时很迷这部剧            
(4星)	 小凤，罗玄，念念……            
(NA)	 曾经的记忆 TVB经典武侠             
(4星)	 看完很郁闷            
(4星)	 小时候很爱的一部电视剧，当时只觉得故事很曲折，主角都很美型            
(3星)	 还不错            
(NA)	 萦绕心头的寒雪牵魂箫，每一次都让我落泪            
(NA)	 曲子很棒，情节也比较独特，武侠里少见的女主。            
(NA)	 很纠结            
(4星)	 难道这就是禁欲？            
(NA)	 经典武侠            
(NA)	 再看还是觉得经典            
(4星)	 那白衣飘飘的影子为什么他就不喜欢降雪呢？            
(3星)	 降雪 小凤  超美            
(NA)	 很老的武侠了，这几年似乎都没什么好的武侠电视出现，只能回顾一下经典了再看到绛雪，依旧是白衣胜雪，美人如霜啊            
(3星)	 配角成了主角。            
(5星)	 ajohn的罗玄迷的我晕头转向...直到现在...            
