http://movie.douban.com/subject/1453238/	海贼王 ワンピース
(5星)	 最高。            
(5星)	 很搞笑 - -             
(5星)	 ....            
(5星)	 永远的op            
(NA)	 永远是最爱啊！            
(4星)	None
(5星)	 少年！            
(3星)	 我问你，人究竟什么时候会死？ 　　　　是心脏被枪打中的时候？不对！ 　　　　得了不治之症时吗？也不对！ 　　　　喝了剧毒蘑菇汤之后吗？当然不对！ 　　　　..............是被世人遗忘的时候。             
(5星)	 有什么理由阻止一个男人奔向大海！人生，活着就是为了实现梦想！            
(5星)	 快乐与感动            
(NA)	 OP 赛高~~~哈            
(5星)	 绝对是最值得追的动漫，海贼王我当定了。。            
(4星)	 民工漫里最喜欢的一个，漫画也好的。很好看的。动画不说了，跳着看的。            
(5星)	 没话说的东西    一直以来心头爱！！！~~            
(5星)	 快乐与泪水。            
(5星)	 最爱最爱最爱最爱永远的最爱………………            
(5星)	 快点成为海贼王吧            
(5星)	 青春、热血、友情、无限的能量、没有不可能的精神……有了这一切青春的元素，这还不值得一直追下去吗？            
(5星)	 伙伴 两个字的重量            
(5星)	 神作没说的，没有DM、OP和银魂就没有现在的我            
(5星)	 这是我最爱哈哈哈            
(5星)	 唯一还在追的动漫 我们的热血青春一去不复返            
(5星)	 热血！梦想！            
(4星)	 最近一直在追的，其实可以属于我所看过的漫画前三~不过就影响来说，我感觉还是及不上灌篮高手。            
(5星)	 路飞酱！            
(5星)	 就算我死掉，我的伙伴，也一个都不会给你的！            
(5星)	 海贼王，我当定了~~            
(5星)	 热血和少年            
(5星)	 最爱路飞了，嘻嘻            
(5星)	 超级好看~~            
(5星)	 很热血，故事性也很好。2011年看的。现在还在追的说。            
(NA)	 追不动。。            
(5星)	 我最爱的动漫。我妈说我很有可能要追这部动漫追半辈子哈哈。            
(5星)	 路飞。            
(5星)	 没的说 爱死zoro了 每周必看 我愿意一直看到结束            
(5星)	 看过one piece 的人生和没看过one piece 的人生是不同的            
(5星)	 乔巴~索隆~因为我们是伙伴——还有比这更感动的吗//有梦有朋友~            
(4星)	 大坑啊~~~            
(4星)	 偶尔热血，偶尔喜感，就是剧情太拖沓，TV原创几乎全是糟粕……            
(5星)	 One piece            
(5星)	 最爱的动画片了   热血   只是  还要等十几年才能看到结局            
(5星)	 jump！！！！            
(5星)	 这都被我攻下了。。            
(5星)	 如果有人觉得海贼王不好看！那一定是因为他没看过！！            
(4星)	 还是漫画给力            
(5星)	 王道            
(5星)	 我的最爱            
(3星)	 画的太夸张了那脸蛋和腿毛，很有团队精神            
(5星)	 神作。OP是我看过最棒的动漫，没有之一。            
(5星)	 我最爱的动漫之一            
(5星)	 最爱的动漫之一，无数次被感动得泪流满面，为了梦想而前行~            
(5星)	 爱疯了，大爱大爱。草帽海贼，因为你是我的伙伴！            
(5星)	 op绝对支持。            
(5星)	 海賊是神作！            
(4星)	None
(5星)	 童年的回忆。            
(5星)	 = = 居然推荐这个给我……            
(5星)	 热血到让人流泪            
(5星)	 追逐梦想的路是永远不会被阻的。            
(5星)	 热血与友情让我落泪！            
(5星)	 最喜欢的动画片，没有之一            
(NA)	 在追，我应该比尾田长命            
(5星)	 N年的追随 ~不多说啦！！哈哈            
(5星)	 弃坑mark，实在是没有勇气追下去了= =            
(5星)	 最爱的动画，好几次热泪盈眶            
(5星)	 One Piece，伟大的梦想。它教会了我无数人生中最宝贵的东西，隐忍、坚持、友情、亲情……一次次的被感动。            
(5星)	 任何时候都能牵动我的喜怒哀乐~~            
(5星)	 我相信每个看过海贼王的孩子会深深的爱上这部动漫。它带给你的不止是视觉上的感受，还有很多很多的爱和很多很多的梦想。日本动漫总是可以把人性拍写的如此真，跳跃你的心脏。当然这只是个人对动漫评价，希望【看者无心听者无意】。            
(5星)	 One Piece那样的男人            
(5星)	 除了经典，还能说什么呢？            
(5星)	 我是和路飞一样要成为王的男人。            
(4星)	 最近的剧情太拖了            
(5星)	 没理由不喜欢。            
(5星)	 励志看完海贼王的女人！            
(5星)	 热血与梦想共存            
(5星)	 看了N年了            
(NA)	 虽然很夸张，情节很扯，但是就是结结实实被感动了~            
(5星)	 还没完结乃们怎么都写看过...            
(5星)	 勇气   梦想 友情              
(5星)	 哈  热血 可爱~可爱的一群人。            
(5星)	 尾田是神…………            
(5星)	 梦想 友情 勇气  永远的海贼王            
(5星)	 “成为海贼王的男人”            
(5星)	 海贼精神万岁！我人生的曙光！亮点！永远爱！            
(3星)	 感觉很小孩            
(5星)	 op最高不解释我爱海贼王!!!!            
(5星)	 日本国民动漫            
(5星)	 牛逼的动漫            
(4星)	 路飞要成为海贼王的男人，这动画片是要有多基情！！！╮(￣▽￣&#34;)╭ PS.剧情进展的好慢啊啊啊啊啊！！！！            
(NA)	 希望更新快点....            
(4星)	 再过十年说不定就出完了            
(5星)	 神作不解释            
(5星)	 伙伴!!            
(5星)	 十年前还是在租书的小店里看的漫画书《海盗路飞》，现在开始追动画了~很棒            
(5星)	 大爱~~~~~~~~~~~大大大大大的爱            
(5星)	 无敌！！！！！！！！！！最强！！！！！！！！            
(3星)	 一集一集慢慢看，刚看完第一集，还感觉挺二的。。。            
(4星)	 看到天空岛为止……            
(5星)	None
(5星)	 最爱的            
(5星)	 一生挚爱海贼王            
(5星)	 再陪你到2025年！            
(5星)	 低落郁闷时，用这个给自己打气~            
(5星)	 最喜欢了，一集一集追到了现在            
(5星)	 如果说龙珠开创了漫画的里程碑 那么海贼王就是开创了漫画界新的里程碑！你会发现海賊王不仅仅是一部动漫 你会对尾田的构思联想天马行空佩服的五体投地然后真心的叫他一声大神！毫不夸张的说 错过了海賊王绝对是你人生最遗憾的事！            
(5星)	 坚持看完前50集你会发现时值得的            
(5星)	 不错！！！！！！！！！！！！            
(5星)	 我最喜欢，目前。            
(5星)	 漫漫人生，本以为七龙珠够长了，原来还有一帮小海盗，十多年了不见消停，称霸世界之曲折遥远堪比国足            
(5星)	 看过海贼王的人都懂他的魅力            
(5星)	 这个，你懂得~            
(5星)	 我可以看到37岁，很好~~~~            
(5星)	 太经典！            
(5星)	 我也要做海贼王！            
(3星)	 三星，出于私心。不出于私心我也就给四分 。。。。            
(5星)	 么东西看，生活哈无聊呀~~~求快速更新。。。            
(5星)	 梦想、友情、努力、胜利！            
(5星)	 唉  英雄和成功的梦想始终在燃烧            
(5星)	 我一直在看，一直看一直看。            
(5星)	 再看10年！！！            
(5星)	 不解释            
(5星)	 不是每个作家都叫尾田，不是每本漫画都叫OP！            
(5星)	 一个没坚持住，看上瘾了......            
(4星)	 伙伴。梦想。热情。奋战 。            
(3星)	 我还没看完 以后会慢慢补上的 实在太多了            
(5星)	 梦想的力量。。。            
(5星)	 路飞~~香克斯~~~~            
(5星)	 一直忘记标记最爱            
(5星)	 尼桑能不能不要死！            
(4星)	 进度太慢了！            
(3星)	 还是没有动力看下去对不起OTL            
(3星)	 过于重复            
(5星)	None
(5星)	 OP风靡世界的原因并不是因为连载很多年，并不是因为很热血，并不是因为千奇古怪的生物，看的并不是升级，不是打怪，不是技能。谁让现在的年轻人还有梦想。            
(5星)	 啊啊啊啊啊啊啊啊啊，大爱！！！！！            
(5星)	 本命啊            
(5星)	 热血！必追！            
(5星)	 感动一生的冒险传奇            
(5星)	 有一种梦想叫海贼。            
(5星)	 不看不知道，一看吓一跳。            
(5星)	 这个没什么好说的！能给多少星就给多少星！            
(2星)	 老套线路，前期不给力，后期想追            
(5星)	 “我是要成为海贼王的男人！”这句话一定会震撼整个世界            
(5星)	 怎么评价，都不能评价出OP的经典。这就是神作！            
(5星)	 最热血的一部动漫了。梦想，友情，努力什么的……全部在这里了            
(5星)	 “OP是用猫和老鼠的搞笑方式，机器猫的想象力，阿拉丁神灯的奇妙历程，来表达肖申克救赎的人生观，阿甘正传的世界观，从而引发出辛德勒名单般的人性史诗。” 欢腾的你们 我好喜欢啊好喜欢            
(5星)	 就是一边儿笑一边儿哭嘛~            
(5星)	 望有生之年可见此片完结。            
(5星)	 我是要把《海贼王》看我的男人！如果你不喜欢《海贼王》，那是因为你从来没有真正看过！如果让我只给你推荐一部动漫的话，那么——《海贼王》！            
(5星)	 还用说什么吗？            
(NA)	 一群头脑简单的家伙的热血故事！看似头脑少根筋的人都会很强大啊。。。            
(5星)	 一直在追着看，男主角又很强的人格魅力~~~无限感动~~            
(5星)	 追…            
(5星)	 神话。            
(5星)	 最爱。            
(5星)	 热血漫~            
(5星)	 怎么说呢，最强，最爱，最热血！            
(5星)	 每次更新都是回忆 回忆 无限回忆 加不讲正题...... 我的热血啊!!            
(5星)	 哈哈哈哈，傻笑就可以了            
(4星)	 终究还是开始追了~~~            
(5星)	 超级喜欢的动漫 绝对值得一看            
(5星)	 日本动漫的神作 超越热血的界限 无法被替代的作品            
(5星)	 沸腾的热血，哗啦啦的眼泪，没心没肺的快乐            
(5星)	 梦想是人永远的动力，路飞一个真正的理想主义者，向着梦想前进吧！！！            
(5星)	 神作！！！            
(5星)	 爱死大家了！            
(5星)	 从小学伴随到大的动画片，也是使我重新振作的动漫。抱着必死的决心向自己的梦想出发！            
(5星)	 前面有些拖沓，主角不死定律决定有些战斗难以解释圆满，有些BUG。但是真好看。            
(5星)	 最爱这一部，虽然好长，虽然要看到三十岁            
(5星)	 最好的动漫，没看过的真心对不起了自己的童年。。。            
(5星)	 134            
(5星)	 很好看好嘛！！就是很难追！！            
(5星)	 无法超越！            
(NA)	 “如果死在这里的话，就说明我只是这种程度的男人”--卓洛  幼稚了点，却蛮狂的。            
(5星)	 zoro 我爱你~~            
(5星)	 看到最新更的了，終於趕上大部隊了    ::&gt;_&lt;::                           
(4星)	 梦想与奋斗，最喜欢罗宾被虐篇，哇咔咔            
(5星)	 我要成为海贼王！            
(5星)	 OP赛高233333333333            
(5星)	 上帝借尾田的手笔为我讲了一个精彩绝伦的故事！~            
(5星)	 有一天哥老了，哥还是会记得~哥是要成为海贼王的男人~~梦想不死~~            
(5星)	 我会一直追下去。。。            
(5星)	 我爱梦想！            
(5星)	 好！            
(5星)	 海贼王有西班牙语的？            
(5星)	 距离补完还有好久            
(5星)	 希望在我有生之年这部动画可以完结...            
(5星)	 第666的宝座我要献给one piece。太喜欢了。            
(4星)	 引領前後20年            
(4星)	 还是觉得动画糙一点，减一星            
(5星)	 始终是最爱            
(NA)	 心中不可超越的存在。            
(NA)	 看过前面的，最喜欢的是罗宾            
(5星)	None
(5星)	 热血信念最爱不解释。。。            
(5星)	  努力友情胜利，此乃神作。            
(5星)	 无需多言            
(5星)	 好片儿！            
(5星)	 没有比这个更让人感动得了。追到中年我也认了            
(5星)	 我喜欢。            
(5星)	 是男人就去追onepiece～！            
(4星)	 一直看完526 来评论。虽然 很支持 可是，表达的思想，从一开始到现在一直是一样的。 内容有些拖拉~冗杂~很简单的事情，很多很多集在演 看的心烦。       虽然以后还会继续看，只是因为不喜欢把情节看一半。这个片子，，，，真的。 只能说，还行            
(5星)	 新世界！New World！            
(5星)	 3大民工漫唯一还在看的            
(5星)	 一部关于友情和梦想的动漫。经典无需赘述。            
(5星)	 没得说！            
(NA)	 海贼王，我当定了！这句承诺肯定感染了很多人。。。坚持自己的梦想，不管多艰难，坚持对自己所作出的承诺！！！人活着就是为了改变世界，借用乔布斯的话说。。。还有小时候的路飞很可爱有木有~~~            
(5星)	 热爱海贼的女生都很幸福            
(5星)	 WT 神作            
(5星)	 姐也热血过！            
(4星)	None
(5星)	 绝对的神作！！！没有之一！！！            
(NA)	 从来不看日本动漫的我，在某人的强势推荐下，一发不可收拾的爱上了这部。            
(5星)	 少年漫画永远的骄傲            
(5星)	 很庆幸，大学毕业这年遇上了你，每天守着你是我2011年最美好的回忆——海贼王            
(5星)	 啥也别说了，想给10分以上，或者给无数个10分。梦想、友情、永不放弃、帮助有困难的人，很积极的动画片，有趣又感人！世界观宏大，伏笔埋得超好，片子里没有跑龙套的！            
(5星)	 每个周末最开心的事情 就是可以看见路飞            
(5星)	 OP是什么，当他们伟大航路行走完成以后，会发现他们一路走来的伙伴，情感..就是伴随他们的OP，我是看了海贼以后看的火影，两部都是很优秀的动漫，没有好与差。就像这世界本来没有路的，走的人的多了自然也就叫路了..            
(5星)	 自由！梦想！感动！个人的强大！TEAM的力量！            
(4星)	 喜欢 香吉士。绝对的骑士精神。            
(5星)	 预计13年后完结。。那年我36            
(5星)	 眼泪哗哗的            
(5星)	 one piece 万岁！！！只有这句可以说了            
(5星)	 一生所爱            
(5星)	 我只希望能在我有生之年看到Luffy当上海贼王            
(5星)	 还是喜欢看海贼王            
(5星)	 刚刚赶上进度            
(4星)	 一会儿 好看 一会儿无聊            
(5星)	 路飞 娜美 乌索布 索隆 山治 乔巴 罗宾 弗兰奇 布鲁克             
(5星)	 看哭过 QAQ            
(5星)	 我是要成为海贼王的男人！            
(5星)	 我是要成为看完海贼王的人啊！尼玛感动的内牛满面！看过的最好看的一部动漫！            
(NA)	 这个必须顶。最好看的动漫，没有之一            
(5星)	 这货也上豆瓣了竟然！            
(5星)	 少年！！热血！！艾斯啊…QAQ…女帝崩坏是怎么回事啊！！！！？？女帝木有动画那么丑啊！！！！            
(5星)	 评分说明一切！            
(5星)	 每周日固定20分钟最欢乐的时光            
(5星)	 目前最喜欢的长篇热血动漫。。。也是最夺泪的热血动漫。。。            
(5星)	 继续冒险。            
(5星)	 画面饱满  天马行空            
(5星)	 没看过海贼的人生是不完整的人生！！            
(4星)	 尾田大神的伏笔，千古难见啊            
(5星)	 sanji桑。&gt;3&lt;            
(5星)	 经典            
(5星)	 好想加入路飞的海贼团...            
(5星)	 虚构的故事，折射出深刻的人生哲理。这是一部让我内心变得强大的伟大作品！            
(5星)	 最近的大爱阿  吼吼  路飞哇哇。。。乔巴  太可爱了！！！！！！！！！！！            
(5星)	 追到中年我也认了            
(5星)	 强势霸占这么多年SD在我心中第一的位置，尾田sama要长命百岁啊~            
(5星)	 只想说 它是我最爱且唯一大爱的 “海贼王 我当定了！”             
(5星)	 我最喜欢的动漫            
(5星)	 op伴我们成长            
(NA)	 激情啊            
(5星)	 跟了10年大爱无言！             
(5星)	 男人必看            
(5星)	 世界上最棒的动画和漫画！！！            
(5星)	 one piece 我5年的珍宝            
(5星)	   我要养肥你 我可以等你13年            
(5星)	 追得好辛苦。。。哎。。。            
(5星)	 继续跟进            
(5星)	 从初三看到大三，还米有完结。但永远是我的最爱拉。海贼草帽团~~fight together~！！！            
(5星)	 20111121 看到623集。向着新世界，出发！            
(NA)	 经典  理想             
(5星)	 唯一一部希望能在死之前看到结局但又不想太早结束的漫画            
(5星)	 很久之前听人跟我说海贼王的时候，我想着也是民工漫这种东西。但是当我开始看的时候，便无限的被感动到。看到路飞他们为了友谊，为了梦想，一次次的努力，自己也变得坚强起来。神作！不需要解释。            
(NA)	 事实证明，我比较适合看民工漫，各种热血各种脱线。我就纳闷，明明人设如此丑，我却还是喜欢看。所以除了华丽丽之外，我也会喜欢并非华丽丽的东西。路飞的性格真好。            
(5星)	 我，是要成为海贼王的男人！            
(NA)	 经典之作            
(5星)	 这就是海贼的时代 尾田老师霸气            
(5星)	 致死爱的动漫            
(5星)	 最爱  大爱  无法不爱            
(5星)	 超喜欢            
(5星)	 what more I can say            
(5星)	 看到底            
(5星)	 你们知道白胡子老爹挂了后我有多伤心么！！            
(5星)	 最棒的动漫            
(3星)	 知道了什么叫民工动漫            
(5星)	 居然没标这个！大爱好不好            
(4星)	 乔巴身世那几集看的眼泪鼻涕流啊~            
(4星)	 除了热血还是热血，没什么别的了            
(5星)	 第一部也是唯一部把我看哭两次以上的动漫            
(5星)	 让人纠结的一部动漫，它太精彩了，希望它永远不要完结，但是又很想知道结局。            
(NA)	 不把命或出去，怎么可以创造未来            
(5星)	 喜欢里面的每一个角色...            
(5星)	 追漫画，据说还要13年才完结……            
(5星)	 画风另类有趣，剧情，中间有点拖沓，其他部分都很精彩，特别是各个主角的回忆史。可惜画的太慢，每周等一集的人伤不起啊！            
(5星)	 想知道什么是励志感动真情吗？来这里吧，尾田全放在了这里！            
(5星)	 绝对好看            
(5星)	 我看过的剧情最完整的，最具有连贯性，没有一点的多余            
(5星)	 2B似的热血青春            
(5星)	 无法超越            
(1星)	 就热血作来说，千篇一律。            
(5星)	 一直追到天荒地老            
(5星)	 有梦想！我喜欢！很好看的一部动漫！            
(5星)	 无人超越的少年梦想。            
(5星)	 真的是神作！            
(NA)	 哼，我也看过            
(5星)	 目前最牛逼的热血漫画，没有之一            
(5星)	 op是我看过最精彩的连载动漫。尾田也不是在画一部动漫，而是创造了一个新世界，一个会被深深打动的世界。            
(5星)	 民工漫里很不错的！            
(5星)	 友情，梦想，冒险，这是多少人心目中完美的年华。            
(5星)	 在蓝染死之后，我唯一追的超长篇就只有海贼了·····            
(5星)	 ！！！！！！摯愛            
(5星)	 史上之最爱             
(5星)	 我已经数不清自己哭了多少次了。。。            
(5星)	 海贼王是全部            
(5星)	 没有一部动漫或者电影能像海贼王那样对我产生这么深的影响。。。            
(5星)	 可不可以給足10顆星？            
(5星)	None
(5星)	 每周的痛苦与快乐~            
(3星)	 很久以前，当我发现乌索普的声优又是L的声优时。。。            
(5星)	 不打五星的都是没有看过的。            
(5星)	 太好看了，尾田神作            
(5星)	 我爱你爱到死啊啊啊啊啊啊！！！！！！！！            
(3星)	 挺励志的            
(5星)	 五星 不解释            
(5星)	 强烈推荐！！！            
(5星)	 完全是史诗般的存在！！！！！！！！！！！！！！！1            
(5星)	 娜美sama我永远的女神啊！            
(NA)	 有趣好看的海贼王，你不要错过哦            
(NA)	 喜欢乔巴，喜欢乔巴            
(5星)	 狂爱。            
(NA)	None
(5星)	 3倍速度的结果，就是五百多集的片子，用了一百多集的时间……            
(5星)	 the joy of those days, the happy.            
(5星)	 已追上。。。            
(5星)	 经典不解释            
(5星)	 一集集慢慢看起来。。            
(5星)	 神作啊！            
(5星)	 “你要好好看看这个国家的结局，毁灭也好，生存也好，在时代变迁之时，一定会发生这样的事的。”            
(NA)	 最爱~！            
(5星)	 这个不用多说了            
(5星)	 梦想就是一切。            
(5星)	 我会再追随你下个十年            
(5星)	 大爱OP！以前一直不喜欢这个画风的，但是看下去之后，感动到不行，超期待十年后草帽团成员的新能力啊~            
(5星)	 第一部让我牵肠挂肚过的动漫            
(5星)	 很喜欢的动漫，支持！大爱            
(5星)	 跟了这么多年了，动画越来越让人失望了，但不可否认，司法岛一篇章的叙述手法和所表达的张力已经到了一个前所未有的高度，气氛渲染地异常的紧凑，太完美的一次谢幕。            
(5星)	 不解释！            
(5星)	 需要说什么吗            
(5星)	 不废话 就是好看 不看后悔            
(5星)	 （=▽=&#34;）            
(NA)	 最牛逼的动漫            
(5星)	 这个必须5星，我的最爱，剧情及人设大爱。            
(5星)	 =.=            
(5星)	 经典中的经典，我能够生在大海贼时代是在太幸运了！！！            
(4星)	 海拖王 我已经没兴趣了            
(5星)	 梦想和友情的故事，看到518，赶脚从400+开始，剧情有点儿拖沓。。            
(5星)	 最爱OP啦~^ ^            
(5星)	 热血漫画...            
(5星)	 梦想是用来追逐的。            
(5星)	 虽然一开始真的不喜欢尾田的画风，但是确实是我看过最好看的漫画，没有之一，里面所有人的那句誓言都记得，很好看感人！            
(5星)	 即精彩好看又励志感人中间还不忘教育人的热血动漫。当之无愧是NO.1            
(NA)	 会一直一直追下去的            
(5星)	 这辈子最想追的就是海贼王 就算追到八十岁也愿意啊！只要尾田还活着- -            
(5星)	 “One Piece是真的存在的”                                  -----白胡子            
(5星)	 绝对满分，其他不需要多说！！            
(5星)	 命运已经无法改变一个人内心的梦想了，不管什么命运，梦想终究使他们在一起 喜欢啊            
(5星)	 391            
(5星)	 俺はルフィ！海贼王になる男だ！            
(4星)	 看了个开头而已。。。后面太多压力太大            
(NA)	 此时无声胜有声            
(5星)	 哭点太多            
(5星)	 我看海贼的时间并不久 小时候总是不喜欢这画风 结果知道长大了 才真的爱上这部戏 很热血也很能带给人欢乐            
(5星)	 我的最爱，没说的            
(NA)	 偶的追求            
(5星)	 这个不用说什么吧            
(5星)	 牛逼            
(5星)	 永远的经典！            
(5星)	 本命！！！            
(5星)	 海贼王是永远的第一。是世界上最伟大的漫画。            
(5星)	 热血啊！！            
(5星)	 最好的动漫，没有之一。            
(5星)	 身为第一批开始看海贼的人，海贼王几乎贯穿了我的生活。            
(5星)	 唯一的allblue            
(5星)	 非常热血吖~\(≧▽≦)/~！！！！！！！！！！            
(5星)	 说海贼王不好看的只因为他没看过海贼王。            
(5星)	 我是要看完海贼王的男人！            
(5星)	 超好看^^~~~~喬巴好可愛~~~~            
(5星)	 不看海贼王是人生一大缺憾。            
(5星)	 拥有梦想的人，锲而不舍；热爱梦想的人，深迷此道。            
(5星)	 很热血的动漫，期待重逢了好久，终于又一起了，支持路飞，支持海贼王！！！            
(5星)	 至爱！！            
(5星)	 有个人 可以吃下一整个世界            
(4星)	 服了！！你能再长一点嘛！！！！            
(5星)	 大三的我仍然酷爱这部动画！            
(5星)	 无与伦比！            
(5星)	 补一个分  啥都别说了            
(5星)	 很好看            
(5星)	 热血动漫，总是可以陪你一起度过很多时光。            
(5星)	 唯一喜欢的一部长篇动漫~~            
(5星)	None
(5星)	 一百颗星            
(5星)	 目前为止最喜欢的，难得里面所有人我都喜欢。            
(5星)	 五星是给漫画的，为让自己流过泪的作品打满分            
(5星)	 我看海贼完全是因为星空卫视在播 掩面 于是国庆顺便补完全集了 养肥再看太过瘾了  再养5年吧              
(5星)	 我觉得特别好看，路飞好帅，加上2年后，还厉害多了！！我每次觉得他是最强的！！！            
(5星)	 ！！！！！！！！！！！！！            
(5星)	 有时候让我感动得想哭的励志动漫，有追求有梦想，才是人生            
(4星)	 我要去当海贼！不过先吃哪个果实好呢？希望有生之年能结束。。。。。            
(3星)	 这部东西真的是我粉转黑的经典，同样是长寿面，这玩意真的像裹脚布一样，一味强调热血缺反而失了热血的真谛。反正我是这样想的，爱掐就掐呗。            
(5星)	 -0- 没有OP的日子难以想象的..精神食粮            
(4星)	 已经不喜欢看太多打架了。。            
(5星)	 无法形容对这部动漫的爱，他影响了我的人生。            
(5星)	None
(5星)	 热血动画，当自己失落时就会看一下，振奋自己            
(3星)	 和HUNTER×HUNTER比简直弱爆了，富坚最棒！！！！～            
(5星)	 能走到现在的经典很少了。。            
(5星)	 6星            
(5星)	 青春热血梦想加在一起总是让人无法抗拒            
(5星)	 热血与梦想，海贼就足够了            
(5星)	 为之疯狂过好一阵的动漫作品~~线索很用心，尾田的神作            
(5星)	 没有比海贼王更让我热血沸腾的动漫了            
(5星)	 在现实世界忙忙碌碌，在这里找梦想。            
(NA)	 。。初中看到大学毕业了都还没看完。。            
(5星)	 欢笑 泪水 伙伴 梦想 什么的 真是太美好了啊！我有没有说过 我要成为那样又蠢又帅的小梅君啊！            
(5星)	None
(5星)	 神作！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 热血与梦想，一直在路上！            
(5星)	 搞笑 深沉 热血             
(NA)	 这是我看的第二个哭的动画片  说不清为什么 电影能够把我感动的哭 开始的时候是一个同事介绍我看这个片子的  当时的为了打发时间可是当看了之后 被里面的剧情深深的感动了 里面讲述出了我内心渴望的东西 毫无私立的友情 亲情  以及那种无奈和无助 最重要的是有梦想 为了梦想不断的去追寻努力             
(5星)	 看不看，俩境界            
(4星)	 因为和漫画出入太大，跳着看了几部分，还原度还是很高的。            
(5星)	 剧情框架大但又不乱，在夸张的幻想范围内又并非乱开绿灯，暗线明线分明，于现实社会又有影射。巨爱海贼王            
(5星)	 不得不说，超级给力~~会继续追            
(5星)	 最爱海贼            
(5星)	 追一輩子            
(5星)	 很喜欢很喜欢。这就是同伴啊~感动开心悲伤流泪，舍弃牺牲，继续前进，就是你，海贼王！            
(5星)	 追到現在每個星期只能看一集，真是痛苦啊！！            
(5星)	 绝对好看!            
(5星)	 梦想,热血,向上            
(5星)	 绝对的满分            
(NA)	 要看一辈子的最爱。            
(5星)	 大爱。            
(5星)	 像说的，史诗般巨作！最近还没接受得了他们的成长...            
(5星)	 激进和奋斗，这是男人看的动漫！让我热血沸腾！！！            
(5星)	 热血，感人，友情，梦想，已经不是非常好看能够形容的了            
(5星)	 每当你坚持不下去的时候就来看看海贼王！梦想终会照进现实~            
(5星)	 赞            
(5星)	 五分不解释            
(5星)	None
(5星)	 爱死了、            
(5星)	 会一直一直一直一直的喜欢。            
(4星)	 燃            
(5星)	None
(5星)	 我先是看的火影，然后再看的海贼，看了海贼后火影就根本不想再看了，OP真的太经典了，感动了我好多次！            
(5星)	 我承认它不是完美的，但它对我已经不只是一部动画片了。我要一直追你，追到我结婚生子，和我小孩一起继续追！            
(5星)	 神作不解释            
(5星)	 这是我所看过的动漫你最好看的一部            
(4星)	 最爱 乔巴 哇 哈哈。很有爱的动画啊，但是实在跟不下去。            
(5星)	 不用解释了，this is the OP            
(5星)	 我的最爱。            
(5星)	 我叫路飞，是要成为海贼王的男人            
(3星)	 竟然没有mark过……热血片，嘛，如果初一那年追的是它而不是火影……无论如何过了热血年龄的老人我只能感叹两声NAMI酱好可爱ACE好萌……补全无力╮(￣▽￣&#34;)╭             
(4星)	 高二，此片开启吾动漫生涯。当时在学校猛赶作业，晚上一回家就狂看。有一次竟看得累倒在床上，醒来已是两三点，电脑还开着。于是在学习极端紧张之情况下一个月看完200多集，同时月考排名退步200+。            
(5星)	 比灌篮高手还要热血还要感人的动漫 最喜欢香吉士叼烟的样子超酷            
(5星)	 一生的追随            
(1星)	 东映骗钱物 不懂有什么好看的，男人的浪漫么= =            
(5星)	 回想起来海贼王确实是超越很多同题材漫画            
(5星)	 慢慢追            
(5星)	 有血有泪！            
(5星)	 神作、            
(3星)	 看過一點~            
(5星)	 不喜欢海贼王的人都是没认真看过海贼王的            
(5星)	 up            
(5星)	 我的海贼我的王            
(4星)	 每一个NB的现在都有一个苦逼的过去--海贼王有感            
(4星)	 熱血向 友情 不 基情            
(4星)	 也没看完·            
(5星)	 民工漫 最强音            
(4星)	 海贼王还算好看，主要是情节，画风一般，人物设计很有特点，但是最让人头疼的是中期剧情太拖沓了。。。一集有三分之一是op和剧情回顾，还不算片尾曲和下级预告。。。抛出这些，一集里面主要的内容就是一群人的脸，每一张脸都有2-3秒的停滞时间。估计把放脸的时间拿掉，内容大概5分钟就够了            
(5星)	 一看就停不下来，停不下来啊！主线太强大了，伏笔各种老乱，WT神人啊！以至于剧场看的一点赶脚都没有            
(5星)	 这必须五星啊！！            
(5星)	 断断续续看过十几集。。倒是挺好看的            
(NA)	 日本动画人太有毅力了，十多年了还在拍，            
(5星)	None
(5星)	 卓洛，乔巴，爱爱爱            
(4星)	 都五百多集了，竟然还有人坚持看，累啊，不都是大同小异吗            
(5星)	 欢乐的小二B~            
(5星)	 喜欢！喜欢！喜欢！            
(5星)	 OP是用猫和老鼠的搞笑方式，机器猫的想象力，阿拉丁神灯的奇妙历程，来表达肖申克救赎的人生观，阿甘正传的世界观，从而引发出辛德勒名单般的人性史诗            
(5星)	 我也想要这样的同伴,一起去冒险,问知这个世界,热血,感动,梦想,自由            
(5星)	 哇哈哈哈哈哈             
(5星)	 one piece赛高！♪            
(5星)	 海贼！！！必须5星！！！            
(5星)	 一直被他感动了10年，我们长大了，路飞桑也从吞下噩梦果实的小P孩成为悬赏3忆贝利把女帝迷得神魂颠倒的海贼。不得不感叹尾田设下的清晰的主线和复杂多变的复线，颠覆我审美的画风，永远都猜不到会发生什么的剧情…还有声优们、EP等等，这些，让我们都有不同的理由爱着这同一部动漫。期待两年后的路飞！            
(5星)	 “我就是要成为海贼王的男人！”            
(5星)	 强推            
(5星)	 我是 其虔诚的，狂热的FANS            
(5星)	 海贼王给我的不只是每周那20多分钟的搞笑热血和感动.            
(5星)	 从高三遇到OP，直到现在，永远的最爱~            
