http://movie.douban.com/subject/2229482/	拿什么拯救你，我的爱人
(4星)	 这故事是有多纠结啊，挺喜欢于娜的。            
(4星)	 当年的 刘烨 和 印小天 多帅啊。            
(5星)	 很喜欢~            
(4星)	 龙小羽有一句，当人在饥饿的时候，只有吃才是重要的，别的什么都不想了。大概是这样意思，当时真的让我想了好久好久。震撼。            
(4星)	 女主角亮点            
(NA)	 电影散场后，大家都爱上了美丽善良的白雪公主，只有我爱着巫婆            
(3星)	 9于娜演的太差其他都挺好            
(3星)	 当年拍这个片子时，我在西湖边撞上了剧组，还找了刘烨签名，那时他还不是很有名。。。            
(4星)	 以前看的 补上 于娜好美^^            
(4星)	 丁韩，好男人，值得爱。            
(3星)	 呵呵呵            
(NA)	 真实，有逻辑，人物性格精准有力。            
(5星)	 我看过的最好的海岩剧，也是最好的国产剧            
(4星)	 一种感觉。            
(4星)	 到现在都印象深刻            
(NA)	 假装学了点法律的人看到那些刑诉的东西还好是倍觉亲切嘛~            
(4星)	 当年那个痴迷，高考都不要了。。在感情上，罗晶晶是那么的高贵。。一层层的撕开人性。。            
(NA)	 我知道我的人生观从哪来的了。。。            
(4星)	 既然最后能够再找到罗晶晶，就让我们矫情地以为他们最后幸福地生活在一起了吧。            
(5星)	 深情的男子都悲剧。            
(3星)	 用了差不多四个月才看完的···· 充分证明了他的无聊性··· 印小天表演很到位 于娜很年轻 丫的最后又是一开放式结局            
(4星)	 只怪演技太差，原著还是很经典好看的~            
(5星)	 需要拯救的，是每一个冷漠的心灵            
(3星)	 男主和女主啊……都太屎了！            
(3星)	 这个是真的演得好。            
(5星)	 曾经很喜欢。            
(4星)	 还是经典经典            
(NA)	 看的我最后哭的。。。。            
(4星)	 这几天正在看新版的。            
(3星)	 小时候觉得印小天还挺帅的呢。            
(5星)	 是当时也木有觉得刘烨帅。。那那是后来的事，不过模特姐姐很美丽滴。。            
(5星)	 =。=有没有人看的时候注意了群演的服装。。。。。罗晶晶穿着大风衣的时候，身边的人穿的都是短袖。。。。这样的镜头有好多啊，导演你拍的是有多无序啊。。。。。            
(NA)	 当时觉得印小天帅很帅，没曾想其实刘烨……            
(5星)	 新版看不下去，想起老版拍得不错，所以重温了一遍。印象中应该是第三遍，可能是因为是从头到尾一气呵成地看完，所以即便知道情节，却感觉比前两遍更加震撼。全剧各个环节都堪称完美，挑选的演员形象气质都很对角色，表演也很到位。赵导很会用镜头讲述故事（虽然旁白很多，但作为镜头的辅助很有必要）            
(4星)	 罗晶晶爱得无私又太自私            
(NA)	 对于娜实在没好感，看着非常“潜”，说话也很“做”。            
(3星)	 就不明白，为什么那个女的就那么死心眼呢            
(NA)	 就记着挺纠结            
(3星)	 于娜会演戏么            
(5星)	 当时初中那会儿播的时候没怎么注意，也没觉得好看。这几天江苏卫视复播，突然觉得真是太好看了~我的品味难道就发生了这么大转变阿！自己也在惊叹中！            
(3星)	 高中时看的，因此不喜欢刘烨。            
(4星)	 当年还是跟我爸一起看的诶~            
(5星)	 重温一遍后，还是回味无穷。            
(5星)	 我的韩丁在哪里            
(4星)	 好像是我看过的第一部海岩的剧            
(4星)	 刘烨这个傻逼！            
(5星)	 很爱的 海岩爱情3部曲。。喜欢悲剧让人撕心裂肺的 感觉、。。哈哈我 在犯贱吗?            
(5星)	 当然5星~~~~~当年那个味道啊！！！！！！！！            
(3星)	 看着很累            
(4星)	 剧情很赞 世界上没有纯粹的好人和坏人。            
(4星)	 我唯一看全的海岩的电视剧~            
(5星)	 那时候超迷印小天的            
(3星)	 极限的不记得结局了囧，作为侦破剧情片有些拖沓。好吧，其实它是爱情片来着……            
(3星)	 于娜很美！小时候觉得黑暗爆了！            
(NA)	 开始喜欢于娜            
(3星)	 小时候看的 印象还是很深            
(5星)	 四星半，与《玉观音》同时看的，叹海岩！            
(3星)	 没有一个演员是我喜欢的，剧情也很大俗，但是，我看完了。。。            
(3星)	 海岩式虐人。。。我则不幸中招。。。            
(3星)	 这部没有玉观音那么有吸引力了，虽然仍是海岩一贯的风格。            
(4星)	 先看这个在看书，挺迷得，那反复的案情，但是……真相永远只有一个！            
(3星)	 这个，文艺的            
(3星)	 我竟然看过原著~OMG            
(4星)	 爱情不是人生的全部。            
(4星)	 于娜演得很不错，主题曲我需要你，很喜欢            
(5星)	 曾经很喜欢            
(3星)	 还真是看了全集。            
(4星)	 书好看            
(3星)	 当时于娜是纯外行、印小天只能是偶像派、刘烨气质又太猥琐…而且小说看完也不是很感冒。            
(3星)	 有的地方比书好，有的地方比书差。            
(4星)	 小时候觉得可动情了，哈哈            
(4星)	 绝对是拿什么整死你我的爱人。小说也好看。            
(3星)	 我挺喜欢于娜的 木头就木头了吧 挺适合这个角色的            
(4星)	 喜欢印小天            
(4星)	 蛮喜欢海岩的。            
(3星)	 赵宝刚还真是一神人            
(4星)	 海岩            
(4星)	 剧情还不错            
(4星)	 喜欢的剧            
(3星)	 于娜演的好假            
(4星)	 感觉不一般            
(3星)	 这纯属小时候缺钙长大了缺爱，还两个人一起缺钙……            
(3星)	 当时好红的嘞~            
(3星)	 高中时看的了...记得那会总记成拿什么掐死你，我的爱人~            
(4星)	 多年前上初中时看的那会，就特别喜欢韩丁这个角色，现在依然是。            
(4星)	 这个就很好 印小天迄今为止 最好的一次演出            
(4星)	 老版除了晶晶不给力其他都挺好的呀            
(4星)	 我怎么就这么爱这种调调。。。又复习了一遍。。。。            
(4星)	 很喜歡當時的劉燁。            
(3星)	 于娜真他nnd好看            
(5星)	 当年超喜欢，探索人性，还记得看的时候，我不停的揣测谁是好人谁是坏人，而人性始终是无法揣测的，故事也始终不是我想的那样单纯。            
(5星)	 喜欢印小天            
(3星)	 回忆            
(4星)	 非常好看和经典的故事，当然大的情节还是虚构的，但的确很好看            
(4星)	 想不到我爸居然喜欢这个！            
(3星)	 于娜一点不会演戏            
(3星)	 是利用还是利用？            
(3星)	 俩男主不错            
(4星)	 好看            
(3星)	 不说剧情，它拥有一个很给力的名字。            
(4星)	 雷            
(NA)	 看的时候还是觉得这个男的比较特别，那时候比较小~~            
(NA)	 老喜欢看了，当时。            
(NA)	 没看完 没看懂            
(NA)	 没看全            
(3星)	 有段时间海岩的戏必有于娜印小天            
(4星)	 唉            
(3星)	 看完了之后就觉得纠结..........            
(5星)	 老天，请赐我一个韩丁            
(5星)	 纠结，为了爱情你可以放弃一切吗？            
(5星)	 还是很不错的。            
(3星)	 喜欢这个名            
(4星)	 这电视还是有点恐怖因素在里面的。也曾经风靡一时啊。            
(5星)	 认为赵宝刚最好的作品            
(5星)	 喜欢的电视剧之一            
(4星)	 刘烨刘烨刘烨刘烨刘烨……女主角去死，男二你也从哪儿来回哪儿去，剧里整个就俩脑残。            
(NA)	 鄙视龙小羽  赐个韩丁吧            
(NA)	 某年暑假太无聊，连续不停的看完了。            
(3星)	 于娜还比较青涩            
(5星)	 好经典，大爱。            
(4星)	 以前天天追着看= =            
(4星)	 那时候看这个把我给难过的呀            
(4星)	 蛮感人            
(3星)	 情节曲折~            
(4星)	 那时认为是最好看的剧之一！            
(NA)	 那个时候很讨厌刘烨，现在相反~            
(3星)	 当时觉得罗晶晶超美，后来看《婚姻保卫战》，还是觉得于娜很漂亮。            
(5星)	 爱是自私的，也是无私的。。。            
(4星)	 因为爱，所以相信。            
(NA)	 坦白说我没看完…            
(3星)	 当时特喜欢印小天，反而对刘烨无感。            
(4星)	 海岩            
(4星)	 那时候觉得于娜还挺漂亮的...            
(2星)	 不知道说嘛呢            
(5星)	 看过的第一部于娜的电视剧，一开始就喜欢这样的女孩，总觉得身边有一个谁很像她，可是到底是谁呢，却总也想不起来            
(NA)	 4.5            
(4星)	 印小天火了            
(NA)	 當時覺得於娜小姐挺有魅力的, 印小天先生挺帥的, 現在沒有太大感覺了。            
(3星)	 WITH GRANDMA            
(5星)	 第五颗星给龙小羽            
(2星)	 无感            
(4星)	 最开始看的书…刘烨演得相当对我胃口啊            
(4星)	 无言的结局~            
(NA)	 赵宝刚真是个有故事的人。            
(4星)	 只记得，看了很久，很压抑            
(4星)	 纠结的爱情啊            
(4星)	 造星机器。。            
(NA)	 于娜有点萧亚轩            
(3星)	 印小天不错。            
(4星)	 和我妈一起看的  那时  我萌印小天那张清秀阳光的圆脸（也许是发型的关系）  以及 对于娜偷偷摸摸找刘烨花花 表示反感  对 他们为了替刘烨打官司用完遗产 表示心疼。            
(2星)	 2。5            
(NA)	 刘烨、于娜、印小天，完美组合。            
(5星)	 小羽。。。想起来就会有些难过的悲剧的人物，是什么毁了你？情和义，再给你一次选择的机会，我知道你不会这么冲动，你上过大学受过好的教育，你明事理。我知道，再选一次，你一定不会这样草率            
(2星)	 于娜根本就不会演戏好不好            
(4星)	 纠结            
(3星)	 原著比电视剧好一些，那都给个三星吧。            
(NA)	 一开始认识刘烨的片子            
(4星)	 我妈最喜欢的一个电视剧了            
(4星)	 我喜欢他的作品，因为对生活有过深入，领略过最深的绝望，所以才能在反映社会现象的同时对那些人性极其细微的美善都冥冥于心。这样的男人很有韵，对我而言极具魅力            
(4星)	 最后柳叶终于说实话啦，人就是他杀的！呵呵 多么荒诞的结局。            
(5星)	 喜欢的 喜欢于娜的 不过海岩的电视剧越来越难看了 之后出来的都跟之前的不好比了 不过赵宝刚导演是一如既往俄赞            
(4星)	 百看不厌的一部海岩剧            
(3星)	 刘烨的戏份太少了            
(3星)	 于娜的演技太不行了。。。            
(NA)	 从此认识刘烨。。            
(4星)	 原来确实喜欢简单的印小天。。            
(3星)	 看一遍就得了            
(4星)	 电视剧里面偏爱海岩剧            
(NA)	 唉            
(4星)	 从这部开始看海岩剧。            
(4星)	 女主角人员，一败笔~~            
(3星)	 原来海岩的剧都挺火呀。            
(5星)	 龙小羽呀龙小羽            
(4星)	 剧名长长长...            
(NA)	 看于娜哭的样子禁不住一身的鸡皮儿疙瘩~~            
(3星)	 还行吧            
(4星)	 “我想你了”            
(5星)	 看的第二部海岩剧。            
(4星)	 无论是祝四萍还是龙小羽，都是极其复杂的人物，也许这是他们个性的复杂造就了后来的种种悲剧吧=。=“人甚至能够为爱情牺牲性命，但不能抵抗饥饿的侵袭”这话说得真TM经典            
(4星)	 当初忒迷海岩            
(NA)	 …印小天也是就那会儿挺帅，后来…唉            
(5星)	 一波三折，荡气回肠…            
(3星)	 第一次看到不懂珍惜身边人的角色，不解            
(5星)	 海岩的故事写得不错，人物的刻画也非常有意思。而且是因为这部电视剧，我成了刘烨的戏迷嘿嘿            
(3星)	 不知道为什么不怎么喜欢刘烨啊。。            
(4星)	 刚迷上海岩剧时看的            
(NA)	 豆瓣也开个有声书专栏吧  这个我听的第一部有声书            
(3星)	 不知道怎么说。            
(4星)	 除了女主角的演技,肯定一切            
(3星)	 那段 被电视剧毒害的日子            
(4星)	 小羽的结局很杯具。            
(3星)	 海岩剧的一贯风格，每次看完一部我就会非常讨厌主角而喜欢配角，真是奇怪            
(NA)	 感同身受            
(NA)	 拿什么可以整死你，我的爱人            
(3星)	 书好看            
(2星)	 海岩的东西都是这样。。。            
(NA)	 最开始，是喜欢刘烨那种略带忧郁的气质的。拿什么拯救你，我的爱人。最后，居然是被夜宴里面的他击毁了所有的形象。可能，只能说明他在电影里，成功了。            
(3星)	 有点不懂 对水乡有兴趣······            
(3星)	 没有人。            
(NA)	 生活就是这样，能用什么给你爱的人；因为很多现实的因素，害怕再次受伤，初恋的阴影到现在还没有散去，发现自己之后的恋爱都是因为寂寞才恋爱，又马上很快的终止，怕伤害都别人。拿什么拯救你，我爱的人？            
(3星)	 太厚了            
(4星)	 先看的书            
(NA)	 少数几个从头到尾看完的电影            
(4星)	 于娜和印小天穿风衣的样子～            
(4星)	 除了刘烨，演员很多我不喜欢的，唉            
(NA)	 看的时候还在小，听着那种低沉的音乐，有点儿害怕，毛毛的 但是情节还是很引人入胜滴~            
(4星)	 好像是安徽卫视一下午一下午地放七天长假 就无声无息地看掉了            
(5星)	 这个我爱~~~            
(4星)	 看完好一阵缓不过来            
(3星)	 没有书好看。            
(4星)	 不知道为啥刘烨给我一个永恒的印象就像是吸大烟的            
(NA)	 于娜演技不佳，样子很好看            
(3星)	 tv            
(3星)	 貌似有點虐            
(4星)	 很不错，尤其是两位男主角，演的很到位。于娜的演技就不敢恭维了。            
(NA)	 拿什么拯救我。            
(3星)	 拿什么拯救你？什么都行。我都舍得。            
(2星)	 他们的故事有点儿莫名其妙            
(4星)	 拿什么拯救你？？？            
(4星)	 虽然看的我很郁闷            
(NA)	 小时候看的时候并没有想太多，只单纯地期待刘烨他不是凶手，于娜的一腔真情可以修成正果。。。现在再看，海岩这本小说里深沉的压抑让我十分难受。。。人性实在是个太难懂的问题。            
(4星)	 我爸问我，为什么晶晶不和韩丁在一起。。。。。。            
(5星)	 只能说是经典            
(5星)	 第一部完整的            
(5星)	 唉！！            
(3星)	 一直觉得印小天不错！！~            
(4星)	 很喜欢印小天的那个角色            
(3星)	 还行~~三个主演都不错~~            
(NA)	 曾一度痴迷            
(4星)	 刘烨第一次惊艳。            
(3星)	 还记得当年看的有劲，现在却舍不得豪迈地打个四星~这是为啥咧？不喜欢女主角于娜            
(2星)	 讨厌于娜  没什么演技            
(4星)	 貌似我结局还没看完，喜欢刘烨。            
(3星)	  于娜演技有待提高            
(3星)	 看不懂，和年龄有关吧            
(5星)	 小印 我当年不该学你那个表情和动作            
(5星)	 其实我爱印小天......            
(5星)	 很悲情很伤感的一部片子            
(4星)	 刘烨吖！！            
(5星)	 印小天很帅很帅            
(4星)	 不错的一部电视剧,有内涵有演技!            
(4星)	 印小天很帅            
(5星)	 那是在药大暑假的时候，回家爸爸推荐我看的，他自己看了两遍。也许爸爸是个比我还执着还恋旧的人，《潜伏》他看了无数遍，只要电视台放，他就看。《拿》是我接触的第一部海岩剧，从此一发不可收拾。多年后的今天把《拿》的最后一集又看了遍，没想到还是会被它感动。也许我的爱情观还没被这个社会同化            
(NA)	 很喜欢印小天            
(NA)	 第一次认识刘生            
(4星)	 还行            
(4星)	 罗晶晶那样的女人。。。。。            
(4星)	 不知道为什么有点小阴影~~            
(5星)	 苦情 悲情             
(4星)	 片子不错！韩丁太完美了，于娜演技实在不敢恭维。            
(3星)	 可能因为不喜欢演员吧,看不下去.            
(4星)	 灰姑娘只在童话里，地位决定爱情，龙小羽既背叛了公司，也没守住爱情，还想在杀人后用爱情让自己的内心不受谴责，没什么值得同情的            
(4星)	 好多年前看的啦 不明白龙什么为什么把他女朋友杀了 上床就上床呗 也不至于杀了呀             
(5星)	 感人的爱情故事。            
(3星)	 太纠结。            
(5星)	 03年,正值全国热播,和sea去丽江,天天晚上守着看,到10点来钟结束才出去觅食.            
(4星)	 很吸引人的故事 只是對愛情的描寫實在太談了 女主角是一個不值得愛的人 印小天浪費了他的青春和愛情            
(5星)	 这个，印小天很帅            
(2星)	 冲着海岩看的.            
(3星)	 电视里的律师都是演来骗人的。            
(4星)	 在海岩的剧里，这是我不太喜欢的一部            
(3星)	 看过一点            
(NA)	 我爱他文字的风格            
(4星)	 还好 还好            
(5星)	 偶是绍兴拧...            
(3星)	 喝爸爸一起看的电视剧但是都已经忘记内容了            
(NA)	 比看电视有感觉            
(5星)	 最喜欢的一部电视剧            
(3星)	 其实我看的不是很蝗明白            
(5星)	 1.有人说这部戏里面，于娜的表演乏善可陈，但我觉得挺好，而且她的女人味深深地吸引了我。2.刘烨...在这里十足是个配角，甚至让我觉得有点多余。3.印小天的律师同事，是一个讨喜的角色，台词很棒，他后来在《奋斗》里扮演了马伊琍的父亲。            
(3星)	 唉，我们班有个人也叫罗晶晶            
(3星)	 没有太明显的感觉~            
(NA)	 当初很爱~也因此爱上海岩剧~            
(3星)	 就是这一部龙晓宇我爱上了刘烨，太想我的初恋了·~            
(NA)	 看过漫画，然后看电视剧的那种            
(4星)	 不过也没有小说好看            
(3星)	 貌似当时的档期和玉观音冲了。。所以不太火。。            
(4星)	 断断续续看的，有些情节有些颠倒，不过总体感觉蛮喜欢            
(3星)	 有关杀人的片段拍的还挺吓人的             
(5星)	 是海岩剧中我最喜欢的，绝对够拧巴            
(5星)	 海言唯一一部能让我喜欢的片子            
(3星)	 还是书比较好看            
(3星)	 很一般            
(3星)	 女主角的表演太恶心了.            
(5星)	 不知道为什么这么多人不喜欢，反正是我最喜欢的海岩剧            
(NA)	 看过，很感人。            
(4星)	 断断续续没看完，感觉是一段很坎坷的生活            
(3星)	 不要与命运相背而行...            
(3星)	 对此类题材 还是想敬而远之 ..            
(NA)	 女主角真难看，刘烨太阴郁。但剧情有吸引力。            
(3星)	 那时候的于娜真当还不错啊。            
(3星)	 不喜欢于娜，印小天也不咋地            
(4星)	 到底是不是龙小宇杀的人呢？我到现在都不知道，啊，刘烨            
(5星)	 结局让人很震撼~~人性中的邪恶与良心的较量~只是苦了印小天~            
(3星)	 中考完看的。            
(4星)	 爱死了.都...            
(3星)	 the book is better            
(4星)	 弓着背走在桥上的你            
(NA)	 我的爱是那么的坚定和坚持            
(5星)	 国内最好看的电视剧之一，集数也刚刚好            
(3星)	 对于娜没感觉            
(3星)	 刘烨魅力。            
(NA)	 很喜欢名儿            
(NA)	 没看过结局~~            
(5星)	 非常喜欢的一部电视连续剧，这种感觉，故事情节都很喜欢，包括最重要的演员的选择，都比较养眼，名字也起得好啊，拿什么拯救你，我的爱人。。。。很久以前看的时候就在想，也许起这个名字是因为罗晶晶想拯救龙小羽，而韩丁要拯救的就是罗晶晶。。。。还记得句当时挺喜欢的台词，韩丁说，爱是自私的，也是无私的。。。最喜欢韩丁了，为了自己爱的女人去为她以前甚至仍爱着的人辩护。。。。这样的男人，现实世界许是没有了罢            
(4星)	 终究是一场虚幻            
(3星)	 女主角演得实在一般            
(3星)	 不喜欢于娜            
(3星)	 没连着看，印象不深            
(4星)	 重看，才发现只记得当年印小天和刘烨监狱第一次见面的场景。刘烨，真TM惊艳啊惊艳！（110913）            
(4星)	 海岩真是个才子呀            
(5星)	 第一次看海岩编剧的作品,当时很是被吸引,盼着看.            
(3星)	 貌似当时没看结尾……            
(3星)	 龙小羽演的很自然很到位。感觉新旧两版，有些主动和被动关系换过来了。            
(3星)	 刘烨，怎么能和帅成等号？            
(3星)	 只记得前半段            
(3星)	 于娜是个模特，不是演员            
(3星)	 看过书 电视就没怎么看 从对永不瞑目的执着 接续着看海岩的N多小说            
(NA)	 很压抑的一个片子...想起一句歌词：哪一年，让一生，改变...            
(3星)	 呵呵，老六老说“拿什么整死你，我的爱人”            
(NA)	 刘烨             
(NA)	 没有看完            
(4星)	 还不错，但更爱书一些。            
(3星)	 看到后来全混乱了            
(5星)	 海岩的作品真的很剖析人性。。。            
(NA)	 第一次注意到刘烨            
(4星)	 演得很好            
(3星)	 拍成电影应该更好            
(NA)	 每天下了晚自习回来后 就在放这个            
(4星)	 有点纠结的情节，但还是有些发人深省的东西            
(4星)	 看了新版之后把旧版提高了一星..必须的.. 韩丁真完美            
(2星)	 没有激情保露镜头 于娜很漂亮 身材也好 最喜欢片尾曲~            
(NA)	 先是看的书            
(NA)	 开始喜欢于娜··            
(4星)	 这个电视剧的结局真是出乎我的意料，原来刘烨是坏的，于娜长的不怎么地，倒是印小天长得是不错~现在也混得不错~            
(4星)	 拿什么拯救你，我的爱人？绝不是爱情。            
(3星)	 以前在家的时候和老妈一起看的，不喜欢刘烨，不喜欢            
(NA)	 和妈妈一起看的~~~怀念！            
(4星)	 这是一种扭曲，你们不明白吗？不敢说自己懂了。            
(3星)	 电视剧虽然拍得比较次，感觉好歹是把意思说清楚了。            
(4星)	 觉得印小天是新好男人。。            
(5星)	 看过最经典的一部片子            
(3星)	 好吧，我确实又记不得是什么剧情了！看来我该重看的剧好多。。            
(4星)	 吃饱饭的和没吃饱饭的认识的世界是不一样的。所以，终究可以理解，但无法接受。。。            
(3星)	 太乱．．            
(3星)	 2004            
(NA)	 让我开始认识海岩。            
(NA)	 拿什么整死你,我的爱人            
(3星)	 小辞喜欢刘烨 我喜欢那女的            
(3星)	 其实我很怕海岩。            
(5星)	 生活中很正派的人，在某个瞬间也会有邪恶的念头，做出很残忍的事。一个彼此都相爱的初恋，是让人难以忘记的，不管你试图怎样努力的去忘记。韩丁的爱真的是只管付出，不问收获吗？我不信有这样的爱存在。在晶晶离开他后，他不也是每时每刻的都在盼望着她能再回到她身边。生活中的龙小羽简直就是一个完美的男人，也是我一直想努力做到的。不过，他杀人的那一瞬间太不应该了。            
(3星)	 只喜欢里面的韩丁，三高人才            
(3星)	 没看到结局...            
(NA)	 集集都看，有点意思            
(3星)	 喜欢刘烨            
(4星)	 女主很傻很天真，如果世界上有印小天演的那样的男人，我愿意为他去死            
(4星)	 匪夷所思            
(NA)	 2002年            
(NA)	 看完挺震撼的，也特感人，哭啊哭……            
(NA)	 还行            
(5星)	 经典经典            
(NA)	 最不喜欢于娜            
(5星)	 人性有时候会被贫穷扼杀            
(4星)	 看过的几部大陆电视剧中，最喜欢这一部了！剧本好，拍得好！            
