http://movie.douban.com/subject/6536294/	守护BOSS 보스를 지켜라
(3星)	傻傻的王子是需要一个气场强大的女人来保护的 整体来说 这部剧里是没有绝对的坏人的 如果不喜欢虐的话 看这部剧应该很合适的啦~
(3星)	前面还行，后面太假，没看完。
(4星)	女主角看久了有点腻，但是池城演的单纯boss很可爱很帅啊，和以前很不一样，特别是得瑟的笑的时候，给人池城原来还有这样一面的惊喜。在中也很棒，女二也挺好的，没什么大坏人的剧也挺好看的。
(4星)	虽然内容依旧空洞老套，但真的很好看啊~金在中金在中首次电视剧~ 池城长得好像陈新啊~ 池城好可爱啊啊啊啊啊啊啊啊！疯了！都看通宵了 结局略仓促
(5星)	我喜欢车智宪，三个女人也很逗。。。
(2星)	做作的表演幼稚的男主角蹩脚的剧情 唯一的优点是有几对越吵闹感情越好的活宝
(5星)	池城真的很帅啊！！！！
(NA)	还行吧。。。
(4星)	难得有一部能耐着性子看完的，就是男二长得太娘了，演技做作
(1星)	又看不下去&gt;O&lt;求好看的电视剧啊电视剧！
(5星)	喜欢四个主角。
(5星)	纯粹是为在中看的，看了后觉得池城很棒，看着女主突然有种金三顺的feel= V=
(5星)	就算不是为了在中，这部剧也很不错。不要因为女猪弃了这部剧，坚持看一集，绝对就会有看下去的欲望了！
(NA)	实在追不下去了。。。不过小爷您还真是本色演出捏╭(╯3╰)╮
(4星)	池成好感度越来越高，至于女猪首先是越看越惨不忍睹，其次是公鸭嗓子好破坏美感度，最后演技还是可以的
(3星)	池城，还是不错的·
(NA)	男女主太老了~~
(NA)	韩剧总是这样。。虎头蛇尾
(3星)	在中阿~~~~~~
(5星)	因为金在中的人气所以试着看了，结果不但验证了金在中的人气传说，还新发现了一位帅哥：两位男主都是帅气+演技，两位女主不能说不好，但感觉与两位男主不太搭，总觉得少了点什么，要是超级大美女配会好些么？看剧时这样想来着，当然都演得不错啦，剧情也很意思，五颗星！比《城市猎人》有意思多了！
(2星)	最终没有看完！越演越搞！
(5星)	在中一改平时 柔性而善良的面目  以一种全新的 强势而沉稳的面貌出现在 银幕上，很大的突破，太帅了！！
(5星)	又搞笑又温情
(4星)	就是从这个剧开始喜欢上池城的。印象深刻的是他在剧中的一次做演讲后那一个手势和笑容。可是女主角真是不敢恭维，还号称什么“最强童颜”？笑起来那个眼角纹那叫一个深啊！而且服装很怪，就像是八，九十年代的衣服又翻出来了。最近看到很多韩剧都很类似，尤其是那种衬衫......还有包包，长长的肩带回归
(3星)	除了搞笑的没有逻辑的设定 唯一让我蛋疼的就是在中兄的发型···
(4星)	难得一部剧男一男二我都喜欢，而且女二也那么可爱，怎么就不能换个女主呢~~~~~~池城的眼睛太好看了
(4星)	各种吐槽、搞笑很有爱！女主虽然有点老不够美（虽然剧中男人都说她好美爱她到死）但身材很好性情很真，而且还有在中SAMA~~~ 中后部剧情慢的有点厉害了，难道是剧太火故意拖集数？为什么不能欢乐到底必须纠结那么些集呢……大家都知道会是HAPPY ENDING你欲扬先抑个什么劲嘛！
(4星)	除了女主外，在每位演员身上都看到了惊喜~~前面很哈皮，后面就开始狗血了~
(4星)	喜欢男一的一家..感觉前半部分比较精彩，后面续得有点零碎..
(4星)	웃겨
(5星)	我最最最最最喜欢的偶像 金在中！这里池城的演技也打动了我~~   在中在这里好帅的说！！  花痴中...
(4星)	现在韩剧男主都往谐星方向发展了么。。。太搞笑了啊整个剧也很搞笑，女二也很颠覆传统~
(5星)	轻松幽默的一部韩剧，值得一看。
(3星)	女主老得不行 该换新生力量了
(3星)	大眼妹真是可爱又漂亮啊~
(3星)	肿么办。。。看到女主角的脸就走神，对在中实在无感，如果有池城cut就好了````
(3星)	并不紧凑的剧情，女主角也明显偏老。好在还有些笑料，没有什么要求，打发时间还凑合。
(5星)	挺欢快的,且我很私心~
(3星)	看了就看了，又度过了空虚的一昼夜。。。。
(3星)	喜欢BOSS背双肩包那段，哈哈哈
(3星)	被男主角感动到了。后面是拖着看的，主要就是受不了那个老女主角，其他3个主角都ok
(5星)	什么都不用说~就五星~
(5星)	难得的清新作品，和以往韩剧伤感失忆复仇不同，对重拾积极向上的生活态度非常有帮助，值得一看！也因为此剧，爱上池城！
(3星)	一共18集  估计编剧写到12集时就无料可编了  于是开始尽情的洒狗血  好好的一部爱情喜剧片硬生生整成了反腐倡廉宣传片  12集结束绝对给5星了  喜欢男一喜欢男二喜欢女二喜欢男一他爹
(3星)	白烂啊。我居然还坚持了六集。
(3星)	虽然韩剧女主多选平凡长相的，但不至于这么显老吧，那双眼睛实在让人难受。喜欢所有角色的互动，尤其是男主家的人都太可爱了。男二咋能把自己过得那么憋屈呢，看着就累。
(3星)	前半部分好看 后面就越来越拖沓了
(2星)	虽然是有点搞笑,但也抵挡不了我对编剧莫名的不耐烦.是第一部拖着看的韩剧.要不是为了看在中,根本撑不过4集.
(3星)	虎头蛇尾的的典型
(5星)	在在还是那样帅哈········可惜的是，女主都不咋滴，配不上在中他们哈·····
(NA)	弃了。。。
(4星)	前面蛮好玩的
(4星)	周六终于看完了，韩剧中的欢乐型，看到最后最爱女二！
(5星)	很喜欢江崔熙，池城，演技很不错，虽然还是以为的韩剧，但是在我看来很感人。。。
(3星)	反而觉得爸爸演的很出彩，有意思的角色，好可爱的爸爸
(5星)	越来越不喜欢让人纠结的剧情，这部戏是让我从头笑到尾，能观众欢乐的作品，我认为是好作品。喜欢里面所有的演员。
(4星)	算不错了 
(5星)	好看，很欢乐，近来韩剧里演的不作的片子可真不多了。
(4星)	比我預想的要好！！！一直看的很歡樂
(4星)	很有意思的韩剧，就是女主丑了点
(4星)	可爱一家人
(3星)	曾几何时我腿摔了的时候 就是靠这些货来度过百无聊赖的日子 等我腿好了 这神作可以弃了..
(5星)	可以轻松观看的~
(4星)	剧情前半部分还蛮搞笑的，不过到了后面还是有点些许的俗套。在中眼袋好深哦，感觉池城和他长得还真有点像呢，都太瘦了。。这次池城的表演倒是给了我意外的惊喜，一直都感觉成熟稳重的他改起戏路来了，不过也蛮成功的。这次在中的表现也蛮不错的，继续加油哦，期待下一部演主角哦！！
(4星)	看了两集，继续继续。。。
(4星)	轻松搞笑
(5星)	很好看啊
(4星)	逗趣
(5星)	池城演恐慌症的时候傻乎乎的，有种想保护他的冲动。
(3星)	哎~~看到十几集还是弃剧了
(4星)	苍白的剧情也掩盖不了super star~
(4星)	主角都不漂亮，不过剧情很轻松，幽默~还是可以笑笑的~
(2星)	如果非得有点评论，我想说演技实在够假，演员长得也不好看，这部电视剧刚开始还能当喜剧看一点，到最后完全是强忍着看完。
(2星)	看不下去了 像中学看的小黄书上的爱情 弃剧
(3星)	一般般，后半部分女猪脚一改喜剧爽朗风范，哭哭哭个不停，逼我快进结局了。
(4星)	给在中！
(4星)	很轻松的一部剧 男主角很萌啊  在中有突破
(5星)	爆笑的纯粹的喜剧啊
(4星)	虽然男二女二的感情线索不够清晰，但两人角色设定都讨喜也不赖。虽然女主不够年轻貌美，但到最后真诚坚强的笑容也足够温暖。各位充当陪衬的老戏骨带来了足够的笑料【总觉得故事中段展开有点戎沓，所以显得收尾有点匆忙？
(4星)	挺搞笑的。以上。
(3星)	虽然还是蛮新颖的 但是还是看不下去 单薄
(NA)	我看不来啊啊啊
(5星)	大爱此风格~~~剧情进入速度快，爱情主旋律牢牢抓紧，男猪形象可爱，女二、男二不再让人纠结着是同情还是讨厌，轻松、诙谐、幽默~~~虽然没什么深度，可以不计，谁让我本来就狂爱没营养的剧呢，哦吼吼~~~
(4星)	男一号神马的正戳中萌点啊，也是个圆满的结局。。。
(4星)	前面部分很搞笑，池城和王智慧演得都不错，角色设定也好。崔江姬的颜实在是快不能看了，老得好快啊，各种五官不协调。金在中说起来还是个新手~
(5星)	这里面的配角都非常可爱，而且越来越可爱。明兰姐姐~
(3星)	冲着金在中看的
(4星)	后面情节有些拖沓
(5星)	人物都很不错，很搞笑的情节，剧情也还好。。最近出来的一部轻喜剧
(3星)	也不错的富二代剧，要不是最近看的韩剧太多了，对这部剧的感受应该比现在强烈些吧。。不过主题真心陈旧
(5星)	耶～
(4星)	第一次看在中演戏，感觉还不错，觉得比MICKEY要好一些，但是最有趣的居然是车会长母子，很可爱的老人家，觉得还是老一辈的功力深啊。
(5星)	算不算是黑马一匹？此剧无典型三角恋、女主不美丽、男主不王子，但欢乐得无可挑剔。剧中人物无年龄限制各出奇招，尽显萌态。
(3星)	女主角整得，真不适合演偶像剧
(4星)	男一男二兄弟情太可爱了，人物都很可爱啊
(4星)	全剧从头到尾唯一看不厌烦的当然是火爆脾气的老爸，太可爱了。
(3星)	还好吧。女主实在不是我喜欢的类型。搞笑部分很成功。
(4星)	爱情的力量是伟大的
(4星)	剧情一般,但人物各种欢乐~~~
(NA)	除了女主整过度外，情节还行。
(4星)	不错不错，和以前印象里的韩剧有区别。
(4星)	向来对韩剧没太多感觉，不过鉴于此剧笑点十足就小推四星吧~
(4星)	首先不落俗套的韩剧就算是成功的了，很可爱的电视剧，然后男女主很适合，演技还是有的，在中一点点夸张的演技多多少少被这个本来就完美的角色掩盖了，最后婚礼外两男人被吓到的表情太可爱了。
(4星)	蛮好笑的啊，就是男二的眼睛和女一脸上的褶子有点难受
(4星)	女主有点败点了。。
(3星)	第一集爆笑……幸亏不是在中哥哥当男主！不然果断不看。二集后就无趣了！！！！！！
(4星)	刚看完结局，挺美满的。尤其听到车本求婚时说：我们结婚后恋爱吧。很暖心的。觉得仿佛明白了很多东西，可也说不清是什么。
(3星)	女猪脚的脸很像整容失败
(4星)	没想到18集的长度我会看完了,加一星后面看了一部导致的！
(2星)	虽然我妈都看完了，但看了第一集实在是看不下去了，中间零星看了一些，女演员太难看了
(5星)	据说看喜剧会提高疼痛阈限！
(NA)	女主实在像以前《正大综艺》里《世界真奇妙》的那个外景主持。
(4星)	咆哮爸爸好可爱啊
(3星)	剧情还可以吧，跳着看完的，着重在金在中的部分了，女主实在太。。
(5星)	很搞笑哈 
(2星)	实在看不下去，女主那张做作的脸，能在丑一点嘛！ 男主演技还行，还有一位就不评论了
(5星)	男一男二超级有爱~~~
(3星)	我们结婚后 恋爱吧
(5星)	看这部会觉得开心
(3星)	还行～还挺欢乐的！很喜欢女1号的性格～
(4星)	我是看了开头直奔了结尾的娃~
(2星)	开头不错，只是后来好拖，BOSS太早看上女秘书，有点让人失望！
(4星)	每个人都好可爱哦。。
(4星)	结局我喜欢
(1星)	半集弃
(4星)	前几集比较好看，后面的故事进展有点不是很顺畅。但总的来说还好吧。尤其是有金在中和池城同时出现，先不说戏怎么样，养眼是一定的。
(NA)	小兔子，偶没有看完，咋办？
(3星)	女二号好搞笑，和她妈妈一样是爱哭鬼
(5星)	很有笑点。
(4星)	前几集不错,后半段够烂...3+1星给可爱的女二~
(5星)	看光了哦也
(4星)	一貫韓劇虎頭蛇尾的作風 但真心的作為KJJ第一部電視劇 表現的絕對是期待以上的水準 只是戲份問題神馬的 不言而喻 池成兄還是一貫好演技 只是演這角色有點大材小用了 圓潤西皮還是很萌的 想想韓劇裡很少這樣女追男倒貼式的愛情戲路 什麽時候作為主西皮也是不錯的
(4星)	一部不拖拉的好剧 弄得本小姐数学考成shit的剧!!!!!!!!!!!!!!! WHF
(NA)	作业多的时候 总要弄个无聊的片子娱乐娱乐...
(5星)	难得女一女二关系这么好。。所有的人物都很可爱。还是蛮有爱的一部~
(5星)	喜欢笑起来眼睛里有星星的男人。。
(3星)	我滴美男啊~飞机头什么的让人很不待见~
(NA)	我也不知道自己怎么了，看到12集就弃了
(5星)	喜欢池城的笑容，太可爱了
(3星)	四个小年轻都算好人，有钱大人们闲得慌脑袋搭牢要搞点事；后半部讲跟没讲似的。。。。。在中表现不错
(3星)	后面太墨迹了，嗯，为靠谱室友和率直女二，给三颗。
(4星)	喜剧...男主还挺好看的.发现在中也演的不错嘛....嘿嘿嘿嘿
(4星)	很搞笑，很喜欢长大后的男猪，很喜欢男猪的爸爸
(4星)	池城和在中各种可爱啊啊啊啊
(5星)	欢乐，无比欢乐
(5星)	姐姐我是有多久没追韩剧了…追完了《守护boss》最后一集真心好看阿~里面每一个人都超级有爱有木有!!! Happy Ending 开心丫~如此可爱漂亮单纯的女二从开始就很喜欢，池城的演技真是了得，man在中是理想型，可爱的奶奶，各种角色各种爱~轻喜剧丫老欢喜叻~最后一集真的好好看~  新浪微博@我是靓姐 
(3星)	我是有多无聊 啊~~~~~~~~~~还居然看完 额~~~~~~~~~~
(2星)	看到8
(4星)	一部剧里 从主角到配角 甚至是打酱油的 都各自有爱着 
(4星)	难得四个主角都这么好玩！尤其是女二！
(4星)	片名俗剧情不俗，社会家庭教育成长治愈片来着，值得一看。。
(3星)	为金在中看的，但是男主很萌啊
(4星)	笑点很多，很欢乐~
(5星)	哎一古 圆润CP大美好!
(4星)	温暖甜蜜的ending，为剧中令人捧腹的轻喜剧基调和偶吧打四星。但作为完整的剧来说，还是缺了狗血，冲突不足。商业战争不够惨烈，love line不是应该把混乱的四角关系搅得更虐一点么？这么早就划为正常的2对完全不是韩剧的路线啊！而且剧中没一个真的坏人，怎么搅得起波澜嘛。。。好在每集都有笑点~
(4星)	每个人都很搞笑 轻松一下还是ok的
(3星)	就是四个智商没到70的在谈恋爱。。。看到后面很喜欢女二啊。。。
(5星)	没有使坏的女二  所有的人都很可爱 哈哈 喜欢池城很多年了
(4星)	还不错男一女二都很可爱
(4星)	有点像最佳情侣，不过更喜欢这个可爱老板，女2居然也讨喜，不错
(4星)	喜欢四个可爱的角色2011.9.30
(3星)	1-12、16、18，想给四星来的，可惜女一实在……
(3星)	女一太难看了，和这个剧不大配啊！！！
(5星)	崔江熙和池城在一起显得真是太老了
(5星)	哈哈，我喜欢的boss ，喜欢池城！！女人有点老了点，可是还是蛮潮的。
(4星)	最喜欢女二号，太可爱了^ ^，每次出场都想笑。OST很好听~
(5星)	池城演技了得，女主太老了点儿，但是演技也不错。故事很假，但我乐在其中，没办法。
(3星)	父在升降机打骂池城，旁人爬高挡摄像头，够闹。
(3星)	第一集崔江熙在夜店走道打退敌人，呵呵朴赞郁、崔岷植【老男孩】
(3星)	王子和灰姑娘的故事诚然陈腐，胜在索性连寻找高跟鞋主人的梗也玩戏。
(3星)	後面有點萎靡 
(5星)	这才是爱情的样子。亲情的样子。友情的样子~
(3星)	情节不赖，可我是‘外貌协会’滴，总觉得男女主角配角4人的样子都不够好看。
(3星)	本来同期中最喜欢的，六集后无感了，弃之
(NA)	各种的职业打扮，啊终于看完勒
(NA)	第一集的一半
(NA)	看了16集，15快进16跳过。女主老菜皮，瘦腿如柴，脸照旧大，绝望。男主像尔康。在中美貌无比，遇到高清有瑕疵。女二可爱无双，碰到事情就大哭。此剧奸情多，男一男二兄弟基情摸脸拥抱踢屁股，女一女二先闹后好、女二女配吵吵抱抱、仨同居。ps：在中演成功男，一遇男主就斗气，他俩可谓脑残儿童欢乐多！
(1星)	为什么不可以不给星呢。。。弃剧了。。。毁了池城oba。。。
(4星)	前10集看的非常乐呵，后边就有点俗了。。。知道这片是因为有在中，看完最喜欢的是男主，女主长的实在是。。。太老了。。。。。。。。喜欢男主爸爸~~哈哈，黑道社长
(3星)	http://tv.sohu.com/s2011/shboss/
(4星)	부장님 넘멋지녕ㅠㅠ
(3星)	池城实在太可爱。。。金小花的话，他演的我都接受吧……
(4星)	因为是在中，所以去看了。其实感觉也就般般吧，可能是韩剧大多剧情都是这样。女主角真不怎么样。
(2星)	看着看着觉得男主角有点像姜至奂,查了资料后才知道男主角的女朋友是李宝英!看到最后觉得有点闷。跑题。金在中在这部戏里没《天国的邮递员》好看。
(4星)	前面是不错的搞笑片，后面的悲情部分有些烂尾
(5星)	爆笑喜剧，很搞笑的角色。
(3星)	冲着池城看的，越来越帅了真的是~~只是，只是这女主是谁？崔江熙？我咋没听过内？整容整得丑了点儿……唉~~
(3星)	女主 太老了
(NA)	大胆的推测。。这个编剧一定看过SPEC。。
(5星)	女主打架的时候完美啊 黑道爹有爱 男主卖萌
(4星)	这里面每个角色都很可爱。
(5星)	池城啊池城~~
(2星)	前半段太好笑了~!池城髮型雷死人，崔江姬有夠老氣的，真不懂韓國整形技術這麼先進的國家，怎麼會覺得她是童顏？！看的時候覺得不錯，但奇怪也不會想接著看，拖拖拉拉斷斷續續的看
(5星)	HAHAH阿爸
(4星)	我知道我不该看韩剧,但是个别韩剧还是很好看的
(3星)	看在小哥哥的面上三星。。。。
(3星)	喜欢女2号
(5星)	女二党~
(4星)	好囧的女一
(4星)	他又是配角，好歹进化为男二了，还是值得庆幸的女主有点老，注定不能和在中配了比《无法坦率》好多了
(4星)	因为在中才看的 不过剧情实在很狗血 灰姑娘和富家公子 公子又有人格障碍 “妈妈朋友家儿子”那种男二号 神马骑单车神马两天一夜去外县旅行 在中也老咯哦 而且发型不好看 编剧明显是他粉丝 从头到尾毫无遗漏的秀了他的才艺：唱功 日语 最后居然还做饭…… 要是有JYJ来客串就更到位了 因为在中多给一颗星
(NA)	这是我最后一次这样看韩剧。
(5星)	智贤生气狠可爱O(∩_∩)O哈哈~
(5星)	喜欢池城和在中！！！
(3星)	终于跟完了~笑点也还多~呵呵~明天开始上课鸟~~呼呼！~
(5星)	人总是会经历一些事，然后长大。男主人公就是一个例子。很喜欢这部韩剧，超可爱的说~~
(4星)	搞笑，为了大哥去看，结果觉得池城oppa也真心萌啊
(5星)	真心好看，池城偶吧真心萌，童颜屎了，在中偶吧即使残成这样了，我也耐~~四个主角之间各种有爱~~真心希望车本和宋本来次见面。。。。我的搜梅特魂啊~~
(4星)	开关还蛮好看的,但现在越来越不感兴趣了.
(3星)	我承认，我是冲着在中来的，可是在中啊，你难道没有看剧本？
(5星)	这部剧太有爱了 演员演技都很棒    尤其是池城   与以前的荧幕形象改变了不少  萌死我了
(5星)	笑死爹了！！！！
(4星)	受够了苦情片的年代，可以看一下这样小清新搞笑的剧情。虽然女主角老了点。。。不过男一男二都不错啊，女二也不是残忍奸诈型，也是个搞笑的人，奶奶也并非老古董，所以，总体很是喜欢呀~！！而且，里面女生的服装都很贴近潮流啊~好看~~！
(5星)	为了少见的前后气氛一致，未感到烂尾五星；为女二可爱，男一卖萌，女一强势，男二努力五星；为剧情有惊喜，配角有萌点五星；为卢恩雪，我们结婚后恋爱吧五星~~
(4星)	wuli在中实在是太可爱了~~~
(3星)	就是为了看在中，不过真是看不下去了
(5星)	在中帅呆了！剧情很搞笑！非常喜欢车奉满会长！
(5星)	很轻松的一部剧啊~
(3星)	咳咳
(3星)	男一的湖瞳好闪亮~~女二比女一有意思~~
(4星)	池城很好玩啊！！也挺帅的~~~
(3星)	看的是KJJ剪辑版 四个角色都很可爱 不过剧情拖沓
(2星)	我果然是有强迫症啊，因为看了一半的缘故，即使是这么无聊的剧居然也坚持看完了……
(4星)	亮点和惊喜在于金在中，很多年后，发现东方神起的五只最有演戏潜质的竟然是金花花。
(4星)	欢乐的女二...越来越喜欢娜润西了 
(3星)	虽然剧情老套，但里头的演员绝对是表情王，挺乐的
(4星)	因为在中才去看的。发现剧情真的是很经典。有些幽默。女主角的样子很老。三十多岁的女人真的看得出。男主角很像小孩。
(5星)	很喜欢的一部韩剧。超级搞笑。笑到内伤啊.. 
(NA)	沦陷于池城清澈眼眸中，金在中也很风度翩翩
(2星)	想不通为什么给分那么高，我觉得好散看不下去了！女主角长的好老。。。。
(3星)	是冲着在中看的，但看完觉得惊喜连连，里面的人物和对白真的很有意思，尤其是车丰满，很逗，不得不说，还是老演员演技好啊！
(4星)	看完心情会大好~没有坏人虽然女一比较丑但是男一是在太可爱了~
(2星)	没想到金在中是男二 女一女二也没亮点 难道棒子们对美颜的痴迷程度下降了？
(3星)	开头很强大，即使女主那么的老那么的丑也能让我有兴趣追，但从9，10集开始剧情很牵强，毫无亮点。完全软了下来。金在中桑，你怎么那么妩媚？
(4星)	剧情一般，但是男主女主的演技还是很强的。可是在中的脸怎么那么僵呢？
(4星)	太搞笑了这部戏！幼稚无聊净爱做小动作的男主角+有点暴力性格正常的女主角+腹黑美男在中+只会让人无视她的女二号…… 说实话一开始事冲着在中去看的，看着看着觉得男主角也好可爱啊！
(3星)	看看看看没一开始搞笑精彩了，后面几集不看了不看了。
(5星)	俗套中线索的不俗情节！很喜欢。搞笑，尤其3个反对各自父母，感觉是富裕家庭的两代人的搞笑生活。。。该成熟的总会成熟的。前边比后边好看。
(5星)	太可爱了BOSS!!!
(4星)	流氓老爹才是亮点aaaaaaaaaaaaaaaaaaa
(NA)	chuwa！
(3星)	前面很好，但也太拖太俗套的一女二男纠结戏，快结尾了又来一大滩狗血，女主越圣母越无爱啊，还是女配可爱，真心想让她翻身把女主揣飞。
(5星)	我男人的剧必须看啊，真的满好看的
(4星)	在中的演技在这里算是个亮点，真的不错，比我想象的好多了。没有以前的僵硬了
(3星)	美好的恶搞
(5星)	还没看 就五星，原因你懂的。
(5星)	一群活宝啊！！！！
(2星)	无亮点的一部很普普的片，被粉丝拱到那么高的分实在是有点无言...不过不得不说，池城的演技还是不错的...剧中他的父亲也挺好玩的。这片前几集看着还挺新鲜，轻松有趣，越看越没劲，9集弃。
(3星)	池城在中的各種斗真是太有愛了
(4星)	池城也可以耍宝，太有爱了，就是女主角太太太、、、你懂的。
(NA)	看不下去了，便宜女主了，长得太TM对不起人了
(4星)	女主丑了点，但是喜欢这个有爱的嗨皮安定。女二和男二最后两集互动很萌。
(4星)	後面有點拖沓，沒有前面那麼好笑，結局很圓滿。這幾對家長都是寶啊!!!
(4星)	实在太好笑
(4星)	不要虐我家5元好吧？
(3星)	年纪大了，看偶像剧都看不下去了。最近唯一引人发笑的剧。
(5星)	虽然剧情有点夸张，女主角也不是养眼型，可是编剧就是有本事让你不快进一秒中，乖乖看到结尾~~~轻松的题材，很适合休闲时观看~~
(3星)	弃
(3星)	女二号一哭 我就乐和 太可爱了 在中不錯哈哈
(3星)	前面还行
(3星)	接档《城市猎人》，毫不逊色的一部轻松搞笑的韩剧，开篇就非常吸引我看下去的欲望。池城颠覆了以往的苦逼形象演了个超级白痴、神经质、孩子气、龟毛、怕黑、怕人多、怕老爸以及一堆烂毛病的二世祖。演技真的超赞的说。女主很老很丑就是一形象的保姆代言人，但是两个配戏看起来超级有爱。池成和崔江熙的
(4星)	比较特别的韩剧，幼齿男主VS强悍女主，腹黑男二VS小白女二，还有一个个好玩的家长打酱油，尤其是车会长，有爱死了，话说，真的真的想多看点男二和女二的戏份，甜蜜啊，PS：是我太久没看韩剧了吗，看这剧有时候的节奏还真难让我把握，明明冲击很大的时候却有点无力，PPS，女主的粉上的厚了点，衣服好看
(5星)	超好笑
(5星)	笑昏了快
(2星)	虽然很支持在中不过剧情真的不咋地
(4星)	前半部搞笑是亮点，后半部拖沓，金在中的主题曲太好听了啊~
(4星)	再次证明韩剧的虎头蛇尾~~~要不是九爷我就不会打这个分了
(5星)	所有人都很可爱
(5星)	清新却依然经得起推敲~
(3星)	韩剧现在太难打动我了
(3星)	还我顺毛金在中！！！
(3星)	越往后越不行啊~
(5星)	本人不是很喜欢金在中 也不觉得他有多帅   池城很惊艳  崔江熙有点老了 不知道是不是太瘦的缘故脸上的褶子太多了  女二号比较可爱
(5星)	 在中，加油。
(3星)	守护阿绿
(5星)	真心讲编剧应该是照着秘密花园的剧本来了个大颠覆，去掉了花园里的一些狗血，角色设定与秘密花园类似，但是创意十分新颖，搞不好会是排在秘密花园和城市猎人之后的本年度最赞电视剧，值得期待啊。
(5星)	就算没有小乖也是好看的剧 很爱车小白~
(5星)	超级欢乐 在中最高！O(∩_∩)O
(3星)	轻松搞笑的爱情励志剧！适合减缓压力！这只是前八集！后面拖拉，彻底失去趣味！
(5星)	最近追过的剧中唯一一个还没有弃的……剧情过半还一样令人充满期待 实属不易 
(4星)	看了一半 貌似耐性变差了，当时追了几个礼拜就没坚持的下去，断了一段时间后又失去了看的兴趣，发现很多开始还是很喜欢的剧都差结尾没看，还是我总是偏好每部剧的前半部分。
(3星)	可能已经到了看啥韩剧都脚得没意思的年龄了。我从没就这样从开始就拖着滚动条跳着看韩剧。开头还挺好玩。后面大踏步跳过……
(4星)	演员给力，编剧6集之后开始发晕
(3星)	在一起后弃了~
(NA)	这样的剧就适合追着看！要不前面的剧情记得太清楚，会更加鄙视编剧的！九爷很帅啊~稀罕啊~
(4星)	挺搞笑的，我还是第一次看池城演非悲剧，头上这坨头发怎么看怎么好笑，据说在中腹黑啊
(5星)	虽然女主很老男主很2，但是可爱的社长悲情的女二加上腹黑的在中，还是很好看滴~
(5星)	哈哈哈哈哈，笑死我了，池城，你还是吞噬太阳中的那个池城吗？还有，wuli金在中，你太美了呀，你让女主情何以堪啊！！！！！！！
(5星)	推荐，喜欢轻松有爱，剧情强的电视剧
(5星)	很可爱，很Q
(5星)	重拾韩剧！除了我麻麻的带动更重要的是 我们家在中呀呀呀！！！ 姐看到你的名字就义无反顾的跳入了这个才更了6集的万年大坑呀！！！
(5星)	有些人在无法言语的瞬间 碰撞
(4星)	大体剧情虽没新意，可笑点真的好多啊~很欢乐
(5星)	池城演得棒极了..
(4星)	池成的演技还不错  一直很喜欢崔江姬的  不错不错
(5星)	哈十三
(3星)	池成大突破啊，没见过他演这么搞的。虽然后面BJ弱爆了，还是挣扎着看完了，结局太happy ending了吧~~~
(5星)	我男人呀~
(4星)	最后一集太没悬念了啊亲娘
(2星)	无聊
(5星)	我就爱池城的演技越来越好 越来越好
(5星)	最喜欢的男人都在这里！！！
(5星)	真是越来越好看了，从主演道配角都很出色，情节搞笑有不俗套
(5星)	超搞笑啊~~~~~~~~
(5星)	真的很好看！演员演得好啊~~
(5星)	至少看起来会从心里笑出来
(5星)	虽然女主角有些不好看，但是剧确实是不错的！男主角很有意思呢
(4星)	为了在中而看
(2星)	一集棄，即使有在中也熬不下去....
(5星)	卢恩雪 我们结婚后 恋爱吧 —— 车智贤
(4星)	金在中。
(2星)	为什么每次都这样=。= 半没耐性半强迫地停下，我果然是不能对一切再感兴趣点，那还是因为所有电视剧都实在太没营养
(4星)	前半部分四颗星 后半部分三颗星，不过看在小池成和大哥的份上，四星minus~
(NA)	车车CP最高！
(4星)	池诚太萌啦,萌得不可方物啊!!哈哈!!!!!!!!!!!!!!!20111008,总觉得看前八集真是一路笑过来，好玩的不得了，但后面，真的是没啥好笑的，自打车智宪恢复正常，感觉又走到韩剧的老路上去了，没前面精彩！前八集超五星，后面的三星，平均四星。
(3星)	为什么韩剧总有这样的本事，刚开始的时候120%的兴趣，中间有些索然无味，后面就完全看不进去.....
(2星)	好无聊，越看越无聊，剧情拖沓，唯一亮点是里面的坏人都还是很可爱的。不过，依然贯彻了棒子的幼稚装可爱风格。
(5星)	爆笑好么...
(3星)	依旧虎头蛇尾，难得男二有好结果哦
(4星)	笑死人了。男主角傻不拉叽得太搞笑了。查他资料竟然是77年的，看起来好年轻啊，以为是刚出道的新人呢
(4星)	很搞笑的一部片~
(3星)	剩下两集姐实在看不下去了~
(2星)	太他妈无厘头
(2星)	看到一半，弃剧了，顶着锅盖说，金GG的粉底太厚，表情太木了
(NA)	金在中颜残又不残了...肿么回事??
(4星)	前面还OK，后面情节急速疲软。。。
(4星)	混混style的女主角很帅，虽然男一女一有点超龄，但是池城看起来比在中还幼齿啊。。。
(4星)	大爱在中演腹黑hiahiahia~~·
(5星)	哈哈！必需5星啊！虽然才6集~~ 池城太有实力太帅气了！！！全看完了..后面3集对我好像没有吸引力了..还是给个5星，之前的十多集太欢乐了。 欢乐没有勾心斗角的韩剧看的真开心。
(4星)	故事其实有点无厘头...但是各种角色都很有亮点...
(5星)	池城xi真的太有爱了~~~
(NA)	无语了
(5星)	目前看来挺好笑的~
(NA)	omo池城xi真是意想不到的幽默啊 车武元本部长我真的真的被你秒杀了
