http://movie.douban.com/subject/2157146/	孝庄秘史
(5星)	 宁静真棒。马景涛也棒。还喜欢胡静。            
(2星)	 里面讨厌宁静            
(5星)	 灰常值得回味~            
(5星)	 我好想穿越啊啊啊啊啊啊啊啊啊啊！！            
(5星)	 跌宕,够味..             
(5星)	 好看~~大玉儿            
(5星)	 每次姐郁闷的时候就想看《孝庄秘史》，当然只为了大玉儿的            
(4星)	None
(NA)	 喜欢喜欢。。小时候真的很喜欢。。。聪明美丽又温柔的大玉儿。。痴情的多尔衮。。。结婚了。还可以继续爱。。哎。。。            
(5星)	 小时候感动得泪流满面            
(4星)	 那时候多爱宁静啊~            
(NA)	 很喜欢宁静            
(5星)	 小时候一直以为宁静和马景涛在一起 ps.看这部剧的时候觉得马景涛简直帅惨了 还有宁静 美的要死            
(5星)	 最美好的回忆，最爱的电视剧            
(3星)	 其实当年真觉得蛮好看的。。。            
(5星)	 孝庄 真女人 多尔衮 真汉子            
(4星)	 当时很喜欢宁静            
(NA)	 那首《你》真真的好听！！！！            
(4星)	 这个拍的真的挺牛逼的，演员演的太生动，尤其皇太极多尔衮，仿佛真是穿越来的。            
(4星)	 特别喜欢宁静，但是看得特别开心啊。苏茉儿也很美。感觉还是一开始的秘史好看，后来拍的几部真心没这个好            
(4星)	 演技一般，但多尔衮与大玉儿让我难忘，对了，还有苏茉儿。            
(4星)	 美女英雄的故事，纠结、隐忍与咆哮的结合            
(4星)	 第一部总是最好的。            
(3星)	 03 春节，世界杯，，，这个。            
(4星)	 宁静的范儿~~            
(4星)	 宛如跟福临的爱情很喜欢            
(5星)	 多尔衮和多铎两兄弟真不知道前世欠了皇太极什么~~~宁静演的少女时期的大玉儿非常好看。。。            
(4星)	 真心好。像是真的在演戏。            
(NA)	 秘史系列唯一可看的，也是最经典的。当然史实熟么的就浮云了            
(5星)	 实在是比现在的那些无论什么清宫戏还是汉宫戏都好太多了！！！！！            
(5星)	 哈哈哈哈哈哈   我妈特别喜欢啊             
(4星)	 舒畅当年好美，一转眼也老了            
(4星)	 多尔衮。。            
(4星)	 当年（怎么又是当年）看得跟着一起哭，一起喜一起悲。至今仍觉得宁静才是真·古典美，而该怎样形容这个女子，我已没有了主意。不喜欢人们口中的“孝庄”，更喜欢作为“大玉儿”的她，那个时候的她，美得多么纯粹。            
(5星)	 各种赞不绝口            
(4星)	 和妈妈一起看的美好回忆 宁静真美            
(4星)	 等闲变却故人心，却道故人心易变            
(5星)	 当时并不反感咆哮马            
(5星)	 马景涛第一次实力之作，宁静之大玉儿            
(NA)	 不错的历史片！            
(3星)	 原来这片子已经是那么多年前的老片子了            
(4星)	 我是看着你长大的。            
(4星)	 还不错            
(5星)	 好看好看。历史本来真的是很精彩，只是80%的历史老师坏了我们的兴致！            
(4星)	 = =  剧情雷了一点~            
(5星)	 秘史剧开端，不过很好看，喜欢马锦涛的多尔衮            
(NA)	 都忘记了            
(5星)	 福临到底是不是多尔衮的儿子啊？            
(3星)	 迷恋过那马背上的温存...            
(5星)	 虽然有很多狗血，但是依然经典。咆哮马的表演很给力啊            
(NA)	 内时候宁静特别美 胡静也特美 内时候咆哮帝还不是咆哮帝            
(5星)	 上初中的时候大家挤在舍管奶奶那一起看的            
(5星)	 剧情 人物 音乐 造型 都灰常不错  最好的清宫戏之一             
(5星)	 演员演得很好 自然             
(3星)	 电视上又重播……现在看看……真是美化孝庄阿！！！讨厌宁静            
(4星)	 虽然叫秘史，但比很多正史拍的都真实！            
(4星)	 此片荣获我最喜欢辫子戏以及我看的第一部辫子戏            
(4星)	 宁静            
(5星)	 为了经典的电视剧 我还是谢谢琼瑶阿姨的培养....            
(4星)	 算是秘史类的经典之作吧，之后又拍了很多秘史类的。。。            
(3星)	 童年最喜欢看了呢 么么哒             
(5星)	 多尔衮和大玉儿啊。。。。内地古装爱情剧的巅峰之作            
(5星)	 其实很不错啊  现在电脑里还有主题曲            
(NA)	 哇哇，宫廷感情戏啊，董鄂妃很有范            
(4星)	 竟然就陪我娘亲看完了……记住了胡静            
(5星)	 当年苏茉儿出来太惊艳了！刘德凯演出霸气，马教主依旧咆哮            
(5星)	 我一直觉得这部剧不错。也许是因为里面的恩怨情仇。都是老戏骨吖~            
(3星)	 只记得那时候宁静多美啊。。现在。。哎。。。美人老了。。            
(5星)	 唯一一部好的秘史            
(5星)	 宁静那时候真叫美得让我惊心            
(5星)	None
(NA)	 尤小刚的各种秘史都看过...这片子的片头片尾我会唱诶。。。。。。            
(4星)	 当时我很喜欢看的哦。。。现在觉得当时我神经了。。            
(3星)	 还不错吧~            
(5星)	 该来的来过了，该走的也早走了。因为我们不是天使，即使再虔诚的双手也阻止不了时光的流逝······            
(4星)	 刘德凯 是我心头好。            
(5星)	 得之我幸，不得我命。            
(5星)	 大玉儿一直都大爱无疆……做皇后之前，当上皇太后之后，不折不扣的顶天立地的好女儿            
(2星)	 咆哮哥还不错~            
(3星)	 宁静哎            
(5星)	 童年的回忆啊 小时候觉得超好看的            
(4星)	 宁静真是美翻了！！            
(4星)	 宁静不错            
(NA)	 小时候很爱看··哈哈··            
(4星)	 宁静演的真好，胡静舒畅很美            
(3星)	 秘史系列...            
(5星)	 蛮好看的            
(5星)	 相关的几部最喜欢这个！            
(5星)	 很好看的历史剧，要是小马哥能不那么。。。。就更好了。哈哈哈            
(4星)	 其实当初我喜欢的是胡静。。。。            
(5星)	 我的初一。            
(NA)	 一位兼具美貌与智慧、传奇的女性，大玉儿            
(4星)	 初中。偷看滴~苏茉儿可爱~            
(4星)	 觉得这部拍得好好啊~~              
(NA)	 秘史系列的主题曲都格外给力            
(4星)	 美人宁静            
(5星)	 宁静的巅峰时代。。            
(4星)	 2003年            
(NA)	 其实我不爱看的 家里有人看所以我也看过            
(5星)	 大玉儿实在是太漂亮了~ 多尔衮也太倒霉了 皇位 女人都被人抢了             
(NA)	 这女人不容易啊            
(NA)	 很喜欢            
(5星)	 非常不错的清宫戏说剧，不过被电视剧催泪后建议看看剧中人物历史原型画像清醒清醒头脑            
(4星)	 令人动容~            
(3星)	 我对这一段历史没有特别了解，所以还好，没有被恶心很多次            
(4星)	 四星完全是冲着当年租了碟子蹲在电视机前面一遍一遍地看，走路都会哼主题曲(￣▽￣&#34;)             
(3星)	 教主V5            
(4星)	 经典。            
(4星)	 这片还是挺经典的。            
(5星)	 最爱宁静。研究研究孝庄。            
(5星)	 青梅竹马的岁月实在是太美好，给五分只为他们相爱的初始部分            
(5星)	 特别喜欢苏茉儿            
(4星)	 这几天又看了次忽然觉得马景涛挺不错的。            
(5星)	 百看不厌啊！大玉儿还在科尔沁的时候装扮最美了有木有！我好喜欢多铎啊=。=            
(4星)	 当年看了好几遍呢，现在看看还觉得依然不过时呀~            
(3星)	 没完整看完            
(NA)	 宁静那演技            
(5星)	 被多尔衮感到的不行了，太可叹的人生了！            
(4星)	 皆是演技派。            
(4星)	 看看还是可以的            
(4星)	 宁静的那双眼睛啊··            
(5星)	 命运弄人啊。。。            
(NA)	 教主！！            
(5星)	 最爱            
(4星)	 真好看            
(5星)	 为什么大玉儿不和多尔衮在一块呢。。。哭了好久啊。。皇太极你个大色狼。。            
(5星)	 无尽的感动。            
(4星)	 喜歡寧靜身上的那股子野性；喜歡看她和馬景濤演一對，他倆對戲時有火花；對孝莊多爾袞的故事我也一直感興趣，這段野史改編的電視我幾乎都看過…  PS胡靜沒整容前是我的泰普            
(5星)	 原来多尔衮只活了38年，这里的多尔衮太可怜了。福临简直该死！            
(4星)	 其实质量可以再高一点。            
(3星)	 马景涛的模样有点惊悚~~            
(5星)	 感觉太深刻。            
(4星)	 当时被宁静演的孝庄迷翻了~~~            
(4星)	 旁观看来玉儿确实伤多尔衮太深，多尔衮一生都被这女人算计了。可这确实可以理解也是情理之中，嫁给皇太极那天，玉儿做了此生最大的决定，做一个理智的女人，那个有情有义的女人也就慢慢消失了。后来有了福临，她一心只能为了儿子。作为女人，又作为一个这么伟大的女人，她这样做其实很辛苦。两个人都是            
(5星)	 秘史系列最好的一部            
(4星)	 小时候看的，就爱看野史。(*^__^*)             
(NA)	 美人吟            
(4星)	 看得好心疼            
(5星)	 最爱顺治帝            
(2星)	 马景涛咆哮体            
(5星)	 宁静啊宁静            
(5星)	 最爱的言情剧            
(5星)	 多尔衮是我爱上的第一个男人。            
(5星)	 之前最喜欢的电视剧之一，里面的宁静和胡静真是超喜欢啊！            
(5星)	 挺有感触的，不解释～            
(4星)	 近来突然有点迷上了马景涛版的多尔衮            
(5星)	 很经典            
(5星)	 完完整整的看完了第二遍，还是哭。。。            
(5星)	 就是不在一起            
(4星)	 马哥在这一点都不咆哮，那种温柔想起来都让人想哭            
(5星)	 大爱那个深情的多尔衮。            
(4星)	 嘻嘻            
(5星)	 玉儿+宛如            
(4星)	 不够写，要写到影评里了。。            
(4星)	 好看！            
(4星)	 挺好看的~            
(NA)	 当我看到多尔衮死去的时候，握着大玉儿给他的荷包，我的眼泪就掉下来了，看了两遍，哭了两遍。他们等到最后，依然没能在一起，笑拥江山不过是一场梦            
(5星)	 无论我变得如何强大，你总是我唯一的软肋。少年时的敖包之约，感激你我都用尽一生去相守。别人再真再好，对不起，彼此的心真的只能给一次，就一次。            
(5星)	 还想再看一遍            
(5星)	 痴情惹得几度泪落？片头片尾曲特别好听。历史人物的身不由己与痴情交织，就魅力无穷了。想想后来看的独步天下，才觉得皇太极对宸妃的深情不是没有原因的，或许就像书里写的：他们相识于襁褓，缘定的是三生。            
(4星)	 超喜欢宁静&gt;&lt;            
(3星)	 我只是来看宁静的！！            
(5星)	 呵呵，电视上又在放了。            
(4星)	 教主！膜拜！！            
(4星)	 何赛飞年轻时超美啊            
(3星)	 博果尔为什么要跳崖呢。多好的一个男人。            
(5星)	 执手相看泪眼，竟无语凝噎。多情少年如斯，恨只恨，不是寻常百姓家。任凭你若水三千，只取一瓢饮，那堪情深不寿，红颜命薄。            
(5星)	 它中午又重播 我是觉得拍得挺好看~  就是觉得帝王家太累了            
(4星)	 教主作品            
(5星)	 你在那万人中央，感受那万丈荣光！            
(4星)	 多年以后，还是记得最后一集宁静坐在那里定格的那个表情。这不是戏，是人生。            
(4星)	 只能说男人活的真苦，很多都是身不由己。当然这部戏里面的女人也都苦            
(5星)	 当年看的我哭到不行，为什么就不能在一起啊            
(5星)	 自古美女爱英雄，一诺千金到尽头。            
(4星)	 宁静的演技太出色了T T            
(5星)	 看得我哭死            
(4星)	 多年前的剧，拍的不错，可惜错过了那个时代的胡静            
(4星)	None
(4星)	 都看过好几遍了            
(NA)	 我彻底拜倒在宁静锥子般深邃锐利性感勾人的大眼睛和超赞的演技下，如果我是个男人，一定会爱上她的！            
(5星)	 无论看多少遍，依然感动。            
(4星)	 就没见重播过。。。            
(3星)	 咆哮帝            
(5星)	 尘封的记忆。最爱。            
(5星)	 这世上没有人能随心所欲的活着~只有先制伏自己，才能制伏敌人            
(5星)	 老喜欢看了// \\            
(5星)	 荡气回肠的爱情,演员表现的都太出彩了!            
(5星)	 我爱你，却只能远远看着你，把你深埋在我的心里。            
(5星)	 高三看过，现在又买碟片来看~~那个节奏响起，姐就难过！！自认为是马景涛最好的一部戏！！            
(4星)	 爱看极了            
(5星)	 每当听见美人吟就想起草原雄风。            
(5星)	 马景涛比较正常的一部戏，宁静真是惊艳！            
(4星)	 无奈啊~希望真有这么一段情~又想感叹一句，作孽啊~~~~            
(5星)	 看到芒果台重播的时候没忍住又看了。。。            
(NA)	 赵鸿飞演了个啥！不记得了            
(4星)	 恨那天煞的皇太极，苦了玉儿多尔衮这一对璧人。大爱义无反顾又专情悲情的多尔衮啊            
(5星)	 -_-大玉儿很惊艳片头曲很震撼            
(4星)	 被孝庄的独立睿智吸引。很喜欢这部戏里的宁静和马景涛                
(5星)	 宁静演绎的少年大玉儿看起来很呆滞.但是是部好剧.            
(4星)	 演的都很好 还有咆哮马呵呵            
(4星)	 命运捉弄，唯有制伏自己            
(5星)	 大玉儿和多尔衮，看一次哭一次，悲剧啊！            
(5星)	 只有宁静的孝庄才是孝庄            
(5星)	 喜欢宁静和苏茉尔，主题曲也很好听            
(4星)	 觉得挺好看            
(5星)	 对我来说，难得有看了一遍又一遍的电视剧啊            
(4星)	 一想起片尾曲就澎湃啊            
(4星)	 剧情很好。。。那个时候咆哮帝还没有那么火，也不咆哮。。比起宁静来，其实我是冲着胡静看的。。            
(2星)	 穿着辫子服的现代爱情戏。除了他俩的爱情，其他一切似乎都不那么重要，也许对很多人来说历史可以随便改动好让主人公谈常“感人”的恋爱。不过歌曲很好听。            
(3星)	 马景涛啊！            
(5星)	 大学时候看的吧，当时还特地去借了杨海薇的原著来看，真的很喜欢～            
(4星)	 教主~            
(4星)	 欢喜宁静            
(4星)	 我最喜欢的孝庄，最喜欢的多尔衮            
(NA)	 还是宁静，教主给力啊            
(4星)	 很有感觉，里面的人物都很鲜明，超爱舒畅演的宛如            
(3星)	 宁静太难看，马景涛太二，像琼瑶剧一样，一点也没有开国太后和摄政王的气势！            
(5星)	 尤小刚的经典之作。个人而言，便是巅峰。我永远不可能忘记其中的任何一帧画面、一支曲子、一滴隐在万丈荣光里的眼泪。            
(4星)	 摄制精良。可惜是清戏。            
(5星)	 那首片头曲啊            
(4星)	 喜欢里面的婉儿和皇帝             
(5星)	 既然是该受的，就不叫委屈！ - 苏茉尔             
(3星)	 其实挺好看的，就是剧情太扯了搞得我有点忍不了。。            
(3星)	 景涛。。。。            
(5星)	 主题曲霸气狂露！室友看的时候又回味了一下~            
(3星)	 是几部秘史里最好看的....            
(4星)	 我当年还是挺喜欢看的。后来孝庄换成一个呆婆造型我就不太喜欢她了            
(3星)	 胡静的苏茉儿            
(3星)	 从这部剧我看出其实我是个不喜欢历史的肤浅的小孩 我说想读历史只是想更好的理解那时候的作品罢了            
(3星)	 其实没怎么认真看。。那个主题曲至今回响在耳边。。            
(4星)	 好看- -            
(2星)	 噢为了德凯给2个星            
(5星)	 美丽的女人们。悲惨的爱情            
(4星)	 是我看的这类型的比较出彩的            
(3星)	 马景涛演技的一大进步            
(5星)	 喜欢宁静的表演~把孝庄诠释的很好~故事情节很紧凑~不会腻的片子            
(5星)	 ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 后面的秘史系列一部比一部逊。            
(4星)	 我们小学班主任长得超级像宁静，深邃的大眼睛。。。            
(3星)	 记得当时对片尾曲很有感觉呀！            
(NA)	 一点点吧            
(5星)	 满成功的历史揭秘剧~            
(5星)	 宁静美翻了，尤其是没当妃子前~            
(5星)	 宁静真的很有范儿。            
(5星)	 断断续续看过不下两遍吧~记忆很深的一次是。。。因为一件很伤心的事情，为了排遣伤心，一个人看着这部片子，后面不知道是因为自己还是因为大玉儿的爱情哭到不行~            
(NA)	 最喜欢的电视剧，虽然老。。            
(4星)	 宁静的气场，刘德凯的气场，小马哥演技爆发了呢~~            
(NA)	 汗……            
(5星)	 毅然加入咆哮教！！！！！！！！！            
(4星)	 歷史只是由勝利者書寫的故事            
(NA)	 锦涛苏！苏锦涛!打滚啊打滚            
(4星)	 我喜欢清宫戏！！            
(NA)	 迷死了。            
(4星)	 现在看见马景涛就想起咆哮有木有~            
(5星)	 2003            
(3星)	 。            
(4星)	 喜欢 人            
(5星)	 最初是不喜欢这部电视的。在同桌的强烈推荐下看了，这部电视是我看过流泪最多的一部。现在听到那首美人吟也会有流泪的冲动。            
(5星)	 宁静太美了。            
(5星)	 马景涛和宁静是我心中永远的多尔衮和大玉儿            
(5星)	 少女情怀寄托啊~            
(5星)	 好吧，我承认我很喜欢这部野史。            
(5星)	 说不清的是非对错，剪不断的爱恨情仇……我问你，如果当初你是先帝，又会如何选择。            
(3星)	 哎呀其实是很美好的剧啦~除了还珠很认真看的第一部清宫戏╮(╯▽╰)╭            
(5星)	 每个镜头，都饱含深情。            
(NA)	 悲催的多尔衮            
(5星)	 我爱哟爱哟爱哟 是真的爱大玉儿            
(4星)	 和外婆一起看完的 突然觉得咆哮哥很有爱 然后主题曲也很好听 算不算尤小刚的顶峰？            
(4星)	 人生自是有情痴，此恨不关风与月            
(4星)	 马景涛。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(3星)	 景涛哥。。。            
(5星)	 我真的因为这部剧爱上了多尔衮 而且百看不厌 多尔衮死的时候我难受了俩小时！            
(4星)	 一直觉得到最后大玉儿是自私的 她已经不爱多尔衮了 剩下的都是些利用吧            
(5星)	 宁静            
(3星)	 多爾袞，何時能再見你拍一部像《東遊記》這麼經典的電視劇            
(4星)	 宁静的笑声简直就是噩梦…………            
(5星)	 小马哥超帅~宁静也不辜负孝庄满蒙第一美女的称号看完不禁感叹大玉儿和多尔衮一再错过的爱情~哈哈~野史倾向出现了            
(NA)	 宛如！！！            
(3星)	 当年 马景涛还不咋咆哮 我们一个初中班的女生都上课躲在下面看孝庄秘史的小说。。。            
(4星)	 当年他还不叫咆哮马...            
(5星)	 o(︶︿︶)o 唉，为什么宁静要嫁给老外，演多尔衮的马景涛多好啊！郁闷            
(4星)	 还不错。            
(4星)	 是秘史系列最爱的一部TTTTTTTTTTTTTTT 片头曲哭到泪死哇。。大玉儿和马筒子=.=的感情戏。。。同历史感交错于一起。。实在是撼人哟。。            
(4星)	 你~~~            
(4星)	 虽然史很野            
(5星)	 太过喜欢这里的孝庄！            
(4星)	 大玉儿~            
(4星)	 孝庄呀，怎么着也得推荐，就是咆哮哥的做派真讨厌。            
(5星)	 宁静演的真好            
(4星)	 大玉儿看得我心都疼了。那时还不觉得教主咆哮起来可以让人笑得肝肠寸断。。。            
(4星)	 就是爱上咆哮哥了。。。            
(5星)	 从书到电视，每次回顾，多一份哀愁，大玉儿，你如何对得起多尔衮一世痴情？            
(5星)	 你在那万人中央 感受着万丈荣光 看不见你的眼睛 是否也藏着泪光~那把我哭的呀            
(4星)	 挺热闹            
(4星)	 看的不是很完整，印象最深的反而是顺治和董鄂妃的那段，虽然被演绎过各种版本，但是一直很感兴趣。里面的主题曲很好听。            
(NA)	 孝庄。。。            
(4星)	 秘史系列最不错的了。。。里面胡静相当出彩。。。宁静亦算是把孝庄演绎地不错了。。。            
(3星)	 情为何物呀            
(NA)	 孝庄和多尔衮为什么这么命苦？因为她是中国电视剧里的母亲！            
(NA)	 边骑马边咆哮：大玉儿！！！            
(4星)	 秘史里 最好的一部            
(5星)	 多么经典的古装清剧啊！！            
(NA)	 大玉儿~            
(4星)	 宁静漂亮, 小马哥就算了, 虽然在这部剧中还不算很咆哮;)            
(4星)	 记得妈妈曾经和我说：“人这一辈子，会做很多自己不想做的事情，但是，你没有办法去拒绝。”            
(5星)	 宁静好漂亮呀，(*^__^*) 嘻嘻……            
(5星)	 看多少遍也看不厌啊，怎么每个角色都塑造的这么好呢！！            
(4星)	 教主虽然还是很亢奋，但当时确实被秒了。            
(5星)	 喜欢！演员都喜欢~！！            
(2星)	 人人上看到一个相册是说马景涛是在用生命演戏...受不了...            
(5星)	 大玉儿好美，，皇太极很帅！！演员都很给力，还有康熙王朝是最好看的清宫剧！！            
(3星)	 貌似这里面有没有咆哮的咆哮哥？？            
(5星)	 秘史剧最好看的一部             
(5星)	 宁静是个好女人。。。            
(4星)	 看了这个就喜欢景涛兄的多尔衮了。。。痴情哇。。。            
(5星)	 问世间情为何物？造物弄人啊。            
(5星)	 被虐到的一部 小时候就被狠狠地虐了一下 长大了翻出来看又被虐了一番orz            
(4星)	 难得的把戏说和历史结合的不错的清宫剧~~好剧经得起推敲~~小马哥的多尔衮真是帅惨了，无可挑剔~~~            
(4星)	 只看舒畅的小董鄂            
(5星)	 超赞            
(3星)	 当时看得很嗨，现在想想很脑残......            
(4星)	 觉得宁静演的很好....实力派,            
(3星)	 还行，虽然有点胡扯，剧情可以            
(5星)	 最喜欢的一部清宫秘史！算是比较写实的了！宁静好漂亮在里面            
(3星)	 三星给狗血剧情，宁静的娇嗔和笑声让老纸实在是受不了闹不住。            
(4星)	 好喜欢宁静的大眼睛            
(4星)	 多尔衮和大玉儿没在一起我很遗憾~ 如果摆脱历史 我希望他们在一起~            
(5星)	 我是歷史人 但 我仍只想相信玉兒跟多爾袞是相愛的            
(5星)	 宁静的演技……狂奔            
(3星)	 怎么说呢。。。跟少年天子比起来差太多了            
(3星)	 那会儿秘史特别多，都是这部戏闹的。            
(5星)	 经过十年，看过三遍，依然是无法超越的情感、正史、野史、宫斗的经典之作，艺术水平无人能超越            
(4星)	 清朝的皇宫的。。            
(5星)	 宁静胡静其实都不错            
(5星)	 最喜欢看宛如和顺治那一段了。            
(5星)	 我妹看见马教主就说多尔衮！！！！！            
(4星)	 看起来有苍凉感            
(4星)	 费尽一生思量，换你一声叹息。两段爱情都很好。            
(4星)	 秘史里最爱的一部~            
(4星)	 这个马景涛能看            
(5星)	 宁静演的真好 咆哮帝在此剧中也不错            
(4星)	 我觉得挺好的，一看就看下去了，节奏不错，演技也行，还能引发思考。同时在看的还有2011年的古装片子，没PK过这部。            
(3星)	 不够勾心斗角啊。            
(3星)	 宁静演的不赖~            
(NA)	 重口味的！            
(4星)	 一听到那首歌我就泪奔了~            
(4星)	 小时候看的 很喜欢主题曲~            
(3星)	 宁静还是蛮漂亮的。            
(5星)	 这个电视剧最接近凌力《少年天子》的叙述。所以我喜欢。            
(5星)	 又炒了一遍冷饭            
(3星)	 喜欢里面的舒畅，其他的没什么吸引力。咆哮帝什么的都是浮云啊～～～～            
(4星)	 里面的宁静真好看            
(5星)	 爱与责任哪个更重要？她的理智让我不得不佩服！            
(4星)	 董鄂妃             
(4星)	 片尾曲很舒服，大清很让我悲。            
(5星)	 咆哮帝在里面帅死了。。。片头片尾插曲都超喜欢。。            
(3星)	 片尾曲片尾曲！！            
(5星)	 有教主！！！！！！！！果断加星好吗！！！！！！！！            
(4星)	 教主哦 - -            
(4星)	 好看            
(4星)	 最亮眼的是顺治和宛儿的爱情            
(5星)	 玉儿            
(5星)	 如今长大成人后再次回顾，身为一个女人，可是多少的感触，虽然景涛依旧在咆哮，但是宁静演的玉儿让我对女人重新定义了一番，这是一部让我感动最多的电视剧            
(4星)	 多尔滚！            
(5星)	 我还是和当年一样，没有阿玛，没有额娘，没有江山，没有玉儿……都说可怜之人必有可恨之处，其实可恨之人，也先必然是可怜的人。小时候第一次看那会儿，会觉得玉儿你就跟了多尔衮还管什么天下人的观点，可是现在再看会觉得，她真的不能跟他走。            
(5星)	 当年那个多尔衮让我相当纠结啊~~空空如也我现在还记得            
(4星)	 这系列的化妆都好强            
(NA)	 咆哮！！！！！！！！！！            
(5星)	 秘史系列里最赞的一部，主要演员都把握得相当到位。            
(4星)	 董鄂妃！！！！            
(5星)	 一个人怎么可以有那么多遗憾……他真伟大……            
(5星)	 哈哈，美女如云，很好看那            
(5星)	 不错            
(4星)	 唯一一部让我追看的秘史            
(4星)	 小时候还为大玉儿没与多尔衮成亲而难过            
(5星)	 当时就觉得宁静和胡静很漂亮~~            
(5星)	 探讨了人生的意义，启人深思            
(4星)	 国产精品            
(NA)	 孝庄还是很厉害的，很喜欢这个角色            
(5星)	 必须看过            
(4星)	 纠结的野史··宁静很美！            
(5星)	 电视剧两星，其余三星给宁静强大的演技~            
(5星)	 历史和爱情的部分都很好看，故事饱满，内容完整。这是尤小刚的作品中我最喜欢的一个，主要由于我喜欢大玉儿和多尔衮的爱情故事。他们的爱让我感动，在多尔衮死的那一刻，她哭了，我也哭了，，，自古美女爱英雄，他用他一生的守护告诉她，我是你的英雄。            
(5星)	 大玉儿的命好苦啊~~~~~不过喜欢宁静演的            
(3星)	 孝庄被刻画得太无辜了吧。            
(4星)	 宁静各种好看。。。            
(4星)	 当还是Loli的时候，确实很喜欢这片子的。她似乎开创了一个秘史时代。            
(5星)	 最喜欢的古装电视剧            
(NA)	 好看            
(5星)	 当年没哭死我。。。            
(4星)	 皇太极，多尔衮，福临，都是一个“情”字了的.            
(4星)	 少女大玉儿真是美呆了。。            
(5星)	 绝了            
(4星)	 印象最深刻的就是苏茉尔告诉玉儿多尔衮死了，玉儿怔怔地坐在床上，一滴眼泪都掉不出来。            
(NA)	 当时一直一直在怀疑历史的真实性，至少一直为剧中的多尔衮感到惋惜            
(4星)	 我的春梦            
(4星)	 清晰记得一句话“玉儿，我们这样的情分，你咒我？！”每次电视上播我看到都会停留的剧集，宁静的戏只爱这一部这一角色，喜欢玉儿的灵动狡黠~            
(NA)	 还记得初中那会看的时候我那个激动啊~  那天听到万晓利那个女儿情我还哆嗦了半天~~ 哎~ 那个美人吟听的我啊~~            
(4星)	 宁静的代表作，虽然把大玉儿的爱情改的面目全非，借鉴了很多野史的内容，但是还是不禁幻想大玉儿如果嫁给了多尔衮，是不是就不会有后来的摄政王了？            
(NA)	 很经典            
(3星)	 适合边吃饭边看            
(NA)	 太喜欢了，宁静！            
(NA)	 最爱            
(5星)	 没想到有这么都泪点，多情还被痴情恼，里面演员表演精湛，编剧的故事也还跌宕动人，主要以孝庄为中心，串联皇太极、多尔衮和福临的权野相争和情痴诰命的情节内容，自古男儿争伟业，薄命红颜惹痴情啊。            
(4星)	 稀饭            
(4星)	 宁静很大气            
(NA)	 还是觉得咆哮涛跟宁静是绝配。            
(4星)	 当时的宁静吖~当时的小马哥吖~            
(2星)	 老板女儿也叫大玉儿~            
(5星)	 这孝庄和摄政王怎一个JQ了得TAT萌死我了！！            
(NA)	 甚是喜欢的片子啊，看了不下三遍的，美丽智慧的宁静和帅气霸气的马景涛啊，都是我的偶像和梦想，哈哈            
(5星)	 不是为了青春而怀念 只因为是孝庄匪我常唠叨            
(4星)	 秘史系列最经典的一部            
(3星)	 那时候觉得宁静真是美。            
(4星)	 有些片子 就是他不一定有多优秀 但是他陪你长大            
(5星)	 主题曲很喜欢，从此开始知道多尔衮这个枭雄~            
(3星)	 这个跟历史也差太多了。            
(2星)	 咆哮马+光头静 绝配！            
(4星)	 哇，我看过好多狗血电视剧哇！            
(4星)	 其他都还好，只是小马哥又再一次雷到我了。            
(3星)	 大玉儿是个传奇啊。            
(4星)	 重温了一遍，和小时候看不同的感觉，舒畅的这版是唯一喜欢的董鄂妃            
(4星)	 宁静真漂亮~其实马景涛有演技~~            
(4星)	 这个秘史有很多正史没讲到的正经事            
(4星)	 惋惜一段好姻缘。            
(5星)	 演技不错            
(5星)	 我看到一位仁兄的评论说“男人的心中只有利益和权力”，我笑了。这个人估计是位女性。所以完全不懂男人。女人就会为情所困吗？我不这样认为，虽然这是戏说历史，但是我始终认为女人比男人绝情。再回过头来说说男人到底是什么。我不知道。因为我认为男女没有多大区别。有谁看过慈禧评传。建议那位仁兄看            
(5星)	 唯一一部从小学喜欢到高中的            
(5星)	 絕對的經典            
(4星)	 马景涛帅！            
(5星)	 一直喜欢这部剧的原因有很多，配乐，台词，演技，几乎无可挑剔。老型男刘德凯的又导又演，宁静的大气温婉，马景涛的英雄柔情，每次看，都觉得它是当之无愧的经典。            
(5星)	 多美的宁静，多虐的多尔衮，而是涛哥也不再那么咆哮了...            
(3星)	 孝庄和多尔衮的故事~            
(4星)	 被多尔衮感动了            
(4星)	 喜欢马演的多尔衮            
(5星)	 就喜欢看野史哈哈            
(4星)	 当年看得挺激动！            
(NA)	 秘史里头最好看的，最正常的。虽然捏造的不成样子。            
(5星)	 经典            
(5星)	 演员都很美~            
(4星)	 喜欢大玉儿，喜欢宛如            
(4星)	 宁静的美丽从骨子里散发，咆哮马也安静深沉很多。胡静的伶俐，舒畅的乖巧，荡气回肠！！            
(5星)	 最爱的清宫剧，宁静很美！            
(5星)	 可歌可泣，是大玉儿和多尔衮的故事。            
(NA)	 真他妈立志啊，对我来说、            
(3星)	 一般            
