http://movie.douban.com/subject/2119417/	我和僵尸有个约会2 我和僵尸有个约会II
(4星)	 赚了我很多眼泪            
(4星)	 不仅仅是僵尸片            
(5星)	 经典。。。。。。。。。。。。。。。。。。。。            
(4星)	 谢君豪还是不错的。            
(5星)	 最好看的连续剧            
(5星)	 如果没有猜错，这应该是亚视拍的吧！~估计这是他们最好的电视剧了，以后就没有拍过好东西出来~现在是TVB一家独大，真是~无论是里面的音乐还是剧情，都非常好，就是僵尸这个题材有点吓人，但说句良心话，这片子是喜剧，可以说是恐怖喜剧~而且一点都不吓人！            
(5星)	 看得我肝肠俱裂……            
(5星)	 不只幸福需要分享 苦难也需要分担            
(NA)	 同样精彩            
(NA)	 第三部看不下去了            
(5星)	 只差一步成经典．．．．亚视自己说的．．．            
(5星)	 好看！！！            
(5星)	 每年一遍从不间断它始终是我心中的大爱            
(3星)	 配音作为失败的典型 实在太成功了            
(5星)	 很好 真的很好。。。            
(4星)	 有人说第2部最好 我倒觉得这部最差 没有看第一步时激动的感觉 很平淡没什么新颖的感觉 有人说第3部烂 我觉得不错            
(5星)	 我永远爱你《我和僵尸有个约会》            
(NA)	 相当出色的第二部，相当出色的世界观设定。            
(5星)	 爱死了            
(5星)	 我认为僵尸系列最经典的一部            
(NA)	 整个三部曲的颠峰之作！            
(5星)	 开始穿越了            
(5星)	 爱死马小玲！            
(NA)	 临兵斗折皆阵列在前     这句话  我一辈子也忘不了             
(3星)	 狗尾续貂，但是没想到狗尾继续续狗尾。一只貂拖着两条狗尾巴。            
(NA)	 喜欢马小玲            
(5星)	 原来，你也在这里。            
(5星)	 况天佑和马小玲射出救世一箭的时候泪流满面            
(5星)	 豆瓣猜又一次猜中了囧            
(5星)	 很爱～～～            
(4星)	 很多故事十分的感人。不过僵尸最终状态那个怪兽实在是太囧了。            
(5星)	 这个系列中最好看的一部，虽然有胡扯之嫌            
(5星)	 点到即止，不煽情，很好            
(5星)	 天师和僵尸的爱情故事            
(NA)	 集体回忆            
(4星)	 就算一分钟之后係世界末日,我都想呢个人永远留係我心入面,直至到最后一秒            
(5星)	  这个最好看。             
(NA)	 痛也可以如毒品一般令人迷恋            
(5星)	 比第一部好看            
(5星)	 三部里最好看的一部~            
(4星)	 这一部把剧情分成一节一节的，每一节都有感人的地方。将臣真是个可怜的..人还是僵尸还是...不过有些地方真是很搞~~~~是哦，僵尸的牙要不要刷呢~~~            
(4星)	 看到一半,收不到凤凰台了.            
(3星)	 剧情那叫一个跌宕起伏~~喜欢叮当~喜欢将臣~            
(3星)	 剧情发展始终有些冗长缓慢，不过比1好看一些，比较喜欢女娲一点            
(5星)	 ATV            
(NA)	 很讨厌里面的任达华，其他挺好！            
(5星)	 還是一樣精彩            
(NA)	 感觉没第一部好看，但是情节更加完整了~            
(5星)	 记得小学的时候每天晚上一边做作业一天听爸妈看这部电视剧T-T凤凰卫视放的时候名字叫&#34;僵尸探长&#34;            
(NA)	 雯雯真性感 我爱雯雯            
(3星)	 始终没有第一部那么吸引问哦            
(5星)	 。初中最爱。            
(5星)	 我和僵尸有个约会 2            
(5星)	 十年经典--马小玲。            
(3星)	 剧情有点乱, 有些磨矶            
(NA)	 这个是在初中看的吧            
(NA)	 2008年4月又将他重新回味了一下，感觉真好！            
(NA)	 在埃塞难熬的夜晚， 重温            
(NA)	 经典无法重现``回味就够了            
(5星)	 很小的时候看过的，当时十分喜欢。            
(4星)	 先去看第一部            
