http://movie.douban.com/subject/2224813/	十八岁的天空
(4星)	 原来看我过这么多电视剧——那时候好羡慕那样的高中生活。。后来，我发现那是骗人的。。再后来。。。我都大学了！！！            
(4星)	 那时候好喜欢好喜欢这个电视剧呀，应该算是偶像剧了吧~但后来听说是抄的日剧也不是日漫……哎，好吧，但是我还是挺喜欢的，看着挺来感啊，虽然觉得这种事在现实生活中什么可能有唉……            
(3星)	 理想教育者们的象牙塔            
(4星)	 就18岁时的我，这部剧是非常棒的，给了我莫大的学习动力。            
(NA)	 脑残剧。。            
(4星)	 大陆的高中励志型青春偶像剧            
(4星)	 刚看到河北卫视在播，青春的回忆啊~哈哈            
(3星)	 只能说以前的青春剧太少了。。而现在的青春剧又太狗血太烂了            
(5星)	 stone石延峰 SYF            
(4星)	 那时候特爱看            
(3星)	 喜欢倪景阳。。还记得当年她和傅彪演的那部 她还是个小姑娘            
(5星)	 五星只是为了当初的那份心情            
(4星)	 其中一颗星是打给当年喜欢的那股劲的。            
(3星)	 保剑锋和某人真是神似            
(5星)	 那个时候迷死保剑锋了。。            
(3星)	 蓝菲琳 石延枫。。。^_^            
(5星)	 Star帅爆了！！不过更喜欢武历平！            
(4星)	 曾经觉得那个什么star帅呆了啊，金沙还叫蓝菲琳的时候很美啊            
(3星)	 很旧以前的回忆            
(3星)	 在寒假看那栋合租别墅实在是很有爱的感觉……            
(3星)	 纯马克            
(3星)	 当初看的时候多羡慕有这样的老师啊            
(5星)	 童年            
(4星)	 当年迷得啊~            
(3星)	 为了看这还跟我爸吵了一架。。            
(3星)	 也就那一年出了这样的剧，现在，这样的剧内地真是没有了。            
(4星)	 不以评分论高低，这是中学时期追过的剧，我们也渴望那样的老师            
(3星)	 国产的算不错了            
(4星)	 其实讲高中生活的片子都还蛮好看的，也许是对那个时代的留恋。            
(5星)	 好編劇，好演員，好導演，直到現在再拿出來看都覺得臺詞市場能咀嚼出新意思的片子.....            
(3星)	 青春偶像剧。喜欢佩佩老师和杨鹏师兄~            
(2星)	 里头几个人一个演技比一个差，金莎尤甚。。。            
(NA)	 很好看啊很好看！            
(4星)	 很不错的校园电视剧......它带给我们了一个美女            
(4星)	 其实这部真的不错啊！！！我就是受不了金莎啊！！！作死啊！！！            
(4星)	 曾经还觉得李智楠很帅。。。。。。            
(4星)	 挺喜欢看着题材的电视剧的~保剑锋还是那么好笑~            
(3星)	 不知道为什么当时那么喜欢。            
(5星)	 别问我讲了什么。。。我真的忘了= =只记得保剑锋每天存一块钱= =            
(4星)	 当时第一次看的时候很喜欢,但是由于一些原因没有看完结局.后来,想了确一下心思.但是再看的时候就没有原来的那个感觉了.呵呵            
(3星)	 冯双龙最喜欢了            
(5星)	 蛮喜欢的            
(3星)	 很喜欢里面的同学之间的情谊            
(3星)	 马马虎虎~            
(5星)	 我的最爱。。            
(NA)	 矮油 好不容易有部内地的偶像剧啊            
(4星)	 从这部戏开始喜欢保剑锋的~~~            
(5星)	 很好看的电视剧。。。            
(5星)	 其实我印象最深的是他们作为改革者的存在。很容易想到初中的班主任（恩师啊~）以及自己。            
(4星)	 不管剧情如何，饱含了我的青春年少，至少4星            
(4星)	 当时看的时候觉得18岁离自己好远好远，现在那段时光早已消失不见，今年我已经21岁了，不见那段永恒。            
(4星)	 蓝菲琳= =很好 我们ms没有什么校园剧            
(4星)	 当年看的多欢乐啊。            
(5星)	 大概是看过的第一部偶像剧了~~            
(5星)	 现在不会去看了，不过当时还是很喜欢这部电视剧的。            
(3星)	 想当年暑假老是鄙视我妹子看这种无聊剧情，转眼她也快大学毕业了。            
(4星)	 挺难得的            
(3星)	 小时候看的觉得不错啊。。。            
(5星)	 因为这部剧认识金莎。。并且喜欢了好几年            
(3星)	None
(4星)	 我当时蛮喜欢的 美好的高中时代一去不返啊            
(5星)	 矮油，好想再看一遍，好欢乐的            
(4星)	 看的时候已经高中了吧？？知道那不是我的生活 但是还是很喜欢            
(3星)	 - -我不想承认我初中时候看过这个傻逼片子。。我只能说，那时候的金莎很美，star很帅            
(3星)	 抄GTO什么的就不谈了，当时想要是中国高中校服也搞成电视里那样就很欣慰了。。            
(4星)	 = = 引发我对师生恋的遐想？当初的金莎好纯 保剑锋好大叔 那个女老师也和他好配的赶脚            
(NA)	 蓝菲琳 金莎            
(4星)	None
(3星)	 你还记得我们的十八岁吗？            
(4星)	 听说要拍2了~~当年男生是不是都喜欢蓝菲琳我不知道，但女生都好喜欢star，哈哈            
(3星)	 为了音频，我已经不折手断了！！！            
(3星)	 那时的保剑锋多帅啊~            
(4星)	 小时候超级爱看啊            
(4星)	 带着侄子一起看的那个暑假..快10年了..忘不掉..            
(4星)	 金沙SB了...            
(4星)	 当年算得上是大陆电视剧的一朵奇葩，现在看就感觉是它开启了不要脸不要命的烂片时代            
(4星)	 当时就那么喜欢那个蓝菲林            
(3星)	 歐 藍菲琳            
(3星)	 就保剑锋还挺帅  不知道当年为什么这么迷那个石岩峰小咪眯眼            
(4星)	 如果是现在可能不会给四星 但是当年真的是我很爱的剧了            
(4星)	 懵懂的年龄，却有18岁的情怀。            
(3星)	 小时候看过的电视剧26            
(NA)	 整个一脑残剧…            
(NA)	 因为我们法语带课老师长得太像女主角了             
(NA)	 植物比人好，没有感情不会跟你纠缠也不会闹别扭，一直静守在那里不悲不喜。虽然我这辈子大概再不会看《18岁的天空》了，但是这段关于植物的话以及那盆名叫新页的花总会不时的想起。            
(2星)	 我也觉得这是部典型的烂片            
(NA)	 在我们学校拍的哇嘎嘎~            
(4星)	 当时很喜欢            
(4星)	 国产剧相当不错的一部啊。            
(5星)	 李智楠！是我心中永远的爱！            
(NA)	 几时看过的，忘了，就明显记得有首歌叫《红色石头》            
(3星)	 原来已经拍了有10年了，总感觉是我高中时候播的。。。给我的感觉就是问题少年处理片，都一个个排好队等待修理。。。            
(4星)	 曾今让我看到一点国产偶像剧的希望。。。当时被蓝菲琳秒到~~            
(4星)	 没什么印象了，但我当年绝对看过的，哈哈，青春的记忆            
(3星)	 最近听说这部要拍续？。。不是吧。。            
(4星)	 以我当年的眼光来看。。。不错O(∩_∩)O哈！            
(2星)	 不上学的时候无聊就看电视 电视太轮着播。我他妈愿意看啊            
(3星)	 当时好喜欢里边的唐宋哇╥﹏╥            
(NA)	 那个时候觉得蛮好看的            
(NA)	 喜欢里面的女老师            
(4星)	 我也好想我是那个神通。            
(NA)	 我差点忘了我看过它。。            
(4星)	 2002年            
(3星)	 在当时还是挺棒的，从此学生不再怕老师。             
(1星)	 看完《GTO》才看这个的，不解释            
(3星)	 那会儿觉得保剑锋好帅            
(4星)	 小时候看的呢，那个时候很喜欢李智楠。还不错的一部片，里面的那个老师还挺好的。            
(3星)	 呃。。。以前看过。。。也就那样吧。。。            
(3星)	 这个还不错的。那时候的保剑锋还不是神马薛仁贵……            
(4星)	 我前几天突然好想看好像看，就找出来花了一整天看完了，好怀念啊！            
(3星)	 就是觉得保剑锋还挺帅的，但是剧情也太山寨了，不过年轻的我还是看完了            
(4星)	 突然想到曾经看过这部片，来豆瓣一找评分那么恐怖，都有点不好意思承认自己看过了。大家纠结于它脱离实际，理想化不现实，模仿日剧什么的。但其实看电视剧本来就不同于纪录片，明知道是虚幻的，还是融入自己的感情去看。从中获得动力也好，温暖也罢，哪怕只是觉得搞笑而哈哈大笑，都说明这还值得一看            
(4星)	 貌似看的时候未满十八嘛。当初很迷咧~            
(3星)	 汤圆泵好像很喜欢看？这真是个BUG。            
(4星)	 上了高三觉得这不靠谱了= =但是依然无法磨灭童年时期的美好记忆..!!!            
(5星)	 之所以5星因为在我初中时看这部剧感觉超美好。。。保剑锋还一度成为了我的偶像。。。            
(2星)	 好多年前了啊。如今我竟然真的十八了。            
(4星)	None
(4星)	 那时候趁爸妈上班偷偷开电视看得不能自拔…            
(NA)	 现在看来感觉，没感觉......            
(5星)	 不好意思人家就是喜欢这种NC剧=..=李智楠帅shi了...O。O            
(NA)	 以前好喜欢的            
(3星)	 ❤小时候曾经追过的电视❤            
(NA)	 居然。也看。过= =            
(5星)	 18岁的天空，一切都是那么喜欢，那么纯洁！我好喜欢保剑锋！            
(5星)	 小时候的回忆            
(1星)	 一群傻b            
(4星)	 3.5星吧。保剑锋你自从这片子以后，到处都是露牙傻笑的广告。            
(3星)	 虽然有抄袭日剧之嫌，剧情不怎么符合国情，但还算可以吧。。            
(4星)	 一度迷恋保剑锋啊…            
(NA)	 骂这片是空想烂片的，我意淫一下不行嘛？就happy的意淫一下不行嘛？            
(1星)	 = = 好弱智的电视剧            
(3星)	 我只觉得那时的金沙才纯            
(3星)	 当年居然被感动过，还觉得金莎很有气质...现在想想....            
(4星)	 应材施教的老师。            
(NA)	 当时的心境。            
(4星)	 青春啊             
(3星)	 现在想想真是恶俗的呀            
(2星)	 那时不要太迷李智楠啊。原来我们都有傻×的十几岁。            
(3星)	 一部电视剧，一个回忆呐。            
(NA)	 现在高三，或许看起来能更感同身受            
(3星)	 我没看完。当时已经觉得雷了。            
(4星)	 对于大陆来讲，算是不错的校园剧..            
(5星)	 那时候大陆还没有偶像剧。            
(3星)	 以前看的时候觉得挺有共鸣的。            
(NA)	 总觉得这名字充满魅力，不去管剧情也不去管那么多杂七杂八的各种，18岁，青春又充满魔力的年龄，让我忍不住去喜欢。            
(5星)	 为数不多当年超级喜欢的剧，那会真心喜欢各种闹腾的人物（这里的老师,机灵小不懂，还珠。。。。）现在口味完全变了            
(4星)	 初中时追着看的，蛮经典的。            
(5星)	 印证啊！美好的青春            
(NA)	 蓝菲琳 star            
(4星)	 当年超迷的一部剧             
(4星)	 好旧的记忆，但好想再看一次。。。            
(2星)	 男主是个中二 女主是个圣母 这片子还能看么            
(3星)	 别傻了，中国高三有这么精彩吗？？！！            
(4星)	 古越涛很帅            
(1星)	 你当GTO是吃素的？找演员麻烦也找个上镜的，那个叫什么李智楠的丑屌，恶心死我了。            
(4星)	 美好的高中生活 算是弥补一下我那苍白灰色的四年            
(4星)	 那时是很青春很帅气的校园偶像剧，保剑锋演的老师很潮，石延枫李智楠很帅，红色的石头很火，片尾蓝菲琳饰蓝菲琳曾经让我困惑，后来见到金莎更困惑，哈哈~            
(4星)	 中学时最爱的电视剧之一，保剑锋真帅！            
(NA)	 O(∩_∩)O哈哈~，那个时候真的好喜欢。。。真是单纯            
(3星)	 小孩们的意淫            
(4星)	 年轻时候看的，那时候太喜欢那个女老师了。红色石头，青葱岁月            
(4星)	 高三看的            
(3星)	 第一次看到金莎~~~怀念高中生活~            
(3星)	 以前觉得保剑锋不错一小伙啊，现在一看见就想起了洗发水广告~            
(3星)	 多老的片啊，都不记得那个时候自己几岁了~~            
(4星)	 那个时候好喜欢呢            
(4星)	 当时很多人迷吧~~ 保剑锋 呵呵            
(3星)	 石延枫是个装逼男。            
(1星)	 当初同学们都喜欢看。于是我也跟着凑个热闹，看了好几集，始终发现不了看点，于是不看了。。            
(4星)	 那时候怎么觉得里面那么多帅哥美女呢=。=            
(3星)	 给女主配个音吧            
(4星)	 一直觉得片头曲很像one love。。。。。。            
(4星)	 当年还是非常喜欢这部剧的，老师都非常有爱，剧情也很欢乐，很喜欢王颂祍？这个实在的女生，倒是很讨厌蓝菲琳……原来我年纪轻轻的时候就有女主角厌恶症了。后来才发现很多地方很像生徒诸君。现在看来李智楠好像也没那么帅了……笑            
(3星)	 读初中的时候看这个憧憬高中 读高中的时候发现被骗了            
(NA)	 破灭的青春期待            
(3星)	 我的年轻时代。。。            
(NA)	 超赞！            
(3星)	 很青春。            
(4星)	 小时候是有多爱看噢~            
(5星)	 陪伴我们走过的电视剧            
(3星)	 看過！！            
(4星)	 挺好的            
(3星)	 就是立志剧            
(NA)	 蓝菲琳..            
(3星)	 好久以前的了，当时不怎么能接受，这与中国大陆的情况完全不同嘛，光顾模仿港台青春偶像剧有什么用～～            
(1星)	 标准的垃圾电视剧啊……            
(4星)	 投个硬币，又是美好的一天。            
(5星)	 还是挺稀饭保剑锋的。。。还有他的“酒结良缘”            
(3星)	 当时觉得特别特别好看，现在觉得这部戏里的少年少女每个都是典型的中二病晚期患者，尤其是石延枫（好像是这个名儿？），我现在真为自己当初一看见有他出现的镜头就脸红心跳而感到后悔和不耻……金莎还是叫金莎比较好听╮(╯_╰)╭            
(NA)	 = =            
(2星)	 演什么屁屁。。。            
(NA)	 很怀念，又看了一遍            
(4星)	 那时候真的很喜欢啊~            
(1星)	 尼玛，还能更傻么            
(3星)	 这个。。。也还行吧。。。剧情是一般般啦            
(NA)	 曾经的假期长播剧            
(4星)	 初中看的 那是好喜欢看啊 现在呢            
(4星)	 中学时候超爱看            
(NA)	 喜欢了好久的= =            
(4星)	 偶尔也有国产的校园题材，剧情一般，但看起来感觉还不错            
(4星)	 当时看看还是不错的            
(4星)	 那时候好火啊 那个star长得像原先我喜欢的一个女生            
(5星)	None
(NA)	 想起了久远的高中生活            
(4星)	 小时候喜欢- -            
(NA)	 高中时代看的- -，觉得那个李智南完全是个恶丑。。。还好意思演帅哥。。。            
(5星)	 青葱岁月啊掀桌            
(4星)	 当时很迷            
(4星)	 剧情不符合中国实际情况，但不失为一部好剧。喜欢麻辣教师。要是裴老师再漂亮一些就好了。            
(4星)	 那时候每晚都霸着电视看~            
(3星)	 内地偶像剧，虽然除了保剑锋还算个知名度，别人都不认识，但那时候还是看看蛮有意思的。后来蓝菲琳改名变成了金莎。。。            
(NA)	 当时好迷保剑锋啊            
(4星)	 当时很喜欢蓝菲琳...            
(3星)	 当时觉得结尾曲好听呢            
(5星)	 真的是国产偶像剧啊、曾经也是疯狂啊。            
(5星)	 当时看了好几遍呐            
(4星)	 今天忽然想起这个~            
(3星)	 比较轻松            
(4星)	 以前可喜欢看了            
(4星)	 青春万岁             
(4星)	 那一年金沙还叫蓝菲琳，那一年还有我也被这个理想化的学生故事吸引过            
(3星)	 2005 三星给保剑锋 李智楠好丑。。。            
(4星)	 剧情三星回忆一星  陪我看这剧的孩子现在准备请我吃饭了···这么多年不知道又杀马特没~~            
(NA)	 我觉得满好看啊…这个暑假又看了次还是好看啊…这种剧大陆只有这一部好看            
(1星)	 滚你妈中国版的GTO            
(3星)	 - -2002年出的？没那么老吧            
(5星)	 当年真的是很给力啊。            
(5星)	 小时候的欢乐。            
(2星)	 国产偶像剧先锋队。            
(4星)	 有保剑锋和倪景阳就多给一颗~~~就是英语说得实在点点点。            
(3星)	 我的高中时代木有听说GTO，所以悲剧了。            
(1星)	 我永远只会记得《十七岁不哭》！！            
(3星)	 演技有点假，剧情还口以            
(3星)	 这都是陪伴着我小时候的电视剧啊啊 那时候很喜欢保剑锋的好吧 金莎还是现在的金莎 那时候还不知道那是金莎 。。。            
(4星)	 想当年挺喜欢的……            
(2星)	 看的时候正上高中、边看边骂：怎么可能这样，都不学习，哼~~            
(4星)	 中学的时候看了一遍又一遍....            
(4星)	 teenage            
(3星)	 哈哈，多么幼稚的剧啊，其实想想当时也没怎么喜欢。为纪念一下我的小时候多给了一星。            
(2星)	 傻逼片            
(5星)	 当年也是迷恋过的。。            
(3星)	 有段时间他说我很像倪景阳，我知道我不是，但是我开始喜欢倪景阳            
(3星)	 从初中看到高中再到大学，看着自己渐渐老去而他们却永远的十八岁，这叫人情何以堪啊！            
(4星)	 90后心中的经典~            
(4星)	 那时候觉得保剑锋很帅？            
(4星)	 当年那么爱看            
(4星)	 当时大爱的一部内地算拍得好的偶像剧 还觉得蓝菲琳很美的            
(3星)	 比GTO差远了。。。            
(5星)	 好多年前看过，现在再翻出来看，很多感动和感触，尤其那句老师勉励学生说“你需要一个怎样的明天，今天就得付出怎样的努力”，说得真好            
(4星)	 青春无敌 看他们的高中生活觉得好精彩啊。呵呵            
(3星)	 永远记得蓝菲琳说：古老师，我们这次打算采用连坐的方法。额。。。            
(4星)	 年轻的时候，渴望遇到古越涛这样的老师。没想到居然是中国版的GTO……那两个学生叫什么来着，长得都挺不错，女的是金莎，男的忘了。            
(4星)	 初中的回忆了- -            
(4星)	 求原班人马第二部啊！！！记得当初网络还不发达的时候，电视里播，总是看不到最后一集，最后看到最后一集的时候，就一直记得石岩枫余一飞还有一个男孩子躺在天台上的画面            
(NA)	 曾经的最爱            
(5星)	 当时            
(3星)	 当时我还挺迷李智楠的- -            
(4星)	 看完就睡觉。。不带一丝想法。。。            
(5星)	 06年的寒假            
(4星)	 高中时代的回忆。。。            
(2星)	 =.=            
(3星)	 国产能拍这样不错了~            
(1星)	 真的万分不想承认我看过这个片子。            
(4星)	 某年暑假看的 很早之前            
(5星)	 童年的爱！！！！！！！            
(5星)	 看了十三遍的电视剧。            
(3星)	 小时候看着挺好的`            
(NA)	 回忆            
(3星)	 看过两三遍，那是我羡慕却不曾有过的校园生活。反正上学的时候一直都在提倡减负减负，但是搞到最后都是越减越负。            
(4星)	 小时候看了务必向往高中生活啊。还真是不一样。            
(4星)	 哎呀呀，想起我的美好向往啊。            
(1星)	     还是    幼儿园看的过呢            
(4星)	 高三的时候有想过 要是古老师来教该多好            
(5星)	 止不住的爱看            
(5星)	 风靡一时啊，记得当时超喜欢^^            
(4星)	 低评分的没有童年              
(NA)	 保剑锋和李智楠            
(5星)	 李智楠！            
(4星)	 也算是自己的青春的纪念吧~~当时看了很感动的~~            
(4星)	 以前看的时候觉得还是不错的，不要老是比这比那的。            
(NA)	 是在我的高中校园拍摄的~            
(4星)	 我的高中要是这样就好了！电视剧坑爹啊！！            
(5星)	 年轻时候看得啊             
(4星)	 少时的偶像剧记忆啊~            
(4星)	 片头曲，红色石头            
(4星)	 给我的回忆            
(3星)	 小时候挺喜欢看的···            
(NA)	 很不错            
(3星)	 那会儿看的时候经常会梦想有个这样的帅老师，嘻嘻嘻嘻......PS：不过这个片子也太扯淡了            
(3星)	 喜欢石延枫，因为和他长得像。。一度喜欢这类男生。。。            
(NA)	 幼稚的高中生。。。            
(4星)	 当时还是觉得情节蛮新颖的，校园剧。            
(4星)	 想当年看的时候哭的稀里哗啦啊。。当时觉得蓝菲琳好漂亮呢。。            
(4星)	 真的，老师也就是为了生计，怕同学投诉的那类生活在各层压力下的可怜人！            
(NA)	 呵呵后，以前竟然会认为金沙很漂亮（呸！）            
(5星)	 刚在微博看到要拍《18岁的天空》第二部，暂且不管是真是假，只是情不自禁地想起了《红色石头》 这首歌。哎呀，怎么我高三的时候就没重温这部电视剧呢。真遗憾，我都快19了！            
(4星)	 陪伴了我很久一段时间。从这部片子里认识了金莎。觉得她好美。~            
(3星)	 那个时候还是觉得不错的~~~            
(5星)	 曾经的青春啊   几年一下            
(4星)	 这片子当年都看过吧= =            
(5星)	 为了保剑锋和倪景阳~ 挺好玩的  我去 金沙 很不喜欢..            
(4星)	 全班女生曾经疯狂的迷恋啊。            
(4星)	 很喜欢这样的班主任            
(3星)	 其實這班演員並不雷 只是個頂個的都好路人 = =            
(3星)	 初中毕业暑假看的，那会看感觉还不错，可能是毕业季的缘故吧，哈哈~            
(4星)	 那个谁好帅那个谁好漂亮            
(NA)	 想当年还喜欢蓝菲琳来着，结果最后她变成金莎了，好吧，我也喜欢。            
(4星)	 十八岁。。。好久远的年代。。            
(3星)	 当年就发现演蓝菲琳的蓝菲琳的小妹子挺漂亮哒，后来变成了金莎            
(4星)	 儿时印象的高三            
(3星)	 少时的记忆            
(3星)	 可算是试验成功之作~            
(3星)	 我竟然还看过这样的片子。国产偶像剧            
(4星)	 我觉得还蛮好的其实            
(3星)	 just so so、            
(NA)	 当年谁没萌过石延枫。            
(3星)	 很早的内地校园偶像剧，金莎            
(NA)	 作为无知少女拜倒在石延枫的校服裤下过……            
(3星)	 金莎你再装大家都吐得没得看了            
(3星)	 看着还行。            
(NA)	 记得很清楚 预备班的暑假播的            
(3星)	 屎达~~            
(4星)	 当年跟我妈一起看的~~当年觉得好好看~~~            
(5星)	 儿时的经典，现在的雷剧            
(3星)	 初中时候记得还红了一把。            
(3星)	 我操好青春好吗！            
(NA)	 金莎 蓝菲琳            
(4星)	 我那个时候特别喜欢。            
(3星)	 尽扯淡！我高中这么不这样呀！            
(4星)	 还不错啊，评分这么低。保剑锋真帅，大爱            
(4星)	 我美好的青春            
(1星)	 一个比一个装逼，一个比一个二逼            
(4星)	 这分打得真纠结。它陪我度过小学单纯的时光，想当年我真的是深深喜欢上它。绝对是懵懂年纪阿。            
(5星)	 青涩的年华 纯纯的情感            
(3星)	 like star            
(5星)	 回忆阿回忆我今年高一 那是我小学的片~            
(3星)	 当初看这个，喜欢保剑锋的。            
(5星)	 很美的天空！            
(2星)	 我勒个去...            
(5星)	 当年的石延枫多帅 - - 尼玛现在残的一B            
(4星)	 很喜欢的校园，可是只存在于电视剧里，我们只能看。            
(3星)	 金莎说话就像得了哮喘            
(3星)	 矫情。金莎我不喜欢你。            
(3星)	 那時候我還很喜歡保劍鋒來著~~不過這片子我沒有看全            
(3星)	 没看完.            
(NA)	 2005那年            
(3星)	 李智楠是不是整容了 为啥现在那么难看= =擦            
(4星)	 现在回想起来我高中的班和这个班比起来只有有过之而无不及。班主任和古越涛不相上下甚至更乱来。。幸还是不幸。            
(NA)	 金沙漂亮哈，那时候喜欢武力平            
(3星)	 那时候真的以为高中是那样的。            
(1星)	 金莎这个XX。            
(3星)	 为美女            
(5星)	 虽然很狗血 但是蛮经典啊            
(3星)	 现在看看只能说看过，不明白自己当初为什么着迷            
(3星)	 那时的最爱啊            
(NA)	 这些剧是有多么让人无语凝噎==            
(2星)	 挺早期国产的，虽然。。。            
(5星)	 那时候的大爱～～            
(3星)	 我爸很爱            
(NA)	 ..........            
(NA)	 当年我喜欢石延枫来着              
(NA)	 看完GTO才发现。。这算啥。。            
(NA)	 得瑟的18岁。            
(4星)	 初中的回忆！            
(3星)	 内容有点假            
(4星)	 中考完的那个夏天            
(5星)	 真是有活力的老师啊            
(4星)	 能证明我哭点有多低            
(4星)	 永远的红色石头            
(3星)	 记得金莎在这里面很漂亮...            
(5星)	 其实我觉得老师这一段比较好看~几个老师都很有个性啊~哈哈哈，当年高中也是看老师的。。o(╯□╰)o。            
(3星)	 在国产电视剧里是清新脱俗的一匹小马儿呀，超级喜欢保剑锋！还有裴佩老师~~~~恩，他们很难再超越让我喜欢的这个程度啦~角色很适合他们~            
(1星)	 好醜李智楠            
(4星)	 当年很风靡的，什么star，后来一到假期就放。            
(NA)	 现实中我的18岁真是销魂很             
(2星)	 保剑锋很傻啊。。            
(3星)	 谁没有过青春年少！            
(4星)	 国产麻辣教师，还是不错的。            
(3星)	 青涩啊            
(4星)	 说学生的电视剧中很不错的一部            
(3星)	 记得是高二看的，看别人的高三，那个时候，最喜欢的是高老师，最喜欢的，是里面的每一个故事...            
(5星)	 石延枫！！！            
(2星)	 真想呼金莎巴掌            
(3星)	 高三看的。            
(3星)	 以前看过。青春。            
(3星)	 是的，我什么都看……但是保剑锋演的不错            
(NA)	 中国版。麻辣教师。            
(4星)	 当时的确有被惊艳到。            
(3星)	 当年恍惚同时热播的还有武媚娘那部剧，所以对保剑锋有阴影= =            
(5星)	 看着这个片名忍不住怀念那个青涩的年代~~~            
(5星)	 教育            
(3星)	 童年的记忆 = =            
(5星)	 当年看的时候还不懂得高三的含义 现在经历过了 也开始怀念了...很喜欢            
(NA)	 有些台词很让人感动。            
(NA)	 曾经是多么滴稀饭保剑锋童鞋啊。。在“十八岁”之前喔。。。            
(5星)	 爱            
(4星)	 。            
(4星)	 青涩的萌动~            
(3星)	 主题曲好听            
(4星)	 李智楠长得是真不错呀真不错~            
(4星)	 初三的时候曾经疯狂的喜欢过，向往过，后来才知道都是浮云~~            
(4星)	 石延枫帅到无可救药了            
(3星)	 我姐曾经喜欢的戏哦！我姐哦！那个多伦多大学在读博士，诺贝尔生物奖未来得主的我姐我!!我很有兴趣看她现在有没有勇气承认~~就像我承认自己爱《还珠格格》《流星花园》样~            
(3星)	 如果那个时候有豆瓣，我肯定毫不犹豫的打五颗星            
(3星)	 剧情很烂，但针对青春少年拍摄的励志目的是好的。            
(3星)	 当时还是挺爱看的            
(4星)	 偶尔会有一句很哲理很哲理的话，让人忽然间一颤……            
(3星)	 当时就感觉女主角和吴倩莲长的挺像的            
(3星)	 =___________________=&#39;            
(3星)	 当时跟我老妈和姥姥一起看的咧 呵呵            
(5星)	 校园的生活，很有共鸣。保剑锋演得很棒            
(4星)	 当初看的时候很喜欢现在想想有点雷人啊。当时真心觉得那三个人当中的带头人叫什么来着很帅气啊！蓝菲琳也真漂亮！            
(5星)	 当年很向往            
(4星)	 上高中的时候很火的            
(4星)	 初中时看的。那时候很流行好像。            
(5星)	 突然想起还有这么一部电影，高中过着大学的日子，师生恋，帅的像流川枫的插班生，这些都只有理想中才有，想起金海心的那首主题曲以及胖胖的校长，教导主任，很真，很美，有点《初恋这件小事》的意境。。。            
(4星)	 保剑锋挺帅的。            
(2星)	 原来我从小就讨厌偶像剧            
(4星)	 当时羡慕他们的高中羡慕到不行~            
(5星)	 从自己未满18岁看到自己18岁，再到自己已过18岁~流年~            
(4星)	 石延枫很丑很丑很丑！            
(3星)	 假            
(4星)	None
(NA)	 唉，高中时期的恋爱啊，拍的真朦胧。。            
(4星)	   小打小闹的偶像剧 、其实还不错 。            
(4星)	 挺喜欢的            
(4星)	 曾经的青春岁月，曾经很喜欢的李智楠~            
(4星)	 裴蓓老师很有爱~~            
(3星)	 所有90初的记忆里，都有一个《十八岁的天空》。虽然很假很滥俗，但是也很温暖很难忘            
(NA)	 那时候也不算很小吧，那时候金莎还没出名            
(4星)	 李智楠当初还是挺水嫩的 后来老了有点残 红色石头学成 你的心就像一颗红色石头 有着热情的血液和石头的冰冷            
(3星)	 内地山寨偶像剧            
(4星)	 那时还小。。。            
(3星)	 就是这样风靡了一代人，曾经多么喜欢校花蓝菲琳            
(3星)	 当初没晚七点半守在湖南卫视前。是暑假吧。记得很清楚。            
(5星)	 最好看的校园剧了吧。又是美好的一天。哈哈             
(4星)	 很像饼干老师星星糖！            
(4星)	 最猪脚的永远是帅哥美女啊。。。里面那谁我老是以为是林忆莲。。。诶。            
(3星)	 其实作为一部校园剧还算不错的了，不至于青春地太不靠谱（比如某些完全无视高考只有青春的片子），里面的保剑锋也很帅。。。            
(NA)	 初二升初三的暑假回学校上课，班里所有同学都在讨论这剧！灰常怀念那时候的青涩时光啊            
(NA)	 娘哎，真不是故意要看的，那时电视台一直在播。那个叫李智楠的丑八怪，还有那个现在叫金莎的做女。。。            
(NA)	 我就是看到友邻标记了然后来标记下。。。            
(4星)	 诶诶诶。我就是喜欢这个打滚子            
(5星)	 曾经幻想也有这样的老师            
(3星)	 喜欢这里面的保剑锋。            
(3星)	 其实挺假的，但是具体到每个人物很真实            
(2星)	 傻死了 金莎好看            
(3星)	 我以为是就是年代的电视剧啊~~~ 哈哈哈~~~            
(3星)	 金莎哈搓气            
(NA)	 那时Star年纪小            
(4星)	 祭奠我早已逝去的青春            
(5星)	 爱惨了，重播都跟了好几遍的说~~            
(NA)	 这帮淘气的学生。            
(3星)	 只知道看过。。。。具体什么样子忘了。。。。。            
(4星)	 挺不错的啊，当时全家围着看的。就算剧情本身不怎么现实，还是让人留下了美好的印象。PS保剑锋最帅就是那会儿了，李志楠当时把我姐都迷了。            
(4星)	 虽然有各种GTO的影子 不过还是不妨碍这是一部有意思的剧            
(3星)	 学生们都演的假假的            
(4星)	 虽然抄了不少GTO，不过我家娘亲大人很爱看。            
(3星)	 那个star明明很丑啊……            
(5星)	 重温幸福            
(5星)	 回忆的经典            
(4星)	 保剑锋！！！！            
(NA)	 那时候很喜欢金沙的。。。            
(3星)	 都是YY的产物，不是现实            
(4星)	 当初就是因为这部剧喜欢的保剑锋啊- -话说貌似隔壁班有同学写信给李智楠过- -然后好像还回了0 0            
(4星)	 还蛮励志的，喜欢那首歌《红色石头》            
